"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","18.84","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","408.91","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","68.64","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #03278","Health","Materials And Supplies","165.46","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wal-Mart #0538","Health","Materials And Supplies","101.6","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Fimco Schaben Agspray","Health","Materials And Supplies","49.8","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Sapps Saw And Mower","Health","Materials And Supplies","699.95","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Battery Land","Health","Materials And Supplies","404","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","41.18","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Aquatropics","Health","Materials And Supplies","64.99","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Streits Lock & Key","Health","Materials And Supplies","30.5","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #03278","Health","Materials And Supplies","116.39","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","68.64","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","17.35","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","57.2","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","46.03","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Fee","Health","Materials And Supplies","49.5","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","12.15","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","The Home Depot #1854","Health","Materials And Supplies","6.66","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Paypal  Altsteirer","Health","Materials And Supplies","20.94","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Interstate Battery","Flood Control","Materials And Supplies","50.45","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","The Home Depot #1854","Flood Control","Materials And Supplies","6.93","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","The Home Depot #1854","Health","Materials And Supplies","44.73","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","11.94","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","The Home Depot #1854","Health","Materials And Supplies","10.34","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Streits Lock & Key","Flood Control","Materials And Supplies","71.25","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Streits Lock & Key","Flood Control","Materials And Supplies","10.5","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","I Care Smart Phone Repair","Flood Control","Materials And Supplies","119.99","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Polaris Of Gainesville","Internal Services","Parts-Motor Equipment","2.99","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Suburban Propane","Internal Services","Materials And Supplies","93.89","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Strate Welding Supply Co","Internal Services","Materials And Supplies","87.91","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Carquest 8139","Internal Services","Parts-Motor Equipment","5.11","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Mackinnon Equipment","Internal Services","Parts-Motor Equipment","251.64","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Central Hydraulics Of Oc","Internal Services","Parts-Motor Equipment","425","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Advance Auto Parts #9239","Internal Services","Parts-Motor Equipment","23.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Advance Auto Parts #9239","Internal Services","Parts-Motor Equipment","-23.92","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","28.42","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","18.7","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","301.6","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","66.77","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","235","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","235","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","50.86","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","142","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","-64.3","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Rom Corp","Internal Services","Parts-Motor Equipment","1740.16","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","-67.2","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fl#-Miller Bearing","Internal Services","Parts-Motor Equipment","529.21","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Fl#-Miller Bearing","Internal Services","Parts-Motor Equipment","-29.96","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","183.32","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Goodman 188","Internal Services","Parts-Motor Equipment","5.12","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & M Equipment Rental","Internal Services","Parts-Motor Equipment","852.12","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","568.2","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","139.72","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & M Equipment Rental","Internal Services","Parts-Motor Equipment","22.96","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Meade Equipment - Knoxvil","Internal Services","Parts-Motor Equipment","258.16","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Amazon Mktplace Pmts","Internal Services","Materials And Supplies","182.88","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Mico Inc","Internal Services","Parts-Motor Equipment","315.65","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","139.7","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ford Of Ocala","Internal Services","Parts-Motor Equipment","13.38","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","105.45","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","568.2","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","268.01","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Wal-Mart #0538","Internal Services","Parts-Motor Equipment","12.97","2016-09-25T00:00:00.000","September","12","2016","Visa"
