"outcome_or_indicator","group","percentage","confidence_interval","title","description","year"
"Any type of cancer","Part-time","7","6.2,  8.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Not employed but has worked previously","18.2","17.3, 19.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Not employed and has never worked","4.7","3.1,  6.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Less than 100% FPL","7.5","6.3,  8.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","100% to less than 200% FPL","9","8.1, 10.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","200% and greater FPL","9.9","9.5, 10.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","U.S.-born","10.7","10.2, 11.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Foreign-born","4.5","3.8,  5.3","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","With disability","19.3","17.7, 21.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Without disability","8.5","8.1,  8.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Gay/lesbian","7.3","5.1, 10.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Straight","9.6","9.3, 10.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
"Any type of cancer","Bisexual","6.4","4.1,  9.5","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.","2019"
