"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"18","990140","GOV-WIDE-RECREATN & PARKS","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","530010","SHERIFF'S DRUG TASK FORCE","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","4796.88","-4796.88"
"18","990150","GOV-WIDE-CONS NATURAL RES","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","990155","GOV-WIDE-ECON & COMM DEV","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","990155","GOV-WIDE-ECON & COMM DEV","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","0","0"
"18","990160","GOV-WIDE-DEBT SERVICE","39716","PROCEEDS OF 2016 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","990160","GOV-WIDE-DEBT SERVICE","39717","PROCEEDS OF 2017 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","992800","BEAVERDAM DITCH-AGENCY","34105","GENERAL COUNTY GRANT REV","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","0","0","0"
"18","992900","LONG MARSH DITCH-AGENCY","34105","GENERAL COUNTY GRANT REV","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","0","0","0"
"18","992900","LONG MARSH DITCH-AGENCY","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","992900","LONG MARSH DITCH-AGENCY","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","993000","EDINBURG DITCH-AGENCY","30307","TAX DITCHES TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","995010","ZONING DEPOSITS-AGENCY","35626","CASH DEP AGMT(CDA) RECPTS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","0","0"
"17","682042","CHESAPEAKE HELPS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","28934","28805.26","128.74"
"13","714000","SPECIAL LOANS/GRANTS PROG","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","5000","3000","2000"
"08","110540","DESCOM - COMMUNICATIONS","33120","ST 911 FEES OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","400000","350546.25","49453.75"
"15","992100","HARRNGTN-BEAVRDAM DITCH-A","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"13","110040","SHERIFF CONFISCATED FED $","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"14","880010","OPEB TRUST-QAC BOE","39078","OPEB-1/30TH PR YR LIAB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"08","200000","SANITARY ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","150000","111882.84","38117.16"
"15","645010","SR CARE-CASE MANAGER","33145","ST ELDERLY OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","83580","83333","247"
"15","201900","KNSG WW CAPITAL CONSTR NO","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"16","123150","SIGNS & MARKINGS","39356","MATERIALS SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"10","810000","ROADS BD ADMINISTRATION","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"13","320010","BAY BRIDGE AIRPORT OPERAT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","1.09","-1.09"
"15","656050","SSTAP-DRIVER","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","12000","21190.43","-9190.43"
"14","655050","ACCESS TO JOBS-DRIVER","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","5187","5187.48","-0.48"
"06","320010","BAY BRIDGE AIRPORT OPERAT","36583","TRANSIENT TIE DOWNS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","6000","2908","3092"
"10","340035","MATAPEAKE CLUB HOUSE OP","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"10","413500","EDUCATION","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"07","414000","RECREATION & PARKS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"14","990145","GOV-WIDE-LIBRARY","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"19","228000","BNR/ENR SWR RESTRICTED","35707","PWA SALES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","960317","-960317"
"08","142000","PARK MAINTENANCE","36370","STAGE RENTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","15000","11110","3890"
"13","141130","TRIPS & TOURS","36355","RECREATION-TRIP & TOUR","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","15000","12595","2405"
"11","300090","B.HERON GOLF PROJ/CONSTR","33725","ST POS ENCUMB CAP-STATE","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"17","480010","CAPITAL PROJECTS-ROADS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"10","310025","SUMMER DAYS/DISABLED CHLD","35403","P.SAFETY-USER FEES","T-CHARGES FOR SERVICES","T-P.SAFETY-SERV CHGS","0","0","0"
"09","111500","ANIMAL CONTROL","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"14","105010","LIQUOR BOARD","37802","FINES","T-FINES & FORFEITURES",,"1000","5000","-4000"
"12","996005","MRRP-ADMIN-AGENCY","36340","P & REC LATE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"10","799095","FOXXTOWN APTS-CAP CONSTR","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"19","656050","SSTAP-DRIVER","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","15000","11177.88","3822.12"
"13","123700","MOSQUITO CONTROL","35603","PUBLIC WORKS USER FEES","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","110000","67206.65","42793.35"
"09","340035","MATAPEAKE CLUB HOUSE OP","36497","FOOD SALES-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","20250","10687.24","9562.76"
"12","682050","MD AFTER SCHOOL OPPORTNTY","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","52244","51806","438"
"11","621030","FAMILY CAREGIVER-ASSISTNC","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"14303","14859.24","-556.24"
"07","625010","SHIP-SR HEALTH INS PROG","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"06","655040","ACCESS TO JOBS-ADMIN","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","20000","0","20000"
"17","102500","BOARD OF ELECTIONS","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"08","414000","RECREATION & PARKS","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","1671","-1671"
"08","340010","PROPERTY MGMT OPERATING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"25000","25000","0"
"08","310010","P&REC ENTR-PROGRAMS OPERA","36353","REC-SESSION II-DO NOT USE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"11","620010","SENIOR I&A","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"98237","90358.72","7878.28"
"11","340035","MATAPEAKE CLUB HOUSE OP","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","26000","27508","-1508"
"09","110015","H SPOTS-G/C-OT COMM POLCG","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"26226","22310.18","3915.82"
"10","142010","BLOOMFIELD FARM MANAGEMT","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"10","792040","VOUCHER-ADMIN","39240","FRAUD COLLECTION REV","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","3751.36","-3751.36"
"06","412000","PUBLIC WORKS","35626","CASH DEP AGMT(CDA) RECPTS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","35748","-35748"
"13","110530","DESEMS - MEDICAL SERV","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","16438.65","-16438.65"
"15","320090","AIRPORT CAP PROJ/CONSTR","39715","PROCEEDS OF 2015 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","577244","-577244"
"11","798040","TERRAPIN GROVE-ADMIN","36340","P & REC LATE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"11","800000","AG TRANSFER TX EASEMTS","39912","TRANSFER IN-BY AMENDMT","T-OTHER NON-OPERATING REV",,"10000","10000","0"
"17","155055","TOURISM","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","15433","-15433"
"12","227000","RESTRICTED FUNDS- WATER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","22906.19","-22906.19"
"14","260000","FT FOOT DEBT SERVICE","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0.08","-0.08"
"13","199000","GENERAL REVENUE","33110","ST SECURITY INTERST FILNG","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","1000","1030","-30"
"19","199000","GENERAL REVENUE","30101","REAL ESTATE","T-TAXES","T-LOCAL PROPERTY TAX REV","67688149","69061804.27","-1373655.27"
"06","414000","RECREATION & PARKS","32725","FED RECREATION CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","1250000","-1250000"
"06","652050","SECT 5311-DRIVR-GRASONVLL","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"08","654070","SECT 5311-GENRL-EASTON","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","4800","0","4800"
"07","688010","CSAFE COMMUNITY POLICING","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"08","431750","CHESTRT/CHVFD-COMMRCL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"10","794040","PHA ADMINISTRATION","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"19","210010","KNSG WTR ADMINISTRATION","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","145000","98126.09","46873.91"
"08","650050","SECT 5311-DRIVR-CRUMPTON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"25278","24389.88","888.12"
"15","438800","CRUMPTON VFD-PAYOUTS","39932","FY12 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"11","621010","FAMILY CAREGIVER-ADMIN","39911","TRANSFER IN-QTRLY ALLOC","T-OTHER NON-OPERATING REV",,"2024","953.36","1070.64"
"16","330010","PUBLIC LANDINGS OPERATING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"08","690010","COMMUNITY","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"12","111000","DETENTION CENTER","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"16","110028","H SPOTS-COMM MOBILZ-GR/CH","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"16","612010","COMMUNITY CARE/HOMEMAKER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","104990","CHRIST CHURCH","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","12512.11","-12512.11"
"12","300000","BLUE HERON GOLF COURSE OP","39912","TRANSFER IN-BY AMENDMT","T-OTHER NON-OPERATING REV",,"194758","140867.95","53890.05"
"06","110032","TOBACCO PATROL","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"16","150060","4-H PARK","37042","4-H PARK SERV CHGS","T-CHARGES FOR SERVICES","T-CONS NAT RES-SERV CHGS","0","4125","-4125"
"07","657090","SECT 5311-CAPITAL GRANTS","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"12","791095","RIVERSIDE ESTATES-CAP CON","39932","FY12 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"28158","0","28158"
"10","437100","SUDLERSVILLE- RESIDENTIAL","39912","TRANSFER IN-BY AMENDMT","T-OTHER NON-OPERATING REV",,"0","0","0"
"11","200900","KNSG WW CAPITAL CONSTRCTN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"08","111000","DETENTION CENTER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"13","300000","BLUE HERON GOLF COURSE OP","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"16","682042","CHESAPEAKE HELPS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","28934","28934","0"
"17","682055","CHARACTER COUNTS!","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"5561","11794.24","-6233.24"
"11","341010","PROPERTY MGTM NON OPERATN","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"14","200900","KNSG WW CAPITAL CONSTRCTN","36340","P & REC LATE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"16","992400","OXDALE DITCH-AGENCY","34105","GENERAL COUNTY GRANT REV","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","0","0","0"
"08","410000","GENERAL GOVERNMENT","36356","RENTAL CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","10010","-10010"
"09","414000","RECREATION & PARKS","34517","CONTR CAP-DEV-NON GROWTH","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"17","624040","TITLE IIID-PHYSICL FITNSS","32155","FED AGING TITLE IIID OP","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"11","996015","MRRP-IGLOO SERVICE-AGENCY","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"11","320090","AIRPORT CAP PROJ/CONSTR","32730","FED AIRPORT CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","435096.95","-435096.95"
"10","350090","K.NARROWS MARINA PRJ OP","39709","PROCEEDS OF 2009 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","323868.41","-323868.41"
"14","110042","REIMBURSABL SPECIAL EVENT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","1508","0","1508"
"11","440750","UCVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"13","105510","DIV COMM & ENV PLANNING","35211","ZONING APPEALS BOARD FILE","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","0","2000","-2000"
"15","656070","SSTAP-GENERAL","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"11","796040","GRASONVILLE TERRACE-ADMIN","34105","GENERAL COUNTY GRANT REV","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","12210","12210","0"
"10","708010","EMERG/TRANS HSG PRG  ETHS","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"12","199000","GENERAL REVENUE","30102","PROPERTY TAX INTEREST","T-TAXES","T-LOCAL PROPERTY TAX REV","100000","302704.94","-202704.94"
"13","612010","COMMUNITY CARE/HOMEMAKER","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"08","459000","FIRE IMP-UNITED CO-DO NOT","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"17","634010","LEGAL ASSISTANCE","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"15","111500","ANIMAL CONTROL","37802","FINES","T-FINES & FORFEITURES",,"0","0","0"
"12","104800","GENERAL","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","3411.53","-3411.53"
"14","438100","CRUMPTON- RESIDENTIAL","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","14200","1492.48","12707.52"
"16","142010","BLOOMFIELD FARM MANAGEMT","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"11","680010","COMM PARTNERSHPS-ADMIN","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"06","200000","SANITARY ADMINISTRATION","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","3697500","3694219.42","3280.58"
"15","992300","MARSH FARM PUB DRAINAGE-A","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","2.36","-2.36"
"11","410000","GENERAL GOVERNMENT","38720","PROCEEDS/SALE OF LAND/BLD","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"13","991010","TAX SALE DEPOSITS-TRUST","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"10","415000","CONS OF NATURAL RESOURCES","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","11134.61","-11134.61"
"13","111000","DETENTION CENTER","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","258.09","-258.09"
"10","310010","P&REC ENTR-PROGRAMS OPERA","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"12","110040","SHERIFF CONFISCATED FED $","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"14","620010","SENIOR I&A","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"17","636010","SENIOR CENTERS-GENERAL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"240445","237837.43","2607.57"
"17","320090","AIRPORT CAP PROJ/CONSTR","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"08","412000","PUBLIC WORKS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","75000","-75000"
"17","609010","VEIP-VULNERABLE & ELDERLY","33145","ST ELDERLY OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","3657","3817","-160"
"11","170020","BENEFIT COSTS","32195","FED RETIREE DRUG SUBSIDY","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","13052","48305.73","-35253.73"
"15","850010","OPEB TRUST-QA COUNTY","39079","OPEB-CURRENT RETIREES LIA","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","1274849.41","-1274849.41"
"08","111500","ANIMAL CONTROL","31005","ANIMAL CONTROL","T-LICENSES & PERMITS REV",,"33000","28278.98","4721.02"
"16","199000","GENERAL REVENUE","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","49525","88999.62","-39474.62"
"11","110009","LOCAL LAW ENFORCEMENT","32125","FED LOCAL LAW ENFORCMT OP","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"15","210010","KNSG WTR ADMINISTRATION","39356","MATERIALS SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","1483.2","-1483.2"
"16","110040","SHERIFF CONFISCATED FED $","39936","FY16 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"1407","0","1407"
"08","656040","SSTAP-ADMINISTRATION","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"26825","20640.48","6184.52"
"13","792050","VOUCHER-NON-ADMIN OP","32190","FED HUD OP GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"06","990150","GOV-WIDE-CONS NATURAL RES","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","0","0"
"12","990140","GOV-WIDE-RECREATN & PARKS","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"12","155050","ADMINISTRATION","36494","MERCHANDISE SALE-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"15","320010","BAY BRIDGE AIRPORT OPERAT","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"12","480010","CAPITAL PROJECTS-ROADS","32210","FED INT REIMB (BAB) GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"07","791040","RIVERSIDE ESTATES-ADMIN","37346","MAINTENANCE CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","400","1363.61","-963.61"
"16","653040","SECT 5311-ADMIN-KENT IS","36002","AGING-USER FEES","T-CHARGES FOR SERVICES","T-AGING-SERV CHGS-PROG RV","0","0","0"
"09","436500","CHVFD- COMMERCIAL 50%","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"15","411000","PUBLIC SAFETY","33185","ST ANTICIPATD STATE OP GR","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"17","636010","SENIOR CENTERS-GENERAL","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"15","716000","FD CDBG REHAB REVOLV LOAN","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"16","654070","SECT 5311-GENRL-EASTON","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"11","200100","KNSG WW COLLECTION","39356","MATERIALS SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"13","264000","CLOVERFIELDS SEWER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","126161.51","-126161.51"
"09","300000","BLUE HERON GOLF COURSE OP","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","1822","1653.39","168.61"
"08","799040","FOXXTOWN APTS-ADMIN","37344","LAUNDRY CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","250","0","250"
"07","274000","BAY CITY SEWER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","79558.41","-79558.41"
"16","717000","SMALL BUSNESS REVOLV LOAN","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"11","797090","SCATTERED HOUSING-NON-BUD","38720","PROCEEDS/SALE OF LAND/BLD","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"13","798040","TERRAPIN GROVE-ADMIN","39930","FY10 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"15","840000","PDR - RECORDATION TAX","39934","FY14 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","416000","DEBT","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","908973.1","-908973.1"
"08","199000","GENERAL REVENUE","39245","OVER/SHORT","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","-44.56","44.56"
"08","637010","MEDICAID WAIVER","33140","ST DEPT OF AGING OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","25000","25000","0"
"16","142012","LAND MGMT-CRUMPTON CENTER","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"12","340010","PROPERTY MGMT OPERATING","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"08","331090","P.LNDGS PROJ/CNSTR NONBDG","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"15","101010","PUBLIC INFORMATION","39220","CONTR/DONATIONS-NON-PROG","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"17","110575","DES - MIEMSS","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"16","200000","SANITARY ADMINISTRATION","39358","COMPOST SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"10","310035","TINY TOTS","36358","TINY TOTS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","28000","19662.5","8337.5"
"07","990135","GOV-WIDE-EDUCATION","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
