"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Gratia Plena LLC Property","2017-02-07T00:00:00.000","2017-03-07T00:00:00.000","1899-12-31T18:00:00","River Hill Meeting Room","6330 Trotter Road","Clarksville","21029","3","162.07","R39","17","E SIDE SHEPPARD LN S OF HAYLAND FARM WAY","[TaxMap 28 Parcel 25],[TaxMap 29 Parcel 25]","RC-DEO","(39.2368, -76.935)"
"Regan Property","2012-01-23T00:00:00.000","2012-02-29T00:00:00.000","1899-12-31T18:00:00","Clarksville 5th District Volunteer Frie House","5000 Signal Bell Lane","Clarksville","21029","22","83.81","R23","12","SE OF MACBETH FARM LN","[TaxMap 34 Parcel 200],[TaxMap 40 Parcel 200]","RR-DEO","(39.1871, -76.9438)"
"Holiday Hills Lot 34","2011-09-26T00:00:00.000","2011-11-14T00:00:00.000","1899-12-31T18:00:00","Central Library","10375 Little Patuxent Parkway","Columbia","21044","2","1.03","R10","12","N SIDE VISTA RD E OF NEWBERRY DR","[TaxMap 41 Parcel 220]","R-20","(39.1798, -76.8816)"
"Corridor Square","2016-02-09T00:00:00.000","2016-03-28T00:00:00.000","1899-12-31T18:00:00","HCLS Elkridge Branch","6540 Washington Blvd.","Elkridge","21075","230","6.93","R45","16","WASHINGTON BLVD","[TaxMap 37 Parcel 107],[TaxMap 37 Parcel 265],[TaxMap 37 Parcel 272],[TaxMap 37 Parcel 273],[TaxMap 43 Parcel 73]","TOD","(39.1842, -76.761)"
"The Mall in Columbia - Site Development Plan","2012-07-02T00:00:00.000","2012-07-24T00:00:00.000","1899-12-31T18:30:00","Howard Community College - Room 400","10901  Little Patuxent Parkway","Columbia","21044","0","5.67","T01","13","INTER. OF LITTLE PATUXENT PKY & GOV. WARFIELD PKY","[TaxMap 36 Parcel 460]","NT","(39.2157, -76.8617)"
"Forney Property, Lots 1-6","2008-03-13T00:00:00.000","2008-04-10T00:00:00.000","1899-12-31T18:00:00","Savage Library","9525 Durness Lane","Laurel","20723","6","4.95","R61","8","N SIDE SCAGGSVILLE RD 450' NW OF PINEWAY DR","[TaxMap 46 Parcel 12],[TaxMap 46 Parcel 6]","R-20","(39.14, -76.8831)"
"Lewal Partnership","2009-04-08T00:00:00.000","2009-05-04T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"M07","9","S SIDE US RT 40 900' W OF PLUMTREE DR","[TaxMap 24 Parcel 77]","B-1","(39.2773, -76.8399)"
"BRADLEY & TABASSUM GARRISON","2012-10-17T00:00:00.000","2012-11-15T00:00:00.000","1899-12-31T19:00:00","GOOD HOPE PRESBYTERIAN CHURCH","12131 SCAGGSVILLE RD","FULTON","20759",,,"C11","13","SOUTHWEST OF 216","[TaxMap  Parcel ],[TaxMap 0040 Parcel 0126],[TaxMap 40 Parcel 126]","RR-DEO","(39.1655, -76.9417)"
"MBW Properties-Landscape Contracting (COND USE)","2004-01-24T00:00:00.000","2008-02-28T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Department","17885 Frederick Road","Mt. Airy","21771",,,"C17","8",,"[TaxMap 7 Parcel 102]","RC-DEO","(39.3388, -77.0693)"
"Soccer Association of Columbia/Howard County","2009-06-09T00:00:00.000","2009-07-02T00:00:00.000","7:00 p.m.","Howard County Library, Miller Branch","9421 Frederick Road","Ellicott City","21042",,,"C31","9","WEST SIDE OF CENTENNIAL LANE OPPOSITE MAXINE STREET","[TaxMap 30 Parcel 1],[TaxMap 30 Parcel A]","RC-DEO","(39.2453, -76.8752)"
"Hofmann Property, Lot 1","2008-09-24T00:00:00.000","2008-10-20T00:00:00.000","1899-12-31T18:00:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042","2","1.354","R13","9","E SIDE HIGH RIDGE RD 600' S OF IVY DR","[TaxMap 18 Parcel 50]","R-20","(39.2927, -76.8025)"
"Winter Crest","2007-02-22T00:00:00.000","2007-03-12T00:00:00.000","1899-12-31T18:30:00","Elkridge Elementary School","7075 Montgomery Road","Elkridge","21075","8","3.7",,,"N SIDE WINTERS LN 600' NW OF HANOVER RD","[TaxMap 38 Parcel 868]","R-12","(39.1972, -76.7234)"
"MARTIN ROAD PROPERTY","2014-02-24T00:00:00.000","2014-03-25T00:00:00.000","1899-12-31T18:00:00","HICKORY RIDGE COMMUNITY ASSOCIATION","6175 SUNNY SPRING","COLUMBIA ","21044","9","5.07","R49","14","MARTIN ROAD ","[TaxMap 36 Parcel 108],[TaxMap 36 Parcel 4],[TaxMap 36 Parcel 495]","R-12","(39.1883, -76.871)"
"Michael Property","2011-12-23T00:00:00.000","2012-01-28T00:00:00.000","1899-12-31T12:45:00","Elkridge Library","6540  Washington Blvd","Elkridge","21075","8","3.53","R21","12","S SIDE MONTGOMERY RD W OF ROCKBURN WOODS WAY","[TaxMap 37 Parcel 563]","R-20","(39.2138, -76.7718)"
"Oak Hill","2016-01-05T00:00:00.000","2016-02-01T00:00:00.000","1899-12-31T18:00:00","Columbia/Ellicott Rm - Howard Bldg.","3430 Court House Drive","Ellicott City","21043","8","8.19","R43","16","ILCHESTER S OF BONNIE BRANCH","[TaxMap 31 Parcel 618]","R-ED","(39.2483, -76.7685)"
"Forney Property, Lots 1-6","2006-11-28T00:00:00.000","2006-12-28T00:00:00.000","1899-12-31T18:00:00","Emmanuel United Methodist Church (Room #3)","10755 Scaggsville Road","Laurel","20723","6","4.95",,,"N SIDE SCAGGSVILLE RD 450' NW OF PINEWAY DR","[TaxMap 46 Parcel 12],[TaxMap 46 Parcel 6]","R-20","(39.14, -76.8831)"
"Emmanuel United Methodist Church","2009-10-15T00:00:00.000","2009-11-19T00:00:00.000","6:00 p.m.","Emmanuel United Methodist Church","10755 Scaggsville Road","Laurel","20723",,,"C07","10","SOUTH SIDE OF MD RT 216 700' NW OF PINEWAY DR","[TaxMap 46 Parcel 365],[TaxMap 46 Parcel 98]","R-20","(39.1393, -76.886)"
"ReuwerLongTermHoldings(CONDUSE)Offices&Educ. Prog.","2007-12-10T00:00:00.000","2008-01-09T00:00:00.000","1899-12-31T18:30:00","Church of God Office Building","7340 Long View Road","Columbia","21044",,,"C13","8","SOUTH OF LONG VIEW ROAD, WEST OF US 29","[TaxMap 41 Parcel 179]","R-20","(39.1718, -76.8846)"
"10689 Owen Brown Road","2015-10-27T00:00:00.000","2015-11-30T00:00:00.000","1899-12-31T19:00:00","Abiding Savior Lutheran Church","10869 Owen Brown","Columbia","21044","18","4","R31","16","S SIDE OWEN BROWN RD E OF CEDAR LN","[TaxMap 35 Parcel 238]","R-SC","(39.1976, -76.883)"
"Dunwoody Property","2013-07-19T00:00:00.000","2013-08-19T00:00:00.000","1899-12-31T18:00:00","Miller Library","9421  Frederick Road","Ellicott City","21042","2","1","R12","14","OLD ANNAPOLIS RD AT CENTENNIAL PARK NORTH","[TaxMap 24 Parcel 477],[TaxMap 30 Parcel 477]","R-20","(39.2505, -76.8504)"
"Homewood Farm","2007-04-09T00:00:00.000","2007-05-03T00:00:00.000","1899-12-31T18:00:00","Kahler Hall","5440 Old Tucker Row","Columbia","21044","2","14.72",,,"N SIDE HOMEWOOD RD 2000' NW OF MCGEE WAY","[TaxMap 29 Parcel 303]","RC-DEO","(39.2431, -76.9063)"
"Holiday Hills","2015-08-25T00:00:00.000","2015-09-23T00:00:00.000","1899-12-31T18:00:00","Central Branch Library","10375 Little Patuxent Parkway","Columbia","21044","2","1.003","R22","16","HUNTING LANE EAST OF LONGVIEW","[TaxMap 41 Parcel 174]","R-20","(39.1783, -76.8814)"
"Crossroads Church of the Nazarene","2017-04-17T00:00:00.000","2017-05-16T00:00:00.000","6:00 p.m.","On-site, Crossroads Church of the Nazarene","2750 Rogers Avenue","Ellicott City","21043",,,"C20","17","SW SIDE OF ROGERS AVE OPPOSITE OLD FREDERICK RD","[TaxMap 17 Parcel 86],[TaxMap 17 Parcel 87]","R-20","(39.2981, -76.8137)"
"Lois Peters (COND USE)GroupHome/Increase Beds","2008-05-16T00:00:00.000","2008-06-09T00:00:00.000","1899-12-31T18:00:00","Swansfield Elementary School","5610 Cedar Lane","Columbia","21044",,,"C30","8","WEST SIDE OF CEDAR LANE, ABOUT 1100' NORTH OF GRACE DRIVE","[TaxMap 35 Parcel 154]","R-20","(39.1912, -76.8937)"
"Beechcrest Townhouses","2009-04-27T00:00:00.000","2009-05-27T00:00:00.000","7:00 p.m.","Laurel Woods Elementary School cafeteria","9250 Laurel Road","Laurel ","20723","64","5.61","R32","9","W SIDE OF US RT 1 N OF WHISKEY BOTTOM RD","[TaxMap 50 Parcel 435 B]","CE-CLI,R-MH","(39.1184, -76.8307)"
"Bankes Property","2007-11-05T00:00:00.000","2007-11-28T00:00:00.000","1899-12-31T19:00:00","East Columbia Library","6600 Cradelrock Way","Columbia","21045","4","2.79","R34","8","E SIDE CEDAR LN N OF CORINA CT","[TaxMap 35 Parcel 260]","R-20","(39.1922, -76.8893)"
"Ellicott Woods","2013-05-30T00:00:00.000","2013-06-28T00:00:00.000","1899-12-31T18:00:00","Worthington Elementary School","4570 Roundhill Rd","Ellicott City","21043","3","2.03","R57","13","SE SIDE DONCASTER DR S OF LIVE OAK CT","[TaxMap 31 Parcel 22]","R-20","(39.2415, -76.7933)"
"Conditional Use Petition","2017-06-26T00:00:00.000","2017-07-20T00:00:00.000","1899-12-31T18:30:00","Dunloggin Middle School","9129 Northfield Road","Ellicott City","21042",,"0.33","C28","17","E SIDE SAINT JOHNS LN S OF TIBER RIDGE CT","[TaxMap 24 Parcel 245]","R-20","(39.2704, -76.8267)"
"Villa Heights, Lots 1 - 43","2007-06-13T00:00:00.000","2007-07-18T00:00:00.000","1899-12-31T19:00:00","Savage Library","9525 Durness Lane","Laurel","20723","43","10.866",,,"NE SIDE MISSION RD S OF PLEASANT CHASE RD","[TaxMap 43 Parcel 272],[TaxMap 43 Parcel 570]","R-SC","(39.1644, -76.7969)"
"ROVER MILL ESTATES","2014-07-24T00:00:00.000","2014-08-26T00:00:00.000","1899-12-31T18:00:00","SHEPHERD OF THE GLEN LUTHERAN CHURCH","14551 BURNTWOODS ROAD","GLENWOOD","21738","2","6.61","R05","15","DANMARK DR AT ROVER MILL","[TaxMap 15 Parcel 233]","RR-DEO","(39.2933, -77.0019)"
"RESUBD OF SUNSET PLAINS, LOT 3A","2014-06-02T00:00:00.000","2014-06-23T00:00:00.000","1899-12-31T18:30:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21042","2","1.03","R73","14","SUNSET DR AT WATERLOO RD","[TaxMap 31 Parcel 478]","R-20","(39.2303, -76.8008)"
"Cattail Creek Country Club, Inc.","2014-03-31T00:00:00.000","2014-04-29T00:00:00.000","6:00 p.m.","Glenwood Senior Center","2400 Route 97","Cooksville","21723",,,"C24","14","TERMINUS OF CATTAIL CREEK DRIVE","[TaxMap 21 Parcel 211]","RC-DEO","(39.272, -77.0456)"
"Trotters Point","2011-07-18T00:00:00.000","2011-08-11T00:00:00.000","1899-12-31T18:00:00","Clarksville Station No. 5, 5th District VFD","5000 Signal Bell Lane","Clarksville","21029","14","7.66","R05","12","W SIDE TROTTER RD N OF SOUTH WIND CIR","[TaxMap 35 Parcel 165],[TaxMap 35 Parcel 8],[TaxMap 35 Parcel 9]","R-20","(39.2125, -76.9201)"
"Holiday Hills Lot 36","2013-03-01T00:00:00.000","2013-03-25T00:00:00.000","1899-12-31T18:00:00","Central Library","10375 Little Patuxent Pkwy","Columbia","21044","2","1","R43","13","N SIDE OF VISTA RD 500' E OF NEWBERRY DR","[TaxMap  Parcel ],[TaxMap 0041 Parcel 0220],[TaxMap 41 Parcel 220]","R-20","(39.1799, -76.8828)"
"Morris Place - Phase 7","2017-05-02T00:00:00.000","2017-05-31T00:00:00.000","1899-12-31T18:00:00","Elkridge Landing Middle School","7085 Montgomery Road","Elkridge","21075","9","1.547","R49","17","CEMETERY LN AT ROOSEVELT BLVD","[TaxMap 43 Parcel 599]","CAC-CLI","(39.1818, -76.7709)"
"Best Western","2017-06-23T00:00:00.000","2017-07-19T00:00:00.000","1899-12-31T18:00:00","HCLS Savage Branch Library","9525 Durness Lane","Laurel","20723","0","1.48","N01","18","WASHINGTON BLVD E OF DECATUR RD","[TaxMap 50 Parcel 414]","CAC-CLI","(39.1102, -76.8378)"
"Keim Property","2010-02-02T00:00:00.000","2010-03-01T00:00:00.000","1899-12-31T06:30:00","Ellicott City Senior Center - The Great Room","9401  Frederick Road","Ellicott City","21042","25","11","R19","10","NORTH OF I-70 .113 MILES NE OF SULAND CIRCLE","[TaxMap 17 Parcel 416],[TaxMap 17 Parcel 77],[TaxMap 17 Parcel 78]","R-20","(39.2989, -76.8347)"
"CRESTLEIGH, LOT 16","2015-01-08T00:00:00.000","2015-02-02T00:00:00.000","1899-12-31T18:00:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21043","2","1.04","R28","15","TERMINUS OF CLUB COURT","[TaxMap 24 Parcel 696]","R-20","(39.2556, -76.8288)"
"Club Pooche","2013-09-23T00:00:00.000","2013-10-17T00:00:00.000","6:00 p.m.","Florence Bain Senior Center","5470 Ruth Keeton Way","Columbia","21044",,,,,"Clarkesville Pike at Cedar Lane","[TaxMap 29 Parcel 125]","R-20","(39.2337, -76.8928)"
"Eden Brook","2017-02-21T00:00:00.000","2017-03-24T00:00:00.000","6:00 p.m.","New Hope Lutheran Church","8575 Guilford Road","Columbia","21046","23",,"C16","17","GUILFORD RD AT EDEN BROOK DR","[TaxMap 42 Parcel 269]","R-12","(39.1716, -76.8666)"
"Parker Fuel Company (COND USE) Underground Bulk Storage of Fuel Oil","2009-01-28T00:00:00.000","2009-03-04T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C18","9","NORTH CHATHAM RD AT RT 40","[TaxMap 24 Parcel 933]","B-2","(39.2771, -76.833)"
"Shri Sad Guru Krupa, LLC","2017-08-14T00:00:00.000","2017-09-11T00:00:00.000","6:00 p.m.","Melville Chapel U.M. Church","5660 Furnace Street","Elkridge","21075",,,"M03","18","WASHINGTON BLVD AT KIT KAT RD","[TaxMap 43 Parcel 37],[TaxMap 43 Parcel 428]","CE-CLI","(39.1775, -76.7706)"
"Bethel Christian Academy Modular Installation","2011-05-23T00:00:00.000","2011-07-16T00:00:00.000","1899-12-31T09:00:00","Bethel Assembly of God ","8455 Savage Guilford Rd","Savage","20794","0",,"C20","11","EAST OF SAVAGE GUILFORD ROAD ABOUT 200' NORTH OF BALTIMORE STREET","[TaxMap 47 Parcel 768]","R-12,R-SA-8","(39.1392, -76.8233)"
"Hinkle Property","2015-08-11T00:00:00.000","2015-09-24T00:00:00.000","1899-12-31T18:00:00","Maple Lawn Community Center","7600 Maple Lawn Blvd.","Fulton","20759","10","43.26","R19","16","SCAGGSVILLE RD S OF HALL SHOP RD","[TaxMap 40 Parcel 93]","RR-DEO","(39.1689, -76.9509)"
"Pine Tree Road Property ","2009-03-09T00:00:00.000","2009-04-08T00:00:00.000","1899-12-31T18:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723","15","7.09","R29","9","TERMINUS OF PINE TREE DR","[TaxMap 47 Parcel 499]","R-12","(39.1438, -76.8143)"
"Cabassa Property","2008-05-01T00:00:00.000","2008-05-22T00:00:00.000","1899-12-31T18:00:00","Savage Fire Station","8925 Lincoln Street","Savage","20763","2","0.8","R66","8",,"[TaxMap 42 Parcel 142]","R-12","(39.1514, -76.812)"
"Munro Property Lots 1-4","2013-11-25T00:00:00.000","2013-12-20T00:00:00.000","1899-12-31T18:00:00","Clarksville Volunteer Fire Department","5000 Signal Bell Lane","Clarksville","21029","4","14.5954","R33","14","TERMINUS RESERVOIR RD","[TaxMap 45 Parcel 9]","RR-DEO","(39.1343, -76.9465)"
"TROY FARM","2012-06-04T00:00:00.000","2012-07-03T00:00:00.000","1899-12-31T18:30:00","ELKRIDGE LI BRARY","6540 WASHINGTON BLVD","ELKRIDGE","21075","0","1.014","R15","13","E SIDE MEADOWRIDGE RD S OF MD RT 100","[TaxMap 37 Parcel 556]","R-A-15","(39.2018, -76.7804)"
"Square Woods,  Lots 1-3","2016-07-25T00:00:00.000","2016-08-22T00:00:00.000","1899-12-31T18:00:00","Jennings Chapel United Methodist Church","2601 Jennings Chapel Road","Woodbine","21797","3","9.737","R08","17","JENNINGS CHAPEL RD","[TaxMap 20 Parcel 321]","RC-DEO","(39.2818, -77.0832)"
"3965 College Avenue - (Formerly Weaver's Hill & McPherson Property)","2011-02-22T00:00:00.000","2011-03-23T00:00:00.000","6:30 p.m.","Ellicott City Senior Center - Plus Site","9401 Frederick Road","Ellicott City","21042","21","11.7027","R16","11","E SIDE COLLEGE AVE AT WEAVER'S CT","[TaxMap 25 Parcel 309],[TaxMap 25 Parcel 56],[TaxMap 25 Parcel 95]","R-ED","(39.2632, -76.794)"
"Autumn River, Phase II and III","2010-08-24T00:00:00.000","2010-09-22T00:00:00.000","1899-12-31T18:00:00","Taylor Village Senior Center - Great Hall","8165 Cyprus Cedar Lane","Ellicott City","21043","104","79.2385","R03","11","NE COLLEGE AVENUE","[TaxMap 25 Parcel 159],[TaxMap 25 Parcel 172],[TaxMap 25 Parcel 279]",,"(39.2558, -76.7875)"
"St.Augustine Catholic- Amend Special Ex (COND USE)","2007-11-12T00:00:00.000","2007-12-04T00:00:00.000","6:30 p.m.","St. Augustine's School","5990 Old Washington Road","Elkridge","21075",,,"C12","8","EAST OF AUGUSTINE AVENUE, ABOUT 950' SOUTH OF WASH. BLVD.","[TaxMap 38 Parcel 536]","R-12","(39.2113, -76.7168)"
"Winter Crest","2007-02-01T00:00:00.000","2007-02-15T00:00:00.000","1899-12-31T18:30:00","Elkridge Elementary School Cafeteria","7075 Montgomery Road","Elkridge","21076","8","3.7",,,"N SIDE WINTERS LN 600' NW OF HANOVER RD","[TaxMap 38 Parcel 868]","R-12","(39.1972, -76.7234)"
"T-Mobile Northeast LLC","2009-05-13T00:00:00.000","2009-06-18T00:00:00.000","1899-12-31T19:00:00","Rockville Senior Center","19300 Georgia Avenue","Brookeville","20833",,,"C26","9","WEST OF HAVILAND MILL ROAD","[TaxMap 39 Parcel 1]","RR-DEO","(39.1827, -77.0003)"
"Howard Chapel - Ridgeville UM Church (COND USE)","2008-09-02T00:00:00.000","2008-10-01T00:00:00.000","1899-12-31T19:30:00","Howard Chapel Ridgeville UM Church","1970 Long Corner Road","Mt. Airy","21771",,,"C10","9","WEST OF LONG CORNER ROAD, SOUTH OF NEW CUT ROAD","[TaxMap 6 Parcel 125]","RC-DEO","(39.3182, -77.1575)"
"Fazio Property","2008-02-29T00:00:00.000","2008-03-26T00:00:00.000","1899-12-31T18:30:00","St. Michael's Church","1125 St. Michael's Road","Mt. Airy","21771","2","6.348","R57","8","S SIDE OF 144  E OF FLORENCE RD","[TaxMap 7 Parcel 12]","RC-DEO","(39.3409, -77.1111)"
"WR Grace","2016-05-25T00:00:00.000","2016-06-23T00:00:00.000","1899-12-31T18:30:00","River Hill Meeting Room","6330 Trotter Road","Clarksville","21029","0","54.8","N12","16","GRACE DR","[TaxMap 35 Parcel 145]","PEC","(39.1896, -76.9024)"
"Lorman Lykes","1900-01-01T00:00:00.000","2014-03-15T00:00:00.000","1899-12-31T09:00:00","St. Johns Parish Day School","9130 Frederick Rd","Ellicott City","21042",,,"C22","14","E SIDE ST JOHNS LN S OF CRESTLEIGH RD","[TaxMap 24 Parcel 275]","R-20","(39.2592, -76.8242)"
"BS Land Acquisition(COND USE)Age Restr Multi-plex","2006-11-29T00:00:00.000","2006-12-18T00:00:00.000","1899-12-31T18:00:00","Temple Beth Shalom of Howard County","8070 Harriet Tubman Lane","Columbia","21044",,,,,"S SIDE HARRIET TUBMAN LN W OF FREETOWN RD","[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]","R-SA-8","(39.1851, -76.8812)"
"AT&T Scaggsville Rd","2014-01-22T00:00:00.000","2014-02-17T00:00:00.000","1899-12-31T18:30:00","Maple Lawn Community Center","7600 Maple Lawn Blvd","Fulton","20759","0","20.99","N03","14","N SIDE RT 216 1800' E OF BROWN'S BRIDGE RD","[TaxMap 40 Parcel 2]","RR-DEO","(39.1658, -76.9374)"
"Art Gallery - CONDITIONAL USE","2006-03-29T00:00:00.000","2006-04-17T00:00:00.000","1899-12-31T18:00:00","Glenwood Branch Library","2350 Rt 97","Cooksville","21723",,,,,"N SIDE OF RT 144","[TaxMap 8 Parcel 107]","RC-DEO","(39.3181, -77.0092)"
"4925 Montgomery Road","2011-12-12T00:00:00.000","2012-01-04T00:00:00.000","1899-12-31T18:00:00","Central Library","10375  Little Patuxent Parkway","Columbia, Maryland","21044","5","3.778","R18","12","MONTGOMERY RD S OF WATERLOO RD","[TaxMap 31 Parcel 593]","R-20","(39.236, -76.7951)"
"LYNN CHAIRS","2012-11-19T00:00:00.000","2012-12-27T00:00:00.000","1899-12-31T18:00:00","HOWARD COUNTY MILLER LIBRARY","9421 FREDERICK RD","ELLICOTT CITY","21042",,,"C12","13","INTERSECTION OF FURROW AVE & PAISLEY DR","[TaxMap 17 Parcel 619]","R-20","(39.3045, -76.8379)"
"Roxbury","2015-12-07T00:00:00.000","2016-01-13T00:00:00.000","6:00 P.M.","Glenwood Branch Library","2350 Route 97","Glenwood","21738",,,"M01","16","SOUTHEAST CORNER OF MCKENDREE RD AND RT 97","[TaxMap 14 Parcel 217]","RR-DEO","(39.3002, -77.0197)"
"Historic Ellicott City- Residential Apartments","2008-01-22T00:00:00.000","2008-02-27T00:00:00.000","1899-12-31T18:00:00","St. Paul's Catholic Church (Donony Hall)","3755 St. Paul Street","Ellicott City","21043","8","0.207","R47","8","BETWEEN MAIN ST & ST PAUL ST EAST OF MARYLAND AVE","[TaxMap 25A Parcel 142],[TaxMap 25A Parcel 310],[TaxMap 25A Parcel 45]","HC,R-VH","(39.267, -76.7965)"
"Trotter Pointe","2007-03-27T00:00:00.000","2007-04-17T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station","5000 Signal Bell","Clarksville","21029","14","7.65",,,"W SIDE TROTTER RD N OF SOUTH WIND CIR","[TaxMap 35 Parcel 165],[TaxMap 35 Parcel 8],[TaxMap 35 Parcel 9]","R-20","(39.2125, -76.9201)"
"Columbia Memorial Park, Lot 3","2011-09-09T00:00:00.000","2011-10-05T00:00:00.000","1899-12-31T18:00:00","Central Library","10375 Little Patuxent Parkway","Columbia, Maryland","21044","0","25.638","N03","12","CLARKSVILLE PIKE & TROTTER ROAD","[TaxMap 29 Parcel 371]","NT","(39.2199, -76.9254)"
"Totaro Property","2010-03-15T00:00:00.000","2010-05-24T00:00:00.000","1899-12-31T18:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723","2","0.6329","R25","10","NORTHWEST CORNER OF RT. 1 AND HOWARD STREET","[TaxMap 47 Parcel 119]","R-SC","(39.1367, -76.8152)"
"Levine","2007-10-01T00:00:00.000","2007-10-30T00:00:00.000","1899-12-31T19:00:00","Dayton Oaks Elementary School","4691 Ten Oaks Road","Dayton","21036","2","6.9","R22","8","E SIDE OF LINTHICUM RD S OF TRIADELPHIA RD N OF HOWARD RD","[TaxMap 22 Parcel 217],[TaxMap 28 Parcel 217]","RR-DEO","(39.251, -76.9911)"
"Red Lion","2015-08-13T00:00:00.000","2015-09-08T00:00:00.000","1899-12-31T18:00:00","Kiwanis-Wallas Hall","3300 Norberts Way","Ellicott City","21042","0","11.927","N02","16","BGE EASEMENT NE OF MT. HEBRON HIGH SCHOOL","[TaxMap 17 Parcel 537]","R-20","(39.3039, -76.8359)"
"GPC playground","2017-07-22T00:00:00.000","2017-08-09T00:00:00.000","6:00 p.m.","Garden PResbyterian Church","8665 Old Annapolis Road","Columbia","21045",,,"C03","18","OLD ANNAPOLIS RD","[TaxMap 30 Parcel 110]","R-20","(39.2228, -76.8112)"
"Harwood Park","2013-05-23T00:00:00.000","2013-06-19T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Department","6275  Old Washington BLvd","Elkridge","21075","2","0.28","R55","13","W SIDE BEECHFIELD AVE N OF HIGHLAND AVE","[TaxMap 38 Parcel 873]","R-12","(39.1959, -76.7404)"
"Landing Road Property","2007-07-23T00:00:00.000","2007-08-30T00:00:00.000","1899-12-31T18:00:00","Miller Library","9421 Frederick Road","Ellicott City","21042","3","2.31","R09","8",,"[TaxMap 31 Parcel 323]","R-ED","(39.2328, -76.763)"
