"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","SHERIFF'S CORRECTIONAL LIEUT","Asian","40 - 49","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Safety Services","Administrative Support","DEPARTMENT OF CORRECTION","OFFICE SPECIALIST III-CONF CLR","Asian","50 - 59","Male"
"Safety Services","Professionals","DEPARTMENT OF CORRECTION","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Hispanic/Latino","Over 60","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","White","40 - 49","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Not Specified","40 - 49","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Not Specified","Over 60","Male"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Not Specified","50 - 59","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Not Specified","30 - 39","Female"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","White","30 - 39","Male"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","Not Specified","Under 30","Male"
"Other","No EEO-4 Reporting","SUPERVISORIAL DISTRICT 1","BOARD AIDE - U","White","30 - 39","Female"
"Other","Officials and Administrators","FACILITIES","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","White","Over 60","Female"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Asian","50 - 59","Male"
"Other","Officials and Administrators","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","Over 60","Male"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Asian","Over 60","Male"
"Other","Officials and Administrators","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","FACILITIES","ADMIN SUPPORT OFFICER II","Not Specified","50 - 59","Female"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Administrative Support","FACILITIES","EXEC ASSISTANT I","Asian","Over 60","Female"
"Other","Officials and Administrators","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","FACILITIES","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Asian","Over 60","Male"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Hispanic/Latino","40 - 49","Male"
"Other","Professionals","FACILITIES","CAPITAL PROJECTS MGR III","Asian","50 - 59","Female"
"Other","Officials and Administrators","FACILITIES","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
