"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"Chemeketa Community College SBDC","Meet Your Small Business Development Center","Are you just starting out on your business journey? Not sure if owning a business is right for you? Are you wondering where to find out what you need and where you can get expert help to begin? Join us for this brief introduction to business ownership","2021-08-05T12:00:00.000","2021-08-05T13:00:00.000","PDT","Fee: No Cost",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410067)",,,,,
"Central Oregon Community College SBDC","Preparándose para el lanzamiento en español","¿Le gustaría empezar su propio negocio? Asista a las clases en la cual aprenderán como tramitar los requisitos necesarios. Para más información, por favor llame a José Balcazar al teléfono 541-318-3701.","2021-08-04T18:00:00.000","2021-08-04T20:00:00.000","PDT","Costo: $ 29.00",,,,"Regístrese y pague aquí (https://www.enrole.com/cocc/jsp/course.jsp?categoryId=10205&courseId=BUSSTARTSPANISH)",,,,,
"Central Oregon Community College SBDC","Preparing for Launch: August 4","Do you have a great idea that you think could be a successful business, but just don't know how to get started? Cover the basics in this two-hour class and decide if running a business is for you. ","2021-08-04T11:00:00.000","2021-08-04T13:00:00.000","PDT","Cost: $29.00",,,,"Register & Pay Here (https://www.enrole.com/cocc/jsp/session.jsp?sessionId=SU21BUSSTARTUP.2&courseId=BUSSTARTUP&categoryId=10205)",,,,,
"Secretary of State","Basics Notary Webinar","Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","2021-08-04T09:00:00.000","2021-08-04T00:00:00.000",,"Free training to become a notary",,,,"Register online (https://notsem.sos.state.or.us/)",,,,,
"Blue Mountain Community College SBDC","Selling on Social: Driving Traffic","In this second session of our Selling on Social 2-part series, you will learn how to set up ad campaigns on Facebook and Instagram. Facebook and Instagram ad campaigns allow businesses incredible precision in who and where they advertise.","2021-08-04T09:00:00.000","2021-08-04T10:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=10410015)",,,,,
"SCORE - Portland","Starting a Food Cart Business ","Learn all the steps required to open a food cart business in the Portland area. This workshop covers licensing, agency approvals, estimated costs and other issues that can lead to a successful food cart business.","2021-08-03T09:00:00.000","2021-08-03T11:00:00.000","PDT","Cost: $10 per person",,,,"Register Online (https://events.r20.constantcontact.com/register/eventReg?oeidk=a07eiaadzfncadb2cba&oseq=&c=&ch=)",,,,,
"Columbia Gorge Community College SBDC","Digital Marketing","Learn to promote your business using the various social media platforms, create internet ads and buy ad space on social media sites, and manage your company on Google","2021-08-02T18:00:00.000","2021-08-02T21:00:00.000","PDT","Cost: $25.00",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410128)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Coffee and Issues ","In person meeting at the OAME Center,  731 N Hayden Meadows Dr, Portland OR 97217. Phone # 503-249-7744 ","2021-07-30T07:00:00.000","2021-07-30T08:30:00.000","PDT","Cost: No Fee",,,,"Online contact form: (https://oame.org/contact-oame/)",,,,,
"SCORE Central Oregon","Local Search Engine Optimization(SEO) Strategies to Get Your Business Found Online","When people are looking for products or services from local businesses, 97% of them turn to the internet. So if you own a local business, will people find YOUR company’s website when they search online?","2021-07-29T10:00:00.000","2021-07-29T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://centraloregon.score.org/event/local-search-engine-optimizationseo-strategies-get-your-business-found-online)",,,,,
"Business Oregon, OMEP","4 Words that Could Change Your Business Forever: Have you considered Exporting?","Don’t miss this informative training opportunity for leaders who are interested in exploring new sales channels. Exporting is not as difficult as you might think and offers profitable long-term rewards.  The Riddle of the Exporter ™ seminar is sponsored by Business Oregon with the help of OMEP. This session will share a simple 8 step exporting process for small businesses. Now is the perfect time to consider exporting.","2021-07-28T14:00:00.000","2021-07-28T15:00:00.000","Oregon","Free online webinar","Alexa Byers",,"Alexa.Byers@oregon.gov","Register for the free webinar  (https://www.omep.org/event/4-words-that-could-change-your-business-forever/)",,,,"Business Owners",
"Oregon Manufacturing Extension Partnership (OMEP)","4 Words that Could Change Your Business Forever","4 Words that Could Change Your Business Forever: Have you considered Exporting?  Don’t miss this informative training opportunity for leaders who are interested in exploring new sales channels. Exporting is not as difficult as you might think and offers profitable long-term rewards.","2021-07-28T14:00:00.000","2021-07-28T15:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://us02web.zoom.us/webinar/register/WN_1sePfyLgRB6VSuITWUT0rw)",,,,,
"SCORE Central Oregon","How To Leverage LinkedIn for Lead Generation","If you are wondering how to use LinkedIn properly so you can get noticed, build your 1st-degree connections, gain exposure, and boost revenue for your business, tune in!","2021-07-27T10:00:00.000","2021-07-27T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1469238&tp_key=41233b06fc&sti=scoreeventpage)",,,,,
"U.S. Small Business Administration Office of Capital Access ","COVID EIDL Webinar Series","The U.S. Small Business Administration Office of Capital Access will host a webinar series for small business owners to discuss the COVID EIDL (Economic Injury Disaster Loan) program’s small business loans. ","2021-07-27T10:00:00.000","2021-08-02T18:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_h2n4crRtQrSq-yYdUK1LHg?utm_medium=email&utm_source=govdelivery)",,,,,
"Oregon Manufacturing Extension Partnership (OMEP)","Rethink KPIs: Which Metrics You Should Focus On","The COVID-19 pandemic has changed the way higher education leaders view and report on key performance indicators (KPIs). While most finance professionals still embrace a less-is-more approach to monitoring KPIs, institutions often have a thirst for more information—if measuring three KPIs helps operations, wouldn’t measuring 10 be even better? Not necessarily.","2021-07-27T10:00:00.000","2021-07-27T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mossadams.com/events/2021/07/rethink-kpis-which-metrics-you-should-focus-on)",,,,,
"Reinventing Rural","Get Started – A CO.STARTERS Workshop to Help Launch Your Small Business – Philomath","At: Maxtivity Art and Craft Creative Space 1604 Main Street, Philomath","2021-07-27T09:00:00.000","2021-07-27T12:00:00.000","PDT","Cost: Free",,,,"Register Online (https://reinventingrural.com/event/get-started-philomath-july27/)",,,,,
"Salem Capitol Connections","How does Cybercrime affect YOUR business?","Join Supriya Shanbhag from the Mount Hood Small Business Development Center for an information session on cybersecurity","2021-07-27T07:30:00.000","2021-07-27T09:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410033)",,,,,
"SCORE - Vancouver","Growing Your Business 3 - Marketing Your Business","This SCORE webinar focuses on Marketing your Business. We’ll look at setting acquiring market data source information online or from your Library. A discussion on setting Marketing Goals for your business follows. And we’ll look at the all-important aspects of pricing, branding and competitor analysis.","2021-07-24T10:00:00.000","2021-07-24T11:00:00.000","PDT","Cost: Free",,,,"Register online (https://score.tfaforms.net/17?EventID=a105a000006v4RL&origination=https%3A//vancouver.score.org/event/growing-your-business-3-marketing-your-business%3Futm_medium%3Demail%26utm_source%3Dgovdelivery&_gl=1*q1kstr*_ga*NzU4Njk5MTEwLjE2MTgzMzAwMDU.*_ga_JDKRHEG2B3*MTYyNjc5NzcwNC4xLjAuMTYyNjc5NzcwNC4w&_ga=2.86503953.841098032.1626797705-758699110.1618330005)",,,,,
"Mercy Corps Northwest","Funding Friday","Access to capital is vital for all small businesses and it provides a unique challenge during COVID-19. The funding landscape is constantly changing.","2021-07-23T13:30:00.000","2021-07-23T14:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mercycorpsnw.org/event/online-webinar-funding-friday-july-23/?utm_medium=email&utm_source=govdelivery)",,,,,
"WE - Women Entrepreneurs","Women Entrepreneurs WE Chat Ask Your Burning Small Business Questions","Marlene Peterson, Melinda Short, and Anne Whittington have a combined 30 years of small businesses experience.   Each of them have over 5 years working as SBDC small business advisors. Additionally, they all have started and owned numerous rural small businesses in industries including construction, food, daycare, and digital marketing. ","2021-07-23T10:00:00.000","2021-07-23T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://us02web.zoom.us/meeting/register/tZIqde-rqD4rHdPTqBmNSKjCuoEfhYvoLgpv)",,,,,
"SBA Pacific Northwest Region","Understanding Tax Credits","Join the SBA Pacific Northwest Region for this webinar when a local IRS representative will provide detailed information to help you navigate various small business tax credits and how they can benefit your business.","2021-07-22T10:00:00.000","2021-07-22T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/small-business-understanding-tax-credits-tickets-162594465423?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Central Oregon","The Million Dollar Marketer's Roadmap - How to Build a Solid Digital Marketing Foundation","From working with thousands of small business marketers and studying the daily practices of successful ones, this value-packed workshop provides a roadmap for any small business owner to build a solid digital marketing foundation and strive toward those coveted seven figures of revenue.","2021-07-22T10:00:00.000","2021-07-22T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1468913&tp_key=53533e69c7&sti=scoreeventpage)",,,,,
"US Small Business Administration ","Finance & Equity","An equitable recovery for small businesses in the wake of devastating economic impact from the COVID-19 pandemic presents an imperative and an opportunity.","2021-07-22T09:00:00.000","2021-07-22T10:30:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.reimaginemainstreet.org/finance-and-equity?utm_medium=email&utm_source=govdelivery)",,,,,
"Hispanic Metropolitan Chamber","HMC'S LATINO NETWORKING EVENT ","Time: 6:00pm – 8:00pm  Place: Rex Hill Winery 30835 Oregon 99W, Newberg, OR 97132 Sponsor: Wells Fargo ","2021-07-21T18:00:00.000","2021-07-21T20:00:00.000","PDT","Cost: $35 to members & $45 non-members",,,,"RSVP Online (https://www.eventbrite.com/e/latino-networking-event-tickets-159187551251)",,,,,
"Reinventing Rural ","Get Started – A CO.STARTERS Workshop to Help Launch Your Small Business – Harney County","At: Harney County Chamber of Commerce Community Center 484 North Broadway Avenue, Burns","2021-07-21T17:00:00.000","2021-07-21T20:00:00.000","PDT","Cost: Free",,,,"Register Online (https://reinventingrural.com/event/get-started-harney-july2021/)",,,,,
"Oregon Manufacturing Extension Partnership (OMEP)","State and Local Tax Considerations for E-commerce Businesses","If left unattended, taxes imposed by the state and local jurisdictions can wreak havoc on your company’s hard-earned success, put constraints on your company’s finances and cash flow, and place a heavy burden on your team’s valuable time.","2021-07-20T10:00:00.000","2021-07-20T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mossadams.com/events/2021/07/state-and-local-tax-considerations-for-e-commerce?mkt_tok=Mzg0LUJYQi02MzAAAAF9_Q3TQGsnmJSjwavz6VGp3l8e7d6uR-XwViqADlv0n-sPQ9kT_MokcjokrFXYnJ4TErwPbsx5DxE82qsHn3sz5SVU5p24woNRz1mPCQRV4k4#registration)",,,,,
"Oregon Manufacturing Extension Partnership (OMEP)","The Business Imperative of Inclusion and Diversity","Leading an organization with an inclusion and diversity (I&D) mindset can boost innovation, attract and retain top talent, and enable your organization to better serve the growing diversity of your clients and communities.","2021-07-19T10:00:00.000","2021-07-19T11:15:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mossadams.com/events/2021/07/the-business-imperative-of-inclusion-and-diversity)",,,,,
"U.S. Small Business Administration","Getting Back on Track: Help is Here","Getting Back on Track: Help is Here","2021-07-15T11:00:00.000","2021-07-15T12:00:00.000","PDT",,,,,"Register Online (https://us02web.zoom.us/webinar/register/WN_4v5-NjdPQVGlvrUXwVROVA?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Central Oregon","Attract Clients and Position Your Brand with Content Marketing","In this webinar, SCORE Mentor Jasmine Powers will show you five key ways to get control of your content marketing for attracting clients and positioning your brand.","2021-07-15T10:00:00.000","2021-07-15T11:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1470282&tp_key=dfab5ce7df&sti=scoreeventpage)",,,,,
"Oregon Manufacturing Extension Partnership (OMEP)","Cybersecurity Forum","The content will be targeted to both management and technical staff working toward cybersecurity compliance with the Department of Defense’s Cybersecurity Maturity Model Certification (CMMC) and other cybersecurity efforts.","2021-07-15T09:00:00.000","2021-07-15T10:30:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.pndc.us/index.php?option=com_jevents&task=icalrepeat.detail&evid=529&Itemid=115&year=2021&month=07&day=15&title=cybersecurity-forum-&uid=979956f1b9daf999c3f3857b646f11e9&catids=22|24|47|42|25)",,,,,
"OMEP (Oregon Manufacturing Extension Partnership)","Innovating Solutions – ERP Next, a Public/Private Partnership at Work","SEDCOR July Economic Business Forum Webinar","2021-07-14T12:00:00.000","2021-07-14T13:00:00.000","PST","Cost: No Fee",,,,"Register Online (https://us02web.zoom.us/webinar/register/WN_sv0mGETXRDCOUgTdd_TKUw)",,,,,
"OMEP(Oregon Manufacturing Extension Partnership)","How to Develop Forward Thinking Financial Dashboards","Strong financial reporting is essential to a company’s current and long-term success. Your company’s financial data should tell the story of your organization’s health—in its current state and in the future.","2021-07-14T12:00:00.000","2021-07-14T01:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mossadams.com/events/2021/07/how-to-develop-forward-thinking-financial-dashboar)",,,,,
"Oregon's Procurement Technical Assistance Center (GCAP)","Are You Eligible for the HUBZone Program?","The Historically Underutilized Business Zone (HUBZone) Program helps  small businesses in urban and rural communities gain preferential access  to federal procurement opportunities.","2021-07-14T09:00:00.000","2021-07-14T10:00:00.000","OR","Cost: No Fee",,,,"Register Online (https://center-gateway.com/2/gateway/020000/events/event_detail;event_id=60811)",,,,,
"Oregon Association of Minority Entrepreneurs","OAME","Veterans Committee","2021-07-09T09:00:00.000","2021-07-09T10:00:00.000","PDT","Cost: No Fee",,,,"Contact OAME to register (https://oame.org/contact-oame/)",,,,,
"Oregon Association of Minority Entrepreneurs","OAME","Contractors & AEPT Meeting","2021-07-09T07:30:00.000","2021-07-09T09:00:00.000","PDT","Cost: No Fee",,,,"Contact OAME to register (https://oame.org/contact-oame/)",,,,,
"Mercy Corps Northwest","Rebuilding Your Foundations Under COVID","This class is designed for business owners who in the last year who suffered losses in revenue saw declines in customers, or had to make operational changes due to COVID-19.","2021-07-06T16:00:00.000","2021-08-03T19:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.mercycorpsnw.org/event/online-rebuilding-your-foundations-under-covid-tuesdays-beginning-july-6/)",,,,,
"SCORE - Willamette","Power Branding - Getting and Keeping Your Next Customer","How can you GET and KEEP your next customer through the power of great branding?","2021-07-01T10:00:00.000","2021-07-01T00:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1468088&tp_key=892225d04b&sti=scoreeventpage)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-03-31T09:00:00.000","2021-03-31T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-03-30T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-03-23T09:00:00.000","2021-03-23T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-03-22T09:00:00.000"
"Secretary of State","Advanced  Notary Webinar","Free advanced training for current notaries ONLY","2021-03-15T09:00:00.000","2021-03-15T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-03-14T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-03-10T09:00:00.000","2021-03-10T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-03-09T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-03-02T09:00:00.000","2021-03-02T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-03-01T09:00:00.000"
"Secretary of State","Advanced  Notary Webinar","Free advanced training for current notaries ONLY","2021-02-24T09:00:00.000","2021-02-24T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-02-23T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-02-15T09:00:00.000","2021-02-15T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-02-14T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-02-09T09:00:00.000","2021-02-09T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-02-08T09:00:00.000"
"Secretary of State","Advanced  Notary Webinar","Free advanced training for current notaries ONLY","2021-02-01T09:00:00.000","2021-02-01T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-31T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-27T09:00:00.000","2021-01-27T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-25T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-25T09:00:00.000","2021-01-25T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-20T09:00:00.000","2021-01-20T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-18T09:00:00.000","2021-01-18T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-13T09:00:00.000","2021-01-13T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
"Secretary of State","Advanced  Notary Webinar","Free advanced training for current notaries ONLY","2021-01-12T09:00:00.000","2021-01-12T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-11T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-06T09:00:00.000","2021-01-06T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-01-04T09:00:00.000","2021-01-04T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque",,"monique.bourque@sos.oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,,,"2021-01-03T09:00:00.000"
