"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Employment, Oregon Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","471-2007-01-01","1111427",,,,,,,,,,,,,,,,,,,"3"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 2006 and 2005","2007-09","3","2007","false","1044499",,,,,,,,,,,,,,,,,,,,,,,"13"
"Environmental Quality, Department of","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,"Management Letter","340-2007-01-01 (M66)","1009555",,,,,,,,,,,,,,,,,,,"31"
"Environmental Quality, Department of","Clean Water State Revolving Fund Program For the Fiscal Year Ended June 30, 2006","2007-12","6","2007","false","1045195",,,,,,,,,,,,,,,,,,,,,,,"16"
"Environmental Quality, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","340-2007-01-01","1111422",,,,,,,,,,,,,,,,,,,"5"
"Environmental Quality, Department of","Statewide Audit of Selected Financial Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","340-2007-02-01","1111423",,,,,,,,,,,,,,,,,,,"8"
"Fish and Wildlife, Department of","Change of Director Review",,"5","2007","false",,,"Management Letter","635-2007-05-01","1111434",,,,,,,,,,,,,,,,,,,"17"
"Fish and Wildlife, Department of","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,"Management Letter","635-2007-01-01(M66)","1009553",,,,,,,,,,,,,,,,,,,"31"
"Fish and Wildlife, Department of","Federal Reimbursement and Cash Management Review","2007-17","8","2007","false","1045200",,,,,,,,,,,,,,,,,,,,,,,"21"
"Fish and Wildlife, Department of","Statewide Audit of Selected Financial Accounts and Federal Awards For Year Ended June 30, 2006",,"1","2007","false",,"Financial Audit","Management Letter","635-2007-01-01","1111433",,,,,,,,,,,,,,,,,,,"26"
"Forestry, Department of","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,,,,,,,,,,,,,,,,,,,,,,"31"
"Forestry, Department of","Statewide Single Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"6","2007","false",,"Financial Audit","Management Letter","629-2007-06-01","1111431",,,,,,,,,,,,,,,,,,,"29"
"Government Accountability Hotline","Calendar Year 2006","2007-16","6","2007","false","1045199",,,,,,,,,,,,,,,,,,,,,,,"20"
"Government Standards and Practices Commission","Change of Director Review",,"5","2007","false",,,"Management Letter","199-2007-05-01","1111415",,,,,,,,,,,,,,,,,,,"17"
"Health & Science University, Oregon","Biomedical Research Building Construction Audit","2007-08","3","2007","false","1044498",,,,,,,,,,,,,,,,,,,,,,,"12"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds For the Fiscal Year Ended June 30, 2007","2007-34","12","2007","false","1045217",,,,,,,,,,,,,,,,,,,,,,,"26"
"Housing and Community Services Department","Statewide Audit of Selected Financial Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","914-2007-02-01","1111439",,,,,,,,,,,,,,,,,,,"1"
"Housing and Community Services Department","Change of Director Review",,"5","2007","false",,,"Management Letter","914-2007-05-01","1111440",,,,,,,,,,,,,,,,,,,"17"
"Housing and Community Services Department","Financial Statement Audit for the Fiscal Year Ended June 30, 2007",,"12","2007","false",,,"Management Letter","914-2007-12-01","6731529",,,,,,,,,,,,,,,,,,,"28"
"Human Services, Department of","Information Audit of the Adoption Assistance Program","2007-13","6","2007","false","1045196",,,,,,,,,,,,,,,,,,,,,,,"17"
"Human Services, Department of","Combined Check Reconciliation System & Accounting Interface Application Controls Review","2007-15","6","2007","false","1045198",,,,,,,,,,,,,,,,,,,,,,,"19"
"Human Services, Department of","Applying Agreed-Upon Procedures: Safe Drinking Water Revolving Loan Fund","2007-30","12","2007","false","1045213",,,,,,,,,,,,,,,,,,,,,,,"22"
"Human Services, Department of","Investigations of Time Reporting and State Vehicle Usage",,"7","2007","false",,,"Management Letter","100-2007-07-01","1111408",,,,,,,,,,,,,,,,,,,"24"
"Human Services, Department of","Statewide Audit of Selected Financial Accounts and Federal Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","100-2007-02-01","1111407",,,,,,,,,,,,,,,,,,,"20"
"Judicial Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","198-2007-01-01","1111414",,,,,,,,,,,,,,,,,,,"4"
"Lands, Department of State","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","141-2007-01-01","1111412",,,,,,,,,,,,,,,,,,,"29"
"Legislative Audit Committee","State Auditor's Report 2005-2007 Biennium","2007-20","9","2007","false","1045203",,,,,,,,,,,,,,,,,,,,,,,"24"
"Liquor Control Commission, Oregon","Broad-Based Risk Assessment",,"3","2007","false",,,"Management Letter","845-2007-03-01","1111438",,,,,,,,,,,,,,,,,,,"29"
"Lottery Commission, Oregon State","For the Year Ended June 30, 2006","2007-05","2","2007","false","1013986",,,,,,,,,,,,,,,,,,,,,,,"9"
"Military Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","248-2007-01-01","1111416",,,,,,,,,,,,,,,,,,,"2"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2006","2007-06","2","2007","false","1044496",,,,,,,,,,,,,,,,,,,,,,,"10"
"Parks and Recreation Department, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","634-2007-01-01","1111432",,,,,,,,,,,,,,,,,,,"16"
"Police, Department of Oregon","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,"Management Letter","257-2007-01-01","1111417",,,,,,,,,,,,,,,,,,,"31"
"Police, Department of Oregon","Change of Director Review",,"11","2007","false",,,"Management Letter","257-2007-11-01","1111420",,,,,,,,,,,,,,,,,,,"28"
"Police, Department of Oregon","Review of the Use of 9-1-1 Excise Tax Funds by the Town of Lakeview for Fiscal Years 2002 Through 2005",,"3","2007","false",,,"Management Letter","257-2007-02-01","1111418",,,,,,,,,,,,,,,,,,,"5"
"Police, Department of Oregon","Review of Accounting Procedures Related to Dedicated Funds For the Fiscal Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","257-2007-02-02","1111419",,,,,,,,,,,,,,,,,,,"22"
"Private Health Partnerships, Office of","Statewide Audit of Selected Financial Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","442-2007-02-01","1111426",,,,,,,,,,,,,,,,,,,"14"
"Psychologist Examiners, State Board of","Change of Director Review",,"7","2007","false",,,"Management Letter","122-2007-07-01","1111411",,,,,,,,,,,,,,,,,,,"2"
"Public Defense Services, Office of","Change of Director Review",,"3","2007","false",,,"Management Letter","404-2007-03-01","1111424",,,,,,,,,,,,,,,,,,,"6"
"Public Employees Retirement System","jClarety Application Controls Review","2007-04","2","2007","false","1009559",,,,,,,,,,,,,,,,,,,,,,,"8"
"Revenue, Department of","9-1-1 Tax Review","2007-23","9","2007","false","1045206",,,,,,,,,,,,,,,,,,,,,,,"27"
"Revenue, Department of","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2006",,"1","2007","false",,,"Management Letter","150-2007-01-01","1111413",,,,,,,,,,,,,,,,,,,"12"
"SAIF Corporation","Financial Statements as of and for the Years Ended December 31, 2006 and 2005, and Independent Auditor's Report","2007-21","9","2007","false","1045204","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"25"
"SAIF Corporation","Financial Statements - Statutory Basis as of and for the Years Ended December 31, 2006 and 2005, Supplemental Schedules as of December 31, 2006, and Independent Auditors' Report","2007-22","9","2007","false","1045205","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"26"
"Transportation, Oregon Department of","Oregon Transportation Investment Act III Bridge Delivery Program","2007-02","2","2007","false","1009557",,,,,,,,,,,,,,,,,,,,,,,"6"
"Transportation, Oregon Department of","Loss of Funds Coos Bay Sign Crew","2007-11","4","2007","false","1044501",,,,,,,,,,,,,,,,,,,,,,,"15"
"Transportation, Oregon Department of","Investigation of Allegations Relating To Activities At the Iron Mountain Rock Quarry",,"8","2007","false",,,"Management Letter","730-2007-08-01","1111437",,,,,,,,,,,,,,,,,,,"30"
"Transportation, Oregon Department of","Statewide Audit of Selected Financial Accounts and Federal Awards For Year Ended June 30, 2006",,"2","2007","false",,,"Management Letter","730-2007-02-01","1111435",,,,,,,,,,,,,,,,,,,"6"
"Transportation, Oregon Department of","Investigation of Contracting Practices Related to Oregon Bridge Delivery Partners",,"3","2007","false",,,"Management Letter","730-2007-03-01","1111436",,,,,,,,,,,,,,,,,,,"21"
"Treasurer, Office of the State","Oregon Short-Term Fund An Investment Pool of the State of Oregon For the Year Ended June 30, 2007","2007-18","9","2007","false","1045201",,,,,,,,,,,,,,,,,,,,,,,"22"
"University System, Oregon","Construction Audit of the Northwest Center For Engineering, Science and Technology at Portland State University","2007-03","2","2007","false","1009558",,,,,,,,,,,,,,,,,,,,,,,"7"
"University System, Oregon","2007 Annual Financial Report","2007-29","12","2007","false","1045212","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"21"
"Veterans' Affairs, Department of","Enhancement and Expansion of County Veterans Services","2007-27","11","2007","false","1045210",,,,,,,,,,,,,,,,,,,,,,,"18"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds for the Fiscal Years Ended June 30, 2007 and June 30, 2006","2007-32","12","2007","false","1045215",,,,,,,,,,,,,,,,,,,,,,,"24"
"Watershed Enhancement Board","Compliance Audit of Measure 66 for 2003-05 Biennium","2007-01","1","2007","false","1008793",,"Management Letter","691-2007-01-01","1009552",,,,,,,,,,,,,,,,,,,"31"
"Administrative Services, Department of","State Data Center Review","2008-21","7","2008","false","1056949",,,,,,,,,,,,,,,,,,,,,,,"21"
"Administrative Services, Department of","Oregon State Payroll Application Computer Controls Review","2008-28","9","2008","false","1056956",,,,,,,,,,,,,,,,,,,,,,,"28"
"Administrative Services, Department of","Statewide Financial Management Application Computer Controls Review","2008-29","9","2008","false","1056957",,,,,,,,,,,,,,,,,,,,,,,"29"
"Administrative Services, Department of","Statewide Financial Management Application Computer Controls Review","2008-29","9","2008","false","1056957",,,,,,,,,,,,,,,,,,,,,,,"29"
"Administrative Services, Department of","Smart Buy Program Review","2008-19","6","2008","false","1056939",,,,,,,,,,,,,,,,,,,,,,,"19"
"Advocacy Commissions Office, Oregon","Change of Director Review",,"3","2008","false",,,"Management Letter","131-2008-03-01","1057604",,,,,,,,,,,,,,,,,,,"27"
"Advocacy Commissions Office, Oregon","Change of Director Review",,"3","2008","false",,,"Management Letter","131-2008-03-01","1057604",,,,,,,,,,,,,,,,,,,"27"
"Agriculture, Department of","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968",,"Management Letter","603-2008-07-01","1057630",,,,,,,,,,,,,,,,,,,"10"
"Appraiser Certification and Licensure Board","For the Biennium Ended June 30, 2007","2008-04","4","2008","false","1056736",,,,,,,,,,,,,,,,,,,,,,,"8"
"Architect Examiners, State Board of","For the Biennium Ended June 30, 2007","2008-05","4","2008","false","1056737",,,,,,,,,,,,,,,,,,,,,,,"9"
"Beef Council, Oregon","For the Year Ended June 30, 2008","2008-30","10","2008","false","1056958",,,,,,,,,,,,,,,,,,,,,,,"1"
"Blind, Oregon Commission for the","Statewide Single Audit Including a Selected Federal Program for the Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","585-2008-03-01","1057628",,,,,,,,,,,,,,,,,,,"10"
"Children and Families, Oregon Commission on","Audit of Selected Federal Program for June 30, 2007",,"7","2008","false",,,"Management Letter","423-2008-07-01","1057621",,,,,,,,,,,,,,,,,,,"8"
"Columbia River Gorge Commission","July 1, 2006 to June 30, 2007","2008-02","3","2008","false","1056734",,,,,,,,,,,,,,,,,,,,,,,"10"
"Community Colleges and Workforce Development, Department of","Statewide Single Audit Including Selected Federal Programs for the Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","586-2008-03-01","1057629",,,,,,,,,,,,,,,,,,,"3"
"Consumer and Business Services, Department of","Statewide Single Audit Including Selected Financial Accounts For Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","440-2008-02-01","1057622",,,,,,,,,,,,,,,,,,,"4"
"Corrections, Department of","Statewide Single Audit Including Selected Financial Accounts for Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","291-2008-02-01","1057615",,,,,,,,,,,,,,,,,,,"6"
"Corrections, Department of","Automated Financial Accounting Manufacturing Inventory System Computer Controls Review","2008-41","12","2008","false","1056969",,,,,,,,,,,,,,,,,,,,,,,"26"
"Counselors and Therapists, Oregon Board of Licensed Professional","Licensed Counselors and Therapists, Board of: Change of Director Review",,"6","2008","false",,,"Management Letter","108-2008-06-01","1057599",,,,,,,,,,,,,,,,,,,"24"
"Dentistry, Oregon Board of","Internal Control Review","2008-25","9","2008","false","1056953",,,,,,,,,,,,,,,,,,,,,,,"25"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2007","2008-18","6","2008","false","1056921",,,,,,,,,,,,,,,,,,,,,,,"18"
"Education, Oregon Department of","Broad-based Risk Assessment at Oregon School for the Deaf and Oregon School for the Blind",,"4","2008","false",,,"Management Letter","581-2008-04-01","1057627",,,,,,,,,,,,,,,,,,,"15"
"Education, Oregon Department of","Multnomah Education Service District: Contracting Practices","2008-33","11","2008","false","1056961",,,,,,,,,,,,,,,,,,,,,,,"26"
"Education, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts For Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","581-2008-02-01","1057626",,,,,,,,,,,,,,,,,,,"7"
"Employment, Oregon Department of","Statewide Single Audit Including Selected Federal Programs for the Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","471-2008-03-01","1057625",,,,,,,,,,,,,,,,,,,"4"
"Employment, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","471-2008-02-01","1057624",,,,,,,,,,,,,,,,,,,"26"
"Employment Relations Board","Change of Director Review",,"3","2008","false",,,"Management Letter","115-2008-03-01","1057600",,,,,,,,,,,,,,,,,,,"27"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2007 and June 30, 2006","2008-16","4","2008","false","1056899",,,,,,,,,,,,,,,,,,,,,,,"24"
"Engineering and Land Surveying, State Board of","For the Biennium Ended June 30, 2007","2008-15","4","2008","false","1056878",,,,,,,,,,,,,,,,,,,,,,,"19"
"Environmental Quality, Department of","Statewide Single Audit Including a Selected Federal Program for Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","340-2008-02-01","1057617",,,,,,,,,,,,,,,,,,,"27"
"Environmental Quality, Department of","Clean Water State Revolving Fund Loan Program For the Fiscal Year Ended June 30, 2007","2008-27","9","2008","false","1056955",,,,,,,,,,,,,,,,,,,,,,,"27"
"Environmental Quality, Department of","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968",,"Management Letter","340-2008-07-01","1057618",,,,,,,,,,,,,,,,,,,"10"
"Environmental Quality, Department of","Statewide Single Audit Including Selected Financial Accounts for Year Ended June 30, 2007",,"1","2008","false",,,"Management Letter","340-2008-01-01","1057616",,,,,,,,,,,,,,,,,,,"28"
"Fish and Wildlife, Department of","Follow-Up Report on Capital and Non-Capital Assets","2008-34","11","2008","false","1056962",,,,,,,,,,,,,,,,,,,,,,,"27"
"Fish and Wildlife, Department of","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968",,,,,,,,,,,,,,,,,,,,,,,"10"
"Fish and Wildlife, Department of","Fiscal Compliance of Statewide Audit of Measure 66 Expenditures for 2005-07 Biennium",,"7","2008","false",,,"Management Letter","635-2008-07-01","1057635",,,,,,,,,,,,,,,,,,,"11"
"Fish and Wildlife, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","635-2008-02-01","1057634",,,,,,,,,,,,,,,,,,,"20"
"Forestry, Department of","Departments of Forestry and State Lands: Review of Common School Fund Forest Land Management Costs","2008-32","11","2008","false","1056960",,"Management Letter","629-2008-11-01","1057632","Agency Response","629-2008-11-01-Response","1057633",,,,,,,,,,,,,,,,"25"
"Geologist Examiners, State Board of","For the Biennium Ended June 30, 2007","2008-06","4","2008","false","1056757",,,,,,,,,,,,,,,,,,,,,,,"10"
"Government Accountability Hotline","Calendar Year 2007","2008-23","8","2008","false","1056951",,,,,,,,,,,,,,,,,,,,,,,"23"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds For the Fiscal Year Ended June 30, 2008","2008-35","11","2008","false","1056963",,,,,,,,,,,,,,,,,,,,,,,"28"
"Human Services, Department of","Follow-Up Report on Applying Agreed-Upon Procedures: Safe Drinking Water Revolving Loan Fund","2008-31","9","2008","false","1056959",,,,,,,,,,,,,,,,,,,,,,,"30"
"Human Services, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","100-2008-02-01","1057594",,,,,,,,,,,,,,,,,,,"27"
"Human Services, Department of","Interpretive Services Audit","2008-22","7","2008","false","1056950",,,,,,,,,,,,,,,,,,,,,,,"22"
"Human Services, Department of","Integrated Information System Application Controls Review","2008-24","8","2008","false","1056952",,,,,,,,,,,,,,,,,,,,,,,"24"
"Human Services, Department of","Audit of Selected Federal Program for June 30, 2007",,"7","2008","false",,,"Management Letter","100-2008-07-01","1057595",,,,,,,,,,,,,,,,,,,"8"
"Human Services, Department of","Statewide Single Audit Including Selected Federal Programs for the Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","100-2008-03-01","1057602",,,,,,,,,,,,,,,,,,,"10"
"Landscape Architect Board","For the Biennium Ended June 30, 2007","2008-07","4","2008","false","1056758",,,,,,,,,,,,,,,,,,,,,,,"11"
"Landscape Contractors Board","For the Biennium Ended June 30, 2007","2008-08","4","2008","false","1056778",,,,,,,,,,,,,,,,,,,,,,,"12"
"Lands, Department of State","Departments of Forestry and State Lands: Review of Common School Fund Forest Land Management Costs","2008-32","11","2008","false","1056960",,"Management Letter","629-2008-11-01","1057633",,,,,,,,,,,,,,,,,,,"25"
"Lands, Department of State","Statewide Single Audit Including Selected Financial Accounts For Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","141-2008-02-01","1057605",,,,,,,,,,,,,,,,,,,"4"
"Lottery Commission, Oregon State","Comprehensive Annual Financial Report for the Fiscal Year Ended June 30, 2008","2008-42","12","2008","false","1056970",,,,,,,,,,,,,,,,,,,,,,,"27"
"Lottery Commission, Oregon State","For the Fiscal Year Ended June 30, 2007","2008-01","1","2008","false","1056733",,,,,,,,,,,,,,,,,,,,,,,"4"
"Massage Therapists, State Board of","For the Biennium Ended June 30, 2007","2008-09","4","2008","false","1056780",,,,,,,,,,,,,,,,,,,,,,,"13"
"Military Department, Oregon","Statewide Single Audit Including a Selected Financial Account for Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","248-2008-02-01","1057609",,,,,,,,,,,,,,,,,,,"8"
"Multi-Agency","State of Oregon Statewide Single Audit Report: For the Fiscal Year Ended June 30, 2007","2008-03","3","2008","false","1056735",,,,,,,,,,,,,,,,,,,,,,,"3"
"Nursing, State Board of","Change of Director Review",,"7","2008","false",,,"Management Letter","851-2008-07-01","1057639",,,,,,,,,,,,,,,,,,,"15"
"Optometry, Oregon Board of","For the Biennium Ended June 30, 2007","2008-10","4","2008","false","1056801",,,,,,,,,,,,,,,,,,,,,,,"14"
"Parks and Recreation Department, Oregon","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968",,,,,,,,,,,,,,,,,,,,,,,"10"
"Parks and Recreation Department, Oregon","Follow-Up Report on Capital and Non-Capital Assets","2008-20","7","2008","false","1056943",,,,,,,,,,,,,,,,,,,,,,,"20"
"Parks and Recreation Department, Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","634-2008-02-01","1057638",,,,,,,,,,,,,,,,,,,"13"
"Patient Safety Commission, Oregon","For the Biennium Ended June 30, 2007","2008-11","4","2008","false","1056854",,,,,,,,,,,,,,,,,,,,,,,"15"
"Physical Therapist Licensing Board","For the Biennium Ended June 30, 2007","2008-12","4","2008","false","1056855",,,,,,,,,,,,,,,,,,,,,,,"16"
"Police, Department of Oregon","Review of Selected Procurement and Contracting Practices",,"10","2008","false",,,"Management Letter","257-2008-10-01","1057613",,,,,,,,,,,,,,,,,,,"6"
"Police, Department of Oregon","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968",,,,,,,,,,,,,,,,,,,,,,,"10"
"Police, Department of Oregon","Selected Financial Accounts For the Year Ended June 30, 2008",,"12","2008","false",,,"Management Letter","257-2008-12-01","1057614",,,,,,,,,,,,,,,,,,,"31"
"Police, Department of Oregon","Statewide Audit of Measure 66 Expenditures for the 2005-07 Biennium",,"7","2008","false",,,"Management Letter","257-2008-07-01","1057611",,,,,,,,,,,,,,,,,,,"2"
"Police, Department of Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","257-2008-02-01","1057610",,,,,,,,,,,,,,,,,,,"14"
"Private Health Partnerships, Office of","Statewide Single Audit Including a Selected Federal Program for Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","442-2008-03-01","1057623",,,,,,,,,,,,,,,,,,,"10"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2007","2007-33","2","2008","false","1045216",,,,,,,,,,,,,,,,,,,,,,,"25"
"Public Utility Commission, Oregon","Residential Services Protection Fund Surcharge Reporting and Remittance Can Be Improved","2008-17","5","2008","false","1056900",,,,,,,,,,,,,,,,,,,,,,,"17"
"Racing Commission, Oregon","Change of Director Review",,"4","2008","false",,,"Management Letter","862-2008-04-01","1057640",,,,,,,,,,,,,,,,,,,"18"
"Real Estate Agency","Change of Director Review",,"4","2008","false",,,"Management Letter","919-2008-04-01","1057641",,,,,,,,,,,,,,,,,,,"21"
"Revenue, Department of","Statewide Single Audit Including Selected Financial Accounts For Year Ended June 30, 2007",,"3","2008","false",,,"Management Letter","150-2008-03-01","1057606",,,,,,,,,,,,,,,,,,,"3"
"SAIF Corporation","Financial Statements Statutory Basis as of and for the Years Ended December 31, 2007, and 2006, Supplemental Schedules as of December 31, 2007, and Independent Auditors' Report","2008-38","12","2008","true","1056966","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"8"
"SAIF Corporation","Financial Statements as of and for the Years Ended December 31, 2007, and 2006, and Independent Auditors' Report [GAAP Basis]","2008-37","12","2008","true","1056965","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"7"
"Tax Practitioners, Oregon State Board of","Change of Director Review",,"3","2008","false",,,"Management Letter","119-2008-03-01","1057601",,,,,,,,,,,,,,,,,,,"27"
"Tourism Commission, Oregon","For the Biennium Ended June 30, 2007","2008-13","4","2008","false","1056856",,,,,,,,,,,,,,,,,,,,,,,"17"
"Transportation, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"2","2008","false",,,"Management Letter","730-2008-02-01","1057637",,,,,,,,,,,,,,,,,,,"15"
"Treasurer, Office of the State","Review of Internal Controls Over Financial Reporting",,"2","2008","false",,,"Management Letter","170-2008-02-01","1057607",,,,,,,,,,,,,,,,,,,"7"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Year Ended June 30, 2008","2008-26","9","2008","false","1056954",,"Management Letter","170-2008-11-01","1057608",,,,,,,,,,,,,,,,,,,"26"
"University System, Oregon","2008 Annual Financial Report","2008-43","12","2008","false","1056971","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"28"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds for the Fiscal Years Ended June 30, 2008 and June 30, 2007","2008-36","12","2008","false","1056964","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"6"
"Watershed Enhancement Board","Measure 66 Funding: Financial Integrity, Effectiveness and Performance for the 2005-2007 Biennium","2008-40","12","2008","false","1056968","Financial Audit","Management Letter","691-2008-07-01","1057636",,,,,,,,,,,,,,,,,,,"10"
"Wine Board, Oregon","For the Biennium Ended June 30, 2007","2008-14","4","2008","false","1056857",,,,,,,,,,,,,,,,,,,,,,,"18"
"Youth Authority, Oregon","Oversight of Basic and Diversion Services Funds","2008-39","12","2008","false","1056967",,,,,,,,,,,,,,,,,,,,,,,"9"
"Youth Authority, Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2007",,"1","2008","false",,"Financial Audit","Management Letter","415-2008-01-01","1057619",,,,,,,,,,,,,,,,,,,"30"
"Youth Authority, Oregon","Statewide Audit of Selected Financial Accounts For Year Ended June 30, 2008",,"12","2008","false",,"Financial Audit","Management Letter","415-2008-12-01","1057620",,,,,,,,,,,,,,,,,,,"18"
"Accountancy, Board of","Results of Risk Assessment, Computer Purchases, Change of Director",,"4","2009","false",,,"Management Letter","120-2009-04-01","1111446",,,,,,,,,,,,,,,,,,,"3"
"Administrative Services, Department of","Enterprise Security Office Review","2009-05","2","2009","false","1057209",,,,,,,,,,,,,,,,,,,,,,,"5"
"Administrative Services, Department of","Accounting System Continues to be Reliable, but Security and Disaster Recovery Risks Remain","2009-09","4","2009","false","1057213",,,,,,,,,,,,,,,,,,,,,,,"9"
"Administrative Services, Department of","State Cell Phone Plans: Closer Attention to Usage Could Create Savings","2009-18","8","2009","false","1057227",,,,,,,,,,,,,,,,,,,,,,,"18"
"Administrative Services, Department of","Selected Financial Accounts For the Year Ended June 30, 2008",,"2","2009","false",,,"Management Letter","107-2009-02-01","1111445",,,,,,,,,,,,,,,,,,,"3"
"Administrative Services, Department of","Data and Program Integrity Ensured, But Security and Disaster Recovery Controls Inadequate","2009-10","4","2009","false","1057214",,,,,,,,,,,,,,,,,,,,,,,"10"
"Aviation, Oregon Department of","Controls Over Contract Monitoring Should be Improved to Better Protect State Assets","2009-17","7","2009","false","1057226",,,,,,,,,,,,,,,,,,,,,,,"17"
"Beef Council, Oregon","For the Year Ended June 30, 2009","2009-24","10","2009","false","1057233",,,,,,,,,,,,,,,,,,,,,,,"24"
"Blind, Oregon Commission for the","Actions Needed to Ensure Funds Are Used for Client Purposes, Expenditures Are Controlled, and Assets Are Protected","2009-12","5","2009","false","1057221",,,,,,,,,,,,,,,,,,,,,,,"12"
"Blind, Oregon Commission for the","Statewide Single Audit of Selected Federal Programs for the Year Ended June 30, 2008",,"3","2009","false",,,"Management Letter","585-2009-03-01","1111464",,,,,,,,,,,,,,,,,,,"23"
"Children and Families, Oregon Commission on","High-Risk Juvenile Crime Prevention Grant Survey and Risk Assessment",,"3","2009","false",,,"Management Letter","423-2009-01-01","1111458",,,,,,,,,,,,,,,,,,,"10"
"Columbia River Gorge Commission","July 1, 2007 to June 30, 2008","2009-04","2","2009","false","1057208",,,,,,,,,,,,,,,,,,,,,,,"4"
