"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","-53160.06"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_2163","Fund 2163","2163","Metro Transportation Com: Program Grant","2163 - Metro Transportation Com: Program Grant","Fund 2163 - Metro Transportation Com: Program Grant","PJ_G375710","PJ_G375710","PG_IN06","IN06 - PROJECT DELIVERY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-52107.59"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108110","108110 - District Area 1","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-51658.88"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1001170","1001170 - ENGINEERING SERVICES","PG_IN06","IN06 - PROJECT DELIVERY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","-359.6"
"2015-2016","Existing","DP200 - Fire Department","DV202 - Fire: Support Services","DP14 - Fire Department","Fire Department","DV1405","Medical Services, Communication & Information Technology","OR_20241","20241 - Fire Communications","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000473","1000473 - MDT SET ASIDE A467310","PG_PS20","PS20 - DISPATCH COMMUNICATIONS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-51555.73"
"2015-2016","Existing","DP020 - City Administrator","DV026 - Compliance Division","DP03 - City Administrator","City Administrator","DV0303","Contracts & Compliance","OR_02621","02621 - Employment Services","FD_5671","Fund 5671","5671","OBRA: Leasing & Utility","5671 - OBRA: Leasing & Utility","Fund 5671 - OBRA: Leasing & Utility","PJ_1000035","1000035 - WO RESRCE CTR 1010-P465110","PG_IP10","IP10 - CONTRACT COMPLIANCE PROGRAM & EMPLOYMENT SERVICES","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-49312.64"
"2015-2016","Existing","DP750 - Human Services Department","DV783 - Policy and Planning","DP17 - Human Services","Human Services","DV1705","Policy & Planning","OR_78311","78311 - Policy and Planning","FD_2251","Fund 2251","2251","Measure Y: Public Safety Act 2004","2251 - Measure Y: Public Safety Act 2004","Fund 2251 - Measure Y: Public Safety Act 2004","PJ_1001146","1001146 - MEAS Y VIOL PREV FY14-15","PG_PS37","PS37 - MEASURE Z","12 - Contract Services","Contract Services","Non-Personnel Expenditures","Expense","54911 - Services: Contract","AC_54911","-48400"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","-46879.79"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-45816.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2062","Fund 2062","2062","2006 FEMA: 1646 Spring Storms","2062 - 2006 FEMA: 1646 Spring Storms","Fund 2062 - 2006 FEMA: 1646 Spring Storms","PJ_G310710","PJ_G310710","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-43203.73"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2062","Fund 2062","2062","2006 FEMA: 1646 Spring Storms","2062 - 2006 FEMA: 1646 Spring Storms","Fund 2062 - 2006 FEMA: 1646 Spring Storms","PJ_G310910","PJ_G310910","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-41468.85"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2116","Fund 2116","2116","Department of Transportation","2116 - Department of Transportation","Fund 2116 - Department of Transportation","PJ_1000731","1000731 - HSIP CYCLE 5 - WEST MACARTHUR","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-41075.94"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92242","92242 - Engineer Design: Streets and Structures","FD_2116","Fund 2116","2116","Department of Transportation","2116 - Department of Transportation","Fund 2116 - Department of Transportation","PJ_1000967","1000967 - ADELINE BRIDGE RETROFIT GRANT","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-37016.1"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-36585.56"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108140","108140 - District Area 4","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-35859.03"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-35444.85"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-31511.8"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2062","Fund 2062","2062","2006 FEMA: 1646 Spring Storms","2062 - 2006 FEMA: 1646 Spring Storms","Fund 2062 - 2006 FEMA: 1646 Spring Storms","PJ_G299410","PJ_G299410","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-30913.68"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-30806.04"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-30295.55"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108110","108110 - District Area 1","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-30282.27"
"2015-2016","Existing","DP200 - Fire Department","DV204 - Fire: Operations","DP14 - Fire Department","Fire Department","DV1401","Field Operations","OR_20411","20411 - Emergency / Suppression: Shift A","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000009","1000009 - DP200 Administrative Project","PG_PS17","PS17 - FIRE SUPPRESSION/FIELD OPERATIONS","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","-29798.41"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30275","30275 - IPPD Plans and Programming","FD_2214","Fund 2214","2214","ACTIA Reimbursable Grants","2214 - ACTIA Reimbursable Grants","Fund 2214 - ACTIA Reimbursable Grants","PJ_1000724","1000724 - FRUITVALE ALV GAP CLOSUR STSCP","PG_IN17","IN17 - TRANSPORTATION PLANNING AND FUNDING","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-28593.91"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2062","Fund 2062","2062","2006 FEMA: 1646 Spring Storms","2062 - 2006 FEMA: 1646 Spring Storms","Fund 2062 - 2006 FEMA: 1646 Spring Storms","PJ_G299110","PJ_G299110","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-27485.69"
