"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2021","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","65000","65000","0","0","0","310","31016100","16"
"2022","Fire","Fire Suppression","Contract Services","Operations/Maintenance","20200","34872","0","20027","20027","101","10145200","45"
"2020","Parks Recreation & Comm Svs","Parks Division","Liability Reserve","Operations/Maintenance","22176","22176","0","22176","22176","101","10130300","30"
"2019","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Pension Expenses","Personnel Cost","13498","13498","0","16106.7","16106.7","101","10130250","30"
"2019","Administrative Services","Risk Management","Payroll Taxes","Personnel Cost","16021","16021","0","22287.35","22287.35","309","30922200","22"
"2020","Public Works","Building Maintenance","Retiree Medical P","Personnel Cost","70050","70050","0","69646.19","69646.19","101","10160230","60"
"2020","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Liability Reserve","Operations/Maintenance","6111","6111","0","6111","6111","101","10130110","30"
"2020","Finance","Purchasing","Liability Reserve","Operations/Maintenance","980","980","0","980","980","202","20214500","14"
"2015","Community Development","Enforcement Services","Repair-Maint","Operations/Maintenance","150","150","0","0","0","101","10150250","50"
"2019","Public Works","Engineering","Pension Expenses","Personnel Cost","800","800","0","921.07","921.07","412","41260150","60"
"2020","Information Technology","Information Technology","Liability Reserve","Operations/Maintenance","1653","1653","0","1653","1653","412","41224100","24"
"2023","Community Development","Admin Supply and Services","Repair-Maint","Operations/Maintenance","0","5000","0","0","0","476","47650710","50"
"2021","Finance","Finance Administration","Travel/Trng/Dues","Operations/Maintenance","1500","1500","0","1075","1075","101","10114100","14"
"2020","Community Development","Building Safety","Liability Reserve","Operations/Maintenance","596","596","0","596","596","412","41250150","50"
"2019","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Sal/Spc Comp/OT","Personnel Cost","269412","269412","0","248108.69","248108.69","101","10130211","30"
"2019","Administrative Services","Art Fund","Sal/Spc Comp/OT","Personnel Cost","70230","70230","0","57474.61","57474.61","413","41322400","22"
"2019","Public Works","Transfer Station - Admin","Pension Expenses","Personnel Cost","116971","116971","0","116314.58","116314.58","202","20260410","60"
"2023","Police","Office of the Chief","Other","Personnel Cost","0","0","0","1759.5","1759.5","101","10140100","40"
"2023","Community Development","Admin Supply and Services","Contract Services","Operations/Maintenance","0","2130187","84513.13","35675","120188.13","476","47650710","50"
"2022","Community Development","Rental Assistance","Other O&M","Operations/Maintenance","1318541","1318541","0","1419467.13","1419467.13","426","42650510","50"
"2021","Police","SelectiveTrafficEnforc:OTSFY21","Sal/Spc Comp/OT","Personnel Cost","0","0","0","29161.31","29161.31","414","41440933","40"
"2023","Transportation","Para Transit Services","Payroll Taxes","Personnel Cost","0","0","0","1835.65","1835.65","411","41170420","70"
"2019","Transportation","Transportation Admin","Payroll Taxes","Personnel Cost","69995","69995","0","62157.88","62157.88","203","20370100","70"
"2020","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","150000","176513.61","0","113459.68","113459.68","475","47516100","16"
"2020","Transportation","Transportation Admin","Retiree Medical P","Personnel Cost","22100","22100","0","26789.04","26789.04","203","20370100","70"
"2020","Transportation","Transportation Operations","Ins Premiums","Operations/Maintenance","861732","901571","0","561903.89","561903.89","203","20370200","70"
"2017","Public Works","Engineering","Pension Expenses","Personnel Cost","710","710","0","0","0","412","41260150","60"
"2019","Parks Recreation & Comm Svs","PR&CS Administrative Division","Pension Expenses","Personnel Cost","86303","86303","0","78689.42","78689.42","101","10130100","30"
"2020","Community Development","Economic Development","Retiree Medical P","Personnel Cost","64210","64210","0","60844.53","60844.53","101","10150120","50"
"2019","Fire","Communications","Pension Expenses","Personnel Cost","53690","53690","0","49692.73","49692.73","101","10145700","45"
"2019","Information Technology","Graphic Services","Pension Expenses","Personnel Cost","18220","18220","0","17795.74","17795.74","101","10124200","24"
"2019","Community Development","Economic Development","Health Benefits","Personnel Cost","78857","78857","0","80553.75","80553.75","101","10150120","50"
"2019","Public Works","Wastewater Maintenance","Depreciation","Operations/Maintenance","1622730","1622730","0","1639222.78","1639222.78","204","20460300","60"
"2019","Public Works","Engineering","Other","Personnel Cost","36150","36150","0","41065.94","41065.94","101","10160150","60"
"2019","Finance","Purchasing","Other","Personnel Cost","15775","15775","0","14215","14215","101","10114500","14"
"2021","Administrative Services","Risk Management","Other O&M","Operations/Maintenance","500","500","0","0","0","309","30922200","22"
"2019","Administrative Services","Cultural Affairs-Art Fund","Payroll Taxes","Personnel Cost","8782","8782","0","8993.28","8993.28","101","10122400","22"
"2013","Projects","Projects","Contract Services","Operations/Maintenance","0","0","0","0","0","307","30780000","CP"
"2019","Administration","City Council","Health Benefits","Personnel Cost","69108","69108","0","74810.75","74810.75","101","10110000","10"
"2019","Administration","City Council","Pension Expenses","Personnel Cost","5691","5691","0","5926.93","5926.93","101","10110000","10"
"2021","Community Development","Economic Development","Other O&M","Operations/Maintenance","20000","20000","0","0","0","101","10150120","50"
"2019","Public Works","Refuse Collection - Admin","Other","Personnel Cost","106716","106716","0","82092.97","82092.97","202","20260400","60"
"2020","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Capital","Capital/Other","103053","191990.88","0","88937.88","88937.88","101","10130110","30"
"2023","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","0","0","-34000","59032.84","25032.84","101","10116100","16"
"2019","Public Works","Public Works Admin","Payroll Taxes","Personnel Cost","31371","31371","0","34747.73","34747.73","101","10160100","60"
"2020","Public Works","Refuse Collection - Admin","Liability Reserve","Operations/Maintenance","136908","136908","0","136908","136908","202","20260400","60"
"2019","Fire","Community Risk Reduction","Pension Expenses","Personnel Cost","300403","300403","0","319130.65","319130.65","101","10145600","45"
"2019","Community Development","Economic Development","Legal Services","Operations/Maintenance","30000","30000","0","30000","30000","101","10150120","50"
"2023","Public Works","Engineering","Contract Services","Operations/Maintenance","0","0","115598.35","0","115598.35","101","10160150","60"
"2020","Community Development","Neighborhood Preservation","Retiree Medical P","Personnel Cost","27830","27830","0","33859.76","33859.76","101","10150500","50"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Sal/Spc Comp/OT","Personnel Cost","687936","688910","0","615789.98","615789.98","101","10130400","30"
"2019","Public Works","Graffiti Abatement","Pension Expenses","Personnel Cost","43518","43518","0","41624.53","41624.53","101","10160250","60"
"2019","Fire","Office of the Chief","Pension Expenses","Personnel Cost","224255","224255","0","307751.97","307751.97","101","10145100","45"
"2019","Finance","General Accounting","Other","Personnel Cost","14065","14065","0","13223.62","13223.62","101","10114200","14"
"2019","Information Technology","Information Technology","Sal/Spc Comp/OT","Personnel Cost","102315","102315","0","106750.09","106750.09","412","41224100","24"
"2020","Fire","Emergency Medical Services","Retiree Medical P","Personnel Cost","52990","52990","0","54438.18","54438.18","101","10145300","45"
"2019","Public Works","Wastewater Maintenance","Other","Personnel Cost","33315","33315","0","19140.18","19140.18","204","20460300","60"
"2019","Public Works","Transfer Station - Admin","Travel/Trng/Dues","Operations/Maintenance","1200","1200","0","978.42","978.42","202","20260410","60"
"2020","Finance","Purchasing","Retiree Medical P","Personnel Cost","11860","11860","0","33954.69","33954.69","101","10114500","14"
"2019","Non-Departmental","Landscape Maint Dist #1","Contract Services","Operations/Maintenance","19827","19311.37","0","0","0","425","42516543","16"
"2019","Parks Recreation & Comm Svs","Parks Division","Pension Expenses","Personnel Cost","271056","271056","0","259720.74","259720.74","101","10130300","30"
"2019","Fire","Fire Suppression","Other","Personnel Cost","108828","108828","0","107122.56","107122.56","101","10145200","45"
"2019","Public Works","Mobility & Traffic Engineering","Pension Expenses","Personnel Cost","0","0","0","158.53","158.53","101","10160170","60"
"2023","Projects","Projects","Capital","Capital/Other","310328","560328","66805.06","0","66805.06","419","41980000","CP"
"2020","Administrative Services","Human Resources","Liability Reserve","Operations/Maintenance","10723","10723","0","10723","10723","101","10122100","22"
"2023","Parks Recreation & Comm Svs","Comm Events-Fiesta La Ballona","Contract Services","Operations/Maintenance","0","0","52824.04","37501.5","90325.54","101","10130285","30"
"2019","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Pension Expenses","Personnel Cost","38363","38363","0","39955.72","39955.72","101","10130220","30"
"2020","Parks Recreation & Comm Svs","Youth Center","Liability Reserve","Operations/Maintenance","1683","1683","0","1683","1683","101","10130260","30"
"2020","Transportation","Para Transit Services","Equip Amort.","Operations/Maintenance","22784","22784","0","22784","22784","411","41170420","70"
"2019","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Other","Personnel Cost","2210","2210","0","1095.41","1095.41","101","10130250","30"
"2020","Parks Recreation & Comm Svs","Recreation Division","Liability Reserve","Operations/Maintenance","8997","8997","0","8997","8997","101","10130200","30"
"2019","Administrative Services","Employee Disability (IOD)","Payroll Taxes","Personnel Cost","0","0","0","16951.25","16951.25","309","30922210","22"
"2020","Parks Recreation & Comm Svs","Community Events & Excursions","Liability Reserve","Operations/Maintenance","525","525","0","525","525","101","10130280","30"
"2020","City Attorney","City Attorney","Liability Reserve","Operations/Maintenance","16618","16618","0","16618","16618","101","10113100","13"
"2019","Police","Office of the Chief","Sal/Spc Comp/OT","Personnel Cost","645753","645753","0","639842.94","639842.94","101","10140100","40"
"2020","Projects","Projects","Contract Services","Operations/Maintenance","1302677.79","733012.2","0","43032.3","43032.3","420","42080000","CP"
"2019","Finance","Purchasing","Payroll Taxes","Personnel Cost","3254","3254","0","3211.91","3211.91","202","20214500","14"
"2020","Community Development","Building Safety","Other O&M","Operations/Maintenance","0","580","0","444.76","444.76","101","10150150","50"
"2019","Police","COPS/SLESF/Brulte","Other","Personnel Cost","2660","2660","0","2910","2910","414","41440230","40"
"2019","Community Development","Building Safety","Payroll Taxes","Personnel Cost","79315","79315","0","71162.69","71162.69","101","10150150","50"
"2020","Fire","Community Risk Reduction","Liability Reserve","Operations/Maintenance","23839","23839","0","23839","23839","101","10145600","45"
"2021","Comm Improve Programs","Virgina Parking Lot","Contract Services","Operations/Maintenance","80000","78000","0","65278.62","65278.62","475","47555560","55"
"2012","Fire","Emergency Management Performan","Office Supp&Exp","Operations/Maintenance","19000","19000","0","0","0","414","41445904","45"
"2019","Finance","Treasury","Sal/Spc Comp/OT","Personnel Cost","810782","795782","0","590473.63","590473.63","101","10114400","14"
"2021","Public Works","Food Rescue Grant","Cap-Rolling Stock","Capital/Other","0","216052","0","193503.37","193503.37","202","20260470","60"
"2019","Administrative Services","Art Fund","Payroll Taxes","Personnel Cost","5610","5610","0","3614.76","3614.76","413","41322400","22"
"2020","Transportation","Equipment Maintenance","Liability Reserve","Operations/Maintenance","88158","88158","0","88158","88158","308","30870400","70"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Health Benefits","Personnel Cost","19976","19976","0","19840.25","19840.25","101","10130110","30"
"2020","Fire","Emergency Preparedness","Equip Amort.","Operations/Maintenance","59","59","0","59","59","101","10145400","45"
"2012","Public Works","Beverage Container Recycling","Depreciation","Operations/Maintenance","0","0","0","0","0","202","20260440","60"
"2022","Fire","Emergency Medical Services","Repair-Maint","Operations/Maintenance","4330","13655","0","9678.81","9678.81","101","10145300","45"
"2013","Community Development","Homeless Program","Contract Services","Operations/Maintenance","665.68","665.68","0","0","0","476","47650910","50"
"2020","Administrative Services","City Clerk","Retiree Medical P","Personnel Cost","25470","25470","0","28241.15","28241.15","101","10122300","22"
"2019","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Other","Personnel Cost","4420","4420","0","743.99","743.99","101","10130220","30"
"2019","Police","COPS/SLESF/Brulte","Health Benefits","Personnel Cost","19976","19976","0","19840.25","19840.25","414","41440230","40"
"2023","Police","Operating Bureaus","Capital","Capital/Other","0","0","42433.24","19261.96","61695.2","101","10140200","40"
"2020","Transportation","Equipment Maintenance","Repair-Maint","Operations/Maintenance","1355313","1371739.82","0","1614814.71","1614814.71","308","30870400","70"
"2022","Projects","Projects","Capital","Capital/Other","594226.59","774853.59","196.44","76897.23","77093.67","419","41980000","CP"
"2020","Public Works","Graffiti Abatement","Retiree Medical P","Personnel Cost","7300","7300","0","7612.41","7612.41","101","10160250","60"
"2021","RDA Projects","Projects","Contract Services","Operations/Maintenance","32354.34","32354.34","0","0","0","485","48580000","RP"
