"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Choral Chameleon, Inc.","199 Carroll St.","Brooklyn","NY","11231","2019","32","0","0","0","Arts Organization","Arts and culture","None","BK, MN, BX","BROOKLYN","40.681472","-73.997963","306","39","65","3004837","3003510048","Carroll Gardens-Columbia Street-Red Hook"
"Christ Disciples International Ministries, Inc.","3021-31 Webster Avenue","The Bronx","NY","10467","2019","180","50","130","20","Community-based organization, Faith-based institution","Advocacy and organizing, Children and youth related, Education and literacy, Faith-based, Immigrants and/or refugees, Senior Services, Food Services","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.869665","-73.879523","207","11","425","2017907","2033310080","Norwood"
"Christopher Blenman Neighborhood Center","720 East New York Avenue","Brooklyn","NY","11203","2019","9","0","3","6","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.662289","-73.938916","309","41","87401","3106612","3047950016","Prospect Lefferts Gardens-Wingate"
"CHSCC - Central Harlem Senior Citizens' Centers, Inc.","34 West 134th Street","New York","NY","10037","2019","35","7","21","7","Non -Profit","Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, Legal services, Senior Services","Low-income populations, Older adults (60 or older), People with disabilities","MN","MANHATTAN","40.812702","-73.939645","110","9","212","1083985","1017300016","Central Harlem North-Polo Grounds"
"CIANA","31-09 Newtown Avenue Suite 411","Astoria","NY","11102","2019","54","5","0","0","Community-based organization","Immigrants and/or refugees","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","BK, MN, BX, QN","QUEENS","40.767493","-73.920661","401","22","71","4536739","4006190020","Old Astoria"
"Cienfuegos Foundation, Inc.","3027 30th Street, 2A","Astoria","NY","11102","2019","67","5","52","10","Community-based organization","Advocacy and organizing, Education and literacy, Emergency management and disaster response, Human services, Immigrants and/or refugees","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN, BX, QN","QUEENS","40.766572","-73.922752","401","22","63","4536836","4005937501","Astoria"
"Citizen Schools","79 Madison Avenue","New York","NY","10016","2019","56","0","0","0","Community-based organization","Children and youth related","Youth (17 or under)","BK, MN","MANHATTAN","40.744096","-73.985619","105","2","74","1016900","1008580022","Midtown-Midtown South"
"Citizens Committee for New York City","77 Water Street suite 202","New York","NY","10005","2019","2558","0","0","0","NGO","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Environment and sustainability, Human rights, Women's issues","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.704275","-74.008681","101","1","7","1000863","1000330001","Battery Park City-Lower Manhattan"
"City Harvest","6 E 32nd St, 4th Floor","New York","NY","10016","2019","8110","0","0","0","Community-based organization","Hunger","All","All Boroughs","MANHATTAN","40.746958","-73.985059","105","4","74","1017003","1008610072","Midtown-Midtown South"
"Citymeals on Wheels","355 Lexington Ave.","New York","NY","10017","2019","49810","0","0","0","Community-based organization","Advocacy and organizing, Emergency management and disaster response, Senior Services","LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.750245","-73.976909","106","4","80","1036147","1012950023","Murray Hill-Kips Bay"
"Civic Engagement Commission","255 Greenwich St","New York","NY","10007","2019","58","0","45","13","City agency","Civic engagement (voting, voter registration)","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), limited-english proficent New Yorkers","All Boroughs","MANHATTAN","40.71445","-74.011475","101","1","21","1001415","1001270018","SoHo-TriBeCa-Civic Center-Little Italy"
"Clinton Neighborhood Center (Project FIND)","530 West 55th Street","New York","NY","10019","2019","7","0","0","7","Community-based organization, Senior Center","Senior Services","Older adults (60 or older), Senior Center","MN","MANHATTAN","40.768258","-73.990588","104","6","135","1027059","1010830015","Clinton"
"Clothed With Love, Inc.","1207 Hancock Street","Brooklyn","NY","11221","2019","8","0","7","1","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Human services, Senior Services","Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BK","BROOKLYN","40.691698","-73.911714","304","37","415","3077956","3033900050","Bushwick South"
"Club Migrante Chinelos de Morelos en Nueva York","4538 48th St, 3R","Woodside","NY","11377","2019","80","25","25","10","Community-based organization, Volunteer-led group","Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Human rights, Immigrants and/or refugees","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","All Boroughs","QUEENS","40.742467","-73.916959","402","26","235","4001528","4001510050","Hunters Point-Sunnyside-West Maspeth"
"Co - Op Village NORC of the Educational Alliance","465 Grand Street, Suite 4B","New York","NY","10002","2019","60","12","3","45","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.715133","-73.984031","103","1","1401","1004056","1003150070","Lower East Side"
"College Goal New York","2780 Reservoir Ave","The Bronx","NY","10468","2019","70","10","60","0","Volunteer-led group","Civic engagement (voting, voter registration), Education and literacy, Immigrants and/or refugees, People with disabilities, Financil Aid","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.870293","-73.898309","207","11","409","2015241","2032470070","Van Cortlandt Village"
"College of Mount Saint Vincent","6301 Riverdale Avenue","The Bronx","NY","10471","2019","839","0","0","0","College and/or university","Advocacy and organizing, Children and youth related, Education and literacy, Environment and sustainability, Faith-based, Health and medicine, Homeless and shelter, People with disabilities, Senior Services, Women's issues","Homeless, Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities","MN, BX","BRONX","40.912828","-73.902506","208","11","319","2098638","2059580001","North Riverdale-Fieldston-Riverdale"
"Community Agency for Senior Citizens","56 Bay Street, 5th Fl","Staten Island","NY","10301","2019","90","0","30","70","Community-based organization","Senior Services","Older adults (60 or older), People with disabilities","SI","STATEN IS","40.640624","-74.075704","501","49","3","5000035","5000050103","West New Brighton-New Brighton-St. George"
"Community Health Action of Staten Island","56 Bay Street","Staten Island","NY","10301","2019","68","5","52","11","Community-based organization","Advocacy and organizing, Health and medicine, Human services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, HIV+, active substance users","SI","STATEN IS","40.640624","-74.075704","501","49","3","5000035","5000050103","West New Brighton-New Brighton-St. George"
"Community Health Action of Staten Island","2134 Richmond Terrace","Staten Island","NY","10302","2019","25","10","7","8","Community-based organization","Human services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","SI","STATEN IS","40.640285","-74.134166","501","49","207","5025309","5010740053","Port Richmond"
"Community Health Center Association of NYS","111 Broadway Suite 1402","New York","NY","10006","2019","103","0","0","0","Community-based organization","Advocacy and organizing, Health and medicine, Homeless and shelter, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations","All Boroughs","MANHATTAN","40.708486","-74.011113","101","1","13","1001029","1000490002","Battery Park City-Lower Manhattan"
"Compassion Queens Sp SDA","40-34 102nd Street","Corona","NY","11368","2019","65","40","25","0","Faith-based institution, Volunteer-led group","Children and youth related, Environment and sustainability, Faith-based, Human services, Immigrants and/or refugees, Senior Services","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","QN","QUEENS","40.748883","-73.863756","404","21","407","4040329","4016100055","North Corona"
"Comprehensive Youth Development","240 Second Avenue","New York","NY","10003","2019","332","30","262","40","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy, Immigrants and/or refugees, Legal services","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","All Boroughs","MANHATTAN","40.732716","-73.984665","106","2","48","1020416","1009210064","Gramercy"
"Concrete Safaris, Inc.","158 East 115th Street, Suite 144","New York","NY","10029","2019","1112","0","0","0","Community-based organization","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Human services, Justice-related","Justice-involved individuals, Low-income populations, Youth (17 or under)","MN","MANHATTAN","40.797755","-73.941699","111","8","182","1052229","1016400147","East Harlem North"
