"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2012","Local","Levin","Public School 133K - The William A. Butler Elementary School","136400434-","Cleared","3500.00","DOE",,,,,"14-week residency with Studio in a School for 16 classes",,,,,,,,,,,,
"2009","Elected Officials",,"Brooklyn Community Board #10 Restoration","13-6400434","Cleared","10000.00","BKCB",,"621 68th Street",,"11209",,,,"621 68th Street
Brooklyn, NY 11209
(40.63271180463704, -74.01753696507933)","BROOKLYN ","40.632729","-74.017571","10","43","126","3144883","3058570074","Bay Ridge                                                                  "
"2012","Community Consultants",,"Queens Community House, Inc. ","112375583-","Cleared","13437.00","HPD",,,,,,,,,,,,,,,,,
"2012","Autism Awareness",,"Ramapo for Children","135600422-","Cleared","44962.00","DOHMH",,"PO Box 266",,"12572",,,,"PO Box 266
Rhinebeck, NY 12572
(41.92655999994423, -73.8796399996861)",,,,,,,,,
"2012","Community Consultants",,"Ridgewood Bushwick Senior Citizens Council, Inc.","112453853-","Cleared","30000.00","HPD",,,,,,,,,,,,,,,,,
"2012","Food Pantries-DYCD","Bronx","River Watch (1600 Sedgwick Avenue Tenant Association)","133995178-","Cleared","5000.00","DYCD",,"1600 Sedgwick Avenue",,,"To support the local food pantry.",,,"1600 Sedgwick Avenue
Bronx, NY
(40.84932250861419, -73.923144124884)",,,,,,,,,
"2012","Runaway and Homeless Youth Services PEG Restoration",,"SCO Family of Services","112777066-","Cleared","70000.00","DYCD","Drop-In Center Services","1 Alexander Place",,"11542",,,,"1 Alexander Place
Glen Cove, NY 11542
(40.85753781623558, -73.61990106346302)",,,,,,,,,
"2012","Local","Dickens","Seniorifics Basketball Team","760761170-","CBO Defunded","0.00","DFTA",,"P.O. Box 1205, Lincolnton Station",,"10037","to provide unifroms  and protective gear for seniors",,,"P.O. Box 1205, Lincolnton Station
New York, NY 10037
(40.812870000350415, -73.93812000033762)",,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Mental Health Providers",,"Sky Light Center, Inc.","133473726-","Cleared","16966.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Local","Arroyo","South Bronx Classical Charter School",,"Cleared","10000.00","DYCD",,,,,,,,,,,,,,,,,
"2012","NORC Supportive Service Program",,"South Brooklyn Youth NORC","030387372-","CBO Defunded","0.00","DFTA",,,,,,,,,,,,,,,,,
"2012","Housing Preservation Initiative",,"Southside United Housing Development Fund Corp.","112268359-","Cleared","50000.00","HPD",,,,,,,,,,,,,,,,,
"2012","Sports & Arts in Schools Foundation (SASF)",,"Sports & Arts in Schools","113112635-","Cleared","1000000.00","DYCD",,,,,,,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"St. Luke's-Roosevelt Hospital Center","132997301-","Cleared","35959.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HIV/AIDS Faith Based Initiative",,"St. Simon Stock Roman Catholic","131740377-","Cleared","6400.00","DOHMH",,"2191 Valentine Ave",,"10457",,,,"2191 Valentine Ave
Bronx, NY 10457
(40.854862332314724, -73.89902430805813)","BRONX    ","40.854846","-73.899005","5","15","381","2013547","2031490145","Mount Hope                                                                 "
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"Staten Island Mental Health Society, Inc. ","135623279-","Cleared","29773.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Food Cooperative Expansion Initiative",,"Structured Employment Development Corporation (Seedco), The","132875743-","Cleared","50000.00","DSBS",,,,,,,,,,,,,,,,,
"2012","Aging","Gentile","Sunset Park Health Council, Inc.","202508411-","Cleared","3000.00","DFTA",,"150-55th Street",,"11220-2559","To support Bay Ridge on the Move.",,,"150-55th Street
Brooklyn, NY 11220-2559
(40.64656359098771, -74.02045020125868)",,,,,,,,,
"2012","Cultural After-School Adventure (CASA) ","Wills","Young Audiences New York, Inc.","131997754-","Cleared","20000.00","DCA","PS 96","One East 53 Street, 8th Floor",,"10022",,,,"One East 53 Street, 8th Floor
New York, NY 10022
(40.75908999970392, -73.9694200003326)",,,,,,,,,
"2012","Dropout Prevention and Intervention",,"United Way of New York City, Inc.","132617681-","Cleared","183000.00","DOE",,,,,,,,,,,,,,,,,
"2012","Youth","Dickens","Urban Advantage",,"Pending","5000.00","DYCD",,,,,"District 9 Schools",,,,,,,,,,,,
"2012","Community Consultants",,"Vannguard Urban Improvement Association, Inc.","112442042-","Cleared","13114.00","HPD",,,,,,,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"Women in Need, Inc. ","133164477-","CBO Defunded","0.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Young Adult Institute and Workshop, Inc. (YAI)",,"Young Adult Institute and Workshop, Inc. (YAI)","112030172-","Cleared","200000.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Local","Oddo","Young Israel of Staten Island","132618386-","Cleared","10000.00","DYCD",,"835 Forest Hill Rd",,"10314-6320","Youth programs",,,"835 Forest Hill Rd
Staten Island, NY 10314-6320
(40.60217726562, -74.14028033272204)",,,,,,,,,
"2013","BP Manhattan PEG",,"BP Manhattan PEG","136400434-","Pending","100000.00","BP-MN",,,,,,,,,,,,,,,,,
"2009","Elected Officials",,"Manhattan Community Board #7 Restoration","13-6400434","Cleared","10000.00","MNCB",,"250 West 87th Street",,"10024",,,,"250 West 87th Street
New York, NY 10024
(40.78896527456526, -73.97611757664335)","MANHATTAN","40.789078","-73.976245","7","6","175","1076251","1012347501","Upper West Side                                                            "
"2013","Local","Brewer","CUNY NYCHA Scholarship Fund","136400434","Cleared","2000.00","CUNY",,,,,"Funding would provide support for the CUNY NYCHA Scholarship Program",,,,,,,,,,,,
"2013","Cultural After School Adventure",,"Cultural After School Adventure","136400434-","Pending","5100000.00","DCLA",,,,,,,,,,,,,,,,,
"2013","Information and Referral Contracts",,"Hellenic American Neighborhood Action Committee, Inc. (HANAC)","112290832-","Pending","142954.00","DFTA",,,,,"To provide information and referral for services and social service benefits to seniors. ",,,,,,,,,,,,
"2013","Information and Referral Contracts",,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.","132738818-","Pending","247765.00","DFTA",,,,,"To provide information and referral for services and social service benefits to seniors. ",,,,,,,,,,,,
"2013","Cultural Institutions Group Restoration",,"Department of Cultural Affairs","136400434-","Pending","872370.00","DCLA",,,,,,,,,,,,,,,,,
"2013","Cultural Institutions Group Restoration",,"Department of Cultural Affairs","136400434-","Pending","108170.00","DCLA",,,,,,,,,,,,,,,,,
"2013","Information and Referral Contracts",,"Polish and Slavic Center, Inc.","112285970-","Pending","96847.00","DFTA",,,,,"To provide information and referral for services and social service benefits to seniors. ",,,,,,,,,,,,
"2013","Aging","Foster","Hope of Israel Senior Center, Inc.","132749857","Cleared","5000.00","DFTA",,"1068 Gerard Avenue",,"10452-8871","To facilitate arts programs at the senior center. Funds will help to provide an art teacher and computer insructor.",,,"1068 Gerard Avenue
Bronx, NY 10452-8871
(40.83221740361694, -73.92214587743149)",,,,,,,,,
"2013","Aging","Oddo","Jewish Community Center of Staten Island, Inc.","135562256","Cleared","11000.00","DFTA",,"1466 Manor Road",,,"To assist us in providing programs and services at the new Center for Life Long Development (CLLD). ",,,"1466 Manor Road
Staten Island, NY
(40.59747297205385, -74.12385437507879)",,,,,,,,,
"2011","Aging","Brewer","DOROT, Inc.","13-3264005","Cleared","3500.00","DFTA",,"171 West 85th Street",,"10024","Case management and counseling.",,,"171 West 85th Street
New York, NY 10024
(40.786864593679354, -73.97512493817754)","MANHATTAN","40.786591","-73.974513","7","6","169","1032139","1012160003","Upper West Side                                                            "
"2012","HIV/AIDS Faith Based Initiative",,"Fellowship Baptist Church","132865551-","Cleared","6400.00","DOHMH",,"3036 Richmond Terrace",,"10303",,,,"3036 Richmond Terrace
Staten Island, NY 10303
(40.6374526322211, -74.16095860716753)","STATEN IS","40.637449","-74.160859","1","49","31902","5027964","5012360043","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"2012","HASA Supportive Housing Contract Reduction PEG Restoration",,"Human Resources Administration","136400434-","Government","2368000.00","HRA",,,,,,,,,,,,,,,,,
"2011","Aging","Vann","Senior Ambassador Volunteer Initiative","26-3880415","Pending","10750.00","DFTA",,,,,"To organize and educate seniors on important issues affecting them.",,,,,,,,,,,,
"2013","Local","Levin","Automotive High School","136400434","Pending","3000.00","DOE",,,,,"Funds will be used for uniforms for the football team.",,,"Brooklyn, NY
(40.692449999568, -73.99036000011375)",,,,,,,,,
"2013","Local","Brewer","Public School 199M - Jessie Isador Straus School","136400434","Cleared","3500.00","DOE",,"270 West 70 Street",,,"Support for Landmark West ""Keeping the Past for our Future"" program.",,,"270 West 70 Street
",,,,,,,,,
"2012","Local","Cabrera","Bronx Community Board  #8","136400434-","Cleared","3500.00","BXCB",,"5676 Riverdale Avenue Suite 100",,"10471-2194","For operating expenditures in order to support community board initiatives, programs, public forums, and office operations.",,,"5676 Riverdale Avenue Suite 100
Bronx, NY 10471-2194
(40.9062585862892, -73.9042313826078)",,,,,,,,,
"2013","Local","Sanders","New York City Department of Health","136400434","Cleared","10000.00","DOHMH",,,,,"To ensure the 31st district receives additional mosquito nuisance spraying and mosquito magnets.",,,,,,,,,,,,
"2013","Local","Viverito","Department of Sanitation","136400434","Pending","10000.00","DSNY",,,,,"Funds to be used for the purchase of upgraded Garbage Cans for East Harlem.",,,,,,,,,,,,
"2013","Local","Viverito","UPACA 6 Houses Tenant Association","136400434","Cleared","500.00","NYCHA",,,,,"To Support Family Day Activities",,,,,,,,,,,,
"2013","Local","Viverito","Wagner Houses Tenant Association","136400434","Cleared","1000.00","NYCHA",,,,,"To Support Family Day Activities",,,,,,,,,,,,
"2012","Geriatric Mental Health Services",,"BronxWorks, Inc.","133254484-","Cleared","84000.00","DOHMH",,"60 East Tremont Avenue",,"10453",,,,"60 East Tremont Avenue
Bronx, NY 10453
(40.85104920691049, -73.90797256224971)","BRONX    ","40.851176","-73.908192","5","14","23301","2007915","2028280020","Mount Hope                                                                 "
"2012","Aging","Arroyo","Bronx Council on the Arts, Inc.","132601303-","Cleared","7000.00","DFTA",,"1738 Hone Ave",,"10461-1486","To provide cultural services to older adults in the South Bronx by providing participatory arts activities to include performances and workshops",,,"1738 Hone Ave
Bronx, NY 10461-1486
(40.84805172807362, -73.8539775648039)",,,,,,,,,
"2010","Food Pantries","Brooklyn","Greenpoint Reformed Church","112100335","Pending","10000.00","DYCD","Interfaith Food Team","136 Milton Avenue",,"11222","To support the local food pantry.",,,"136 Milton Avenue
Brooklyn, NY 11222
(40.729263810461966, -73.95579737461169)",,,,,,,,,
"2012","Local","Quinn","Public School  33M","690210637-","Cleared","10000.00","DOE",,"281 Ninth Ave",,"10001","Funding will be used to support the school.",,,"281 Ninth Ave
New York, NY 10001
(40.748769312518164, -73.9997034092383)","MANHATTAN","40.748818","-73.999646","4","3","97","1012829","1007240023","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2011","Geriatric Mental Health Initiative",,"Relief Resources, Inc.  ","52-2323151","Cleared","40000.00","DOHMH",,"5904 13th Avenue",,"11219",,,,"5904 13th Avenue
Brooklyn, NY 11219
(40.62941408230887, -73.9980130684262)","BROOKLYN ","40.629327","-73.998055","12","44","192","3411435","3057110038","Borough Park                                                               "
"2012","HIV/AIDS Faith Based Initiative",,"First AME Bethel Church","131945828-","Pending","6400.00","DOHMH",,"60 West 132nd Street",,"10037",,,,"60 West 132nd Street
Manhattan, NY 10037
(40.81159546782197, -73.94095004365339)","MANHATTAN","40.811605","-73.940834","10","9","208","1053865","1017290058","Central Harlem North-Polo Grounds                                          "
"2012","Youth","Oddo","Mid-Island Little League, Inc.","237032781-","Cleared","5000.00","DYCD",,"3665 Victory Boulevard   ",,"10314","New Fencing for Fields",,,"3665 Victory Boulevard
Staten Island, NY 10314
(40.59956564224772, -74.1786755428654)","STATEN IS","40.599448","-74.178769","2","50","29102","5154505","5027840110","New Springville-Bloomfield-Travis                                          "
"2013","Cornerstone PEG",,"Cornerstone PEG","136400434-","Pending","926286.00","DYCD",,,,,,,,,,,,,,,,,
"2011","DoVE",,"New Destiny Housing Corporation ","13-3778489","Cleared","41666.67","MISC",,"1140 Broadway ",,"10001",,,,"1140 Broadway
New York, NY 10001
(40.743984919322315, -73.98893852454756)","MANHATTAN","40.743907","-73.988979","5","2","58","1015649","1008280033","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2013","Local","Fidler","Dem Stars, Inc.","30386691","Pending","6500.00","DYCD",,,,,"To provide steelpan programs in council district 46 and purchase additional Instruments as needed","Bergen Basin Community Development Corp dba Millennium Development","113199040",,,,,,,,,,
"2009","Local","Fidler","Community School District 22/Region 6","13-6400434","Cleared","5000.00","DOE",,"5619 Flatlands Avenue",,"11236","IS 278 Instruments.",,,"5619 Flatlands Avenue
Brooklyn, NY 11236
(40.64608826275002, -73.89113727846112)","BROOKLYN ","40.629904","-73.921966","18","46","728","3215797","3077820034","Flatlands                                                                  "
"2011","IOI","Bronx","Urban Justice Center","13-3442022","Cleared","25000.00","DYCD",,"123 William Street, 16th Floor",,"10038","Immigrant Related Legal Services",,,"123 William Street, 16th Floor
New York, NY 10038
(40.70918115678842, -74.00685301937125)","MANHATTAN","40.709112","-74.006889","1","1","1502","1079063","1000780004","Battery Park City-Lower Manhattan                                          "
"2013","Youth","Weprin","Jamaica Estates Holliswood Little League, Inc.","112482609","Pending","7500.00","DYCD",,,,,"To support the Little League program for children of ages 4-18.  April thru August.",,,,,,,,,,,,
"2012","HIV/AIDS Faith Based Initiative",,"Macedonia Baptist Church","112522629-","Pending","6400.00","DOHMH",,"330 Beach 67th Street",,"11692",,,,"330 Beach 67th Street
Queens, NY 11692
(40.59193654382858, -73.79603394926272)","QUEENS   ","40.591762","-73.796029","14","31","964","4301998","4159130050","Hammels-Arverne-Edgemere                                                   "
"2012","Autism Awareness",,"Mosholu-Montefiore Community Center, Inc.","133622107-","Cleared","84728.00","DOHMH",,"3450 DeKalb Avenue",,"10467",,,,"3450 DeKalb Avenue
Bronx, NY 10467
(40.88123733633435, -73.88149061914783)","BRONX    ","40.881486","-73.881226","7","11","421","2096396","2033270001","Norwood                                                                    "
"2013","Anti Eviction and SRO Legal Services",,"South Brooklyn Legal Services","132605605-","Pending","160571.00","HPD",,,,,"Legal services and advocacy ",,,"NY
(42.82699999955048, -75.54396999981549)",,,,,,,,,
"2013","Food Pantries-HRA",,"Food Bank for New York City, The","133179546-","Pending","500000.00","HRA",,,,,,,,,,,,,,,,,
"2013","HHC Developmental Evalutation Clinics",,"HHC Developmental Evalutation Clinics","13-6400434","Pending","1467000.00","HHC",,,,,,,,,,,,,,,,,
"2013","HASA Money Management Services PEG Restoration",,"Human Resources Administration","136400434-","Pending","200000.00","HRA",,,,,,,,,,,,,,,,,
"2012","HIV/AIDS Faith Based Initiative",,"First United Methodist Church of Corona","112342098-","Cleared","6400.00","DOHMH",,"42-15 104th Street",,"11368",,,,"42-15 104th Street
Queens, NY 11368
(40.74803186845418, -73.86072218283027)","QUEENS   ","40.748193","-73.860824","4","21","403","4437337","4019860078","North Corona                                                               "
