"primaryprojecttype","subtype","projectstatus","startdateactual","finishdateactual","projectsitename","projectsiteaddress","acronym","co2e_mt_calculated","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Comprehensive","Retrofit","Design",,,"Bronx Housing Court","1118 Grand Concourse","DCAS",,"10456","BRONX    ","40.832232","-73.919655","4","16","18102","2101266","2024620039","East Concourse-Concourse Village                                           "
"Energy Audit","None","Completed","10-Feb-11","15-May-12","A. Philip Randolph Campus High School","443 West 135 Street","DOE","0","10031","MANHATTAN","40.818188","-73.950356","9","9","21703","1059409","1019570078","Manhattanville                                                             "
"Comprehensive","Retrofit","Design",,,"P.S.81K Thaddeus Stevens School","990 Dekalb Avenue","DOE","90.78","11221","BROOKLYN ","40.693161","-73.935765","3","36","289","3043248","3016020019","Stuyvesant Heights                                                         "
"Energy Audit","None","In Progress",,,"M028- PS 28- Wright Brothers","475 West 155th Street","DOE",,"10032","MANHATTAN","40.831227","-73.942143","12","7","239","1076739","1021070026","Washington Heights South                                                   "
"Lighting System Upgrade","Retrofit","Completed","11-Mar-11","31-Dec-11","Ko62 - 700 Cortelyou Road","700 Cortelyou Road","DOE","128.8","11218","BROOKLYN ","40.638686","-73.971651","12","40","490","3126842","3053910001","Kensington-Ocean Parkway                                                   "
"Energy Audit","None","Completed","7-Apr-11","9-Feb-12","PS 81K Thaddeus Stevens School","990 Dekalb Avenue","DOE","79.84","11221","BROOKLYN ","40.693161","-73.935765","3","36","289","3043248","3016020019","Stuyvesant Heights                                                         "
"HVAC System Upgrade","Retrofit","Install",,,"Coney Island Hospital Boilers","2601 Ocean Pkwy Brooklyn NY","HHC","4022.55","11235","BROOKLYN ","40.586552","-73.966168","13","48","370","3337274","3072390001","Brighton Beach                                                             "
"Other","Retro-commissioning","Survey",,,"J.H.S.125X Henry Hudson Middle School","1111 Pugsley Avenue","DOE",,"10472","BRONX    ","40.829232","-73.856734","9","18","4001","2025717","2037900040","Soundview-Bruckner                                                         "
"Comprehensive","Retrofit","Install","7-Jun-12",,"100 Gold Street","100 Gold Street","DCAS","1327.02","10038","MANHATTAN","40.710353","-74.004007","1","1","1501","1001289","1000940025","Battery Park City-Lower Manhattan                                          "
"Lighting System Upgrade","Retrofit","Completed","23-Jul-09","23-Dec-09","I.S. 61R","445 Castleton Ave.","DOE","0","10301","STATEN IS","40.634009","-74.097826","1","49","67","5002227","5001000100","New Brighton-Silver Lake                                                   "
"Comprehensive","Retrofit","Design",,," I.S.318K Eugenio Maria De Hostos School","101 Walton Street","DOE","154.19","11206","BROOKLYN ","40.7025","-73.948869","1","33","509","3061328","3022460001","Williamsburg                                                               "
"Other","Retro-commissioning","Survey",,,"Bronx County Court- Bin # 2002869","851 Grand Concourse","DCAS",,"10451","BRONX    ","40.825999","-73.923131","4","8","63","2002869","2024680001","West Concourse                                                             "
"Lighting System Upgrade","Retrofit","Completed","30-Jun-10","24-Nov-10","Group 5 - 71st/76th/90th/94th/77 Annex Pcts","653 GRAND AVENUE","NYPD","25.83","11238","BROOKLYN ","40.675658","-73.963123","8","35","305","3028914","3011620001","Crown Heights North                                                        "
"Other","Retro-commissioning","Survey",,,"M217 - PS 217M Roosevelt School","645 Main Street","DOE",,"10044","MANHATTAN","40.763894","-73.947916","8","5","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"Lighting System Upgrade","Retrofit","Install",,,"Bx-11 - 800 Zerega Avenue","800-850 Zerega Avenue","DSNY","19.3","10473","BRONX    ","40.824196","-73.842913","9","18","90","2094842","2037020001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Lighting System Upgrade","Retrofit","Design",,,"J.H.S.43M","509 West 129th Street","DOE","152.74","10027","MANHATTAN","40.815256","-73.955325","9","7","219","1059723","1019840033","Manhattanville                                                             "
"Other","Retro-commissioning","Proposed",,,"East Harlem Health Care Center","158 East 115th Street","DOHMH",,"10029","MANHATTAN","40.797755","-73.941699","11","8","182","1052229","1016400147","East Harlem North                                                          "
"HVAC System Upgrade",,"Completed","1-Apr-09","1-Jun-09","Manhattan Municipal Building","1 Centre Street","DCAS","583.63","10007","MANHATTAN","40.713001","-74.004181","1","1","29","1001394","1001210001","Chinatown                                                                  "
"Lighting System Upgrade","Retrofit","Completed","23-Apr-08","27-Feb-09","I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South)","153-23 83rd Street","DOE","43.31","11414","QUEENS   ","40.665909","-73.851216","10","32","6202","4247454","4114450001","Lindenwood-Howard Beach                                                    "
"Energy Audit","None","Completed","17-Mar-10","1-Oct-10","P.S 174X","456 White Road","DOE","112.08",,,,,,,,,,
"HVAC System Upgrade","Retrofit","Substantially Completed","12-Mar-12","30-Jun-12","Manhattan Borough Repair Shop","640 West 26th St.","DSNY","714.85","10001","MANHATTAN","40.751183","-74.006594","4","3","99","1012267","1006700050","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Lighting System Upgrade","Retrofit","Completed","6-Jun-08","5-Feb-09","P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X","579 E. 179th St., 577 E. 179th Street","DOE","68.1",,,,,,,,,,
"Other","Retro-commissioning","Survey",,,"Q120 - PS 120Q","58-01 136 Street","DOE",,"11355","QUEENS   ","40.745526","-73.829309","7","20","80301","4139491","4063730001","Queensboro Hill                                                            "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-08","7-May-09","H.S. For Environmental Science","448 WEST 56TH ST, 444 West 56th Street","DOE","53.4","10019","MANHATTAN","40.767824","-73.98761","4","3","139","1026841","1010650001","Clinton                                                                    "
"Energy Audit","None","Completed","21-Apr-11","3-May-12"," P.S.112X The Bronxwood School","1925 Schieffelin Avenue","DOE","31.68","10466","BRONX    ","40.885008","-73.843193","12","12","458","2065991","2049050500","Eastchester-Edenwald-Baychester                                            "
"Other","Retro-commissioning","Survey",,,"K135 - PS 135 Sheldon A. Brookner","686 Linden Blvd","DOE",,"11203","BROOKLYN ","40.653643","-73.933053","17","41","870","3102005","3046730001","East Flatbush-Farragut                                                     "
"HVAC System Upgrade","Retrofit","Design",,,"P.S. 138 Brooklyn","760 Prospect Place","DOE","223.8","11216","BROOKLYN ","40.67438","-73.951443","8","36","31701","3330794","3012330026","Crown Heights North                                                        "
"Energy Audit","None","Completed",,," PATH Office","346 Powers Avenue","DHS",,"10454","BRONX    ","40.807944","-73.91216","1","8","33","2091301","2025720006","Mott Haven-Port Morris                                                     "
"Energy Audit","None","Completed","28-Oct-10","2-Jun-11","K013 PS 13K Roberto Clemente School","557 Pennsylvania Ave","DOE","437.31","11207","BROOKLYN ","40.663673","-73.893754","5","42","1126","3085070","3038230001","East New York (Pennsylvania Ave)                                           "
"Lighting System Upgrade","Retrofit","Completed","20-May-09","28-Jan-10","62nd Precinct","1925 BATH AVENUE","NYPD","22.51","11214","BROOKLYN ","40.602329","-74.00318","11","43","282","3167815","3064060045","Bath Beach                                                                 "
"Other","Retro-commissioning","Survey","9-Aug-11",,"Public Health Lab","447 First Avenue","DOHMH",,"10016","MANHATTAN","40.738948","-73.97705","6","2","66","1020610","1009320017","Murray Hill-Kips Bay                                                       "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-07","12-Sep-08","41st Precinct","1035 LONGWOOD AVENUE","NYPD","71.69","10459","BRONX    ","40.816198","-73.896","2","17","89","2090437","2027320001","Hunts Point                                                                "
"HVAC System Upgrade","Retrofit","Install","1-Jan-11",,"American Museum Of Natural History","W 77-81 Streets Columbus Ave, 200 Central Park West","DCLA","958.74",,,,,,,,,,
"Other","Retro-commissioning","Survey",,,"122nd Precinct","2320 Hylan Blvd","NYPD",,"10306","STATEN IS","40.5743","-74.105888","2","50","11202","5107580","5039060001","New Dorp-Midland Beach                                                     "
"Energy Audit","None","Completed","1-Jun-11","6-Dec-11","Manhattan Supreme Court","60 Centre Street New York NY","DCAS","617.9","10007","MANHATTAN","40.714467","-74.002503","1","1","29","1085748","1001600021","Chinatown                                                                  "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-07","14-Sep-08","49th Precinct","2121 EASTCHESTER ROAD","NYPD","50.65","10461","BRONX    ","40.856047","-73.843944","11","13","296","2097543","2042050001","Pelham Parkway                                                             "
"Lighting System Upgrade","Retrofit","Design",,,"Studio Museum of Harlem","144 West 125th Street  NY, NY  10027","DCLA","40.43","10027","MANHATTAN","40.808523","-73.947278","10","9","222","1057819","1019090009","Central Harlem South                                                       "
"Energy Audit","None","Completed","19-Apr-11","3-May-12","M025 Marta Valle Secondary School","145 Stanton St","DOE","97.5","10002","MANHATTAN","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"Comprehensive","Retrofit","Design",,,"P.S.21Q Edward Hart School","147-36 26th Avenue","DOE","29.34","11354","QUEENS   ","40.774512","-73.819284","7","19","1047","4108665","4048030001","Murray Hill                                                                "
"Other","Retro-commissioning","Survey","9-Aug-11",,"Woodside Inspection Facility","24-55 Brooklyn-Queens Expwy","TLC",,"11377","QUEENS   ","40.764199","-73.902694","1","22","299","4022499","4010160045","park-cemetery-etc-Queens                                                   "
"Other","Retro-commissioning","Survey",,,"J.H.S. 218 James P. Sinnott","370 Fountain Avenue","DOE",,"11208","BROOKLYN ","40.670724","-73.874208","5","42","1118","3095977","3042780001","East New York                                                              "
"HVAC System Upgrade","Retrofit","Design",,,"Kingsborough Community College","2001 Oriental Blvd","CUNY","1632.56","11235","BROOKLYN ","40.578497","-73.9349","15","48","616","3326937","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Lighting System Upgrade","Retrofit","Design",,,"Old 41st Precinct","1086 Simpson Street","NYPD","59.4","10459","BRONX    ","40.825555","-73.892928","2","17","12701","2005802","2027270017","Hunts Point                                                                "
"Energy Audit","None","Completed","21-Apr-11","14-May-12","PS 057 Crescent","2111 Crotona Avenue","DOE","44.22","10457","BRONX    ","40.848472","-73.888561","6","15","373","2012359","2030810026","East Tremont                                                               "
"Energy Audit","None","Completed","3-Mar-11","13-Apr-12","P.S.111X Seton Falls School","3740 Baychester Avenue","DOE","269.1","10466","BRONX    ","40.884343","-73.840254","12","12","484","2065992","2049160001","Eastchester-Edenwald-Baychester                                            "
"Lighting System Upgrade","Retrofit","Completed","20-May-09","28-Jan-10","70th Precinct","154 LAWRENCE AVENUE","NYPD","14.23","11230","BROOKLYN ","40.630592","-73.973704","14","44","480","3127902","3054230021","Flatbush                                                                   "
"Comprehensive","Retrofit","Design",,,"PS 9K Teunis G. Bergen School","80 Underhill Ave","DOE","2.62","11238","BROOKLYN ","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"Lighting System Upgrade","Retrofit","Design",,,"The Eileen E. Zaglin","1075 Ocean View Avenue","DOE","8.93","11235","BROOKLYN ","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"Lighting System Upgrade","Retrofit","Completed","12-Dec-08","20-Jul-09","34th Precinct","4295 BROADWAY","NYPD","40.08","10033","MANHATTAN","40.851205","-73.935215","12","10","271","1064415","1021800108","Washington Heights North                                                   "
"Energy Audit","None","Completed","23-Dec-11","15-Aug-12","Atlantic Avenue Men's Shelter (Armory)","1322 Bedford Avenue","DHS","121.72","11216","BROOKLYN ","40.678273","-73.952908","8","35","221","3029748","3011990015","Crown Heights North                                                        "
"Energy Audit","None","Completed","10-Nov-10","30-Jun-11","East Harlem Multi-Service Ctr","413 East 120 Street","HRA",,"10035","MANHATTAN","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Comprehensive","Retrofit","Design",,,"PS 125Q - Thomas J. McCann","46-02 47 Ave  Woodside, NY","DOE","144.13","11377","QUEENS   ","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"HVAC System Upgrade","Retrofit","Cancelled",,,"Central Harlem Health Center - 2238 5th Avenue","2238 Fifth Avenue","DOHMH","28.02","10037","MANHATTAN","40.813645","-73.936992","10","9","212","1053900","1017340034","Central Harlem North-Polo Grounds                                          "
"Energy Audit","None","Completed","6-Feb-12","15-Jun-12","48th Precinct","450 CROSS BRONX EXPWY BRONX NY","NYPD","22.92","10457","BRONX    ","40.844149","-73.900604","6","15","165","2009509","2029070010","Claremont-Bathgate                                                         "
"Comprehensive","Retrofit","Design",,,"Queens Criminal Court","120-55 Queens Blvd. Queens NY 11415","DCAS","1291.03","11415","QUEENS   ","40.713329","-73.828601","9","29","216","4052812","4022740002","Kew Gardens                                                                "
"Lighting System Upgrade","Retrofit","Completed","29-Dec-09","22-Jun-10","P.S. 24Q","141-11 Holly Avenue","DOE","54.99","11355","QUEENS   ","40.75146","-73.817849","7","20","1205","4117403","4052010021","East Flushing                                                              "
"Comprehensive","Retrofit","Install","25-Jan-12",,"Murry Bergtraum High School (M520)","411 Pearl Street","DOE","1767.43","10038","MANHATTAN","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  "
"Lighting System Upgrade","Retrofit","Completed","13-May-08","25-Mar-09","P.S. 226X Annex","1900 SEDGWICK AVE, 1950 Sedgwick Avenue","DOE","50.16","10453","BRONX    ","40.855782","-73.916398","5","14","249","2096465","2032220100","University Heights-Morris Heights                                          "
"Energy Audit","None","Completed",,,"Metropolitan Hospital","1901 1st Avenue  New York, NY 10029","HHC",,"10029","MANHATTAN","40.784557","-73.94378","11","8","15602","1083929","1016690001","East Harlem South                                                          "
"Energy Audit","None","Completed","2-Mar-11","28-Feb-12","PS 78X Anne Hutchinso","1400 Needham Ave","DOE","65.27","10469","BRONX    ","40.878577","-73.851163","12","12","386","2060191","2047190001","Eastchester-Edenwald-Baychester                                            "
"Lighting System Upgrade","Retrofit","Completed","24-Jul-09","13-May-10","Bronx 12 District Garage","1635 East 233rd St. Bronx NY","DSNY","151.64","10466","BRONX    ","40.888188","-73.826903","12","12","456","2090261","2049740028","Eastchester-Edenwald-Baychester                                            "
"Other","Retro-commissioning","Proposed",,,"Q125 - JHS 125Q Thom J. McCann Woodside","46-02 47 Ave","DOE",,"11377","QUEENS   ","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
