"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Consumer and Worker Protection (DCWP)","wapz-jfhq","DCWP Language Line Interpretation Services","Department of Consumer and Worker Protection (DCWP) believes that limited English proficiency (LEP) should not be a hindrance to accessing the services and information the Agency provides. Without language access services consumers and workers and business with limited English proficiency could face substantial hurdles to knowing their consumer and worker rights; business owners could struggle to navigate the rules and regulations that govern commerce and the workplace in New York City, and potentially struggle to complete the license application process.

DCWP provides telephonic translation services to anyone requesting such assistance.  Each month DCWP receives an invoice that records each time a translation request was made and general information in relation to each transaction, including the language requested and the DCWP division which made the request. This dataset is compiles these translation service invoices since January 2016, the earliest date this information is available.","dataset","Business","Yes","https://data.cityofnewyork.us/d/wapz-jfhq",,"Monthly","2022-01-05T20:17:12.000","Yes","No","Yes","No","N/A","No","N/A","No","253","19971","4",,"false"
"Commission to Combat Police Corruption (CCPC)","56t2-bzsy","19th Annual Report of the Commission","The Commission has, since its inception, and in accordance with its Executive Order, released annual reports detailing its activities for each past year. The annual reports also include follow-up reviews of recommendations made in Commission studies, including the Department's ongoing handling of off-duty misconduct cases and discipline of officers who have made false official statements.

Categories of NYPD Internal Affairs Bureau cases reviewed by CCPC, that were closed during the 2017 and 2018 calendar years.</p>For CCPC's 19th Annual Report, CCPC reviewed 133 NYPD Internal Affairs Bureau (IAB) investigations that were closed during the 2017 and 2018 calendar years. CCPC analyzed these cases and evaluated whether they were fair, thoroguh, accurate, and impartial. This dataset reflects the most serious allegation and the number of cases for each category. 

<b>NOTE: CCPC only reviewed a sample of IAB’s closed cases.</b>","file","Public Safety","Yes","https://data.cityofnewyork.us/d/56t2-bzsy","7/14/2020","Historical data","2020-07-14T21:11:16.000","No","No","Yes","No","N/A","Yes","Historical","No","217",,,,"false"
"Department of City Planning (DCP)","qs4p-vs2w","Roadbed Pointer List (RPL)","A text file representing the relationships between generic and roadbed segments (or roadbed terminators – segments that represent the merging of divided roadbeds back into each other as a single roadbed or undivided street) by segment ID.

All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>","file","Housing & Development","Yes","https://data.cityofnewyork.us/d/qs4p-vs2w","7/14/2015","As needed","2015-07-14T17:26:48.000","Yes","No","Yes","No","N/A","Yes","Quarterly","No","310",,,,"false"
"Department of Education (DOE)","9nyh-gsuu","2017- 2018   Class Size Report Borough Middle And High School","Class size distribution information on middle and high school classes by borough","dataset","Education","No","https://data.cityofnewyork.us/d/9nyh-gsuu","04/20/2018","Historical data","2018-04-20T13:48:10.000","No","No","Yes","No","N/A","No","N/A","No","194","2548","8",,"false"
"Department of Education (DOE)","pgun-i6u7","2015-16 Demographic Data - Grades K-8 Special Programs","","dataset","Education","Yes","https://data.cityofnewyork.us/d/pgun-i6u7","8/8/2017","Historical data","2017-08-08T17:11:07.000","No","No","Yes","No","N/A","No","N/A","No","231","1274","71",,"false"
"Civil Service Commission","ddpx-u5dz","Appeals Closed In 2017","A list of all appeals closed by the Civil Service Commission in 2017. This list includes both Civil Service Law Section 50 Disqualification Appeals and Civil Service Law Section 76 Disciplinary Appeals.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/ddpx-u5dz","01/10/2018","Historical data","2018-01-09T22:03:54.000","No","No","Yes","No","N/A","No","N/A","No","464","1342","11",,"false"
"Department of Education (DOE)","s65f-sqe8","Childcare Regulated Programs Map","Data to solve NYC DOE's Big Idea.","href","NYC BigApps","No","https://data.cityofnewyork.us/d/s65f-sqe8","5/7/2014","As needed","2014-05-06T16:07:18.000","No","No","Yes","No","N/A","No","N/A","No","413",,,,"false"
"Department of Education (DOE)","9eun-chvy","2015 - 2016 School Closure Discharge Reporting Borough AGE","New York City public schools closed for poor performance. This report provides data regarding students enrolled in these schools during the school year, according to the guidelines set by Local Law 043","dataset","Education","No","https://data.cityofnewyork.us/d/9eun-chvy","02/20/2018","Historical data","2018-02-20T19:39:34.000","No","No","Yes","No","N/A","No","N/A","No","185","393","29",,"false"
"Department of Health and Mental Hygiene (DOHMH)","r63n-8hf3","DOHMH and DEP Waterborne Disease Risk Assessment Program Annual Report Data: Cryptosporidiosis by race/ethnicity and borough of residence","Cryptosporidiosis by race/ethnicity and borough of residence
Release 1.1: Cryptosporidiosis, number of cases and annual case rate per 100,000 population by Race/Ethnicity and Borough of residence Table from Waterborne Disease Risk Assessment Program annual report

Surveillance data for cryptosporidiosis reported to the NYC Department of Health and Mental Hygiene (DOHMH). Data are derived from reports filed with the NYC DOHMH by laboratories and Health care providers as required by Section 11.03 of the NYC Health Code, and from telephone interviews of cryptosporidiosis case-patients. For more information, please visit Waterborne Disease Risk Assessment Program's Annual Reports, 1997-2016: http://www.nyc.gov/html/dep/html/drinking_water/wdrap.shtml,  and the Communicable Disease Surveillance Data Module on Epiquery: nyc.gov/health/epiquery.","dataset","Health","Yes","https://data.cityofnewyork.us/d/r63n-8hf3","5/14/2019","Annually","2022-06-30T18:01:49.000","N/A","No","Yes","No","N/A","Yes","Annually","N/A","530","164","8",,"false"
"Department of Finance (DOF)","f42p-xqaa","DOF: Cooperative Comparable Rental Income – Brooklyn – FY 2010/2011","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/f42p-xqaa","10/7/2011","Historical data","2017-09-14T20:23:58.000","No","No","Yes","Yes","Yes","Yes","Annually","No","339","962","57",,"false"
"Department of Finance (DOF)","cyfw-hfqk","DOF: Condominium Comparable Rental Income – Staten Island – FY 2008/2009","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/cyfw-hfqk","10/11/2011","Historical data","2017-09-12T12:53:56.000","No","No","Yes","Yes","Yes","Yes","Annually","No","391","24","58",,"false"
"Manhattan Borough President (MBPO)","9umc-3b2y","Capital Grant Awards 2014","This list contains information on capital grants","dataset","City Government","YES","https://data.cityofnewyork.us/d/9umc-3b2y","3/6/2014","Historical data","2017-09-18T14:42:07.000","No","No","No","Yes","Yes","Yes","Historical","Yes","762","149","21",,"false"
"Department of Education (DOE)","pgrs-2cjd","2006 - 2011 NYS Math Test Results By Grade - District - By Race- Ethnicity","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer.","dataset","Education","No","https://data.cityofnewyork.us/d/pgrs-2cjd","10/11/2011","Historical data","2011-10-05T22:55:51.000","No","No","Yes","No","N/A","No","N/A","No","668","5376","16",,"false"
"Department of Education (DOE)","exe6-f2vx","2014 - 2015 Arts Reports","Data is based off of STARS scheduling data for grades 1-6 and additional data for grades 1-5 is self-reported, collected through the Annual Arts Survey. All data is available at the school-level only.","dataset","Education","Yes","https://data.cityofnewyork.us/d/exe6-f2vx","04/16/2019","Historical data","2019-04-01T19:51:46.000","No","No","Yes","No","N/A","No","Annually","No","195","34","23",,"false"
"Department of Buildings (DOB)","umvu-uw78","DOB Permit Issuance","A list of permits issued for a particular day and associated data. Prior weekly and monthly reports are archived at DOB and are not available on NYC Open Data.","datalens","Housing & Development","No","https://data.cityofnewyork.us/view/umvu-uw78","7/7/2015","Daily","2022-08-25T20:11:23.000","Yes","Yes","Yes","Yes","Yes","No","N/A","No","16252",,,"ipu4-2q9a","true"
"Human Resources Administration (HRA)","tu4y-7fre","District Resource Statement - MA Enrollees","Total MA Enrollees and MA Enrollees who do not receive other Social Service Benefits. For a complete list of District Resource Statement datasets,please follow <a href=""https://data.cityofnewyork.us/browse?q=District%20Resource%20Statement&sortBy=relevance"">this link</a>.","dataset","Social Services","YES","https://data.cityofnewyork.us/d/tu4y-7fre","10/29/2018","Annually","2022-02-14T20:37:37.000","Yes","No","Yes","No","N/A","Yes","Annually","No","205","236","6",,"false"
"Department of Transportation (DOT)","dq7m-xn5i","VZV_Hands-On Safety Demos","Hands-on safety demonstrations are held in conjunction with local partners throughout New York City, bringing traffic safety education and assistance directly to the public. Events include car safety seat fittings, bicycle helmet fittings and giveaways, truck safety and car safety demonstrations, Vision Zero table seminars and DWI awareness events

For a complete list of Vision Zero maps, please follow <a href=""https://data.cityofnewyork.us/browse?q=vzv&sortBy=last_modified&utf8=%E2%9C%93"">this link</a>","map","Transportation","No","https://data.cityofnewyork.us/d/dq7m-xn5i","05/31/2018","Monthly","2022-08-09T13:25:48.000","Yes","Yes","Yes","No","N/A","Yes","Monthly","No","344",,,,"false"
