"id","name_of_business","short_description","address","city","state","zip","phone_number","which_type_of_business_is_this","business_website_or_other_url","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"111","The BKLYN Juice Bar","Juice Bar/Salad Bar","2873 Atlantic Avenue","Brooklyn","NY","11207","(718) 274-0400","Food and Beverage","https://www.facebook.com/bklynjuicebar/","BROOKLYN ","40.677056","-73.888188","5","37","1170","3087867","3039500044","East New York                                                              "
"112","Dekalb Markethall","Food Plaza","445 Gold Street","Brooklyn","NY","11201",,"Food and Beverage","http://www.dekalbmarkethall.com","BROOKLYN ","40.690833","-73.983452","2","33","15","3397861","3001497501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"113","Staten Island Beer Company","""Family owned micro brewery with 11 beers on tap""","20 Kinsey Place","Staten Island","NY","10303","(718) 390-8445","Food and Beverage","https://www.facebook.com/sibeerco/","STATEN IS","40.628554","-74.16943","1","49","323","5028627","5012900092","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"114","On the Mark Barber Shop","Barber Shop","400 East 13th Street","New York","NY","10009","(212) 529-1900","Service","https://www.facebook.com/On-The-Mark-Barber-Shop-100499773342418/","MANHATTAN","40.730506","-73.982742","3","2","34","1005982","1004400008","East Village                                                               "
"115","Sammy Dry Cleaners & Tailor","Dry Cleaners, Tailor","144 East 22nd Street`","New York","NY","10010","(212) 780-9888","Service",,"MANHATTAN","40.738645","-73.984794","6","2","68","1018005","1008770057","Gramercy                                                                   "
"116","Crown Diner Restaurant","""Beloved anchor on 161 and Gerard Ave for over 20 years""","79 East 161st Street","New York","NY","10451","(718) 538-0309","Food and Beverage",,"BRONX    ","40.827564","-73.925088","4","8","195","2002991","2024840035","West Concourse                                                             "
"117","Bar 180","""Local Watering Hole with a great happy hour!""","4241 Broadway","New York","NY","10033","(646) 928-3283","Food and Beverage","https://www.facebook.com/bar180nyc/","MANHATTAN","40.849641","-73.936311","12","10","265","1064282","1021760138","Washington Heights South                                                   "
"118","American Locksmiths","Locksmith","940 3rd Avenue","New York","NY","10022","(212) 888-8888","Service","http://americanlocksmithsny.com/","MANHATTAN","40.759888","-73.967718","6","4","11203","1036880","1013110036","Turtle Bay-East Midtown                                                    "
"119","The Habitat","""Neighborhood bar and restaurant""","988 Manhattan Avenue","Brooklyn","NY","11222",,"Food and Beverage","http://thehabitatbrooklyn.com/menus","BROOKLYN ","40.73279","-73.954677","1","33","575","3064355","3025330065","Greenpoint                                                                 "
"120","Performers Edge Dance Academy","Dance Studio","4037 E Tremont Avenue","Bronx","NY","10465",,"Service","http://Performersedgedanceacademy.com","BRONX    ","40.819542","-73.817514","10","13","130","2077266","2054450005","Schuylerville-Throgs Neck-Edgewater Park                                   "
"121","C&S Jewelers","Jewerlery Store","9403 Third Avenue","Brooklyn","NY","11228","(718) 745-9855","Retail","https://www.facebook.com/CandSJewelers/","BROOKLYN ","40.617832","-74.033347","10","43","54","3155473","3061140006","Bay Ridge                                                                  "
"122","Risk gallery and boutique","Vintage store","232 Varet Street","Brooklyn","NY","11206","(347) 689-9772","Retail","http://www.rosybleu.com/about/","BROOKLYN ","40.704043","-73.934193","1","34","485","3071583","3031180005","Bushwick South                                                             "
"123","Water & Stone, a Creative Arts Therapy, PLLC","""Art Therapy Private Practice""","155 Water Street","Brooklyn","NY","11201","(347) 507-2342","Service","http://www.creativelyhealing.com","BROOKLYN ","40.703147","-73.987864","2","33","21","3000026","3000290016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"124","Yorkafe","Cafe","501 East 83rd Street","New York","NY","10028","(212) 988-1780","Food and Beverage","https://www.facebook.com/Yorkafe/?rf=592958260716544","MANHATTAN","40.773835","-73.948194","8","5","136","1051178","1015800001","Yorkville                                                                  "
"125","Crom Physical Culture","Gym/Physical Fitness Center","217 Beach 92nd Street","Far Rockaway","NY","11693","(718) 945-1700","Service","http://www.crompc.com","QUEENS   ","40.586615","-73.815559","14","32","94202",,,"Hammels-Arverne-Edgemere                                                   "
"126","The Baroness","""Bar & Kitchen: Great selection of Craft Beer, Wines & Best Burgers in NYC""","41-26 Crescent Street","Long Island City","NY","11101","(718) 784-5065","Food and Beverage","http://www.thebaronessbar.com","QUEENS   ","40.75181","-73.939502","1","26","33","4005004","4004140039","Queensbridge-Ravenswood-Long Island City                                   "
"127","The Craftsman","""Craft Bar and Café""","3155 Broadway","New York","NY","10027","(212) 933-0602","Food and Beverage","http://thecraftsmannyc.com/","MANHATTAN","40.814536","-73.959144","9","7","211","1059855","1019930086","Morningside Heights                                                        "
"128","Bettolona","Italian Restaurant","3143 Broadway","New York","NY","10027","(212) 749-1125","Food and Beverage","https://www.facebook.com/Bettolona-145708885479882/","MANHATTAN","40.813993","-73.959542","9","7","211","1059850","1019930076","Morningside Heights                                                        "
"129","Metro Dermatology of NY, PC","Medical Dermatology","40-12 80th Street","Elmhurst","NY","11373","(718) 886-9000","Service","http://www.metrodermatology.net","QUEENS   ","40.746925","-73.885707","4","25","267","4036832","4014900012","Elmhurst                                                                   "
"130","Oxygen Garden Spa","Nail Salon and Spa","4122 Greenpoint Avenue","Sunnyside","NY","11104","(719) 392-8899","Service",,"QUEENS   ","40.740114","-73.923743","2","26","18502","4002644","4001970001","Hunters Point-Sunnyside-West Maspeth                                       "
"131","Pearl Diner","""Classic free-standing diner that has been open since the 60's""","212 Pearl Street","New York","NY","10038","(212) 344-6620","Food and Beverage","http://www.pearldinerny.com/","MANHATTAN","40.707009","-74.006377","1","1","1502","1001133","1000700020","Battery Park City-Lower Manhattan                                          "
"132","Down the Hatch","""Low key bar with games and food - opened in 1991""","179 West 4th Street","New York","NY","10014","(212) 627-9747","Food and Beverage","http://www.nycbestbar.com/downthehatch/","MANHATTAN","40.732475","-74.00179","2","3","71","1010230","1005920036","West Village                                                               "
"133","Lazy ibis","Cafe","663 Franklin Avenue","Brooklyn","NY","11238","(718) 676-4150","Food and Beverage","https://www.lazyibisnyc.com/","BROOKLYN ","40.675746","-73.956122","8","35","221","3030866","3012240012","Crown Heights North                                                        "
"134","Peaches Hot House","Southern restaurant","415 Tomkins Avenue","Brooklyn","NY","11216","(718) 483-9111","Food and Beverage","http://www.bcrestaurantgroup.com/hothouse",,,,,,,,,
"135","Please","""Intimacy / sensuality / sexuality education and literacy""","557 5th Avenue","Brooklyn","NY","11215","(718) 788-6969","Retail","http://pleasenewyork.com","BROOKLYN ","40.66547","-73.989377","7","39","141","3023950","3010480010","Park Slope-Gowanus                                                         "
"136","Kings Highway Bakery","Bakery","292 Kings Highway","Brooklyn","NY","11223","(718) 998-0141","Food and Beverage","https://www.facebook.com/Kings-Highway-Bakery-183079998377651/","BROOKLYN ","40.605127","-73.97975","11","47","426","3176849","3066500076","Bensonhurst East                                                           "
"137","SKATEYOGI","""Skateboarding classes and camps""","140 Empire Blvd","Brooklyn","NY","11225",,"Service","http://skateyogi.com","BROOKLYN ","40.663475","-73.957777","9","40","327","3000000","3013130046","Prospect Lefferts Gardens-Wingate                                          "
"138","Grotta Azzurra Restaurant","Classic Italian Restaurant since 1908","177 Mulberry Street","New York","NY","10013","(212) 925-8775","Food and Beverage","http://www.bluegrotta.com","MANHATTAN","40.72033","-73.996916","2","1","41","1006963","1004710014","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"139","Broadway's Finest Deli","Deli","3620 Broadway","New York","NY","10031",,"Food and Beverage","http://www.broadwayfinestdeli.com/","MANHATTAN","40.829065","-73.948516","9","7","233","1062077","1020810001","Hamilton Heights                                                           "
"140","Corona Wellness Pharmacy Corp.","Pharmacy","96-08 37th Avenue","Corona","NY","11368","(917) 832-6719","Retail",,"QUEENS   ","40.751589","-73.870655","3","21","375","4043836","4017590001","North Corona                                                               "
"141","On Point Financial","Financial Planning","140 Riverside Drive","New York","NY","10024","(917) 231-1813","Service","http://www.onpointfinancialgroup.com","MANHATTAN","40.790374","-73.979596","7","6","175","1033933","1012480001","Upper West Side                                                            "
"142","The Vitamin Peddler","""Vitamin and health care goods shop""","364 Amsterdam Avenue","New York","NY","10024","(212) 877-7701","Retail",,"MANHATTAN","40.782071","-73.979125","7","6","163","1030887","1011690029","Upper West Side                                                            "
"143","Hole in the Wall","""Australian-theme coffee shop with great food""","15 Cliff Street","New York","NY","10038",,"Food and Beverage","https://www.holeinthewallnyc.com","MANHATTAN","40.708143","-74.00545","1","1","1502","1085931","1000767501","Battery Park City-Lower Manhattan                                          "
"144","Sunrise Cleaners","Dry Cleaners","59 Nassau Street","New York","NY","10038","(212) 227-5002","Service","http://www.downtownny.com/sunrise-cleaners-1","MANHATTAN","40.70918","-74.008776","1","1","1502","1001095","1000650004","Battery Park City-Lower Manhattan                                          "
