"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Rehabilitation of Van Wyck Expressway (678I) from Mt Hebron Cemetery to 37th Avenue","2019-01-24T00:00:00.000","X735.80 D264076","Deck replacement on the Van Wyck viaduct over Flushing Meadows Corona Park: Van Wyck Expressway (678I) / Long Island Expressway Interchange (495I) Structures rehabilitation Phase 1 in Queens County, NY to extend service life of structures. BINs:1055789, 105578E","Q099;","Flushing Meadows Corona Park;","Avenue of Research & Meridian Rd","Queens","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations;#Other;#Borough Forestry;#Capital Projects;#Revenue/Concession;#Greenthumb","Partial Park Closure;#Excavation;#Park Improvement","124464008.5","Construction",,,"AECOM","No",,,"2019-09-10T00:00:00.000","2019-10-03T00:00:00.000",,,,,,"2022-10-31T00:00:00.000",,"El Sol Contracting/ES II Enterprises JV",,"Q099.20191212","2020-12-01T00:00:00.000","Pending",,"i.	Timing of Work, Coordination with Parks
a)	A monthly schedule of work, identifying piers to be worked on, is to be provided to Parks and kept up to date at Interagency@parks.nyc.gov
b)	US Open Embargo: No work presence, no occupation of the Premises, is permitted during the month-long US Open tennis event each year. In 2020, this will be between August 22 and September 20.
c)	Mets Season: Operations are to be suspended 
(1)	on Mets Opening Day 
(2)	during Subway Series game days, 
(3)	during the monthly daytime game-day, 
(4)	after 4 pm on any day when there is a night game.
d)	Pier 45 to Pier 52: Portions of this area will be unavailable for work through the end of 2020, due to its use by NYC Parks for temporary materials stockpile. 
e)	Night work: When not in conflict with above conditions, it is permissible to work after-hours and over nights.
ii.	Vertical Clearance: Fourteen feet of vertical clearance for operation of vehicles shall be maintained in all areas of the Permitted Premises.
iii.	Restoration of Premises: 
a)	Work Zone At Grade: At the completion of all work in a zone, Permittee shall restore in kind asphalt-paved areas of work zones depicted in “At Grade Parking Pier Work” drawings by, at minimum: milling the top inch-and-a-half of pavement, repaving with asphalt, and restriping of parking stalls.
b)	Restoration of Landscaped Medians: Any planted median in which work is performed shall be restocked fully with #1 pots of Liatris spicata ‘Kobold’ at 15” on center, and/or 5-gallon pots of Viburnum plicatum ‘Shasta’.
c)	Additional Areas: In the event that sidewalks or Park roads require restoration of pavement following activity, these require full depth reconstruction including the full width of the sidewalk, and from curb to centerline of roads
iv.	Other Work In Area: Permittee is advised of the following capital projects taking place within the Park, near the Permitted Premises and sharing access to these Premises:
a)	NYC DDC, “Porpoise Bridge In Flushing Meadows-Corona Park,” in design, construction est complete 7/24/2023
b)	NYC Parks, “Flushing Meadows Corona Park Garage Reconstruction,” in construction and est complete June 2021
c)	NYC Parks, “Fountain of the Fairs Reconstruction” in construction and est complete 2020 September
d)	NYC Parks, “Flushing Meadows Corona Park Synthetic Turf Fields 8 & 9 Reconstruction,” in design. Est. construction 2021 – 2023.
e)	Port Authority, “AirTrain LGA.” Schedule unknown but planned 2022 completion has been publicized. All known proposed work is north of the LIRR.
f)	NYC Parks, “Flushing Meadows Corona Park Aquatic Center Emergency Netting System Installation.” Q099-320M. Schedule unknown, but unlikely to have significant impacts external to the Aquatic Center building.","2019-12-12T00:00:00.000",,"2020-04-27T00:00:00.000","2021-01-31T00:00:00.000",,,,,"Q099.E.20190124",,,,,,,,"2019-01-24T12:41:00.000","2021-03-16T12:19:00.000","40.750266, -73.835267"
"Component Replacement of High Tension Switchgear at 10 Locations","2018-01-31T00:00:00.000","P-36700","Component Replacement of High Tension Switchgear at 10 Locations","X033;B137;","Mosholu Parkway;Sixteen Sycamores Playground;",,"Brooklyn;#Queens;#Bronx","Multi Borough","MTA NYCT",,,,,"Construction",,,,,,,,,,,,,,,,"RMSK Contracting Corp.","2019-06-14T00:00:00.000","CNYG.20190705",,,,,,,"2019-10-22T00:00:00.000","2020-10-22T00:00:00.000","2021-03-05T00:00:00.000","2021-03-15T00:00:00.000","2021-06-30T00:00:00.000","Phase 2 of work at 16 Sycamores Authorized
Permit extended to end of November 2020. Permit extended to June 2021",,,,,,,,,"2018-02-08T15:44:00.000","2021-03-15T12:32:00.000",
"Perimeter Fence Replacement at Wards Island Wastewater Treatment Plant | Reconstruction of Chainlink Fence at WI WRRF","2018-07-08T00:00:00.000","JOC 19-WI00-WDFGN-006.00","Job Order Contract to replace in-kind 4,000 ft existing chainlink fence and two vehicular gates. Previously, replacement was to be with a more aesthetic fence since it is next to a park greenway. Earlier plans also involved expanding the plant by 3', but this was scrapped. ***Earlier (abandoned) 2016 job order contract was 15-WI00-SHEGS-022.00 PW-94-2, permits were issued but contractor Sheela Inc. walked off that job. Also formerly 17-NG 18-WI00-WDFGE-005.00","M104;M107;","Randall's Island Park;Wards Island Park;","Hell Gate Circle & C Rd","Manhattan","Multi Site","DEP","Sewer/Water Plant","Conservancy;#Borough Forestry;#Capital Projects","Access-Only;#Excavation","951239.76","Conditional-Accepted (Subst. Compl.)",,,,"No",,,,,,,"Resident Engineer","HDR Inc.","2019-09-18T00:00:00.000",,,"WDF, Inc.","2020-01-22T00:00:00.000","MG.20200129","2020-03-10T00:00:00.000","Approved","WF210MF19","i.	Permittee may not operate, store, or otherwise bring vehicles anywhere in the premises except on and along the multi-use path (bike path). All access to landscape areas is by foot only, including hand-wheeled tools.","2020-02-03T00:00:00.000",,"2020-02-10T00:00:00.000","2020-08-28T00:00:00.000","2020-08-04T00:00:00.000","2020-08-20T00:00:00.000","2021-05-28T00:00:00.000",,,,,"2021-03-10T00:00:00.000","2021-03-10T00:00:00.000",,,,"2018-07-11T14:43:00.000","2021-03-09T09:43:00.000","40.788709, -73.925233"
"Coney Island Creek Fishing Pier Maintenance","2020-12-14T00:00:00.000","150898.18","Coney Island Creek Pier Underdeck Rehabilitation","B129;","Kaiser Park;","Bay View Ave and Neptune Ave","Brooklyn","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Planning and Parklands","Staging;#Partial Park Closure",,"Permitting",,,,,,,,,,,,,,,,"Skanska","2021-02-25T00:00:00.000","B129.20210305",,,,,"2001-01-01T00:00:00.000",,"2021-03-10T00:00:00.000","2021-06-10T00:00:00.000",,,,,,,,,,,,,"2021-03-01T16:32:00.000","2021-03-05T12:13:00.000","40.580360, -73.996938"
"PS 84M Sol Bloom Playground MPPA Reconstruction","2018-11-08T00:00:00.000",,"Reconstruction of the Sol Bloom Playground MPPA","M244;","Sol Bloom Playground;",,"Manhattan","Single Site","SCA","Park Improvement/New Park","Borough Operations;#Borough Forestry","Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Li Tan Construction","2020-07-09T00:00:00.000","M244.20201113",,"Approved","WW408MF21",,,,"2021-03-04T00:00:00.000","2022-03-31T00:00:00.000",,,,,,,,,,,,,"2019-03-14T14:10:00.000","2021-03-04T10:42:00.000","40.789442, -73.968736"
"Alfred E. Smith HS/ Governor Smith Playground","2018-10-31T00:00:00.000",,"Staging area for interior renovation work in adjacent Alfred E. Smith HS","X210;","Governor Smith Playground;",,"Bronx","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry","Staging",,"Construction",,,,,,,,,,,,,,,,"Nehal Contracting Inc.","2018-10-31T00:00:00.000","X210.20190107",,"Approved","BX-108",,,,"2019-01-14T00:00:00.000","2020-03-20T00:00:00.000","2021-01-15T00:00:00.000","2021-03-04T00:00:00.000","2022-01-31T00:00:00.000",,,,,,,,,,"2019-03-13T13:07:00.000","2021-03-04T10:22:00.000","40.819103, -73.920225"
"Bushwick High School Rehabilitation Work","2018-02-20T00:00:00.000",,"Temporary closure of a portion of Bushwick Playground to facilitate rehabilitation work of the adjacent school facility.","B017;","Bushwick Playground;",,"Brooklyn","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry","Partial Park Closure",,"Conditional-Accepted (Subst. Compl.)",,,,,,,,,,,,,,,,"Padilla Construction Services, Inc.","2018-02-20T00:00:00.000","B017.20180608",,,,"No anchoring of any kind is permitted into existing asphalt or pavement.
The protection area shall be enclosed using an 8’H temporary construction fence.
The plantings within the planting bed enclosed within the permitted area shall be replaced, if
necessary, upon completion of construction activities.
The section of chain link fence adjacent to the school’s staircase shall be replaced in-kind.
The Permittee shall scrape and paint both sides of the handball court backstop upon
completion of construction activities pursuant to Parks specification.",,,"2018-06-15T00:00:00.000","2020-02-28T00:00:00.000","2020-12-08T00:00:00.000","2021-03-04T00:00:00.000","2021-12-31T00:00:00.000","The Permittee shall install temporary
plywood against the temporary chain link fence enclosing the safety zone to address
unauthorized site access. The Permittee shall additionally locate a security guard and guard
booth within the handball court and the area shall remain under security 24/7 throughout the
duration of Work and until such area is returned to Parks.",,,,,,,,,"2018-06-14T15:59:00.000","2021-03-04T10:17:00.000","40.696418, -73.912033"
"PS 38M Exterior Rehabilitation Project","2020-02-14T00:00:00.000",,"Temporary safety enclosure within a portion of the playground to facilitate an exterior rehabilitation project at the adjacent PS 38M school facility","M214;","Blake Hobbs Playground;",,"Manhattan","Single Site","SCA","Public Building","Borough Operations","Staging",,"Construction",,,,,,,,,,,,,,,,"AMP Tech Inc.","2020-02-14T00:00:00.000","M214.20200303",,"Not Required",,,,,"2020-03-04T00:00:00.000","2021-03-04T00:00:00.000","2021-02-24T00:00:00.000","2021-03-04T00:00:00.000","2022-03-04T00:00:00.000",,,,,,,,,,"2020-03-04T08:39:00.000","2021-03-04T10:10:00.000","40.788511, -73.944560"
"Non-Structural Corrective Maintenance Where & When Contract in New York City","2021-03-03T00:00:00.000","XM21.45 D264326","Work Order 30 WO30: electrical junction box at requested staging area","B166;","Belt Parkway/Shore Parkway;",,"Brooklyn","Multi Borough","SDOT","Bridge Component Rehabilitation","CDOT Arterial Maintenance","Staging",,"Construction",,,,,,,,,,,,,,,,"DeFoe Corp.",,,,,,,,,,,,,,,,,,,,,,,"2021-03-04T09:12:00.000","2021-03-04T09:19:00.000","40.582885, -73.974346"
"Belt Parkway Viaduct fallen concrete above John Allen Payne","2020-03-12T00:00:00.000","D037822 WO17","Red-flag type response by county resident engineer to address reports of loose concrete reported by borough office, eventually resolved by a Interim Action flag issued by emergency bridge repair contract","B210A;","John Allen Payne Park;",,"Brooklyn","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations","Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-03-02T00:00:00.000",,"2020-03-13T11:11:00.000","2021-03-02T16:19:00.000","40.640023, -74.024244"
"Reconstruction of Pelham Parkway Westbound and Pelham Parkway North Phase 2","2011-02-14T00:00:00.000","HWX710A","Reconstruction of the westbound mainline and northern service road of Pelham Parkway","X003;","Pelham Parkway;","Pelham Parkway","Bronx","Single Site","DDC","Parkway/Arterial Improvement","Borough Operations;#Borough Forestry;#Central Forestry;#Capital Projects;#Landmarks/Preservation;#Legal/MOUs","Excavation;#Partial Park Closure",,"Construction",,,"Dewberry",,,,,,,,"The LiRo Group",,,,,"C.A.C. Industries, Inc.","2017-10-27T00:00:00.000","X003.20171215",,,,"Work is prohibited west of station 25+50. A future amendment will permit work west of station 25+50 once the water main and/or water main test pit scopes of work are finalized.","2017-12-15T00:00:00.000",,"2018-01-02T00:00:00.000","2020-01-02T00:00:00.000","2021-01-26T00:00:00.000","2021-02-24T00:00:00.000","2022-01-02T00:00:00.000","Roadway pits between Boston and White Plains Roads permitted. Verbally approved by Chief Scoones on 2/7/18. 


Extended 2/24/2021",,,,,,,,,"2017-08-18T16:15:00.000","2021-02-24T17:09:00.000","40.8575128301411, -73.85374546051025"
"Installation of Storm & Sanitary Sewers, and Water Mains in Husson St, etc, Including New Creek BMPs","2013-11-01T00:00:00.000","MIBBNC002 NC-11 NC-12","Includes Last Chance Pond and Joyce Street BMPs, Staten Island Bluebelt. Construction of swamp and marsh stormwater detention systems, part of the ""Staten Island Bluebelt"". NB, as yet undesigned DEC-mandated mitigation in Wolfe's Pond Park to be followed up on with DDC under separate project, not this one.","R148;","Last Chance Pond Park;","Seaver Ave & Husson St","Staten Island","Single Site","DDC","Resiliency","Natural Resources Group (NRG);#Borough Forestry","Excavation;#Total Park Closure;#Park Improvement","39000000","Construction",,,,,,,,,,,"EIC
Director",,"2018-05-07T00:00:00.000","2021-06-04T00:00:00.000",,"DiFazio Industries LLC","2018-09-20T00:00:00.000","R148.20181012",,"Approved","26048",,"2018-10-09T00:00:00.000",,"2018-10-22T00:00:00.000","2020-10-16T00:00:00.000","2020-10-30T00:00:00.000","2020-12-01T00:00:00.000","2021-10-31T00:00:00.000","A1: Permit extension to October 2021.","R148.E.20171006",,,,,,,,"2016-12-14T10:04:00.000","2021-02-23T14:50:00.000","40.584447, -74.098540"
"Reconstruction of Roma and Hett Avenues","2010-09-10T00:00:00.000","HWR669C","Major street reconstruction project to redo and increase the grade of Cedar Grove Ave, Roma Ave, Hett Ave, Finley Ave, Milton Ave, as well as other smaller streets in the New Dorp Beach neighborhood of Staten Island.","R016;","Great Kills Park;","Cedar Grove Avenue between Ebbitts Avenue and New Dorp Lane","Staten Island","Single Site","DDC","Roadway Reconstruction","Borough Operations;#Borough Horticulture;#Borough Forestry;#Central Forestry;#Capital Projects;#ADA Accessibility","Staging;#Excavation;#Sidewalk Closure;#Park Improvement",,"Construction",,,"STV","Yes",,,,"2017-09-11T00:00:00.000","2018-06-05T00:00:00.000",,"Resident Engineer",,,,,"JR Cruz",,"R016.20190617",,"Approved","28700",,,,"2019-11-25T00:00:00.000","2021-11-25T00:00:00.000","2021-02-19T00:00:00.000","2021-02-22T00:00:00.000","2021-11-25T00:00:00.000","Installation of storm sewer under sidewalk along Great Kills Park between New Dorp Lane and Marine way, requiring removal and replacement of Park standard Timber Guardrail Type B.",,,,,,,,,"2019-03-29T16:13:00.000","2021-02-22T10:30:00.000","40.562993, -74.098750"
"1 Bronx River Pkwy Ranaqua Park - Run an electrical feeder from the Electrical Service Room to the parking lot to energize a new Charge Point CPE-250 Electric Car Charger","2021-02-01T00:00:00.000","X002","1 Bronx River Pkwy Ranaqua Park - Run an electrical feeder from the Electrical Service Room to the parking lot to energize a new Charge Point CPE-250 Electric Car Charger","X002;","Bronx Park;",,"Bronx","Single Site","DCAS","Utility (gas, electric, telephone)","Borough Operations",,,"Construction",,,,,,,,,,,,,,,,"P & M Electrical Contracting Corp.","2021-02-01T00:00:00.000","X002.20210217",,,,,"2021-02-17T00:00:00.000",,"2021-02-22T00:00:00.000","2021-03-31T00:00:00.000",,,,,,,,,,,,,"2021-02-19T09:32:00.000","2021-02-22T10:05:00.000",
"Bronx River Greenway Starlight Park  Phase II Stage Two Bridge the Critical South Bronx Gap","2020-12-08T00:00:00.000","P-1STARLP","Installation of new bridge in new Starlight Park.  Parks Capital project by DDC.","X147A;","Starlight Park;","Westchester Avenue and Sheridan Expressway","Bronx","Single Site","DDC","New Bridge","Borough Operations;#Borough Forestry;#Central Forestry","Partial Park Closure;#Staging",,"Construction",,,,,,,,,,,,,,,,"MLJ Contracting Corp","2020-12-08T00:00:00.000","X147A.20210211",,"Approved","BX-313","i.	Permittee shall hold a walkthrough of the site with DPR after site protection is installed and before large equipment comes on site.
ii.	Permittee shall coordinate driveway access with DPR as needed to allow DPR to access other areas of Park not in permitted premises.
iii.	Permittee shall notify Ellen Macnow at least forty-eight (48) hours before starting the Work, in addition to the Chief of Operations for the Borough as indicated in item 3 Notification.","2021-02-16T00:00:00.000",,"2021-02-11T00:00:00.000","2021-08-31T00:00:00.000",,,,,,,,,,,,,"2020-12-17T12:58:00.000","2021-02-16T12:38:00.000","40.829464, -73.883840"
"The Extension of High Level Storm Sewers, Combined Sewers and Appurtenances on 130th Road","2017-06-27T00:00:00.000","SEQ200529","Sewer and Water main, plus, restoration of natural area (creek banks) and BMP maintenance access paths (standard lattice pavers)","Q027;Q005;","Laurelton Parkway;Baisley Pond Park;","Brookville Blvd and 130th Road","Queens","Single Site","DDC","Sewer/Water Main","Borough Operations;#Borough Forestry;#Natural Resources Group (NRG)","Staging;#Excavation;#Park Improvement;#Sidewalk Closure","13362350.77","Construction",,,,"No",,,,,,,"EIC
RE","HDR","2018-08-27T00:00:00.000","2020-08-25T00:00:00.000",,"Inter Contracting Corp.","2019-01-22T00:00:00.000","QG.20190424","2019-04-03T00:00:00.000","Approved","QP18-407; QP19-183","QG.S.20190424 is an early-issued ""staging"" permit allowing laydown onsite, and has minor special conditions","2019-04-24T00:00:00.000",,"2019-04-29T00:00:00.000","2020-10-30T00:00:00.000","2021-02-11T00:00:00.000","2021-02-11T00:00:00.000","2021-04-30T00:00:00.000",,"QG.E.20190213",,,,,,,,"2017-10-04T12:16:00.000","2021-02-11T15:04:00.000","40.677894, -73.729846"
