"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Thomas Moore","NULL","Draddy","John","G.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","P.E. Guerin","NULL","1879","N","1879","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Prospect Park","Flower Garden","Brooklyn","NY","11226","Brooklyn","Author, Irish, Poet, Author","THOUGH GLORY BE GONE / AND THOUGH HOPE FADE AWAY / THY NAME, LOVED
ERIN / SHALL LIVE IN HIS SONGS / ERECTED BY THE / ST. PATRICK SOCIETY / OF THE CITY OF BROOKLYN / TO COMMEMORATE THE / CENTENNIAL ANNIVERSARY / OF THE BIRTH OF / ""THE POET OF ALL CIRCLES AND / THE IDOL OF HIS OWN."" / MAY 28, 1879/","Department of Parks and Recreation","Gift of St. Patrick Society of the City of Brooklyn","5961","40.658639","-73.964500","1117","1"
"Admiral David Glasgow Farragut","NULL","Saint-Gaudens","Augustus","NULL","NULL","NULL","NULL","Irish, French, American","White","Stanford","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Adolphe Gruet","NULL","1880","N","1881","N","Statue, exedra, bas-relief","Monument/Memorial","Bronze sculpture on granite pedestal","Madison Square Park","428 Madison Square North","New York","NY","10010","Manhattan","Military","Center: DAVID GLASGOW / FARRAGUT West exedra: THAT THE MEMORY OF A / DARING AND SAGACIOUS COMMANDER AND / GENTLE GREAT-SOULED MAN WHOSE LIFE FROM CHILD- / HOOD WAS GIVEN TO HIS COUNTRY BUT WHO / SERVED HER SUPREMELY IN THE WAR / FOR THE UNION MDCCCLX I - MDCCCLXV / MAY BE PRESERVED AND / HONORED AND THAT THEY WHO COME AFTER / HIM AND WHO WILL OWE HIM SO MUCH MAY / SEE HIM AS HE WAS SEEN BY FRIEND AND / FOE HIS COUNTRYMEN HAVE SET UP / THIS MONUMENT AD MDCCCLXXXI. East exedra: BORN NEAR KNOXVILLE TENNESSEE / JULY V MDCCCI MID- / SHIPMAN MDCCCX BATTLE OF ESSEX / AND PHOEBE MARCH XXVIII MDCCCXIV / LIEUTENANT MDCCCXXV COMMAND- / ER MDCCCXLI CAPTAIN MDCCCLV / BATTLE OF NEW ORLEANS APRIL / XXV MDCCCLXII REAR ADMIRAL / MDCCCLXII BATTLE OF MOBILE BAY AUGUST / V MDCCCLXIV VICE ADMIRAL DECEMBER XX III MDCCCLXIV FIRST ADMIRAL OF THE UNITED STATES OF AMERICA JULY XXVI MDCCCLXVI DIED AT PORTSMOUTH NEW HAMPSHIRE AUGUST XIV MDCCCLXX Bronze crab: AUGUSTUS SAINT GAUDENS SCULPTOR / STANFORD WHITE ARCHITECT","Department of Parks and Recreation","Gift of New York Farragut Association","439, 1945","40.742762,","-73.987678","852","1"
"Alexander Hamilton","NULL","Conrads","Carl","H.","NULL","NULL","NULL","German, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1880","N","1880","N","Statue","Monument/Memorial","Granite","Central Park","East Drive and 83rd Street","New York","NY","10024","Manhattan","Politician, Public Servant, American Revolutionary War","HAMILTON / PRESENTED BY / JOHN C. HAMILTON / 1880 /","Department of Parks and Recreation","Gift of John C. Hamilton","3911","40.780972,","-73.964528","1111","1"
"Robert Burns","NULL","Steell","Sir John","NULL","NULL","NULL","NULL","Scottish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1880","N","1880","N","Statue","Monument/Memorial","Bronze, granite","Central Park","Central Park Mall","New York","NY","10019","Manhattan","Poet, Scottish, Author","Pedestal front: ROBERT BURNS
Pedestal rear: PRESENTED / TO THE / CITY OF NEW YORK / BY ADMIRERS OF / SCOTIA'S PEASANT BARD / ON THE 121ST ANNIVERSARY / OF HIS BIRTH","Department of Parks and Recreation","Gift of Saint Andrew's Society and Scottish-Americans","3911","40.770194","-73.972500","1111","1"
"Union Square Drinking Fountain","The James Fountain","Donndorf","Karl","Adolf","NULL","NULL","NULL","German","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","G. Howaldt, Braunschweig","NULL","1881","N","1881","N","Fountain","Artwork/Monument","Bronze, granite","Union Square Park","Union Square West between East 15th and East 16th Street","New York","NY","10003","Manhattan","Fountain, Temperance Movement","A. DONNDORF.FEC.STUTTGART.G.HOWALT.GEG.BRAUNTSCHWEIG / 1881 / -DEUTSCHLAND","Department of Parks and Recreation","Gift of Daniel Willis James and Theodore Roosevelt, Sr.","4211","40.736102","-73.990747","845","2"
"Still Hunt","NULL","Kemeys","Edward","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M.J. Power","NULL","1883","N","1883","N","Statue","Artwork","Bronze, natural stone","Central Park","East Drive near East 77th Street","New York","NY","10024","Manhattan","Animals","Front: E. KEMEYS","Department of Parks and Recreation","Gifted to the City of New York by An Anonymous Donor","5049","MECHANISM, RECOIL","-73.967083","1111","1"
"Conrad Poppenhusen Memorial","NULL","Baerer","Henry","NULL","NULL","NULL","NULL","German, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1884","N","1884","N","Bust, pedestal","Monument/Memorial","Bronze, Barre granite","Poppenhusen Triangle","College Point Boulevard & 12th Avenue","College Point","NY","11356","Queens","Philanthropist","POPPENHUSEN / TO THE MEMORY OF/ THE BENEFACTOR OF / COLLEGE POINT / ERECTED NOV. 1, 1884 /","Department of Parks and Recreation","Gift of Residents of College Point","NULL","40.787861","-73.845823","4030","42"
"Ludwig Van Beethoven","NULL","Hagen","Hugo","NULL","Baerer","Henry","NULL","German","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1884","N","1884","N","Bust, statue, pedestal","Monument/Memorial","Bronze, granite","Central Park","Central Park Mall","New York","NY","10019","Manhattan","Composer, German, Musician, Allegorical","Front: BEETHOVEN 

Rear: ERECTED / AND / PRESENTED / TO THE / CITY OF NEW YORK / BY THE / BEETHOVEN MAENNER CHOR / ON THEIR / 25TH ANNIVERSARY / JULY 22ND 1884. /","Department of Parks and Recreation","Gift of The Beethoven Maennerchor","1177, 3911","40.772967","-73.971797","1111","1"
"Robert Richard Randall","NULL","Saint-Gaudens","Augustus","NULL","NULL","NULL","NULL","Irish, French, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Beaureau Brothers, Philadelphia (original) Johnson Atelier, Princeton, NJ (replica)","NULL","1884","N","1884","N","Statue","Monument/Memorial","Bronze, granite","Snug Harbor Cultural Center","Richmond Terrace and Snug Harbor Road","Staten Island","NY","10301","Staten Island","Maritime, Philanthropist","Base: ROBERT RICHARD / RANDALL / DIED-1801 / 

Signature on base: AVGVSTVS SAINT / GAUDENS SCVLPTOR / NEW-YORK MDCCCLXXXVIII / BEAUREAU BROTHERS FOUNDERS /

Plaque: ROBERT RICHARD RANDALL / --- / THIS BRONZE STATUE, CAST IN 1983, FROM THE ORIGINAL (1883) BY / AUGUSTUS SAINT-GAUDENS, REPRESENTS ROBERT RICHARD RANDALL / (1750-1801) BENEFACTOR OF SAILORS SNUG HARBOR. THE ORIGINAL IS NOW IN SEA LEVEL, NORTH CAROLINA. / --- / THIS REPLICA IS MADE POSSIBLE BY GENEROUS CONTRIBUTIONS FROM / MANY FRIENDS OF SNUG HARBOR TO COMMEMORATE THE 150TH  / ANNIVERSARY OF THE ARRIVAL OF THE FIRST SEAMEN TO MAKE THEIR / HOME HERE. SNUG HARBOR RECOGNIZES THE FOLLOWING FOR THEIR / SPECIAL GIFTS FOR THE RANDALL STATUE FUND: / --- / MR. & MRS. JACK FRIEDLAND / --- / PEAT MARWICK MITCHELL N.Y. FOUNDATION / --- / MR. & MRS. ALLAN PROSKE / --- / THE STANLEY TIMOLAT FOUNDATION / --- / MRS. PETER J. TIMPONE JR. /","Department of Parks and Recreation","Gift of Trustees of Snug Harbor","4191","40.644869","-74.103282","76","1"
"Pilgrim","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hunt","Richard","Morris","NULL","NULL","NULL","NULL","NULL","NULL","NULL","H. Bonnard, NYC","NULL","1885","Y","1885","N","Statue","Monument/Memorial","Bronze, granite","Central Park","East 72nd Street and Terrace Drive","New York","NY","10021","Manhattan","Colonial, English","TO COMMEMORATE / THE LANDING OF THE / PILGRIM FATHERS / ON / PLYMOUTH ROCK / DECEMBER 21, 1620 / ERECTED BY THE / NEW ENGLAND SOCIETY / IN THE CITY OF NEW YORK /
1885/","Department of Parks and Recreation","Gift of the New England Society","3836","40.773139","-73.968389","1111","1"
"Washington Irving Memorial","NULL","Beer","Friedrich","NULL","NULL","NULL","NULL","Austrian, French","Embury II","Aymar","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1885","N","1885","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Washington Irving High School","40 Irving Place","New York","NY","10003","Manhattan","Author","Signed: FREDERICH BEER","Board of Education; School Construction Authority","Gift of Joseph Weiner","1937","40.735816","-73.987354","872","57"
"William Earl Dodge","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hunt","Richard","Morris","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Henry-Bonnard Bronze Company, New York","NULL","1885","N","1885","N","Statue","Monument/Memorial","Bronze, granite","Bryant Park","West 42 Street and Fifth Avenue","New York","NY","10018","Manhattan","Abolitionist, Christian, Philanthropist, Politician, Reformer, Temperance Movement","Sculpture: J Q A WARD / SCULPTOR / 1885 /

Pedestal front:
WILLIAM EARL DODGE

Pedestal rear:
ERECTED BY / VOLUNTARY SUBSCRIPTION / UNDER THE AUSPICES OF THE / CHAMBER OF COMMERCE / OF THE / STATE OF NEW YORK / 1885","Department of Parks and Recreation","Gift of the Chamber of Commerce of the State of New York","2284","40.754094","-73.983287","1257","2"
"Giuseppe Garibaldi","NULL","Turini","Giovanni","NULL","NULL","NULL","NULL","Italian, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Henry Bonnard Bronze Company","Lazzari & Barton Woodlawn, N.Y.","1888","N","1888","N","Statue","Monument/Memorial","Bronze, granite","Washington Square Park","Washington Square East","New York","NY","10012","Manhattan","Italian, Italy, General, Revolutionary, Soldier, Republican","IL II GIUGNO / MDCCCLXXXVIII / GLI ITALIANI / DEGLI STATI UNITI / D' AMERICA / ERESSERO","Department of Parks and Recreation","Gift of Italian Americans","1425","40.730583","-73.996861","549","1"
"Heinrich Heine Fountain","Lorelei Fountain","Herter","Ernst","NULL","NULL","NULL","NULL","German","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1888","Y","1899","N","Fountain","Monument/Memorial","marble, bronze, granite","Joyce Kilmer Park","East 161st Street and Grand Concourse","Bronx","NY","10451","Bronx","Playwright, Author, Poet, Activist","NULL","Department of Parks and Recreation","Gift of Arion (German-American singing society)","1982","40.827500","-73.923194","2469","1"
"Temperance Fountain","NULL","Thorvaldsen","Albert","Bertel","NULL","NULL","NULL","Danish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. L. Mott Iron Works","1888","N","1891","N","Fountain","Artwork/Monument","Bronze, granite","Tompkins Square Park","Avenue A and East 9th Street","New York","NY","10009","Manhattan","Fountain, Mythology, Temperance","HOPE / TEMPERANCE / FAITH / CHARITY","Department of Parks and Recreation","Gift of the Henry Cogswell and the Moderation Society","320","40.726657","-73.982183","403","1"
"Alexander Lyman Holley","Holley Memorial","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hastings","Thomas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1889","N","1890","N","Statue","Monument/Memorial","Bronze on limestone","Washington Square Park","Fifth Avenue and Washington Place","New York","NY","10012","Manhattan","Inventor, Engineer","HOLLEY /---/ BORN IN LAKEVILLE / CONN., JULY 20TH 1832 / DIED IN BROOKLYN, N.Y. / JANUARY 29TH, 1882 [---] IN HONOR OF / ALEXANDER LYMAN HOLLEY / FOREMOST AMONG THOSE / WHOSE GENIUS AND ENERGY / ESTABLISHED IN AMERICA / AND IMPROVED /THROUGHOUT THE WORLD / THE MANUFACTURE OF / BESSEMER STEEL / THIS MEMORIAL IS ERECTED / BY ENGINEERS / OF TWO HEMISPHERES","Department of Parks and Recreation","Gift of The American Society of Mechanical Engineers (ASME); The Institute of Mining, Metallurgical and Petroleum Engineers (AIME); and the American Society of Civil Engineers (ASCE)","1425","40.731133","-73.998084","549","1"
"Bronx River Soldier","NULL","Grignola","John","NULL","NULL","NULL","NULL","Italian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1890","Y","1970","N","Statue","Monument/Memorial","Granite, concrete","Williamsbridge Oval","Bainbridge Avenue and east 208th Street","Bronx","NY","10467","Bronx","American Civil War, War","BRONX / RIVER / SOLDIER","Department of Parks and Recreation","Gift of John B. Lazzarri","NULL","40.877556","-73.879444","3343","500"
"Henry Ward Beecher Monument","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hunt","Richard","Morris","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Bonnard Bronze Co","NULL","1890","N","1891","N","Statue","Monument/Memorial","Bronze, granite","Columbus Park","Johnson Street between Cadman Plaza W and Adams Street","Brooklyn","NY","11201","Brooklyn","Abolitionist, Religious leader, Clergy, Orator","HENRY WARD BEECHER / 1813-1887 THE GRATEFUL GIFT / OF MULTITUDES OF / ALL CLASSES CREEDS / AND CONDITIONS / AT HOME AND ABROAD / TO HONOR THE GREAT / APOSTLE OF THE / BROTHERHOOD OF MAN.","Department of Parks and Recreation","Gift of The Beecher Statue Fund","139, 2739","40.694870","-73.990111","139","1"
"Horace Greeley","NULL","Ward","John","Quincy Adams","NULL","NULL","NULL","American","Hunt","Richard","Morris","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Henry Bonnard Bronze Co.","NULL","1890","N","1916","N","Statue","Monument/Memorial","Bronze, granite","City Hall Park","Park Row and Chambers Street","New York","NY","10007","Manhattan","Journalist, Publisher","HORACE GREELEY / FOUNDER OF / THE NEW YORK TRIBUNE","Department of Parks and Recreation","Gift of Tribune Association","873","40.712889","-74.004943","122","1"
"Lafayette and Washington","NULL","Bartholdi","Frederic","Auguste","NULL","NULL","NULL","French","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1890","N","1900","N","Statue","Monument/Memorial","Bronze, marble","Lafayette Square","Manhattan Avenue and West 114th Street","New York","NY","10026","Manhattan","American Revolutionary War, Colonial, French, President of the United States, War","Plaque: LAFAYETTE WASHINGTON / PRESENTED TO THE CITY OF NEW YORK / BY/CHARLES B. ROUSS / APRIL NINETEENTH NINETEENHUNDRED","Department of Parks and Recreation","Gift of Charles Broadway Rouss","5296","40.803694","-73.958000","1849","1"
"Nathan Hale","NULL","MacMonnies","Frederick","William","NULL","NULL","NULL","American","White","Stanford","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1890","N","1893","N","Statue","Monument/Memorial","Bronze, Massachusetts pink granite","City Hall Park","Broadway and Murray Street","New York","NY","10007","Manhattan","American Revolutionary War, Colonial, War, Prisoner of War","Base (proper left): [signed] Frederick MacMonnies  / Paris 1890 / 

Base (proper right): Jaboeuf & Bezout  / Fondeurs à Paris

Pedestal (front): NATHAN HALE. /---/ A CAPTAIN / IN THE REGULAR / ARMY / OF THE / UNITED STATES / WHO GAVE HIS LIFE / FOR HIS COUNTRY / IN THE CITY OF / NEW YORK / SEPT. 22nd / 1776.

Bandeau: “I REGRET THAT I HAVE BUT ONE LIFE TO LOSE FOR MY COUNTRY” / 

Pedestal (rear, in field): EXECI MONUMENTUM AERE PERENNUS / 

Pedestal (rear): 1776 / 1883 / SONS OF THE REVOLUTION / 

Pedestal (outer band): ERECTED BY THE SONS OF THE REVOLUTION OF THE STATE OF / NEW YORK","Department of Parks and Recreation","Gift of Sons of the Revolution of New York State","653, 1947, 6081","40.712374","-74.006386","122","1"
"Brigadier General Winfield Scott Hancock","NULL","MacDonald","James","Wilson Alexander","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M.H. Mosman, Chicopee, MA","NULL","1891","N","1891","N","Bust, pedestal","Monument/Memorial","Bronze","Hancock Park","St. Nicholas Avenue and West 123rd Street","New York","NY","10027","Manhattan","Military, American Civil War, Colonial, Battle of Gettysburg, War","HANCOCK","Department of Parks and Recreation","Gift of Veterans of Hancock Post, Number 259","763","40.809519","-73.953269","1950","21"
"James S.T. Stranahan","NULL","MacMonnies","Frederick","William","NULL","NULL","NULL","American","White","Stanford","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","E. Gruet","NULL","1891","N","1891","N","Statue","Monument/Memorial","Bronze, granite","Prospect Park","Grand Army Plaza between Flatbush Avenue and Prospect Park West","Brooklyn","NY","11215","Brooklyn","Politician","STRANAHAN","Department of Parks and Recreation","Gifted through public subscription from the citizens of Brooklyn","NULL","40.672145","-73.969542","1117","1"
"Samuel Sullivan Cox","NULL","Lawson","Louise","NULL","NULL","NULL","NULL","American, Woman","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Henry-Bonnard Bronze Company, New York","NULL","1891","N","1891","N","Statue","Monument/Memorial","Bronze, granite","Tompkins Square Park","8th Street and Avenue A","New York","NY","10009","Manhattan","Politician, public servant, Congressman, journalist, Tammany Hall, American Civil War","PEDESTAL FRONT:
SAMUEL S. COX

PLAQUE 1:
SAMUEL SULLIVAN COX / THE LETTER CARRIER'S FRIEND / ERECTED IN GRATEFUL AND LOVING MEMORY / OF HIS / SERVICES IN CONGRESS / BY THE / LETTER CARRIERS OF NEW YORK, HIS HOME, / AND OF THE / UNITED STATES, HIS COUNTRY / JULY 4, 1891 / COMMITTEE; GEORGE H. NEWSOM, CHAIRMAN / THOMAS MURPHY, TREASURER, JAMES GREER, / JAMES MC VEY, BERNARD S. KENNEDY, / MICHEAL J. HARNEY, CHARLES P. KELLY. /

PLAQUE 2:
THE LETTER CARRIERS / OF THE FOLLOWING CITIES / ERECTED THIS MONUMENT TO / SAMUEL SULLIVAN COX. / [HERE FOLLOWS A LIST OF ABOUT 200 CITIES.]","Department of Parks and Recreation","Gift of United States Letter Carriers","137, 320","40.726053","-73.983243","403","1"
"Albert Bertel Thorvaldsen","NULL","Thorvaldsen","Albert","Bertel","NULL","NULL","NULL","Danish","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1892","N","1894","N","Statue","Monument/Memorial","Bronze on granite base","Central Park","Fifth Avenue at 96th Street","New York","NY","10029","Manhattan","Danish, Artist, Sculptor","Lower Rear: ERECTED BY THE DANES IN THE U.S. OF AMERICA Front pedestal: THORVALDSEN","Department of Parks and Recreation","Gift of Danish Residents","251","40.788611,","-73.956000","1111","1"
"Christopher Columbus","NULL","Sunol","Jeronimo","NULL","NULL","NULL","NULL","Spanish","Le Brun","Napoleon","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Federicao Masriera, Fundador, Barcelona","NULL","1892","N","1894","N","Statue","Monument/Memorial","Bronze, granite","Central Park","The Mall","New York","NY","10019","Manhattan","Explorer, Italian, Colonialism","PRESENTED BY THE CITIZENS OF NEW YORK / IN COMMEMORATION OF THE / FOUR HUNDREDTH ANNIVERSARY / OF THE / DISCOVERY OF THE NEW WORLD / OCTOBER 1492","Department of Parks and Recreation","Gift of the New Yorkers of the New York Genealogical Society","1177","40.769941","-73.972813","1111","1"
