"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B03027","CAIRO TRANSPORTATION INC","7186514222","Yes","18-33","27 AVENUE","ASTORIA","NY","11102","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03028","CASTILLO CAR & LIMO INC","7184994545","No","1611","E 19TH STREET","BROOKLYN","NY","11229","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03030","Q-FIRST LIMOUSINE CORP.","8557827110","No","70","EAST SUNRISE HIGHWAY  SUITE 500","VALLEY STREAM","NY","11581","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03032","A & S LIMOUSINE SERVICE CORP","7184551900","No","712","BROADWAY  2ND FLOOR","BROOKLYN","NY","11206","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03033","FLEX EXPRESS CORP.","7186025000","No","1266","MYRTLE AVENUE","BROOKLYN","NY","11221","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03036","ZYNC INC","7184821818","Yes","12-04","44 AVENUE","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03037","RIDE SOLUTION WORLDWIDE INC","2124704505","No","5102","21ST STREET","LONGISLAND CITY","NY","11101","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03038","SOUTH BRONX TRANSPORTATION,INC.","3475907005","No","250","BROOK AVENUE","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03040","ZYT EXPRESS CORP.","7188806342","No","208","42 STREET","BROOKLYN","NY","11232","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03041","PUEBLA CITY INC.","7184370707","No","3916","9 AVENUE","BROOKLYN","NY","11232","LIVERY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03043","NYM MEDICAL TRANSPORTATION INC.","5166884182","No","2809","WEBSTER AVENUE","BRONX","NY","10458","LIVERY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03046","BEL-LINDA, INC","7184472222","No","184","ROBIN ROAD","STATEN ISLAND","NY","10305","LIVERY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03047","STS LUXURY, INC","7186844444","No","1276","BRONX RIVER AVENUE","BRONX","NY","10472","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03048","ATLANTIS TRANSPORTATION SERVICES INC","9177412099","No","2607","NOSTRAND AVENUE","BROOKLYN","NY","11210","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03049","RIVERSIDE CLASSIC, INC.","2125436263","No","1642","ST NICHOLAS AVENUE","NEW YORK","NY","10040","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03050","TORINKO NY, LLC","2125186584","No","150","GREEN STREET","VALLEY STREAM","NY","11580","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03051","VILLE DE LA LIBERTE CHAUFFEUR INC","3476232651","No","689","SENECA AVENUE","RIDGEWOOD","NY","11385","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03055","EXPLORER EXPRESS INC","7182380224","No","6809","3RD AVE","BROOKLYN","NY","11220","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03056","INSPIRATION GROUP INC","9292356897","No","36","ROCKLAND DR","JERICHO","NY","11753","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03057","PROSPECT LUXURY CAR SERVICE","9294003838","No","1161","SOUTHERN BOULEVARD","BRONX","NY","10459","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03060","EASTLAND BLACK CARS CORP","7183388102","No","2982","NOSTRAND AVENUE","BROOKLYN","NY","11229","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03061","BLUE EAGLE TRANSPORTATION SERVICES CORP","7184838388","No","325","SOUNDVIEW AVENUE  FLOOR 1","BRONX","NY","10473","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03062","BQN VOUCHER INC","6462716133","No","1106","GARRISON AVENUE","BRONX","NY","10474","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03063","786 TRANSPORTATION RIDES INC","2122719440","No","98-09","ASTORIA BLVD","EAST ELMHURST","NY","11369","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03064","AP LUXURY LIMOUSINE INC","9173308822","No","1225","FRANKLIN AVE  STE 325","GARDEN CITY","NY","11530","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03071","OUTSIDE'S LUXURY INC.","7186845555","No","1975","LAFONTAINE AVENUE","BRONX","NY","10457","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03072","CONVENIENCE RIDE TRANSPORTATION SERVICES INC.","3476068698","Yes","886","RUTLAND ROAD  1ST FLOOR","BROOKLYN","NY","11203","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03073","TRANSMEDI, LLC","7187472777","No","152 - 53","10 AVENUE  STE 217","WHITESTONE","NY","11357","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03074","BLACKBIRD WORLDWIDE CORP","8666671559","No","1401","VALLEY RD  SUITE 311","WAYNE","NJ","07470","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03077","MGL TRANSPORT01 INC","7185095229","No","38","LINDEN AVENUE","HEMPSTEAD","NY","11550","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03081","DLS CAR AND LIMOUSINE SERVICE CORP","2125751426","No","623","MEACHAM AVENUE","ELMONT","NY","11003","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03084","PERSIST CORPORATION","7184660040","No","1324","EAST GUN HILL ROAD","BRONX","NY","10469","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03085","A & A AMAZOON TRANSPORTATION INC.","7184954444","No","107-04","37 AVENUE","CORONA","NY","11368","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03097","AERO LIMO INC","9175358712","No","53-12","104TH STREET","CORONA","NY","11368","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03100","MORELOS CAR SERVICE INC.","7188378200","No","1810","WEST    6 STREET","BROOKLYN","NY","11223","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03101","MBS LIMOS LTD","9295067749","No","33-20","55 STREET  UNIT 235","WOODSIDE","NY","11377","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03102","METRO LUXURY INC","7186655079","No","625","EAST  137 STREET","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03104","GCC TRANSPORTATION LLC.","7188854991","No","735","EAST  239 STREET  SUITE #40","BRONX","NY","10466","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03105","MAZNA TRANSPORTATION CORPORATION","7036398075","No","7923","7TH AVENUE","BROOKLYN","NY","11228","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03106","NORTENA CAR & LIMO INC","7188569400","No","507","CONEY ISLAND AVENUE","BROOKLYN","NY","11218","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03107","JD XPRESS INC.","3475084118","No","118 - 35","QUEENS BOULEVARD  SUITE #400","FOREST HILLS","NY","11375","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03111","SELECT TRANS,INC","7187570701","No","135","LINCOLN AVENUE","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03113","MIKE'S VIP TRANSPORTATION INC.","7186994322","No","8652","WOODHAVEN BLVD","WOODHAVEN","NY","11421","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03114","PRAISE RIDE INC.","3475793828","No","38","WAVERLY AVENUE","BROOKLYN","NY","11205","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03115","TAHA INC.","3477574656","No","1","NEW KING STREET  SUITE 102","WEST HARRISON","NY","10604","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03116","NAVI TRANSPORTATION INC.","9292996284","No","219-16","LINDEN BOULEVARD","CAMBRIA HEIGHTS","NY","11411","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03117","RELY-ON-US CAR SERVICE INC","3472948602","No","250","JACKSON AVENUE","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03119","CHINA TRANSIT LLC.","6462349911","No","774","53 STREET","BROOKLYN","NY","11220","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03120","ABIX TRANSPORTATION CORP","7186842224","No","391","EAST 149TH STREET SUITE 321A","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03123","CLAY TRANSPORTATION INC.","7189425544","No","788","E.TREMONT AVE","BRONX","NY","10460","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03124","MARR LIMO LLC","3477442474","No","177","WHITE PLAINS RD  77A","TARRYTOWN","NY","10591","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03126","YUR DRIVERS NETWORK INC","2019875702","No","151","WEST PASSAIC ST  2ND FL","ROCHELLE PARK","NJ","07662","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03127","ULTIMATE BLACK CAR CORP.","9174125000","No","2296","SECOND AVENUE","NEW YORK","NY","10035","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03128","RIDE SMART CORP.","9146990785","No","8","E PROSPECT AVENUE  STE#C","MOUNT VERNON","NY","10550","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03131","HYTCH HOLDING LLC","8889948356","No","238","MAIN STREET  SUITE 101","HACKENSACK","NJ","07601","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03135","28 EXPRESS INC.","9292299957","No","133-48","37 AVENUE","FLUSHING","NY","11354","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03136","GREENPOINT TRANSIT LLC","7187904661","No","31-00","47TH AVENUE  SUITE 2115","QUEENS","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03137","IOT SERVICES, LLC","7189152183","No","460","WILLIS AVENUE  2ND FLR","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03138","WST LIMOUSINE LLC","6469925578","No","78","CHICHESTER RD","HUNTINGTON","NY","11743","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03139","MJ LUXURY INC.","7182782222","No","781","VAN NEST AVE","BRONX","NY","10462","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03140","RISE AND SHINE TRANSPORTATION INC.","7186003408","No","112 - 02","101 AVENUE  SUITE #1","RICHMOND HILLS","NY","11419","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03142","COOL WAY TECHNOLOGY, INC.","7182477277","No","300","CADMAN PLAZA WEST  12 FL","BROOKLYN","NY","11201","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03143","LUXORIDE INC","9148430884","No","20","OLD MAMARONECK ROAD  SUITE #1D","WHITE PLAINS","NY","10605","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03144","JUST A MOMENT CAR SERVICE INC","6463793071","No","3100","47 AVENUE  STE 3100","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03145","YERZ CAR INC.","7185048383","No","1018","CASTLE HILL AVENUE  OFFICE#2","BRONX","NY","10472","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03147","H H CAR SERVICE INC","7187623333","No","35-27","FARRINGTON ST  FL 2","FLUSHING","NY","11354","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03148","JUNIORS LUXURY 2 INC.","7186332020","No","1509","CORTELYOU ROAD","BROOKLYN","NY","11226","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03152","EXIT LUXURY INC.","7184729800","Yes","29 - 10","36 AVENUE","ASTORIA","NY","11106","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03153","GYPSY TRANSPORTATION CORP.","7186171111","No","1684","GLEASON AVENUE","BRONX","NY","10472","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03154","AGAPE LIMO CORP.","7187073141","No","560","SOUTHERN BOULEVARD","BRONX","NY","10455","LIVERY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03156","EPIC CAR SERVICE INC.","7184013742","No","385","EAST  152 STREET","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03157","CAPRICE CAR SERVICE CORP.","7184249300","No","54 - 04","ROOSEVELT AVENUE","WOODSIDE","NY","11377","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03158","SPOTON.PET LLC","8334776866","No","77","SANDS STREET","BROOKLYN","NY","11201","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03159","A1 ACCESSIBLE TRANSPORTATION LLC","2124960177","No","57","WEST   57 STREET  4TH FLOOR","NEW YORK","NY","10019","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03160","CURB TRANSPORTATION SERVICES,LLC","7187011317","No","11-11","34 AVENUE","LIC","NY","11106","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03161","LA MEXICANA EXPRESS 2 INC.","7184373535","No","4611","5 AVENUE","BROOKLYN","NY","11220","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03164","KISS LUXURY TRANSPORTATION INC.","7183670303","No","2811","WHITE PLAINS RD","BRONX","NY","10467","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03166","TURING ENTERPRISES INC.","7182109995","No","2329","NOSTRAND AVENUE  SUITE 100","BROOKLYN","NY","11210","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03168","KAYROS TRANSPORTATION INC","9174408678","No","726","BROADWAY","BAYONNE","NJ","07002","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03170","PAISA CLASSIC BLACK INC.","7184767878","No","38-12","ASTORIA BOULEVARD","ASTORIA","NY","11103","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.","7182712700","No","34-18","NORTHERN BOULEVARD","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03172","ALLIED BLACK CAR SERVICE LLC.","9295947566","No","2825/2823","3RD AVEUNE  6G","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03173","ABIAN TRANSPORTATION INC.","7188797070","No","1441 - 49","E L GRANT HIGHWAY","BRONX","NY","10452","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03174","NEW HEAVEN LUXURY INC","2129231313","No","1059","ST NICHOLAS AVENUE","NEW YORK","NY","10032","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03176","BEE BEE LUXURY SERVICE INC.","7863262425","No","663","BLAKE AVENUE","BROOKLYN","NY","11207","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03177","BERNICE SERVICES INC","7185748888","No","252","JAVA STREET","BROOKLYN","NY","11222","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03180","STATEN ISLAND TRANSPORTATION SERVICES INC.","7184730666","No","4604","7 AVENUE","BROOKLYN","NY","11220","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03181","EVEREST LUXURY CORP","3154003255","No","2322","ARTHUR AVENUE  SUITE 212A","BRONX","NY","10458","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03185","G&J LUXURY TRANSPORTATION INC","7189134454","No","1776","BOSTON ROAD","BRONX","NY","10460","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03186","ONE STOP RIDE LLC","7187010033","No","620","CRESENT AVENUE","BRONX","NY","10458","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03187","A & J CAR SERVICE CORP","6469389605","No","2825","THIRD AVENUE  SUITE 301#C5","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03191","GUILLEN TRANSPORTATION SERVICES INC","3476944943","No","2825","THIRD AVENUE  3RD FLOOR C4","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03192","PERFECTION CAR SERVICE INC","9293435305","No","3673","BRONXWOOD AVENUE","BRONX","NY","10469","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03194","SUNNY DAY TRANSPORTATION,CORP","7184096281","No","1831","WOOD AVENUE","BRONX","NY","10460","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03195","DOMINICAN DREAM TRANSPORTATION INC.","7183045353","No","387","EAST  167 STREET","BRONX","NY","10456","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03197","LIMO TRIBE INC","5166617921","No","2500","7TH STREET","EAST MEADOW","NY","11554","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03198","DD&SON,LLC","9175674082","No","7","MARCUS GARVEY BLVD  STE#316","BROOKLYN","NY","11206","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03199","RINCON TRANSPORTATION LLC","7187010178","No","833","DAWSON STREET","BRONX","NY","10459","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03200","L & J LOGISTICS CORP.","7186180222","No","912","SOUNDVIEW AVENUE  OFFICE #3","BRONX","NY","10473","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03202","JUPITER SELECT LLC","7184992222","No","565","4TH AVENUE","BROOKLYN","NY","11215","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03206","KIDMOTO TECHNOLOGIES LLC","3476122091","No","2910","THOMPSON AVE  STE 760","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03207","QUICK AND LUXURIOUS BLACK CAR CORP","7188880438","No","44","FULTON ST","BRENTWOOD","NY","11717","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03208","MACOMBS TRANSPORTION CORP.","7188891595","No","695","EAST  132 STREET  SUITE 1C","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03209","PARAMOUNT TRANSPORT INC.","7184752191","No","729","BURKE AVENUE  SUITE #B","BRONX","NY","10467","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03210","DUNAMIS CARE CAR SERVICE CORP.","7189922222","No","388","EAST  169 STREET","BRONX","NY","10456","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03214","MALIBU CAR SERVICE INC.","6466714360","No","1231","LAFAYETTE AVENUE  L2","BRONX","NY","10474","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03215","BALAYIRA LLC","9172959550","No","2738","FREDERICK DOUGLASS BLVD","NEW YORK","NY","10039","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03218","CHOICE TRANSPORTATION CORP.","9292434333","No","31-00","47TH AVENUE  SUITE 3100","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03225","ALCON EXPRESS INC","7185244121","No","1264","CASTLETON AVE","STATEN ISLAND","NY","10310","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03226","PAXXIA LUXURY CORP.","9292074747","No","541","KINGSTON AVENUE","BROOKLYN","NY","11225","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03227","NY MERENGUE TRANSPORTATION INC","9292187080","No","135-10","JAMAICA AVENUE","RICHMOND HILL","NY","11418","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03228","LIQUID FOX TRANSPORTATION CORP.","9174719640","No","605","EAST  132 STREET","BRONX","NY","10454","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03229","FVR TRANSPORTATION INC.","9179295146","No","1379","WHITE PLAINS ROAD  #301","BRONX","NY","10462","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03230","THE BEST WE CAN TRANSPORTATION, INC.","3472369483","No","509","EAST  163 STREET","BRONX","NY","10451","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03231","BIG 'O' LIMO CORP","3478625252","No","3148","EAST TREMONT AVENUE  SUIT#1","BRONX","NY","10461","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03233","COMPASS TRANSPORTATION GROUP WORLDWIDE INC","6468689027","No","199","JERICHO TPKE  STE#302","FLORAL PARK","NY","11001","LUXURY/LIMOUSINE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03234","ALPHA EXPRESS RIDE CORP.","8007860393","No","31 - 00","47 AVENUE  SUITE 3100","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03235","ALIANZA TRANSPORTATION SERVICE INC.","7186180892","No","2488","GRAND CONCOURSE  SUITE #304","BRONX","NY","10458","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03236","AGUILA CAR & LIMO CORPORATION","7186881732","No","45-16","NATIONAL STREET","CORONA","NY","11368","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03239","CIBAO 2 INC.","7184782288","No","112 - 44","ROOSEVELT AVENUE","CORONA","NY","11368","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03240","ARECIBO EXPRESS INC.","7183992314","No","171","5 AVENUE","BROOKYN","NY","11217","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03241","KAIRON LLC","8002151904","No","223","SPENCER STREET, SUITE 403","BROOKLYN","NY","11205","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03245","UASLUXURY1 INC","6466840001","No","85-56","118 STREET","KEW GARDENS","NY","11415","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03246","FASTRIDE LIMO INC.","3472716510","No","2121","DAVIDSON AVENUE","BRONX","NY","10453","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03247","Q FAMILY DIGITAL DISPATCH CORP.","7188893131","No","140","BROADWAY 46TH FLOOR","NEW YORK CITY","NY","10005","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03248","GUEST TRAVEL SERVICE INC.","7186662424","No","545","EAST JERICHO TURNPIKE","HUNTINGTON STAT","NY","11746","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03250","SALAM CAR SERVICE INC.","5189778916","No","452","EAST TREMONT AVENUE","BRONX","NY","10457","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03251","RIDE FHV CORP.","3472772780","No","159","20 STREET  SUITE#1B-3","BROOKLYN","NY","11232","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03252","CITY WAV CORP.","6467893399","No","547","92ND STREET  GROUND FLOOR","BROOKLYN","NY","11209","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03254","TEMPO TRANSPORTATION CORP.","9174421822","No","34-18","NORTHERN BOULEVARD","LIC","NY","11101","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03255","POPULAR TRANSPORTATION CORP.","5168499979","No","3249","FULTON STREET","BROOKLYN","NY","11208","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03256","JETSET TRANSPORTATION CORP.","3475667735","No","390","TIFFANY STREET","BRONX","NY","10474","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03257","MAXI LUXURY CARS CORP.","7189417300","No","1623","CORTELYOU ROAD","BROOKLYN","NY","11226","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03258","CHERRY TRANSPORTATION NY INC.","7188882020","No","45-55","162ND STREET  1ST FL.","FLUSHING","NY","11358","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03259","LATINO EXECUTIVE INC","7186990700","No","109-20","CORONA AVENUE  1ST FLR","CORONA","NY","11368","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03260","CASTLETON BLACK CAR SERVICE INC.","3478300941","No","21","BROOK ST","STATEN ISLAND","NY","10301","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03262","ROYALTY FAMILY CORP","9178310354","No","2268","AMSTERDAM AVENUE","NEW YORK","NY","10032","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03263","RITZY TRANSPORTATION CORP.","7183134977","No","207","WICKSHIRE DRIVE","EAST MEADOWS","NY","11554","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03266","HOYT LIMO & SERVICE CORP.","7182045861","No","2303","ASTORIA BOULEVARD","ASTORIA","NY","11102","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03267","MANGA TRANSPORTATION CORP","3472593779","No","903","SHERIDAN AVE  2ND FLOOR","BRONX","NY","10451","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03268","NEZA EXPRESS INC.","7182737611","No","1841","FOREST AVENUE","STATEN ISLAND","NY","10303","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03269","KID CAR NY,LLC","2128627233","No","603","W 115TH ST  226","NEW YORK","NY","10025","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03270","ABI GROUP LUXURY INC.","3474620133","No","135","DREISER LOOP","BRONX","NY","10475","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03271","PRIUS TRANSPORTATION CORP.","7182234434","No","195","PLYMOUTH STREET","BROOKLYN","NY","11201","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03275","MDM TRANSPORTATION CORP.","3472815555","No","2955","MIDDLETOWN RD","BRONX","NY","10461","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03276","510 BLACK CAR CORP.","7184857797","No","2225","PITKIN AVENUE","BROOKLYN","NY","11207","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B03277","SISKO TRANSPORTATION INC.","6465224886","No","370","EAST 149TH STREET  SUITE 4","BRONX","NY","10455","BLACK CAR BASE",,,"2022-08-29T00:00:00.000","18:00:20",
