"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-07158-0063","2265 OCEAN PARKWAY
Brooklyn, NY 
(40.594364129614, -73.964489496344)","3","11223","40.59427","-73.964796","15","47","392","3194014","3071580063","Homecrest                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","78","1956","64080","871488","13.6","382558","5.97","488930","3234000","50.47","3-07158-0033","2245 OCEAN PARKWAY
Brooklyn, NY 
(40.594801722844, -73.964576962002)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","74","1958","67620","919698","13.6","403654","5.97","516044","3413000","50.47","0.08","3-07179-0042","2411 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","70","1958","63600","968670","15.23","571549","8.99","397121","2728000","42.89","0.22","3-07200-0008","444 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","50","1960","50,400","665,280","13.2","352,800","7","312,480","2,077,000","41.21","0.27"
"3-06115-0001","9437 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11209","40.616996","-74.038646","10","43","54","3155518","3061150001","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","55","1940","57600","1025280","17.8","512640","8.9","512640","3696000","64.17","3-06111-0057","9480 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","63","1960","57567","1035372","17.99","406249","7.06","629123","4290000","74.52","0.05","3-06047-0031","8708 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","78","1927","62556","1128510","18.04","564255","9.02","564255","4066000","65","0.43",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06052-0039","8638 FT HAMILTON PARKWAY
Brooklyn, NY 
(40.619996225487, -74.024925091164)","3","11209","40.619643","-74.025179","10","43","160","3153826","3060520039","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","64","1959","36468","693257","19.01","319095","8.75","374162","2685000","73.63","3-06110-0052","9330 FT HAMILTON PARKWAY
Brooklyn, NY 
(40.616114571706, -74.028319566824)","BAY RIDGE","D1-ELEVATOR","48","1955","32400","616715","19.03","268203","8.28","348512","2501000","77.19","0.3","3-06068-0022","55 GELSTON AVENUE
Brooklyn, NY 
(40.619698111329, -74.026431559367)","BAY RIDGE","D1-ELEVATOR","76","1960","46332","879381","18.98","413281","8.92","466100","3345000","72.2","0.09",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06379-0050","30 BAY 29 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"BATH BEACH","D4-ELEVATOR","100","1960","120440","1203923","10","415517","3.45","788406","4922000","40.87","3-06378-0019","8635 21 AVENUE
Brooklyn, NY 
(40.602534293267, -73.996780438871)","BATH BEACH","D7-ELEVATOR","121","1962","109640","1663239","15.17","847517","7.73","815722","5607000","51.14","0.05","3-06381-0017","8645 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","D1-ELEVATOR","101","1950","119279","1137819","9.54","615871","5.16","521948","2915000","24.44","0.1","3-06441-0001","8800 20 AVENUE
Brooklyn, NY 
(40.600626681572, -74.00244173821)","BATH BEACH","D1-ELEVATOR","122","1960","112,712","1,579,095","14.01","790,111","7.01","788,984","5,191,000","46.06","0.36"
"3-04847-0004","10 43 STREET
Brooklyn, NY 
(40.595200515174, -73.985286725256)","3",,,,,,,,,,"FLATBUSH-NORTH","D4-ELEVATOR","120","1956","127764","1631546","12.77","654152","5.12","977394","6529000","51.1","3-04881-0034","4411 CHURCH AVENUE
Brooklyn, NY 
(40.651495691503, -73.936055201259)","FLATBUSH-EAST","D1-ELEVATOR","89","1959","77992","1038672","13.32","338267","4.34","700405","3036000","38.93","0.24","3-04851-0001","740 CLARKSON AVENUE
Brooklyn, NY 
(40.65634309326, -73.93449802593)","FLATBUSH-NORTH","D1-ELEVATOR","57","1958","48150","588631","12.22","283543","5.89","305088","1551000","32.21","0.2",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05305-0051","36 DAHILL ROAD
Brooklyn, NY 
(40.646445987146, -73.981227081954)","3","11218","40.646384","-73.981186","12","39","498","3123574","3053050051","Kensington-Ocean Parkway                                                   ","KENSINGTON","D4-ELEVATOR","84","1950","79000","675352","8.55","387241","4.9","288111","1606000","20.33","3-05309-0029","45 TEHAMA STREET
Brooklyn, NY 
(40.644471536155, -73.982208869475)","KENSINGTON","D1-ELEVATOR","65","1940","70944","507701","7.16","200424","2.83","307277","1825000","25.72","0.1","3-05334-0006","114 ALBEMARLE ROAD
Brooklyn, NY 
(40.645099524231, -73.979675857651)","KENSINGTON","D1-ELEVATOR","65","1927","62934","643810","10.23","377671","6","266139","1573000","24.99","0.22","3-05325-0065","199 2 STREET
Brooklyn, NY 
(40.676321385053, -73.9887644504)","KENSINGTON","D1-ELEVATOR","48","1937","49,800","353,880","7.11","136,056","2.73","217,824","812,000","16.31","0.24"
"3-05159-0013","400 17 STREET
Brooklyn, NY 
(40.660370179595, -73.985807606335)","3",,,,,,,,,,"FLATBUSH-CENTRAL","D4-ELEVATOR","81","1962","72534","667168","9.2","159412","2.2","507756","3021000","41.65","3-05159-0053","405 16 STREET
Brooklyn, NY 
(40.66149716671, -73.982577225305)","FLATBUSH-CENTRAL","D1-ELEVATOR","62","1959","51176","634827","12.4","374808","7.32","260019","1628000","31.81","0","3-05161-0014","330 19 STREET
Brooklyn, NY 
(40.600560556674, -74.008544593727)","FLATBUSH-CENTRAL","D1-ELEVATOR","85","1958","69820","905663","12.97","529624","7.59","376039","2507000","35.91","0.11","3-05160-0058","383 17 STREET
Brooklyn, NY 
(40.601246802515, -74.010050322776)","FLATBUSH-CENTRAL","D1-ELEVATOR","67","1941","60,194","787,072","13.08","430,920","7.16","356,152","2,288,000","38.01","0.06"
"3-00266-0012","77 LIVINGSTON STREET
Brooklyn, NY 
(40.691607850514, -73.991373568321)","3","11201","40.69152","-73.99114","2","33","9","3002557","3002660020","Brooklyn Heights-Cobble Hill                                               ","DOWNTOWN-FULTON MALL","D4-ELEVATOR","240","1964","260189","4160457","15.99","2002087","7.69","2158370","14724000","56.59","3-00271-0001","205 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","D1-ELEVATOR","364","2003","242752","6397996","26.36","2762431","11.38","3635565","26305000","108.36","0.1","3-00275-0001","200 CLINTON STREET
Brooklyn, NY 
(40.690347634823, -73.994348984645)","BROOKLYN HEIGHTS","D7-ELEVATOR","94","1926","73032","1704846","23.34","527223","7.22","1177623","8592000","117.65","0.26","3-00254-0081","142 REMSEN STREET
Brooklyn, NY 
(40.693671581243, -73.993093970266)","BROOKLYN HEIGHTS","D7-ELEVATOR","51","1936","41,250","899,903","21.82","437,207","10.6","462,696","3,390,000","82.18","0.25"
"3-01103-0066","427 15 STREET
Brooklyn, NY 
(40.661945151575, -73.981759390099)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","16","1900","12556","215712","17.18","94547","7.53","121165","876000","69.77","3-01103-0071","417 15 STREET
Brooklyn, NY 
(40.66204847368, -73.981975427227)","PARK SLOPE","C1-WALK-UP","16","1920","12536","215424","17.18","94353","7.53","121071","865000","69","0","3-01103-0054","459 15 STREET
Brooklyn, NY 
(40.661614520812, -73.981068071229)","PARK SLOPE","C1-WALK-UP","20","1920","13528","241944","17.88","54017","3.99","187927","1355000","100.16","0","3-01105-0041","210 PROSPECT PARK
Brooklyn, NY 
(40.665044773025, -73.99207090051)","PARK SLOPE SOUTH","C7-WALK-UP","15","1905","10,641","162,439","15.27","84,743","7.96","77,696","534,000","50.18","0.06"
"3-01098-0001","420 12 STREET
Brooklyn, NY 
(40.66477032388, -73.982479280839)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","70","1970","109380","2376827","21.73","1093341","10","1283486","9406000","85.99","3-01924-0036","226 TAAFFE PLACE
Brooklyn, NY 
(40.692100579494, -73.959814258993)","BEDFORD STUYVESANT","C1-WALK-UP","110","1935","130000","2824628","21.73","999510","7.69","1825118","13375000","102.88","2.2","3-03615-0001","165 LOTT AVENUE
Brooklyn, NY 
(40.658001346714, -73.907596404937)","BROWNSVILLE","C1-WALK-UP","104","1986","101127","1456383","14.4","786055","7.77","670328","4640000","45.88","3.94","3-00305-0001","419 HICKS STREET
Brooklyn, NY 
(40.68840697826, -73.999070002111)","COBBLE HILL","C1-WALK-UP","114","1870","90,288","2,680,530","29.69","1,709,296","18.93","971,234","7,280,000","80.63","1.85"
"3-00265-0001","75 LIVINGSTON STREET
Brooklyn, NY 
(40.691627803456, -73.991443832969)","3","11201","40.691688","-73.991742","2","33","9","3002543","3002650001","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","109","1927","180000","3753794","20.85","1739658","9.66","2014136","14790000","82.17","3-00275-0001","200 CLINTON STREET
Brooklyn, NY 
(40.690347634823, -73.994348984645)","BROOKLYN HEIGHTS","D7-ELEVATOR","94","1926","73032","1704846","23.34","527223","7.22","1177623","8592000","117.65","0.18","3-00254-0006","141 JORALEMON STREET
Brooklyn, NY 
(40.692998561162, -73.993976949826)","BROOKLYN HEIGHTS","D3-ELEVATOR","47","1923","46410","1030973","22.21","391551","8.44","639422","4677000","100.78","0.15","3-00271-0001","205 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","D1-ELEVATOR","364","2003","242,752","6,397,996","26.36","2,762,431","11.38","3,635,565","26,305,000","108.36","0.14"
"3-05606-0017","1430 43 STREET
Brooklyn, NY 
(40.636622430643, -73.985739768395)","3","11219","40.636564","-73.985624","12","44","232","3136247","3056060017","Borough Park                                                               ","BOROUGH PARK","C6-WALK-UP","24","1914","35600","451408","12.68","182628","5.13","268780","1798000","50.51","3-05379-0006","4301 16 AVENUE
Brooklyn, NY 
(40.634359769568, -73.982002168088)","BOROUGH PARK","C7-WALK-UP","47","1925","36000","464847","12.91","153165","4.25","311682","2079000","57.75","0.3","3-05611-0016","1322 44 STREET
Brooklyn, NY 
(40.637477643045, -73.988695321647)","BOROUGH PARK","C1-WALK-UP","31","1927","26700","332376","12.45","160086","6","172290","964000","36.1","0.16",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07560-0001","3215 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"FLATBUSH-EAST","D4-ELEVATOR","192","1961","188540","2160668","11.46","920075","4.88","1240593","7964000","42.24","3-07578-0001","3211 FLATBUSH AVENUE
Brooklyn, NY 
(40.589466537701, -73.89993054907)","FLATBUSH-EAST","D1-ELEVATOR","143","1957","141880","1749814","12.33","926912","6.53","822902","5038000","35.51","0.22","3-07577-0025","3101 AURELIA COURT
Brooklyn, NY 
(40.630018969101, -73.945983043195)","FLATBUSH-EAST","D1-ELEVATOR","96","1954","114120","1273576","11.16","754520","6.61","519056","3347000","29.33","0.17","3-07562-0001","3413 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","FLATBUSH-EAST","D1-ELEVATOR","65","1963","66,000","756,158","11.46","462,796","7.01","293,362","1,883,000","28.53","0.1"
"3-07274-0001","460 NEPTUNE AVENUE
Brooklyn, NY 
(40.579727844847, -73.970688954958)","3","11224","40.579777","-73.970923","13","48","35602","3196580","3072740001","West Brighton                                                              ","CONEY ISLAND","D4-ELEVATOR","572","1964","623800","9675138","15.51","3474566","5.57","6200572","42481000","68.1","3-07274-0020","2940 OCEAN PARKWAY
Brooklyn, NY 
(40.578817089398, -73.968277386377)","CONEY ISLAND","D3-ELEVATOR","445","1964","470000","6890200","14.66","3651900","7.77","3238300","22359000","47.57","0","3-07274-0035","3000 OCEAN PARKWAY
Brooklyn, NY 
(40.577697724689, -73.968536005094)","CONEY ISLAND","D3-ELEVATOR","441","1964","470000","7289700","15.51","3647200","7.76","3642500","24955000","53.1","0","3-07235-0001","2612 WEST STREET
Brooklyn, NY 
(40.586035845351, -73.969409550361)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","240","1951","194,880","3,136,890","16.1","1,191,975","6.12","1,944,915","10,373,000","53.23","0.47"
"3-05268-0084","250 SEELEY STREET
Brooklyn, NY 
(40.655404779649, -73.974136379982)","3","11218","40.655528","-73.973835","7","39","50202","3122224","3052680084","Windsor Terrace                                                            ","WINDSOR TERRACE","C6-WALK-UP","16","1931","17453","191808","10.99","102275","5.86","89533","416000","23.84","3-05277-0001","601 PROSPECT AVENUE
Brooklyn, NY 
(40.657021149019, -73.978692277784)","WINDSOR TERRACE","C7-WALK-UP","11","1931","17296","168606","9.75","64519","3.73","104087","429000","24.8","0.16","3-05074-0047","39 ARGYLE ROAD
Brooklyn, NY 
(40.648588942089, -73.967682212842)","FLATBUSH-CENTRAL","C1-WALK-UP","16","1931","16640","203535","12.23","131184","7.88","72351","441000","26.5","0.56",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07457-0055","2665 HOMECREST AVENUE
Brooklyn, NY 
(40.586089758643, -73.956777957406)","3","11235","40.586195","-73.956829","15","48","606","3204893","3074570055","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","D4-ELEVATOR","157","1962","136296","1726870","12.67","730547","5.36","996323","6667000","48.92","3-07457-0046","2685 HOMECREST AVENUE
Brooklyn, NY 
(40.58564681711, -73.956695089231)","SHEEPSHEAD BAY","D1-ELEVATOR","76","1959","54678","991071","18.13","528430","9.66","462641","3256000","59.55","0","3-08764-0028","2775 HOMECREST AVENUE
Brooklyn, NY 
(40.583618362553, -73.956182997371)","SHEEPSHEAD BAY","D1-ELEVATOR","188","1960","194425","2303866","11.85","1065729","5.48","1238137","6215000","31.97","0.18","3-08764-0010","2750 HOMECREST AVENUE
Brooklyn, NY 
(40.58432919116, -73.956319348836)","SHEEPSHEAD BAY","D1-ELEVATOR","188","1959","194,425","2,463,389","12.67","1,392,038","7.16","1,071,351","7,169,000","36.87","0.18"
"3-05162-0046","1901 DORCHESTER ROAD
Brooklyn, NY 
(40.64098846809, -73.960486844855)","3","11226","40.641029","-73.960339","14","40","514","3118804","3051620046","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","40","1956","47620","608630","12.78","283936","5.96","324694","2169000","45.55","3-05061-0001","73 ST PAUL'S PLACE
Brooklyn, NY 
(40.651940992168, -73.963162655981)","FLATBUSH-CENTRAL","D1-ELEVATOR","59","1924","47418","689416","14.54","347011","7.32","342405","2366000","49.9","0.72","3-05190-0075","2505 BEDFORD AVENUE
Brooklyn, NY 
(40.642384674359, -73.95443849311)","FLATBUSH-CENTRAL","D1-ELEVATOR","48","1931","37920","482217","12.72","175048","4.62","307169","2054000","54.17","0.33",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05061-0040","416 OCEAN AVENUE
Brooklyn, NY 
(40.652601701816, -73.961529063122)","3","11226","40.652714","-73.961521","14","40","50804","3116130","3050610040","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","90","1924","131355","1368455","10.42","725167","5.52","643288","3905000","29.73","3-05080-0024","470 OCEAN AVENUE
Brooklyn, NY 
(40.651380488147, -73.961292647011)","FLATBUSH-CENTRAL","D1-ELEVATOR","110","1949","121636","1319653","10.85","599685","4.93","719968","3663000","30.11","0.07","3-05160-0001","1710 CORTELYOU ROAD
Brooklyn, NY 
(40.642039203618, -73.962524371518)","FLATBUSH-CENTRAL","D1-ELEVATOR","136","1960","133716","1567698","11.72","929519","6.95","638179","4081000","30.52","0.76","3-05113-0001","60 TURNER PLACE
Brooklyn, NY 
(40.645350501005, -73.969951111227)","FLATBUSH-CENTRAL","D1-ELEVATOR","130","1961","144,128","1,847,222","12.82","954,748","6.62","892,474","5,643,000","39.15","0.63"
"3-02068-0001","130 ST EDWARD'S STREET
Brooklyn, NY 
(40.695010643312, -73.97805968323)","3","11201","40.692789","-73.977718","2","35","31","3322038","3020680001","Fort Greene                                                                ","FORT GREENE","D4-ELEVATOR","296","1957","325000","2984543","9.18","669732","2.06","2314811","13775000","42.38","3-00271-0001","205 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","D1-ELEVATOR","364","2003","242752","6397996","26.36","2762431","11.38","3635565","26305000","108.36","0.68","3-02100-0076","93 LAFAYETTE AVENUE
Brooklyn, NY 
(40.687226548276, -73.974510613358)","FORT GREENE","D1-ELEVATOR","78","1936","57460","1249953","21.75","643634","11.2","606319","4162000","72.43","0.36","3-02096-0014","205 ASHLAND PLACE
Brooklyn, NY 
(40.688964517167, -73.978433754731)","FORT GREENE","C1-WALK-UP","16","1931","25,032","603,191","24.1","256,419","10.24","346,772","2,524,000","100.83","0.28"
"3-07182-0046","2373 OCEAN PARKWAY
Brooklyn, NY 
(40.591696954404, -73.964666485732)","3","11223","40.591622","-73.965002","15","48","390","3194827","3071820046","Homecrest                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","63","1960","52800","729168","13.81","336864","6.38","392304","2587000","49","3-07179-0042","2411 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","70","1958","63600","968670","15.23","571549","8.99","397121","2728000","42.89","0.18","3-07198-0006","410 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","45","1957","43974","607314","13.81","280614","6.38","326700","2154000","48.98","0.24","3-07158-0033","2245 OCEAN PARKWAY
Brooklyn, NY 
(40.594801722844, -73.964576962002)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","74","1958","67,620","919,698","13.6","403,654","5.97","516,044","3,413,000","50.47","0.24"
"3-01096-0050","445 12 STREET
Brooklyn, NY 
(40.664381560616, -73.98154292433)","3",,,,,,,,,,"PARK SLOPE","D4-ELEVATOR","36","1960","42500","699975","16.47","408425","9.61","291550","2111000","49.67","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","653750","16.65","364847","9.29","288903","2091000","53.26","0.44","3-01079-0040","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","PARK SLOPE","D1-ELEVATOR","30","1920","36636","603351","16.47","261998","7.15","341353","2471000","67.45","0.47","3-01107-0027","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","WINDSOR TERRACE","D1-ELEVATOR","48","1935","49,428","676,601","13.69","302,841","6.13","373,760","2,211,000","44.73","0.48"
"3-05376-0076","465 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-NORTH","D4-ELEVATOR","125","1963","102550","1348533","13.15","616326","6.01","732207","4869000","47.48","3-05154-0047","415 STRATFORD ROAD
Brooklyn, NY 
(40.638367138437, -73.967627768459)","FLATBUSH-CENTRAL","D1-ELEVATOR","96","1963","88000","1325259","15.06","630765","7.17","694494","4777000","54.28","0.23","3-05392-0052","805 DITMAS AVENUE
Brooklyn, NY 
(40.636441925352, -73.970228290809)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","57","1958","45900","603729","13.15","275918","6.01","327811","2013000","43.86","0.17","3-05390-0066","465 OCEAN PARKWAY
Brooklyn, NY 
(40.637200345587, -73.972585158775)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","98","1951","88,728","1,104,660","12.45","617,724","6.96","486,936","3,266,000","36.81","0.18"
"3-06480-0006","8988 15 AVENUE
Brooklyn, NY 
(40.603839565019, -74.017424140385)","3","11228","40.603846","-74.01739","11","43","168","3328873","3064800006","Bath Beach                                                                 ","BATH BEACH","C6-WALK-UP","54","1950","46730","511226","10.94","269165","5.76","242061","1188000","25.42","3-06461-0036","1662 CROPSEY AVENUE
Brooklyn, NY 
(40.581338573306, -73.985731991852)","BATH BEACH","C1-WALK-UP","48","1926","42720","422895","9.9","232730","5.45","190165","1125000","26.33","0.34","3-06399-0072","8754 17 AVENUE
Brooklyn, NY 
(40.605543398141, -74.008076812413)","BATH BEACH","C1-WALK-UP","16","1914","16192","218916","13.52","113830","7.03","105086","696000","42.98","0.52","3-06367-0037","8609 BAY 16 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C1-WALK-UP","32","1924","24,710","277,740","11.24","161,109","6.52","116,631","751,000","30.39","0.7"
