"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","The River Project","New York","Help USA - HomeBase","(212) 571-1840","Middle School","40 Hudson & West Streets
,  10014
(40.733586451354, -74.010199604728)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 19 ROBERTO CLEMENTE SCHOO","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","OST","325 3rd Street
,  11211
(40.709634782958, -73.954547230119)","11215","40.673426","-73.984553","6","39","135","3020915","3009740061","Park Slope-Gowanus                                                         "
"Family Support,NDA Programs","Health Stat Initiative","The Children's Aid Society","New York","The Children's Aid Society","212.503.6820","All Ages","150 45th St
,  10017
(40.753150151123, -73.974217334954)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 215 LUCRETIA MOTT SCHOOL","Queens","Safe Space","(347) 489-0857","Elementary","535 Briar Place
,  11691
(40.599153765123, -73.758324183404)","11691","40.5993","-73.758206","14","31","99801","4301194","4157720031","Far Rockaway-Bayswater                                                     "
"After-School Programs","Out of School Time","Lower East Side Prep","Manhattan","Chinese American Planning Council","(212) 505-6366","High School","145 Stanton Street
,  10002
(40.72059519128, -73.985750724901)","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"After-School Programs","Out of School Time","P.S. 112 JOSE CELSO BARBOSA SC","Manhattan","Stanley M. Isaacs Neighborhood Center, Inc.","(212) 427-2520","Elementary","535 119 STREET
,  10035
(40.796720254917, -73.931034820105)",,,,,,,,,
"After-School Programs","Out of School Time","P.S./I.S. 210 TWENTY-FIRST CEN","Manhattan","Community Association of Progressive Dominicans","(212) 283-0012","Elementary","501 503 West 152 Street
,  10031
(40.824954205073, -73.950124436094)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","OST","700 Sutter Avenue
,  11207
(40.66970225634, -73.892808885889)","11207","40.669719","-73.892822","5","42","1158","3084348","3037740016","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","I.S.  318 I.S. 318 - MATH, SCI","Bronx","Phipps Community Development","(718) 294-8504","Middle School","1919 Prospect Avenue
,  10457
(40.843594049627, -73.889739795692)","10457","40.843546","-73.889755","6","17","36901","2094582","2029510032","East Tremont                                                               "
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Citizens Advice","Bronx","Greenhope Services for Women","(718) 293-0727","Adults","2070 Grand
Concourse,  10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA SUMNER HOUSES","Brooklyn","YMCA-Eastern District @Sumner Community Center","(718) 919-4756","6 and up","862 Park Avenue
,  11206
(40.698586012219, -73.940522930504)","11206","40.698582","-73.940736","3","36","28502","3324728","3015800001","Stuyvesant Heights                                                         "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Ridgewood Bushwick Youth Center","Brooklyn","Ridgewood Bushwick Senior Citizens Council, Inc.","718.381.9653","High School","1474 Gates Avenue
,  11237
(40.697840308647, -73.913832482461)","11237","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","The Arab American Family Support Center","Brooklyn","The Arab American Family Support Center","(718) 643-8000 x 19","16+","150 Court Street
,  11201
(40.68880789426, -73.992831836639)","11201","40.688806","-73.992806","6","39","45","3003069","3002920026","Carroll Gardens-Columbia Street-Red Hook                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Bushwick Center 2","Brooklyn","The Salvation Army ","(718) 455-4103","OST","1151 Bushwick Avenue
,  11221
(40.689188164634, -73.917541164809)","11221","40.689133","-73.917483","4","34","399","3077163","3033740001","Bushwick South                                                             "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 281 JOSEPH B CAVALLARO (K281)","Brooklyn","Thessalonia Baptist Church","(718) 236-5266","Middle School","8787 24 AVENUE
,  11214
(40.595492729469, -73.993265467648)","11214","40.595341","-73.993457","11","47","304","3186626","3068910001","Bensonhurst East                                                           "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Lafayette Estates","Bronx","Mothers on the Move","(718) 542-0006","Seniors","825 Morrison Avenue
,  10473
(40.820736499268, -73.872662106285)","10473","40.82084","-73.872649","9","17","28","2092725","2036270030","Soundview-Castle Hill-Clason Point-Harding Park                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./I.S. 124 OSMOND A. CHURCH","Queens","Mercy First","(718) 848-1532","OST","129 15 150th Avenue
,  11420
(40.673345242689, -73.817707171649)","11420","40.665058","-73.811701","10","28","84602","4257530","4118820001","South Ozone Park                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 54 SAMUEL C. BARNES SCHOO","Brooklyn","YMCA of Greater New York/Bedford Stuyvesant","(718) 789-1497","OST","195 SANFORD STREET
,  11205
(40.693882095283, -73.964334507731)","11205","40.693018","-73.953034","3","33","241","3049020","3017650015","Bedford                                                                    "
"After-School Programs","Out of School Time","P.S. 95 EASTWOOD SCHOOL","Queens","YMCA of Greater New York/Jamaica YMCA","(718) 558-0673","Elementary","179 01 90th Avenue
,  11432
(40.71311535449, -73.792820999789)","11432","40.710624","-73.783423","12","27","468","4446042","4099140001","Jamaica                                                                    "
"After-School Programs","Teen Action Program","New Settlement Apartments","Bronx","New Settlement Apartments","718.716.8000 ext.116","13 to 21","1512 Townsend Avenue
,  10452
(40.842289963686, -73.915026305893)","10452","40.842478","-73.914915","4","14","209","2092057","2028450007","West Concourse                                                             "
"After-School Programs","Out of School Time","High School for Public Service","Brooklyn","Global Kids, Inc.","(212) 226-0130","High School","600 Kingston Avenue
,  11203
(40.658420831267, -73.942427946663)","11203","40.658893","-73.942458","9","40","810","3107227","3048110001","Prospect Lefferts Gardens-Wingate                                          "
"After-School Programs","Out of School Time","City Scholars at Thomas Edison","Queens","The After School Corporation","(646) 943-8766","High School","165 65 84th Avenue
,  11432
(40.71311535449, -73.792820999789)","11432","40.715389","-73.800369","8","24","452","4211027","4098670002","Briarwood-Jamaica Hills                                                    "
"After-School Programs","Out of School Time","Manhattan School Year","Manhattan","Legal Outreach, Inc","(212) 690-9989","High School","402 145th Street
,  10031
(40.824062077557, -73.944893056735)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","High School","3001 37th Street
,  11224
(40.573273749724, -74.002490640031)",,,,,,,,,
"After-School Programs","Out of School Time","PS/IS 25-Eubie Blake (ES)","Brooklyn","CAMBA  ","(718) 573-7593","Elementary","787 Lafayette Avenue
,  11221
(40.691050099236, -73.941394999532)","11221","40.691037","-73.941342","3","36","281","3049858","3017870014","Stuyvesant Heights                                                         "
"After-School Programs","Out of School Time","Dyckman Community Center","Manhattan","YM-YWHA of Washington Heights Inwood","(212) 569-6200","Elementary","3782 10th Avenue
,  10034
(40.862021922675, -73.920753116729)","10034","40.861366","-73.921207","12","10","299","1080033","1022160001","Marble Hill-Inwood                                                         "
"Family Support,NDA Programs"," Housing","Project Home","New York","Refugee and Immigrant Services","(212) 674-9120","Adults","189 Allen
Stree,  10002
(40.722179529789, -73.989107223936)","10002","40.722133","-73.988964","3","1","3601","1005537","1004170001","Chinatown                                                                  "
"After-School Programs","Out of School Time","P.S. 123 P.S. 123","Queens","Safe Space","(347) 678-6437","Elementary","145 01 119th Avenue
,  11436
(40.675718209128, -73.796465014948)","11436","40.678296","-73.79562","12","28","18402","4260828","4120190010","Baisley Park                                                               "
"After-School Programs","Beacon","IS 43","Queens","Federation Employment Guidance Services Inc. ","718.471.7875","6 and up","160 Beach Channel 29th Street
,  11691
(40.600614338481, -73.762567774683)","11694","40.583775","-73.839659","14","32","93401",,,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Dunlevy Milbank High","Manhattan","The Childrens Aid Society","(212) 996-1716","High School","14 32 West 118th Street
,  10026
(40.803058121635, -73.953342776048)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Child Center","Queens","Community Mediation Services","(718) 458-4243"," High School","115 15 Sutphin Blvd
,  11434
(40.676945262114, -73.775306901692)","11434","40.68439","-73.79263","12","28","272","4264187","4121880001","Baisley Park                                                               "
"After-School Programs","Out of School Time","P.S. 90 EDNA COHEN SCHOOL","Brooklyn","YWCA of the City of New York (Main Branch)","(917) 817-2527","Elementary","2840 12 STREET
,  11224
(40.577011516851, -73.979643206907)",,,,,,,,,
"After-School Programs","Out of School Time","CAS 1","Manhattan","The Childrens Aid Society","(212) 533-1675","Elem/MS/HS","219 Sullivan Street
,  10012
(40.72926808223, -73.999972678012)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 72 DR. WILLIAM P. DORNEY","Bronx","Directions For Our Youth, Inc.","(212) 362-4020","Elementary","2951 DEWEY AVENUE
,  10465
(40.822539080024, -73.818504254194)","10465","40.822604","-73.818247","10","13","158","2077162","2054400001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"After-School Programs","Out of School Time","RALPH J MCKEE CAREER TECHNICAL","Staten Island","New York Center for Interpersonal Development","(718) 947-4122","High School","290 St Mark's Place
,  10301
(40.642821093729, -74.078774634014)","10301","40.642793","-74.07873","1","49","9","5000314","5000190004","West New Brighton-New Brighton-St. George                                  "
"After-School Programs","Teen Action Program","JHS 126 - John Ericsson","Brooklyn","Aspira of New York","212.564.6880 ext.115","13 to 21","424 Leonard Street
,  11222
(40.719664890228, -73.948575561142)","11222","40.719819","-73.948625","1","33","499","3067788","3027120001","Greenpoint                                                                 "
