"ceqr","project_name","project_description","borough","lead_agency","url"
"17DHS021K","2201 Neptune Avenue","The New York City Department of Homeless Services (DHS) is proposing to enter into a contract with Women in Need, Inc. (WIN, or, the Provider), to construct and operate a transitional residence for up to 180 homeless families with children in a new seven-story building to be constructed at 2201 Neptune   Avenue in the Coney Island neighborhood of Brooklyn. The proposed residence (also referred to as the Facility), to be known as The WIN Transitional Family Residence at Neptune Avenue, would be located on Block 6990, Lot 1 (the project site).","Brooklyn","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12937-17DHS021K"
"16DOS001M","2015 Disposal Contracts for MSW from Manhattan Districts 5, 6, 8 and 11","DSNY contracts with facilities in New Jersey and Yonkers, NY to dispose of approximately 544 tons of municipal solid waste that DSNY collects from four Manhattan districts.  The existing contracts expire in 2015.  New interim contracts are necessary pending DSNY's implementation of its long-term export program for Manhattan under the current Solid Waste Management Program.  The proposed action would involve the routing of DSNY trucks from four Sanitation districts in Manhattan to NJ and Yonkers.  It would involve the same truck routes, the same disposal facilities, and the same number of vehicles.  No construction is proposed.","Manhattan","Department of Sanitation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11482-16DOS001M"
"15TLC012Q","Bangla Car & Limo Service Inc.","Relocation of a livery car service. The proposed dispatch office location is at 10-02 38 Avenue, Long Island City, N.Y. 11101; the proposed locations for the base off-street parking are 33-43 Vernon Boulevard, Long Island City, N.Y. 11101 and 10-06 38 Avenue, Long Island City, N.Y. 11101.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10731-15TLC012Q"
"13TLC022K","Passenger One LLC","Establishment of a new livery service, the dispatch office and the off-street parking to be located at 2692 Coney Island Avenue, Brooklyn, N.Y. 11235.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9207-13TLC022K"
"14DCP125R","CREATED IN ERROR","This number was created in error","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10226-14DCP125R"
"12BSA011K","1110 East 22nd Street","Special Permit (§73-622) for the enlargement of an existing single family residence contrary to floor area and open space (§23-141); side yard (§23-461) and less than the required rear yard (§23-47). R-2 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8105-12BSA011K"
"17BSA122K","510 Quincy Street","Special Permit (§73-433) to permit the reduction of 88 accessory off-street parking spaces required for existing income-restricted housing units.  C2-4/R6A, C2-4/R6B, R6A & R6B zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12960-17BSA122K"
"15BSA117R","55 Hempstead Avenue","Special Permit (§64-92) to waive bulk regulations for the replacement of homes damaged/destroyed by Hurricane Sandy, on properties which are registered in the NYC Build it Back Program.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10974-15BSA117R"
"19BSA125K","5901 	Flatlands Avenue","Special Permit (§73-36) to permit the operation of a physical culture establishment (Blink Fitness) to be located within a proposed commercial building.  C2-2/R3-2 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14487-19BSA125K"
"18DCP087R","93 Cromwell Circle","Certification to construct a vertical and horizontal addition to an existing one family home on a zoning lot over 10,000 sf in SNAD.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13419-18DCP087R"
"11TLC021M","Amore Car & Limousine","Establishment of a new livery car service. The proposed dispatch office is at 1796 Third Avenue, New York, N.Y. 10029; the proposed off-street parking facility is at 1559 Lexington Avenue, New York, N.Y. 10029.","Manhattan","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7555-11TLC021M"
"18BSA059Q","Douglaston Plaza Shopping Center","A variance is proposed, pursuant to Section 72-21 of the Zoning Resolution of the City of New York (ZR') to add 15,181 gross square feet of retail space to an existing approximately 319,328 gross square foot non-conforming shopping center ('The Project Site'). Pursuant to the proposed action, the development site would increase from 319,328 gross square feet to 334,509 gross square feet. The proposal would allow a home improvement store (Lowe's) to occupy 110,449  square feet of both existing and proposed floor area, 95,268 gross square feet of which was recently occupied by a department store and a movie theater. The proposed additional floor area, in turn would eliminate approximately 101 parking spaces of the total 1,265 parking spaces that are presently existing within the shopping center. Additionally, it is proposed to increase the degree of non-conforming signage presently existing at the shopping center, by adding  approximately 1,116 square feet of signage. The signage, contrary to ZR Section 52-31, would be used to advertise a proposed UG 6 large format hardware store/home improvement center use (Lowe's).","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13393-18BSA059Q"
"17BSA135Q","133-04 39th Avenue","Variance (§72-21) to permit the development of a seven-story commercial and community facility building contrary to ZR §36-21 (required accessory parking spaces) and ZR §36-681 (less than the required loading berth height.  C4-2 zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12985-17BSA135Q"
"13BSA051M","32 West 18th Street","application is filed pursuant to ZR section 73-36 requesting a special permit to authorize the proposed  PCE to be located at the ground floor of the building at the premises 32 west 18th street, on TAX BLOCK 819 LOT 1401, in the borough of Manhattan.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9235-13BSA051M"
"17DCP157K","410 Tompkins Avenue","This is a private application by 410 Tompkins Residence LLC requesting a FRESH Chairman's certification per ZR 63-30 to facilitate a new, 7 story, 30,205 sf (34 DUs), mixed-use development, including 6,205 sf of commercial and 24,000 of residential at 410 Tompkins Avenue in Bed-Stuy, CD 3, Brooklyn.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12826-17DCP157K"
"02DCP041K","Boerum Place Rezoning","To facilitate a proposal by the applicant (Brooklyn Law School)  to develop a 22-story dorm with approx. 251,079 gross sq ft. of space above grade (381 beds), 63,951 gsf below grade with public parking for approximately 215 cars.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3078-02DCP041K"
"11HPD013X","Prospect Court","The proposal involves a request from Prospect Court, LLC, the project sponsor, for financing from HPD for the construction of a new 8-story mixed use building containing 58 dwelling units and approximately 11,686 square feet of retail space. The proposed project would be developed through HPDs Low-Income Rental Program.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7841-11HPD013X"
"13DCP118R","252 St. Andrews Road","The applicant, Anthony Onorato, is seeking an Authorization pursuant to ZR Section 105-421 pertaining to modification of topographical features on Tier 1 sites.  The proposed action would facilitate a proposal by the applicant to enlarge an existing single-family residence and construct an in-ground swimming pool.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9515-13DCP118R"
"15DCP027M","Christopher Street Rezoning","Mapping a C1-5 overlay on the east side of Washington Street between Christopher and West 10th Street, and on the north side of Christopher Street between Greenwich and Washington Street.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9967-15DCP027M"
"18HPD062K","Phillibert Cluster","The New York City - Department of Housing Preservation & Development (HPD) intends to fund construction activities involving the moderate rehabilitation of the above-referenced residential buildings. The proposed actions would result in the preservation and continued affordability of two residential buildings in the East Flatbush neighborhood of Brooklyn: 19 existing dwelling units at 332 East 54th Street and 7 existing dwelling units at 25 Brooklyn Avenue. The proposed actions would be funded through HPDs Green Housing Preservation Program, and the property owner may also receive financing for lead abatement through HPDs Primary Prevention Program. The proposed actions would further HPDs goals of preserving safe, affordable housing throughout New York City.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13418-18HPD062K"
"18BSA050X","Mount Hope Walton Apartments","Special Permit (§73-623) to permit development of a new, fourteen-story building with a gymnasium for the Mount Hope Community Center and approximately 103 affordable housing units developed under the Extremely Low and Low-Income Affordability (ELLA) financing program administered by the Department of Housing Preservation and Development (HPD).  The proposal is contrary to ZR §23-711 (distance of legally required windows) and ZR §23-622 (base and building heights).  An associated application is filed for an amendment of a variance adopted by the Board of Standards and Appeals (BSA or the Board) on January 9, 2007 under BSA Cal. No. 252-06-BZ.","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13384-18BSA050X"
"13DCP147X","Sisters of Charity Gatehouse","The applicant, Sisters of Charity New York, is seeking a Certification pursuant to ZR Section 105-41 concerning Certifications within the Special Natural Area District (SNAD).  The proposed action would facilitate a proposal by the applicant to construct a 1,071 square foot addition in connection with a renovation to an existing residential building.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9720-13DCP147X"
