"organizationname","brooklyn","bronx","manhattan","queens","staten_island","fax","phone","url","nourl","description","outsideloc","outsidelocdesc","aging","anti_discrimination_human_rights","arts_culture","business","child_care_parent_information","community_service_volunteerism","counseling_support_groups","disabilities","domestic_violence","education","employment_job_training","health","homelessness","housing","immigration","legal_services","lesbian_gay_bisexual_and_or_transgender","personal_finance_financial_education","professional_association","veterans_military_families","victim_services","women_s_groups","youth_services","faith_based_organization","foundation","is_registered_with_the_attorney_general_s_office","new_york_city_agency","none_of_the_above","nonprofit","comments","other_government_organization","published","location_1","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","address1","address2","city","postcode"
"NYC Commission on Human Rights","Y","Y","Y","Y","Y",,"2126399675","http://www.nyc.gov/html/cchr/home.html","N","The New York City Human Rights Law is one of the most comprehensive civil rights laws in the nation. The Law prohibits discrimination in employment, housing and public accommodations based on race, color, creed, age, national origin, alienage or citizenship status, gender (including gender identity and sexual harassment), sexual orientation, disability, marital status, and partnership status. In addition, the Law affords protection against discrimination in employment based on arrest or conviction record and status as a victim of domestic violence, stalking and sex offenses. In housing, the Law affords additional protections based on lawful occupation, family status, and any lawful source of income. The City Human Rights Law also prohibits retaliation and bias-related harassment.","N",,"Y","Y","N","Y","Y","N","N","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","N","N","Y",,"Y","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"The Maurer Foundation","Y","Y","Y","Y","Y","5165355895","5165355370","http://maurerfoundation.org","N","Since 1995, The Maurer Foundation for Breast Health Education has been helping communities in the New York Metropolitan area conquer breast cancer. Through our breast health education programs, we champion early detection, risk reduction and healthy lifestyle choices. In order to reach a range of audiences, we offer 3 categories of programs: corporate, campus and community, and youth.","Y","Long Island","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"114 old country road","Suite 400","Mineola","10003"
"Ryer Avenue Housing Development Fund Corporation","N","Y","N","N","N","7183290101","7183290600",,"Y","Residential Housing Facility","N",,"N","N","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.859583, -73.89796)","BRONX    ","40.859583","-73.89796","5","15","23702","2013579","2031520007","Bedford Park-Fordham North                                                 ","2386 Ryer Avenue",,"Bronx","10458"
"Imeinu, Inc.","Y","N","N","N","N",,"7182535364",,,"Transitional Independent Living Group Residence

Capacity: 7 females only",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.617337, -73.936994)","BROOKLYN ","40.617337","-73.936994","18","45","648","3211944","3077000003","Georgetown-Marine Park-Bergen Beach-Mill Basin                             ","3815 Avenue P",,"Brooklyn","11234"
"New York City Department of Transportation","N","N","Y","N","N","2124421908","2124427760","http://dot.nyc.gov","N","The primary function of the agency is to maintain the infrastructure of the city.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","Y","N","N",,"N","Published","(40.717363, -74.006897)","MANHATTAN","40.717363","-74.006897","1","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy                                     ","40 Worth Street",,"New York","10013"
"United Spinal Association - Vets First","N","N","N","Y","N","7188030414","7188033782","http://www.vetsfirst.org","N",,"N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.765724, -73.892382)","QUEENS   ","40.765724","-73.892382","3","22","30904","4022646","4010270050","Jackson Heights                                                            ","75-20 Astoria Boulevard",,"Jackson Heights","11370"
"Teamsters National Black Caucus - NYS","Y","Y","Y","Y","N",,"5167217844","http://www.gotnbc.com","N","Consists of Teamster Women from the United States, Canada and Puerto Rico that share ideas and strategies for building solidarity, handling workplace issues, plus many others educational conferences with workshops to empower women.","Y","Uniteds States, Canada and Puerto Rico","N","Y","N","Y","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","Y","Y","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"P. O. Box 340522",,"Rochdale Village","11434"
"Queens Borough Public Library (Central)","N","N","N","Y","N",,"7189900809",,,,,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.707865, -73.795295)","QUEENS   ","40.707865","-73.795295","12","27","460","4209635","4097980006","Jamaica                                                                    ","89-11 Merrick Boulevard",,"Jamaica","11432"
"Kings Bay YM-YWHA, Inc.","Y","N","N","N","N",,"7186487703","http://www.kingsbayy.org/",,"Kings Bay YM-YWHA is a community center serving the Sheepshead Bay, Marine Park, Bergen Beach, Homecreast and Midwood neighborhoods of Brooklyn. The Kings Bay Y offers a wide range of brand new social, educational and cultural programming for individuals ",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.598817, -73.94157)","BROOKLYN ","40.598817","-73.94157","15","46","570","3200300","3073630036","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","3495 Nostrand Avenue",,"Brooklyn","11229"
"Bronx EOC","N","Y","N","N","N","7189011869","7185307008","http://www.MySpace.com/BronxEO","N","The Bronx Educational Opportunity Center is a free of cost educational institution of the State University of New York, established to educate and train youth and adults in the Bronx communities who qualify. The center offers continuing, remedial and vocational education in a life-long learning process, in order to develop a skilled workforce for the future. In and through the educational activities, the center is also a force and a catalyst for community revitalization and total development of the individual. 

Our Believes:
The Bronx EOC values dignity and self-respect in every individual in the community. We believes that the disadvantaged people in our communities have a right to self-determination and power through higher education and greater participation in the society.

List of free courses:
-English GED 
-Spanish GED 
-Vocational and Academic Preparation Lab 
-College Preparation 
-Executive Assistant
-Security Guard Registration 
-Emergency Medical Technician","N",,"N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.840948, -73.900334)","BRONX    ","40.840948","-73.900334","3","16","167","2086675","2029200002","Claremont-Bathgate                                                         ","1666 Bathgate Avenue  (172nd St - 173rd St)",,"Bronx","10457"
"Sprout","N","N","Y","N","N","2122229768","2122229575","http://gosprout.org/002.html",,"Day and Evening Program",,,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"893 Amsterdam Ave.",,"New York",
"The Financial Clinic","Y","Y","Y","Y","N",,,"http://www.thefinancialclinic.org","N","The Financial Clinic is a nonprofit financial development organization that helps working low income families caught in the wage gap â€“ those ""too rich"" for public assistance but ""too poor"" to be self-sufficient â€“ build financial security and improve financial mobility by providing legal support and financial coaching.","N",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Y","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.747582, -73.990324)","MANHATTAN","40.747582","-73.990324","5","3","101","1015161","1008060026","Midtown-Midtown South                                                      ","115 W 30th St.","Suite 702","New York","10001"
"Neighborhood Defender Service of Harlem","N","N","Y","N","N",,"2128765500","http://www.ndsny.org/","N","The Neighborhood Defender Service of Harlem is a non-profit model public law office whose dedicated staff is committed to providing the highest quality legal representation to inner city residents in Upper Manhattan. We are known internationally as the lead innovator in community-based, client-centered public defense practice. We involve civil and criminal attorneys, social workers, investigators, paralegals, and college and law school interns in the aggressive defense of our clients. We are dedicated to our mission -- to make justice a reality for those farthest from its reach.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.808291, -73.945122)","MANHATTAN","40.808291","-73.945122","10","9","222","1085673","1019107501","Central Harlem South                                                       ","317 Lenox Avenue, 10th Fl.",,"New York","10027"
"New York Counties Registered Nurses Association, Inc.","N","N","Y","N","N",,"2126737110",,,,,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"200 Park Ave. South, Suite 511",,"New York",
"Thypin Oltchick Institute for Women's Entrepreneurship at FEGS","Y","Y","Y","Y","Y","2125241791","2123660033","http://www.yourfutureinbusiness.org","N","TOI, launched in May 2006 by an endowment to Fâ€¢Eâ€¢Gâ€¢S recommends professional resources to women of all ages who want to become entrepreneurs and small business owners. The Institute is unique - it is a matchmaker for entrepreneurs, introducing them to the most reliable experts and services for their business needs in the Greater New York Area. The Institute continually adds to its expansive network of partners who create individually tailored business development strategies for its clients.
TOI's resources are available to anyone who wants to own his/her own business but is not sure how to go about doing it. It is the starting place for New York area people who are asking themselves essential first step questions:
 	Is starting my own business right for me? 
 	How would I go about it? 
 	Am I picking the right business? 
 	What do I need to do first? 
 	Where do I get the correct permits and licenses? 
 	How do I finance? 
 	Should I have a mentor who knows my business or one with particular skills? 
 	How important is a website? 
 	How do I budget? 
 	What do I charge? 
 	How do I measure my business' potential and success? 
 	We offer quarterly panel discussions open to the public on these questions and more. 
Thypin Oltchick Institute Services
The Thypin Oltchick Institute for Women's Entrepreneurship @ Fâ€¢Eâ€¢Gâ€¢S is a program of Fâ€¢Eâ€¢Gâ€¢S Health and Human Services System. The Institute's services are offered at no charge. Programs generally include a panel of experts who discuss essential aspects of starting, maintaining, and growing a small business. In addition, our seminars also host representatives from many governmental, voluntary, and business organizations who are there to provide materials and consultation at no cost. Attendees can schedule future consultations. These partners include Federal, state and local government programs in addition to those of associations and other organizations geared to the entrepreneur.","Y","Long Island","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.726623, -74.007753)","MANHATTAN","40.726623","-74.007753","2","3","37","1010362","1005970012","SoHo-TriBeCa-Civic Center-Little Italy                                     ","80 Vandam St, first floor",,"New York","10013"
"AID FOR AIDS International","N","N","Y","N","N","2123378045","2123378043","http://www.aidforaids.org","N","AID FOR AIDS International (AFAI) is a non-profit 501 (c) (3) organization committed to improving the quality of life of people living with HIV/AIDS (PLWHAs) in developing countries and who are immigrants to the United States of America. We work to empower PLWHAs, their caregivers, and the community at large by providing access to medications, health education, HIV prevention strategies and advocacy and by promoting leadership and capacity building for individuals and organizations.","Y","Offices in Peru, Venezuela, The Dominican Republic, Panama, Mexico","N","N","N","N","N","N","N","Y","Y","Y","N","Y","N","Y","Y","N","Y","Y","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.70438, -74.006427)","MANHATTAN","40.70438","-74.006427","1","1","7","1000871","1000370001","Battery Park City-Lower Manhattan                                          ","120 Wall St","26th Floor","New York","10005"
