"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Harlem RBI","New York","CAMBA Healthy Families","(212) 722-1608"," High School","1948 First Ave
New York, NEW YORK 10029
(40.786400793064, -73.942371676081)","40.786176","-73.942558","11","8","162","1083932","1016940007","East Harlem South                                                          ","10029"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Long Island City","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","25 63 22nd Street
Long Island City, NEW YORK 11106
(40.761699790013, -73.931663252957)","40.772689","-73.924579","1","22","69","4430191","4008840012","Old Astoria                                                                ","11102"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Kensington Self-Help ","Brooklyn","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","419 Church Ave
Brooklyn, NEW YORK 11218
(40.64409707953, -73.976409726458)","40.644278","-73.975947","12","39","496","3124649","3053370027","Kensington-Ocean Parkway                                                   ","11218"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Lafayette Estates","Bronx","Mothers on the Move","(718) 542-0006","Seniors","825 Morrison Avenue
Bronx, NEW YORK 10473
(40.820736499268, -73.872662106285)","40.82084","-73.872649","9","17","28","2092725","2036270030","Soundview-Castle Hill-Clason Point-Harding Park                            ","10473"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","CAB Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","1130 Grand
Bronx, NEW YORK 10456
(40.831694143639, -73.916041046959)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Citizens Advice Bureau","Bronx","Castle Hill School (JHS 127)","(718) 293-0727","Adults","1477 Townsend Avenue
Bronx, NEW YORK 10452
(40.841513488175, -73.91566203729)","40.841504","-73.915639","4","14","223","2098821","2028440021","West Concourse                                                             ","10452"
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718-365-0910","All Ages","1477 Townsend Ave
Bronx, NEW YORK 10452
(40.841513488175, -73.91566203729)","40.841504","-73.915639","4","14","223","2098821","2028440021","West Concourse                                                             ","10452"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Tompkins Park Senior Center","Brooklyn","Queens Gateway to Health and Sciences Secondary School","(718) 345-5665","Seniors","550 Greene Avenue
Brooklyn, NEW YORK 11216
(40.688662422549, -73.948653796504)","40.688666","-73.948775","3","36","251","3050417","3017980040","Bedford                                                                    ","11216"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","PS 25 - Eubie Blake School","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236, -73.941394999532)","40.691037","-73.941342","3","36","281","3049858","3017870014","Stuyvesant Heights                                                         ","11221"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PS 126 JACOB AUGUST RIIS (M126)","New York","Our Lady of Sorrows School","(212) 571-1840","Middle School","80 CATHERINE STREET
New York, NEW YORK 10038
(40.710854298399, -73.996672170517)","40.710729","-73.996631","3","1","25","1083357","1001110160","Chinatown                                                                  ","10038"
"Family Support,NDA Programs","Healthy Families","Children's Aid Society/East Harlem Center","New York","SSAW","(212) 503-6837",,"130 101st Street
New York, NEW YORK 10029
(40.789301756379, -73.949206477293)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Harbor Heights Middle School - Children's Arts & Science","Manhattan","Children's Arts & Science Workshops, Inc.","212-923-7766","All Ages","549 Audubon Avenue
Manhattan, NEW YORK 10040
(40.856389753647, -73.92672451122)","40.855954","-73.927051","12","10","277","1076751","1021600018","Washington Heights North                                                   ","10040"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Center for Battered Women","Manhattan","Sanctuary for Families","212-349-6009","All Ages","1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.705453000256, -74.006956000119)",,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Northern Manhattan Improvement Corporation (NMIC)","Manhattan","Northern Manhattan              Improvement Corporation","212-822-8300","All Ages","76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.847051676059, -73.937044724943)","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   ","10033"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","St. Raymond Community Outreach","Bronx","Citizens Advice Bureau","(718) 824-0353"," High School","1720 Metropolitan Avenue
Bronx, NEW YORK 10462
(40.840552520607, -73.853865592913)","40.840657","-73.85368","9","18","222","2041258","2039580010","Parkchester                                                                ","10462"
"Family Support,NDA Programs","Healthy Families","YMPJ","Bronx","Jay Harama Senior Center","(347) 851-5619",,"1384 Stratford Avenue
Bronx, NEW YORK 10472
(40.833517940517, -73.876466311155)","40.833322","-73.876452","9","18","62","2027513","2038670036","West Farms-Bronx River                                                     ","10472"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","York College Immigration     Center ï¿½ CUNY ","Queens","Research Foundation of CUNY","718-262-2983","All Ages","20 Guy R Brewer Blvd
Queens, NEW YORK 11451
(40.702594999759, -73.795623000401)",,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Claremont Neighborhood Centers, Inc. ","Bronx","Claremont Neighborhood Centers, Inc.","718.588.1000","16 to 24","489 169th Street
Bronx, NEW YORK 10456
(40.833009438875, -73.905735217316)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA Bensonhurst District Office","Brooklyn","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)","(718) 438-0008","Seniors","6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531, -73.987710397179)","40.61468","-73.987765","11","47","258","3135071","3055790007","Bensonhurst West                                                           ","11204"
"Family Support,NDA Programs","Healthy Families","CAMBA Healthy Families","Brooklyn","Mercy House","(718) 287-2600",,"2103 Kenmore Terrace
Brooklyn, NEW YORK 11226
(40.649206680097, -73.95941921452)","40.649181","-73.95962","14","40","51002","3117217","3051020143","Flatbush                                                                   ","11226"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Children's Art Carnival","New York","Brooklyn Housing & Family Services, Inc.","(212) 234-4093"," High School","62 Hamilton Terrace
New York, NEW YORK 10031
(40.823323108747, -73.946094823072)","40.823075","-73.946309","9","7","227","1060961","1020500064","Hamilton Heights                                                           ","10031"
"Family Support,NDA Programs","Healthy Families","Greenhope Services for Women","New York","Voyagees Prepatory High School","(212) 996-8633",,"448 119 Street
New York, NEW YORK 10035
(40.797452112732, -73.932922215039)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","M.S. 635- Academy for Enviornmental Sciences ","New York","Supportive Childrens Advocacy Network (SCAN)","212.683.2522","grades 6 to 8","410 100 Street
New York, NEW YORK 10029
(40.785470644534, -73.94206586038)",,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Allen AME Multi-Center (Annex)","Queens","Forestdale, Inc","718.263.0740","16 to 24","1114 02
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Sauti Yetu Center for African Women","Bronx","Citizens Advice Bureau","(718) 665-2486"," High School","2417 Third Avenue
Bronx, NEW YORK 10451
(40.808668707428, -73.93066171207)","40.808492","-73.930665","1","8","51","2000784","2023190100","Mott Haven-Port Morris                                                     ","10451"
"Family Support,NDA Programs","Healthy Families","Brooklyn Housing & Family Services, Inc.","Brooklyn","St. Andrews Senior Housing","(718) 435-7585",,"1281 Saint Johns Place
Brooklyn, NEW YORK 11213
(40.670863378541, -73.935839824969)","40.670848","-73.935649","8","35","353","3036781","3013770054","Crown Heights North                                                        ","11213"
"Family Support,NDA Programs","Healthy Families","Guardians of the Sick, Inc.","Brooklyn","Queens Community House","(718) 438-2020",,"5216 11th Avenue
Brooklyn, NEW YORK 11219
(40.635910755078, -73.998398351425)","40.635862","-73.998429","12","44","218","3138585","3056600050","Borough Park                                                               ","11219"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinatown Manpower Project, Inc","New York","Chinatown Manpower Project, Inc","(212) 571-1691 x 235","16+","70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295, -73.999172809241)","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  ","10013"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","(718) 681-2222","16+","950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587, -73.928018257847)","40.831036","-73.928079","4","8","189","2092381","2025040045","Highbridge                                                                 ","10452"
"Family Support,NDA Programs","Health Stat Initiative","The Children's Aid Society","Bronx","The Children's Aid Society","718.617.8595","All Ages","1338 Southern Blvd
Bronx, NEW YORK 10460
(40.832462906937, -73.890705807264)","40.831158","-73.891438","3","17","123","2010556","2029800025","Crotona Park East                                                          ","10459"
"Family Support,NDA Programs","Fatherhood Initiative","The Fathers Center ","New York ","Legal Information for Families Today (LIFT)","646.613.9633 ext. 202","16 to 24","350 Broadway
New York, NEW YORK 10013
(40.716960292342, -74.003921229556)","40.716954","-74.003943","1","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10013"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005)","Queens","August Martin High School","(718) 784-6173"," High School","50 40 JACOBUS STREET
Queens, NEW YORK 11373
(40.738710402563, -73.878351155182)","40.737718","-73.887429","4","25","489","4454423","4024500017","Elmhurst-Maspeth                                                           ","11373"
"Family Support,NDA Programs","Healthy Families","Citizens Advice","Bronx","West Farm Technology and Career Center","(718) 293-0727",,"2070 Grand
Bronx, NEW YORK 10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","BROOKLYN EXCELSIOR CHARTER (K731)","Brooklyn","SEBCO St Barnabas Senior Housing","(212) 630-9680","Middle School","856 QUINCY STREET
Brooklyn, NEW YORK 11221
(40.689895906643, -73.92483415895)","40.689842","-73.925506","3","41","387","3044597","3016330058","Stuyvesant Heights                                                         ","11221"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Staten Island","Make the Road New York","(718) 418-7690 x 211","16+","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Carol Gardens","Bronx","Mirabal Sisters Cultural and Community Center Office Space","(718) 542-0006","Seniors","880 Thieriot Avenue
Bronx, NEW YORK 10473
(40.823278882673, -73.86241277558)","40.823093","-73.862394","9","18","42","2092758","2036420001","Soundview-Castle Hill-Clason Point-Harding Park                            ","10473"
"Family Support,NDA Programs","Healthy Families","SSAW","Queens","Bushwick Campus","(212) 714-9153",,"106 03 Liberty Avenue
Queens, NEW YORK 11417
(40.676363730802, -73.844542755344)","40.683091","-73.834938","10","28","98","4201628","4095110041","South Ozone Park                                                           ","11417"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mercy House","Bronx","Tompkins Park Senior Center","(718) 542-0006","Seniors","4170 Carpenter Avenue
Bronx, NEW YORK 10466
(40.893603864286, -73.860614532487)","40.893523","-73.860689","12","12","420","2063271","2048340052","Williamsbridge-Olinville                                                   ","10466"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Elmhurst Jackson Heights Senior Center","Queens","The Child Center","(212) 677-4181","Seniors","75 01
Broadway Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","40.746172","-73.890208","4","25","267","4036730","4014860013","Elmhurst                                                                   ","11373"
"Family Support,NDA Programs","Health Stat","The Children's Aid Society","New York","The Children's Aid Society","212-503-6820","All Ages","150 45th St
New York, NEW YORK 10017
(40.752942166734, -73.973641056829)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Turning Point HDFC (Main Office)","Brooklyn","Fredrick Douglas Academy VI High School","(718) 360-8166"," High School","5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.642353653563, -74.005963807531)","40.642307","-74.006043","7","38","108","3013388","3007940004","Sunset Park East                                                           ","11220"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center","Bronx","St. John The Baptist School","(718) 231-9800"," High School","1400 Pelham Parkway
Bronx, NEW YORK 10467
(40.877047912132, -73.871532500824)","40.857427","-73.847079","11","13","296","2097550","2042050001","Pelham Parkway                                                             ","10461"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","High School for Dual Language and Asian Studies","New York","Brooklyn Housing & Family Services, Inc.","(212) 941-0920"," High School","350 Grand Street
New York, NEW YORK 10012
(40.716852373698, -73.989595029629)","40.716778","-73.989337","3","1","18","1005283","1004080030","Chinatown                                                                  ","10002"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","CONNECT","Manhattan","Safe Space","212.206.3440 ext. 237","All Ages","3 29th Street
Manhattan, NEW YORK 10001
(40.745522716048, -73.987242979944)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","285 Vanderbilt Avenue Staten Island
NEW YORK,  10304
(40.618099835029, -74.080725068218)","40.618105","-74.08066","1","49","29","5014183","5005560019","Stapleton-Rosebank                                                         ","10304"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Sunset Park Center","Brooklyn","THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)","(718) 630-7171","Seniors","4520 4th Avenue
Brooklyn, NEW YORK 11220
(40.649209874864, -74.009875848067)","40.649111","-74.009845","7","38","80","3324373","3007460039","Sunset Park West                                                           ","11220"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 249 - The Caton School","Brooklyn","CAMBA, Inc.","718-282-5575","A parent 16 Years Old or Older ","18 Marlborough Road
Brooklyn, NEW YORK 11226
(40.649842155595, -73.966096176019)","40.64971","-73.966046","14","40","506","3116438","3050750001","Flatbush                                                                   ","11226"
"Family Support,NDA Programs","Health Stat Initiative","The Children's Aid Society","New York","The Children's Aid Society","212.503.6820","All Ages","150 45th St
New York, NEW YORK 10017
(40.752942166734, -73.973641056829)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Help USA - HomeBase","Bronx","PS 128","(718) 928-3736","Adults","775 Crotona Park
Bronx, NEW YORK 10460
(40.840845180914, -73.891767787615)","40.837941","-73.895254","3","17","163",,,"park-cemetery-etc-Bronx                                                    ","10457"
"Family Support,NDA Programs"," Housing","RBSCC","Brooklyn","Red Hook Youth Court Internship","(718) 366-3800","Adults","217 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.702117657535, -73.915658601416)","40.702153","-73.915751","4","37","443","3326375","3032910001","Bushwick North                                                             ","11237"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","COJO Flatbush","Brooklyn","Council of Jewish Organizations of Flatbush (COJO)","718.377.2900","Adult","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        ","11230"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4812 9th Avenue
Brooklyn, NEW YORK 11220
(40.640835402677, -74.000456500483)","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           ","11220"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Vladeck Cares","New York","Stryckers Bay Neighborhood Council, Inc.","(212) 766-9200","Seniors","351 Madison Ave
New York, NEW YORK 10002
(40.713407305685, -73.982487365932)","40.754503","-73.978026","5","4","94","1035376","1012790048","Midtown-Midtown South                                                      ","10017"
"Family Support,NDA Programs","Healthy Families","Healthy Families","Bronx","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6","(718) 538-3344",,"871 Westchester Avenue
Bronx, NEW YORK 10459
(40.819894373252, -73.901287926209)","40.820428","-73.900141","2","17","12901","2115281","2026907501","Longwood                                                                   ","10459"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Vannguard Urban Improvement Association, Inc.","Brooklyn","Gravesend Houses","(718) 453-3330"," High School","613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.949267750906)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)","New York","Italian American Civil Rights League","(212) 652-2812","Middle School","200 135 STREET
New York, NEW YORK 10030
(40.815348299844, -73.943892845829)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","I.S. 126 - The Albert Shanker School for the Visual and Performing Arts","Queens","R.A.I.N. Eastchester Senior Center","(718) 784-7447",,"31 51 21 Street
Queens, NEW YORK 11106
(40.761699790013, -73.931663252957)","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    ","11106"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Shorefront Y                                                                                                                                                                                                                                                   ","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","Adult","3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             ","11235"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288323, -73.961743706863)","40.578435","-73.961751","13","48","362","3397165","3086767501","Brighton Beach                                                             ","11235"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","El Centro de Hospitalidad ","Staten Island","Catholic Charities Community Service, Archdiocese of N Y","718-420-6466 646-772-0096","All Ages","1546 Castleton Avenue Staten Island
NEW YORK,  10302
(40.635892495899, -74.134496077675)","40.63586","-74.134431","1","49","207","5024246","5010350014","Port Richmond                                                              ","10302"
"Family Support,NDA Programs","Healthy Families","BCA Main Community Services Center","Brooklyn","Carol Gardens","(718) 438-0008",,"5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526, -74.003759923935)","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           ","11220"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)","Bronx","Citizens Advice Bureau","(718) 732-7523"," High School","800 GUN HILL ROAD
Bronx, NEW YORK 10467
(40.875978648353, -73.862106695349)","40.875953","-73.86197","12","12","372","2057045","2046330040","Williamsbridge-Olinville                                                   ","10467"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","NEW UTRECHT HIGH SCHOOL (K445)","Brooklyn","BCA 6th Avenue Senior Center","(718) 951-5015"," High School","1601 80 Street
Brooklyn, NEW YORK 11210
(40.613452731598, -74.003689773532)","40.613262","-74.003404","11","43","182","3162711","3062710001","Bensonhurst West                                                           ","11214"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","PS 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             ","11235"
"Family Support,NDA Programs","Fatherhood Initiative","Forestdale at Forest Hills Campus","Queens","Forestdale, Inc","718.263.0740","16 to 24","67 35 112 Street
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","40.729354","-73.842599","6","29","747","4441126","4022060006","Forest Hills                                                               ","11375"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592, -73.942503354999)","40.665708","-73.942532","9","35","333","3034315","3013000010","Crown Heights South                                                        ","11225"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Brooklyn","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","280 Shepherd Avenue
Brooklyn, NEW YORK 11208
(40.677730884418, -73.881738314856)","40.677725","-73.881715","5","37","1168","3327121","3039720012","East New York                                                              ","11208"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","YWCA of Queens","Queens","Manhattanville Houses Senior Center","(718) 353-4553"," High School","42 07 Parsons Blvd
Queens, NEW YORK 11355
(40.751299796948, -73.821478547897)","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              ","11355"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 112 - Jose Celso Barbosa School","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212-360-7625","A parent 16 Years Old or Older ","535 119 Street
New York, NEW YORK 10035
(40.796415393631, -73.93038366722)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","CAB Immigration Office","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","2070 Grand
Concourse Bronx, NEW YORK 10457
(40.853090592091, -73.902808775875)","40.853222","-73.902947","5","15","23502","2013631","2031560009","Mount Hope                                                                 ","10457"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SQPA-NY Southern Queens Park Association NY","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","177 01 Baisley Boulevard
Jamaica, NEW YORK 11434
(40.676945262114, -73.775306901692)","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 ","11434"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","(718) 438-0008","16+","5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.641074069955, -74.003795118627)","40.641014","-74.003834","7","38","108","3013419","3007940041","Sunset Park East                                                           ","11220"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","R.A.I.N. Eastchester Senior Center","Bronx","Mt. Ararat Presentation Senior Center","(718) 829-5520","Seniors","1236 Burke Avenue
Bronx, NEW YORK 10469
(40.871121642875, -73.851417114687)","40.871148","-73.851491","11","12","348","2093500","2045810001","Allerton-Pelham Gardens                                                    ","10469"
"Family Support,NDA Programs","Healthy Families","St. John The Baptist School","Brooklyn","I.S 286 M","(718) 722-6023",,"82 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.694701914296, -73.937428414887)","40.694679","-73.93739","3","36","283","3043017","3015910045","Stuyvesant Heights                                                         ","11206"
"Family Support,NDA Programs","Fatherhood Initiative","Washington Houses Community Center ","New York ","Union Settlement Association","212.828.6113","16 to 24","237 104th Street
New York, NEW YORK 10029
(40.789924588094, -73.944769131203)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","SHOP Architects","New York","Legal Services NYC-Bronx","(212) 571-1840","Middle School","11 Park Place
New York, NEW YORK 10002
(40.712809195674, -74.008199229432)","40.712828","-74.008296","1","1","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10007"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Citizens Advice","Bronx","Greenhope Services for Women","(718) 293-0727","Adults","2070 Grand
Bronx, NEW YORK 10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Children's Arts & Sciences Workshops (Admin & Activity site)","Manhattan","Children's Arts & Sciences Workshops","212-923-7766","11+","686 204th Street
Manhattan, NEW YORK 10034
(40.867820783176, -73.92367507748)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","The River Project","New York","Help USA - HomeBase","(212) 571-1840","Middle School","40 Hudson & West Streets
New York, NEW YORK 10014
(40.733586451354, -74.010199604728)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO","Brooklyn","High School for Dual Language and Asian Studies","(718) 951-5015"," High School","911 FLATBUSH AVENUE
Brooklyn, NEW YORK 11226
(40.649532936565, -73.958457559936)","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    ","11226"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","SATELLITE EAST MIDDLE SCHOOL (K301)","Brooklyn","The River Project","(212) 652-2812","Middle School","344 MONROE STREET
Brooklyn, NEW YORK 11216
(40.686081384769, -73.944982268293)","40.686076","-73.945229","3","36","265","3051458","3018190014","Bedford                                                                    ","11216"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 19 - Curtis School","Staten Island","Jewish Community Center of Staten Island, Inc.","718-508-3883","A parent 16 Years Old or Older ","780 Post Avenue Staten Island
NEW YORK,  10310
(40.631189624083, -74.127115288525)","40.631214","-74.127101","1","49","141","5006175","5002270024","West New Brighton-New Brighton-St. George                                  ","10310"
"Family Support,NDA Programs","Healthy Families","Project Bridge","Brooklyn","IS 061 LEONARDO DA VINCI (Q061)","(718) 722-6023",,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.702590552559, -73.929089057738)","40.702549","-73.928986","4","34","425","3072069","3031640026","Bushwick South                                                             ","11237"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 198/77 - Isador & Ida Straus School","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212-360-7625","A parent 16 Years Old or Older ","1700 Third Avenue
New York, NEW YORK 10128
(40.785225895113, -73.949348485037)","40.784826","-73.949611","8","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              ","10128"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Gravesend Houses","Brooklyn","NEW YORK HARBOR SCHOOL (K551)","(800) 624-8474","Seniors","2793 33rd Street
Brooklyn, NEW YORK 11224
(40.577430352097, -74.000021079869)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","Brooklyn","Ridgewood Bushwick Youth Center","(718) 646-1444",,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             ","11235"
