"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Hello Livingston Extended LLC","Ben Rottenstein Associates","718 852-9609","aj@jackjaffa.com","291 Livingston Street","161","61","Brooklyn","Commercial, new building","carpentry, hvac, electric, plumbing, etc.","$17,921,040.00","2018-11-30T00:00:00.000","11217","Brooklyn 2","2021-11-26T09:18:50.000","40.688209","-73.982050","2","33","37","3000479","3001610061","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"292 N8 Owner LLC","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergstis.com","292 N. 8th Street","2323","9,10, 55","Brooklyn","Commercial, New Building, Hotel, ICAP Special Area","electrical, plumbing, hvac, etc.","$15,000,000.00","2019-11-01T00:00:00.000","11211","Brooklyn 1","2021-11-26T09:18:50.000","40.715563","-73.952615","1","33","519","3000000","3023230009","North Side-South Side"
"Scholes Street Properties LLC","Tuchman, Korngold, Weiss, Leibman & Gelles, LLP","212 687-3747","bgottlieb@tkwlg.com","321 Scholes Street","3038","27","Brooklyn","New building, retail","Sprinkler, Fire Alarm","$2,500,000.00","2018-08-20T00:00:00.000","11201","Brooklyn 1","2021-11-26T09:18:50.000","40.709550","-73.935479","1","34","485","3070902","3030380027","Bushwick South"
"RAM Hotel LLC","Amy Stokes","(718) 875-8160","astokes@monadnockdevelopment.com","110 East 149th Street","2351","40","Bronx","Commercial, New Building, Retail","We are contracting with a general contractor who will hire subcontractors. Subcontractors will be for foundation/excavation, paving, concrete superstructure, masonry, carpentry, waterproofing, doors and hardware, painting, storefront, elevator, sprinkler, plumbing, HVAC and electric.","$18,348,073.00","2019-01-01T00:00:00.000","10451","Bronx 1","2021-11-26T09:18:50.000","40.819152","-73.929631","1","8","63","2000000","2023510040","West Concourse"
"Bell Station Realty","Bell Station Realty","718 423-1054","adc.com@verizon.net","214-38 42nd Avenue","6299","17","Queens","Commercial, new building","electric, elevator, hvac, plumbing, sprinklers, glass, window, foundation, demolition, excavation","$3,670,000.00","2017-10-15T00:00:00.000","11361","Queens 11","2021-11-26T09:18:50.000","40.762925","-73.768994","11","19","1467","4000000","4062990017","Bayside-Bayside Hills"
"SNL XXIV LLC","Anthony Como Associates","720 273-3080","acomo@nyrets.com","581 Austin Place","2603","83","Bronx","Commercail, new building","Foundation, concrete, electrical, mechanical, painting, flooring, masonry","$18,000,000.00","2021-01-02T00:00:00.000","10455","Bronx 2","2021-11-26T09:18:50.000","40.811268","-73.901513","2","8","83","2004136","2026030083","Longwood"
"Grand Greene LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","90-94 Grand Street","474","26","Manhattan","Commercial, retail, alteration","concrete, steel, electrical, plumbing, hvac, etc.","$3,000,000.00","2018-04-01T00:00:00.000","10013","Manhattan 2","2021-11-26T09:18:50.000","40.721573","-74.002089","2","1","47","1007046","1004740026","SoHo-TriBeCa-Civic Center-Little Italy"
"ESRT 1333 Broadway, L.L.C.","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","1333 Broadway","811","21","Manhattan","Commercial, retail, alteration","Elevator, carpentry, plmbing, electrical, painting, etc.","$31,248,262.00","2021-12-01T00:00:00.000","10118","Manhattan 5","2021-11-26T09:18:50.000","40.750829","-73.987761","5","3","109","1015226","1008110021","Midtown-Midtown South"
"JP Morgan Chase Bank, N.A.","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","525 Broadway","484","9","Manhattan","Commercial, alteration, retail","Electrical, carpentry, hvac, plumbing, mechanical, elevator, windows, roofing, concrete,, etc.","$10,000,000.00","2019-04-01T00:00:00.000","10012","Manhattan 2","2021-11-26T09:18:50.000","40.722797","-73.999015","2","1","49","1007248","1004840009","SoHo-TriBeCa-Civic Center-Little Italy"
"437 88 LLC","Lawrence J. Berger, P.C.","212-532-0222","jfriedman@ljbpc.com","437 88th Street","6050","45","Brooklyn","Commercial alteration, addition to existing space","concrete, structure, masonary, steel, sprinkler, windows, roofing/watterproofing, elevator,plumbing, glass, fire alarm, elevator, mechanical, insulation, drop ceilings, tile settings/polishing, water, sewer, partition walls, lighting, outlets, floors, hvac, electrical, drywall/carpentry, rigging & sidewalk shed","$4,350,000.00","2018-04-16T00:00:00.000","11209","Brooklyn 10","2021-11-26T09:18:50.000","40.620845","-74.028273","10","43","160","3153761","3060500045","Bay Ridge"
"26 West 39th LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","24-28 West 39th St./19 West 38th St.","840","62, 63, 30","Manhattan","Commercial alteration","concrete, steelwork, electrical & plumbing","$80,000,000.00","2015-12-01T00:00:00.000","10018","Manhattan 5","2021-11-26T09:18:50.000",,,,,,,,
"8904 5th Avenue LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","8902 5th Avenue","6066","26","Brooklyn","Commercial, New Building, Retail","Foundation, Concrete, Masonry, Metals, Carpentry, Finishes, Plumbing, Electrical, HVAC","$9,000,000.00","2019-08-28T00:00:00.000","11209","Brooklyn 10","2021-11-26T09:18:50.000","40.619659","-74.027805","10","43","160","3154221","3060660026","Bay Ridge"
"333 Moffat LLC","Lawrence J. Berger P.C.","212 532-0222","jfriedman@ljbpc.com","335 Moffat Street","3443","40","Brooklyn","Commercial, hotel, new building","plumbing, concrete, electrical, sprinkler, steel, glass, glazing, fire alarm, excavation, scaffolding, mechanical, roofing, waterproofing","$10,850,000.00","2018-01-10T00:00:00.000","11237","Brooklyn 4","2021-11-26T09:18:50.000","40.691359","-73.902696","4","37","409","3080062","3034430040","Bushwick North"
"Herald Towers Commercial LLC","Marcus & Pollack LLP","213 490-2900","jmarcus@marcuspollack.com","51 West 34th Street","835","1001","Manhattan","Commercial, retail","electrical, plumbing, fa̤ade, carpentry, painting, etc.","$7,600,000.00","2021-07-02T00:00:00.000","10001","Manhattan 6","2021-11-26T09:18:50.000","40.749382","-73.986783","5","4","76","1015867","1008367502","Midtown-Midtown South"
"Summerfield Partners LLC","Metropolitan Realty Exemptions Inc.","718 387-3004","Shaindy@mretax.com","1616 Summerfield Street","3555","12","Queens","Commercial, new building","carpentry, plumbing, fa̤ade, flooring, , electrical, steel, masonry, Concrete, roofing,etc.","$15,000,000.00","2018-06-01T00:00:00.000","11385","Queens 5","2021-11-26T09:18:50.000","40.695228","-73.901973","5","34","559","4000000","4035550012","Ridgewood"
"730 Fifth Upper LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","730 Fifth Ave.","1272","1202","Manhattan","Commercial, hotel, alteration, addition to existing space","carpentry, sheetrock, electrical, hvac, plumbing, concrete, steel, masonry, general construction, etc.","$33,148,107.00","2018-05-01T00:00:00.000","10019","Manhattan 5","2021-11-26T09:18:50.000","40.762635","-73.974222","5","4","11201","1035053","1012727503","Midtown-Midtown South"
"GS Main Street Realty LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinato@verizon.net","133-20 41 Road","5042","19","Flushing","Commercial, new building","elevator, electrical, plumbing, windows, doors","$6,500,000.00","2018-09-01T00:00:00.000","11355","Queens 7","2021-11-26T09:18:50.000",,,,,,,,
"140th Street Studios LLC","Robert S. Altman, Esq., PLLC","212 232-8713","rsalaw@nyctaxbreak.com","903 East 140th Street","2598","86","Bronx","Commercial, New Building","electrical, plumbing, hvac, etc.","$10,000,000.00","2020-03-31T00:00:00.000","10454","Bronx 1","2021-11-26T09:18:50.000","40.803675","-73.906567","1","17","19","2004049","2025980086","Mott Haven-Port Morris"
"Ellis Storage LLC Insite Property Group","Brandt, Steinberg, Lewis & Blond LLP","212 563-2200","ikeating@bsl-taxcert.com","16 Ellis Street","7987","1, 5, 15","Staten Island","Commercial renovation","electrical, plumbing, hvac, etc.","$14,600,000.00","2020-01-01T00:00:00.000","10307","Staten Island 3","2021-11-26T09:18:50.000","40.517379","-74.241109","3","51","248",,,"Charleston-Richmond Valley-Tottenville"
"WI/BSREP III 390 Park LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","360 Park Avenue","1289","36","Manhattan","Commercial, retail, alteration","elevators, plumbing, hvac, electric, concrete, pavers, carpenters, painters, etc.","$54,301,711.00","2021-03-01T00:00:00.000","10022","Manhattan 5","2021-11-26T09:18:50.000","40.758531","-73.973011","5","4","102","1035713","1012880033","Midtown-Midtown South"
"1571 Holding LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","1571 McDonald Avenue","6564","60","Brooklyn","Commercial, new building","electrical, carpentry, hvac, plumbing, etc.","$3,500,000.00","2017-10-01T00:00:00.000","11230","Brooklyn 12","2021-11-26T09:18:50.000","40.614782","-73.974124","12","44","446","3172689","3065640060","Borough Park"
"BGY Cityview LLC","Seiden & Schein, P.C.","212 593-4545","jayseiden@seidenschein.com","23-15 44th Drive","437","5, 7, 8, 9, 10, 11, 13, 15, 20","Queens","Commercial, retail, new building","electric, hvac, steel, plumbing, etc.","$11,902,580.00","2018-11-01T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.747575","-73.944540","2","26","19","4005166","4004370005","Hunters Point-Sunnyside-West Maspeth"
"CJ Plaza One LLC","By the Numbers Consulting Services Corporation","718 683-3710","rosa@btn-consulting.com","147-40 Archer Avenue","9998","91","Queens","Commercial, retail, new building","Plumbing, AC, Electrical, Sheetrock, Roofing, Masonry, etc.","$13,031,375.00","2016-01-15T00:00:00.000","11435","Queens 12","2021-11-26T09:18:50.000","40.700836","-73.806551","12","27","208","4607280","4099980091","Jamaica"
"823 39th Street Brooklyn LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","833 39th Street","908","162","Brooklyn","New Building, Commercial","electrical, plumbing, hvac, etc.","$8,000,000.00","2015-07-01T00:00:00.000","11204","Brooklyn 12","2021-11-26T09:18:50.000","40.646778","-73.996461","12","38","90","3330494","3009080162","Sunset Park East"
"Steal 375 Johnson, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","375 Johnson Avenue","3056","186","Brooklyn","Industrial, Alteration","electrical, hvac, plumbing, steel, etc.","$4,000,000.00","2021-06-01T00:00:00.000","11206","Brooklyn 1","2021-11-26T09:18:50.000","40.707534","-73.933677","1","34","485","3000000","3030560185","Bushwick South"
"Two Fulton Square LLC","Top 8 Construction","718 713-0232","tom.barone@fandtgroup.com","37-09 College Point Boulevqrd","4972","68","Queens","New building, residential","earthwork, foundation, site work, concrete, masonry, metals, hvac, elec.","$30,990,487.00","2016-09-16T00:00:00.000","11354","Queens 7","2021-11-26T09:18:50.000",,,,,,,,
"85 Jay Street Brooklyn Venture LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","85 Jay Street","54","1","Brooklyn","Commercial, retail, new building","foundation, fa̤ade, window, electrical, plumbing, metal work, concrete, etc.","$60,000,000.00","2017-12-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.702063","-73.986703","2","33","21","3000000","3000540001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1215 Fulton Street LLC","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergestis.com","1215 Fulton Street","1842","15, 16","Brooklyn","Commercial, New Building","electrical, plumbing, hvac, etc.","$70,000,000.00","2020-01-01T00:00:00.000","11216","Brooklyn 3","2021-11-26T09:18:50.000","40.680609","-73.952845","3","36","245","3000000","3018420015","Bedford"
"Columbia Reit - 149 Madison LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","149 Madison Avenue","861","57","Manhattan","Commercial, retail, alteration","architectural woodworking, structural steel, concrete, masonry, metal & glass, window, drywall, scaffolding, fireproofing, fire alarm, electrical, elevator, plumbing, painting, stone, tile, membrane roofing, hollow metal, window treatments, demolition, sprinkler, flooring, hvac","$35,000,000.00","2018-02-01T00:00:00.000","10016","Manhattan 5","2021-11-26T09:18:50.000","40.746333","-73.983991","5","2","74","1016997","1008610057","Midtown-Midtown South"
"DUN 37-10 Street","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","37-10 10th Street","359","21","Queens","New building, hotel","Concrete, steel, electrical, hvac, plumbing, utulities, elevators, etc.","$22,683,600.00","2018-08-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.759757","-73.941823","1","26","39","4004370","4003590021","Queensbridge-Ravenswood-Long Island City"
"51 Ave LIC LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","2101 51st Avenue","70","1","Queens","Commercial, alteration","electrical, hvac, elevator, plumbing, windows","$9,650,000.00","2018-06-01T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.741069","-73.949345","2","26","1","4000535","4000700001","Hunters Point-Sunnyside-West Maspeth"
"112-12 Northern LLC","Law Office of Thomas E. Berinato","718 261-0510","tberinato@verizon.net","51-20 Van Loon Street","1542","28","Queens","Commercial, retail, new building, residential","electrical, elevator, plumbing, windows, door, etc.","$3,000,000.00","2018-04-01T00:00:00.000","11373","Queens 4","2021-11-26T09:18:50.000","40.737992","-73.879313","4","25","473","4000000","4015420028","Elmhurst"
"215 Moore St Acquisition LLC","Ben Rottenstein Assoc.","718 855-6110","aj@jackjaffa.com","205, 207, 209, 215 Moore Street","3100","47, 56","Brooklyn","Commercial, new building","hvac, electric, plumbing, carpentry, elevators, concrete, windows","$4,500,000.00","2016-03-01T00:00:00.000","11206","Brooklyn 1","2021-11-26T09:18:50.000",,,,,,,,
"S & H Hotel Management LLC","MGNY Consulting Group","(718) 522-1111","michael@mgnyconsulting.com","1755 Pitkin Avenue","3489","254","Brooklyn","Commercial, New Building","electrical, plumbing, hvac, etc.","$4,800,000.00","2020-01-20T00:00:00.000","11212","Brooklyn 16","2021-11-26T09:18:50.000","40.670050","-73.908344","16","41","906","3080696","3034890254","Brownsville"
"Otsego LLC","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","151 Dwight Street","589","2, 6, 16, 106","Brooklyn","Commercial, industrial, new building","general contractor, electric, plumbing, hvac, etc.","$6,200,000.00","2019-04-01T00:00:00.000","11231","Brooklyn 6","2021-11-26T09:18:50.000","40.674505","-74.010833","6","38","53","3000000","3005890106","Carroll Gardens-Columbia Street-Red Hook"
"79 Arverne Development LLC","New York Grant Company","646 673-9709","marsha@nygrants.com","350 Beach 79th Street","6100","14, 18, 20","Queens","New building, alteration","hvac, electrical, plumbing, carpentry, painting, etc.","$15,000,000.00","2020-07-01T00:00:00.000","11693","Queens 14","2021-11-26T09:18:50.000","40.590694","-73.805325","14","31","94202","4303330","4161000014","Hammels-Arverne-Edgemere"
"St. John Real Estate Consultant, Inc.","Moseson and Associates Corporation","718 327-5779","yehuda_moseson@hotmail.com","38-75 11th Street","473","553","Queens","Commercial, new building","electrical, hvac, plumbing, steel, etc.","$21,000,000.00","2015-07-10T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.758009","-73.942026","1","26","85","4596213","4004730553","Queensbridge-Ravenswood-Long Island City"
"DOLP 825 Properties II LLC","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergestis.com","825 Third Avenue","1324","1","Manhattan","Commercial, retail, alteration","concrete, masonry, structural, steel, millwork, roofing, electric, waterproofing, drywall, ceramic, stone, painting, elevators, fire protection, hvac","$102,358,945.00","2019-05-01T00:00:00.000","10022","Manhattan 6","2021-11-26T09:18:50.000","40.755733","-73.970171","6","4","98","1081185","1013240001","Turtle Bay-East Midtown"
"40 Worth Street Associates LLC","Akerman LLP","212 822-2266","wendy.rossi@akerman.com","40 Worth Street","148","15","Manhattan","Industrial, alteration","Electrical, drywall, sheet metal, plumbing, carpentry, flooring, misc. metals & hardware","$25,000,000.00","2021-02-02T00:00:00.000","10013","Manhattan 1","2021-11-26T09:18:50.000","40.717363","-74.006897","1","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy"
