Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Banketbakkerij Blommestein;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Boheemen;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Borgman;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Brokking B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Burgt;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij De Kruyter;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij De Vlaam B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Dorgelo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij G.C.J.F. Gordijn;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Groen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij H. van der Heijden;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij J.T. Holtkamp V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Jan de Groot;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Jansen-de Koning;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Nijstad;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Oorbeek;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Salverda;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Steentjes V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Stevers B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Teunissen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Teurlings B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij van Beek & Specker B.V.;;;1;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Van Dijk en Zoon;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij Verspeek;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij-Chocolaterie Looijenga B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij-Salon De Thee 'Christiaan';;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banketbakkerij-Tearoom H. van Haaren;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Banning N.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BAOGROUP;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baptist IJzerwaren & Gereedschappen;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1
Bar Company;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bar Lekker;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;2;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;2
Barbarossa Beach B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Barbecue Catering Nederland;;;2;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;2
Barbecue-Exclusief B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barelds Schilderwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BarentsKrans N.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barista Bandits;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Barnet, Enfield an Haringey;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barock Pinto Studbook;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Bart de Koning, Journalistiek & Debat;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bart van Vliet Freelance Fotograaf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Bartelink Audit B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Bartels catering;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Barthen Rioleringswerken B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bartholomeus Gasthuis;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BAS Bedrijfskleding B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bas van Maanen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Basaal;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BaseClear B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
BASF Coatings Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bashil B.V.;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Basic Fit Oss;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Basic Muziekgroep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bastard Club;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bastion Hotel Hoofddorp B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bastion Hotel Maastricht B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bastion Hotel Rijswijk B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baston Service B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BaSystemen;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Batala Netherlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Batenburg Bevestigingstechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Battal & Looman;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Battlefield Live Nederland B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;4;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4
Baumgardt & Brokling Advocaten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Baut Zuid AS;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bavak Beveiligingsgroep B.V.;;;;;1;;;;;;;;;5;;;;;2;2;;;;;;;1;;;1;;;;;;;5
Bax advocaten belastingkundigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bax-shop.nl B.V.;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;;;1;1
Baydar Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bayerische Staatsbibliothek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Baza Seeds B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bazuin & Partners B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
BB Office & Ergonomics;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BBC Bruxelles;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BBK Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
BBK/Door Vriendschap Sterker B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4
BBP Light B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
BBQ-Buffet Restaurant De Opschepper;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BCD Travel Nederland B.V.;;;;;1;;8;;;;;;;;;;2;;;;;;;;;;;;;2;1;;;;;8;9
BCN B.V.;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;2;;;;;;;2
BCO Dental B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
BDGF B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
BDUmedia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Be Informed B.V.;;;;;;;;;;;;;;;;;;;;;;;;;2;6;;;;;;;;;;;6
Be Now;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
Beach Club WOW;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beachclub The Bing B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beachclub Titus B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Beachzone events;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beauforthuis Exploitatie B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beck-online Datenbank;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Beck-online DIE DATENBANK;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2
BeColor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Becx Tuinmachines Moergestel B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
Bed & Breakfast Bordeaux Arnhem;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bed & Breakfast Hoeve de Haar;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bed and Breakfast Achter de Kan;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bedeaux Interieurs;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bedrijfsfitness Nederland B.V.;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Bedrijfskring Heerhugowaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BEDRIJFSKRING LELYSTAD;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bedrijvenkring Bornsestraat Almelo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beef & More;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beekman & Beekman B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beekse Bergen Exploitatie B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Beerens Business Press B.V. (BBP);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beerens Metaalwerken;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beerepoot Handelsonderneming B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beest en Goed;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BeeZ Hotel en Cocktailbar;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Begijnhof Hotel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BeGlobal Relatiegeschenken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Behangersbedrijf Veltenaar;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Beheer Centrum voor Mindfulness;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beheerder Brandmeld B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Behr Groep Nederland B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;5
BeHuman;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beide-Handen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beijk Catering Service B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beimers Taxi;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beka-Blik B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bekenkamp Yachting;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bekker Optiek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beko Bakkerij Techniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beko Verpakkingen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beko-Interieurs;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
Belangenver. Bedrijfshulpverlening Nederland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belarto Nederland B.V.;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
Belcentrale.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Beldico B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
BeleefBreda;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beleg van Breda;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Beleggingsmaatschappij Tobur Rotterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beleggingsmaatschappij Webotel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Belfleur;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Beljon + Westerterp Recruitment;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bella Beer 2011 B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belly 2 Baby;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Belstore.Com B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;3
Ben Holding B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ben Tiggelaar & Company B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BenAle Risk Management Advice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bender Delft B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Benecke Education B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Benelux Bureau Intellectuele Eigend;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;1
Benelux Merken Administratie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
BenF Media;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
BenN Facilitair B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BENNAGHMOUCH M. WERKMEESTERPROJECT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Benner Via Vecchia Exploitatie B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bennis Arnhem B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BenS Colors;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Benti Beheer B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BENU Apotheek De Heeze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Berbera.nl;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Berends Que Performance;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berendsen Textiel Service B.V.;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;1
Berenschot B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Berenschot Groep B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;3;6
Berger Psychologie;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bergh Brandkasten B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bergh Delisse Events;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Berghauser Pont Academy B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BERGSMA GROOTHANDEL;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;1
Berkenplas V.O.F.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Berkenrode Vastgoed B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;1
Berkhof Optiek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Berko Noord B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Berko Wijchen B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
BERLAGE GRAND-CAFE;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Berlijn Café;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bermuda Eindhoven B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bermuda Hospitals Board;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bermuda-Music;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Berna Trommelen Communicatie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Beroepsonderwijs en Volw.educ.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4
Beroepsvereniging Vide;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beroepsvereniging voor Public Affairs (Bvpa);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bersih Products;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bert Muller Grootkeukentechniek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bert Smit Reklame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Beschermingsbewind.nl;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Besseling Onderhoud B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Besselink Electro Import B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BEST mediation & coaching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Bestax;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bestpizza.nl;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Betaalvereniging Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Betech Kunststoffen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Beter Horen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Betty Blue;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Between B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;4;3;;7;;;;;;;1;7
Beugelknaller.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Beuk Horeca B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Beukeveld;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Beun- de Ronde B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Beursbegeleiding.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Beurtvaartadres document B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Beveiligingsbedrijf De Sleutelspecialist;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Beveiligingshop Twente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bever Assen B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Bever Automatisering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Bever B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bewindvoering WSNP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bewust Psycholoog Amsterdam;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bfactory Health Products B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BG Holding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
BGPmon Network Solutions Inc;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Bharata Yoga;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bharos & Mahabier huisartsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BHG Opleidingen;;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
BHS Grootkeukentechniek B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
BHV Competent;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Bhv-Specialist.Nl;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;1;;;;;;;1
BHVstore B.V.;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Biblionet B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;1
Biblionet Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Biblionet Drenthe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bibliotheek Leeuwarden Centrum;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Bibliotheek Tilburg Centrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bicicare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bicycle Tours By Locals Rotterdam;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Biella Benelux Sales B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bierens Incasso Advocaten B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Bierfabriek Nes B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Biermans IJzerhandel Breda B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Biesboschcentrum Dordrecht;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Biesheuvel Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Big Five For Life International;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
BIGG Bewindvoering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bigoli;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bij Aaltje aan de Linie;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij Floor;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij Maarten Oogmode B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij ons aan tafel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bij Teus;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
