Verkiezing		Provinciale Staten Zuid-Holland 2019																																																																		
Datum		20-3-2019																																																																		
Gebied		Gemeente Dordrecht																																																																		
Nummer		505																																																																		
																																																																				
Lijstnummer	Aanduiding	Volgnummer	Naam kandidaat	Totaal	Stadhuis	Stadskantoor	't Zeepaert	Centrum Stapal	Dordrechts Museum	't Klockhuys, bij toren Grote Kerk	School Vest	Hogeschool InHolland	Energiehuis	Centraal Station, Portacabin op bordes	School Noordhove	Gebouw De Driesprong	Zorgcentrum De Linde	Kerkgebouw Pinkstergemeente	Dordtse Vrije School	School De Repelaer	Sportcomplex Sport+	Wantijschool	School De Regenboog	Zorgcentrum Merwelanden	Prinses Julianaschool	Prinsemarij	Gebouw Dorswedo	Prins Bernhardschool	Het Weizigt NMC	School De Fontein	Het Waterwiel	Speeltuin Zeehavenkwartier	Wijkcentrum De Admiraal	Wooncentrum Watersteijn	Postillion Hotel	Wooncentrum De Klockelaer	J.F. Kennedyschool	Trefpunt de Nieuwe Stoof	Zorgcentrum Vreedonk	Bewonersvereniging 't Trefpunt	Winkelcentrum Sterrenburg	Cultureel Centrum Sterrenburg	Albert Schweitzerziekenhuis, Dordtwijk	Verpleeghuis De Sterrenlanden	Polyanderschool	School De Driehoek	Portacabin Eulerlaan	Gymzaal Ockenburg	Ontmoetingskerk	School De Meridiaan	School Het Kristal Dependance	School Het Kristal	Verzorgingshuis Dubbelmonde	Beatrixschool, de boerderij	Verpleeghuis Het Parkhuis	Postduivenvereniging 'De Luchtbode'	OBS Dubbeldam	De Gravenhorst	Hotel De Watertoren	School De Griffioen	Lucina Verloskundigenpraktijk	Geert Grooteschool	Wielborgh, Het Polderwiel	Portacabin Parkeerplaats Stadspolderring	Kandelaarkerk	Speeltuin Stadspolders	School De Bever	Johan Frisoschool Dependance
		1	Potjer, B.K.	1562	68	54	23	30	56	19	50	16	29	63	23	49	60	9	36	34	5	15	12	17	18	31	15	8	32	13	8	1	13	16	7	8	8	23	15	16	30	23	15	31	9	34	14	15	47	35	5	35	31	22	32	2	25	23	19	25	19	27	40	31	18	14	27	14
		2	van Hunnik, A.	1583	64	63	27	30	54	17	56	20	40	85	32	67	66	15	53	48	6	23	4	14	11	39	23	15	25	11	10	1	11	10	7	6	8	14	15	15	24	22	23	18	8	26	21	8	43	19	5	24	31	17	19	12	26	14	13	24	25	16	33	26	13	12	26	30
		3	Stepanyan, A.	161	6	6	4	1	8	4	7	4	12	6	3	11	3	0	6	2	1	1	0	1	2	7	0	1	7	2	1	0	3	0	1	0	5	5	0	1	0	2	1	0	2	2	0	0	2	3	2	1	0	0	1	2	1	0	2	1	3	1	1	4	1	4	0	4
		4	Özkaya, S.	77	1	1	2	2	1	0	5	1	0	3	0	2	2	0	3	0	0	0	3	3	4	0	0	0	1	6	1	0	2	0	1	1	3	1	0	0	2	2	0	0	0	3	0	1	0	1	0	1	2	4	0	0	0	1	0	4	0	1	0	1	0	1	2	2
		5	Klumpes, R.	25	3	1	0	0	2	3	1	0	0	2	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		6	Kasbergen, A.	111	3	5	3	2	1	0	1	3	7	6	2	9	1	1	7	1	0	3	0	1	1	6	2	3	1	0	0	0	1	3	2	1	0	2	1	1	1	2	2	0	0	0	0	1	0	4	0	2	1	4	1	2	0	1	1	2	1	0	2	0	1	1	1	1
		7	van Gerven, N.P.C.	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		8	Siljee, M.	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
		9	Schippers, J.J.	15	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0
		10	Noorduyn, R.E.	44	2	1	0	0	4	1	2	0	1	4	1	4	1	0	2	0	0	0	0	0	1	1	1	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	2	0	0	0	0	2	0
		11	van der Meer, F.B.L.	593	26	22	15	14	9	4	16	9	32	24	13	17	22	2	13	10	3	4	11	1	10	10	7	9	9	3	7	0	5	3	1	9	3	6	5	6	14	12	11	10	1	8	2	7	16	7	0	9	8	9	7	2	13	7	11	9	10	11	14	10	6	3	11	5
		12	Spekreijse, M.	25	3	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	1	0
		13	Smit, S.J.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
		14	Kraamer, A.	26	0	2	1	0	2	1	0	0	1	3	1	0	1	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0
		15	Prins, M.	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		16	Bos, I.C.M.	12	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
		17	Thijs, J.J.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
		18	Vos, I.L.	13	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
		19	Voncken, L.L.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		20	Goedegebure, N.J.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		21	Joester, F.	6	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		22	Kaya, H.	11	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		23	Ferro, W.	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		24	van Egmond, D.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		25	van der Gronde, C.L.A.M.	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		26	Ünlü, B.	25	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	2	3	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	3	1
		27	Citterbartová, I.	9	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		28	Kroes, L.	40	2	1	1	2	1	0	2	1	1	1	3	2	3	1	0	0	0	0	0	0	1	2	0	1	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	2	0
		29	Ammi, M.	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		30	Veenstra, A.	11	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
		31	Daliry, A.A.	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
		32	Pepels, J.H.M.	6	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		33	Antunes, S.G.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		34	Driesen, R.B.	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		35	Lamers, M.A.M.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		36	Smits, R.	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		37	Nederveen, A.A.J.	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		38	Alberts, M.	5	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
		39	Ruijtenberg, M.E.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		40	Al Hadaui, A.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		41	Blokhuizen, A.B.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		42	Dewkalie, S.U.	8	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
		43	van Engelen, R.V.	14	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
		44	Fousert-Poeder, C.M.C.	6	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		45	Rijsdijk, A.J.	7	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
		46	Vissers, M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		47	Leewis, M.E.F.	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		48	Groeneveld, J.W.	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
		49	Bonte, A.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		50	Karimi, F.	34	1	1	0	0	3	1	1	0	0	3	0	1	3	0	1	1	0	0	0	0	1	3	0	0	1	1	2	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
10	Partij voor de Dieren			2295	129	78	34	49	54	23	66	31	40	90	52	70	71	21	69	44	8	28	13	13	15	76	40	37	29	27	23	5	14	26	11	21	22	27	14	23	34	43	28	37	25	44	11	11	61	24	21	42	34	27	44	16	26	32	23	27	48	44	43	37	18	23	55	24
		1	van Viegen, A. H. K.	1520	79	55	18	28	34	19	43	26	29	44	26	50	43	12	33	30	6	13	12	8	11	48	29	25	19	14	11	5	9	17	6	14	9	23	11	18	21	23	23	26	15	32	8	6	49	22	16	25	24	17	29	11	21	26	17	15	39	30	28	32	13	18	37	20
		2	Hoogerwerf, H. M. M.	76	1	0	1	4	1	0	3	0	0	4	1	2	3	1	3	0	0	6	0	1	0	3	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	2	1	1	0	2	1	0	0	0	0	4	0	5	3	0	0	1	2	1	2	1	2	2	1	0	3	3
		3	Haan, B.	233	20	7	7	4	9	3	8	1	5	12	8	10	8	1	7	5	1	3	0	1	0	7	2	3	7	4	0	0	3	2	2	1	5	1	0	2	3	10	2	2	3	2	2	2	3	1	2	6	4	2	4	3	1	2	1	3	0	2	5	0	1	1	6	1
		4	Canton, B.	121	3	3	2	6	4	0	1	1	2	4	7	3	4	1	2	4	0	2	0	1	1	6	3	2	0	1	2	0	0	2	1	2	2	0	1	1	7	2	0	3	0	1	0	0	4	0	2	4	3	1	0	0	1	0	1	1	2	2	4	3	0	2	4	0
		5	Vermaat, W. B.	24	1	0	1	0	1	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	2	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
		6	Oost, D.	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		7	van der Wiel, S. E.	52	6	3	1	2	1	0	1	0	1	5	1	1	3	0	3	2	0	1	0	0	1	1	1	4	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0
		8	Zaat, E. B. J.	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
		9	Stenfert Kroese, J. A.	8	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
		10	Tan, R. Z. Y.	22	0	0	0	0	1	0	1	0	0	0	0	0	0	0	14	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
		11	ten Cate, J.	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
		12	Raat, L.	20	3	2	2	1	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		13	Barker, R. N.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		14	Groenewegen, E.	35	5	1	0	3	0	0	2	0	2	2	0	2	1	0	1	2	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0
		15	Hagedoorn, F. H. J.	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		16	van Schaik, M.	9	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
		17	Lubbers, B.	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
		18	Teunissen, C.	24	2	1	0	0	0	1	0	0	0	5	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
		19	van der Velden, R. T. J.	18	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0
		20	Ouwehand, E.	107	7	5	1	1	1	0	5	0	0	6	4	0	4	4	3	1	0	2	0	0	0	7	1	2	1	5	3	0	0	1	0	0	4	1	1	1	1	2	0	4	4	2	0	1	0	0	0	1	0	1	4	0	1	2	0	1	2	5	2	0	1	1	1	0
11	50PLUS			2208	36	50	7	47	25	8	24	19	18	18	13	29	44	21	30	36	5	20	26	58	17	52	35	37	21	24	30	6	30	22	16	37	37	49	17	37	57	46	32	49	19	57	12	21	74	48	12	51	60	26	54	12	24	50	29	47	57	64	101	63	28	33	40	41
		1	Bakx, W.M.	1414	20	26	3	31	12	5	10	11	11	15	7	19	30	11	19	26	2	13	14	38	9	42	25	23	10	17	22	1	21	15	9	18	27	30	13	28	46	31	25	34	13	37	6	12	43	34	8	26	43	10	33	7	18	34	19	28	33	42	65	42	21	22	22	27
		2	Haasnoot, J.H.	53	1	0	1	0	0	0	0	2	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	2	1	1	0	2	1	2	0	0	1	2	2	0	0	0	0	1	2	3	3	0	0	1	2	0	2	1	1	2	1	2	2	1
		3	Cornet, C.J.	23	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	1	0
		4	Revet, B.F.	18	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	1	0	1	1	2	0	0	0	0
		5	Santoro-van Halm Braam, M.E.C.	172	7	10	1	4	2	2	4	0	2	0	2	0	2	2	2	4	1	0	4	5	1	4	1	1	2	1	0	2	2	0	0	4	2	4	1	1	1	1	2	3	1	4	1	0	12	4	1	7	2	2	5	0	3	4	1	2	7	9	7	6	0	2	3	2
		6	Molenaar, R.	87	2	2	0	3	1	0	1	0	1	1	1	0	2	0	0	1	1	1	1	1	1	2	1	3	0	1	1	0	1	1	0	2	2	0	0	0	3	0	0	1	1	2	0	1	4	3	1	2	3	2	5	0	0	1	2	3	3	3	4	0	2	0	4	3
		7	Kweekel, A.A.	45	0	2	0	3	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	2	0	2	0	1	0	2	1	4	0	0	4	0	1	1	0	0	0	4	0	1	0	0	0	1	0	1
		8	van Scheijndel, A.N.M.	107	1	2	1	0	2	1	2	3	1	0	0	0	0	0	3	0	1	1	2	1	1	0	2	3	1	1	1	1	2	1	1	6	0	5	0	0	2	1	1	2	0	2	1	3	2	1	1	8	2	3	1	1	1	4	0	3	5	2	9	2	2	1	1	0
		9	Tomlow, G.A.M.M.	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
		10	de Groot, H.	48	0	1	0	1	3	0	0	0	0	0	0	0	2	5	2	1	0	0	0	3	0	1	1	2	0	0	1	2	0	1	0	0	2	1	0	1	0	2	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	0	0	1	0	1	0	2	0	2	1	2
		11	Valk, H.	80	0	3	0	3	0	0	0	0	0	1	3	3	2	1	1	1	0	0	0	3	3	0	2	2	4	0	1	0	1	1	3	2	1	2	0	1	1	2	1	2	1	1	1	0	5	1	0	0	0	0	1	1	1	1	0	2	2	1	3	3	1	1	3	1
		12	van der Ree, A.F.	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
		13	Fekkes, S.F.	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		14	Hoijnck van Papendrecht, F.M.	17	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0
		15	Verkoelen, P.J.H.D.	44	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	2	1	2	2	1	0	1	0	0	1	0	3	1	0	0	2	1	1	0	2	0	0	2	0	0	2	1	1	0	0	0	0	0	0	3	0	2	0	0	1	0	2
		16	Siemons, J.C.	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
		17	Lammertink, A.G.H.M.	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		18	van Rooijen, M.J.	74	2	2	1	0	2	0	4	2	0	0	0	1	2	0	1	1	0	0	0	2	0	0	1	0	1	0	2	0	1	1	0	0	2	1	0	1	2	0	2	1	1	3	1	1	3	0	1	3	0	4	2	0	0	4	3	2	0	2	4	1	0	1	2	1
12	DENK			1599	7	36	2	32	42	0	26	3	123	23	26	52	19	15	20	25	0	38	26	26	100	147	87	12	26	191	46	2	62	0	0	17	33	48	4	3	29	38	15	3	4	1	0	2	8	8	0	1	6	2	0	0	0	2	0	39	5	11	6	2	5	35	40	18
