Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
PreSoft B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Pricewaterhousecoopers N.V.;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
PromAction B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Promo Solutions;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
PromoSnoepje;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Propertyview B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4
Protinus IT B.V.;;;;;;;;;;;;;;2;;;;;1;2;;;;2;;;1;;;;;;;;;1;3
Protocolbureau;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Prowareness Academy B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Public Partners B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Public Policy Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Publidesk B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Publique;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Purfacts;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Purple Monkey Publishing B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Puur Amsterdam;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Puur Exploitatie B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Qidos B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
QleanAir Scandinavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
Q-Park Europarking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
Qualityhouse B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Quay Consult B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
QUBE ICT Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1
Quinton Brandveiligheid B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
QuoVadis Trustlink B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
R. de Bruin Groothand. Tuin- en Horecadecor.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Raatwerk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Rabobank Breda;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Rabobank Randmeren;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Rabobank Rotterdam;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Rabobank West-Brabant Noord;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Radar Groep B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Radium Foam B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RAI Holding B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rail OK B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RamblasHuizen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ramon Mosterd Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
RA'Quel B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ratu Raja;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RauwCC B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ravestein & Zwart Bedrijfscommunicatie B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Reade;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Rechtnet B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Reclamestudio Guthschmidt B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Red Mountain Creative Production B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rederij de Nederlanden B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RedNose IT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Reed Business B.V.;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Regardz Meeting Center Eenhoorn Amersfoort;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2
Regina Bloemsierkunst;;1;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Regioplan Beleidsonderzoek B.V.;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
REGIOPLAN ONDERZOEK,ADVIES,INF;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Regus Breda Business Park B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Reijrink Aannemersbedrijf B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Reisboekhandel Stanley & Livingstone;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Reisswolf Nederland B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
Relatiegeschenken.nl B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Rendement Uitgeverij B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
Rene Verleg Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Renée Broekmeulen Tekst & Training;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Resource Opmeer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;3
Restaurant Bij Ons;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Brasserie Christoffel;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant De Basiliek B.V.;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Restaurant de Boschwachter;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Restaurant De Ridder van Asenrode;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant De Zakkendrager B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Fred;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Restaurant Golfbaan De Stok B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Het Schellinkje / Liberté;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Johannahoeve B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Kyoto B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Maxime V.O.F.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Mejuffrouw Janssen;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Restaurant Saffraan;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Retro Inkasso B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Revalide Amsterdam;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
RFC Horeca Exploitaties;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rhenus Data Office Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Riga Ranch;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rijnstate Poli-apotheek Arnhem;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Ristorante Italiano 'La Liguria' B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ristorante Tanta Roba B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RJ Beveiliging B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Robbers en van den Hoogen B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Robin Utrecht Fotografie;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Roeks Opticiens B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Roels B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ROHDE & GRAHL B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rondleiding in Delft.nl;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
RONT Management Consultants B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Roorda Reclamebureau B.V.;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Roos IJzerhandel;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Rosarium Wokrestaurant Westbroekpark;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rossio;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rousant Zoutkamp B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rozatekst;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
RPS Analyse B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Ruys Handelsvereniging B.V.;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1
S.B. Telecom Veenendaal B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
S.B.I. Training en Advies B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
S.T. Hu Exploitatie B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Safe Site B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Safe2lock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Safety Solutions Consultants B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sanitas Laboratorium Services B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Sanoma Digital The Netherlands B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Santé Horeca Beheer B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SAP Nederland B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;1;5
Sapero;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Sardes B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Satellietkantoor Utrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
SBK-Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
SBLplus Schoonmaak B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Scaffolding Training Europe B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Scan;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Schaap Deventer B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Schateiland;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Schielab;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Schiphol Nederland B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Schoevers Manag. Support Professionals B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Schouten & Nelissen Groep B.V.;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
SchrijfOp.nl;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Schulinck;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Science Plus Group;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
ScienceWorks B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Scil For Your Skills;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Scripta Media B.V.;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Scrum Company;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Sdu Uitgevers B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;2
Search Milieu;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Sectra Communications B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Secumar Benelux B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Securitech Detection & Verification B.V.;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Selian;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sen Productions;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Session Productions;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Settels Sustainable Workconditions;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
SGS Nederland B.V.;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Shared Business B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Show Rental;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Siccama Lemsteraak Verhuur;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Significant B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Sinds 1883 uitgevers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Sjaak Pappe Innovation and Culture Management;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Skeye B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Slagerij Ammerlaan;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Slimshops Retail;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
SMST Designers & Constructors B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Snelrelatiegeschenken B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Snow-Planet B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SnowWorld N.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SNS Bank;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Sociaal Cultur.- en Sportstichting Sophiedela;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Sociaal Economisch OndeRzoek Rotterdam B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Sodexo Nederland B.V.;;2;;;;;;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;4
SOD-Opleidingen B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SolBeach;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Soma Bedrijfsopleidingen;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Somsen Music;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
SOS Sport en Events B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Soundfocus B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Spaces B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Spanjersberg Organisatie Advies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Speakers Academy Special Projects B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Speechless;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Spekmen Productions;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Spierings Holding B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Spinner B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SPITZ congres & event B.V.;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
SpiZe B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sportcentrum Aerofitt Duiven B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sportimpuls.nl B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
SportMarketing Consultancy (SMC) B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sporttainment Center De Uithof B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sportvereniging Spakenburg;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Sranang B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SRM Communicatie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SRS Consulting B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
St. Dona Daria Centrum Vrouwen/Emancip. R'dam;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
St. Philadelphia Zorg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ST. PROMOTIE DEN HAAG (MARKETING & EVENTS);;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Staalbouw Mook B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stadsarrangement.nl;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stadsboerderij De Koebrug;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stadsbrouwerij De Hemel;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Start Holding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stavoor B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stedin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stedin Meetbedrijf B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stg. Amsterdams-Leidse Onderzoekssamenwerking;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Atlantic and Pacific Exchange Program;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Begeleid. van het Onderwijs in Amsterdam;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stg. Expert.centr. Ber.onderw. (Stg. ecbo);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Gemeenschapshuis De Meent en In de Roos;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stg. 'Ned. Bakkerijmus. 'Het Warme Land'';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Ned. Inst. v. Onderz. van de Gezondh.zrg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Ned. Letterkundig Mus. en Doc.centr.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stg. Neurologische Zorgactiviteiten Amsterdam;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Stg. Public. en Reproductierechten Organ. Pro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Stg. Routerings (Int.)Nat. Informatiestromen;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stg. Steunfonds Vluchtelingen Organisaties;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stg. Toekomstbeeld der Techn. & Toek.onderz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stg. Vernieuwing Theaters Diligentia & PePijn;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Sticht. Administr.kant. 'Lovers Events B.V.';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sticht. 'Platform voor Innovatie in Toezicht';;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Sticht. Ruimte voor Onderwijs en Kinderopvang;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Aboriginal Art Museum;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Accessibility;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Achmea rechtsbijstand;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Aids Fonds - Soa Aids Nederland;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting AOVVT;;1;;2;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2
Stichting Augeo;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Beroepseer;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Catharina Ziekenhuis;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Codename Future;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Cultureel Erfgoed De Rotterdam;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting De Ooievaart;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Den Haag Marketing;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3
Stichting derdengelden Vallenduuk Advocaten;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Stichting Enactus Haagse Hogeschool;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Erfgoed Oud-Poelgeest;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Expertisecentrum Discriminatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Stichting FairWork;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Stichting Flevoziekenhuis;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Fonds Instituut Clingendael;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Gilde Den Haag;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Grotius Academie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting GZC Donk Promotion;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Haags Historisch Museum;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Haags Openbaar Vervoer Museum;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Hanzehogeschool Groningen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting HCO;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Hogeschool Leiden;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Humanity House;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stichting Iza Kassandra;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Koorenhuis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Korrelatie;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Middin;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Mind at Work;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Stichting MOVISIE;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Museum Engelandvaarders;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Nederlands Migratie Instituut;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
