"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1201","Tiffany Lakes Single Family Homes","Platte","Platte County","302.01","* 2,748,513","* 1,137,349","10805","N","Cosby","Av","10805 N Cosby Av","2017","Underway","* 28","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 63","63 single family homes built since 2002","Tiffany Land Development","No","No"
"1178","Estates of Bristol Park Single Family Homes","Clay","North Kansas City","213.05","* 2,762,836","* 1,137,282","1101","NW","108th","Ct","1101 NW 108th Ct","2007","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 27","275 single family homes built since 2002","David K. Miller","No","No"
"1572","Bell Prairie Elementary School","Clay","North Kansas City","213.03","* 2,774,284","* 1,137,056","3000","NE","108th","St","3000 NE 108th St","2009","Completed","* 21","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $21 million elementary school","North Kansas City School District","No","No"
"1137","Congress Building I","Platte","Park Hill","302.01","* 2,740,890","* 1,137,051","10760","N","Congress","Av","10760 N Congress Av","2002","Completed","* 3","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 44,000 sq. ft. office building","Watkins & Company","No","No"
"1135","Krispy Kreme Bakery","Platte","Park Hill","302.01","* 2,740,890","* 1,137,051","10760","N","Congress","Av","10760 N Congress Av","2003","Completed","* 5","Non-Residential","Building","Use Conversion","Industrial","Building","Use Conversion","Industrial"," ",,,,," ","conversion of existing building to create 30,000 sq. ft. bakery","Krispy Kreme Doughnuts","No","No"
"1594","107th and N. Oak Commercial","Clay","North Kansas City","213.05","* 2,767,479","* 1,136,744","10701","N","Oak","Tfwy","10701 N Oak Tfwy","2008","Completed","* 7","Non-Residential","Building","New","Retail","Building","New","Retail / Office"," ",,,,," ","new 59,000 sq. ft. commercial development with convenience store, other retail and office space","Andy Nordland","No","No"
"1370","Staley Farms Townhomes","Clay","North Kansas City","213.03","* 2,773,766","* 1,136,719","2114","NE","107th","Te","2114 NE 107th Te","2018","Underway","* 19","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 46","46 townhomes built since 2004","Intell Staley Farms LLC","No","No"
"630","LifeTouch Publishing","Platte","Park Hill","302.01","* 2,738,359","* 1,136,630","10800","N","Ambassador","Dr","10800 N Ambassador Dr","1999","Completed","* 7","Non-Residential","Building","New","Office","Building","New","Office / Warehouse"," ",,,,," ","new 122,000 sq. ft. office / warehouse building","B.A. Karbank and Co.","No","No"
"727","Reynolds Aluminum Distribution Center","Platte","Park Hill","302.01","* 2,740,338","* 1,136,624","10707","N","Pomona","Av","10707 N Pomona Av","2000","Completed","* 6","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 77,000 sq. ft. distribution center","Reynolds Aluminum Supply ","No","No"
"1613","Kelly Brook Elementary School","Clay","North Kansas City","213.1","* 2,790,746","* 1,136,573","7349","NE","108th","St","7349 NE 108th St","2010","Completed","* 12","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $12 million school","Liberty School District","No","No"
"1373","Brooke Meadows Single Family Homes","Clay","Liberty","218.03","* 2,797,309","* 1,136,527","10722","N","Lane","Av","10722 N Lane Av","2017","Underway","* 22","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 76","76 single family homes built since 2003"," ","No","No"
"831","Auburn Hills Single Family Homes","Clay","North Kansas City","213.05","* 2,769,197","* 1,136,309","809","NE","107th","St","809 NE 107th St","2002","Completed","* 23","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 160","160 single family homes built 1990 to 2002","Auburn Hills Development","No","No"
"991","Mullins Corner Duplexes and Fourplexes","Clay","North Kansas City","213.05","* 2,767,967","* 1,136,234","533","NE","107th","St","533 NE 107th St","1999","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 68","36 duplex units and 32 fouplex units built 1990 to 1999"," ","No","No"
"1857","Staley Meadows Single Family Homes","Clay","North Kansas City","213.05","* 2,770,416","* 1,136,137","1307","NE","107th","St","1307 NE 107th St","2019","Underway","* 12","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 42","42 single family homes built since 2011"," ","No","No"
"1575","Weber North American Headquarters","Platte","Park Hill","302.01","* 2,738,816","* 1,136,112","10701","N","Ambassador","Dr","10701 N Ambassador Dr","2007","Completed","* 5","Non-Residential","Building","New","Distribution","Building","New","Distribution / Office"," ",,,,," ","new $5 million distribution and office facility","Weber, Inc.","No","No"
"1512","Fairfield Gardens Single Family Homes","Clay","North Kansas City","213.05","* 2,771,355","* 1,136,051","1414","NE","106th","Te","1414 NE 106th Te","2018","Underway","* 18","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 62","58 single family homes and 4 fourplex units built since 1990"," ","No","No"
"1025","Kellybrook Single Family Homes","Clay","Liberty","213.1","* 2,792,915","* 1,136,046","7907","NE","107th","St","7907 NE 107th St","2013","Completed","* 44","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 211","211 single family homes built since 2002","Tim Harris","No","No"
"814","Quail Ridge Single Family Homes","Clay","Liberty","213.1","* 2,795,282","* 1,135,913","10635","N","Wallace","Av","10635 N Wallace Av","2001","Completed","* 19","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 134","134 single family homes built 1990 to 2001"," ","No","No"
"1687","Pure Fishing Distribution Center","Platte","Park Hill","302.01","* 2,741,221","* 1,135,807","7501","NW","106th","Te","7501 NW 106th Te","2008","Completed","* 20","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 400,000 sq. ft. distribution center","First Industrial Realty Trust","No","No"
"763","Fox Hill Elementary School","Clay","North Kansas City","213.06","* 2,767,404","* 1,135,665","545","NE","106th","St","545 NE 106th St","1990","Completed","* 6","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $6 million school","North Kansas City School District","No","No"
"1546","Ambassador Office Park Condos","Platte","Park Hill","302.01","* 2,738,886","* 1,135,553","10600","N","Ambassador","Dr","10600 N Ambassador Dr","2009","Completed","* 25","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 136,000 sq. ft. office condo complex","Watkins & Company","No","No"
"1823","Manderley Single Family Homes","Clay","Liberty","218.03","* 2,803,982","* 1,135,548","10611","N","Hedges","Av","10611 N Hedges Av","2018","Underway","* 22","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 30","30 single family homes built since 2009","Brownfig Development","No","No"
"1699","Kansas City Sausage Plant","Platte","Park Hill","302.01","* 2,739,883","* 1,135,532","8001","NW","106th","St","8001 NW 106th St","2009","Completed","* 4","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new 37,000 sq. ft. industrial plant","Kansas City Sausage LLC","No","No"
"2002","Pine Grove Limited Single Family Homes","Clay","North Kansas City","213.03","* 2,780,526","* 1,135,277","10504","N","Spruce","Av","10504 N Spruce Av","2018","Underway","* 7","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 14","14 single family homes built since 2005",,"No","No"
"1946","KCI Intermodal BusinessCentre II","Platte","Park Hill","303.08","* 2,735,617","* 1,134,986","10501","N","Transcon","Dr","10501 N Transcon Dr","2014","Completed","* 33","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 352,000 sq. ft. of distribution space","Trammell Crow Kansas City Development Inc.","No","No"
"2035","KCI Intermodal BusinessCentre III","Platte","Park Hill","303.08","* 2,735,617","* 1,134,986","10501","N","Transcon","Dr","10501 N Transcon Dr","2015","Underway","* 17","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 315,000 sq. ft. distribution building","Trammell Crow and Clarion Partners","No","No"
"1068","Livestock Marketing Association Offices","Platte","Park Hill","302.01","* 2,739,389","* 1,134,843","10510","N","Ambassador","Dr","10510 N Ambassador Dr","2003","Completed","* 3","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 21,000 sq. ft. office building","Livestock Marketing Association","No","No"
"1195","Pine Grove Pointe Single Family Homes","Clay","North Kansas City","213.03","* 2,781,918","* 1,134,628","10409","N","Lawn","Av","10409 N Lawn Av","2017","Underway","* 20","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 55","55 single family homes built since 2003","Michael Pursell","No","No"
"1818","Fed. Grain Inspection Services Remodeling","Platte","Park Hill","302.01","* 2,740,361","* 1,134,239","10383","N","Ambassador","Dr","10383 N Ambassador Dr","2011","Completed","* 7","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","$7 million remodeling of office and laboratory space","U.S. Government","No","No"
"1667","Staley Farms, The Enclave Single Family Homes","Clay","North Kansas City","213.03","* 2,775,320","* 1,134,189","2512","NE","103rd","Te","2512 NE 103rd Te","2017","Underway","* 5","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 9","9 single family homes built since 2006"," ","No","No"
"833","Deerfield East Single Family Homes","Clay","North Kansas City","213.06","* 2,766,702","* 1,134,112","10308","N","Grand","Av","10308 N Grand Av","2000","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 65","65 single family homes built 1990 to 2000"," ","No","No"
"829","Fox Hill Single Family Homes","Clay","North Kansas City","213.06","* 2,770,619","* 1,134,086","10318","N","Tracy","Av","10318 N Tracy Av","2002","Completed","* 25","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 168","168 single family homes built 1990 to 2002","Tower Properties Co.","No","No"
"832","Deerfield Single Family Homes","Clay","North Kansas City","213.06","* 2,765,505","* 1,133,940","10303","N","Wyandotte","St","10303 N Wyandotte St","1996","Completed","* 14","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 111","111 single family homes built 1990 to 1996"," ","No","No"
"775","New Mark Apartments","Clay","North Kansas City","213.06","* 2,768,290","* 1,133,850","10397","N","Cherry","Dr","10397 N Cherry Dr","2000","Completed","* 15","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 323","323 new multifamily housing units","Tower Properties Co.","No","No"
"1184","Hawksbury Single Family Homes","Platte","Park Hill","302.01","* 2,743,711","* 1,133,803","10300","N","Avalon","Av","10300 N Avalon Av","2018","Underway","* 34","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 91","91 single family homes built since 2002","JARR Investors","No","No"
"1701","KCI Intermodal BusinessCentre Infrastructure","Platte","Park Hill","303.08","* 2,735,215","* 1,133,800","10300","N","Amity","Av","10300 N Amity Av","2009","Completed","* 15","City Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road, Sewer"," ",,,,," ","$15 million of road, sewer and other infrastructure improvements","City of Kansas City, MO","No","No"
"1516","Brentwood Place Single Family Homes","Clay","Liberty","213.1","* 2,797,461","* 1,133,648","10314","N","Laurel","Av","10314 N Laurel Av","2013","Completed","* 15","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 67","67 single family homes built since 2005"," ","No","No"
"1194","Pine Grove Meadows Single Family Homes","Clay","North Kansas City","213.03","* 2,780,958","* 1,133,608","4305","NE","103rd","Ct","4305 NE 103rd Ct","2017","Underway","* 37","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 154","154 single family homes built since 2003","Michael Pursell","No","No"
"1244","Platte Purchase Park","Platte","Platte County","302.01","* 2,758,228","* 1,133,605",," "," "," ","       ","2007","Completed","* 10","Other Capital Improvement","Open Space","New","Recreation","Open Space","New","Recreation"," ",,,,," ","new 140-acre park","Platte County","No","No"
"1515","Trails of Brentwood Single Family Homes","Clay","Liberty","213.1","* 2,796,442","* 1,133,538","8713","NE","101st","St","8713 NE 101st St","2018","Underway","* 16","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 86","86 single family homes built since 2005"," ","No","No"
