Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
485,Ward Parkway Shopping Center/Theaters,Jackson,8600, ,Ward,Pkwy,1994,Completed,34,Non-Residential,Building,Renovation,Retail,Building,Renovation / Use Conversion / Expansion,Retail / Entertainment, ,,910000,,,,"renovation of 910,000 sq. ft. shopping mall, including 60,000 sq. ft. expansion and conversion of some existing space to create a 22-screen movie complex",Ward Parkway Center,No,No,"8600 Ward Pkwy
Kansas City, MO
(38.97211338700049, -94.6056733479997)",237,1,7,162
355,Pitcher Academy Elementary School,Jackson,9915,E,38th,Ter,1994,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million school,Kansas City School District,Yes,No,"9915 38th Ter
Kansas City, MO
(39.05292364100046, -94.46391141799967)",156,3,7,37
448,Linwood Square Shopping Center,Jackson,, , , ,1994,Completed,6,Non-Residential,Building,New,Retail,Building,New,Retail, ,,56000,,,,"new 56,000 sq. ft. shopping center near the original Linwood Shopping Center", ,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
758,Hallmark MIS Renovation,Jackson,2601, ,McGee,St,1994,Completed,6,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,200000,,,,,$6 million office building renovation,Hallmark,No,No,"2601 McGee St
Kansas City, MO
(38.886373269000444, -94.59168820099967)",159,1,7,129
790,Rockhurst Townhomes,Jackson,5210, ,Paseo, ,1994,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,44,44 new townhouses,Rockhurst University,No,No,"5210 Paseo
Kansas City, MO
(39.03216650200045, -94.56770931899968)",1,2,7,165
665,Smart One and Two Warehouses,Jackson,6000, ,Stilwell,Av,1994,Completed,5,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,250000,,,"new warehouses totaling 250,000 sq. ft.",Boyd Group,No,No,"6000 Stilwell Av
Kansas City, MO
(39.14378003000047, -94.5112196129997)",53,4,7,144
693,Cummins Mid-America Diesel Sales/Service,Clay,8201,NE,Parvin ,Rd,1995,Completed,4,Non-Residential,Building,New,Heavy Commercial,Building,New,Heavy Commercial / Warehouse, ,,,70000,,,"new 70,000 sq. ft. building for heavy commercial uses",Cummins Mid-America,No,No,"8201 Parvin Rd
Kansas City, MO
(39.16830289900048, -94.48192036599966)",119,6,4,89
742,Federal Employees Credit Union Renovation,Jackson,9300, ,Troost,Av,1995,Completed,4,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$4 million office building renovation,Federal Employees Credit Union,No,No,"9300 Troost Av
Kansas City, MO
(38.958394730000464, -94.57761591999969)",50,2,7,163
670,Kansas City Auto Auction Expansion,Clay,3901,N,Skiles,Av,1995,Completed,6,Non-Residential,Building,Expansion,Heavy Commercial,Building,Expansion,Heavy Commercial / Warehouse, ,,,110000,,,$6 million expansion to heavy commercial operation,Kansas City Auto Auction,No,No,"3901 Skiles Av
Kansas City, MO
(39.16537030100045, -94.48461489699969)",119,6,4,89
445,J.A. Rogers Academy Middle School,Jackson,6400,E,23rd,St,1995,Completed,11,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 152,000 sq. ft. school",Kansas City School District,No,No,"6400 23rd St
Kansas City, MO
(39.0830329260005, -94.50988688899969)",6,3,7,94
667,DST Systems Alterations,Jackson,7201,E,64th,Ct,1995,Completed,10,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$10 million in alterations to office building,DST Systems,No,No,"7201 64th Ct
Kansas City, MO
(39.01030621700045, -94.5021358679997)",169,2,7,37
534,St. Joseph Medical Mall,Jackson,1000, ,Carondelet,Dr,1995,Completed,34,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"220,000 sq. ft. medical office building",St. Joseph Hospital,No,No,"1000 Carondelet Dr
Kansas City, MO
(38.935051202000466, -94.6016736469997)",90,1,7,162
443,Basie Court Apartments,Jackson,1940, ,Woodland,Av,1995,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,88,88 new multifamily housing units ,Black Economic Union,No,Yes,"1940 Woodland Av
Kansas City, MO
(39.089159330000484, -94.56113071699968)",234,3,7,92
523,Hillcrest Community Center,Jackson,10401, ,Hillcrest,Rd,1995,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,new community center,"City of Kansas City, MO",No,No,"10401 Hillcrest Rd
Kansas City, MO
(38.936188236000476, -94.5209170499997)",108,1,7,143
465,Bishop Spencer Place Housing for Elderly,Jackson,4301, ,Madison,Av,1995,Completed,14,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,134,"new housing for the elderly, with 60 independent living units, 30 assisted living units, and 44 units in a Health Care Center",Episcopal Diocese of West Missouri,No,Yes,"4301 Madison Av
Kansas City, MO
(39.049487670000474, -94.59697509499966)",44,4,7,50
884,Creekwood Medical Offices - II,Clay,5400,N,Oak,St,1995,Completed,7,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,new $7 million medical office complex,"Creekwood Construction, Inc.",No,No,"5400 Oak St
Kansas City, MO
(39.029047911000475, -94.58299977199965)",65,4,7,44
529,Grandview Road Bridge over I-435,Jackson,, , , ,1995,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
525,Longview Parkway: 107th – Raytown Rd.,Jackson,, , , ,1995,Completed,11,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,$11 million new boulevard,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
819,Maple Woods Estates Single Family,Clay,2439,NE,79th,St,1995,Completed,16,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,56,56 single family homes built 1990 to 1995,Wild Berry Development Co.,No,No,"2439 79th St
Kansas City, MO
(39.23734331600048, -94.54908586199969)",164,6,4,154
389,NationsBank Technological Center,Platte,, , , ,1995,Completed,26,Non-Residential,Building,New,Office,Building,New,Office, ,100000,,,,,"new 100,000 sq. ft. office building",Boatmen's Bank,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
771,Northpointe Apartments,Clay,7901,N,Hickory,St,1995,Completed,6,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,158,158 new multifamily housing units, ,No,No,"7901 Hickory St
Kansas City, MO
(39.23789662100046, -94.59227681099969)",59,5,4,154
514,Swope Parkway Health Center,Jackson,3801, ,Blue,Pkwy,1995,Completed,21,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"new 120,000 sq. ft. medical center",Swope Parkway Health Center,No,No,"3801 Blue Pkwy
Kansas City, MO
(39.035961614000485, -94.54062479199968)",206,2,7,157
497,Friendship Village Apartment Rehabilitation,Jackson,3901,E,56th,Ter,1995,Completed,8,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,145,renovation of 145-unit apartment complex,Blue Hills Homes Corp.,No,No,"3901 56th Ter
Kansas City, MO
(39.02319259300049, -94.53981075099966)",170,2,7,157
755,St. Paul School of Theology Renovation,Jackson,5123,E,Truman,Rd,1995,Completed,4,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$4 million school renovation,St. Paul School of Theology,No,No,"5123 Truman Rd
Kansas City, MO
(39.09413280300049, -94.52253021599967)",140,3,7,95
876,Sommer Allibert Industrie Plant,Clay,4000,N,Kimball,Av,1995,Completed,20,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,110000,,,"new 110,000 sq. ft. industrial building",Sommer Allibert Industrie,No,No,"4000 Kimball Av
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
509,Southeast Branch Library,Jackson,6242, ,Swope,Pkwy,1995,Completed,2,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 15,000 sq. ft. library",Kansas City Public Library,No,No,"6242 Swope Pkwy
Kansas City, MO
(39.01266200800046, -94.54233591299965)",16,2,7,157
516,Zoo / IMAX Theater,Jackson,6700, ,Zoo,Dr,1995,Completed,76,Non-Residential,Building,Expansion,Recreation,Building / Open Space,Expansion / Upgrade,Recreation, ,75000,,,,,"expansion and upgrade of exhibit facilities, plus new 75,000 sq. ft. entrance building for education, offices and 400-seat IMAX Theater","City of Kansas City, MO",No,No,"6700 Zoo Dr
Kansas City, MO
(39.00800628100046, -94.53158861099968)",52,2,7,151
671,Bancroft Elementary School Renovation,Jackson,4300, ,Tracy,Av,1995,Completed,3,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$3 million school renovation,Kansas City School District,No,No,"4300 Tracy Av
Kansas City, MO
(39.04867279600046, -94.57005583399967)",204,3,7,165
672,Metro Park Warehouse - Executive Park,Jackson,6399, ,Stilwell,Av,1995,Completed,7,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,200000,,,"new 200,000 sq. ft. warehouse",Metro Park Warehouse Inc.,No,No,"6399 Stilwell Av
Kansas City, MO
(39.143597016000456, -94.50699690999966)",53,4,7,144
668,Blue Ridge Mall Renovation,Jackson,4200, ,Blue Ridge,Bl,1995,Completed,6,Non-Residential,Building,Renovation,Retail,Building,Renovation,Retail, ,,975000,,,,$6 million renovation of shopping mall,Blue Ridge Mall,No,No,"4200 Blue Ridge
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
666,Centennial Office Building Addition,Jackson,210,W,10th,St,1995,Completed,9,Non-Residential,Building,Expansion,Office,Building,Expansion,Office / Parking, ,51000,,,,,"51,000 sq. ft. office building addition and new parking 325-space parking garage",DST Realty Inc.,No,No,"210 10th St
Kansas City, MO
(39.10233839300048, -94.58600983099967)",5,4,7,72
748,Ramada Inn Southeast Renovation,Jackson,8700, ,Hillcrest,Rd,1995,Completed,2,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,,,$2 million hotel renovation,Ramada Inn Southeast,No,No,"8700 Hillcrest Rd
Kansas City, MO
(38.96720673700048, -94.52113971899968)",139,2,7,151
669,Northeast Middle School Remodeling,Jackson,4904, ,Independence,Av,1995,Completed,5,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$5 million remodeling of school,Kansas City School District,No,No,"4904 Independence Av
Kansas City, MO
(39.10544202000045, -94.5247306119997)",192,4,7,70
737,Robeson School Renovations,Jackson,8201, ,Holmes,Rd,1995,Completed,10,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$10 million school renovation,Kansas City School District,No,No,"8201 Holmes Rd
Kansas City, MO
(38.97826912200048, -94.58094529499965)",197,2,7,163
692,Aviation Department Headquarters,Platte,601, ,Brasilia,Av,1995,Completed,4,Non-Residential,Building,New,Office,Building,New,Office, ,40000,,,,,"new 40,000 sq. ft. office building","City of Kansas City, MO",No,No,"601 Brasilia Av
Kansas City, MO
(39.30965033600046, -94.71534735499966)",203,5,3,130
447,HAZMAT Fire Station,Jackson,6600,E,Truman,Rd,1995,Completed,4,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 17,000 sq. ft. hazardous materials response fire station","City of Kansas City, MO",No,No,"6600 Truman Rd
Kansas City, MO
(39.093774608000444, -94.50544257999968)",83,3,7,94
492,Brush Creek Community Center,Jackson,3801, ,Brush Creek,Bl,1995,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,new community center,"City of Kansas City, MO",No,No,"3801 Brush Creek
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
414,Southwest Boulevard Streetscape,Jackson,, , , ,1995,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Sidewalks,Infrastructure / Building / Open Space,Upgrade,Sidewalks / Parking / Facades, ,,,,,,"$5 million project to provide new curbs, gutters, brick sidewalks, trees, planters, streetlights and parking between Washington and 25th Streets","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
606,James Elementary School Remodeling,Jackson,5810, ,Scarritt,Av,1996,Completed,3,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$3 million remodeling of school,Kansas City School District,No,No,"5810 Scarritt Av
Kansas City, MO
(39.114098396000486, -94.51307981299965)",174,4,7,76
531,Prospect Ave. Bridge over Blue River,Jackson,, , , ,1996,Completed,5,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$5 million new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
370,University of Health Sciences Educ. Pavilion,Jackson,1730, ,Independence,Bl,1996,Completed,9,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,"new 96,000 sq. ft. medical education pavilion",University of Health Sciences,No,No,"1730 Independence
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
506,Research Medical Center Office Buildings,Jackson,6410, ,Prospect,Av,1996,Completed,9,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"new medical office buildings with 80,000 sq. ft. of space",Health Midwest,No,No,"6410 Prospect Av
Kansas City, MO
(39.01019824700046, -94.55632495199967)",49,2,7,151
604,Kansas City Financial Management Center,Clay,4241,NE,34th,St,1996,Completed,5,Non-Residential,Building,New,Office,Building,New,Office, ,36000,,,,,new government offices,U.S. Government,No,No,"4241 34th St
Kansas City, MO
(39.1553928350005, -94.52859913099968)",84,6,4,166
557,H & R Block Headquarters Expansion,Jackson,4400, ,Main,St,1996,Completed,13,Non-Residential,Building,Expansion,Office,Building,Expansion,Office, ,102000,3000,,,,"102,000 sq. ft. office expansion",H & R Block Inc.,No,No,"4400 Main St
Kansas City, MO
(39.17524117000045, -94.58133615099968)",62,4,4,167
1022,Red Bridge Place Apts. for Elderly/Disabled,Jackson,11300, ,Colorado,Av,1996,Completed,3,Residential,Building,New,Housing,Building,New,Housing / Social Service,Multifamily,,,,,46,46 new multifamily housing units for the elderly or disabled and supportive services,Catholic Charities of Kansas City-St. Joseph,No,No,"11300 Colorado Av
Kansas City, MO
(38.91964321800049, -94.5299955489997)",34,1,7,149
566,Line Creek Community Cen. & Skating,Platte,5940,NW,Waukomis,Dr,1996,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new community center and 16,000 sq. ft. skating rink","City of Kansas City, MO",No,No,"5940 Waukomis Dr
Kansas City, MO
(39.20209591000048, -94.60836798299965)",153,5,3,66
700,Thoroughbred Ford Showroom,Platte,6530,NW,Barry,Rd,1996,Completed,4,Non-Residential,Building,New,Retail,Building,New,Retail, ,,30000,,,,"new 30,000 sq. ft. auto showroom","Thoroughbred Ford, Inc.",No,No,"6530 Barry Rd
Kansas City, MO
(39.246989176000454, -94.65509507499968)",14,5,3,81
832,Deerfield Single Family Homes,Clay,10303,N,Wyandotte,St,1996,Completed,14,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,111,111 single family homes built 1990 to 1996, ,No,No,"10303 Wyandotte St
Kansas City, MO
(39.28067257200047, -94.58290549299966)",104,5,4,82
716,Fairfield Inn - NW Plaza Circle,Platte,11820,NW,Plaza ,Cir,1996,Completed,3,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,85,,new 85-room hotel,Marriott Corp.,No,No,"11820 Plaza Cir
Kansas City, MO
(39.307990978000475, -94.68410618399969)",203,5,3,130
364,Flamingo Casino,Jackson,1800,E,Front,St,1996,Completed,130,Non-Residential,Building,New,Entertainment,Building / Infrastructure,New,Entertainment, ,,75000,,,,"new 120,000 sq. ft. facility for gambling, restaurants, retail and parking",Hilton Hotels Corp.,No,No,"1800 Front St
Kansas City, MO
(39.12118956000046, -94.56375671199964)",176,4,7,144
782,Benton Boulevard Infill Housing,Jackson,2001, ,Benton,Bl,1996,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,19,19 new infill housing units,Citizens Housing and Information Council,No,No,"2001 Benton
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
605,Foreign Language Middle School,Jackson,3450, ,Warwick,Bl,1996,Completed,7,Non-Residential,Building,Use Conversion,Education,Building,Use Conversion,Education, ,,,,,,conversion of existing building to create school,Kansas City School District,No,No,"3450 Warwick
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
735,Graceland Elementary School Renovation,Jackson,2803,E,51st,St,1996,Completed,3,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$3 million school renovation,Kansas City School District,No,No,"2803 51st St
Kansas City, MO
(39.03363316400049, -94.55208123399967)",175,2,7,157
553,New York Life Office Building Renovation,Jackson,20,W,9th,St,1996,Completed,35,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,200000,,,,,"rehabilitation of 200,000 sq. ft. office building",Zimmer Companies,No,No,"20 9th St
Kansas City, MO
(39.10361431000047, -94.58336936999967)",5,4,7,72
