"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Fountains","David Woods Kemper Memorial Fountain","W. 8th Street and Main Street, Kansas City, 64105","Wheeler Williams",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze","1962","Outside","24/7",,"39.1044898 -94.5831694","https://kcparks.org/places/kemper-david-woods-memorial-fountain/","Also called the “Muse of the Missouri”. Mr. and Mrs. James Kemper, Sr. of a prominent Kansas City banking family presented this memorial to the city in honor of their son, Lt. David W. Kemper, who was killed in action in Italy during World War II. The following words are inscribed on the granite tablet:

Muse of the Missouri

Dedicated

December 2, 1963

In memory of

David Woods Kemper

Well beloved

Who died defending his

Country

The bronze nude depicts the Greek goddess who presided over song, poetry and many arts and sciences.  The statuary represents the Spirit of the Missouri River.  The Muse holds a net from which fish are spilling.  Two hundred sprouts of water form pools in this fountain.

Included with the sculpture is a bronze plaque containing the following:

THE MUSE OF THE MISSOURI

By Wheeler Williams NA

This fountain presented to the Citizens of Kansas City in memory of Lt. David Woods Kemper who was killed in action leading his platoon against the German forces in World War II.","POINT (-94.583165 39.104505)"
"Fountains","Mill Creek Park Eco-Pond Fountain(Mill Creek Park Sanctuary)","Mill Creek Park, 44th Street and J.C. Nichols Pkwy, Kansas City, MO 64111","Jim O",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","2004","Outside","M-Sun 5am-12am",,"39.0461443 -94.5882725","https://www.kcfountains.com/single-post/2016/09/14/Mill-Creek-Eco-Pond-Fountain","This water garden sits in Mill Creek Park north of the J.C. Nichols Memorial Fountain and across the street from St. Luke's Hospital.  It is along the walking path in Mill Creek Park.  There is an overlook to the east of the garden.

There are two small waterfalls that feed the pond and there is a variety of plants and trees in and surrounding the pond.  There are also fish swimming in the pond.  It is also a popular spot for animals such as frogs and birds.  There is a large informational placard placed in front of pond that points out what plants are what and how the pond works.",
"Public Art","Deuce","Kansas City International Airport, Kansas City, MO 64153","James Woodfill",,"Municipal Art Commission","Aviation","Sign Motors and Fluorescent Lights","2002","Inside","24/7","Located in the stair towers, one in each at all Terminal parking garages","39.2991181 -94.7107786",,"Deuce by James Woodfill consists of six rotating, propeller-like light fixtures. Two fixtures are installed in each stair tower of the three Kansas City International Airport Terminal parking garages. The installations have two slowly rotating fixtures that are mounted in various locations in the three stair towers. Woodfill used four-foot long fluorescent lights attached on opposite sides of a rotating motor to create the eight-foot long, spinning signals. Blue and green filters on some of the rotating fixtures create different effects, visible twenty-four hours a day, inside and out.",
"Public Art","Strange Attractor for Kansas City","Kansas City International Airport, Lisbon Ave (Economy Parking), Kansas City, MO 64153","Alice Aycock",,"Municipal Art Commission","Aviation","Aluminum","2007","Outside","24/7",,"39.317068 -94.6964407",,"Alice Aycock wrote of her work, ""The sculpture evokes the spaces created by wind tunnels, which are used to test the aerodynamics of airplane designs. It also suggests future travel through wormholes or time machines imagined in science fiction as well as the astrophysics illustrations of Stephen Hawking. From a distance, the interior space draws the spectator in and gives the long-term parking area a strong focus. The sculpture also suggests  device that could broadcast information from and to outer space. The neon antennas are designed as a vertical counterpoint to the curvature of the tunnel. They also mark the spot and suggest that energy is radiating into and down throught the sculpture.""",
"Attractions","Kansas City Northern Miniature Railroad","6060 N.W. Waukomis Drive. Kansas City, MO 64151",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","Seasonal",,"39.2048538 -94.6127724","https://kcparks.org/places/kansas-city-northern-railroad/",,"POINT (-94.609276 39.204473)"
"Public Art","Cantilever Drum","Emanuel Cleaver II Blvd and Cleveland Ave, Kansas City, MO 64130","Dick Hollander",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","24/7",,"39.038359 -94.5406304",,,"POINT (-94.540644 39.038333)"
"Historical Monuments and Memorials","Lewis And Clark Memorial","West Terrace Park, W. 8th Street and Jefferson Street, Kansas City, MO 64105",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Museums","National World War I Museum and Memorial","2 Memorial Drive, Kansas City, MO 64108",,"Harold Van Buren Magonigle","Kansas City Parks & Recreation Department","National World War I Museum and Memorial",,,,"Check for seasonal hours",,"39.0808521 -94.5858203","https://www.theworldwar.org/",,"POINT (-94.585189 39.077638)"
"Historical Monuments and Memorials","Richardson-Graham Bridge Memorial","300 Gladstone Blvd, Kansas City, MO 64124",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1897","Outside",,,"39.1114307 -94.5461245",,,"POINT (-94.545733 39.111385)"
"Historical Monuments and Memorials","The Colonnade","The Concourse, 200 Benton Blvd, Kansas City, MO 64123","Henry Wright",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone","1907-1908","Outside","M-Sun 5am-12am",,"39.1125003 -94.5447145",,,
"Historical Monuments and Memorials","Alfred Benjamin Memorial","Starlight Road and Pavilion Road, Swope Park, Kansas City, MO 64132","F.H. Parker",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1927","Outside","M-Sun 5am-12am",,"39.0071355 -94.5334149",,,
"Public Art","Dream Play","Marlborough Community Center, 8200 The Paseo, Kansas City, MO 64131","Allan Winkler",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Steel","2000","Inside","M-Th 11am-9pm, F 11am-6pm, Sat 9am-6pm, Sun closed",,"38.9787544 -94.5673493",,"For the Marlborough Community Center project, Winkler creates uplifting images to inspire a sense of fun, play and movement-all aspects of what goes on in a community center. Winkler created hand-down pictures in a permanent medium, cut out of steel in a decorative, simple fashion. Winkler also chose the placement of his images; some hang in the windows in the gym while others mark the restrooms. Some are hidden in the rafters and one is wrapped around a heating duct, making their viewing a challenge for the most curious.",
"Historical Monuments and Memorials","Sovereign Wings: Clay County Veterans Memorial","Anita B. Gorman Park, Southeast corner of North Oak Trfy & N.E. Vivion Road, Kansas City, MO 64118","Sandy Scott",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze",,"Outside","M-Sun 5am-12am",,"39.1804754 -94.5735152",,,
"Historical Monuments and Memorials","Sen. Thomas Hart Benton Memorial","Kessler Park, 3200 Gladstone Blvd, Kansas City, MO 64123","John Van Brunt and John Williams & Co.",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Granite and Bronze","1915","Outside","M-Sun 5am-12am",,"39.1166836 -94.5456814",,,
"Fountains","Marlborough Plaza Fountain","The Paseo and E. 79th Street, Kansas City, MO 64131",,"Jocelyn Ball-Edson, restoration","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"Purchased 1923, Relocated to current location in 1968, Conserved 2012","Outside","24/7",,"38.9839416 -94.5668489","https://www.kcfountains.com/single-post/2016/07/28/Marlborough-Plaza-Fountain","This fountain, originally called the ""Boy and a Fish"" fountain, was purchased in 1923 by J. C. Nichols and was located on the Country Club Plaza until 1968 when it was moved to its present location at 79th and The Paseo to accommodate the Seville Light Fountain. The original sculpture of ""Boy and a Fish"" is no longer here, but the ornate fountain basins remain intact. 

In 2012, the Marlborough Community Coalition partnered with the KCMO Parks Department to conserve the fountain and renovate the site. It was subsequently renamed the Marlborough Plaza Fountain.","POINT (-94.566536 38.983939)"
"Museums","The Kansas City Museum","3218 Gladstone Blvd, Kansas City, MO 64123",,"Henry F. Hoit","Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1910",,,,"39.115796 -94.5424184","https://kansascitymuseum.org/","The Kansas City Museum preserves, interprets, and celebrates Kansas City through collections, exhibitions, and bold programs that reflect the City’s evolution and spirit, and engage visitors in unfolding stories about Kansas City’s vibrant history, cultural heritage, and pride.","POINT (-94.542455 39.115317)"
"Public Art","Firefighters Memorial Fountain","W 31st Street & Pennsylvania Ave, Kansas City, MO 64108","Barbara Grygutis",,"Municipal Art Commission","Kanas City Missouri Fire Department","Aluminum, electric lights","Renovated in 2015","Outside","24/7",,"41.8352466 -87.8351226",,"The Firefighters Memorial Fountain commemorates firefighters who have died in service to the city. The improvements to the 1991 fountain were part of the City's One Percent for Art program; funds for the renovation came from the construction of several fire stations. Rather than commissioning an art piece for each station, the money was directed to the memorial was directed to the memorial project. The new design includes aluminum panels engraved with the names of fallen firefighters. The panels are lighted at night, giving the memorial a more striking appearance. Barbara Grygutis, the artist responsible for the renewed design said, ""The plaza has not been used in a while, so the idea is that people, the community, will use it again. The idea is to reinvigorate it, and to pay homage to the firefighters.""",
"Public Art","River Jacks","Hillcrest Community Center, 10401 Hillcrest Road, Kansas City, MO 64134","Michele Oka Doner",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Bronze","1996","Inside","M-Th 7am-9pm, F 7am-6pm, Sat-Sun 9am-6pm",,"38.9360348 -94.5213546",,"Blending the line betweeen art and function, Michele Oka Doner's fireplace and hearth, bronze fire screen and tools fill the Hillcrest Community Center with the spirit history. The title, River Jacks, refers to the native river stones used in the hearth's construction. Doner combines her interests in natural history, archaeology, and anthropology into a piece that, in her own words, ""evokes the ancestral storage containers of early Missourians."" The work is as functional as it is evocative.",
"Fountains","Westside Fountain","Southwest Blvd and Summit Street, Kansas City, MO 64108","Pete Loughlin and Jocelyn Ball",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Tiles","2001","Outside","24/7",,"39.0847186 -94.5938359","https://www.kcfountains.com/single-post/2016/09/04/Westside-Fountain","As of 2018, this fountain was permanently removed from operation due to various problems with the fountain and its equipment.  It is expected to be removed at some later date. 

Located in a small plaza at the intersection of Southwest Boulevard and Summit Street, the Westside Fountain is the result of major effort by Kansas City's Hispanic community.

The fountain consists of a large jet in the middle of a upper basin.  The upper basin has scuppers all around it and the water flows through them down into the lower basin.  The fountain is circular in shape and has two steps around it.

The Westside fountain is also one of the more unique and colourful fountains in Kansas City.  Small blue tiles cover the outside of the upper basin while dark orange or tan tiles cover the top.  Larger tiles make up a colourful pattern that repeats in between each set of scuppers.  Five painted vertical steel beams topped with colorful elements form a semi-circle behind the fountain.  Landscaping fills in the area between the beams and the fountain.","POINT (-94.593811 39.084718)"
"Fountains","The Concourse Fountain","The Concourse, 200 Benton Blvd, Kansas City, MO 64123",,"Designer: David Swartz, Water's Edge Aquatic Design","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"2002","Outside","M-Sun 5am-12am","St. John Avenue and Benton Boulevard","39.1125003 -94.5447145","https://www.kcfountains.com/single-post/2016/08/21/The-Concourse-Fountain","This fountain was designed in 2001 by David Swartz of Water's Edge Aquatic Design and was installed and first turned on in 2002.  It includes several water jets with adjustable spray heights.  During the summer, it is used by kids as a splash pad to beat the heat.  Due to a special design that can keep water flowing in freezing temperatures, it is one of three city fountains (the others are the Northland Fountain and the Delbert Haff Circle Fountain) that runs year-round.

The original water feature at this location was a shallow pool built in 1939, known as the Northeast Concourse Casting Pool, that was used to sail small boats and as a casting pool.  In the 1940's, it was popular among fishermen who could practice their art of casting.  A few small sprays of water were added to the pool in the 1980s, giving it a whole new identity.",
"Public Art","Winds of Aphrodite","Kansas City Convention Center, 12th Street and Central Street, Kansas City, MO 64105","Zhao Suikang",,"Municipal Art Commission","Convention and Facilities Department","Aluminum Screen over a Galvanized Steel Superstructure","2008","Outside","24/7",,"39.0987398 -94.5877683",,"Zhao Suikang collaborated with Crawford Architects to develop an art and design concept that was realized through the expertise of A. Zahner Co. The work is integrated into the north façade of the Convention Center's loading dock. Winds of Aphrodite appears to be a massive of fabric, tossed by the wind and caught on the corner, falling and gracefully covering a large portion of the building. The artist's intention was to complement the large, utilitarian structure with a cover that appeared soft and mysterious. For observers, the net-like aluminum screen changes the functional loading dock into an encounter with the imagination.",
"Historical Monuments and Memorials","Cancer There’s Hope","Bloch Cancer Survivors Park, Kansas City, MO 64112","Victor Samones and Vernon Jones",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze",,"Outside","M-Sun 5am-12am",,"39.0414146 -94.5971097",,,
"Historical Monuments and Memorials","Massasoit","Emanuel Cleaver II Blvd and Brookside Blvd, Kansas City 64111","Cyrus E. Dallin",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Quartzite and Bronze","1979-1997","Outside","24/7",,"39.0421005 -94.5865947",,,"POINT (-94.586871 39.04223)"
"Public Art","The Thinker","Nelson-Atkins Museum of Art, 4525 Oak Street, Kansas City MO 64111","Aguste Rodin",,"Kansas City Parks & Recreation Department","Nelson-Atkins Museum of Art","Bronze","1951","Outside",,,"39.0449678 -94.5809233",,,
"Historical Monuments and Memorials","Precious Doe Memorial","Hibbs Park, E. 59th Street and Spruce Ave, Kansas City, MO 64130",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","M-Sun 5am-12am",,"39.0181237 -94.5358527",,,
"Historical Monuments and Memorials","Battle Of Westport Grand Army Of The Republic Monument","The Paseo and E. 63rd Street, Kansas City, MO 64110","A.J. Dehner and Quality Monument Co.",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Light Frey Georgia Granite","1937","Outside","24/7",,"39.0130801 -94.569958",,,"POINT (-94.56816 39.012933)"
"Public Art","Le Grand Noeud – The Grand Knot","Mill Creek Park, West 43rd Street and Broadway, Kansas City, MO 64111","Kim Hamisky",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","2005","Outside","M-Sun 5am-12am",,"39.0461443 -94.5882725",,,
"Public Art","Pequeno Miramide","2050 W. Pennway Terrace, Kansas City, MO 64108","Christian Mann",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside",,,"39.0889702 -94.5961581",,,"POINT (-94.595895 39.089179)"
"Historical Monuments and Memorials","George Washington Memorial","Washington Square Park, 100 E Pershing Road, Kansas City, MO 64108","Wight and Wight",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1925","Outside","M-Sun 5am-12am",,"39.0850582 -94.5821114",,,
