"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","519750","519750","KC Airports","KC Airports","Fuel Flowage Fees","KCI Airport"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Shoal Ck Devel Impact Fee","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","2810448","2810448","Health Levy","Health Levy","Food Inspection Fees","Service Charges-Health"
"2019","Finance and Governance","Finance","Treasury","Miscellaneous Revenues","0","0","General Fund","General Fund","Reimb-Purchasing Card","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","17000","17000","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","2093086","2093086","Health Levy","Health Levy","Rr & Util Tax Real Prop-Curr","Property Taxes"
"2019","Finance and Governance","General Services","Procurement","Service Charges-General Gov't","250000","250000","General Fund","General Fund","Volume Purchasing Rebates","Service Charges-General Gov't"
"2019","Public Safety","Police","Police Revenues","Federal Grants","6914221","6914221","Police Grant","Police Grant","Fed Infrastruc. Security Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","KCI Airport","20000","20000","Parks and Recreation","Parks and Recreation","General Land Space Concession","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","6000","6000","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","206300","206300","Capital Improvements","Capital Improvements","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","963600","963600","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Proceeds from TDD Sales Tax","Other Taxes"
"2019","Public Safety","Police","Police Revenues","Federal Grants","0","0","General Fund","General Fund","12 COPS CHP Veterans","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax","44000000","44500000","General Fund","General Fund","Earnings Tax-Profit-Current","Earnings Tax"
"2019","Finance and Governance","Finance","Finance Revenues","Other Contributions","930200","930200","STIF East Village","STIF East Village","Contribution State TIF","Other Contributions"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","479977","479977","Sewer","Sewer","Platte County Sewer Serv Chrg","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","11600","11600","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","17650","17650","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","93200","93200","KC Airports","KC Airports","Terminal Lease - NonSig","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","25100","25100","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Steam Companies-Emerg Conra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","31516","31516","Convention and Tourism","Convention and Tourism","Novelties","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","30000","30000","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Public Safety","Police","Police Revenues","Service Charges-General Gov't","28000","28000","Police Grant","Police Grant","Training Fees/Services","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","2000","2000","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","58000","58000","Parks and Recreation","Parks and Recreation","Summer Food Svc Prgm","Federal Grants"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","American Royal Misc Charges","Rental Income"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","State Grants","0","0","Capital Improvements","Capital Improvements","Federal Grant Revenue","State Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","0","0","Water Working Capital","Water Working Capital","Sale Of Property","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","77020","77020","General Fund","General Fund","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes","140000","140000","General Fund","General Fund","Restaurant Tax","Convention & Tourism Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","396100","396100","STIF Hotel President","STIF Hotel President","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Staffing","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Summer Food Svc Prgm","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Summer Food Svc Prgm","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health and Medical Care","Swope Ridge Geriatric","Miscellaneous Revenues","153000","153000","Health Levy","Health Levy","Miscellaneous Income","Miscellaneous Revenues"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Fines & Forfeitures","0","0","Inmate Security","Inmate Security","Neighborhood Court Fines","Fines & Forfeitures"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","43800","43800","STIF East Village","STIF East Village","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","20000","20000","Water","Water","Sale Of Property","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","Liberty Memorial Trust Fund","Liberty Memorial Trust Fund","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Licenses & Permits","24950000","24950000","General Fund","General Fund","Bus  Prof & Occup License-Curr","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","0","0","Revolving Public Improvement","Revolving Public Improvement","Interest On Special Assessment","Special Assessments"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","STIF 12th and Wyandotte","STIF 12th and Wyandotte","EAT-Zoo","Other Taxes"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Service Charges-Public Safety","6240","6240","Street Maintenance","Street Maintenance","Excavation & Dirt Hlng Permits","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","470800","470800","TIF Special Allocation","TIF Special Allocation","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Licenses & Permits","0","0","General Fund","General Fund","Vacant Property Registration","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","3200000","3200000","Economic Development","Economic Development","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Interest","83654","83654","Liberty Memorial Trust Fund","Liberty Memorial Trust Fund","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","175000","175000","Golf Operations","Golf Operations","Golf Cart Rental-Minor Park","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Catering","Rental Income"
