LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
BENEVOLENT PROTECTIVE ORDER OF ELKS 2705,LODGE 2705 OSAGE COMMUNITY,174,ELK LANE,LAURIE,MO,65037,5733744781,41542,48079,RBDE,SBD ,MORGAN,2,00,,,,
AMVETS 94,POST 94,1203,W ST JOSEPH STREET,PERRYVILLE,MO,63775,5735471521,41654,41655,RBDE,SBD ,PERRY,4,00,,,,
CFM NO. 14 003 INC.,CONVENIENT FOOD MART NO. 14 003,701,EASTLAND DRIVE,JEFFERSON CITY,MO,651013891,5736358834,41848,70739,OPL,SOP ,COLE,2,00,"(38.5498953, -92.14898939999999)",58,465,2702
MFA PETROLEUM COMPANY,BREAK TIME #3016,2205,N STADIUM BLVD,COLUMBIA,MO,65201,5734420171,41972,71634,OPL,SOP ,BOONE,2,00,,,,
STEELVILLE COUNTRY CLUB INC.,,269,W. HWY 8,STEELVILLE,MO,65565,5737755992,42332,44312,RBDE,SBD ,CRAWFORD,4,00,"(37.9613938, -91.40669559999999)",67,485,1953
MINIT FOOD MART INC.,MINIT FOOD MART,,HWY 67 NORTH,POPLAR BLUFF,MO,63901,5736865567,42357,74810,OPL,SOP ,BUTLER,4,00,,,,
CHRIS PANCAKES INC.,CHRIS' PANCAKE,5980,SOUTHWEST AVE,ST LOUIS,MO,63139,3146452088,42485,43370,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
RIZZO'S SOUTH COUNTY RESTAURANT INC.,RIZZO'S RESTAURANT,4458,LEMAY FERRY ROAD,ST LOUIS,MO,63129,3144874242,42557,42558,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.4912914, -90.3465713)",51,248,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #170,12921,ENTERPRISE WAY,BRIDGETON,MO,63044,3143449600,42573,0,OPL,    ,ST. LOUIS CO.,3,00,,,,
AMVETS 6,POST 6 ALAN BLEST,2718,CLIFTON AVENUE,ST LOUIS,MO,631392713,3147814071,42632,42633,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6120823, -90.292346)",54,200,2223
VETERANS OF FOREIGN WARS,RALPH V BOBBETT POST 2175,16884,SOUTH 1200 RD.,NEVADA,MO,647727144,4173819276,42654,159988,RBDE,SBD ,VERNON,5,00,,,,
H.C.B. INC.,KNIGHTS OF COLUMBUS #6401,9330,HWY 21,HILLSBORO,MO,63050,6367892744,42701,42702,RBD,SBD ,JEFFERSON,3,00,"(38.281414, -90.53656699999999)",62,268,1967
MIJOY INC.,IMOS PIZZA,215,S KIRKWOOD ROAD,KIRKWOOD,MO,631224359,3149663666,42874,43677,5BDW,5SBD,ST. LOUIS CO.,3,00,"(38.5792736, -90.40660919999999)",51,229,2210
DON HEIL OIL COMPANY INC.,DJ'S II,18571,HWY 32,STE GENEVIEVE,MO,636700127,5738837160,42883,74798,OPL,SOP ,STE. GENEVIEVE,4,00,,,,
SMOKEHOUSE BBQ INC.,SMOKEHOUSE BBQ,6304,N OAK TRAFFICWAY,GLADSTONE,MO,641184704,8164544500,42904,43665,RBD,SBD ,CLAY,1,00,"(39.2090578, -94.5771055)",36,133,2701
RIDGELL ENTERPRISES INC.,OLD FOLKS' LOUNGE,4805,E. 24TH ST.,KANSAS CITY,MO,641274608,8162314334,43178,0,RBD,    ,JACKSON,1,00,"(39.081864, -94.527321)",43,151,525
HIDDEN VALLEY GOLF LINKS OF STONE COUNTY,HIDDEN VALLEY GOLF LINKS OF STONE COUNTY,4455,HIDDEN VALLEY ROAD,CLEVER,MO,656316624,4177432860,43232,84524,OPL,SOP ,STONE,5,00,"(36.9835, -93.3705355)",105,424,2216
MFA PETROLEUM COMPANY,BREAK TIME #3044,3000,W TRUMAN BLVD,JEFFERSON CITY,MO,65101,5734420171,43313,71509,OPL,SOP ,COLE,2,00,"(38.595621, -92.231066)",58,465,2702
HEARTLAND BEVERAGE LTD.,,14220,WYANDOTTE ST.,KANSAS CITY,MO,641451526,8164833700,43371,0,LS,    ,JACKSON,1,00,,,,
SARATOGA LANES INC.,SARATOGA LANES,2725A,SUTTON AVE,MAPLEWOOD,MO,631433037,3146455308,43512,64399,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.611769, -90.320317)",51,226,2210
PASTA HOUSE COMPANY,PASTA HOUSE,6214,S LINDBERGH,ST LOUIS,MO,631237802,3148949161,43575,44588,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5162062, -90.3420855)",51,248,2210
AMVETS 116,POST 116,,HWY 32 WEST,STOCKTON,MO,65785,4172763414,43699,43700,RBDE,SBD ,CEDAR,5,00,,,,
"KRAFT, JOHN W. JR.",JOHNNIE'S 66 SERVICE,,HWY 6,EWING,MO,634400271,5732093467,43827,73146,OPL,SOP ,LEWIS,2,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3036,2600,HWY BLVD   HWY 13,HIGGINSVILLE,MO,64037,5734420171,43870,73492,OPL,SOP ,LAFAYETTE,1,00,,,,
DESTAS MARKET INC.,DESTAS MARKET,2503,N TAYLOR AVE,ST LOUIS,MO,631132503,3145344587,44123,123731,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.662096, -90.245413)",54,200,2223
MANDARIN GARDEN INC.,MANDARIN GARDEN,36,PLAZA 94,ST PETERS,MO,633767405,6369289568,44295,0,5BDW,    ,ST. CHARLES,3,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS,LODGE 919,1705,CHRISTOPHER DRIVE,MEXICO,MO,652653615,5735810727,44372,0,RBD,    ,AUDRAIN,2,00,,,,
STATE LINE SPIRITS & BEVERAGE INC.,STATE LINE SUPERCENTER,21526,HWY 67 S,NEELYVILLE,MO,639548203,5739893358,44442,73415,OPL,SOP ,BUTLER,4,00,"(36.5022297, -90.53836679999999)",106,513,2693
QUIK TRIP CORPORATION,QUIK TRIP #609,702,LEMAY FERRY RD.,ST. LOUIS,MO,631251426,3146318384,44524,71478,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
DU-BOWL LANES INC.,"COVE, THE",2711,LEMAY FERRY ROAD,ST LOUIS,MO,63125,3148923900,44907,44908,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5186278, -90.3077163)",51,248,2210
VETERANS OF FOREIGN WARS,VIRGIL A FAULKNER POST 2025,15035,HWY 63 SOUTH,ROLLA,MO,65401,5733642025,44917,0,RBDE,    ,PHELPS,5,00,,,,
HANNIBAL SANDYS INC.,HARDEES OF MEXICO,1707,N MISSOURI,MACON,MO,63552,6603855811,44924,73047,OPL,SOP ,MACON,2,00,,,,
ROLLA LIONS CLUB INC.,ROLLA LIONS CLUB INC.,1061,S BISHOP AVENUE,ROLLA,MO,654014437,5733644386,45055,0,RBDE,    ,PHELPS,5,00,,,,
SPI INC.,SOCCER DOME,220,EAST AVE,WEBSTER GROVES,MO,63119,3149629281,45106,45107,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6016679, -90.3515649)",51,228,2210
KIDD'S INC.,,1325,BROADWAY,CAPE GIRARDEAU,MO,63701,5733351462,45127,73659,OPL,SOP ,CAPE GIRARDEAU,4,00,"(37.309765, -89.53527)",86,382,2695
KITCHEN PASS RESTAURANT & BAR INC.,KITCHEN PASS RESTAURANT & BAR,1214,MAIN STREET,JOPLIN,MO,648014532,4176237230,45259,0,RBD,    ,JASPER,5,00,,,,
DOMENICO'S AT THE LAKE INC.,DOMENICO'S AT THE LAKE,,HWY 54 & LAKE ROAD 30-A,OSAGE BEACH,MO,65065,5733485335,45316,47035,RBD,SBD ,CAMDEN,2,00,,,,
FILLING STATION INC.,"FILLING STATION, THE",,HWY 43 & O,SOUTHWEST CITY,MO,648637175,4177623670,45450,72598,OPL,SOP ,MCDONALD,5,00,,,,
KANDLBINDER INC.,BLUFF ROAD STATION,6791,HWY 100,WASHINGTON,MO,630901125,6362394525,45536,70858,OPL,SOP ,FRANKLIN,2,00,,,,
VETERANS OF FOREIGN WARS,POST 5896 - NORMAN L. RIGDON,814,KARSH BLVD,FARMINGTON,MO,636403024,5737568852,45591,45594,RBDE,SBD ,ST. FRANCOIS,4,00,"(37.7820152, -90.4075348)",74,324,540
BENEVOLENT PROTECTIVE ORDER OF ELKS,LODGE 2583 - MINERAL AREA COMMUNITY,1438,E CHESTNUT,DESLOGE,MO,636013168,5734314216,45659,45660,RBDE,SBD ,ST. FRANCOIS,4,00,,,,
VETERANS OF FOREIGN WARS,POST 2426,399,W OAK STREET,DESLOGE,MO,636013408,5734313915,45717,45718,RBDE,SBD ,ST. FRANCOIS,4,00,,,,
BIG BOOK CLUB,BIG BOOK CLUB,,HWY 105,EAST PRAIRIE,MO,638450317,5736493251,45766,45767,RBDE,SBD ,MISSISSIPPI,4,00,,,,
FRATERNAL ORDER OF EAGLES 2410,AERIE 2410,1321,MAIN STREET,JOPLIN,MO,648014533,4176230533,45814,50610,RBD,SBD ,JASPER,5,00,"(37.076406, -94.513525)",94,490,1966
EIGHTY HUNDRED CLAYTON CORPORATION,TROPICANA LANES,7960,CLAYTON ROAD,RICHMOND HEIGHTS,MO,631171327,3147810282,45899,45900,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6360566, -90.34212079999999)",51,223,2210
CHARLES JACQUIN ET CIE. INC.,,2633,TRENTON AVE,PHILADELPHIA,PA,191251837,2154259300,46029,0,LS,    ,OUT OF STATE,7,00,"(39.984006, -75.121158)",,,2602
SUNSET LANES INC.,SUNSET LANES,7777,WATSON ROAD,ST LOUIS,MO,631195406,3149612777,46272,46571,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5710524, -90.336615)",51,235,2210
MERELLOS CONVENIENT FOOD MART INC.,MC FOOD MART,10701,PAGE,ST LOUIS,MO,631321015,3144232290,46323,72574,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.692569, -90.396728)",51,204,2210
QUIK TRIP CORPORATION,QUIK TRIP #610,2633,BIG BEND BLVD.,MAPLEWOOD,MO,631432103,3146477114,46367,71862,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.613605, -90.323171)",51,226,2210
PASTA HOUSE COMPANY,PASTA HOUSE,11202,W FLORISSANT,FLORISSANT,MO,630336741,3148387300,46434,47581,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.7720565, -90.2790454)",51,181,2210
HOLY TRINITY SERBIAN EASTERN ORTH.CHURCH,HOLY TRINITY SERBIAN EASTERN ORTH.CHURCH,1910,SERBIAN DRIVE,ST LOUIS,MO,63104,3147763262,46525,47924,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
KNIGHTS OF COLUMBUS 5898,ST. ISIDORE HOME ASSOCIATION,,HWY N,LEOPOLD,MO,63760,5733345445,46604,46605,RBDE,SBD ,BOLLINGER,4,00,,,,
LOYAL ORDER OF MOOSE 587,LODGE 587,,MARTIN SPRING DRIVE,ROLLA,MO,654018049,5733640587,46620,49597,RBDE,SBD ,PHELPS,5,00,,,,
FISCHER'S AMOCO FOOD SHOP,,307,W 5TH STREET,WASHINGTON,MO,630902305,6362395050,46861,71788,OPL,SOP ,FRANKLIN,2,00,,,,
COURTYARD MANAGEMENT CORPORATION,COURTYARD BY MARRIOTT,828,N NEW BALLAS ROAD,CREVE COEUR,MO,63146,3149930515,47046,154930,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.67201, -90.442312)",51,208,2210
TRAFFIC JAM INC.,TRAFFIC JAM,6-C,WESTBURY DRIVE,ST CHARLES,MO,633012537,6367236138,47116,247333,RBD,SBD ,ST. CHARLES,3,00,"(38.78382999999999, -90.520404)",48,195,2177
FREDDIE'S MARKET INC.,FREDDIE'S MARKET,9052,W BIG BEND ROAD,WEBSTER GROVES,MO,631194066,3149681914,47140,72565,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.5763144, -90.3675487)",51,228,2210
QUIK TRIP CORPORATION,QUIK TRIP #608,391,N MAIN STREET,ST. PETERS,MO,633763911,6369703029,47385,71716,OPL,SOP ,ST. CHARLES,3,00,,,,
MOOLAH TEMPLE ASSOCIATION INC.,MOOLAH TEMPLE,12545,FEE FEE ROAD,ST LOUIS,MO,631463807,3148786301,47431,47461,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6949206, -90.457005)",51,208,2210
SCRIVENER OIL COMPANY INC.,SIGNAL FOODS,2415,S CAMPBELL,SPRINGFIELD,MO,65807,4178810832,47432,173393,OPL,OPT ,GREENE,5,00,"(37.17084, -93.296111)",93,493,1960
SCRIVENER OIL COMPANY INC.,SIGNAL FOODS,2415,S CAMPBELL,SPRINGFIELD,MO,65807,4178810832,47432,74788,OPL,SOP ,GREENE,5,00,"(37.17084, -93.296111)",93,493,1960
ST. FRANCIS OF ASSISI CHURCH,ST. FRANCIS OF ASSISI PARISH CENTER,4550,TELEGRAPH ROAD,ST LOUIS,MO,631293318,3144875736,47457,47528,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.4794109, -90.30372609999999)",51,248,2210
HANNIBAL SANDYS INC.,MONROE CITY AMOCO,1007,HWY 24 & 36,MONROE CITY,MO,634561472,5737354296,47502,73060,OPL,SOP ,MONROE,2,00,,,,
AMERICAN LEGION 2,LEON OGIER POST 2,402,E. CHERRY STREET,NEVADA,MO,64772,4176679836,47522,0,RBDE,    ,VERNON,5,00,,,,
AMERICAN LEGION 643,NAYLOR MEMORIAL POST 643,,HWY 142,NAYLOR,MO,639539785,5733992400,47730,47731,RBDE,SBD ,RIPLEY,4,00,,,,
FRATERNAL ORDER OF EAGLES 3422,AERIE 3422,,HWY 32,SALEM,MO,65560,5737296219,47791,47792,RBDE,SBD ,DENT,4,00,,,,
AMVETS 114,POST 114,,HWY O,FLEMINGTON,MO,65650,4177542556,47867,47868,RBDE,SBD ,POLK,5,00,,,,
VETERANS OF FOREIGN WARS,POST 4956,,HWY 17 NORTH,CROCKER,MO,65452,5737362455,47885,47886,RBDE,SBD ,PULASKI,5,00,,,,
"BLACKWELL, LINDA S.",EIGHT INNING LOUNGE,6412,MICHIGAN AVE,ST LOUIS,MO,631112801,3143783630,47917,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.5576353, -90.251081)",54,200,2223
AMERICAN LEGION 331,POST 331,484,ST ROBERT OUTER ROAD,ST ROBERT,MO,655843724,5733364653,47942,47943,RBDE,SBD ,PULASKI,5,00,,,,
FRANCIS J. LYNCH MEMORIAL VFW POST INC.,POST 3168,26050,SWINDELL DR.,RICHLAND,MO,655567581,5737653168,48050,48051,RBDE,SBD ,PULASKI,5,00,,,,
QUIK TRIP CORPORATION,QUIK TRIP #607R,8583,ST. CHARLES ROCK ROAD,ST. JOHN,MO,631144505,3144295338,48059,71887,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.706516, -90.341724)",51,207,2210
VANCE ARNOLDY INC.,BUZZARD BEACH,4110,PENNSYLVANIA,KANSAS CITY,MO,641113003,8167534455,48094,48095,RBD,EXTH,JACKSON,1,00,"(39.052214, -94.591371)",43,151,525
VANCE ARNOLDY INC.,BUZZARD BEACH,4110,PENNSYLVANIA,KANSAS CITY,MO,641113003,8167534455,48094,151015,RBD,SBD ,JACKSON,1,00,"(39.052214, -94.591371)",43,151,525
MEADOW LAKE ACRES COUNTRY CLUB,MEADOW LAKE ACRES COUNTRY CLUB,2600,MEADOW LAKE ROAD,NEW BLOOMFIELD,MO,65063,5734913356,48186,48187,RBDR,SBD ,CALLAWAY,2,00,,,,
"STRATMAN, FELIX F.",PLAZA SERVICE CENTER,,HWY 63 & 42 JUNCTION,VIENNA,MO,65582,5734223300,48188,71524,OPL,SOP ,MARIES,2,00,,,,
AMERICAN LEGION 99,WALKER-RONEY POST 99,,HWY 32 WEST,SALEM,MO,65560,5737293710,48190,48191,RBDE,SBD ,DENT,4,00,,,,
MR. T'S LIQUORS INC.,MR. T'S LIQUORS,416,NW ENGLEWOOD ROAD,KANSAS CITY,MO,641183961,8164543364,48223,72141,OPL,SOP ,CLAY,1,00,,,,
MARY MOTHER OF THE CHURCH,MARY MOTHER OF THE CHURCH,5901,KERTH ROAD,ST LOUIS,MO,631283705,3148941373,48299,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.4709771, -90.37467319999999)",51,248,2210
RAPID ROBERTS INC.,RAPID ROBERTS 116,2019,S. ELLIOT,AURORA,MO,656059617,4176786660,48303,71599,OPL,SOP ,LAWRENCE,5,00,,,,
AYERS OIL COMPANY INC.,AYERCO #34,301,N. PEARL ST.,MILAN,MO,635562459,6602654681,48548,71807,OPL,SOP ,SULLIVAN,2,00,,,,
BIG RIVER HILLS AERIE 4210,AERIE 4210,,HWY 67 OLD,BONNE TERRE,MO,636281123,3147819860,48573,0,RBDE,    ,ST. FRANCOIS,4,00,,,,
CITY OF FLORISSANT,JAMES J. EAGAN CENTER,#1,JAMES J. EAGAN DRIVE,FLORISSANT,MO,630333633,3149214466,48652,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.7944099, -90.2988148)",51,191,2210
CITY OF FLORISSANT,JOHN F. KENNEDY COMMUNITY CENTER,315,HOWDERSHELL,FLORISSANT,MO,630316315,3149214466,48653,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.8077535, -90.36168599999999)",51,181,2210
"LUCKETT, STANLEY E.",LUCKETT'S,4616,DELMAR BLVD,ST LOUIS,MO,631081704,3143196933,48655,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.650647, -90.25615599999999)",54,200,2223
K.C. TWINS INC.,MIKE DUFFY'S PUB & GRILL,1024,SCHNUCKS WOODSMILL PLAZA,TOWN & COUNTRY,MO,630170606,6363948855,48718,50020,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
QUIK TRIP CORPORATION,QUIK TRIP #602,1640,S 5TH STREET,ST CHARLES,MO,633034105,6369468141,48770,71848,OPL,SOP ,ST. CHARLES,3,00,"(38.7654319, -90.495761)",48,195,2177
WEIN-BAUER INC.,,4031,TUGWELL,FRANKLIN PARK,IL,601311215,8476780685,48799,0,LS,    ,OUT OF STATE,7,00,,,,
"STEEBY, JUANITA F.",GRANDPA'S,120,E MAIN STREET,FILLMORE,MO,644498122,8164872013,48988,0,5BDW,    ,ANDREW,1,00,,,,
WALLIS OIL COMPANY INC.,PUMP HANDLE SNACK SHOP #401,1815,W OSAGE STREET,PACIFIC,MO,63069,5738852277,49003,226109,OPL,OPT ,FRANKLIN,2,00,,,,
WALLIS OIL COMPANY INC.,PUMP HANDLE SNACK SHOP #401,1815,W OSAGE STREET,PACIFIC,MO,63069,5738852277,49003,70771,OPL,SOP ,FRANKLIN,2,00,,,,
ARNOLD DISCOUNT FOODS INC.,MERAMEC HEIGHTS SAVE A LOT,#2,MERAMEC HEIGHTS PLAZA,ARNOLD,MO,63010,3148459797,49067,72352,OPL,SOP ,JEFFERSON,3,00,,,,
NAEGLER BROTHERS INC.,FAST N FRIENDLY,3535A,W SUNSHINE,SPRINGFIELD,MO,65807,4178313908,49108,73154,OPL,SOP ,GREENE,5,00,"(37.18339599999999, -93.35186)",93,492,1960
GRGICH HILLS CELLAR,GRGICH HILLS,1829,ST HELENA HIGHWAY,RUTHERFORD,CA,945730450,7079632784,49258,0,22S,    ,OUT OF STATE,7,00,,,,
ALNIS INC.,"PASTA HOUSE COMPANY, THE",921,ARNOLD COMMONS DR,ARNOLD,MO,630102168,6362963330,49344,49345,RBD,SBD ,JEFFERSON,3,00,,,,
SEL BOWLING INC.,B & J BOWL,,4TH & PINE,BOONVILLE,MO,65233,6608825563,49449,0,RBD,    ,COOPER,2,00,,,,
RAPID ROBERTS INC.,RAPID ROBERTS 115,5350,N. 22ND ST,OZARK,MO,657216645,4175819881,49522,71569,OPL,SOP ,CHRISTIAN,5,00,,,,
MARGARITA'S MEXICAN RESTAURANTS INC.,MARGARITA'S,2829,SOUTHWEST BLVD,KANSAS CITY,MO,641083612,8167535678,49612,49613,RBD,SBD ,JACKSON,1,00,"(39.0763144, -94.60200929999999)",43,151,525
BLUMENHOF VINEYARDS COMPANY,BLUMENHOF VINEYARDS,13699,MO-94,DUTZOW,MO,633420030,6364332245,49777,0,DOMW,    ,WARREN,2,00,"(38.5997991, -90.9915797)",46,220,2219
"SHIELDS, RANDY",RANDY'S SHORT STOP,,HWY 65 WESTSIDE,MERCER,MO,64661,6608755566,49849,71714,OPL,SOP ,MERCER,1,00,,,,
ARO SYSTEMS INC.,ARO MART,3755,HWY 94 SOUTH,ST CHARLES,MO,63304,6369476404,49861,72308,OPL,SOP ,ST. CHARLES,3,00,,,,
ASSUMPTION CHURCH,ASSUMPTION CHURCH,4725,MATTIS ROAD,ST LOUIS,MO,631282821,3144877970,49863,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.5011721, -90.36061149999999)",51,248,2210
QUEEN OF ALL SAINTS CHURCH,QUEEN OF ALL SAINTS CHURCH,6603,CHRISTOPHER DRIVE,ST LOUIS,MO,631294919,3148468207,49866,51763,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.4438881, -90.3073477)",51,248,2210
QUEEN OF ALL SAINTS CHURCH,QUEEN OF ALL SAINTS CHURCH,6603,CHRISTOPHER DRIVE,ST LOUIS,MO,631294919,3148468207,49866,286158,RBD,RBDC,ST. LOUIS CO.,3,00,"(38.4438881, -90.3073477)",51,248,2210
SEVEN HOLY FOUNDERS CHURCH,SEVEN HOLY FOUNDERS,6737,ROCK HILL ROAD,ST LOUIS,MO,631233199,3146383938,49898,50449,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5524243, -90.3338311)",51,235,2210
KLEIN FOODS INC.,RODNEY STRONG VINEYARDS,11455,OLD REDWOOD HIGHWAY,HEALDSBURG,CA,954489523,7074336511,49912,0,22S,    ,OUT OF STATE,7,00,"(38.573314, -122.845541)",,,1339
QUIK TRIP CORPORATION,QUIK TRIP #619,4646,SOUTH ST. PETERS PARKWAY,ST. PETERS,MO,633045745,6364414099,50027,71721,OPL,SOP ,ST. CHARLES,3,00,"(38.7395744, -90.61721399999999)",48,202,2177
HY VEE INC.,HY VEE FOOD STORE,9400,E. 350 HWY,RAYTOWN,MO,641336509,8163589940,50120,73616,RBD,SBD ,JACKSON,1,00,,,,
HY VEE INC.,HY VEE FOOD STORE,9400,E. 350 HWY,RAYTOWN,MO,641336509,8163589940,50120,151240,RBD,RDC5,JACKSON,1,00,,,,
WAYSIDE INC.,WAYSIDE LIQUOR,3302,HWY 100,VILLA RIDGE,MO,630891466,6367424431,50153,71063,OPL,SOP ,FRANKLIN,2,00,"(38.4771148, -90.8510706)",59,249,1958
JOE BOCCARDI RESTAURANT INC.,JOE BOCCARDI RISTORANTE,128,S CENTRAL AVE,EUREKA,MO,630252001,6369386100,50179,50180,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5014083, -90.6277947)",51,219,2210
ST. MARGARET MARY CHURCH,ST. MARGARET MARY ALACOQUE,4900,RINGER ROAD,ST LOUIS,MO,631291751,3144872522,50287,50288,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
AMERICAN LEGION 208,WALTER LEPERE POST 208,225,OLD SULPHUR SPRINGS ROAD,MANCHESTER,MO,630215356,6363919424,50316,70196,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5913759, -90.51397999999999)",51,208,2210
EBERLE WINERY LTD.,EBERLE WINERY,,HWY 46 EAST,PASO ROBLES,CA,934467302,8052389607,50406,0,22S,    ,OUT OF STATE,7,00,,,,
AMERICAN LEGION 138,HOWARD S. KEELING POST 138,1424,W BROADWAY,BOLIVAR,MO,65613,4173263353,50739,50740,RBDE,SBD ,POLK,5,00,,,,
PAUL & SONS INC.,PAUL'S LIQUOR & GROCERY,5506,PASEO,KANSAS CITY,MO,641102956,8163618414,50789,71743,OPL,SOP ,JACKSON,1,00,"(39.0267967, -94.56824379999999)",43,151,525
VENICE INC.,VENICE CAFE,1903,PESTALOZZI,ST LOUIS,MO,631181722,3147725994,50873,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.5993454, -90.2174507)",54,200,2223
RAPID ROBERTS INC.,RAPID ROBERTS 117,1847,STATE HWY KK,OSAGE BEACH,MO,65065,5733480212,51002,71404,OPL,SOP ,CAMDEN,2,00,,,,
CAFE MANHATTAN INC.,CAFE MANHATTAN,505,S. HANLEY ROAD,CLAYTON,MO,631052037,3148635695,51203,51685,5BDW,5SBD,ST. LOUIS CO.,3,00,"(38.64374, -90.335183)",51,223,2210
DOT CORPORATION,VAN BRUNT MARKET,2701,VAN BRUNT BLVD,KANSAS CITY,MO,641281450,8169231566,51264,71766,OPL,SOP ,JACKSON,1,00,"(39.07584, -94.519903)",43,151,525
QUIK TRIP CORPORATION,QUIK TRIP #615,5909,HOWDERSHELL ROAD,HAZELWOOD,MO,630421204,3147315222,51271,71732,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.78216700000001, -90.38922)",51,181,2210
CHRISTOPHER CLUB,CHRISTOPHER CLUB,2391,COUNTY ROAD 166,CAMPBELL,MO,63933,5733284476,51482,51483,RBDE,SBD ,DUNKLIN,4,00,,,,
CROWLEYS RIDGE RECREATIONAL CENTER INC.,CROWLEYS RIDGE RECREATIONAL CENTER,18699,CROWLEY RIDGE DRIVE,BLOOMFIELD,MO,63825,5735684698,51485,51486,RBDE,SBD ,STODDARD,4,00,,,,
POND ATHLETIC ASSOCIATION,POND ATHLETIC ASSOC.,RR 1,POND ROAD,GLENCOE,MO,63038,0,51491,0,5BD,    ,ST. LOUIS CO.,3,00,,,,
ST. ANDREWS GOLF CLUB INC.,EAGLE SPRINGS GOLF CLUB,2575,REDMAN ROAD,ST LOUIS,MO,631365860,3143557277,51725,91565,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
BADRA ENTERPRISES INC.,SHORT STOP MARKET,3072,MCKELVEY ROAD,ST LOUIS,MO,63044,3147397727,51917,72226,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
GIAN TONYS INC.,GIAN TONYS,5356,DAGGETT AVE,ST LOUIS,MO,631103028,3147724893,51919,53013,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6170216, -90.2769337)",54,200,2223
PIETOSO INC.,CAFE NAPOLI,7754,FORSYTH,CLAYTON,MO,631051810,3148635731,51923,111115,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL #402,,DOMESTIC UTL (I-44),SULLIVAN,MO,63080,5738852277,52090,70774,OPL,SOP ,FRANKLIN,2,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL #402,,DOMESTIC UTL (I-44),SULLIVAN,MO,63080,5738852277,52090,224612,OPL,OPT ,FRANKLIN,2,00,,,,
CATERING ST. LOUIS INC.,CATERING ST. LOUIS,5595,GRAND DRIVE,ST LOUIS,MO,63112,3149617588,52188,52189,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6440166, -90.2834043)",54,200,2223
R & R GROUP INC.,MCLAINS CORNER BAR GRILL & BAR-B-QUE,3516,BIG BEND BLVD,MAPLEWOOD,MO,631434003,3146476531,52215,0,RBD,    ,ST. LOUIS CO.,3,00,,,,
ALL SAINTS PARISH,ALL SAINTS PARISH CENTER,#7,MCMENAMY ROAD,ST PETERS,MO,633761590,6363971440,52651,0,RBD,    ,ST. CHARLES,3,00,"(38.7972959, -90.6287433)",48,173,2177
HEGEL'S LTD.,HODAKS RESTAURANT,2100,GRAVOIS AVE,ST LOUIS,MO,631042846,3147767292,52654,52655,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6064191, -90.21839899999999)",54,200,2223
