"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"COL SANTA MARGARITA REINA DE ESCOCIA                                                                ","KR 17 D BIS 65 62 SUR","7651929","JAQUELIN CARO",,"reinadeescocia@hotmail.com   stamargaritareina@hotmail.com                        "
"COL SAN CARLOS                                                                                      ","CL 192 9 45","5929000 -- 5262170","JUAN FERNANDO CORRAL",,"rector@sancarlos.edu.co"
"LIC JULIO CESAR GARCIA                                                                              ","CL 12 3 50","2433430","ROSALBA OSORIO CARDONA",,"rectorliceo@ulagrancolombia.edu.co                "
"COL DE LA UNIVERSIDAD ANTONIO NARIÑO                                                                ","IND KM 15 # 16 - 71 SUR VIA USME","7660087 -- 7660530 -- 7660528 -- 3114690541","LUZ MARINA CUBIDES MORENO",,"rectoria.usme@uan.edu.co -- cuan_2006@yahoo.es"
"UNID EDUC EL FUTURO DEL MAÑANA                                                                      ","CL 42 BIS SUR 80 F 93","5706360","MARIA SAGRARIO BARBOSA FUENTES",,"rectoria_uefm@yahoo.es"
"FUND INST TECNOLOGICO DEL SUR                                                                       ","KR 29 50 04 SUR","2307195 - -2381018 -- 2383860 -- 2046002","PADRE ALBERTO FORERO CASTRO",,"rectoria@tecnologicodelsur.edu.co -- coordinaciongeneral@tecnologicodelsur.edu.co"
"COL TALLER PSICOPEDAG DE LOS ANDES                                                                  ","CL 60 A SUR 67 13","2306106","PEDRO IGNACIO BALLEN ALBA",,"rectoria@tapsandes.edu.co vicerrectoria@tapsandes.edu.co secretaria@tapsandes.edu.co "
"COL EL MINUTO DE DIOS SIGLO XXI                                                                     ","TV 74 81 C 05","4343992 -- 2510809 -- 5082230","LUZ MIRIAN ARANGO DE ROJAS",,"rectoriasiglo21@colegiosminutodedios.edu.co - siglo21@colegiosminutodedios.edu.co"
"GIMN JOSEFINA CASTRO DE ESCOBAR                                                                     ","AK 72 175 40","6777743","JAIME NELSON DIAZ CASTRILLON",,"rectoria@pepacastro.edu.co secretariaacademica@pepacastro.edu.co"
"FUND GIMN LOS PORTALES                                                                              ","CL 212 77 20","6764055","BEATRIZ EUGENIA GOMEZ MAZUERA",,"rectoria@losportales.edu.co -- l.bocanegra@losportales.edu.co"
"LIC DE CERVANTES EL RETIRO                                                                          ","KR 8 83 29","2368585 -- 5303325 -- 5300724PBX","RDO. WILLIAM JOSUE CARREÑO MORA",,"rectoria@liceodecervantesretiro.edu.co"
"INST HENAO Y ARRUBLA                                                                                ","KR 70 G 74 13","5478736","ALBENIO BOLIVAR MONROY",,"rectoria@institutohenaoyarrubla.edu.co -- secretaria@institutohenaoyarrubla.edu.co"
"GIMN LA MONTAÑA                                                                                     ","KR 51 214 55","6762129 / 6762128 / 6762130                       ","MARIA MERCEDES DE BRIGRAD MERCHAN",,"rectoria@glm.edu.co"
"GIMN ALESSANDRO VOLTA","CL 119 4 79","7438850 -- 6298532 -- 6290245 -- 6570941","PATRIZIA MASCIOLI",,"rectoria@gimnasiovolta.edu.co -- s-academica@gimnasiovolta.edu.co"
"GIMNASIO INGLES CAMPESTRE","IND CL 213 # 95 - 00 AUTO NORTE","6762201 -- 6762202","ANA DEL CARMEN LEAL OJEDA",,"rectoria@gimnasioingles.com -- ggarcia74@gimnasioingles.com -- annitaleal@hotmail.com"
"COL DEL BOSQUE                                                                                      ","KR 65 170 25","6772499 -- 6729277 -- 6733068","MARIA STELLA OVIEDO ROJAS",,"rectoria.delbosque@uan.edu.co -- tesoreria.delbosque@uan.edu.co"
"INST SUP COOPERATIVO                                                                                ","CL 80 78 88","7430296 -- 7430297 -- 7430439 -- 7429366","MARIA EMMA RODRIGUEZ SANDOVAL",,"rectoria@cooedunor.edu.co -- sacademica@cooedunor.edu.co -- inscoop_rector@hotmail.com"
"COL NSTRA SRA DE LA SABIDURIA                                                                       ","CL 22 SUR 11 B 51","2393742 -- 8012122","HNA MIREYA TAPIAS GARCIA",,"rectoria@colsabibogota.edu.co -- secretariaacademica@colsabibogota.edu.co"
"COL DE NSTRA SRA DEL ROSARIO                                                                        ","CL 4 57 49","4202307 -- 2606329 -- 5637411","SOR NOHORA YOLANDA RODRIGUEZ GOMEZ",,"rectoria@colrosariobogota.edu.co"
"COL DE NSTRA SRA DEL PILAR (CHAPINERO)                                                              ","CL 62 27 A 12","2493046 -- 2353487 -- 2114592 ","HNA CONCEPCION AMEZQUITA DIAZ",,"rectoria@colpilarch.edu.co -- colpilarch@hotmail.com"
"INST TEC COLOMBO SUECO                                                                              ","KR 7 166 51","6723719","RAFAEL BENJAMIN GARAVITO GARAVITO",,"rectoriacolombosueco@hotmail.com"
"COL TERESITA DE LISIEUX (INST LISIEUX)                                                              ","TV 96 B 20 D 51","2986988 - 2670801","HNA SOR MIGDALY MAZO GUZMAN",,"rectoria@colegioteresitadelisieux.edu.co colterlisieux@007mundo.com"
"COL SANTO TORIBIO DE MONGROVEJO                                                                     ","KR 107 B 143 34","6891618","HERVER AUGUSTO SIERRA SILVA",,"rectoria@colegiosantotoribio.edu.co                             "
"COL SANTA LUISA                                                                                     ","KR 73 42 G 25 SUR","2647861 -- 4036403 -- 4502882","BERYENY RODRIGUEZ AREVALO",,"rectoria@colegiosantaluisa.edu.co -- secretaria.academica2@colegiosantaluisa.edu.co"
"JARD GUARD MARQUESITOS DE PONTEVEDRA","CL 98 A 56 A 03","4808258/2535254","MARIA CRISTINA PULIDO LUNA ",,"rectoria@colegiosannico.edu.co "
"COL NSTRA SRA DE NAZARETH                                                                           ","CL 65 D SUR 80 C 94","7446229","HNA NIRIA DEL CARMEN MONTAÑO POMA",,"rectoria@colegionazareth.edu.co -- secretaria@colegionazareth.edu.co"
"COL MARIA INMACULADA                                                                                ","KR 7 166 71","6711177 -- 6799708 -- 6799686","HNA CARMEN ELENA JAIME CONTRERAS",,"rectoria@colegiomariainmaculada.edu.co -- secretaria@colegiomariainmaculada.edu.co"
"COL DE LOS ANDES                                                                                    ","CL 22 H 100 82","7036223 -- 2670551 -- 7042235","ALVARO ENRIQUE SANCHEZ MOJICA",,"rectoria@colegiodelosandes.edu.co -- secretariaandes@gmail.com -- colegiodelosandes@gmail.com"
"COL SANTA TERESA DE JESUS                                                                           ","KR 99 19 72","2671834","HNA MARIA AMELIA LUENGAS HERREÑO",,"rectoriacolegio@colsanter.edu.co -- secretaria@colsanter.edu.co"
"FUND COL CLARA CASAS MORALES                                                                        ","KR 8 G 168 30","6789982","MARIA CRISTINA MONTOYA DE ROBLEDO",,"rectoria@colegioclaracasas.edu.co"
"COL BRITANICO SEDE TUNJUELITO                                                                       ","IND AUTOP SUR # 50 - 29","7111901","ROSA LILIANA NOVOA HERNANDEZ",,"rectoria@colegiobritanico.edu.co"
"COL BILING SAN GABRIEL ARCANGEL                                                                     ","AC 20 SUR 11 B 36 SUR","2392021 -- 8102460","OLGA MIREYA LEGUIZAMON BAYONA",,"rectoria@colegiobilinguesangabrielarcangel.edu.co -- soniarojas@colegiobilinguesangabrielarcangel.ed"
"COL AMERICANO DE BOGOTA                                                                             ","KR 22 45 51","2450830 -- 2327392 ","HILDA SOLEDAD MUÑOZ ROJAS",,"rectoria@colamericano.edu.co "
"COL COOP VENECIA                                                                                    ","DG 47 A SUR 53 A 95","2305441 -- 2301155 -- 5635412","JANNETH PATRICIA MALDONADO ROJAS",,"rectoria@cocove.edu.co -- secretaria@cocove.edu.co -- coordinación@hotmail.com"
"COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED)","CL 30 SUR 18 25","2722128 / 2786778","ELBERS VILLALOBOS ARANGO",,"rectoriaclemhol@gmail.com "
"INST CEMODEN                                                                                        ","KR 50 C 38 08 SUR","2046044 -- 7112209","HERNAN ALONSO BELTRAN PANESSO",,"rectoria@cemoden.edu.co -- contacto@cemoden.edu.co"
"COL COLOMBO HEBREO                                                                                  ","AC 153 50 65","6711303 -- 6711263 -- 6711323","JORGE ALBERTO MEJIA GONZALEZ",,"rectoria@cch.edu.co -- secacademica@cch.edu.co"
"GIMN CAMPESTRE                                                                                      ","CL 165 8 A 50","6684410 -- 6684400","JUAN ANTONIO CASAS PARDO",,"rectoria@campestre.edu.co"
"CORP TECNOLG EMPRESARIAL","CLL.  71A NO.74A-36","5446102","SILVIA ARIAS ARIAS",,"rectoria_bachillerato@hotmail.com"
"COL VIRTUAL SIGLO XXI                                                                               ","KR 31 A 25 A 07","2681800 -- 2446108 -- 2219579","DAYSI MARGOTH BELTRAN CEPEDA",,"rectoriaave@ave.edu.co -- secretariageneral@ave.edu.co"
"COL ANGLO AMERICANO                                                                                 ","CL 170 8 80","6694181","ANGELA MARIA SARMIENTO CANCINO",,"rectoria@angloamericanobogota.edu.co"
"COL ABRAHAM LINCOLN                                                                                 ","DG 170 59 57","6767360 / 6767367 / 6779800                       ","MILTON ANTONIO MARTINEZ VALERO",,"rectoria@abrahamlincolin.edu.co                   "
"COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL)","CL 170 15 68","6767700","LUIS EDUARDO RIVAS GARZON",,"rector@englishschool.edu.co - lerivas@englishschool.edu.co - nmoreno@englishschool.edu.co"
"GIMNASIO NUEVO REINO","KR 74 A 24 B 13","4104971 -- 4168127 -- 2632694","NUBIA LUCIA PUERTAS LOZANO",,"rectora@mireino.edu.co -- mireino72@hotmail.com -- gimnasionuevoreino@gmail.com"
"LIC LA CORUÑA                                                                                       ","CL 58 C SUR 47 09","7156869 -- 7153574","BETTY ACOSTA MEDINA",,"rectorallc@hotmail.com -- jemafohe@hotmail.com"
"LIC PSICOPEDAG ELLEN KEY                                                                            ","KR 81 D 24 B 96","2631838 -- 2637584 -- 3143852003","GLADYS ADRIANA CORTES MUÑOZ",,"rectora@colegioellenkey.edu.co -- secretaria@colegioellenkey.edu.co"
"LIC  REAL ESPAÑA                                                                                    ","CR. 88 NO. 74A-15 SUR BOSA","7821979","IRMA PEÑA PARRA",,"realespana@telecorp.net.co                        "
"COL REAL ESCANDINAVO                                                                                ","KR 69 51 38","2630110","DARIO VANEGAS PALOMINO",,"realescandianvo@etb.net.co"
"GIMN REAL DE COLOMBIA                                                                               ","KR 17 D 65 53 SUR","7651794","EDGAR ALFONSO PARRA",,"realcol89@hotmail.com                             "
"JARD INF SALACUNA RAYITOS DEL SOL                                                                   ","CR. 40 NO.26A-38 SUR","2035192","GISELLE VILLAMIL ROA",,"rayitosdesol@hotmail.com                          "
"COL RAMON B JIMENO                                                                                  ","CL 26 2 44","2810727 -- 2812471 -- 2812470","MARTHA LUZ GARCIA RICO",,"ramonbjimeno@yahoo.com"
"COL COLOMBO FLORIDA BILINGÜE                                                                        ","CR. 13 NO.20-27 SUR","2391231 / 2399263                                 ","MARTHA LUCIA CARVALHO QUIGUA",,"ragudelom@hotmail.com                             "
"GIMN BOLIVAR II                                                                                     ","KR 17 D 65 80 SUR","2518278","JESUS ALVARO REINA GAVIRIA",," rafaelcogolloa@yahoo.es   jareinagaviria@misena.edu.co"
"GIMN MONSEÑOR MANUEL MARIA CAMARGO                                                                  ","CL 6 SUR 14 49","3370293 -- 3370190","MARIA ELVIRA VASQUEZ ESCOBAR",,"qmmmc@fundacionsanantonio.org"
"GIMN INTEGRAL MODERNO                                                                               ","CL 29 97 B 60",,"EMMA JULIA PAYARES",,"qgabriela@hotmail.com                             "
"GIMN LAS ALEGRIAS DE CRECER                                                                         ","DG 3 73 35","2991806","CONSTANZA HERNANDEZ",,"qalegrias@yahoo.es"
"COL EL CARMEN TERESIANO                                                                             ","CR. 11A NO.31-91 SUR","2391837 / 2090994                                 ","HMNA. MARIA PURIFICACION PEREZ JAÑEZ",,"puriperez01@hotmail.com                           "
"COL PSICOTECNICO DE URANTIA                                                                         ","CL 52 A 75 08","2951780","ANGELA PATRICIA CASAS R",,"purantia@terra.com  cole_urantia@yahoo.es                               "
"COL PSICOPEDAG VILLA MAYOR                                                                          ","KR 35 32 08 SUR","2031610","NUBIA STELLA MORA P.",,"psicovillamayor2001@tutopia.com                   "
"COL PSICOPEDAG LA ACACIA  LTDA                                                                      ","TV 19 B BIS 63 22 SUR","7654517/7661126                                   ","ADRIANA SOFIA SICARD LOPEZ",,"psicoacacia@andinet.com  psicoacacia@etb.net.co                           "
"LIC FRANCES LOUIS PASTEUR                                                                           ","CL 87 7 77","2187055 -- 6162583 -- 6110715","FRANCOISE VALIERE",,"proviseur@lfbogota.com"
"CENT DE EDUC INF PROMESAS DEL MAÑANA                                                                ","KR 92 147 B 35","6814074","SARA LUCIA ROMERO PUERTO",,"promesasdelmanana@hotmail.com"
"LICEO PEDAGOGICO EL SABER                                                                           ","CL 75 BIS 105 B 16","4314650","MELVA ZULIMA MOJICA DIAZ",,"profesor34@hotmail.com                            "
"JARD INF CHABITA                                                                                    ","CR. 56A NO.2A-73","2628735","MARTHA LUCIA CIFUENTES",,"profe_martha40@hotmail.com                        "
"COL EMMANUEL D ALZON                                                                                ","TV 56 114 50","2532053 -- 2532153","SILVIO HERRERA HERRERA",,"procesos@dalzon.edu.co -- luz.avellaneda@dalzon.edu.co"
"COL DE LA PRESENTACION SANS FACON                                                                   ","CL 170 17 A 55","6711198 -- 6714912","HNA LAURA INES NIÑO MARTINEZ",,"presentacionsf@gmail.com -- ilsagomez1@gmail.com"
"PREESC BARRILETE                                                                                    ","CL 124 21 A 05","4808446 -- 5220925","CONSUELO BRIEVA DE PORRAS",,"prescobarrilete@hotmail.com"
"PREESCOLAR ARTÍSTICO AMBIENTAL SEMILLAS ","KR 34 A 29 A 26","5723056 -- 2441640 -- 2441637","LEONOR ALJURE LIS",,"preescolarsemillas@gmail.com"
