"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"ALCANTARILLADO","Información","PLANES MAESTROS","Plan Maestro de Acueducto y Alcantarillado del Municipio de Msoquera","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - DWG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","26/10/2020","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","POIR","Proyectos y Plan de obras inversiones regulado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - DWG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","203/2019","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Presentaciones","Presentaciones Técnicas","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PowerPoint","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","UNICA VEZ","UNICA VEZ","2019-12-04T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","PAA","Plan Anual de Adquisiciones, proyección de proyectos","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","UNICA VEZ","UNICA VEZ","2020-02-03T00:00:00.000","Inactivo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","PSMV","Plan de Saneamiento y manejo de vertimientos","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2019-04-22T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","PTAR LOS PUENTES MOSQUERA","Información técnica de la PTAR Los Puentes","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD- JPG- DWG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2019-04-16T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","PTAR PORVENIR","Información técnica de la PTAR Porvenir","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD- JPG- DWG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2019-04-26T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","SUI","Formatos de cargue a la plataforma SUI","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD- JPG- DWG","DISPONIBLE","Información Pública","Alta","Alta",":\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2020-03-24T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","VISITAS RECIBO INFRAESTRUCTURA 24 25 Y 26 DE ABRIL","Información de recibo de estaciones de Bombeo","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD- JPG- DWG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2020-11-26T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Comunicaciones 2021","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Alcantarillado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2021","DIRECCIÓN DE ALCANTARILLADO","UNICA VEZ","UNICA VEZ","2021-02-04T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Contratos","Documentos contractuales","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL - JPG","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2021","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","ESPORADICAMENTE","2021-02-26T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","HSEQ","Procedimiento HSEQ","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2021","DIRECCIÓN DE ALCANTARILLADO","UNICA VEZ","UNICA VEZ","2021-03-10T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","IAS","Comunicaciones","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS","DIRECCIÓN DE ALCANTARILLADO","UNICA VEZ","UNICA VEZ","2021-03-25T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Personal","Turnos y Programaciones","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2021-02-26T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","Personal","Turnos y Programaciones","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos",,"DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2021","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2021-02-27T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","POIR","Proyectos y Plan de obras inversiones regulado","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD - EXCEL","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","2021-03-10T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Presupuesto - SUI","Presupuesto 2021 - SUI","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","WORD - EXCEL","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","2021-02-25T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Procedimientos","Procedimiento personal","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2021","DIRECCIÓN DE ALCANTARILLADO","ESPORADICAMENTE","ESPORADICAMENTE","2021-02-01T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Procesos","PSMV","Plan de Saneamiento y manejo de vertimientos","ESPAÑOL","DIRECCION DE ALCANTARILLADO","DOCUMENTOS","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF - WORD","DISPONIBLE","Información Pública","Alta","Alta","C:\Users\Prof_Alcantarillado\Desktop\EAMOS 2019-2020","DIRECCIÓN DE ALCANTARILLADO","FRECUENTE","FRECUENTE","2021-03-04T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"Codigo de integridad","Información","Diagnóstico del código de integridad","Diagnóstico del código de integridad","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","caja de herramientas","caja de herramientas","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","informe","Describe el cumplimiento del codigo de integridad a vigencia finalizada","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","Instructivo","Instructivo para realizar el código de integridad anualmente","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","Plan","Plan de gestión del código de integridad 2021","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","Politica","Politica que brinda los lineamientos para vigilar el cumplimiento del código de integridad","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Codigo de integridad","Información","Indicador código de integridad","Ficha tecnica que vigila el cumplimiento del código de integridad","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Actas","Información","Acta de junta directiva","Actas de junta directiva enero 2021","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","mensual","mensual","2021-01-01T00:00:00.000","Activo","Acuerdos empresariales","Acuerdos empresariales","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Cronograma","Cronograma anual de gestión documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Cuadro de clasificación documental","Clasificación general para las trd","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","informe","Informe del archivo a vigencia 2020","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Formato de solicitud personal oficina","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Instructivo de archivo","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Actas de eliminación de documentos","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Formato unico de inventario documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Diligenciamiento de una tabla de retención documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Diligenciamiento cuadro de clasificacion documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Solicitud y préstamo de la documentación","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Guia para la eliminación y depuración documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Instructivo","Acta de eliminación de documentos","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Formato","Acta de entrega","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Formato","Formato rotulo de carpeta","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Formato","Formato rotulo de caja","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Formato","Check list conservación documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Indicador","Indicadores de gestión SIC","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Manual","Manual de conservación documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Politicas","Politicas de gestión documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Procedimientos","Procedimiento para desarollar un diagnósticos documental","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Gestión Documental","Información","Procedimientos","Procedimiento para tratar fondos acumulados","español","OFICINA DE PLANEACION","Documentos","Documento Físico","electronico","WORD","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de integridad","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Ley 594 de 2000","Ley 594 de 2000","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de plan anticorrupción","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de plan de atención al ciudadano","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diangnóstico de tramites","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de rendición de cuentas","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de transparencia","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de control interno","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de gobierno en línea","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de matri de recursos humanos3","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de gestión estadística","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de gestión del conocimiento","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Diagnóstico","Diagnóstico de gestión documental","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Planeacion","Procesos","Actas","Actas de reunión de planeación","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","Estatutos empresariales","Estatutos empresariales","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Talento Humano","Procesos","Planes","Plan estrategico de talento humano","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Talento Humano","Procesos","Planes","Planes de capacitación","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Talento Humano","Procesos","Planes","Planes de bienestar","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
"Talento Humano","Procesos","Planes","Plan de trabajo anual","español","OFICINA DE PLANEACION","Hoja de Cálculo","Documento Físico","electronico","Excel","SI","Información Pública","Alta","Alta","oficina de planeacion","Jefe de planeacion","anual","anual","2021-01-01T00:00:00.000","Activo","MIPG","MIPG","Sin Reserva","Digital","Público","N/A","N/A","N/A","NINGUNA"
