"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Old Strathcona Public Realm Strategy Digital Engagement","Sunday, August 14, 9am - Sunday, August 28, 2022, 11:55pm","2022-08-14T08:00:00.000","2022-08-28T23:55:00.000","Edmonton",,,"Online",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161911565",,"161911565",,,"Public Engagement|External","https://engaged.edmonton.ca/osprs","Digital Engagement",,"Old Strathcona",,"The Old Strathcona Public Realm Strategy (OSPRS) will imagine a new future for public spaces in Old Strathcona. Public spaces include parks, parking lots, plazas, alleyways and streets.Share your input as part of the first phase of engagement.<a href=""https://engaged.edmonton.ca/osprs"" target=""_blank""><strong>Visit our Engaged Edmonton page.</strong></a>",
"Hosanna Fall Christmas Quilt Sale","Saturday, September 10, 2022, 11am - 1:30pm","2022-09-10T10:00:00.000","2022-09-10T13:30:00.000","Edmonton",,,"9009 - 163 Street, Edmonton, AB T5R 2N8",,"Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161902923","Jasper Place","161902923",,,"City of Edmonton|Non-Profit Fundraiser",,,"Quilt Sale",,,"Hosanna Fall Christmas Quilt Sale on Saturday, Sept 10th, 2022 from 11 am - 1:30 pm at Hosanna Lutheran Church, 9009-163 Street, Edmonton T5R 2N8.  Over 100 Quilts & Afghans very reasonably priced.  Proceeds of the sale will be donated to charities.",
"Craft for YEG Fall Round-Up","Sunday, September 18, 2022, 1 - 4pm","2022-09-18T12:00:00.000","2022-09-18T16:00:00.000","Edmonton","4540","Terra Losa","West Edmonton Seniors Activity Centre, 9629 176 street",,"Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161898053","Other","161898053",,,"City of Edmonton|Trade Shows",,,"Donation drop off of handmade items to support Edmonton and area residents in need",,"Craft for YEG is a facebook based group with over 500 members.  Our mission is to support Edmonton and area residents in need through the donation of handmade items.  Our team of volunteers help sort and deliver all items.","Support local charities by donating handmade items such as toques, and mitts (adult and childrens), lap blankets, baby blankets, slippers dishcloths, facecloths.",
"Babas and Borshch Ukrainian Festival and Ukrainian Day","Saturday, August 27 - Sunday, August 28, 2022","2022-08-27T00:00:00.000","2022-08-29T00:00:00.000","Lamont",,,"Lamont Recreation Centre, 4848 49 St, Lamont, AB T0B 2R0","Free","Concerts / Performances,Exhibits,Family / Children,Festivals,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897549","Other","161897549",,,"City of Edmonton|Other","http://www.babasandborshch.ca",,"Enjoy Ukrainian food, music, dancing as well as demonstrations and family activities",,,"The 10th annual Babas & Borshch Ukrainian Festival returns to Lamont for 2022! Enjoy Ukrainian food, music, dancing as well as historical demonstrations and activities like Baba's Bazaar, Music Jam, kids activities, Demos for making Kapusta, Pysanky, Wheat Weaving and Ukrainian Dance, and much more! Sunday is the Ukrainian Day concert with dance performances by Cheremosh, Dunai, Sim'ya, and choirs like Dnipro, along with a pancake breakfast and Borshch Cook-Off!This year, take part in the Largest ARKAN dance to set a world record, and you can also buy raffle tickets to benefit displaced Ukrainians in Alberta.",
"Movies on the Square presents 'Kubo and the Two Strings'","Friday, September 9, 2022, 6 - 11pm","2022-09-09T17:00:00.000","2022-09-09T23:00:00.000","Edmonton",,,"Sir Winston Churchill Square","FREE!","Family / Children,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897217","Sir Winston Churchill Square","161897217",,,"Churchill Square","https://www.edmonton.ca/MoviesOnTheSquare",,"Free outdoor movie event featuring 'Kubo and the Two Strings'",,"Start your weekend off under the warm summer skies! Head Downtown on Friday, September 9 to watch <em><strong>Kubo and the Two Strings</strong></em>, presented by <a href=""https://www.edmonton.ca/MoviesOnTheSquare"" target=""_blank"">Movies on the Square</a>. Bring your lawn chair and catch the action on a three-storey high inflatable screen. Pre-movie entertainment starts at 6 p.m. and the movies starts at dusk (approx. 8 p.m.). Dress up for a chance to win prizes. Food trucks will be on-site. Admission is FREE!&nbsp;",,
"Movies on the Square presents 'Labyrinth'","Tuesday, August 30, 2022, 6 - 11pm","2022-08-30T17:00:00.000","2022-08-30T23:00:00.000","Edmonton",,,"Sir Winston Churchill Square","FREE!","Family / Children,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897164","Sir Winston Churchill Square","161897164",,,"Churchill Square","https://www.edmonton.ca/MoviesOnTheSquare",,"FREE outdoor movie event featuring 'Labyrinth'",,"<a href=""https://www.edmonton.ca/MoviesOnTheSquare"" target=""_blank"">Movies on the Square</a> is back in Sir Winston Churchill Square! Tonight&rsquo;s feature is <em><strong>Labyrinth</strong></em>. Bring your lawn chair and soak in Edmonton&rsquo;s warm summer evening while watching this cult classic on a three-story high inflatable screen. Pre-movie entertainment starts at 6 p.m. Dress up for a chance to win prizes for best costume. The movie will start at dusk (approx. 8:30 p.m.). Food trucks will be on-site. Admission is FREE!",,
"Movies on the Square presents 'Josie and the Pussycats'","Wednesday, August 24, 2022, 6 - 11pm","2022-08-24T17:00:00.000","2022-08-24T23:00:00.000","Edmonton",,,"Sir Winston Churchill Square","FREE!","Family / Children,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897148","Sir Winston Churchill Square","161897148",,,"Churchill Square","https://www.edmonton.ca/MoviesOnTheSquare",,"A FREE outdoor movie event, featuring 'Josie and the Pussycats'",,"Downtown Edmonton is the place to be as <a href=""https://www.edmonton.ca/MoviesOnTheSquare"" target=""_blank"">Movies on the Square</a> presents <strong><em>Josie and the Pussycats</em></strong>, tonight in Sir Winston Churchill Square! This fan favourite will start at dusk (approx. 8:45 p.m.). Pre-movie entertainment starts at 6 p.m., so grab your lawn chair and head to the Square for night of family-friendly fun. Dress up for a chance to win prizes. Food trucks will be on-site. Admission is FREE!",,
"Movies on the Square presents 'The Princess Bride'","Wednesday, August 17, 2022, 6 - 11pm","2022-08-17T17:00:00.000","2022-08-17T23:00:00.000","Edmonton",,,"Sir Winston Churchill Square","FREE!","Family / Children,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897123","Sir Winston Churchill Square","161897123",,,"Churchill Square","https://www.edmonton.ca/MoviesOnTheSquare",,"Free outdoor movie event featuring 'The Princess Bride'",,"<a href=""https://edmonton.ca/MoviesOnTheSquare"" target=""_blank"">Movies on the Square</a> is back in Sir Winston Churchill Square after a four-year absence! Tonight&rsquo;s feature is <strong><em>The Princess Bride.</em></strong> Bring your lawn chair and soak in Edmonton&rsquo;s warm summer evening while watching this cult classic on a three-story high inflatable screen. Pre-movie entertainment starts at 6 p.m. Dress up for a chance to win prizes for best costume. The movie will start at dusk (approx. 9 p.m.). Food trucks will be on-site. Admission is FREE!&nbsp;",,
"A DANCE DOUBLE BILL OF CONTEMPORARY BALLET FEATURING: Edouard Lock’s ÉCHO and Vanessa Goodman’s TUNING","Friday, September 2, 2022, 8 - 10pm","2022-09-02T19:00:00.000","2022-09-02T22:00:00.000","Edmonton",,,"Triffo Theatre, MacEwan University Allard Hall, 11110 104 Ave NW, Edmonton AB T5K","$40","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161896177","Other","161896177","online: https://tickets.bwdc.ca/e/bwdc2223/tickets",,"City of Edmonton|Concerts / Performances","https://bwdc.ca/doublebill",,"Triffo Theatre, MacEwan University Allard Hall",,,"About ÉCHO ÉCHO, is a new work created and directed by world-renowned choreographer and visionary, Édouard Lock. Interpreted by Principal dancer of Les Grands Ballets Canadiens, Rachele Buriassi. ÉCHO is a work intertwined in reflections and immersed in a cinematic night. “Once again, his imagination is peerless. ÉCHO is so beautiful, so contemporary and so about this beautiful ballet dancer’s DANCING!” This presentation also includes a viewing of Edouard’s film ÉCHO, produced by PHI Studio. About TUNING TUNING is a new duet commissioned by Alexis Fletcher created and directed by Vanessa Goodman featuring dance artists Alexis Fletcher and Ted Littlemore.  This new work focuses on how we tune to one another. In TUNING the performers create a live sonic and physical atmosphere using their voices to amplify the conversations of the body. “When I first saw this dance, I thought I was witnessing a most intimate moment between a couple whose relationship had withstood time. It is beautiful!”",
"A DANCE DOUBLE BILL OF CONTEMPORARY BALLET FEATURING: Edouard Lock’s ÉCHO and Vanessa Goodman’s TUNING","Thursday, September 1, 2022, 8 - 10pm","2022-09-01T19:00:00.000","2022-09-01T22:00:00.000","Edmonton",,,"Triffo Theatre, MacEwan University Allard Hall, 11110 104 Ave NW, Edmonton AB T5K","$40","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161896176","Other","161896176","online: https://tickets.bwdc.ca/e/bwdc2223/tickets",,"City of Edmonton|Concerts / Performances","https://bwdc.ca/doublebill",,"Triffo Theatre, MacEwan University Allard Hall",,,"About ÉCHO ÉCHO, is a new work created and directed by world-renowned choreographer and visionary, Édouard Lock. Interpreted by Principal dancer of Les Grands Ballets Canadiens, Rachele Buriassi. ÉCHO is a work intertwined in reflections and immersed in a cinematic night. “Once again, his imagination is peerless. ÉCHO is so beautiful, so contemporary and so about this beautiful ballet dancer’s DANCING!” This presentation also includes a viewing of Edouard’s film ÉCHO, produced by PHI Studio. About TUNING TUNING is a new duet commissioned by Alexis Fletcher created and directed by Vanessa Goodman featuring dance artists Alexis Fletcher and Ted Littlemore.  This new work focuses on how we tune to one another. In TUNING the performers create a live sonic and physical atmosphere using their voices to amplify the conversations of the body. “When I first saw this dance, I thought I was witnessing a most intimate moment between a couple whose relationship had withstood time. It is beautiful!”",
"District Planning Survey","Ongoing through Saturday, October 15, 2022, 11:55pm","2022-08-23T10:00:00.000","2022-10-15T23:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161894018",,"161894018",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/5gyiGj3XcsCGavoHlLiHfS","Surveys and Focus Groups",,"District Planning",,"The District General Policy guides change across Edmonton by setting out policy objectives for planning projects like new buildings, new bike lanes or where the City spends money. We have a District General Policy so we make the same decisions in similar parts of the city but in a phased approach to change, the way The City Plan envisions.<a href=""https://www.edmontoninsightcommunity.ca/c/a/5gyiGj3XcsCGavoHlLiHfS"" target=""_blank""><strong>Start the survey here</strong></a>",
