"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2016-17","002","ANSONIA (002)","47835175","406619","1395130","10463","36643729","36643729","274828","0","0",,,,,"15000","113","9571000","119638","210316","1577","229","173"
"FY 2016-17","003","ASHFORD (003)","16281229","124534","753500","5651","11671300","11671300","87535","0","0",,,,,"3371429","25286","485000","6063","0","0","72","38"
"FY 2016-17","004","AVON (004)","165146721","1330711","4692700","35195","148394021","140151865","1051139","8242156","103027",,,,,"1880000","14100","10180000","127250","0","0","386","214"
"FY 2016-17","005","BARKHAMSTED (005)","10220700","77850","850750","6381","9130950","9130950","68482","0","0",,,,,"0","0","239000","2988","0","0","42","26"
"FY 2016-17","006","BEACON FALLS (006)","25957598","195257","153500","1151","25804098","25689098","192668","115000","1438",,,,,"0","0","0","0","0","0","98","69"
"FY 2016-17","007","BERLIN (007)","76616581","623401","1659174","12444","64587157","64587157","484404","0","0",,,,,"615000","4613","9755250","121941","0","0","287","223"
"FY 2016-17","008","BETHANY (008)","27791629","218969","1257095","9428","24648129","24428129","183211","220000","2750",,,,,"0","0","1886405","23580","0","0","87","70"
"FY 2016-17","009","BETHEL (009)","119620284","969357","6632020","49740","98616784","98447284","738355","169500","2119",,,,,"100000","750","14271480","178394","0","0","337","191"
"FY 2016-17","010","BETHLEHEM (010)","14141951","113965","613000","4598","13228951","11648951","87367","1580000","19750",,,,,"300000","2250","0","0","0","0","50","36"
"FY 2016-17","011","BLOOMFIELD (011)","104198642","926611","13700490","102754","61335904","61335904","460019","0","0",,,,,"138000","1035","29024248","362803","0","0","314","214"
"FY 2016-17","012","BOLTON (012)","19704979","154802","777000","5828","17429979","17429979","130725","0","0",,,,,"95000","713","1403000","17538","0","0","73","55"
"FY 2016-17","013","BOZRAH (013)","7653829","62054","561500","4211","6162329","6162329","46217","0","0",,,,,"0","0","930000","11625","0","0","34","42"
"FY 2016-17","014","BRANFORD (014)","147972086","1162224","5647600","42357","134071356","129609556","972072","4461800","55773",,,,,"1264577","9484","6024776","75310","963776","7228","506","372"
"FY 2016-17","015","BRIDGEPORT (015)","267935411","2346475","5588052","41910","174308477","171381810","1285364","2926667","36583",,,,,"22863500","171476","64465241","805816","710141","5326","1346","1089"
"FY 2016-17","016","BRIDGEWATER (016)","15929432","125171","605000","4538","15324432","14184432","106383","1140000","14250",,,,,"0","0","0","0","0","0","40","22"
"FY 2016-17","017","BRISTOL (017)","168617556","1347282","4705495","35291","139622213","139622213","1047167","0","0",,,,,"7607900","57059","16530000","206625","151948","1140","874","610"
"FY 2016-17","018","BROOKFIELD (018)","132275289","1087499","3118006","23385","111881983","109335483","820016","2546500","31831",,,,,"735000","5513","16540300","206754","0","0","350","194"
"FY 2016-17","019","BROOKLYN (019)","31644056","244419","2296555","17224","27831361","27831361","208735","0","0",,,,,"98440","738","1417700","17721","0","0","163","107"
"FY 2016-17","020","BURLINGTON (020)","57226206","436036","3732900","27997","50135806","50067900","375509","67906","849",,,,,"2057500","15431","1300000","16250","0","0","168","96"
"FY 2016-17","021","CANAAN (021)","4997796","38608","304796","2286","4468000","4468000","33510","0","0",,,,,"0","0","225000","2813","0","0","22","29"
"FY 2016-17","022","CANTERBURY (022)","15254648","114410","1066500","7999","14188148","14188148","106411","0","0",,,,,"0","0","0","0","0","0","84","62"
"FY 2016-17","023","CANTON (023)","61485809","466148","2775200","20814","57260809","57260809","429456","0","0",,,,,"0","0","1000800","12510","449000","3368","207","103"
"FY 2016-17","024","CHAPLIN (024)","8366875","62752","235000","1763","8131875","8131875","60989","0","0",,,,,"0","0","0","0","0","0","43","23"
"FY 2016-17","025","CHESHIRE (025)","138418670","1085614","5512405","41343","122366871","122339371","917545","27500","344",,,,,"1072000","8040","9467394","118342","0","0","443","219"
"FY 2016-17","026","CHESTER (026)","15691483","118936","1344000","10080","14097483","14097483","105731","0","0",,,,,"0","0","250000","3125","0","0","56","30"
"FY 2016-17","027","CLINTON (027)","73627638","603211","3045500","22841","61252411","60122411","450918","1130000","14125",,,,,"259000","1943","9070727","113384","0","0","266","187"
"FY 2016-17","028","COLCHESTER (028)","69026703","526975","2221800","16664","64705103","64365103","482738","340000","4250",,,,,"584800","4386","1515000","18938","0","0","285","162"
"FY 2016-17","029","COLEBROOK (029)","6106400","45798","267000","2003","5839400","5839400","43796","0","0",,,,,"0","0","0","0","0","0","30","21"
"FY 2016-17","030","COLUMBIA (030)","17855595","134142","220000","1650","17590595","17590595","131929","0","0",,,,,"0","0","45000","563","0","0","79","53"
"FY 2016-17","031","CORNWALL (031)","14362704","125470","527500","3956","13835204","10285204","77139","3550000","44375",,,,,"0","0","0","0","0","0","37","27"
"FY 2016-17","032","COVENTRY (032)","45095660","338217","3078811","23091","41899849","41899849","314249","0","0",,,,,"117000","878","0","0","0","0","222","171"
"FY 2016-17","033","CROMWELL (033)","90237971","831656","2137090","16028","56532275","56531051","423983","1224","15",,,,,"500000","3750","30973000","387163","95606","717","269","179"
"FY 2016-17","034","DANBURY (034)","407867068","3212538","7336500","55024","284673948","282231456","2116736","2442492","30531",,,,,"87592200","656942","28264420","353305","0","0","1097","555"
"FY 2016-17","035","DARIEN (035)","523377477","5283287","2095001","15713","512452612","249691238","1872684","262761374","3284517",,,,,"0","0","8829864","110373","0","0","341","181"
"FY 2016-17","036","DEEP RIVER (036)","18181890","148909","18000","135","16579890","15654890","117412","925000","11563",,,,,"0","0","1584000","19800","0","0","69","36"
"FY 2016-17","037","DERBY (037)","36030572","321396","1383833","10379","24113489","24113489","180851","0","0",,,,,"300000","2250","10233250","127916","0","0","163","128"
"FY 2016-17","038","DURHAM (038)","38249580","300647","1696000","12720","33998580","33798580","253489","200000","2500",,,,,"0","0","2555000","31938","0","0","124","74"
"FY 2016-17","039","EASTFORD (039)","6007500","45056","462000","3465","5545500","5545500","41591","0","0",,,,,"0","0","0","0","0","0","32","41"
"FY 2016-17","040","EAST GRANBY (040)","30350636","229355","1620219","12152","28310417","28310417","212328","0","0",,,,,"75000","563","345000","4313","0","0","119","68"
"FY 2016-17","041","EAST HADDAM (041)","43418920","328492","1665900","12494","41050020","40925020","306938","125000","1563",,,,,"258000","1935","445000","5563","0","0","187","173"
"FY 2016-17","042","EAST HAMPTON (042)","58149942","439325","2856525","21424","54304319","54304319","407282","0","0",,,,,"230000","1725","640000","8000","119098","893","249","146"
"FY 2016-17","043","EAST HARTFORD (043)","134419844","1218949","3394308","25457","83692811","77792668","583445","5900143","73752",,,,,"11072925","83047","36259800","453248","0","0","644","492"
"FY 2016-17","044","EAST HAVEN (044)","87983118","690338","2522000","18915","77759118","77759118","583193","0","0",,,,,"1609000","12068","6093000","76163","0","0","461","336"
"FY 2016-17","045","EAST LYME (045)","110468836","851361","4422565","33169","101960271","101420271","760652","540000","6750",,,,,"57000","428","4029000","50363","0","0","371","234"
"FY 2016-17","046","EASTON (046)","59002799","455683","2037700","15283","56765099","54132599","405994","2632500","32906",,,,,"200000","1500","0","0","0","0","108","65"
"FY 2016-17","047","EAST WINDSOR (047)","54538649","461647","1258296","9437","34080854","34080854","255606","0","0",,,,,"8678000","65085","10521500","131519","0","0","209","131"
"FY 2016-17","048","ELLINGTON (048)","69052299","522667","3197305","23980","53349194","53349194","400119","0","0",,,,,"11550900","86632","954900","11936","0","0","235","172"
"FY 2016-17","049","ENFIELD (049)","227947684","2154008","6638600","49790","110649926","110649926","829874","0","0",,,,,"21779000","163343","88880158","1111002","0","0","675","416"
"FY 2016-17","050","ESSEX (050)","57531825","491298","1266500","9499","52460675","44303525","332276","8157150","101964",,,,,"0","0","3804650","47558","0","0","130","122"
"FY 2016-17","051","FAIRFIELD (051)","705165055","6102652","12410896","93082","633667659","522963330","3922225","110704329","1383804",,,,,"7008000","52560","52078500","650981","0","0","1006","472"
"FY 2016-17","052","FARMINGTON (052)","231643677","1864238","5614300","42107","148506932","143147352","1073605","5359580","66995",,,,,"57500000","431250","20022444","250281","0","0","461","280"
"FY 2016-17","053","FRANKLIN (053)","7728752","58211","755150","5664","6973602","6924602","51935","49000","613",,,,,"0","0","0","0","0","0","36","27"
"FY 2016-17","054","GLASTONBURY (054)","293129456","2564943","8741996","65565","200186835","197878877","1484092","2307958","28849",,,,,"13214125","99106","70986500","887331","0","0","637","358"
"FY 2016-17","055","GOSHEN (055)","36162068","296416","1396900","10477","32396883","27676883","207577","4720000","59000",,,,,"0","0","320000","4000","2048285","15362","92","66"
"FY 2016-17","056","GRANBY (056)","53558963","404642","1390563","10429","51201300","51201300","384010","0","0",,,,,"377100","2828","590000","7375","0","0","197","97"
"FY 2016-17","057","GREENWICH (057)","2015986887","21622769","26865040","201488","1785790072","670540880","5029057","1115249192","13940615",,,,,"18007400","135056","185324375","2316555","0","0","972","552"
"FY 2016-17","058","GRISWOLD (058)","26908385","209705","1035453","7766","22904532","22904532","171784","0","0",,,,,"1389900","10424","1578500","19731","0","0","174","142"
"FY 2016-17","059","GROTON (059)","162774738","1300103","6036383","45273","145764205","140762887","1055722","5001318","62516",,,,,"117000","878","10857150","135714","0","0","635","344"
"FY 2016-17","060","GUILFORD (060)","178006420","1471286","3930500","29479","154586920","146778420","1100838","7808500","97606",,,,,"50000","375","19439000","242988","0","0","396","317"
"FY 2016-17","061","HADDAM (061)","40691416","309012","1953700","14653","37849916","37749916","283124","100000","1250",,,,,"222500","1669","665300","8316","0","0","146","104"
"FY 2016-17","062","HAMDEN (062)","305522497","2676302","3455670","25918","167674671","161374671","1210310","6300000","78750",,,,,"63715531","477866","70676625","883458","0","0","882","603"
"FY 2016-17","063","HAMPTON (063)","5575595","41817","388845","2916","5186750","5186750","38901","0","0",,,,,"0","0","0","0","0","0","29","29"
"FY 2016-17","064","HARTFORD (064)","254665412","2451521","3989358","29920","100418888","99018888","742642","1400000","17500",,,,,"43350997","325132","106906169","1336327","0","0","807","642"
"FY 2016-17","065","HARTLAND (065)","5320699","39905","565000","4238","4755699","4755699","35668","0","0",,,,,"0","0","0","0","0","0","24","31"
"FY 2016-17","066","HARWINTON (066)","22515217","168864","2527443","18956","19987774","19987774","149908","0","0",,,,,"0","0","0","0","0","0","96","69"
"FY 2016-17","067","HEBRON (067)","42242638","316820","2682868","20122","39544770","39544770","296586","0","0",,,,,"15000","113","0","0","0","0","166","93"
"FY 2016-17","068","KENT (068)","21135672","174815","494862","3711","19578810","17381310","130360","2197500","27469",,,,,"0","0","1062000","13275","0","0","51","36"
"FY 2016-17","069","KILLINGLY (069)","68719108","576415","3260850","24456","53255258","53253953","399405","1305","16",,,,,"0","0","12203000","152538","0","0","372","252"
"FY 2016-17","070","KILLINGWORTH (070)","36154922","272356","836000","6270","35062022","34823197","261174","238825","2985",,,,,"256900","1927","0","0","0","0","130","79"
"FY 2016-17","071","LEBANON (071)","30629327","231265","1844313","13832","28476014","28476014","213570","0","0",,,,,"0","0","309000","3863","0","0","175","114"
"FY 2016-17","072","LEDYARD (072)","62335350","478910","1287874","9659","58256631","58256631","436925","0","0",,,,,"25000","188","2279000","28488","486844","3651","291","163"
"FY 2016-17","073","LISBON (073)","11612777","87096","903000","6773","10709777","10709777","80323","0","0",,,,,"0","0","0","0","0","0","66","57"
"FY 2016-17","074","LITCHFIELD (074)","57944434","484583","1245266","9339","54719168","46419168","348144","8300000","103750",,,,,"280000","2100","1700000","21250","0","0","154","116"
"FY 2016-17","075","LYME (075)","23473435","179418","1256100","9421","22217335","21543835","161579","673500","8419",,,,,"0","0","0","0","0","0","63","41"
"FY 2016-17","076","MADISON (076)","174082288","1428514","2854000","21405","166295588","145005975","1087545","21289613","266120",,,,,"1021500","7661","3289700","41121","621500","4661","354","263"
"FY 2016-17","077","MANCHESTER (077)","226260606","2108821","8642124","64816","138231332","135230185","1014226","3001148","37514",,,,,"15000","113","79372150","992152","0","0","854","477"
"FY 2016-17","078","MANSFIELD (078)","80048291","607362","1344000","10080","54994220","54994220","412457","0","0",,,,,"22310071","167326","1400000","17500","0","0","270","154"
"FY 2016-17","079","MARLBOROUGH (079)","29101599","220676","665000","4988","28270349","27787569","208407","482780","6035",,,,,"166250","1247","0","0","0","0","103","78"
"FY 2016-17","080","MERIDEN (080)","128955446","1064826","2687500","20156","104920934","104920536","786904","398","5",,,,,"1278000","9585","19531732","244147","537281","4030","803","677"
"FY 2016-17","081","MIDDLEBURY (081)","56498159","436831","1799039","13493","54224121","52080121","390601","2144000","26800",,,,,"0","0","475000","5938","0","0","169","71"
"FY 2016-17","082","MIDDLEFIELD (082)","22787874","177559","735000","5513","20722874","20722874","155422","0","0",,,,,"0","0","1330000","16625","0","0","83","55"
"FY 2016-17","083","MIDDLETOWN (083)","168182039","1350475","2524050","18930","105643556","105643556","792327","0","0",,,,,"42192500","316444","17821933","222774","0","0","601","462"
"FY 2016-17","084","MILFORD (084)","353274274","3056673","5115752","38368","271611567","266180817","1996356","5430750","67884",,,,,"554500","4159","75992455","949906","0","0","983","499"
"FY 2016-17","085","MONROE (085)","98660378","769943","6047000","45353","86482378","86482378","648618","0","0",,,,,"133000","998","5998000","74975","0","0","292","170"
"FY 2016-17","086","MONTVILLE (086)","54027323","417659","2666000","19995","48854503","48854503","366409","0","0",,,,,"16000","120","2490820","31135","0","0","298","209"
"FY 2016-17","087","MORRIS (087)","13584700","116385","122500","919","13462200","10562200","79217","2900000","36250",,,,,"0","0","0","0","0","0","38","23"
"FY 2016-17","088","NAUGATUCK (088)","70597406","560856","3461929","25964","58816077","58751077","440633","65000","813",,,,,"2109400","15821","6210000","77625","0","0","428","341"
"FY 2016-17","089","NEW BRITAIN (089)","147446237","1220070","4325900","32444","88393771","88158771","661191","235000","2938",,,,,"32117000","240878","22609567","282620","0","0","709","621"
"FY 2016-17","090","NEW CANAAN (090)","480011133","4794332","4941500","37061","454079633","234854922","1761412","219224711","2740309",,,,,"1365000","10238","19625000","245313","0","0","341","157"
"FY 2016-17","091","NEW FAIRFIELD (091)","88438977","688688","3001300","22510","83582677","80283639","602127","3299038","41238",,,,,"75000","563","1780000","22250","0","0","247","136"
"FY 2016-17","092","NEW HARTFORD (092)","26604151","203156","1706957","12802","24032194","24032194","180241","0","0",,,,,"140000","1050","725000","9063","0","0","120","94"
"FY 2016-17","093","NEW HAVEN (093)","284498534","2450837","3229500","24221","178537835","173766335","1303248","4771500","59644",,,,,"44083124","330623","58648075","733101","0","0","899","1028"
"FY 2016-17","094","NEWINGTON (094)","135448075","1064793","1925000","14438","101186041","101186041","758895","0","0",,,,,"22394900","167962","9786438","122330","155696","1168","501","279"
"FY 2016-17","095","NEW LONDON (095)","47413378","406815","998900","7492","36241478","36171478","271286","70000","875",,,,,"0","0","10173000","127163","0","0","259","241"
"FY 2016-17","096","NEW MILFORD (096)","139261856","1102164","5772388","43293","123075818","120860818","906456","2215000","27688",,,,,"1088650","8165","9325000","116563","0","0","513","327"
"FY 2016-17","097","NEWTOWN (097)","204359186","1602481","7576600","56825","182699286","182390286","1367927","309000","3863",,,,,"153000","1148","13648350","170604","281950","2115","511","295"
"FY 2016-17","098","NORFOLK (098)","10464761","83661","861500","6461","8318261","8218261","61637","100000","1250",,,,,"350000","2625","935000","11688","0","0","36","42"
"FY 2016-17","099","NORTH BRANFORD (099)","124575664","954438","2354150","17656","49274692","49272548","369544","2144","27",,,,,"68924822","516936","4022000","50275","0","0","213","159"
"FY 2016-17","100","NORTH CANAAN (100)","7420000","61063","832500","6244","5505000","5505000","41288","0","0",,,,,"0","0","1082500","13531","0","0","43","42"
"FY 2016-17","101","NORTH HAVEN (101)","131155342","1110741","5161052","38708","99413142","99288142","744661","125000","1563",,,,,"1290957","9682","25290191","316127","0","0","384","246"
"FY 2016-17","102","NORTH STONINGTON (102)","25826067","200096","1288400","9663","23257667","23257667","174433","0","0",,,,,"0","0","1280000","16000","0","0","110","100"
"FY 2016-17","103","NORWALK (103)","687086048","6075674","9454721","70910","558147723","475624889","3567187","82522834","1031535",,,,,"17073629","128052","101982873","1274786","427102","3203","1241","709"
"FY 2016-17","104","NORWICH (104)","107659282","963434","1845751","13843","57468588","57468588","431014","0","0",,,,,"17147000","128603","31197943","389974","0","0","521","450"
"FY 2016-17","105","OLD LYME (105)","71393443","563604","1375500","10316","69327943","63952243","479642","5375700","67196",,,,,"435000","3263","255000","3188","0","0","192","142"
"FY 2016-17","106","OLD SAYBROOK (106)","112331538","950119","1783000","13373","99503016","89016136","667621","10486880","131086",,,,,"6000","45","11039522","137994","0","0","255","162"
"FY 2016-17","107","ORANGE (107)","95602232","826098","2565893","19244","69169189","68272883","512047","896306","11204",,,,,"2947149","22104","20920000","261500","0","0","204","136"
"FY 2016-17","108","OXFORD (108)","64084744","484786","2094775","15711","61104969","61104969","458287","0","0",,,,,"55000","413","830000","10375","0","0","205","135"
"FY 2016-17","109","PLAINFIELD (109)","48940300","405105","2185500","16391","33434260","32559260","244194","875000","10938",,,,,"6585000","49388","6735540","84194","0","0","264","155"
"FY 2016-17","110","PLAINVILLE (110)","94010890","915482","3000847","22506","49378043","47578043","356835","1800000","22500",,,,,"1352000","10140","40280000","503500","0","0","284","216"
"FY 2016-17","111","PLYMOUTH (111)","31886263","241772","1092800","8196","30068463","30068463","225513","0","0",,,,,"200000","1500","525000","6563","0","0","208","154"
"FY 2016-17","112","POMFRET (112)","18038900","138667","2358700","17690","15105200","15005200","112539","100000","1250",,,,,"0","0","575000","7188","0","0","69","58"
"FY 2016-17","113","PORTLAND (113)","37821399","304871","2084125","15631","30265225","30265225","226989","0","0",,,,,"1229900","9224","4242149","53027","0","0","165","133"
"FY 2016-17","114","PRESTON (114)","16266141","121996","1059705","7948","15206436","15206436","114048","0","0",,,,,"0","0","0","0","0","0","92","73"
"FY 2016-17","115","PROSPECT (115)","36452229","278292","1956538","14674","33515691","33515691","251368","0","0",,,,,"0","0","980000","12250","0","0","139","76"
"FY 2016-17","116","PUTNAM (116)","31229358","255409","2374286","17807","24617334","24617334","184630","0","0",,,,,"0","0","4237738","52972","0","0","187","108"
"FY 2016-17","117","REDDING (117)","70869689","539232","1367190","10254","69381499","67960699","509705","1420800","17760",,,,,"0","0","121000","1513","0","0","145","80"
"FY 2016-17","118","RIDGEFIELD (118)","317729775","2580737","5579251","41844","297233024","261997865","1964984","35235159","440439",,,,,"10600000","79500","4317500","53969","0","0","486","212"
"FY 2016-17","119","ROCKY HILL (119)","96368148","763109","6508992","48817","67407877","67017122","502628","390755","4884",,,,,"14352000","107640","7678789","95985","420489","3154","309","177"
"FY 2016-17","120","ROXBURY (120)","32438633","279340","810000","6075","31628633","24418500","183139","7210133","90127",,,,,"0","0","0","0","0","0","51","42"
"FY 2016-17","121","SALEM (121)","16057466","120431","1393800","10454","14600666","14600666","109505","0","0",,,,,"63000","473","0","0","0","0","84","57"
"FY 2016-17","122","SALISBURY (122)","52024976","457330","1593500","11951","47836476","35082976","263122","12753500","159419",,,,,"1920000","14400","675000","8438","0","0","94","63"
"FY 2016-17","123","SCOTLAND (123)","4897521","37431","305000","2288","4452521","4452521","33394","0","0",,,,,"0","0","140000","1750","0","0","31","30"
"FY 2016-17","124","SEYMOUR (124)","49230962","376107","985700","7393","46663974","46663974","349980","0","0",,,,,"0","0","1375000","17188","206288","1547","245","162"
"FY 2016-17","125","SHARON (125)","35969443","305577","2832483","21244","32326960","25975710","194818","6351250","79391",,,,,"0","0","810000","10125","0","0","79","62"
"FY 2016-17","126","SHELTON (126)","229478818","1806634","1750000","13125","192392032","192317032","1442378","75000","938",,,,,"18303286","137275","17033500","212919","0","0","625","381"
"FY 2016-17","127","SHERMAN (127)","35951738","290093","2960900","22207","32990838","28899838","216749","4091000","51138",,,,,"0","0","0","0","0","0","81","51"
"FY 2016-17","128","SIMSBURY (128)","183473687","1413595","3884400","29133","136093587","135580887","1016857","512700","6409",,,,,"36500000","273750","6995700","87446","0","0","449","211"
"FY 2016-17","129","SOMERS (129)","40487979","321465","1348600","10115","37040829","35324829","264936","1716000","21450",,,,,"253550","1902","1845000","23063","0","0","135","86"
"FY 2016-17","130","SOUTHBURY (130)","127053404","961983","4607000","34553","120667904","120627904","904709","40000","500",,,,,"2000","15","1776500","22206","0","0","547","242"
"FY 2016-17","131","SOUTHINGTON (131)","192060147","1489116","11834472","88759","150140583","150139619","1126047","964","12",,,,,"20152000","151140","9732029","121650","201063","1508","657","522"
"FY 2016-17","132","SOUTH WINDSOR (132)","150583294","1281701","5463926","40979","113901750","113901750","854263","0","0",,,,,"595000","4463","30465281","380816","157337","1180","502","204"
"FY 2016-17","133","SPRAGUE (133)","6245954","46845","297500","2231","5948454","5948454","44613","0","0",,,,,"0","0","0","0","0","0","41","21"
"FY 2016-17","134","STAFFORD (134)","32604390","265361","992950","7447","27334190","27334190","205006","0","0",,,,,"111600","837","4165650","52071","0","0","229","186"
"FY 2016-17","135","STAMFORD (135)","1408322322","12950858","15873126","119048","773385561","702544706","5269085","70840855","885511",,,,,"163657926","1227434","406847355","5085592","48558354","364188","1689","915"
"FY 2016-17","136","STERLING (136)","13107873","98309","654400","4908","12453473","12453473","93401","0","0",,,,,"0","0","0","0","0","0","76","46"
"FY 2016-17","137","STONINGTON (137)","147140998","1309137","3055714","22918","115570477","102757876","770684","12812601","160158",,,,,"211500","1586","28303307","353791","0","0","355","278"
"FY 2016-17","138","STRATFORD (138)","242881723","1984767","6516000","48870","203331372","201431372","1510735","1900000","23750",,,,,"2303500","17276","30730851","384136","0","0","967","568"
"FY 2016-17","139","SUFFIELD (139)","82458278","664906","5506995","41302","67730783","67657527","507431","73256","916",,,,,"0","0","9220500","115256","0","0","270","163"
"FY 2016-17","140","THOMASTON (140)","20490669","157431","320000","2400","19220206","19220047","144150","159","2",,,,,"89000","668","750000","9375","111463","836","110","66"
"FY 2016-17","141","THOMPSON (141)","35261995","272603","2740650","20555","30557862","30557862","229184","0","0",,,,,"192000","1440","1627692","20346","143791","1078","200","149"
"FY 2016-17","142","TOLLAND (142)","79296526","694670","1406750","10551","50491548","50491548","378687","0","0",,,,,"7409000","55568","19989228","249865","0","0","218","132"
"FY 2016-17","143","TORRINGTON (143)","88067041","766227","809706","6073","65316004","65090575","488179","225430","2818",,,,,"1021900","7664","20919431","261493","0","0","582","423"
"FY 2016-17","144","TRUMBULL (144)","198795706","1525968","5935650","44517","187908056","185353056","1390148","2555000","31938",,,,,"507000","3803","4445000","55563","0","0","513","289"
"FY 2016-17","145","UNION (145)","3076500","23074","210000","1575","2866500","2866500","21499","0","0",,,,,"0","0","0","0","0","0","13","20"
"FY 2016-17","146","VERNON (146)","106272324","854407","4749087","35618","65073937","64723937","485430","350000","4375",,,,,"25326300","189947","11123000","139038","0","0","437","277"
"FY 2016-17","147","VOLUNTOWN (147)","7392400","60068","986500","7399","5480900","5480900","41107","0","0",,,,,"0","0","925000","11563","0","0","42","43"
"FY 2016-17","148","WALLINGFORD (148)","183371990","1523312","2383700","17878","151798790","151273790","1134553","525000","6563",,,,,"110000","825","29079500","363494","0","0","679","376"
"FY 2016-17","149","WARREN (149)","15758609","142300","630000","4725","14378609","10306609","77300","4072000","50900",,,,,"0","0","750000","9375","0","0","30","17"
"FY 2016-17","150","WASHINGTON (150)","76420544","748922","2473000","18548","72500544","38434044","288255","34066500","425831",,,,,"360000","2700","1087000","13588","0","0","90","82"
"FY 2016-17","151","WATERBURY (151)","228284189","2117025","2575147","19314","101754785","101578285","761837","176500","2206",,,,,"42111150","315834","80802197","1010027","1040910","7807","1129","1068"
"FY 2016-17","152","WATERFORD (152)","108009300","849172","4196604","31475","87890660","85965660","644742","1925000","24063",,,,,"10026500","75199","5895536","73694","0","0","397","282"
"FY 2016-17","153","WATERTOWN (153)","91168347","814338","3211400","24086","60455197","60455197","453414","0","0",,,,,"1386750","10401","26115000","326438","0","0","326","248"
"FY 2016-17","154","WESTBROOK (154)","95709740","916273","4583000","34373","53467640","51267640","384507","2200000","27500",,,,,"169100","1268","37490000","468625","0","0","213","253"
"FY 2016-17","155","WEST HARTFORD (155)","396213192","3128013","4075780","30568","327484243","325021337","2437660","2462906","30786",,,,,"35833169","268749","28820000","360250","0","0","1091","477"
"FY 2016-17","156","WEST HAVEN (156)","120614657","955143","3309575","24822","101008932","101008932","757567","0","0",,,,,"5773900","43304","10106585","126332","415665","3117","667","463"
"FY 2016-17","157","WESTON (157)","162508041","1399510","1590000","11925","160723041","124583029","934373","36140012","451750",,,,,"195000","1463","0","0","0","0","188","80"
"FY 2016-17","158","WESTPORT (158)","727921408","7309955","7557000","56678","666851194","348292366","2612193","318558828","3981985",,,,,"1963214","14724","51550000","644375","0","0","505","294"
"FY 2016-17","159","WETHERSFIELD (159)","131827044","1088432","3284175","24631","107857522","107620022","807150","237500","2969",,,,,"127000","953","19708347","246354","850000","6375","484","244"
"FY 2016-17","160","WILLINGTON (160)","14377821","108765","426400","3198","13563350","13563350","101725","0","0",,,,,"0","0","186200","2328","201871","1514","68","31"
"FY 2016-17","161","WILTON (161)","216536615","1834722","1945200","14589","208755615","172451984","1293390","36303631","453795",,,,,"0","0","5835800","72948","0","0","281","135"
"FY 2016-17","162","WINCHESTER (162)","33172526","264654","3890100","29176","25419426","25149426","188621","270000","3375",,,,,"961000","7208","2902000","36275","0","0","184","139"
"FY 2016-17","163","WINDHAM (163)","39978550","337658","1161041","8708","34566673","30991673","232438","3575000","44688",,,,,"262000","1965","3988836","49860","0","0","273","189"
"FY 2016-17","164","WINDSOR (164)","222459599","2126422","2315255","17364","83951045","83091045","623183","860000","10750",,,,,"45458299","340937","90735000","1134188","0","0","427","300"
"FY 2016-17","165","WINDSOR LOCKS (165)","62921468","612436","700000","5250","33863468","33863468","253976","0","0",,,,,"253000","1898","28105000","351313","0","0","209","138"
"FY 2016-17","166","WOLCOTT (166)","62527225","493314","894333","6707","47033391","47033391","352750","0","0",,,,,"9727501","72956","4872000","60900","0","0","229","172"
"FY 2016-17","167","WOODBRIDGE (167)","58209643","447606","1333655","10002","54906988","54529238","408969","377750","4722",,,,,"140000","1050","1829000","22863","0","0","147","92"
"FY 2016-17","168","WOODBURY (168)","60561042","527958","2313477","17351","43717565","43497565","326232","220000","2750",,,,,"0","0","14530000","181625","0","0","188","125"
"FY 2016-17","169","WOODSTOCK (169)","43547170","332264","4795300","35965","37784370","37209370","279070","575000","7188",,,,,"410500","3079","557000","6963","0","0","181","102"
"FY 2016-17",,"TOWN UNKNOWN","39895583","311402","2335863","17519","34751120","32824120","246181","1927000","24088",,,,,"2298600","17240","510000","6375","0","0","139","91"
"FY 2016-17",,"ALL MUNICIPALITIES","20769287150","181932050","504013379","3780100","16382038360","13830676451","103730073","2551361908","31892024",,,,,"1142552221","8569142","2681117417","33513968","59565774","446743","53387","35111"
"FY 2015-16","001","ANDOVER (001)","9351259","70134","127619","957","9161640","9161640","68712","0","0",,,,,"62000","465","0","0","0","0","46","41"
"FY 2015-16","002","ANSONIA (002)","38748607","320992","335751","2518","31679281","31679281","237595","0","0",,,,,"658000","4935","6075575","75945","0","0","213","203"
"FY 2015-16","003","ASHFORD (003)","9804022","74155","342052","2565","9336970","9336970","70027","0","0",,,,,"0","0","125000","1563","0","0","56","75"
"FY 2015-16","004","AVON (004)","215603219","2002833","2723871","20429","141258092","132284624","992135","8973468","112168",,,,,"3432900","25747","68188356","852354","0","0","368","207"
