"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Meriden","*** East Main St","gas station sign","BP Gas Station","62","p0320/p0374","Verizon @ 48'",,,,,,,,
"Milford","*** Wampus Lane","monopole","SBA","120",,"Nextel @ 120'","T-Mobile @ 105'","MetroPCS @ 88'",,,,,,
"Trumbull","**** Reservoir Avenue","rooftop","Mayfair Assisted Living",,,"Cingular @ 42'",,,,,,,,
"New Haven","*** Howe Street","rooftop",,,"Nextel Communications, Inc. antenna","Nextel @ 75'",,,,,,,,
"Stamford","Greyrock Place","utility pole","Verizon","32","small cell; adjacent to 50 Forest Street","Verizon @ 32'",,,,,,,,
"Groton","Eastern Point Road - Pfizer","rooftop",,,,"Nextel @ 76'",,,,,,,,
"Manchester","*** Olcott St.","self-supporting lattice","CL&P/NU","180","replacement tower P1346","Sprint @ 135'",,,,,,,,
"Derby","** Elizabeth Street","rooftop",,,,"MetroPCS @ 75'",,,,,,,,
"Old Lyme","*** Sterling City Road","silo",,"75",,"AT&T @ 75",,,,,,,,
"Ansonia","** South Cliff Street","church steeple","Christ Episcopal Church",,,"T-Mobile @ 92'",,,,,,,,
"Prospect","* Union City Road","steeple",,,,"T-Mobile @ 58'",,,,,,,,
"Norwalk","** Willard Road","self-supporting lattice","AT&T","350",,"Cingular @ 347'","Sprint @ 240'","AT&T/skytel @ 370'/200'","pagenet @ 350'","T-Mobile @ 262'","ardis @ 354.5'","greater norwalk radio @ 350'","MetroPCS newyork @ 230'","mediaflo @ 294'"
"Middletown","** Country Club Road","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Bristol","** Valley Street (*th floor)","rooftop",,,,"Verizon @ 87.9'",,,,,,,,
"Shelton","** Platt Road/** Oliver Terrace","monopole","AT&T","140","(p0608/722)add 40 to height of tower; AT&T to move antennas from 95' to 130'","Cingular/AT&T @ 130'","Sprint @ 74.5'","Verizon @ 140'",,,,,,
"Oxford","** Shelton Rd","self-supporting lattice","CSP","94","p0141.7/p0308A","necs @ 80'","Cingular @ 92'",,,,,,,
"Manchester","Middle Turnpike West","utility pole","Verizon","41","small cell; adjacent to 1183 Middle Turnpike West","Verizon @ 41'",,,,,,,,
"Darien","* Raiders Lane","in-building IP access",,,"private home","T-Mobile",,,,,,,,
"Stonington","** Jerry Brown Road","o-flagpole","SBA Towers","160",,"T-Mobile @ 135'","Cingular/AT&T @ 125'","Nextel",,,,,,
"Bethel","** Francis J. Clarke Circle","monopole","SBA","155","Nextel on tower @ 146'","Nextel @ 146'","Cingular/AT&T @ 125'","Sprint @ 157'","Verizon @ 136'","T-Mobile @ 117'",,,,
"Montville","* Mohegan Sun Blvd.","rooftop","Mohegan Sun",,,"Cingular @ 87","Sprint @ 80'","T-Mobile @ 74'","Verizon @ 75'","Nextel @ 107'","MetroPCS @ 67'",,,
"Southbury","** Lakeside Road (Troop A)","self-supporting lattice","DPS","180",,"T-Mobile @ 157'",,,,,,,,
"Danbury","** Newtown Road","monopole","Fifty Newtown Rd Corp","110","p0917 adds 14' extension onto 96' pole","Verizon @ 90'","Cingular @ 100'","MetroPCS @ 108'","DISH @ 80",,,,,
"Bridgeport","** Cartright Street","rooftop",,,"t-mobile - 9 antennas","T-Mobile @ 95'",,,,,,,,
"Farmington","** Lovely St","monopole","AT&T","102",,"Cingular @ 102'","Nextel @ 84'","DISH @ 88'",,,,,,
"Bridgeport","*** Maplewood","rooftop",,,,"T-Mobile @ 68'","Verizon @ 128/123'",,,,,,,
"Hartford","** Savitt Way","rooftop","Meadows Music Theater",,,"Verizon @ 81'",,,,,,,,
"Glastonbury","*** Dickinson Rd (** Redwood Lane)","monopole","SBA","180",,"Verizon @ 168'","T-Mobile @ 177'","Cingular @ 137'","Sprint @ 158'","DISH @ 147'",,,,
"Southington","Pleasant Street","utility pole","Verizon","36","small cell; adjacent to 720 Pleasant Street","Verizon @ 35'",,,,,,,,
"Hamden","**** Whitney Ave","power mount","CL&P/NU","101","p0744 - AT&T goes on monopole; T-Mobile moves from lattice structure approved under p0440 in TS-T-Mobile-062-060621","T-Mobile @ 107.25'","AT&T @ 116'",,,,,,,
"East Haddam","*** Honey Hill Road","monopole","Crown","150","p0587","Sprint @ 140'","Cingular/AT&T @ 120'","Verizon @ 150'",,,,,,
"Milford","*** Old Gate Road","monopole","Crown Castle","120",,"Sprint/Nextel @ 120'","clearwire @ 120'","Verizon @ 100'","AT&T @ 83'",,,,,
"Windsor","*** Broad Street","utility pole","Verizon","15","small cell","Verizon @ 15'",,,,,,,,
"East Windsor","** School Street","guyed lattice","Town of East Windsor (Police Dept.)",,,,,,,,,,,
"Manchester","** Clinton Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Hartford","** Webster Street","rooftop",,"50'",,"T-Mobile @ 48'","MetroPCS @ 40'",,,,,,,
"North Canaan","** Lower Road","self-supporting lattice","LCD","195",,"Cingular @ 143'","T-Mobile @ 125'",,,,,,,
"Branford","** Block Island Road","utility pole","Verizon","22","small cell","Verizon @ 22'",,,,,,,,
"Danbury","** Lake Avenue","rooftop","Belarmino and Francisca Rosa",,,"MetroPCS/T-Mobile @ 47.5'",,,,,,,,
"Pomfret","** Babbit Hill","monopole","SBA","168",,"Nextel @ 167'","Sprint @ 157'","T-Mobile @ 137'","Cingular @ 147'",,,,,
"East Haven","** Frontage Road","billboard",,,,"Cingular @ 56'","T-Mobile @ 44'","Sprint",,,,,,
"Cheshire","**** Cheshire Street","monopole","InSite Towers Development","170","d0451","AT&T @ 155'","town @ 170'","Verizon @ 145","T-Mobile @ 129'","DISH @ 124'",,,,
"Norwich","*** Elizabeth Street","rooftop",,,,"MetroPCS @ 50'",,,,,,,,
"Simsbury","*** Grist Mill Road","monopole","SBA","150","d0203","Cingular @ 150'","Verizon @ 140'","Nextel @ 130'","Sprint @ 120'","T-Mobile @ 110'","nesm @ 100'","town @ 90'","MetroPCS @ 133'","Dish @ 110'"
"Hartford","** Sumner Street","rooftop",,,,"T-Mobile @ 89'",,,,,,,,
"New London","*** Montauk Avenue","rooftop","Message Center Mgmt",,,"T-Mobile @ 81'",,,,,,,,
"Naugatuck","*** Sheridan Drive","water tower",,,,"Sprint @ 55'",,,,,,,,
"Meriden","**** East Main Street","small cell","Verizon","21","p1335; small cell on roof fa�ade of commercial building","Verizon @ 21'",,,,,,,,
"Middletown","**** Middle Street","rooftop",,,,"Nextel @ 65'",,,,,,,,
"Wallingford","*** East Center Street","monopole","Crown Castle","130",,"Verizon @ 120'","Cingular @ 110'","Dish @ 143'",,,,,,
"East Lyme","Flanders Road","power mount","CL&P","97","(p0530)CL&P structure #6077","Cingular/AT&T @ 109'",,,,,,,,
"Newington","** Prospect St.","monopole","Crown Castle","120",,"Verizon @ 100'","town @ 105'","Sprint @ 120'","Sigfox @ 131'","Dish @ 78'",,,,
"Bridgeport","**** Boston Avenue","steeple",,,,"T-Mobile @ 66'",,,,,,,,
"Trumbull","*** (**) Merrimac Dr.","water tank",,"45",,"AT&T @ 44'","T-Mobile @ 46'","Verizon @ 43.8'",,,,,,
"Tolland","*** Merrow Road","utility pole","Verizon","23","small cell","Verizon @ 23.5'",,,,,,,,
"Brooklyn","*** Grant Hill Road","monopole","Crown Castle","150",,"Cingular/AT&T @ 127'","T-Mobile @ 137'","Verizon @ 117'",,,,,,
"Shelton","**** Bridgeport Avenue","rooftop","Verizon","73",,"Verizon @ 73'",,,,,,,,
"Manchester","*** Progress Drive","rooftop","Transfer Realty, LLC",,,"Sprint",,,,,,,,
"Woodbury","**** Main Street North","monopole","Crown Castle","160","convert ground equipment from AT&T to Alltel signals","Cingular/AT&T @ 130'","Nextel @ 140'","Verizon @ 150'","Cingular @ 120'",,,,,
"Danbury","** Old Ridgebury Road","rooftop","Danbury Hilton","125","p0334","Cingular @ 105'","Sprint @ 115'","T-Mobile @ 125'","Verizon @ 125'",,,,,
"New Haven","** Warren Street","rooftop",,,,"T-Mobile @ 64'",,,,,,,,
"Lebanon","*** Gates Road","guyed lattice","Gates Hill Partners","302",,"crown @ 115'",,,,,,,,
"Bloomfield","** Brewer Street (Bloomfield Cemetery)","monopole","Sprint","120","use existing equipment shelter","Cingular @ 100'","T-Mobile @ 107'","Verizon @ 87'","Sprint @ 120'","Dish @ 89'",,,,
"Fairfield","**** Easton Turnpike","rooftop",,"81",,,,,,,,,,
"Haddam","Foot Hills Road","self-supporting lattice","Storer Comm.","50","d028","storer @ 47'",,,,,,,,
"New Britain","*** Myrtle Street","rooftop","Message Center Mgmt","85'",,"Cingular @ ?",,,,,,,,
"Southington","** Main Street","church steeple","First Congregational Church of Southington","80'","carriers Sprint & AT&T","Sprint @ 80'","Nextel @ 98'","AT&T @ 100'",,,,,,
"Bristol","*** Broad Street","smokestack",,,"Gaski Realty","Sprint @ 126'",,,,,,,,
"Norwalk","*** Connecticut Avenue","rooftop",,,,"MetroPCS @ 110'",,,,,,,,
"Fairfield","**** Post Road","utility pole","Verizon","31","small cell; across from 985 Post Rd","Verizon @ 31'",,,,,,,,
"Greenwich","* Perryridge Rd","monopole","Greenwich Hospital","164","d0073.1","Verizon @ 124'","Sprint @ 154'","T-Mobile @ 144'","Nextel @ 113'","eversource @ 114'",,,,
"Hebron","** Main Street","self-supporting lattice","Town of Hebron","100'","Firehouse",,,,,,,,,
"Greenwich","Sound Beach Avenue (CL&P #****)","power mount","CL&P","95","(p0467) install 3 additional equipment cabinets in shelter","Cingular/AT&T @ 107'",,,,,,,,
"Middlefield","*** Meriden Road","monopole","Crown Castle","134",,"Cingular @ 131'","T-Mobile @ 100'","Nextel @ 110'","Sprint @ 120'",,,,,
"East Lyme","*** West Main Street","small cell","Verizon","80","p1285; replacement of light pole and add small cell","Verizon @ 86'",,,,,,,,
"Norwalk","** Norden Place","in-building IP access",,,,"T-Mobile",,,,,,,,
"Woodbridge","* Country Club Road","power mount","CL&P (pole # 24092)","161",,"T-Mobile @ 158'",,,,,,,,
"Waterbury","*** Union Street","in-building IP access",,,"Brass City shopping mall","T-Mobile",,,,,,,,
"Granby","** Petersen Road","power mount","CL&P (#11065)","100","(p0724) replace transmission line structure to accommodate antennas","Cingular @ 100'",,,,,,,,
"North Stonington","*** Norwich Westerly Road (Rt. *)","monopole","SBA","150",,"Cingular/AT&T @ 107'","T-Mobile @ 147'","Verizon @ 137'","emf broadcasting @ 92'","Dish @ 127'",,,,
"Waterbury","*** Reidville Road","billboard",,,,"Cingular @ 65'",,,,,,,,
"Westport","*** Post Road East (*** Boston Post Road/State Street East)","monopole","Westport Fire Dept","150","install 3 equipment cabinets on roof","Cingular @ 120'","Nextel @ 135'","T-Mobile @ 85'",,,,,,
"Wilton","Rivergate Drive","power mount","CL&P (#938)","100","p1134; P1134A- AT&T amendment; increase in height from 100-103ft","AT&T @ 103'",,,,,,,,
"Enfield","**** Enfield Street","water tank",,,,"Cingular 107'","Sprint @ 94'/104'","Verizon @ 85'","Nextel @ 75'",,,,,
"Stamford","*** Long Ridge Road","rooftop",,,"site provided by City of Stamford","Sprint",,,,,,,,
"Goshen","* Old Middle Street","church steeple","Sprint","68'",,"Sprint @ 68'",,,,,,,,
"Prospect","** Kluge Road","self-supporting lattice","CL&P","152","(p0745)ssl tower replaces existing gl which is not structurally sound; antennas on existing tower to be transferred to new tower","cl&p @ ?",,,,,,,,
"South Windsor","** Beldon Street","utility pole","Verizon","26","small cell","Verizon @ 26'",,,,,,,,
"East Lyme","King Arthur Drive","AcCELLerator","CL&P","90","(p0396)Transmission structure 6076","T-Mobile @ 97'",,,,,,,,
"Tolland","** Tolland Stage Road","guyed lattice","Rock-Vern Electric","65'","for company communications",,,,,,,,,
"Stamford","** Buxton Farm Road","rooftop",,,,"T-Mobile @ 61'",,,,,,,,
"Stamford","*** Glenbrook Road","utility pole",,"27","PURA","AT&T @ 26'",,,,,,,,
"Westbrook","*** Old Clinton Road","monopole","Crown Castle","160","p0511","T-Mobile @ 145'","Nextel @ 130'","Sprint @ ?","Verizon @ 110'","Dish @ 132'",,,,
"New Canaan","Park Street","utility pole","Verizon","37","small cell; adjacent to 1-7 Maple Street","Verizon @ 37'",,,,,,,,
"Watertown","Cutler Knoll","utility pole","Verizon","28","small cell; adjacent to 36 Cutler Street","Verizon @ 28'",,,,,,,,
"Waterbury","**** South Main Street","rooftop","1663 South Main LLC","51","p1198; small cell","Verizon @ 57.25'",,,,,,,,
"Norwalk","* Norden Place","utility pole",,"41","PURA","AT&T @ 41'",,,,,,,,
"Mansfield","** North Eagleville Rd","self-supporting lattice","UCONN","250",,"mansfield @ 110'","uconn/Sprint @ ?","T-Mobile @ 235'",,,,,,
"New Canaan","*** Elm Street","in-building IP access",,,,"T-Mobile",,,,,,,,
"Farmington","** Maple Ridge Road","power mount","CL&P","65","p0423","T-Mobile @ 77.5'",,,,,,,,
"Waterford","*** Boston Post Road","utility pole","Verizon","36","small cell","Verizon @ 36.5'",,,,,,,,
"Stratford","*** Lordship Blvd.","rooftop","Sprint","72' 6""",,"Sprint @ 72'",,,,,,,,
"Salisbury","** Library Street","monopole","American Tower","150","d0306","Cingular @ 153'","T-Mobile @ 123'","Verizon @ 134'",,,,,,
"Ridgefield","*** Ridgebury Road","cupola","Boehringer Ingelheim","37'",,"Cingular @ 37'",,,,,,,,
"Greenwich","Off Station Dr","monopole","CL&P","140","p0466","T-Mobile @ 162'",,,,,,,,
"Meriden","*** Pratt Street","rooftop",,,,"Cingular @ 82'",,,,,,,,
"Woodbridge","** Woodfield Road","monopole",,,,"Cingular @ 98'","Verizon @ 90'","Dish @ 67'",,,,,,
"Montville","Troop E I ***, ** Montville Rd","self-supporting lattice","DPS","260","d0063.2","dep @ 260'","dps @ 254'","T-Mobile @ 235'",,,,,,
"Fairfield","**** Easton Turnpike","watertank",,,,"T-Mobile @ 123'",,,,,,,,
"Southington","*** Queen Street","o-interior mounted pole (flagpole w/o flag)","Crown Castle","94","P1133 EFR to extend height to 94'","Cingular/AT&T @ 77' & 89",,,,,,,,
"Brookfield","* Huckleberry Hill Road","other (flagpole)","AT&T","60","p0616; up to four equipments on concrete pad","Cingular/AT&T 55, 48'",,,,,,,,
"Groton","*** New London Road/Route *","water tower",,,,"Sprint @ 88'","T-Mobile @ 72'",,,,,,,
"Branford","*** North Main St","monopole","Crown Castle","150","p0887 adds 10' extension","metricom @ 135'","Cingular @ 110'","pagenet @ 95'","Nextel @ 135'","tmobile @ 125'","MetroPCS @ 157'","DISH@136'",,
"North Stonington","**A Pendleton Hill (Routes ** & I-**)","guyed lattice","James Romanella & Sons","100",,"AT&T @ 95'",,,,,,,,
"Glastonbury","** Birch Mtn Rd","self-supporting lattice","AT&T","140","d049","Cingular @ 130'",,,,,,,,
"Hartford","*** (***) Wawarme Avenue","rooftop",,,"Depasquale","Sprint @ 79'","T-Mobile @ 82'","Verizon @ 75.1'","Cingular @ 88'",,,,,
"Stamford","*** Main Street","building mounted ssl","SBA","245","(p0128/p0154)120' tower on top of 100' AT&T building","Cingular @ 120'/130'","windstar @ 130'","T-Mobile @ 211.5'",,,,,,
"New London","** Manwaring Street","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Windsor","*** Northfield Drive","in-building IP access",,,"ING life insurance co. office building","T-Mobile",,,,,,,,
"Darien","off West Ave","power mount","CL&P (structure #1066)","95","p0474","Cingular/AT&T @ 110'",,,,,,,,
"Milford","*** Melba Street","s-flagpole","T-Mobile","135","T-Mobile on flagpole @ 122.5 and 114.5","Cingular/AT&T @ 94.5/104.5'","T-Mobile @ 122.5/114.5'","Sprint @ 139'","DISH @ 89'",,,,,
"Greenwich","* Fawcett Place","rooftop","AT&T Wireless","60'8""","AT&T antennas concealed within a 20' flagpole on top of roof",,,,,,,,,
"Stamford","**** Long Ridge Road","stealth chimneys on rooftop",,,,"Cingular @ 56'","T-Mobile @ 48'","Sprint @ 38'",,,,,,
"New Haven","*** Blvd. Overpass","wood utility pole","UI","79","(p0437) replace 30' wood utility pole with 79' wood utility pole","ui @ 79'",,,,,,,,
"Manchester","** Church Street","steeple",,,,"Sprint @ 63'",,,,,,,,
"West Hartford","**** Albany Avenue","church cupola","St. Mary's",,,"Verizon",,,,,,,,
"Prospect","** Waterbury Road","guyed lattice","Charles Bradshaw","160",,"Cingular @ 120'","Nextel @ 152'",,,,,,,
"Middletown","*** South Main Street","utility pole","Verizon","30","small cell","Verizon @ 30'",,,,,,,,
"Manchester","** Mitchell Drive","self-supporting lattice","Marcus Communications","170",,"marcus @ 170'","Verizon @ 100'","T-Mobile @ 140-ft","DISH @ 170'",,,,,
"Griswold","*** (***) Norman Road","self-supporting lattice","Mariner Tower","160","70""x6.3""x2.7"" antennas","Verizon @ 158'","T-Mobile @ 150'","Cingular/AT&T @ 138'",,,,,,
"Enfield","*** Elm Street","self-supporting lattice","Town of Enfield","160","tower share T-Mobile; Tower share AT&T","T-Mobile @ 140'","AT&T @ 151'",,,,,,,
"Montville","** Fort Shantok Road","tower","Town of Montville","118'",,,,,,,,,,
"Norwich","* Hinckley Hill Rd","self-supporting lattice","Cordless Data Transfer","150","p0579 - t-mobile adds 10-foot extension","Verizon @ 131.5'","Cingular/AT&T 115'","T-Mobile @ 153'","DISH @ 105'",,,,,
"New Haven","**** Whalley Avenue","rooftop",,,"Spacenet Inc.",,,,,,,,,
"New Haven","** Wheeler Street","monopole",,"88","p0753 adds 10 foot extension to 98'","Nextel @ 80'","Cingular @ 90'","Cingular/AT&T @ 70'","T-Mobile @ 98'",,,,,
"Norwalk","** Calf Pasture Beach Road","utility pole",,"33","City approved","AT&T @ 33'",,,,,,,,
"Guilford","*** Church Street","self-supporting lattice","Town of Guilford","40'","Guilford Police Station",,,,,,,,,
"Wolcott","*** Nichols Road","monopole","Town of Wolcott","100",,,,,,,,,,
"Orange","*** Orange Center Rd/ High Plains CC","monopole","Orange, Town of","160","d0177A.1","Sprint @ 136'","Verizon @ 158'","Nextel @ 169'","Cingular @ 146'","T-Mobile @ 123'",,,,
"Oxford","*** Oxford Rd","monopole","Sprint","150",,"Verizon @ 130'","Cingular @ 140'","MetroPCS @ 117'","DISH @ 107",,,,,
"Norwalk","*** Connecticut Avenue","in-building IP access",,,"T-Mobile store location","T-Mobile",,,,,,,,
"Newtown","Queen Street","utility pole","Verizon","31","small cell; adjacent to 11 Queen Street","Verizon @ 31'",,,,,,,,
"New Haven","** White Street","rooftop",,,,"T-Mobile @ 42'",,,,,,,,
"West Haven","*** Derby Avenue","ballfield light pole",,,,"Nextel @ 87'",,,,,,,,
"Stamford","** Myrtle Ave","power mount","CL&P","120","(p0393)GPS on 18' pole, Powermount","Sprint @ 135'",,,,,,,,
"New Haven","**** Quinnipiac Ave.","wood utility pole","UI","79","(p0437) replace 30' wood utility pole with 79' wood utility pole","ui @ 79'",,,,,,,,
"Monroe","*** Guinea Rd (*** Guinea Road)","guyed lattice","Crown Cable","140","d015","housatonic catv @ 120'","crown @ 55/65/73/90'","Verizon @ 103/140'","pagenet @ 25/75/141'",,,,,
"Greenwich","****-**** East Putnam Avenue","rooftop","Verizon","32'",,"Verizon @ 32'",,,,,,,,
"Shelton","*** Bridgeport Avenue","in-building IP access",,,"Wal-Mart","T-Mobile",,,,,,,,
"Trumbull","**** Main Street","rooftop","Westfield Shopping Ctr.",,,"Cingular @ 69'","Sprint @ 70'","T-Mobile @ 77'","MetroPCS @ 67'",,,,,
"Plainville","* Central Square (**-** East Main Street)","monopole","Town of Plainville","85'",,"Verizon @  81'",,,,,,,,
"Winchester","** Oakdale Ave. (*** Oakdale/* Stowe Rd)","monopole","American Tower","180","d0138.4","Cingular @ 184'/150'","Cingular/AT&T @ 150'","Verizon @ 125'",,,,,,
"New Britain","** Spring Street","rooftop","Regency Apts",,,"Sprint @ 73'",,,,,,,,
"Tolland","*** Walbridge Hill Road","guyed lattice","Kevin Romanick","75","ham radio",,,,,,,,,
"Meriden","*** Murdock Avenue","silo","AT&T","82","p1099 - replace existing, unused 57' silo with 82' telcom silo","AT&T @ 74'",,,,,,,,
"Meriden","*** Johnson Ave.","water tank",,,,"Verizon @ 73'","T-Mobile @ 120'",,,,,,,
"East Hartford","May Road","utility pole","Verizon","26","small cell; adjacent to 200 May Road","Verizon @ 26'",,,,,,,,
"Manchester","*** Highland Street","utility pole",,"31","PURA","AT&T @ 31'",,,,,,,,
"Bridgeport","*** Main Street","rooftop",,,"9 antennas","Cingular @ 100'","Sprint @ 127'","T-Mobile @ 100'",,,,,,
"Killingly","*** Mechanic Street","rooftop monopole","Eversource","79","p1308 replacement tower on Eversource property","Eversource @ 77'",,,,,,,,
"Wallingford","** Toelles Road","monopole","Crown Castle","120'","site managed by Global Site Acquisitions","Sprint @ 120'",,,,,,,,
"Groton","** Groton Long Point Rd","self-supporting lattice","Groton, Town of","140","d0175","Verizon @ 140'","Cingular @ 133'","Nextel @ 90'",,,,,,
"Stamford","*** Highridge Road","rooftop","City of Stamfored/ Sprint","70","petition 1360","Sprint @ 69.5'",,,,,,,,
"Ashford","** Seles Road (** Seles Rd)","guyed lattice","Raymond Baker","190",,"Sprint @ 170'","Verizon @ 190'","Cingular/AT&T @ 140'",,,,,,
"Tolland","* Barbara Rd/** Ruops Road","monopole","American Tower","150","d0100","Cingular @ 150'","Sprint @ 130'","T-Mobile @ 160'","Cingular/AT&T @ 110'","Nextel @ 120'","Verizon @ 142'","Dish @ 93'",,
"Bridgeport","* Kaechele Place","monopole","Crown Castle","156","d045.1","Cingular @ 155'","Cingular/AT&T @ 140'","Verizon @ 100'",,,,,,
"Trumbull","Strobel Road","utility pole","Verizon","37","small cell; adjacent to 546 Daniels Farm Road","Verizon @ 37'",,,,,,,,
"Manchester","** Lake Street","monopole","SBA","110","d0351","T-Mobile @ 107'","DISH @ 85'",,,,,,,
"Stamford","** Prospect Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Stonington","** Taugwank Road","monopole","Crown Castle","150","d0121","Cingular @ 150'","Verizon @ 110'",,,,,,,
