"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"Terrace Gardens Apts.","Affordable Housing","3281 College Place","Lemon Grove","(619) 698-8455","Elderly","Seniors 55+","Units: 150
Bedrooms: 1",,"3281 College Place
Lemon Grove, CA 91945
(32.740472, -117.047842)"
"Terra Cotta Apartments","Affordable Housing","523 Rush Drive","San Marcos","(760) 471-6151","Families",,"Units: 166
Bedrooms: 1-3","www.bridgehousing.com/properties/family/san-diego/san-marcos/terra-cotta ","523 Rush Drive
San Marcos, CA 92078
(33.125656, -117.167745)"
"Tesoro Grove","Affordable Housing","1150 Tesoro Grove Way","San Diego","(619) 271-0204","Low Income",,"Units: 104
Bedrooms: 1-3",,"1150 Tesoro Grove Way
San Diego, CA 92154
(32.574491, -117.081432)"
"The Association for Community Housing Solutions
Paseo Glenn-Shelter Plus Care","Permanent Supportive Housing","1865 Titus Street","San Diego","(619) 291-0638","Adult Men/ Women","Severely Mentally Ill","Beds: 12
Max Stay: Unlimited",,"1865 Titus Street
San Diego, CA 92110
(32.745417, -117.18384)"
"The Association for Community Housing Solutions
Reese Village Apartments","Permanent Supportive Housing","4809 70th Street","San Diego","(619) 303-0766","Adult Men/ Women","Severely Mentally Ill","Beds: 18
Max Stay: Unlimited",,"4809 70th Street
San Diego, CA 92115
(32.766276, -117.046798)"
"The Association for Community Housing Solutions
Sunburst Apts.","Permanent Supportive Housing","1640 Broadway","San Diego","(619) 692-2077","Youth","Ages 18-24 ;
Special Needs","Beds: 25
Max Stay: Unlimited",,"1640 Broadway
San Diego, CA 92101
(32.715774, -117.148865)"
"The Association for Community Housing Solutions
The Cove Apts.","Permanent Supportive Housing","5288 El Cajon Blvd","San Diego","(619) 550-5452","Elderly","Mentally Ill Seniors","Beds: 20
Max Stay: Unlimited",,"5288 El Cajon Blvd
San Diego, CA 92101
(32.757575, -117.081667)"
"The Association for Community Housing Solutions
The Reverend Glenn Allison Apts.","Permanent Supportive Housing","5020 Federal Blvd","San Diego","(619) 263-7321","Adult Men/ Women","Severely Mentally Ill","Beds: 41
Max Stay: Unlimited",,"5020 Federal Blvd
San Diego, CA 92102
(32.721406, -117.086709)"
"The Crossings","Affordable Housing","13525 Zinnia Hills Place","San Diego","(858) 481-1291","Low Income",,"Units: 108
Bedrooms: 1-3",,"13525 Zinnia Hills Place
San Diego, CA 92130
(32.965299, -117.185301)"
"The Fellowship Center","Transitional Shelter","737 E. Grand Avenue","Escondido","(760) 745-7829","Adult Men","Substance Abuse Treatment","Beds: 114
Max Stay: 12 Months",,"737 E. Grand Avenue
Escondido, CA 92025
(33.125181, -117.072036)"
"The Knolls","Affordable Housing","688 Vineyard Road","San Marcos","(760) 744-7133","Families",,"Units: 60
Bedrooms: 2-4","www.ohdcorp.com/portfolio- view/the-knolls","688 Vineyard Road
San Marcos, CA 92069
(33.151859, -117.154629)"
"The Landings Apts.","Affordable Housing","2122 Burdock Way","Chula Vista","(619) 397-2600","Low Income",,"Units: 92
Bedrooms: 3",,"2122 Burdock Way
Chula Vista, CA 91915
(32.619222, -116.96103)"
"The Meadows Apts. ","Affordable Housing","1055 Granjas Road","Chula Vista","(619) 476-9920","Elderly","Seniors 50+ ;
 Disabled ;
 Section 8","Units: 80
Bedrooms: 1",,"1055 Granjas Road
Chula Vista, CA 91911
(32.61186, -117.079715)"
"The Salvation Army
Adult Rehabilitation","Transitional Shelter","1335 Broadway","San Diego","(619) 239-4037","Adult Men/ Women","Substance Abuse Treatment","Beds: 125
Max Stay: 6 Months",,"1335 Broadway
San Diego, CA 92101
(32.71575, -117.152426)"
"The Salvation Army
Door of Hope- Haven Program","Transitional Shelter","2799 Health Center Drive","San Diego","(858) 279-1100","Youth","Foster Youth","Beds: 12
Max Stay: 2 years or
 until age 18",,"2799 Health Center Drive
San Diego, CA 92123
(32.794351, -117.157662)"
"The Salvation Army
Door of Hope- Transitional Living","Transitional Shelter","2799 Health Center Drive","San Diego","(858) 279-1100","Women and Children","Homeless","Beds: 36
Max Stay: 12 months",,"2799 Health Center Drive
San Diego, CA 92123
(32.794351, -117.157662)"
"The Salvation Army
STEPS","Transitional Shelter","825 Seventh Avenue","San Diego","(619) 699-2221","Adult Men","Homeless","Beds: 42
Max Stay: 12 Months",,"825 Seventh Avenue
San Diego, CA 92101
(32.713963, -117.158348)"
"The Terraces Apts.","Affordable Housing","1301 Morning View Drive","Escondido","(760) 735-5140","Low Income",,"Units: 190
Bedrooms: 1-4","www.terracesescondido.aptdemo.com","1301 Morning View Drive
Escondido, CA 92026
(33.13904, -117.096997)"
"The Tradition Apts.","Affordable Housing","1901 Cassia Road","Carlsbad","(760) 918-9400","Low Income",,"Units: 24
Bedrooms: 2-3","www.thetraditionapartmenthomes.com","1901 Cassia Road
Carlsbad, CA 92011
(33.114069, -117.272549)"
"The Village at Lakeside Apts.","Affordable Housing","9703 Wintergardens Blvd","Lakeside","(619) 561-7288","Elderly","Seniors 55+","Units: 100
Bedrooms: 1",,"9703 Wintergardens Blvd
Lakeside, CA 92040
(32.853736, -116.931124)"
"Torrey Apts.","Affordable Housing","228 Chambers Street., #F1","El Cajon","(619) 442- 9634","Low Income",,"Units: 38
Bedrooms: 2",,"228 Chambers Street
El Cajon, CA 92020
(32.796959, -116.966606)"
"Torrey del Mar","Affordable Housing","13875 Carmel Valley Road","San Diego","(858) 780-8760","Low Income",,"Units: 112
Bedrooms: 1-3",,"13875 Carmel Valley Road
San Diego, CA 92130
(32.970587, -117.159564)"
"Torrey Highlands Apts.","Affordable Housing","13370 Torrey Meadows Drive","San Diego","(858) 538-6425","Low Income",,"Units: 75
Bedrooms: 2-3",,"13370 Torrey Meadows Drive
San Diego, CA 92129
(32.9638, -117.152021)"
"Town & Country Village","Affordable Housing","4066 Messina Drive, #B","San Diego","(619) 263-0737","Low Income",,"Units: 97
Bedrooms: 2-3",,"4066 Messina Drive
San Diego, CA 92113
(32.703644, -117.106278)"
"Townspeople-51st Street","Affordable Housing","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Low Income","Special Needs","Units: 24
Bedrooms: 1-2","www.townspeople.org","4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople
51st Street Apts. ","Transitional Shelter","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Adult Men/ Women","HIV/AIDS","Beds: 24
Max Stay: Unlimited",,"4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople, Inc.
34th Street Project","Permanent Supportive Housing","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Adult Men/ Women","HIV/AIDS","Beds: 34
Max Stay: Unlimited",,"4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople, Inc.
51st Street Project","Permanent Supportive Housing","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Adult Men/ Women","HIV/AIDS","Beds: 24
Max Stay: Unlimited",,"4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople, Inc.
Wilson Avenue Apartments","Permanent Supportive Housing","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Adult Men/ Women","HIV/AIDS","Beds: 8
Max Stay: Unlimited",,"4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople-Wilson Ave.","Affordable Housing","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Low Income","Special Needs","Units: 8
Bedrooms: 1-2","www.townspeople.org","4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Townspeople
Wilson Avenue Apts.","Transitional Shelter","4080 Centre Street, Suite 201","San Diego","(619) 295-8802","Adult Men/ Women","HIV/AIDS","Beds: 24
Max Stay: Unlimited",,"4080 Centre Street
San Diego, CA 92103
(32.751785, -117.146659)"
"Tradition One-Men","Transitional Shelter","4104 Delta Street","San Diego","(619) 264-0141","Adult Men","Substance Abuse Treatment","Beds: 44
Max Stay: 18 Months",,"4104 Delta Street
San Diego, CA 92113
(32.688774, -117.10574)"
"Tremont Street Apts.","Affordable Housing","1115 S. Tremont","Oceanside","(760) 433-4419","Low Income","Special Needs","Units: 20
Bedrooms: ",,"1115 S. Tremont
Oceanside, CA 92054
(33.184291, -117.370952)"
"Trinity Manor","Affordable Housing","3940 Park Blvd","San Diego","(619) 297-1512","Elderly","Seniors 62+","Units: 98
Bedrooms: 1",,"3940 Park Blvd
San Diego, CA 92103
(32.749367, -117.146441)"
"Trojan Place Apts.","Affordable Housing","5222 Trojan Avenue","San Diego","(619) 265-0265","Low Income",,"Units: 53
Bedrooms: 1-3",,"5222 Trojan Avenue
San Diego, CA 92115
(32.754879, -117.083135)"
"Trolley Court ","Single Room Occupancy
Hotels","940 Park Blvd","San Diego","(619) 239-0101","Low Income",,,,"940 Park Blvd
San Diego, CA 92101
(32.715224, -117.153849)"
"Trolley Terrace Townhomes","Affordable Housing","750 Ada Street","Chula Vista","(619) 423-8775","Low Income",,"Units: 18
Bedrooms: 2-3 ",,"750 Ada Street
Chula Vista, CA 91911
(32.602164, -117.086093)"
"Turnagain Renaissance Apts.","Affordable Housing","920 E. Mission Road","Fallbrook","(760) 728-9864","Low Income",,"Units: 80
Bedrooms: 1-2",,"920 E. Mission Road
Fallbrook, CA 92028
(33.386209, -117.242278)"
"Turning Point Home of San Diego, Inc.","Transitional Shelter","1315 25th Street","San Diego","(619) 233-0067","Adult Women","Substance Abuse Treatment","Beds: 20
Max Stay: 18 Months",,"1315 25th Street
San Diego, CA 92102
(32.719327, -117.140296)"
"Tyler Court Apts.","Affordable Housing","3363 Tyler St., #328","Carlsbad","(760) 434-6776","Elderly","Seniors 55+","Units: 74
Bedrooms: 1-2"," ","3363 Tyler St
Carlsbad, CA 92008
(33.156098, -117.345116)"
"United States Mission
Men's Shelter","Transitional Shelter","637 Quail Street","San Diego","(619) 263-7003","Adult Men","Transitional Housing/ 
Work Program","Beds: 15
Max Stay: 2 years",,"637 Quail Street
San Diego, CA 92102
(32.712137, -117.109724)"
"University Canyon","Affordable Housing","2052 Via Las Cumbres","San Diego","(619) 578-7305","Low Income",,"Units: 120
Bedrooms: 1-3",,"2052 Via Las Cumbres
San Diego, CA 92111
(32.779969, -117.17885)"
"Urban Village TownHomes","Affordable Housing","3806 Fairmont Avenue","San Diego","(619) 285-1225","Low Income",,"Units: 34
Bedrooms: 2-3",,"3806 Fairmont Avenue
San Diego, CA 92105
(32.748432, -117.100925)"
"Ventaliso Apts.","Affordable Housing","609 Richmar Avenue","San Marcos","(760) 798-1035","Families",,"Units: 48
Bedrooms: 1-3","www.affirmedhousing.org/proje cts/ventaliso","609 Richmar Avenue
San Marcos, CA 92069
(33.14597, -117.172038)"
"Veterans Transitional Housing","Affordable Housing","2195 Oceanside Blvd","Oceanside","(760) 489-6380","Veterans",,"Units: 72
Bedrooms: 2",,"2195 Oceanside Blvd
Oceanside, CA 92054
(33.197933, -117.350159)"
"Veterans Village of San Diego
Disabilities","Transitional Shelter","1034 N. Magnolia Avenue","El Cajon","(619) 497-0142","Adult Men/ Women","Veterans","Beds: 12
Max Stay: 1 Year",,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
"Veterans Village of San Diego
Focus","Transitional Shelter","1034 N. Magnolia Avenue","El Cajon","(619) 497-0142","Adult Men/ Women","Veterans","Beds: 11
Max Stay: 18 Months",,"1034 N. Magnolia Avenue
El Cajon, CA 92020
(32.80946, -116.962728)"
"Veterans Village of San Diego
Mahedy House","Transitional Shelter","866 24th Street","San Diego","(619) 702-5239","Adult Men/ Women","Severely Mentally Ill ;
Substance Abuse","Beds: 14
Max Stay: 2 years",,"866 24th Street
San Diego, CA 92102
(32.714447, -117.142495)"
"Veterans Village of San Diego
Veterans on Point","Transitional Shelter","3650 Couts Street","San Diego","(619) 393-2029","Veterans","SUD Treatment ;
Sober Living ; 
Bridge Beds","Beds: 96
Max Stay: 24 Months",,"3650 Couts Street
San Diego, CA 92110
(32.744707, -117.191471)"
"Veterans Village of San Diego
Veterans Rehabilitation Center","Transitional Shelter","4141 Pacific Hwy","San Diego","(619) 497-0142","Veterans","SUD Treatments","Beds: 224
Max Stay: 24 Months",,"4141 Pacific Hwy
San Diego, CA 92110
(32.744305, -117.192578)"
"Veterans Village of San Diego
Veterans Village","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 497-0142","Adult Men/ Women","Homeless Veterans","Beds: 60
Max Stay: 1 year",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"Veterans Village of San Diego
Welcome Home Family","Transitional Shelter","286 Euclid Avenue, #209","San Diego","(619) 264-7401","Women and Children","Female Veterans
SUD Treatment ;
Mental Health or Employment","Beds: 19
Max Stay: 24 Months",,"286 Euclid Avenue
San Diego, CA 92114
(32.707275, -117.085096)"
"Via Roble Apts.","Affordable Housing","1553 S. Escondido Blvd","Escondido","(760) 432-9212","Low Income",,"Units: 72
Bedrooms: 1-3"," ","1553 S. Escondido Blvd
Escondido, CA 92025
(33.106884, -117.074709)"
"Victorian Heights/Opportunity House","Affordable Housing","1125 B Avenue","National City","(619) 420-3620","Women and Children","Victims of
 Domestic Abuse;
 Substance Abuse","Units: 8
Bedrooms: 1-2",,"1125 B Avenue
National City, CA 91950
(32.673283, -117.103621)"
"Vietnam Veterans of San Diego","Winter Shelter","4141 Pacific Highway","San Diego","(619) 233-5894","Adult Men","Veterans","Beds: 150
Max Stay: 3 Months",,"4141 Pacific Highway
San Diego, CA 92110
(32.744305, -117.192578)"
"Vietnam Veterans of San Diego / North Co. Interfaith Council
New Resolve Program","Transitional Shelter","1207 S. Escondido Blvd","Escondido","(760) 745-7829","Adult Men/ Women","Substance Abuse Treatment","Beds: 44
Max Stay: 24 Months",,"1207 S. Escondido Blvd
Escondido, CA 92025
(33.110349, -117.077161)"
"Villa Alta","Affordable Housing","4227 52nd Street","San Diego","(619) 582-2605","Elderly","Seniors 62+","Units: 69
Bedrooms: 1",,"4227 52nd Street
San Diego, CA 92115
(32.753926, -117.083663)"
"Villa Andalucia Apts.","Affordable Housing","6591 Rancho del Sol Way","San Diego","(858) 755-8562","Low Income",,"Units: 31
Bedrooms: 1-3",,"6591 Rancho del Sol Way
San Diego, CA 92130
(32.965231, -117.177767)"
"Villa de Cortez Apts.","Affordable Housing","310 N. Clementine","Oceanside","(760) 724-0889","Low Income","Section 8","Units: 11
Bedrooms: 1",,"310 N. Clementine
Oceanside, CA 92054
(33.198968, -117.377594)"
"Villa Escondido Apts.","Affordable Housing","511 East Grand Avenue","Escondido","(760) 740-0121","Low Income",,"Units: 112
Bedrooms: Studio-1",,"511 East Grand Avenue
Escondido, CA 92025
(33.124367, -117.074912)"
"Village at Morena Vista","Affordable Housing","5395 Napa Street","San Diego","(619) 294-3566","Low Income",,"Units: 185
Bedrooms: 1-3","www.villageatmorenavista.com","5395 Napa Street
San Diego, CA 92110
(32.764755, -117.196129)"
"Village Place Apts.","Affordable Housing","32 17th Street","San Diego","(619) 687-1074","Low Income","Homeless ;
Disabled","Units: 46 
Bedrooms: 1",,"32 17th Street
San Diego, CA 92101
(32.705759, -117.148554)"
"Village View Apts.","Affordable Housing","3820 43rd Street","San Diego","(619) 584-1535","Low Income",,"Units: 30
Bedrooms: 1-3",,"3820 43rd Street
San Diego, CA 92105
(32.748324, -117.102033)"
"Villa Glen","Affordable Housing","6984 Santa Fe Torrey Road","San Diego","(858) 538-2207","Low Income",,"Units: 26
Bedrooms: 1-3",,"6984 Santa Fe Torrey Road
San Diego, CA 92129
(32.959583, -117.167918)"
"Villa Harvey Mandel Apts.","Affordable Housing","72 17th Street","San Diego","(619) 687-1074","Low Income","Homeless ;
Disabled","Units: 
Bedrooms: ",,"72 17th Street
San Diego, CA 92113
(32.705783, -117.148554)"
"Villa Lakeshore Apts.","Affordable Housing","12606 Lakeshore Drive","Lakeside","(619) 390-6448","Low Income",,"Units: 34
Bedrooms: 2-3","www.liveatvillalakeshore.com","12606 Lakeshore Drive
Lakeside, CA 92040
(32.860247, -116.919129)"
"Villa Loma Apts.","Affordable Housing","6421 Tobria Terrace","Carlsbad","(760) 929-7555","Low Income",,"Units: 341
Bedrooms: 1-4","www.bridgehousing.com","6421 Tobria Terrace
Carlsbad, CA 92011
(33.114313, -117.274142)"
"Villa Maria","Affordable Housing","1528 India Street","San Diego","(619) 236-9353","Low Income",,"Units: 15
Bedrooms: 2-3",,"1528 India Street
San Diego, CA 92101
(32.721558, -117.168284)"
"Villa Merced","Affordable Housing","1148 Beyer Way","San Diego","(619) 423-8325","Elderly","Seniors 62+ ;
Disabled","Units: 100
Bedrooms: 1",,"1148 Beyer Way
San Diego, CA 92154
(32.574689, -117.065253)"
"Villa Nueva","Affordable Housing","3604 Beyer Blvd","San Ysidro","(619) 428-2291","Low Income",,"Units: 400
Bedrooms: 2-4",,"3604 Beyer Blvd
San Ysidro, CA 92173
(32.562692, -117.055671)"
"Villa Serena Apts.","Affordable Housing","339 Marcos Street","San Marcos","(760) 744-2450","Families",,"Units: 136
Bedrooms: 1-2","www.nationalcore.org/communi ties/villa-serena","339 Marcos Street
San Marcos, CA 92069
(33.145834, -117.169847)"
"Villa Serena Senior Apts.","Affordable Housing","1231 Medical Center Drive","Chula Vista","(619) 934-8001","Elderly","Seniors 55+","Units: 132
Bedrooms: 1-2",,"1231 Medical Center Drive
Chula Vista, CA 91911
(32.619237, -117.026982)"
"Vintage Pointe East Senior Apts.","Affordable Housing","1923 Bush Street","Oceanside","(760) 721-0990","Elderly","Seniors 55+","Units: 186
Bedrooms: 1-2",,"1923 Bush Street
Oceanside, CA 92058
(33.20567, -117.365905)"
"Vintage Pointe West Senior Apts.","Affordable Housing","1701 Bush Street","Oceanside","(760) 721-0950","Elderly","Seniors 62+","Units: 136
Bedrooms: 1-2",,"1701 Bush Street
Oceanside, CA 92058
(33.204778, -117.367675)"
"Vista Del Sol","Affordable Housing","1545 Q Avenue","National City","(619) 477-6708","Low Income",,"Units: 130
Bedrooms: 1-2",,"1545 Q Avenue
National City, CA 91950
(32.674199, -117.08701)"
"Vista Hidden Valley Apts.","Affordable Housing","777 Anns Way","Vista","(760) 726-1165","Elderly","Seniors 62+","Units: 50
Bedrooms: 1-2",,"777 Anns Way
Vista, CA 92083
(33.20155, -117.262107)"
"Vista Lane Courts","Affordable Housing","440 South Vista Lane","San Ysidro","(619) 690-0224","Elderly","Seniors 62+","Units: 40
Bedrooms: Studio-2",,"440 South Vista Lane
San Ysidro, CA 92173
(32.561662, -117.054881)"
"Vista La Rosa","Affordable Housing","2002 Rimbey Avenue","San Diego","(619) 423-6094","Low Income",,"Units: 240
Bedrooms: 2-3","www.vistalarosapts.com","2002 Rimbey Avenue
San Diego, CA 92154
(32.568187, -117.089569)"
"Vista Las Flores Apts. ","Affordable Housing","6404 Halyard Place","Carlsbad","(760) 602-0548","Low Income",,"Units: 28
Bedrooms: 2-3","www.sdihf.org","6404 Halyard Place
Carlsbad, CA 92011
(33.11884, -117.299148)"
"Vista Point Apartments","Affordable Housing","1051 Broadway","Chula Vista","(619) 476-0980","Low Income",,"Units: 60
Bedrooms: 1-2",,"1051 Broadway
Chula Vista, CA 91911
(32.612008, -117.081993)"
"Vista Serena Apts.","Affordable Housing","3155 L Street","San Diego","(619) 237-1170","Elderly","Seniors 62+","Units: 21
Bedrooms: Studio-1 ",,"3155 L Street
San Diego, CA 92102
(32.707481, -117.125987)"
"Vista Terrace Hills","Affordable Housing","1790 Del Sur Blvd","San Ysidro","(619) 428-1125","Low Income",,"Units: 262
Bedrooms: 3-4",,"1790 Del Sur Blvd
San Ysidro, CA 92173
(32.566135, -117.057347)"
"Vista Terraza","Affordable Housing","7735 Via Solare","San Diego","(858) 484-3027","Low Income",,"Units: 123
Bedrooms: 1-3","www.liveatvistaterraza.com","7735 Via Solare
San Diego, CA 92129
(32.962004, -117.156342)"
"Vista Verde Apts.","Affordable Housing","351 South 33rd Street","San Diego","(619) 702-5951","Families",,"Units: 40
Bedrooms: 2-3",,"351 South 33rd Street
San Diego, CA 92113
(32.702864, -117.122609)"
"Volunteers of America
Amigos Sobrios","Permanent Supportive Housing","741 11th Avenue","San Diego","(619) 232-7754","Adult Men","Severely Mentally Ill ;
Substance Abuse","Beds: 17
Max Stay: 12 Months",,"741 11th Avenue
San Diego, CA 92101
(32.713206, -117.15469)"
"Volunteers of America
Amigos Sobrios","Transitional Shelter","74 11th Avenue","San Diego","(619) 232- 7754","Adult Men","Substance Abuse Treatment","Beds: 17
Max Stay: 6-12 Months",,"74 11th Avenue
San Diego, CA 92101
(32.708454, -117.154618)"
"Volunteers of America:
Carlton G Luhman Center – Families","Emergency Shelter","290 S. Magnolia Avenue","El Cajon","(619) 447-2428","Adult Men/ Women","Homeless ; 
Mentally Ill","Beds: 16
Max Stay: 90 Days",,"290 S. Magnolia Avenue
El Cajon, CA 92020
(32.792891, -116.962334)"
"Volunteers of America:
Detox Center","Emergency Shelter","101 16th Street","San Diego","(619) 232-5171","Adult Men/ Women","Substance Abuse 
Treatment","Beds: 34
Max Stay: 15 Days",,"101 16th Street
San Diego, CA 92101
(32.706907, -117.149455)"
"Volunteers of America
Hawley","Permanent Supportive Housing","9980 Hawley Road","San Diego","(619) 561-9808","Adult Men/ Women","Severely Mentally Ill ;
Substance Abuse","Beds: 29
Max Stay: 12 Months",,"9980 Hawley Road
San Diego, CA 92101"
"Volunteers of America
Sobriety House-Men & Women","Transitional Shelter","1111 Island Avenue","San Diego","(619) 791-2730","Adult Men/ Women","Substance Abuse Treatment","Beds: 60
Max Stay: 6 Months",,"1111 Island Avenue
San Diego, CA 92101
(32.710429, -117.154192)"
"Volunteers of America
Sobriety House-Men/Women","Transitional Shelter","1111 Island Avenue","San Diego","(619) 819- 1711","Adult Men/ Women","Substance Abuse Treatment","Beds: 60
Max Stay: 6 Months",,"1111 Island Avenue
San Diego, CA 92101
(32.710429, -117.154192)"
"Way Back","Transitional Shelter","2516 A Street","San Diego","(619) 235-0592","Adult Men","Substance Abuse Treatment","Beds: 27
Max Stay: 4 Months",,"2516 A Street
San Diego, CA 92102
(32.718934, -117.139754)"
"Wesley Terrace","Affordable Housing","5343 Monroe Avenue","San Diego","(619) 582-8100","Elderly","Seniors 62+","Units: 161
Bedrooms: Studio-1",,"5343 Monroe Avenue
San Diego, CA 92115
(32.759446, -117.081195)"
"West 15th Ave. Apts.","Affordable Housing","323 W. 15th Street","Escondido","(760) 746-0732","Low Income",,"Units: 20
Bedrooms: 1-2",,"323 W. 15th Street
Escondido, CA 92025
(33.107497, -117.075804)"
"Westlake Village","Affordable Housing","405 Autumn Drive","San Marcos","(760) 471-1776","Families",,"Units: 104
Bedrooms: 1-3","www.nationalcore.org/communi ties/westlake-village","405 Autumn Drive
San Marcos, CA 92069
(33.144004, -117.170251)"
"Westminster Manor","Affordable Housing","1730 Third Avenue","San Diego","(619) 233-7001","Elderly","Seniors 62+","Units: 152
Bedrooms: Studio-1",,"1730 Third Avenue
San Diego, CA 92101
(32.723356, -117.162031)"
"West Park Inn/
America’s Best Value Inn","Single Room Occupancy
Hotels","1840 4th Avenue","San Diego","(619) 236-1600","Low Income",,,,"1840 4th Avenue
San Diego, CA 92101
(32.724741, -117.161132)"
"WestView Home Apts.","Affordable Housing","3536 43rd Street","San Diego","(619) 584-1535","Low Income",,"Units: 6
Bedrooms: 1-2",,"3536 43rd Street
San Diego, CA 92105
(32.742879, -117.102094)"
"Wightman Place Apts.","Affordable Housing","5052 Wightman Street","San Diego","(619) 283-5026","Families",,"Units: 45
Bedrooms: 2-5",,"5052 Wightman Street
San Diego, CA 92105
(32.747284, -117.084921)"
"Windsor Gardens Senior Apts.","Affordable Housing","1600 W. 9th Street","Escondido","(760) 741-5606","Elderly","Seniors 62+ ;
Disabled","Units: 130
Bedrooms: 1",,"1600 W. 9th Street
Escondido, CA 92029
(33.111807, -117.106144)"
"Windwood Village","Affordable Housing","12730  Briarcrest Place","San Diego","(858) 350-4696","Low Income",,"Units: 92
Bedrooms: 1-3",,"12730 Briarcrest Place
San Diego, CA 92130
(32.950938, -117.200956)"
"Women's Resource Center","Emergency Shelter","1963 Apple Street","Oceanside","(760) 757-3500","Women and Children","Victims of 
Domestic Violence","Beds: 26
Max Stay: 1 Month",,"1963 Apple Street
Oceanside, CA 92054
(33.195785, -117.355521)"
"Women's Resource Center","Transitional Shelter","1963 Apple Street","Oceanside","(760) 757-3500","Women and Children","Victims of 
Domestic Violence","Beds: 26
Max Stay: 1 Month",,"1963 Apple Street
Oceanside, CA 92054
(33.195785, -117.355521)"
"Women’s Resource Center","Affordable Housing","1963 Apple Street","Oceanside","(760) 757-3500","Adult Women",,"Units: 22
Bedrooms: Studio-2",,"1963 Apple Street
Oceanside, CA 92054
(33.195785, -117.355521)"
"Women's Resource Center
Transition House","Transitional Shelter","1963 Apple Street","Oceanside","(760) 757-3500","Women and Children","Homeless","Beds: 54
Max Stay: 24 Months",,"1963 Apple Street
Oceanside, CA 92054
(33.195785, -117.355521)"
"Woodglen Vista Apts.","Affordable Housing","10450 North Magnolia Avenue","Santee","(619) 562-3910","Low Income",,"Units: 188
Bedrooms: 1-3","www.opmi-co.com","10450 North Magnolia Avenue
Santee, CA 92071
(32.867033, -116.971098)"
"Woodland Village","Affordable Housing","975 Woodland Pkwy","San Marcos","(760) 975-0000","Elderly","Seniors 55+","Units: 31
Bedrooms: 1-2","www.woodlandvillageapts.org","975 Woodland Pkwy
San Marcos, CA 92069
(33.155377, -117.130108)"
"Workman Hotel","Single Room Occupancy
Hotels","1335 J Street","San Diego","(619) 234-7771","Low Income",,,,"1335 J Street
San Diego, CA 92101
(32.709407, -117.152106)"
"YMCA
Casa de Paz","Emergency Shelter","1012 C Street","San Diego","(619) 234-3164","Women and Children","Victims of
 Domestic Violence","Beds: 14
Max Stay: 30 Days",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
"YMCA
Domestic Violence Shelter","Winter Shelter","1012 C Street","San Diego","(619) 234-3164","Women and Children","Victims of 
Domestic Violence","Beds: 35
Max Stay: 30 Days",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
"YMCA
Oz North Coast","Transitional Shelter","215 Barnes Street","Oceanside","(760) 721-8930","Youth","Homeless Ages 12-17","Beds: 10
Max Stay: 1 Day",,"215 Barnes Street
Oceanside, CA 92054
(33.200556, -117.36579)"
"YMCA
Oz San Diego","Transitional Shelter","3304 Idlewild Way","San Diego","(858) 270-8213","Youth","Homeless youth","Beds: 10 
Max Stay: ",,"3304 Idlewild Way
San Diego, CA 92117
(32.828609, -117.215944)"
"YMCA
Turning Point- Transitional Living","Transitional Shelter","4145 Swift Avenue, #1","San Diego","(619) 640-9774","Youth","Youth Ages 18-21
(16/17 Legally Emancipated)","Beds: 24
Max Stay: 18 Months",,"4145 Swift Avenue
San Diego, CA 92104
(32.752422, -117.119254)"
"YWCA
Becky's House","Transitional Shelter","1012 C Street","San Diego","(619) 239-0355","Women and Children","Victims of 
Domestic Violence","Beds: 30
Max Stay: 18 Months",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
"YWCA
Passages-Stabilization","Transitional Shelter","1012 C Street","San Diego","(619) 239-0355","Adult Women","Victims of 
Domestic Violence","Beds: 13
Max Stay: 3 Months",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
"YWCA
Passages-Supportive Independent","Transitional Shelter","1012 C Street","San Diego","(619) 239-0355","Adult Women","Victims of 
Domestic Violence","Beds: 19
Max Stay: 12 Months",,"1012 C Street
San Diego, CA 92101
(32.716793, -117.155301)"
