"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Munger Place Methodist Church","5200 Bryan",,"Church",,"1990.0",,"Organized in 1914, this church has served the Munger Place and East Dallas communities with a variety of programs. A neighborhood landmark, this sanctuary was built in 1925 during the pastorate of the Rev. George M. Gibson. Designed in the English Gothic style by prominent Dallas architect C. D. Hill, its features include symmetrical side gables, a corner square-plan tower, and unusual window tracery and decorative details.RTHL 1990","POINT (-96.769085 32.806916)"
"Dallas County Records Building","500 Main St.",,"Government Building",,"1985.0","Plate and Medallion","Dallas County Records BuildingDesigned by the prominent Dallas architectural firm of Lang and Witchell, this Gothic Revival style building was erected in 1927-28 to house Dallas County records, offices, and courtrooms. First known as the Hall of Records, the current name was adopted when the facilities were enlarged during the 1950s. The cut limestone building with cast stone Gothic Revival detailing continues to serve as a vital part of Dallas County government.RTHL - 1985","POINT (-75.949097 41.328917)"
"Cochran Chapel Methodist Church","9027 Midway Rd.","same","Church","very faded; refinish","1970.0","24 x 18","On first Dallas County site deeded (1856) for a Methodist church. Donor was a widow, Nancy Jane Cochran. First edifice (30' x 40') was built by church men, of lumber hauled by wagons from Jefferson (150 mi. E), and dedicated in 1858. The Sunday School dates from 1879. Later buildings were erected in 1885, 1924 and (Annex) 1955.1970","POINT (-96.836045 32.862035)"
"General Richard M. Gano House","1717 Gano St.","Old City Park","Home","Good - plate missing","1975.0","Plate and Medallion","J. T. Morehead built this dogtrot cabin near Grapevine in Tarrant County in 1854. Later two rooms and a loft were added and the logs covered with siding. In 1857 the property was sold to R. M. Gano (1830 - 1913), a doctor, minister, and Confederate general. It housed his family until after the Civil War (1861-65). They later settled in Dallas. The structure was again remodeled after Gano sold it. In 1974 it was restored and moved to this site.RTHL - 1975","POINT (-96.788645 32.77186)"
"Merrifield Cemetery","Hampton Rd. at W. Jefferson Blvd.","SE corner","Cemetery",,"1981.0","18 x 28","John Merrifield (1792 - 1873) was the patriarch of a Kentucky family who migrated to the Dallas County area in the late 1840s. In 1851 he purchased a farm here which included this site. It was first used as a cemetery in the late 1860s. The only marked graves are those of Merrifield and his second wife Elizabeth (1802-69). The unmarked gravesites here are estimated to number over twenty. As the burial ground of a pioneer area family, the Merrifield Cemetery provides a vital link to those who were among the first to open the Dallas region to settlement.","POINT (-96.856737 32.747808)"
"Dallas Hall (SMU)","Daniels & Athens","SMU Campus, Daniels at Athens, Dallas","Unclassified",,"1979.0","16 x 12 Plate and Medallion","DALLAS HALL, SOUTHERN METHODIST UNIVERSITYWhen Dallas was selected in 1911 as the site for a new Methodist university, local citizens pledged 622.5 acres of land and $300,000. In appreciation, the first building on campus was named Dallas Hall. SMU President Robert S. Hyer chose the Chicago Branch of Shepley, Rutan & Coolidge to design the Hall. Influenced by Thomas Jefferson's plan for the University of Virginia, it opened in 1915 and for a decade housed all classrooms, university offices, the chapel and the library.RTHL - 1979",
"Old City Park","1717 Gano St.",,"Park",,"1976.0","27 x 42","Indian tribes were once attracted to this park site by a series of natural springs, which became known as Browder Springs after Edward C. Browder (1825 - 1875) acquired the property in 1845. The springs figured in legislation which made Dallas the intersection of the Texas & Pacific and Houston & Texas Central Railroads in 1871 and launched the town's rapid growth.On July 4, 1876, to honor the American Centennial, ten acres near the springs were set aside as Dallas' first municipal park. ""City Park"" was also known as ""Eakins Park"" because J. J. Eakin originally owned the land. By 1885 nine more acres, including the Browder Springs property, were added. The springs supplied water to the city, and the park grounds provided a center for leisure activities and group gatherings. A neighborhood of elegant homes, called ""The Cedars,"" grew up nearby. The city's first zoo was here; fountains, greenhouses, tennis courts, a playground and a wading pool were later added. In 1936 the site was renamed ""Sullivan Park"" for Dallas Water Commissioner Dan L. Sullivan, but it remained popularly known as ""Old City Park.""In 1966 the Dallas Park Board agreed to allow the Dallas County Heritage Society to revitalize the park as a ""heritage center"" of restored historic structures.","POINT (-96.788645 32.77186)"
"Aldredge House","5500 Swiss Ave.","5500 Swiss Ave., Dallas","Home","good, being painted","1982.0","Medallion and Plate","West Texas rancher William J. Lewis, a native of Maryland, and his wife Willie (Newberry) of Dallas had this residence constructed in 1915-17.  Designed by architects Hal Thompson and Marion Fooshee, it features influences of English Georgian and French Renaissance styling.  In 1921, the home was purchased by George N. Aldredge, a prominent banker.  He and his wife Rena (Munger) were active civic leaders and major contributors fo the arts.Recorded Texas Registered Landmark -- 1982","POINT (-96.764258 32.806612)"
"DALLAS MORNING NEWS","508 Young St.",,"Publication","Good; needs cleaning","1985.0","27 x 42","THE DALLAS MORNING NEWSOn Oct. 1, 1885, ""The Dallas Morning News"" began publication as the North Texas extension of A. H. Belo's ""Galveston News."" The two publications were linked by telegraph to exchange information, and they maintained a statewide network of correspondents.Col. Belo's Dallas paper was a success from the start, and by 1900 it exceeded the ""Galveston News"" in circulation, size and advertising revenue. ""The Dallas Morning News"" soon acquired its morning rival, the ""Dallas Herald,"" which had been founded as the ""Cedar Snag"" by James Wellington Latimore in 1849. G. B. Dealey, who had played a major role in the establishment of ""The Dallas Morning News"" and had served as its first business manager, became president of A. H. Belo & Co. in 1920. In 1926, he bought control of the corporation.Under Dealey's management, ""The News"" continued its leadership among Texas newspapers. It long has expressed an active interest in local, state, and national affairs, taking a firm stand against the Ku Klux Klan in the 1920s, and over the years successfully encouraging integrity in government, efficiency in city management, water conservation, and a strong educational system. ""The Dallas Morning News"" has been an important part of the heritage of the city and the state.","POINT (-96.806442 32.77598)"
"State Fair of Texas","State Fair Grounds",,"Unclassified","not surveyed","1969.0",,"Founded in 1886, the State Fair of Texas now ranks as the most largely attended State Fair in the U.S. It was begun as a private, nonprofit corporation for civic purposes by Capt. W. H. Gaston and other pioneer business and civic leaders of Dallas.Since 1904 the fair grounds have been owned by the city, which maintains them as a public park except during the annual two-week fair.The fair suspended operations for two years in order to permit the Central Exposition of the Texas Centennial Celebration to be held here in 1936. In 1937 the Pan American Exposition used the grounds.Over the years great names have appeared here, including wild west showman Buffalo Bill, Harry Houdini the magician, silver-tongued orator William Jennings Bryan, and Comanche war chief Quanah Parker.Federal, state, and city governments have erected a series of permanent buildings on the fair grounds, including the Hall of State, five other museums, music hall, livestock coliseum, and ""Cotton Bowl.""Originally 80 acres in size, the grounds have been successively enlarged to include the present 250 acres. Over 100,000,000 persons have entered its gates during annual expositions.",
"Freedman's Cemetery","N. Central Expressway and Lemmon Ave.","SW corner","Cemetery",,"1993.0","27 x 42","This area of Dallas County was settled by former African American slaves shortly after the conclusion of the American Civil War. Freedman's Cemetery, a graveyard for African Americans, was established in 1869 on one acre of land purchased by trustee Sam Eakins. Another 3 acres was acquired for cemetery purposes in 1879 by trustees. A. Wilhite, Frank Read, A. Boyd, T. Watson, George English, Silas Pitman, and the Rev. A. R. Griggs, a former slave who later became a prominent local church leader and champion of early public education for the African American community.The community of churches, commercial enterprises, and residences that had developed in this area by the turn of the 20th century was by 1912 a part of the City of Dallas. Construction of the Central Expressway through here in the 1930s virtually eliminated all physical above-ground reminders of the cemetery.Descendants of persons buried here and the City of Dallas agreed in 1965 to establish the Freedman's Memorial Park and Cemetery at this site. Beginning in 1989 representatives of the community worked with the City of Dallas and the Texas Department of Transportation to preserve the historic Freedman's Cemetery site prior to highway expansion.","POINT (-96.792736 32.803417)"
"James K. Polk Record","Pioneer Cemetery","north side of Dallas Convention Center on Ceremonial Drive","Unclassified",,"1986.0","Grave Marker","(Oct. 29, 1834 - Jan. 16, 1872)Educated in Tennessee as a lawyer, J. K. P. Record became the District Attorney for Dallas in 1860. He left that office to serve in the Confederate Army during the Civil War, but returned here after the conflict. In 1866 he became a state Senator and served as a delegate to the Texas Constitutional Convention of 1866. He later practiced law in Dallas and was an active member of the Masons and the Odd Fellows organizations.",
"Western Heights Church of Christ","1912 N. Winnetka at Walmsey",,"Church",,"1972.0","18 x 28","Founded 1872 after Brig. gen. Richard M. Gano (1830 - 1913) preached at request of Maj. B. F. Robinson, a Civil War comrade, to settlers from De Soto, Eagle Ford, Jimtown, Lisbon, and Wheatland, making 50 converts. Church met for years in homes or in Mt. Airy Schoolhouse. Early preacher was Z. E. Coombes.Land was given the church by W. R. Fisher (1888) and J. A. Crawford (1890); Mrs. Mattie Hord Crawford raised money for lumber. Men of congregation erected (1890) first meetinghouse of white clapboard that now houses the church for the deaf and the Sunday School.",
"Pleasant Mound Methodist Church","8301 Bruton Rd.","corner of Pleasant Dr. and Bruton Rd.","Church",,"1990.0","27 x 42","This congregation traces its history to a Union Church in Scyene, a small farming community once located at the present intersection of Scyene and St. Augustine Roads in Dallas. The first church in the community was a two-story community meeting house that also served as a general store, Masonic Lodge, and school. Several denominations worshiped together, a tradition which continued after the Methodists built a log sanctuary in 1876.In 1878 the church moved to the Pleasant Mound Community (then 3 miles east of Dallas, now within the city). Newton J. and Catherine Beeman Hustead donated land at the northwest corner of Scyene Road and Buckner Boulevard for a church and cemetery. A new house of worship, completed in 1881, was replaced by a larger structure in 1885. A growing membership and storm damage to the building led to the construction of another sanctuary in 1895. After 1900 the other denominations that had been meeting with the Methodists began to form their own congregations. Members of the various congregations met together for annual homecomings from 1910 to 1953. Land at this site was purchased, and a new Methodist sanctuary was completed in 1954.","POINT (-96.677966 32.74884)"
"Communications in Dallas","4027 Main Street",,"Unclassified",,"1998.0","18 x 28","Rapid long distance communications came to Dallas in 1872 when the first telegraph lines arrived with the Houston & Central Texas Railroad. The first telephone line in Dallas ran from the city's water supply at Browder Springs to the firehouse at Harwood and Main in 1878. Twenty years later, Southwestern Telegraph and Telephone Company erected a building on this site, in what was then the city of East Dallas, to house a toll relay office. All toll calls were switched through at this facility, linking the city with the wider world. By 1905 the ""toll building"" was taken out of service as a larger space became necessary and the telephone quickly became an integral part of communications in Dallas. (1998)","POINT (-96.770976 32.788355)"
"Cochran Homeplace (W. P.)","9027 Midway","behind church","Home","Good; None","1976.0","Medallion & Plate","W. P. Cochran HomeplaceOnce surrounded by cultivated fields, this residence was built for William P. Cochran (1841 - 1906), whose father bought the land in 1851 and whose mother Nancy Jane Cochran donated a portion of it for Cochran Chapel Methodist Church in 1856. This frame Victorian house, erected in 1895, was occupied by Cochran, his wife Amanda (1846 - 1930), and their large family. In 1964 their granddaughter Anne A. Cochran sold the structure to the adjacent church.RTHL 1976","POINT (-96.836045 32.862035)"
"Robert E. Lee Park","3400 Turtle Creek","20 yds. south of the Arlington House","Park",,"1991.0","27 x 42","The land in this area was once part of a Republic land grant awarded to pioneer William Grigsby. The Dallas Consolidated Electric Street Railway Company bought twenty acres of the property in 1903, and in cooperation with developers Oliver P. Bowser and William H. Lemmon built Oak Lawn Park. Weekend visitors and prospective land buyers paid five cents to ride the streetcar to the park, which offered a variety of recreational activities. The City of Dallas purchased the park with its native trees in 1909.In 1928, the Dallas Southern Memorial Association (DSMA) began plans for the placement of a statue of Robert E. Lee in the park. Executed by Canadian sculptor A. Phimister Proctor, the bronze statue was unveiled on June 12, 1936, by President Franklin D. Roosevelt. The park's name was changed to Robert E. Lee Park, and two years later, in a cooperative effort by the DSMA, Park and Recreation Board, and the Federal Works Progress Administration, a two-thirds scale replica of Arlington Hall, Robert E. Lee's home in Virginia (now a part of Arlington National Cemetery) was constructed.Throughout its history, this park has provided a place of recreation and relaxation for Dallas citizens. It remains one of the city's most popular attractions.","POINT (-96.803097 32.808198)"
