Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
"International Planned Parenthood Federation, Western Hemisphere Region","125 Maiden Ln Fl 9
New York, NY 10038
(40.706465, -74.006436)",Health (General),13-1845455,,13096,
Elsie Publishing Institute,,"Arts, Culture, & Humanities",38-2310325,,,
Chinese Information & Service Center,"611 S Lane St
Seattle, WA 98104
(47.596686, -122.326167)",Health (General),23-7438529,101,18379,15
Bloodworks Northwest,"921 Terry Ave
Seattle, WA 98104
(47.608659, -122.326035)","Disease, Disorders, & Medical Research",91-1019655,101,18379,1113
Make-A-Wish Alaska and Washington,,Health (General),91-1329433,,,
Catholic Relief Services,,International Relief & Development,13-5563422,,,
Habitat for Humanity of Kitsap County,"3581 Wheaton Way
Bremerton, WA 98310
(47.597731, -122.629454)",Housing & Employment,91-1981992,,10798,55
Auburn Public Schools Foundation,"915 4th St NE
Auburn, WA 98002
(47.311117, -122.21693)",Education & Literacy,45-3713074,2,31845,494
Pancreatic Cancer Action Network,"1500 Rosecrans Ave Ste 200
Manhattan Beach, CA 90266
(33.90183, -118.387462)","Disease, Disorders, & Medical Research",33-0841281,,25064,
The Hole in the Wall Gang Fund,"555 Long Wharf Dr
New Haven, CT 6511
(41.297985, -72.913261)",Youth Development,06-1157655,,13460,
Northwest Abortion Access Fund,"4325 Commerce St Ste 111-433
Eugene, OR 97402
(44.049026, -123.1685)",Health (General),72-1553703,,30850,
Launch,"5950 6th Ave S Ste 109
Seattle, WA 98108
(47.54953, -122.326591)",Education & Literacy,91-0987650,101,18388,406
HomeSight,"5117 Rainier Ave S
Seattle, WA 98118
(47.555964, -122.283568)",Housing & Employment,94-3117253,101,18800,124
Seattle Animal Shelter,"2061 15th Ave W
Seattle, WA 98119
(47.637321, -122.376208)",Animals,91-6001275,101,19575,383
Dogs On Death Row,"1100 Larkspur Landing Circle #108
Larkspur, CA 94939
(37.948257, -122.509914)",Animals,20-5530700,,1836,
Bailadores de Bronce,,"Arts, Culture, & Humanities",91-1070347,,,
Urban League of Metropolitan Seattle,"105 14th Ave Ste 200
Seattle, WA 98122
(47.601859, -122.314157)",Education & Literacy,91-0575954,101,19578,400
Sound Salmon Solutions,"712 3rd St Ste B
Mukilteo, WA 98275
(47.946509, -122.302755)",Environment,91-1484389,,19897,994
Earthworks,"1612 K St NW Ste 904
Washington, DC 20006
(38.902405, -77.03753)",Environment,52-1557765,,25079,
Northwest Association for Blind Athletes,,Education & Literacy,26-0244283,,,
Islamic Center of Kent,,Spiritual Development,91-1876641,,,
"Seattle Public Library Foundation, The","1000 4th Ave
Seattle, WA 98104
(47.606441, -122.333249)","Arts, Culture, & Humanities",91-1140642,101,17923,399
German Shepherd Search Dogs of Washington State,"7603 138th St Ct E
Puyallup, WA 98373
(47.1304, -122.327276)",Emergency & Disaster Services,91-0845542,,12219,918
Washington Farmland Trust,"901 5th Ave Ste 1520
Seattle, WA 98116
(47.606191, -122.33147)",Environment,91-2021165,101,18379,399
PAWS,"15305 44th Ave W
Lynnwood, WA 98046
(47.859217, -122.292736)",Animals,91-6073154,,18079,206
Pet Partners,"345 118th Ave SE Ste 200
Bellevue, WA 98005
(47.607113, -122.182784)",Animals,91-1158281,6,31850,432
Cancer Research: Cell and Gene Targeted Treatments,"96 Cummings Point Rd
Stamford, CT 6902
(41.02602, -73.553635)","Disease, Disorders, & Medical Research",06-1619523,,5880,
CIN,"19550 International Blvd Ste 103
SeaTac, WA 98188
(47.427325, -122.295686)",Community Development,81-3511834,92,18231,474
Birthday Dreams,"1082 Kirkland Ave NE Ste A
Renton, WA 98056
(47.501257, -122.177502)","Mental Health, Disabilities, & Substance Abuse",26-4667553,100,17809,149
StolenYouth,"3101 E Madison St
Seattle, WA 98112
(47.626054, -122.292432)",Youth Development,45-4985230,101,18789,395
Northwest Vipassana Association,"445 Gore Rd
Onalaska, WA 98570
(46.546611, -122.684411)",Spiritual Development,91-1245370,,25683,821
"American Cancer Society, Seattle","2120 First Ave N
Seattle, WA 98109
(47.637841, -122.35562)","Disease, Disorders, & Medical Research",13-1788491,101,18390,45
Housing Development Consortium of Seattle-King County (HDC),"1326 Fifth Ave Ste 230
Seattle, WA 98101
(47.609323, -122.334326)",Housing & Employment,94-3073588,101,18081,399
National Fallen Firefighters Foundation,"16825 S Seton Ave
Emmitsburg, MD 21727
(39.693053, -77.331779)",Emergency & Disaster Services,52-1832634,,14630,
Snohomish County Music Project,"1702 Pacific Ave
Everett, WA 98201
(47.976569, -122.206752)","Mental Health, Disabilities, & Substance Abuse",91-1204042,,18238,1152
Kent Food Bank and Emergency Services,"515 W Harrison St Ste 107
Kent, WA 98032
(47.382145, -122.238694)",Food & Hunger,91-0881434,76,17370,1375
Praisealujah,"19825 Des Moines Memorial Dr
Des Moines, WA 98148
(47.424316, -122.319676)",Spiritual Development,01-0964541,92,17922,309
The Trevor Project,,Health (General),95-4681287,,,
MultiCare Foundations,,Health (General),91-1514257,,,
American Indian College Fund,"8333 Greenwood Blvd
Denver, CO 80221
(39.848051, -104.996613)",Education & Literacy,52-1573446,,20981,
Long Live the Kings,"1326 5th Ave #450
Seattle, WA 98101
(47.609323, -122.334326)",Environment,91-1353982,101,18081,399
South Seattle Emerald,"5623 Rainier Ave S
Seattle, WA 98118
(47.551762, -122.278002)",Social & Economic Justice,47-3677408,101,18800,124
Congregations for the Homeless,"515 116th Ave NE #150
Bellevue, WA 98004
(47.614966, -122.185614)",Housing & Employment,45-3932748,6,31848,432
Africatown Community Land Trust,"1437 S Jackson St
Seattle, WA 98144
(47.599224, -122.312018)",Community Development,82-1710458,101,17919,13
The Amen Foundation,"2903 Mills Ave NE
Washington, DC 20018
(38.927342, -76.973164)",Community Development,52-1837798,,25430,
Puget Sound Community School,"660 S Dearborn St
Seattle, WA 98134
(47.595836, -122.324427)",Education & Literacy,91-1646126,101,19584,15
"NAMI (National Alliance on Mental Illness), Greater Seattle, Washington","802 NW 70th St
Seattle, WA 98117
(47.679535, -122.366262)","Mental Health, Disabilities, & Substance Abuse",91-1043712,101,18798,114
Communities In Schools of Washington,"1010 S 336th St Ste 205
Federal Way, WA 98003
(47.300694, -122.319593)",Education & Literacy,91-1541026,19,31847,862
Vashon Youth and Family Services,"20110 Vashon Hwy SW
Vashon, WA 98070
(47.423594, -122.460487)","Mental Health, Disabilities, & Substance Abuse",91-1025994,48,18068,461
Women for Women International,"2000 M St NW Ste 200
Washington, DC 20036
(38.905651, -77.045287)",International Relief & Development,52-1838756,,4499,
NARAL Pro-Choice America Foundation,"1725 Eye St NW Ste 900
Washington, DC 20006
(38.895405, -77.03985)",Human & Civil Rights,52-1100361,,25079,
Rainbow Center,"2215 Pacific Ave
Tacoma, WA 98402
(47.241521, -122.435853)",Social & Economic Justice,91-1859897,,12600,1138
Filipino Community of Seattle,,Community Development,91-6055858,,,
Seattle Rep,"155 Mercer St
Seattle, WA 98109
(47.624565, -122.353444)","Arts, Culture, & Humanities",91-0756535,101,18390,1450
Arts Corps,"4408 Delridge Way SW Ste 110
Seattle, WA 98106
(47.563912, -122.363362)","Arts, Culture, & Humanities",91-2044679,101,18385,772
Densho,"1416 S Jackson St
Seattle, WA 98144
(47.59922, -122.313104)",Education & Literacy,91-2164150,101,17919,13
Seattle Cultural Accessibility Consortium,"815 Seattle Blvd S #215
Seattle, WA 98134
(47.595526, -122.327289)","Mental Health, Disabilities, & Substance Abuse",91-2138554,101,19584,401
YouthCare,"2500 NE 54th St
Seattle, WA 98105
(47.667988, -122.300617)",Youth Development,91-0917079,101,18383,175
New Walk Christian Church,"14006 1st Ave S #B
Burien, WA 98178
(47.477635, -122.333856)",Food & Hunger,30-0301432,8,18227,459
FareStart,"700 Virginia St
Seattle, WA 98101
(47.615165, -122.337334)",Housing & Employment,91-1546757,101,18081,397
Work Opportunities,"4232 198th St SW
Lynnwood, WA 98036
(47.819393, -122.290493)","Mental Health, Disabilities, & Substance Abuse",91-0754419,,17787,449
"Crohn's & Colitis Foundation, Northwest Chapter, Washington","9 Lake Bellevue Dr Ste 203
Bellevue, WA 98005
(47.619268, -122.183181)",Health (General),13-6193105,6,31850,433
SIFF,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",91-1489660,101,18390,1450
"American Civil Liberties Union Foundation, Inc.","125 Broad St 18th Fl
New York, NY 10004
(40.702024, -74.011234)",Human & Civil Rights,13-6213516,,11725,
"Susan G. Komen, Oregon & SW Washington","1500 SW 1st Ave Ste 270
Portland, OR 97201
(45.51208, -122.676692)",Health (General),93-1068897,,14411,
American Liver Foundation,"39 Broadway
New York, NY 10006
(40.706271, -74.012925)",Health (General),36-2883000,,11725,
Care Net,"44180 Riverside Pkwy Ste 200
Lansdowne, VA 20176
(39.072243, -77.472554)",Community Development,54-1382723,,29432,
Mid Sound Fisheries Enhancement Group,"7400 Sand Point Way NE #202N
Seattle, WA 98115
(47.682664, -122.263691)",Environment,94-3143416,101,18792,276
Businesses Ending Slavery & Trafficking,"1201 1st Ave S Ste 321
Seattle, WA 98134
(47.591768, -122.334235)",Social & Economic Justice,45-5046786,101,19584,401
One Equal Heart Foundation,"1919 E Prospect St
Seattle, WA 98112
(47.628668, -122.306381)",International Relief & Development,20-3917811,101,18789,777
Camp Fire Central Puget Sound,"2414 SW Andover St Ste D-105
Seattle, WA 98106
(47.568351, -122.363515)",Youth Development,91-0575953,101,18385,772
Diabetes Research & Wellness Foundation,"1832 Connecticut Ave NW Ste 420
Washington, DC 20009
(38.915501, -77.046372)","Disease, Disorders, & Medical Research",52-1840230,,25083,
Washington State Coalition Against Domestic Violence,"500 Union St
Seattle, WA 98101
(47.609766, -122.33454)",Emergency & Disaster Services,91-1507028,101,18081,118
Washington State Animal Response Team (WASART),,Animals,26-0295234,,,
Friends of the Conservatory,"1402 E Galer St
Seattle, WA 98112
(47.632315, -122.312492)",Environment,91-1105548,101,18789,777
African Community Housing & Development,"16256 Military Rd S Ste 206
SeaTac, WA 98188
(47.456971, -122.282265)",Housing & Employment,83-1665288,92,18231,842
Spot/Saving Pets One At A Time,,Animals,91-2008766,,,
Kids Co.,"2208 NW Market St Ste 510
Seattle, WA 98107
(47.668702, -122.38532)",Education & Literacy,91-1450148,101,18386,344
Eileen & Callie's Place,,Education & Literacy,47-3905016,,,
National Kidney Foundation Serving Northern California,"717 Market St Ste 450
San Francisco, CA 94103
(37.787194, -122.40405)",Health (General),13-1673104,,28857,
Henry M. Jackson Foundation,"1200 5th Ave Ste 1450
Seattle, WA 98101
(47.608286, -122.333389)",Environment,52-1313011,101,18081,399
Photographic Center Northwest,"900 12th Ave
Seattle, WA 98122
(47.610565, -122.316798)","Arts, Culture, & Humanities",91-1561025,101,19578,400
World Relief Seattle,"23835 Pacific Hwy S Ste 100
Kent, WA 98032
(47.387884, -122.296178)",Housing & Employment,23-6393344,76,17370,1121
Global Impact,"1199 N Fairfax St Ste 300
Alexandria, VA 22314
(38.816513, -77.039955)",International Relief & Development,52-1273585,,12448,
Battlefield Addiction,"2250 Roosevelt Ave
Enumclaw, WA 98022
(47.199364, -121.998611)","Mental Health, Disabilities, & Substance Abuse",47-1779138,16,17348,1201
Dog Gone Seattle,,Animals,81-5101166,,,
The Key to Change,,Education & Literacy,47-4809104,,,
GO2 Foundation for Lung Cancer,"1700 K St
Washington, DC 20006
(38.90243, -77.039976)","Disease, Disorders, & Medical Research",20-4417327,,25079,
KD Hall Foundation,,Education & Literacy,47-5658785,,,
Seattle Collaborative Orchestra,"11743 19th Ave NE
Seattle, WA 98125
(47.715266, -122.308463)","Arts, Culture, & Humanities",46-2340197,101,19579,104
Pacific Northwest Research Institute,"720 Broadway
Seattle, WA 98122
(47.608786, -122.320766)","Disease, Disorders, & Medical Research",91-0667886,101,19578,785
"Easterseals Washington, Seattle","200 W Mercer St Ste 210E
Seattle, WA 98119
(47.624609, -122.359942)",Health (General),91-0575956,101,19575,236
United Breast Cancer Foundation,,"Disease, Disorders, & Medical Research",11-3571208,,,
Wild Fish Conservancy,,Environment,91-1451405,,,
Lung Cancer Research Foundation,"155 E 55th St Ste 6H
New York, NY 10022
(40.759261, -73.969207)","Disease, Disorders, & Medical Research",14-1935776,,12419,
"Wilderness Society, The","1615 M St NW
Washington, DC 20036
(38.905649, -77.037818)",Environment,53-0167933,,4499,
International Center for Research on Women (ICRW),"1120 20th St NW Ste 500N
Washington, DC 20036
(38.904501, -77.044901)",International Relief & Development,52-1081455,,4499,
Retired Police Dog Fund,"18402 100 Ave SE
Snohomish, WA 98296
(47.830078, -122.098017)",Animals,91-1623898,,20735,540
Alliance of People with disAbilities,"1401 E Jefferson St Ste 506
Seattle, WA 98122
(47.606187, -122.31379)",Social & Economic Justice,91-1011821,101,19578,400
North Helpline,"12736 33rd Ave NE
Seattle, WA 98125
(47.721987, -122.2922)",Food & Hunger,91-1475182,101,19579,172
Dispute Resolution Center of King County,,Social & Economic Justice,91-1354975,,,
ZERO - The End of Prostate Cancer,"515 King St Ste 420
Alexandria, VA 22314
(38.804861, -77.045219)",Health (General),59-3400922,,12448,
NAACP Legal Defense and Educational Fund,"40 Rector St 5th Fl
New York, NY 10006
(40.708382, -74.014801)",Human & Civil Rights,13-1655255,,11727,
University of Washington Foundation,,Education & Literacy,94-3079432,,,
Marine Corps -- Law Enforcement Foundation,"273 Columbus Ave
Tuckahoe, NY 10707
(40.958564, -73.821044)",Food & Hunger,22-3357410,,25288,
South Kitsap Helpline,"1012 Mitchell Ave
Port Orchard, WA 98366
(47.533625, -122.626106)",Food & Hunger,91-1117868,,11842,46
Land Trust Alliance,"1331 H St NW Ste 400
Washington, DC 20005
(38.90023, -77.030711)",Environment,04-2751357,,25078,
Born Free USA,"8737 Colesville Rd Ste 715
Silver Spring, MD 20910
(38.998916, -77.026166)",Environment,94-6187633,,2324,
Kitsap Humane Society,"9167 Dickey Rd NW
Silverdale, WA 98383
(47.645712, -122.719224)",Animals,91-0728353,,12228,243
Susan G. Komen,"5005 Lyndon B Johnson Fwy Ste 250
Dallas, TX 75244
(32.927421, -96.821757)","Disease, Disorders, & Medical Research",75-1835298,,20159,
Project Access Northwest,"200 Broadway Ste 202
Seattle, WA 98122
(47.60377, -122.320746)",Health (General),20-4377921,101,19578,785
ACT Theatre,"700 Union St
Seattle, WA 98101
(47.610733, -122.332129)","Arts, Culture, & Humanities",91-0787792,101,18081,118
Nature Stewards Program,,Environment,80-0342794,,,
American Red Cross Northwest Region,"1900 25th Ave S
Seattle, WA 98144
(47.585907, -122.300346)",Emergency & Disaster Services,53-0196605,101,17919,771
Building Changes,"1200 12th Ave S Ste 1200
Seattle, WA 98144
(47.593092, -122.317306)",Housing & Employment,91-1410450,101,17919,1229
Seattle's Union Gospel Mission,,Food & Hunger,91-0595029,,,
"University of Idaho Foundation, Inc.",,Education & Literacy,23-7098404,,,
Environmental Law Institute,"2000 L St NW Ste 620
Washington, DC 20036
(38.903736, -77.045782)",Environment,52-0901863,,25079,
Social Justice Fund NW,"1904 3rd Ave Ste 806
Seattle, WA 98101
(47.61179, -122.339876)",Social & Economic Justice,91-1036971,101,18081,783
Cure SMA,"925 Busse Rd
Elk Grove Village, IL 60007
(42.012807, -87.959575)","Disease, Disorders, & Medical Research",36-3320440,,4094,
Friendship House,"1002 S Third St
Mount Vernon, WA 98273
(48.415459, -122.336666)",Housing & Employment,91-1335750,,19893,980
Jubilee Women's Center,"620 18th Ave E
Seattle, WA 98112
(47.624603, -122.308686)",Housing & Employment,91-1539920,101,18789,117
King County Search and Rescue Association,,Emergency & Disaster Services,91-1331555,,,
Lambert House LGBTQ Youth Center,"1818 15th Ave
Seattle, WA 98122
(47.618184, -122.312774)",Youth Development,94-3036815,101,19578,781
Big Cat Rescue Corp,"12802 Easy St
Tampa, FL 33625
(28.05975, -82.57234)",Animals,59-3330495,,7476,
Helen Keller International,,International Relief & Development,13-5562162,,,
American Association for Cancer Research,"615 Chestnut St 17th Fl
Philadelphia, PA 19106
(39.94935, -75.151669)",Health (General),23-6251648,,2182,
Puget Sound Training Center,,Housing & Employment,91-2036279,,,
Prevention Time,"30020 2nd Ct S
Federal Way, WA 98003
(47.332349, -122.332531)",International Relief & Development,36-4655387,19,31847,857
Wounded Warrior Emergency Support Fund,"261 Fox Ridge Dr
Thousand Oaks, CA 91361
(34.174909, -118.874105)",Emergency & Disaster Services,77-0490412,,19342,
Shunpike,,"Arts, Culture, & Humanities",91-2138554,,,
Plan International USA,"155 Plan Way
Warwick, RI 2886
(41.732671, -71.446394)",International Relief & Development,13-5661832,,5388,
Children's Leukemia Research Foundation,"926 Valley Oaks Rd
St. Paul, MN 55127
(45.076265, -93.061582)","Disease, Disorders, & Medical Research",20-8365998,,14364,
Global Partnerships,"1932 1st Ave Ste 400
Seattle, WA 98101
(47.610918, -122.342393)",International Relief & Development,82-0574491,101,18081,783
Chief Seattle Club,"410 2nd Ave Extension S
Seattle, WA 98104
(47.601068, -122.33139)",Health (General),91-0852503,101,18379,786
Level the Field Sports,"5608 17th Ave NW #665
Seattle, WA 98107
(47.669511, -122.378912)",Youth Development,83-2982652,101,18386,344
Futurewise,"816 Second Ave Ste 200
Seattle, WA 98104
(47.603846, -122.333966)",Environment,91-1539831,101,18379,399
The Kavana Cooperative,,Spiritual Development,83-0448252,,,
Ashley House,"33811 9th Ave S
Federal Way, WA 98003
(47.298566, -122.322268)",Health (General),94-3080307,19,31847,492
Washington Environmental Council,"1402 Third Ave Ste 1400
Seattle, WA 98101
(47.608936, -122.337059)",Environment,91-0839385,101,18081,399
Eastside Friends of Seniors,"1121 228th Ave SE
Sammamish, WA 98075
(47.599562, -122.035552)",Health (General),26-3624411,81,18076,242
Issaquah Alps Trails Club,,Environment,91-1081852,,,
Scenic America,"1785 Massachusetts Ave NW
Washington, DC 20036
(38.90897, -77.041476)",Environment,23-2188166,,4499,
