"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Children's Institute for Learning Differences (CHILD)","2640 Benson Rd S
Renton, WA 98055
(47.457028, -122.201681)","91-1055331","9280","https://www.childnow.org","Once-failing students learn to regulate themselves, develop relationships, and be learners with CHILD’s life-changing interventions, so they achieve success at school and in life.","Youth Development","Mental Health, Disabilities, & Substance Abuse","Education & Literacy","https://www.charitynavigator.org/ein/911055331","https://www.guidestar.org/profile/91-1055331",,,"Returning","No",,"https://www.charitynavigator.org/ein/911055331","https://www.guidestar.org/profile/91-1055331",,,"Children & Youth","People With Disabilities",
"Rainier Valley Food Bank","4205 Rainier Ave S
Seattle, WA 98118
(47.565364, -122.288552)","91-1500768","9566","https://www.rvfb.org/","Serving one of the most diverse neighborhoods in the US, Rainier Valley Food Bank nourishes with great food, empowers with knowledge, and serves with compassion.","Food & Hunger","Health (General)","Community Development","https://www.charitynavigator.org/ein/911500768","https://www.guidestar.org/profile/91-1500768","https://www.bbb.org/charity-reviews/greatwestpacific/rainier-valley-food-bank-in-seattle-wa-22380387",,"Returning","Yes",,"https://www.charitynavigator.org/ein/911500768","https://www.guidestar.org/profile/91-1500768","https://www.bbb.org/charity-reviews/greatwestpacific/rainier-valley-food-bank-in-seattle-wa-22380387",,"Asian, Asian American","Economically Disadvantaged People","Children & Youth"
"Homeward Pet Adoption Center","13132 NE 177th Pl
Woodinville, WA 98072
(47.755969, -122.163733)","91-1526803","9861","https://www.homewardpet.org","Our mission is to transform lives of cats & dogs in need through compassionate medical care, positive behavior training & successful adoption & building a more humane community.","Animals",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911526803","https://www.guidestar.org/profile/91-1526803","https://www.bbb.org/western-washington/Charity-Reviews/charity-animal-protection/homeward-pet-adoption-center-in-woodinville-wa-22722952",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911526803","https://www.guidestar.org/profile/91-1526803","https://www.bbb.org/western-washington/Charity-Reviews/charity-animal-protection/homeward-pet-adoption-center-in-woodinville-wa-22722952",,,,
"EarthCorps","6310 NE 74th St Ste 201E
Seattle, WA 98115
(47.683307, -122.257877)","91-1592071","10863","https://www.earthcorps.org","EarthCorps develops leaders to strengthen community and restore the health of our environment. We envision a world where people and nature thrive together.","Environment",,,,"https://www.guidestar.org/profile/91-1592071",,,"Number Change","No",,,"https://www.guidestar.org/profile/91-1592071",,,"Children & Youth",,
"The Humane Society of the United States","1255 23rd St NW Ste 450
Washington, DC 20037
(38.906272, -77.050108)","53-0225390","5018","https://www.humanesociety.org","Confronting suffering for ALL animals in puppy mills, factory farms, animal testing and other cruel industries. Help us end all animal cruelty.","Animals",,"Emergency & Disaster Services","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3848","https://www.guidestar.org/profile/53-0225390","https://www.give.org/charity-reviews/national/animal-protection/humane-society-of-the-united-states-in-washington-dc-3129","https://greatnonprofits.org/org/the-humane-society-of-the-united-states","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3848","https://www.guidestar.org/profile/53-0225390","https://www.give.org/charity-reviews/national/animal-protection/humane-society-of-the-united-states-in-washington-dc-3129","https://greatnonprofits.org/org/the-humane-society-of-the-united-states",,,
"Seattle Mountain Rescue","16135 NE 41st Ct
Redmond, WA 98052
(47.647115, -122.12472)","91-6049880","10917","https://www.seattlemountainrescue.org/","A Mountain Rescue team of seasoned alpinists, who, since 1948, have been dedicated to saving lives through high angle rescues, back country searches and outdoor safety education.","Emergency & Disaster Services",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=916049880","https://www.guidestar.org/profile/91-6049880","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/seattle-mountain-rescue-in-seattle-wa-22471319",,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=916049880","https://www.guidestar.org/profile/91-6049880","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/seattle-mountain-rescue-in-seattle-wa-22471319",,,,
"GLSEN Washington State","1605 12th Ave #35
Seattle, WA 98122
(47.615782, -122.316867)","04-3234202","10802","https://www.glsenwashington.org","We provide training & resources to students & educators to make WA schools more inclusive for all students, regardless of their sexual orientation, gender identity or expression.","Education & Literacy",,"Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8176","https://www.guidestar.org/profile/04-3234202",,,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8176","https://www.guidestar.org/profile/04-3234202",,,"Children & Youth",,
"Seattle Area Feline Rescue","14717 Aurora Ave N
Shoreline, WA 98133
(47.736088, -122.345223)","91-2041961","9224","https://www.seattleareafelinerescue.org/","We save feline lives by taking in homeless cats, giving them the care they need, finding them loving homes, and supporting their human companions.","Animals",,,,"https://www.guidestar.org/profile/91-2041961",,,"Returning","No",,,"https://www.guidestar.org/profile/91-2041961",,,,,
"21 Acres Center for Local Food and Sustainable Living","13701 NE 171st St
Woodinville, WA 98072
(47.750699, -122.156754)","91-1980248","9998","https://www.21acres.org","21 Acres is a leader in sustainable and regenerative practices, serving as an education center and living laboratory for people who want to learn about sustainable ways of living.","Food & Hunger",,"Environment",,,,,"Returning","No",,,,,,"Children & Youth",,
"Washington Ensemble Theatre",,"11-3720814","9839","https://washingtonensemble.org/","Through shared artistic leadership we bring audacious theatre to adventurous Seattle audiences.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/ein/113720814","https://www.guidestar.org/profile/11-3720814",,,"Returning","No",,"https://www.charitynavigator.org/ein/113720814","https://www.guidestar.org/profile/11-3720814",,,,,
"Northwest's Child Inc.","1823 N 85th
Seattle, WA 98103
(47.690503, -122.335399)","91-1453752","9561","https://www.northwestschild.org","Serving the day-to-day, year-round needs of children, teens & young adults with moderate/severe developmental/physical disabilities in a community-based, integrated, day program.","Mental Health, Disabilities, & Substance Abuse",,"Community Development","https://www.charitynavigator.org/index.cfm?keyword_list=91-1453752&bay=search.results","https://www.guidestar.org/profile/91-1453752",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?keyword_list=91-1453752&bay=search.results","https://www.guidestar.org/profile/91-1453752",,,"People With Disabilities","Children & Youth","Economically Disadvantaged People"
"Islandwood","4450 Blakely Ave NE
Bainbridge Island, WA 98110
(47.603857, -122.536107)","31-1654076","2602","https://islandwood.org/","Immersive programs across the Seattle region to help children, educators, & community members deepen their understanding of the world around them & explore environmental issues.","Environment",,,,,,,"Returning","No",,,,,,,,
"Memorial Sloan Kettering Cancer Center","1275 York Ave
New York, NY 10065
(40.764044, -73.955801)","13-1924236","5077","https://www.mskcc.org","Cancer Care Is the Only Thing We Do. Our specialists treat every type of cancer, including the most important one: yours.","Disease, Disorders, & Medical Research",,"Health (General)",,"https://www.guidestar.org/profile/13-1924236",,"https://greatnonprofits.org/org/memorial-sloan-kettering-cancer-center-5","Returning","No",,,"https://www.guidestar.org/profile/13-1924236",,"https://greatnonprofits.org/org/memorial-sloan-kettering-cancer-center-5",,,
"Arc of Snohomish, The","2500 Hewitt Ave Ste 300
Everett, WA 98201
(47.979131, -122.19599)","91-0991444","9830","https://www.arcsno.org","The resource of first choice for individuals with developmental disabilities and their families regardless of the diagnosis and at all stages of life.","Health (General)",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910991444","https://www.guidestar.org/profile/91-0991444",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910991444","https://www.guidestar.org/profile/91-0991444",,,"People With Disabilities","Economically Disadvantaged People","Latino/Latina/Latinx, Hispanic"
"Tilth Alliance","4649 Sunnyside Ave N Ste 100
Seattle, WA 98103
(47.663831, -122.330171)","94-3261971","2568","https://www.seattletilth.org","Seattle Tilth inspires and educates people to grow food organically, conserve natural resources and support local food and agriculture systems.","Environment",,,,,,,"Returning","No",,,,,,,,
"GROW, formerly P-Patch Trust",,"91-1091819","3014","https://www.grownorthwest.org","We help manage and fund community gardens, urban farms and green spaces for growing, sharing and preparing food. We donate food to area food banks.","Community Development","Social & Economic Justice","Environment","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15955",,,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15955",,,,"Economically Disadvantaged People",,
"Washington Women In Need","232 5th Ave S Ste 201
Kirkland, WA 98033
(47.672036, -122.202804)","91-1559848","2727","https://www.wwin.org","Women in Washington are striving to create economic stability for themselves and their families. WWIN provides an empowering pathway of support to get her there.","Human & Civil Rights",,,,,,,"Returning","No",,,,,,,,
"FamilyWorks Food Bank & Family Resource Center","1501 N 45th St
Seattle, WA 98103
(47.661373, -122.338925)","91-1757277","9629","https://www.familyworksseattle.org","FamilyWorks connects neighbors and families to nourishing food, essential resources, and a supportive community, so people can build resiliency to meet life’s challenges.","Food & Hunger",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11374","https://www.guidestar.org/profile/91-1757277",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11374","https://www.guidestar.org/profile/91-1757277",,,"Economically Disadvantaged People","Children & Youth","Seniors"
