Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
AtWork!,"1935 152nd Pl NE
Bellevue, WA 98007
(47.626667, -122.136841)",Social & Economic Justice,91-0996632,"We empower people with disabilities to be productive, integrated and contributing members of their communities. We provide employment and community access services.",Community Development,"Mental Health, Disabilities, & Substance Abuse",6,31853,19
"Auburn Food Bank, The","930 18th Pl NE
Auburn, WA 98002
(47.32404, -122.218549)",Food & Hunger,91-1215485,"We provide food, referrals & emergency assistance to those in need within the Auburn School District. We also operate a day & night shelter for our homeless community.",Emergency & Disaster Services,,2,31845,163
Auburn Public Schools Foundation,"915 4th St NE
Auburn, WA 98002
(47.311117, -122.21693)",Education & Literacy,45-3713074,We fund grant opportunities for student success in the Auburn School District.,Food & Hunger,,2,31845,494
Auburn Valley Humane Society,"4910 A St SE
Auburn, WA 98092
(47.264193, -122.229599)",Animals,45-0638467,"AVHS enriches the lives of companion animals and people through animal sheltering, programs and community engagement. Your donation changes lives...four paws at a time!",Community Development,Education & Literacy,2,18080,263
Audubon Washington,"5902 Lake Washington Blvd S
Seattle, WA 98118
(47.549122, -122.257495)",Environment,13‐1624102,"We work to protect birds and habitat through education, conservation action, community engagement and collaboration.",,,101,18800,1230
Aurora Commons,"302A N 78th St
Seattle, WA 98103
(47.685481, -122.3551)",Food & Hunger,35-2515559,"Aurora Commons is a welcoming space for our unhoused neighbors to rest, prepare a meal, connect to resources and collectively create a healthy and vibrant community.",Health (General),Community Development,101,18377,305
Autism Compassion Africa,"3615 Meadow Ave N
Renton, WA 98056
(47.524352, -122.198986)","Mental Health, Disabilities, & Substance Abuse",81-4956767,"Provides breakthroughs for children with autism & their communities in West Africa through the application of evidenced-based ABA therapy, continued education & awareness raising.",Education & Literacy,Community Development,100,17809,838
Autism Intervention and Treatment Research -- Organization for Autism Research,"2000 N 14th St Ste 240
Arlington, VA 22201
(38.889707, -77.08213)","Disease, Disorders, & Medical Research",54-2062167,Parents of children with autism never stop seeking answers. We're here to provide those answers by funding research that provides practical information on lifelong care.,,,,23399,
Autism Society of America,"6110 Executive Blvd Ste 305
Rockville, MD 20852
(39.048556, -77.124973)","Disease, Disorders, & Medical Research",52-1020149,"We provide advocacy, education, information and referral, support, and community at national, state and local levels through our strong nationwide network of affiliates.",,,,32430,
Autism Speaks,"1 E 33rd St 4th Fl
New York, NY 10016
(40.747504, -73.984384)","Disease, Disorders, & Medical Research",20-2329938,Promotes solutions for needs of individuals with autism and families; increasing ASD acceptance and research into causes and better interventions.,Health (General),Community Development,,12078,
"Autism Speaks, Pacific Northwest","17818 Stone Ave N
Shoreline, WA 98013
(47.758449, -122.343042)","Disease, Disorders, & Medical Research",20-2329938,"We fund biomedical research into the causes, prevention, and treatments for autism spectrum disorders; advocate for the needs of affected families.",Health (General),Community Development,102,19582,418
Azusa Pacific University,"901 E Alosta Ave
Azusa, CA 91702
(34.128801, -117.889667)",Education & Literacy,95-1744369,We seek to advance the work of God in the world through academic excellence in liberal arts and professional programs of higher education.,Community Development,Spiritual Development,,8894,
Babies of Homelessness,,Housing & Employment,81-4902417,Babies of Homelessness urgently delivers essentials to children experiencing homelessness by mobilizing the power and generosity of the community.,Health (General),Emergency & Disaster Services,,,
Bailadores de Bronce,,"Arts, Culture, & Humanities",91-1070347,"Promoting the beauty and richness of Mexican traditions through music and dance in the PNW. Creating a bridge of understanding, sharing our culture, and preserving our traditions.",Education & Literacy,Community Development,,,
Bailey-Boushay House,"2720 E Madison St
Seattle, WA 98112
(47.623126, -122.296725)",Health (General),91-0565539,"Supporting people in our community living with HIV/AIDS by providing medication management, counseling, nutritional meals & life-skills building to help them stay healthier longer.",Food & Hunger,"Mental Health, Disabilities, & Substance Abuse",101,18789,398
Ballard Food Bank,"5130 Leary Ave NW
Seattle, WA 98107
(47.665354, -122.3806)",Food & Hunger,91-1428805,We bring food and hope to our neighbors because there can be enough for everyone. We serve thousands of individuals and families across 8 ZIP codes in northwest Seattle.,,,101,18386,344
BatsNorthwest,"6310 NE 74th St
Seattle, WA 98115
(47.683307, -122.257877)",Animals,31-1535708,"We are dedicated to saving Bats through education, research and rehabilitation. We give education programs to the public and join booth events.",Environment,Education & Literacy,101,18792,276
Battlefield Addiction,"2250 Roosevelt Ave
Enumclaw, WA 98022
(47.199364, -121.998611)","Mental Health, Disabilities, & Substance Abuse",47-1779138,"The Mission of Battlefield Addiction is to eliminate the suffering of families, individuals, and communities impacted by Addiction through our family-first approach.","Disease, Disorders, & Medical Research",Health (General),16,17348,1201
Beacon Business Alliance,"2821 Beacon Ave S
Seattle, WA 98144
(47.578163, -122.311177)",Community Development,45-0844084,A community-based development organization working to promote equitable economic development and provide technical assistance and promotion for businesses in our neighborhood.,Social & Economic Justice,,101,17919,1412
Beacon Food Forest,,Food & Hunger,82-2990802,"A community-driven permaculture woodland ecosystem using edible trees, shrubs, perennials, and annuals, providing food and horticulture education for all.",Environment,Community Development,,,
Beavers Northwest,"15833 11th Ave NE
Shoreline, WA 98155
(47.744837, -122.317061)",Environment,47-2897704,Our mission is to increase acceptance and understanding of beavers to support healthier and more resilient ecosystems.,,,102,17924,130
Behind the Badge Foundation,"8309 165th Ave NE Ste 205
Redmond, WA 98052
(47.676915, -122.120414)",Emergency & Disaster Services,91-1700108,"Provides support to Washington State’s law enforcement agencies, families and communities after an officer has died or suffered serious injury in the line of duty.",,,97,17806,514
Bellevue Arts Museum,"510 Bellevue Way NE
Bellevue, WA 98004
(47.615313, -122.201609)","Arts, Culture, & Humanities",91-6028261,"We work with audiences, artists, makers, and designers to provide a public forum for the community to contemplate, appreciate, and discuss new perspectives through visual culture.",,,6,31848,1443
Bellevue Botanical Garden Society,"12001 Main St
Bellevue, WA 98005
(47.609983, -122.17907)",Environment,91-1333659,The Society exists to perpetuate and further enhance the Bellevue Botanical Garden as a learning resource in partnership with the City of Bellevue.,Education & Literacy,,6,31850,432
Bellevue Youth Symphony Orchestra (BYSO),"12310 NE 8th St Ste 201
Bellevue, WA 98005
(47.617331, -122.176089)","Arts, Culture, & Humanities",91-1630589,"BYSO's 6 orchestras, 3 ensembles and 3 summer day camps allow youth ages 6-21 to discover the joy of making music, experience performance opportunities and develop life skills.",Education & Literacy,,6,31850,432
Bellwether Housing,"1651 Bellevue Ave
Seattle, WA 98122
(47.616561, -122.3268)",Housing & Employment,91-1116960,"Our mission is to provide excellent affordable apartments that enable low-wage working people, their families and seniors to live independently throughout their lives.",Community Development,,101,19578,784
Benaroya Research Institute,"1218 Terry Ave (PO Box 1930) D1-MF
Seattle, WA 98101
(47.610809, -122.327978)","Disease, Disorders, & Medical Research",91-0653422,"An international leader in autoimmune disease research that is dedicated to finding causes and cures to eliminate autoimmune diseases such as Type 1 Diabetes, MS and Arthritis.",Health (General),,101,18081,1113
Benefits Law Center,"1404 E Yesler Way Ste 203
Seattle, WA 98122
(47.601697, -122.313781)",Social & Economic Justice,91-1866898,Social Security advocacy for people with disabilities who are homeless or low-income.,"Mental Health, Disabilities, & Substance Abuse",Legal Advocacy,101,19578,400
Best Buddies International- Washington State,"100 SE 2nd St
Miami, FL 33131
(25.772572, -80.19172)","Mental Health, Disabilities, & Substance Abuse",52-1614576,"As a result of their involvement with Best Buddies, people with IDD secure rewarding jobs, live on their own, become inspirational leaders, and make lifelong friendships.",Education & Literacy,Youth Development,,24163,
Best Friends Animal Society,"5001 Angel Canyon Rd
Kanab, UT 84741
(37.125896, -112.54332)",Animals,23-7147797,"For 30+ years, we've run the nation’s largest no-kill sanctuary for companion animals and built effective programs reducing the number of animals entering shelters.",Health (General),,,17463,
