"project_name","preserve","vicinity","latitude","longitude","approx_size_in_acres","species_common_name","objectives","status","year","season","ipm_method_type","methods","crew","notes","upload_date","geo_location"
"Ridgewood Fuelbreak","Terra Linda Sleepy Hollow","Ridgewood Fire Road","37.9919","-122.55341","8","Blue gum eucalyptus","Fire fuel reduction, Invasive species control, Emergency access","Completed","2017","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.55341 37.9919)"
"Maintenance: Ignacio Valley Mow","Ignacio Valley","Eagle Drive & Eagle Trail trailhead","38.067543","-122.566949","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.566949 38.067543)"
"Camino Alto Fuelbreak: Phase I","Camino Alto","East of Camino Alto Fire Road (excluding northern portion)","37.91252521","-122.5280128","16","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2018","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5280128 37.91252521)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Patricia Fire Road upper and lower","38.021116","-122.570111","1.54","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.570111 38.021116)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2013","Spring","Non-chemical","Burn piles","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Loma Alta Grazing","Loma Alta","White Hill Middle School vicinity, Baywood Canyon","38.0052552","-122.6061798","14","Mixed vegetation","Fire fuel reduction","Completed","2021","Summer","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.6061798 38.0052552)"
"Old Saint Hilary’s Acacia Control","Old St. Hilary's","Vistazo Fire Road, Mar West Street","37.88193","-122.45747",,"Acacia","Fire fuel reduction, Invasive species control","Upcoming","2022","Spring, Summer, Fall, Winter","Non-chemical, Chemical","Hand pull, Cut, Triclopyr (Garlon)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45747 37.88193)"
"Maintenance: Indian Tree Mow","Indian Tree","Rent Barn Trail","38.103558","-122.638736","0.4","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.638736 38.103558)"
"Deer Island Goatgrass Control","Deer Island","Deer Island Loop Trail x Russel Antonio Trail","38.098445","-122.54227","0.1","Goatgrass","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.54227 38.098445)"
"Terra Linda/Sleepy Hollow Goatgrass Control","Terra Linda Sleepy Hollow","Cherry Hill Fire Road, Terra Linda Ridge Fire Road, Del Ganado Fire Road, Luiz Ranch Fire Road, Irving Fire Road, 680 Trail","38.01947","-122.58045","6","Goatgrass","Invasive species control","Completed","2020","Spring","Non-chemical","Hand pull","Parks Resources Team, Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.58045 38.01947)"
"Maintenance: White Hill Mow","White Hill","Sherwood Forest Fire Road","38.009252","-122.621455","0.41","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.621455 38.009252)"
"Maintenance: Loma Alta Mow","Loma Alta","Suyvesant Trail Easement","38.006126","-122.587928","0.09","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.587928 38.006126)"
"Maintenance: Ignacio Valley Mow","Ignacio Valley","Burning Tree / Halloween Trail trailhead","38.061109","-122.561896","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.561896 38.061109)"
"Maintenance: Horse Hill Mow","Horse Hill","Shell Court #12","37.908363","-122.515192","0.26","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.515192 37.908363)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Irving Fire Road gate","38.013482","-122.580474","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.580474 38.013482)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Paradise Beach Park Mow","Paradise Beach Park",,"38.042319","-122.536528","2.29","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.536528 38.042319)"
"Maintenance: Bolinas Park Mow","Bolinas Park",,"37.906014","-122.686459","0.15","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.686459 37.906014)"
"Maintenance: Rush Creek Lighting & Landscape DIstrict Mow","Rush Creek Lighting & Landscape DIstrict","30ft into preserve","38.12078","-122.551822","7.47","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.551822 38.12078)"
"Terra Linda Ridge Fire Road","Terra Linda Sleepy Hollow","Mission Pass","38.00947183","-122.5721614","7.4","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5721614 38.00947183)"
"Santa Venetia Marsh Restoration & Stewardship","Santa Venetia Marsh","Levee Fire Road, Outer Levee","38.01733","-122.5115",,"Pepperweed, Fennel, Broom, Harding grass, Palms, Plum trees, Iceplant, Puncture vine, Salsify","Invasive species control","Upcoming","2022","Spring, Summer, Fall, Winter","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.5115 38.01733)"
"Ridgewood Fuelbreak","Terra Linda Sleepy Hollow","Ridgewood Fire Road","37.9919","-122.55341","8","Blue gum eucalyptus","Fire fuel reduction, Invasive species control, Emergency access","Completed","2019","Fall","Non-chemical, Chemical","Cut, Triclopyr (Garlon)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.55341 37.9919)"
"Toyon Fuelbreak","Cascade Canyon","Toyon Fire Road & Cul-de-sac Fire Road","37.9837505","-122.6044071","14","Broom","Fire fuel reduction, Invasive species control, Emergency access","Upcoming","2022","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.6044071 37.9837505)"
"Maintenance: Ignacio Valley Mow","Ignacio Valley","Olympia Way","38.066779","-122.567698","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.567698 38.066779)"
"Pinchpoint Emergency Access","Baltimore Canyon","Blithedale Ridge Fire Road","37.931388","-122.5595","3","Broom","Emergency access, Invasive species control","Upcoming","2022","Fall","Chemical","Triclopyr (Garlon)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5595 37.931388)"
"Camino Alto Fuelbreak: Phase II","Camino Alto","East of Camino Alto Fire Road in the north, plus areas east of Escalon Fire Road in the region north of the intersection with Del Casa Fire Road","37.90959083","-122.5320033","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2018","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5320033 37.90959083)"
"Maintenance: Lucas Valley Field Office Mow","Lucas Valley Field Office","Lucas Valley Rd at Mt Shasta Dr","38.028192","-122.575787","0.49","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.575787 38.028192)"
"Maintenance: Tiburon Uplands Mow","Tiburon Uplands","Tiburon Uplands trail","37.888324","-122.449619","1.04","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.449619 37.888324)"
"Maintenance: Tam Valley Mow","Tam Valley","Vista de Valle","37.87","-122.533163","0.82","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.533163 37.87)"
"Overhill","Camino Alto","Overhill Road","37.90969706","-122.5292826","1.4","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2020","Winter","Non-chemical","Burn piles","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5292826 37.90969706)"
"Maintenance: Ignacio Valley Mow","Ignacio Valley","Piping Rock","38.060391","-122.579114","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.579114 38.060391)"
"Maintenance: Homestead Valley Mow","Homestead Valley","Pixie Trail","37.899453","-122.546051","0.37","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.546051 37.899453)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2017","Spring","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Hidden Lake Restoration & Stewardship","Mount Burdell","Hidden Lake","38.13668","-122.595433","1","Pennyroyal","Invasive species control","Upcoming","2022","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.595433 38.13668)"
"Cascade Canyon Broom Control","Cascade Canyon","Western areas of the preserve; west of Toyon Fire Road","37.98092","-122.61523","9.4","Broom","Fire fuel reduction, Invasive species control, Emergency access","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.61523 37.98092)"
"Maintenance: Loma Alta Mow","Loma Alta","Wilder Trail","38.003955","-122.58545","1.73","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.58545 38.003955)"
"Maintenance: Cascade Canyon Prune","Cascade Canyon","Toyon Tanks Fire Road","37.979627","-122.606469","1.39","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.606469 37.979627)"
"Ring Mountain Fennel Control","Ring Mountain","Ring Mountain Fire Road, Reed Ranch Fire Road","37.91099","-122.49699","12.7","Fennel","Invasive species control","Completed","2020","Summer, Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49699 37.91099)"
"Maintenance: White House Pool Mow","White House Pool",,"38.062185","-122.816768","0.01","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks","As Needed","2022-01-04T00:00:00.000","POINT (-122.816768 38.062185)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2018","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Santa Venetia Marsh Restoration & Stewardship","Santa Venetia Marsh","Levee Fire Road, Outer Levee","38.01733","-122.5115","0.3","Pepperweed, Fennel, Broom, Harding grass, Palms, Plum trees, Iceplant, Puncture vine, Salsify","Invasive species control","Completed","2020","Spring, Summer, Fall, Winter","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.5115 38.01733)"
"Maintenance: Ring Mountain Mow","Ring Mountain","Taylor Mountain Fire Road entrance gate","37.912991","-122.488135","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.488135 37.912991)"
"Blithedale Ridge Access and Fuelbreak","Blithedale Summit","Blithedale Ridge Fire Road from Corte Madera Ridge intersection to Two Tanks intersection","37.925509","-122.552242","11","Broom","Fire fuel reduction","Completed","2019","Winter","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.552242 37.925509)"
"Maintenance: Cascade Canyon Prune","Cascade Canyon","Cascade Fire Road","37.981425","-122.619617","4.3","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.619617 37.981425)"
"Maintenance: Mill Valley Bike Path Mow","Mill Valley Bike Path","Mill Valley/Saus Multi Use Path  adjacent to Horse Hill","37.909676","-122.525162","10.91","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.525162 37.909676)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2007","Summer","Chemical","Glyphosate (Aquamaster)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Stafford Lake Mow","Stafford Lake","lakefront lot and vehicle access road to area 1","38.115337","-122.649847","3.44","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"As Needed","2022-01-04T00:00:00.000","POINT (-122.649847 38.115337)"
"Maintenance: Pacheco Valle Mow","Pacheco Valle","Alameda del Prado At Little Cat Fire Road","38.047985","-122.544095","0.09","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.544095 38.047985)"
"Maintenance: Bayside Park Mow","Bayside Park",,"37.979114","-122.475093","0.1","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.475093 37.979114)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Cherry Hill Fire Road","38.020274","-122.554526","1.45","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.554526 38.020274)"
"Ridgewood Fuelbreak","Terra Linda Sleepy Hollow","Ridgewood Fire Road","37.9925","-122.5564579","3","Blue gum eucalyptus","Fire fuel reduction, Invasive species control, Emergency access","Completed","2018","Fall","Non-chemical","Cut","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.5564579 37.9925)"
"Ring Mountain Harding Grass Control","Ring Mountain","Phyllis Ellman Trail","37.92028","-122.49415","0.1","Harding grass","Invasive species control","Completed","2021","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49415 37.92028)"
"Gary Giacomini Broom Control","Gary Giacomini","White Hill Fire Road, Conifer Fire Road, East Sylvestris Fire Road, Caterpillar Trail","38.00465","-122.67159",,"Broom","Invasive species control, Fire fuel reduction","Upcoming","2022","Spring","Non-chemical","Hand pull","Parks Resources Team, Volunteers",,"2022-01-04T00:00:00.000","POINT (-122.67159 38.00465)"
"Maintenance: Bayside Park Mow","Bayside Park",,"37.978524","-122.47503","0.05","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.47503 37.978524)"
"Mount Burdell Goatgrass Control","Mount Burdell","Middle Burdell Fire Road, Cobblestone Fire Road, San Andreas Fire Road, Serpentine Fire Road,","38.13715","-122.59703","10","Goatgrass","Invasive species control","Completed","2021","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.59703 38.13715)"
"Maintenance: Mt Burdell Mow","Mt Burdell","Woodleaf Court","38.124478","-122.582339","0.14","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.582339 38.124478)"
"Hillside Fuelbreak","Blithedale Summit","South end of Blithedale Ridge Fire Road above Hillside Ave.","37.91252962","-122.542517","14","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2010","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542517 37.91252962)"
"Maintenance: French Ranch Mow","French Ranch","School Kids","38.016122","-122.683368","0.35","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.683368 38.016122)"
