"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Office of Community Beautification - Olympic Park Neighborhood Council","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-05T09:00:00.000","2016-11-05T11:00:00.000","St. Mary's Episcopal Church","961 S. Mariposa Ave.
Los Angeles, CA 90006
(34.053845, -118.298943)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification - Zen Center, St. Mary's and KYCC Clean Up","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-05T09:00:00.000","2016-11-05T11:00:00.000","St. Mary's Episcopal Church","961 S. Mariposa Ave.
Los Angeles, CA 90006
(34.053845, -118.298943)","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: La Tuna Cyn Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:00:00.000",,"7145 La Tuna Cyn.
Sun Valley, CA 91352","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification - WLA/Sawtelle NC","Community Clean Up",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","WLA Municipal Building","Corinth & Iowa - Parking Lot
Los Angeles, CA 90025","Anna Ruiz","213-978-0231","Anna.Ruiz@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: West Hills Post Office Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","West Hills Post Office","23055 Sherman Way
West Hills, CA 
(34.200712, -118.628685)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification: West Hills Roscoe Ave Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","Orcutt Ranch","23600 Roscoe Blvd
West Hills, CA 
(34.219161, -118.640478)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Englander",,
"Office of Community Beautification: West Hills Woodlake Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","Fields Market (meeting location)","23221 Saticoy St
West Hills, CA 
(34.208235, -118.633102)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification: West Hills Nevada Ave Elementary Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","Nevada Ave Elementary","22120 Chase St.
West Hills, CA 
(34.224227, -118.607968)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification: Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T12:00:00.000","Devonwood Park","Devonshire St. & Woodman Ave.
Mission Hills, CA 91345","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification: West Hills Pomelo Elementary Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000","Pomelo Elementary","7633 March Ave.
West Hills, CA 
(34.209229, -118.642042)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification: West Hills Valley Circle Project","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:30:00.000","2016-11-05T11:30:00.000",,"Valley Circle/Strathern
West Hills, CA ","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification ~  Councilman Curren Price ~ Green Meadows United We Stand","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:00:00.000",,"89th Street & Avalon Boulevard
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Sunland Foursquare Church Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:00:00.000",,"10602 Sherman Grove
Sunland, CA 91040
(34.261764, -118.319558)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification ~ Office of Councilmember Paul Krekorian ~ Van Nuys Cleanup Day","Community Cleanup","None","Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:00:00.000",,"6425 Tyrone Ave.
California, 91401 
(34.187189, -118.44435)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Paul Krekorian ","Office of Councilmember Paul Krekorian ","Mid-Valley Police Council ",
"Office of Community Beautification ~ MacArthur Park Neighborhood ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:00:00.000",,"MacArthur Park
California, 90057 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"MacArthur Park Neighborhood Council",
"Office of Community Beautification ~  Institute of Popular Education of Southern California","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T11:00:00.000",,"1301 North Figueroa Place
Wilmington, California 90744
(33.787386, -118.281814)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ West Adams High School","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T13:00:00.000","West Adams High School","1500 West Washington Boulevard
Los Angeles, California 
(34.04001, -118.289685)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Panorama Elementary School Community Cleanup ","Community Cleanup","None","Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:00:00.000","Panorama City Elementary School","8600 Kester Ave
California, 91402 
(34.226464, -118.457469)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/"," Office of Councilwoman Nury Martinez"," Office of Councilwoman Nury Martinez",,
"Office of Community Beautification ~ Office of Councilmember Paul Krekorian ~ Eagle Scout Clean-up Project ","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T13:00:00.000",,"Chandler Ave. Los Angeles
California, 91601 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Paul Krekorian","Office of Councilmember Paul Krekorian","Midtown North Hollywood Neighborhood Council ",
"Office of Community Beautification: Rocky Peak Cleanup",,,"Volunteerism",,,,"BPW OCB","2016-11-05T08:00:00.000","2016-11-05T12:30:00.000",,"22601 Santa Susana Pass Rd.
Chatsworth, CA 91311
(34.272324, -118.616149)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 12","Councilmember Englander",,
"Office of Community Beautification ~ Sun Valley Area Neighborhood Council ~ Peoria - Tujunga Corridor Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-11-05T07:30:00.000","2016-11-05T14:00:00.000",,"9081 Tujunga Ave, Los Angeles
California, 91352 
(34.088904, -117.421042)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"Sun Valley Area Neighborhood Council",
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-11-04T10:00:00.000","2016-11-04T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11042016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-11-02T10:00:00.000","2016-11-02T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/11022016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-10-31T10:00:00.000","2016-10-31T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10312016_bpwcal.htm",,,,
"Board of Public Works Meeting","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-10-31T10:00:00.000","2016-10-31T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10312016_bpwcal.htm",,,,"Los Angeles"
"Los Angeles Convention Center - Stan Lee's Los Angeles Comic Con","Paid parking available. Park in South Hall garage. Registration opens at 8 a.m.","Yes","Convention / Expo",,,,"Convention Center","2016-10-30T10:00:00.000","2016-10-30T16:00:00.000","Los Angeles Convention Center, South Hall GHJK","1201 S. Figueroa St.
Los Angeles, CA 90015",,"2137411151","info@lacclink.com","http://www.stanleeslacomiccon.com/",,,,
"Los Angeles Convention Center - Health & Fitness Expo","Paid parking available. Park in West Hall garage.","No","Convention / Expo",,,,"Convention Center","2016-10-29T09:00:00.000","2016-10-29T17:00:00.000","Los Angeles Convention Center, West Hall A","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Office of Community Beautification ~  Harbor Gateway North Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-10-29T09:00:00.000","2016-10-29T13:00:00.000","Boys & Girls Club","802 West Gardena Boulevard
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Los Angeles Convention Center - Stan Lee's Los Angeles Comic Con","Paid parking available. Park in South Hall garage.  Registration opens at 7a.m.","Yes","Convention / Expo",,,,"Convention Center","2016-10-29T09:00:00.000","2016-10-29T18:00:00.000","Los Angeles Convention Center, South Hall GHJK","1201 S. Figueroa St.
Los Angeles, CA 90015",,"2137411151","info@lacclink.com","http://www.stanleeslacomiccon.com/",,,,
"Office of Community Beautification ~ Empowerment Congress Central Area Neighborhood Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-10-29T08:00:00.000","2016-11-29T12:00:00.000","Barack Obama Academy","1700 West 46th Street
Los Angeles, California 90062
(34.001898, -118.309417)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: The Polk Cleanup & 311 Info Session","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-10-29T08:00:00.000","2016-10-29T11:00:00.000",,"Polk St. and San Fernando Rd.
Sylmar, CA 91342
(34.29917, -118.459197)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification ~ MacArthur Park Neighborhood ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-10-29T08:00:00.000","2016-10-29T12:00:00.000",,"MacArthur Park
California, 90057 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"MacArthur Park Neighborhood Council",
"Office of Community Beautification: Vaughn Learning Center Tree Planting","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-10-29T07:00:00.000","2016-10-29T14:00:00.000","Vaughn Next Century Learning Center","11200 Herrick Ave.
Pacoima, CA 91331
(34.273327, -118.417122)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Los Angeles Convention Center - Stan Lee's Los Angeles Comic Con","Paid parking available. Park in South Hall garage. Registration opens at 9 a.m.","Yes","Convention / Expo",,,,"Convention Center","2016-10-28T17:00:00.000","2016-10-28T21:00:00.000","Los Angeles Convention Center, South Hall GHJK","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.stanleeslacomiccon.com/",,,,
"Los Angeles Convention Center - Health & Fitness Expo","Paid parking available. Park in West Hall garage.","No","Convention / Expo",,,,"Convention Center","2016-10-28T13:00:00.000","2016-10-28T18:00:00.000","Los Angeles Convention Center, West Hall A","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-10-28T10:00:00.000","2016-10-28T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10282016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-10-26T10:00:00.000","2016-10-26T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10262016_bpwcal.htm",,,,
,,,"Convention / Expo",,,,,"2016-10-24T20:01:01.000","2016-10-24T20:01:01.000",,,,,,,,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-10-24T10:00:00.000","2016-10-24T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10242016_bpwcal.htm",,,,
"Office of Community Beautification: Costanso Neighborhood Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-10-23T07:00:00.000","2016-10-23T11:00:00.000",,"Alhama and Ventura
Woodland Hills, CA 91364
(34.166937, -118.592777)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 3","Councilmember Blumenfield ",,
"Office of Community Beautification ~  Councilman Curren Price ~ Jefferson High School","Day of Action Power Party","NO","Volunteerism",,,,"BPW OCB","2016-10-22T10:00:00.000","2016-10-22T14:00:00.000","Jefferson High School","1319 East 41st Street
Los Angeles, California 90011
(34.00913, -118.251168)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification: Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-10-22T08:30:00.000","2016-10-22T12:00:00.000",,"Fox St. and Woodman Ave.
Mission Hills, CA 91345
(34.264469, -118.455044)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7",,,
"Office of Community Beautification: Fullbright Elementary Cleanup Day","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-10-22T08:30:00.000","2016-10-22T11:00:00.000","Fullbright Elementary","6940 Fullbright Ave
Winnetka, CA 91306
(34.196485, -118.577225)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 3","Councilmember Blumenfield ",,
"Office of Community Beautification ~  Empowerment Congress Central Area Neighborhood Development Council","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-10-22T08:00:00.000","2016-10-22T12:00:00.000","Barack Obama Academy","1700 West 46th Street
Los Angeles, California 90062
(34.001898, -118.309417)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Highland Park Keep It Clean Community Cleanup","Community Cleanup ","None","Volunteerism ",,,,"BPW OCB","2016-10-22T08:00:00.000","2016-10-22T13:30:00.000","Monte Vista Street Elementary School Auditorium ","5423 Monte Vista Street. Los Angeles
California, 90042 
(34.110334, -118.197348)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilmember Gil Cedillo","Office of Councilmember Gil Cedillo","Historic Highland Park Neighborhood Council ",
"Office of Community Beautification ~ Office of Councilwoman Nury Martinez ~ Hazeltine Community Cleanup","Community Cleanup ","None","Volunteerism ",,,,"BPW OCB","2016-10-22T08:00:00.000","2016-10-22T12:00:00.000","Hazeltine Neighborhood ","Intersection of Hazeltine Ave and Sunburst St. Los Angeles
California, 91402 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Office of Councilwoman Nury Martinez ","Councilwoman Nury Martinez ","Hazeltine Neighborhood Watch - CD 6 ",
"Office of Community Beautification ~ MacArthur Park Neighborhood ~ Community Cleanup","Community Cleanup","None","Volunteerism ",,,,"BPW OCB","2016-10-22T08:00:00.000","2016-10-22T12:00:00.000",,"MacArthur Park
California, 90057 ","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/",,,"MacArthur Park Neighborhood Council",
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-10-21T10:00:00.000","2016-10-21T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/10212016_bpwcal.htm",,,,
