"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.371855853179 47.203541937407)","47","106","Lidford Playfield","Park","Local","58th St & 44th Ave E","Tacoma","98443","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","10","0","http://www.co.pierce.wa.us/5745/Lidford-Playfield",,"1","Lidford Playfield","9.73859521","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","9.78","This neighbhorhood playfield serves the Summit-Waller community and includes a walking path and open lawn.","Yes",
"POINT (-122.407007859951 47.230703230911)","136","230","Portland Avenue Park & Community Center","Park","Local","3513 Portland Ave","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk | Center hours vary","14.3","0","http://www.metroparkstacoma.org/portland-avenue-park",,"1","Portland Avenue Park & Community Center","13.87404363",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.691007078922 47.102632070702)","288","1961","Nisqually National Wildlife Refuge","Wildlife Habitat","Regional/Resource Cons.","100 NE Brown Farm Rd","Olympia","98516","US Fish and Wildlife","US Fish & Wildlife","The trails and Refuge are open from sunrise to sunset","1512.56","0","http://www.fws.gov/refuges/profiles/index.cfm?id=13529",,"1","Nisqually National Wildlife Refuge","1018.19032055",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.681314713215 47.396790521922)","245","381","360 Trails","Trail","Resource Conservancy","SR 302 at 144th St","Gig Harbor","98329","Key Pen Parks","Key Pen Parks","Daylight hours only","360","0","http://www.keypenparks.com/360-park.htm",,"1","360 Trails","349.16185233",,,,,"Yes",,,,,,,,,,,,,,,,,"Yes",,,,"360",,"no",
"POINT (-122.58859173283 47.333963808888)","257","1848","Eddon Boat Park","Park","Special Use","3805 Harborview Dr","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","1.817","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Eddon Boat Park","1.81690003",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.48904083293 47.201177827892)","202","323","SERA Campus (South End Recreation & Adventure)","Rec Area","Regional","6002 S Adams St","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","39.91","0","http://www.metroparkstacoma.org/sera-campus-south-end-receation",,"1","SERA Campus South End Recreation & Adventure","59.7990332",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.602693442159 47.17084735679)","318","1867","Byrd Mill Park","Park","Local","Union Av and Commericial St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.18","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#byrd_mill",,"1","Byrd Mill Park","0.05838814",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.186626020655 47.184773771155)","253","1842","Madrona Park","Park","Local","7730 182nd Av E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Closes at Dusk","0.37","0","http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml",,"1","Madrona Park","0.36980575",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.554370476065 47.127987406986)","111","200","Harry Todd Park","Park","Local","8928 N Thorne Ln SW","Lakewood","98498","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","17","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Harry Todd Park","17.11935225",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.642903470431 47.107164885016)","331","1862","Edmond Village Park","Park",,"2605 Bronson Av","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","2.45","0",,,"1","Edmond Village Park","2.44583971",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.628048834721 47.095343846814)","55","114","Robinson Park","Park","Local","205 Barksdale Ave","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.338","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Robinson Park","0.33816288",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.55079970484 47.236274513356)","196","315","Senior Center (University Place)","Community Center","Special Use","2534 Grandview Drive West","University Place","98466","City of University Place","City of University Place","Monday through Friday 8 AM to 5 PM","0.5","0","http://cityofup.com/Page97.aspx",,"1","Senior Center- University Place","0.11101253",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.297697048788 47.201848875354)","179","292","Puyallup Skate Park","Skate Park","Local","1299 4th Street NW","Puyallup","98371","City of Puyallup","City of Puyallup","8 am - 9 pm Sunday - Thursday8 am - 11pm Friday & Saturday","0.5","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-skatepark/",,"1","Puyallup Skate Park","3.00475822",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.517050684419 47.175248562929)","126","218","Kiwanis Park","Park","Local","6002 Fairlawn Drive SW","Lakewood","98499","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","0","2.99","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Kiwanis Park","2.96837212",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.196146365164 47.092285994211)","308","2776","Charter Park","Park","Linear Park","401 Washington Ave SE","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","7.58","0","http://www.cityoforting.org/Parks___Recreation.php",,"1","Charter Park","7.54958918",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.270144773345 46.917615369015)","166","274","Northwest Trek Wildlife Park","Park","Regional","11610 Trek Dr. E","Eatonville","98328","City of Tacoma","Metro Parks Tacoma","Check website for hours","615","98","http://www.nwtrek.org/",,"1","Northwest Trek Wildlife Park","705.44495788","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","Since 1975, Northwest Trek Wildlife Park has been the best place to see native Northwest wildlife.","Yes","No"
"POINT (-122.488319598134 47.276230043453)","316","287","Puget Park","Park","Local","3100 N Proctor ST","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.88","0","http://www.metroparkstacoma.org/puget-park",,"1","Puget Park","1.08884346",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
