"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","510606.38","STREET CONSTRUCTION",
"2020","CATFISH PUMP REPLACEMENT","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","NONE","CATFISH PUMP REPLACEMENT","CAPITAL-ENTERPRISE","MISCELLANEOUS EQUIPMENT","147491.57","SANITARY SEWER CONSTRUCTI",
"2020","HIGH PRESSURE SEWER JET","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","SANITARY SEWER","HIGH PRESSURE SEWER JET","CAPITAL-ENTERPRISE","HEAVY EQUIP-REPLACEMENT","274642","SANITARY SEWER CONSTRUCTI",
"2020","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","OTHER","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","200","GENERAL CONSTRUCTION",
"2021","F&S ANNUAL MAINTENANCE","CULTURE AND REC - CAP","RECREATION DIVISION","POOLS","F&S ANNUAL MAINTENANCE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","70000","DRA DISTRIBUTION",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL CONSTRUCTION","821000","BOND ISSUES",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO AIRPORT CONSTRUCTION","372069","DRA DISTRIBUTION",
"2020","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","894.48","STREET CONSTRUCTION",
"2020","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","RIGHT-OF-WAY ACQUISITION","16200","STREET CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","SERVERS","300000","GENERAL",
"2020","$9.4 GREEN ALLEYS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","$9.4 GREEN ALLEYS","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","748.89","SANITARY SEWER CONSTRUCTI",
"2020","CURB/CATCH BASIN REPL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CURB/CATCH BASIN REPL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","1000","STREET CONSTRUCTION",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO SALES TAX CONSTRUCTION","80000","BOND ISSUES",
"2020","METHANE GAS SYSTEM WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","METHANE GAS SYSTEM WRRC","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","0.38","SANITARY SEWER CONSTRUCTI",
"2020","STORMWTR INFILT & INFLOW","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","STORMWTR INFILT & INFLOW","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","12500","STORM WATER CONSTRUCTION",
"2020","HWY 52 PHASE 4 CENTRAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HWY 52 PHASE 4 CENTRAL","CAPITAL-GOV FUNDS","LEGAL NOTICES & ADS","32.22","GENERAL CONSTRUCTION",
"2011","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","139897","STORM WATER CONSTRUCTION",
"2020","COMISKEY PLAYGROUND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PLAYGROUND REPLC","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","75000","DRA DISTRIBUTION",
"2020","SRGE AND GRND IMPR SIGNAL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SRGE AND GRND IMPR SIGNAL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","15000","STREET CONSTRUCTION",
"2020","AIRPORT IMPROVEMENTS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT IMPROVEMENTS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","7830","AIRPORT CONSTRUCTION",
"2020","MSC AIR QUALITY","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","MSC EXHAUST FAN","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","32000","DRA GAMING",
"2021","REPLACE FIXED ROUTE BUSES","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","REPLACE FIXED ROUTE BUSES","CAPITAL-ENTERPRISE","HEAVY EQUIP-REPLACEMENT","1595056","TRANSIT",
"2021","TREE REMOVAL AND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","TREE REMOVAL AND REPLC","CAPITAL-GOV FUNDS","CODE SUPPLEMENTS","250000","DRA DISTRIBUTION",
"2021","WORKFORCE DEVELOPMENT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","WORKFORCE DEVELOPMENT","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","310000","GENERAL CONSTRUCTION",
"2020","ARENA DOORS ON MAIN","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","EXIT DOORS-NORTHSIDE AREN","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","10775","DRA DISTRIBUTION",
"2020","SW ART/HWY 20 UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","SW ART/HWY 20 UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","337403","STORM WATER CONSTRUCTION",
"2019","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","30000","ROAD USE TAX",
"2020","KERPER SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","KERPER SANITARY","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","1420474.58","SANITARY SEWER CONSTRUCTI",
"2020","ALL-AMERICA CITY AWARD","GEN GOVERNMENT - CAP","CITY MANAGER'S OFFICE","NONE","ALL-AMERICA CITY AWARD","CAPITAL-GOV FUNDS","TRAVEL-CONFERENCES","5702.11","DRA DISTRIBUTION",
"2020","GRAND RIVER CTR CHAIRS","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRAND RIVER CTR CHAIRS","CAPITAL-GOV FUNDS","SIDE CHAIRS","11566.5","SALES TAX CONSTRUCTION",
"2020","GOLF COURSE IRRIGATION","CULTURE AND REC - CAP","RECREATION DIVISION","GOLF","GOLF COURSE IRRIGATION","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","180000","DRA DISTRIBUTION",
"2020","WEST LOCUST COMM/CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","WEST LOCUST COMM/CAMERAS","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","5661.66","STREET CONSTRUCTION",
"2020","I&I REDUCTION PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","I&I REDUCTION PROGRAM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","7500","SANITARY SEWER CONSTRUCTI",
"2020","INTERSECTION PREEMPTION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INTERSECTION PREEMPTION","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","2500","STREET CONSTRUCTION",
"2019","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","5000","STORM WATER CONSTRUCTION",
"2020","CEDAR/TERM ASSESSMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CEDAR/TERM ASSESSMENTS","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","235267.82","SANITARY SEWER CONSTRUCTI",
"2020","INET FIBER BUILD OUT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INET FIBER BUILD OUT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","80000","ROAD USE TAX",
"2020","HILLCREST ROSEMONT DET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HILLCREST ROSEMONT DET","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","631.25","STORM WATER CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","3877029.05","HUD DISASTER RELIEF",
"2020","FLORA PLAYGROUND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","FLORA PLAYGROUND REPLC","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","60540","SALES TAX CONSTRUCTION",
"2020","SEWER LATERAL ASSISTANCE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER LATERAL ASSISTANCE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","-1448","SANITARY SEWER CONSTRUCTI",
"2020","FIVE FLAGS METAL DETECTOR","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","FIVE FLAGS METAL DETECTOR","CAPITAL-GOV FUNDS","SECURITY EQUIPMENT","46480","GENERAL",
"2020","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","OTHER","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","165446","GENERAL CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO TRANSIT","260662","SALES TAX CONSTRUCTION",
"2020","ALL PRKS - RPL SCRTY LTS","CULTURE AND REC - CAP","PARK DIVISION","NONE","ALL PRKS - RPL SCRTY LTS","CAPITAL-GOV FUNDS","LIGHTING EQUIPMENT","10000","DRA DISTRIBUTION",
"2020","AIRPORT CAPITAL IMPR.","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT CAPITAL IMPR.","AIRPORT","TO DEBT SERVICE","199134","PASSENGER FACILITY",
"2020","TRAFFIC SIGNAL MASTARM RE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL MASTARM RE","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","66080","STREET CONSTRUCTION",
"2020","RURAL WATER ENGLISH PUMP","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","RURAL WATER ENGLISH PUMP","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","0.01","WATER CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","123976.9","DRA GAMING",
"2020","AIRPORT ASPHALT REPAIR","PUBLIC WORKS-CAPITAL","AIRPORT","OPERATING","AIRPORT ASPHALT REPAIR","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","19890","AIRPORT CONSTRUCTION",
"2020","DTWN URBN RNL DRST ADA","PUBLIC SAFETY-CAPITAL","BUILDING SAFETY","NONE","DTWN URBN RNL DRST ADA","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","15000","GENERAL CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","COURT COSTS & RECORD FEES","292","HUD DISASTER RELIEF",
"2020","ITS TRAFFIC CONTROL EQUIP","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ITS TRAFFIC CONTROL EQUIP","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","12642","STREET CONSTRUCTION",
"2020","UNIVERSITY AV CULVERT EXT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","UNIVERSITY AV CULVERT EXT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","25000","STORM WATER CONSTRUCTION",
"2020","MARQUETTE SAN SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","MARQUETTE SAN SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","13639.68","SANITARY SEWER CONSTRUCTI",
"2020","MURPHY PLAY EQUIPMENT","CULTURE AND REC - CAP","PARK DIVISION","NONE","MURPHY PLAY EQUIPMENT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","10000","DRA DISTRIBUTION",
"2020","DUMP TRK REPLC","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","DUMP TRK REPLC","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","137539","STREET CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","507400","STORM WATER CONSTRUCTION",
"2020","GRC LANDSCAPE IMPROVEMENT","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC LANDSCAPE IMPROVEMENT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","11405","SALES TAX CONSTRUCTION",
"2020","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","PRINTING & BINDING","108","SALES TAX INCREMENT",
"2020","SCADA SYSTEM UPGRADE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SCADA SYSTEM UPGRADE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","250000","WATER CONSTRUCTION",
"2020","GRC REPLACE PATIO CAULK","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","MAINTENANCE","GRC REPLACE PATIO CAULK","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","-10359","SALES TAX CONSTRUCTION",
"2020","PORT OF DBQ RAMP MAINT","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","PORT OF DBQ RAMP MAINT","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","70200","PARKING FACILITY CONSTRUC",
"2020","LED STREETLIGHT RETROFIT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","LED STREETLIGHT RETROFIT","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","15000","GENERAL CONSTRUCTION",
"2020","LDR TRK, PMPR, ABLCE REPL","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","LDR TRK, PMPR, ABLCE REPL","CAPITAL-GOV FUNDS","HEAVY EQUIP-REPLACEMENT","289400","SALES TAX CONSTRUCTION",
"2020","JACKSON PARK RESTROOMS","CULTURE AND REC - CAP","PARK DIVISION","NONE","JACKSON PARK RESTROOMS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","10000","GENERAL CONSTRUCTION",
"2015","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","4104.84","STORM WATER CONSTRUCTION",
"2020","REPLACE FIXED ROUTE BUSES","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","REPLACE FIXED ROUTE BUSES","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","512092","TRANSIT",
"2020","JACKSON ST. RECONSTRUCTIO","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","JACKSON ST. RECONSTRUCTIO","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","17686","ROAD USE TAX",
"2020","COMISKEY PLAYGROUND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PLAYGROUND REPLC","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","504156","DRA DISTRIBUTION",
"2020","RIVERFRONT LEASEHOLD IMPR","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","RIVERFRONT LEASEHOLD IMPR","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","2031.5","SALES TAX CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","8803.09","WATER CONSTRUCTION",
"2020","RIVERFRONT LEASEHOLD IMPR","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","RIVERFRONT LEASEHOLD IMPR","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","109042.5","GENERAL CONSTRUCTION",
"2020","TRACK LN SAN SEWER CLEAN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TRACK LN SAN SEWER CLEAN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","SANITARY SEWER CONSTRUCTI",
"2020","AIRPORT GIS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT GIS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","559930","AIRPORT CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PRINTER","250","SANITARY SEWER CONSTRUCTI",
"2020","TRAFFIC OPS CTR VIDEO SOF","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFIC OPS CTR VIDEO SOFT","CAPITAL-GOV FUNDS","SERVERS","34770","ROAD USE TAX",
"2020","KERPER PUMP MOTOR/CONTROL","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","KERPER PUMP MOTOR/CONTROL","CAPITAL-ENTERPRISE","PAGER/RADIO EQUIPMENT","-35000","SANITARY SEWER CONSTRUCTI",
"2020","NEIGHBORHOOD REL IMPROVEM","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","NEIGHBORHOOD REL IMPROVEM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","10000","COMMUNITY DEVELOPMENT",
"2020","KERPER SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","KERPER SANITARY","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","574.98","SANITARY SEWER CONSTRUCTI",
"2020","US-52 STORM IMPROVEMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","US 52/CENTRAL TRAFFIC IMP","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","22913.37","STORM WATER CONSTRUCTION",
"2020","NUTRIENT RED/BASIN MOD 1","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","NUTRIENT RED/BASIN MOD 1","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","110000","SANITARY SEWER CONSTRUCTI",
"2020","COMISKEY PK AMENITY REPL","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PK AMENITY REPL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","15000","DRA DISTRIBUTION",
"2020","PURCHASE/RESALE/REHAB","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","PURCHASE/RESALE/REHAB","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","60000","COMMUNITY DEVELOPMENT",
"2021","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","11000","STORM WATER CONSTRUCTION",
"2020","NETWORK SWITCH RPLC","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NETWORK SWITCH RPLC","CAPITAL-GOV FUNDS","HARDWARE","44000","SALES TAX CONSTRUCTION",
"2020","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","PRINTER","1640","DRA DISTRIBUTION",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","MISCELLANEOUS SERVICES","17000","BOND ISSUES",
"2020","GRANDVIEW AVE.LIGHT POLES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRANDVIEW AVE.LIGHT POLES","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","50000","STREET CONSTRUCTION",
"2021","3RD ST OVERPASS-PAINT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","3RD ST OVERPASS-PAINT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","120000","STREET CONSTRUCTION",
"2020","FBO RESTROOM UPDATE","PUBLIC WORKS-CAPITAL","AIRPORT","OPERATING","FBO RESTROOM UPDATE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","496.78","AIRPORT CONSTRUCTION",
"2020","WEST RURAL WATER PURCHASE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WEST RURAL WATER PURCHASE","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","473.51","WATER CONSTRUCTION",
"2013","FLOOD CONTROL LEVEE CERT","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STREETS","FLOOD CONTROL LEVEE CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","4104.84","STORM WATER CONSTRUCTION",
"2020","SW ART/HWY 20 UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SW ART/HWY 20 UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","225019","SANITARY SEWER CONSTRUCTI",
"2020","USHA PARK DEVELOPMENT","CULTURE AND REC - CAP","PARK DIVISION","NONE","USHA PARK DEVELOPMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","41780.6","GENERAL",
"2020","SW ARTERIAL MAIN EXT","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SW ARTERIAL MAIN EXT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","80000","WATER CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","DATA SERVICES","3750.21","HUD DISASTER RELIEF",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","17748","PARKING FACILITY CONSTRUC",
"2020","GENERAL SANITARY SEWER RE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","GENERAL SANITARY SEWER RE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","270000","SANITARY SEWER CONSTRUCTI",
"2020","INTERSECTION PREEMPTION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INTERSECTION PREEMPTION","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","12500","STREET CONSTRUCTION",
"2020","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","146758","STREET CONSTRUCTION",
"2020","SEWER LATERAL ASSISTANCE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER LATERAL ASSISTANCE","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","6448","SANITARY SEWER CONSTRUCTI",
"2020","SAN SEWER LINING PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER LINING PROGRAM","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","65830","SANITARY SEWER CONSTRUCTI",
"2012","MILLWORK DIST SAN SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","MILLWORK DIST SAN SEWER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","17000","SANITARY SEWER CONSTRUCTI",
"2020","TRAFFIC SIGNAL INTERCONNE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL INTERCONNE","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","CATFISH/GRANGER LIFT IMPR","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CATFISH/GRANGER LIFT IMPR","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","187000","SANITARY SEWER CONSTRUCTI",
"2020","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","BOND PAYING AGENT FEE","4000","BOND ISSUES",
"2020","TRAFF SIG FIBER OPTIC NET","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFF SIG FIBER OPTIC NET","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","SIGNAL INTERSEC RECONSTRU","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNAL INTERSEC RECONSTRU","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","615","STREET CONSTRUCTION",
"2020","TAMARAK FRONTAGE WATER MN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","TAMARAK FRONTAGE WATER MN","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","957.11","WATER CONSTRUCTION",
"2020","VACUUM FILTER BACK-UP","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","VACUUM FILTER BACK-UP","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","22338","WATER CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","500","HUD DISASTER RELIEF",
"2021","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DEBT SERVICE","675948","SALES TAX CONSTRUCTION",
"2020","REPLACE POLICE/CAD SOFTWR","PUBLIC SAFETY-CAPITAL","POLICE DEPARTMENT","NONE","REPLACE POLICE/CAD SOFTWR","CAPITAL-GOV FUNDS","SOFTWARE","50000","DRA GAMING",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","2375","PARKING FACILITY CONSTRUC",
"2020","SCADA SYSTEM UPGRADE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SCADA SYSTEM UPGRADE","CAPITAL-ENTERPRISE","SOFTWARE","200000","WATER CONSTRUCTION",
