"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"Turning 150 in Melbourne: Who do we commemorate and why?","14 September 2004 – BMW Edge",,"180","MC Dr Jan Penney, Dr Chris Healy, Kate Fielding, Paul Fox, Dr Richard Gillespie ","History Council of Victoria","Numerous celebrations are in full swing, but does anybody really care? How much is just PR and marketing for a new audience? Why and how do we commemorate institutions, places or events? How does a civil society allow room for alternative voices and our many stories of the past? "
"Smart Cities with Digital Skins: What will this mean for you?","Tuesday 28 October 2014, Deakin Edge Fed Sq",,"210","MC: Antony Funnell – Presenter “Future Tense” ABC Radio National 
Mr William Confalonieri – Chief Digital Officer Deakin University, Melbourne 
Prof. Marimuthu (Palani)  Palaniswami - Director, Intelligent Sensors, Department of Electrical and Electronic Engineering The University of Melbourne 
Mr Martin Janse van Rensburg - Alliance Manager, Industry Solutions Group Ecosystems, Cisco Systems
Ms Vanessa Toholka – Broadcaster with RRR Byte Into IT, Knowledge Management Consultant, Minter Ellison,Melbourne

","MKW/Deakin Uni","The internet of things and “smart” technology is already impacting the way we understand and use cities. Hear how sensors are changing our lives and how we use and manage metadata.  Will ‘smart cities’ deliver greater economic and public good? What about liveability and privacy? Get the knowledge, join in and have your say."
"Is Out the new In: What’s Up with Outsider Art ","Wednesday 22 October 2014, Swanston Hall, Melbourne Town ",,"270","
James Brett - Founder, Museum of Everything, United Kingdom
Professor Lynne Cooke - Andrew W. Mellon Professor at the National Gallery of Art, Washington, USA
Professor Colin Rhodes - Dean, School of Fine Arts, The University of Sydney. 
Founder of the Self-Taught and Outsider Art Collection at the University of Sydney and editor of Elsewhere, the International Journal of Self-Taught and Outsider Art. 
MC - Dr Christopher McAuliffe – Curator, Writer and Art Historian 
","Part of Contemporary Outsider Art - A Global Context/ Arts Projects Aust ","Outsider Art – does it still deserve the name, or is it now an integral part of contemporary art? Hear from a group of world authorities on the subject. Join us for a stimulating discussion as we celebrate the opening of Contemporary Outsider Art – A Global Context, an international conference mounted by Arts Project Australia and the University of Melbourne. 

"
"Does Poverty Exist in our Community? ","Monday 13 October 2014, Deakin Edge, Fed Sq",,"40","Ms Lucy Adams, Manager and Principal Lawyer | Homeless Law, Justice Connect
Mr Chris Berg, Policy Director, Institute of Public Affairs
Mr John Daley, CEO Grattan Institute
Ms Emma King, CEO VCOSS 
MC and Host  Michael Short, Editor The Zone, The Age
","Part of Anti Poverty Week 2014","Australia, regarded globally as a quality of life super-power for so long, seems to be having more strident national conversations around income inequality and precariousness of life, including issues around human rights. We ask this obvious question of a range of public commentators as a timely provocation to launch Anti-Poverty Week in Victoria. Hear their views and join the Q&A. "
"Urban Heritage/New Architecture:  Where to now?","Monday 29 September 2014, Capitol Theatre ",,"550","Rob Moore –City Design, City Of Melbourne
Mr David Rolls – Group Executive, Commercial Development, Mirvac 
Dr Kate Shaw – ARC Future Fellow, The University of Melbourne 
MC: Professor Kate Darian-Smith – Professor of Cultural Heritage, Faculty of Architecture, Building and Planning, The University of Melbourne
","Presented in conjunction with  Urban Built Heritage International Conference  - UoM","Local commentators talk of the ambition of a sustainable “20 minute city” and argue that well planned growth and densification of inner Melbourne will improve prosperity and liveability. Because many value both urban heritage and exciting new architecture is there a conflict? Have the planners got it right? Hear from our panel of experience commentators, join in and have your say. "
"Science Makes Melbourne Cool","Wednesday 20 August 2014, Clarendon Auditorium, MCEC ",,"450","
Dr Krystal Evans – CEO BioMelbourne, Melbourne
Assoc. Prof. Christopher Fluke – Centre for Astrophysics & Supercomputing, Swinburne University of Technology
Dr Cathy Foley – Deputy Director Manufacturing Flagship, CSIRO and Club Melbourne Ambassador
Ms Bridie Smith – Science Editor, The Age, Melbourne
Emeritus Prof. Alan Trounson AO – Monash University, Founder of the Australian Stem Cell Centre and Club Melbourne Ambassador
Host: Niall Byrne – Creative Director, Science in Public and Club Melbourne Ambassador
"," a partnership with Club Melbourne Ambassador Program and National Science Week. Supported by Melbourne Convention and Exhibition Centre, Future Leaders and Knowledge Melbourne, a City of Melbourne initiative ","Melbourne, long recognised as the arts and culture capital of Australia, also has significant scientific and technological credentials that are earning the city a similar reputation. Celebrate National Science Week and the potential of science and technology with a ""sample"" our very best and brightest brains as they inject stimulating factual stories into the conversation. 
Expect discussion on how scientists are solving problems, the science behind discoveries plus breaking news on the latest achievements and innovations. 

"
"World Rangers Day: A celebration of passion, courage and care","Monday 28 July 2014, Deakin Edge, Fed Sq",,"185","Sean Willmore - Park Ranger and Founder of Thin Green Line Dr Bill Jackson - Chief Executive Officer, Parks Victoria Danielle Thomas - Park Rangers Coordinator, City of Melbourne MC Brian Nankervis - Writer, performer and producer World famous primatologist Dame Jane Goodall DBE and His Royal Highness Prince William have recorded messages of support for Thin Green Line","collabration with the Thin Green Line Foundation/Parks Vic ","While local park rangers don’t risk being murdered each day unlike their counterparts in other countries, Melbourne based organisation the “Thin Green Line Foundation” quietly leads the world in the challenge to protect nature’s protectors.  Hear the astonishing story of local ranger and Foundation founder Sean Willmore, turned passionate international activist and supporter of the world’s green guardians of the wild and ask yourself the question ‘how far would you go to follow your passion- is it worth risking your life?"" Join Sean and our panel as they celebrate the often unsung and diverse work of rangers from Melbourne to Mozambique. "
"Arts strategy – artists, arts orgs – invite only ","Wednesday 13 November 2013 Arts House North Melb Town Hall ",,"110","No document exists",,"This was a planning workshop with artists @ NM Town Hall  to assist in research for development of CoM Arts Strategy published in June 2014"
"Global Financial Crisis","21 April 2009 BMW Edge Fed Square",,"500","Ms Sharan Burrow ­- Dr Richard Denniss – Professor Sue Richardson –Professor Ian McDonald -Mr Marcus Padle","Future leaders","The speakers will discuss various aspects of the global financial crisis including the free market, greed, consumption, employment, the stock market and Australia’s future prosperity"
"An evening with JM Coetzee","4 August 2004 - Melbourne Town Hall ",,"1200","J. M. Coetzee ","Australian Book Review, Readings,La Trobe University","In a rare public appearance, this world-renowned South African born author, critic and translator, who migrated to Australia in 2002, will read from his work. The violent history of his native country, especially apartheid, has given Coetzee much raw material for his work, yet none of his books has ever been censored"
"AIDS2014: Stories on the road to a cure","Thursday 24 July 2014, Melb Town Hall ",,"250","Nobel Laureate for Medicine Françoise Barré-Sinoussi - AIDS 2014 International Chair and International AIDS Society (IAS) President, Paris
Professor Salim S Abdool Karim - Chair of the UNAIDS Scientific Expert Panel and Director of the Centre for the AIDS Programme of Research in Durban, South Africa
Professor Sharon Lewin - AIDS 2014 Co-Chair, Professor of Medicine at Monash University and Director of the infectious diseases unit at the Alfred Hospital, Melbourne
Mr Matt Sharp - Director of Education and Advocacy at Test Positive Aware Network (TPAN), Chicago

MC Dr Leslie Cannold – Ethicist, writer, columnist and academic – Melbourne 
","AIDS2014/Tourism Branch","First we’d never heard of it. Then it was the grim reaper that ended the era of free love. Now researchers have begun speaking of a cure. Join local and international activists and scientists as they tell stories that put a face to the grief, hope, triumphs and quandaries that is the story of AIDS. And share your stories, too!"
