"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Utilities","4 - Foster Continual Economic Growth and Vitality","Belleair Pump Station Easement Verification and Acquisition","2022-07-01T12:00:00.000","Department","On Hold","2019-12-24T12:00:00.000","0","Reconmend using consulant to identify all assets (horizontal and veriticle) and the ownership interest for the real property.  Phase I GIS analysis; Phase II Easement research Phase III acquisition of easements where necessary.JMO- Will need further details on this project from Joe G.","Ostrowski, Jenelle","Kelsey, Joel","Graham, Joseph R",,"*THIS NEEDS TO BE TRANSFERED TO JENELLE & POSSIBLE REMOVAL FROM WORK PLAN* Verification of existing pump station easements from the past acquisition of Town of Belleair's collection system.  Phase 2 - Acquiring easements where none exist.",,"424",,"424_Utilities_2/4/2020 2:42 PM",
"Safety and Emergency Services","2 - Ensure Public Health, Safety, and Welfare","Develop a Growth Management Plan","2021-01-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","25",,"Fogarty, Jim","Hare, Craig A",,,,,"393",,"393_Safety and Emergency Services_3/5/2020 3:04 PM","2019-06-18T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Develop New County Website","2021-06-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","15",,"Derr, Brian",,,"Derr, Brian","The website project is a conversion of thousands of pages of content into a content management system. It willCreate a mobile-friendly site.Create consistent user experience across the site.Enable website visitors to find the information they need without having to understand the County's structure.Provide access to information that resides on other county websites such as the Property Appraiser, Clerk, and Sheriff's sites through a multisite search.Distribute content creation while centralizing content review and site structure decisions.Make the site 100% complaint with the Americans with Disabilities Act (ADA).Update the design to make it better reflect Pinellas County as a progressive, forward-thinking local government.In addition, the county settled a lawsuit regarding PDF files on its website that were not ADA complaint. The settlement required new materials posted to the site to be compliant but does not require the county to make old materials complaint. These non-accessible materials, however, put the county at risk of lawsuits from other parties.",,"395",,"395_Marketing and Communications_1/3/2020 10:56 AM",
"Safety and Emergency Services","1 - Create a Quality Workforce in a Positive, Supportive Organization","SES Succession Management Planning","2021-12-31T12:00:00.000","Department","In Progress",,,,"Fogarty, Jim","Weinreich, Jacqueline L",,,,,"395",,"395_Safety and Emergency Services_3/5/2020 3:08 PM","2019-10-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","Annual Sanitary Sewer Contract for CIPP - Bardmoor & Kenneth City","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"​BCC Meeting 12/10/2019. ​09/30/19 In Design Phase.","Ransom, Shannon L",,,,"​*IS THIS A CIP PROJECT BEING TRACKED ELSEWHERE?* IF SO DOES NOT NEED TO BE DUPLICATED HEREThis will repair and extend the life of our existing wastewater gravity sewer lines by a minimum of 30 years and reduce inflow & infiltration.",,"425","This is a discretionary project to improve processes.","425_Utilities_1/21/2020 10:14 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","BCC Award of Bid - Annual Sanitary Sewer Contract for CIPP - Tarpon Springs, Palm Harbor","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"​BCC Meeting 12/10/2019. 9/30/19 In Design Phase.","Ransom, Shannon L",,,,"​​*IS THIS A CIP PROJECT BEING TRACKED ELSEWHERE?* IF SO DOES NOT NEED TO BE DUPLICATED HERE* This will repair and extend the life of our existing wastewater gravity sewer lines by a minimum of 30 years and reduce inflow & infiltration.",,"426","This is a discretionary project to improve processes.","426_Utilities_1/21/2020 2:39 PM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","BCC Award of Bid for Highland Lakes FM ARV Replacement","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"BCC Meeting ​12/10/2019. ​ Received projects docs on 7/12/2019 anticipate advertisement early October 2019.","Simpson, Dennis M",,,,"​​​*IS THIS A CIP PROJECT BEING TRACKED ELSEWHERE?* IF SO DOES NOT NEED TO BE DUPLICATED HERE*",,"427","This is a discretionary project to improve processes.","427_Utilities_1/21/2020 2:39 PM",
"Public Works","2 - Ensure Public Health, Safety, and Welfare","Assist in developing the County Resiliency and Sustainability State of the County Report","2020-02-29T12:00:00.000","Department","In Progress","2020-02-09T12:00:00.000",,"Provided all requested data. Action Team to meet and discuss next steps on report development.","Dean, Paul",,,,"Assist Hank Hodde in the development of the State of County report.",,"398","This is an administrative directive.","398_Public Works_2/9/2020 1:16 PM","2019-10-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","SCADA System Master Plan Update","2021-03-31T12:00:00.000","Department","Not Started","2020-02-04T12:00:00.000","90","Negotiating scope of services with number one ranked firm. Two firms submitted proposals. Comments have been received from Utilities staff.","Cook, Margaret R","Menke, Tom",,,"The Master Plan will assess the existing SCADA and its support systems, including recent improvements as well as on-going and planned improvements. Short and long term recommendations from this assessment will be used to prioritize, budget and implement CIP projects. These projects will help ensure reliability, resiliency, accessibility, and its ability to adapt to changing technologies.",,"429","This is as a result of an IG audit.","429_Utilities_2/4/2020 3:44 PM","2020-03-31T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","SCADA System Master Plan Update - Consultant selection","2021-03-31T12:00:00.000","Department","Not Started","2020-01-23T12:00:00.000",,"Negotiating scope of services with number one ranked firm.","Glaser, Daniel","Kelsey, Joel",,,"The purpose of the Master Plan is to assess the existing SCADA and its support systems, including recent improvements as well as on-going and planned improvements. Short and long term recommendations from this assessment will be used as a guide for prioritizing, budgeting and implementing capital improvement projects that will insure the SCADA system’s reliability, resiliency, accessibility, and its ability to adapt to changing technologies.","Utilities","429","This is as a result of an IG audit.","429_Utilities_1/23/2020 2:17 PM","2020-03-31T12:00:00.000"
"Animal Services","5 - Deliver First Class Services to the Public and Our Customers","Provide continuing education to Animal Services staff",,"County Administration","Not Started",,,,"Brightwell, Doug",,"Brightwell, Doug","Balinski, Carrie M",,,"394","This is a discretionary project to improve processes.","394_Animal Services_2/19/2020 4:22 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Address issues related to maintenance of alleyways.","2022-12-01T12:00:00.000","BCC","In Progress","2020-02-06T12:00:00.000","5","Team kickoff meeting held. Developed a survey to identify key issues and task force representatives. Survey will be issued this month to help identify stakeholders and preliminary issues. Additionally, discovered that Planning is also working on similar issues primarily driven through the Lealman Alleyways project. Public Works and Planning will be discussing objectives week of 2/10 in order to determine gaps and eliminate duplication of efforts.","Goebel-Canning, Susan",,,,"Develop and implement a defined project management program.",,"406","This is an administrative directive.","406_Public Works_2/7/2020 10:00 AM","2019-02-01T12:00:00.000"
"Animal Services",,"Update Animal Services Ordinance Language",,,"Not Started",,,,,,,,,,"395","This is an administrative directive.","395_Animal Services_2/19/2020 4:26 PM",
"Animal Services",,"Remodel Cat Adoption Room",,,"Not Started",,,,,,,,,,"396","This is a discretionary project to improve processes.","396_Animal Services_2/19/2020 4:26 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Implementation of SBSD (formerly SBE) Program","2020-09-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","35","The software was installed and the data was loaded and verified by target date. Directive Issued April 2019. Over 400 Vendors approved. 6 enrolled ariport concessionaries enrolled so far in BDGNow database for complaince monitoring. 71 project managers/directors have been trained on the software. Initial recruitment letters have been sent for SBE CCNaconsultants and are reviewing responses. Tampa Bay Water was added as  government collaborative in December 2019. First Quarter FY20 is expected to have $3 million.","Johnson, Cynthia C",,,"Johnson, Cynthia C","Enhanced implementation of program to increase value of County contracts awarded to local Small Businesses Enterprises (SBEs).",,"396",,"396_Economic Development_1/10/2020 10:02 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Administrative Documentation","2021-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"In progress.","Heiss, Patsy",,,,"*FLAG for Georges- possibly combine with other item?* This project will provide a standard way to document all our processes and maintain them in a central location.",,"397","This is a discretionary project to improve processes.","397_Utilities_1/21/2020 2:30 PM",
