"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Ulster County Department of Social Services","21 O'Neil Street","Kingston","NY","12401","(845) 334-5155","ULSTER","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/18-1/31/23","C028142","208720.00",,"POINT (-74.004969 41.930709)"
"YWCA of the Mohawk Valley","7 Rutger Park","Utica","NY","13502","(315) 732-2159","ONEIDA","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA50","239340.00","http://www.ywcamv.org","POINT (-75.229051 43.09573)"
"Child Abuse Prevention Center Inc.","35 Van Wagner Road","Poughkeepsie","NY","12603","(845) 454-0595","DUTCHESS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028049","239528.00","http://www.preventchildabusedutchess.org","POINT (-73.899067 41.698673)"
"Community Action of Greene County, Inc.","7856 Rt 9W","Catskill","NY","12414","(518) 943-9205","COLUMBIA, GREENE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029161","30290.00","http://www.cagcny.org","POINT (-73.869927 42.229407)"
"Safe Harbors of the Finger Lakes, Inc.","PO Box 624","Penn Yan","NY","14527","(315) 536-9654","YATES","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA37","234010.00","http://safeharborsfl.org",
"Institute for Family Health","279 Main Street Suite 201","New Paltz","NY","12561","845-499-8906","DUTCHESS","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","10/1/18-9/30/23","C028301","295058.00","https://www.healthyfamiliesnewyork.org/","POINT (-74.068689 41.742315)"
"Cortland County","60 Central Avenue","Cortland","NY","13045","(607) 753-5087","CORTLAND","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/18-1/31/23","C028143","127320.00",,"POINT (-76.176732 42.600242)"
"Saratoga Center for the Family, Inc.","359 Ballston Avenue","Saratoga Springs","NY","12866","(518) 587-8008","SARATOGA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028062","156497.00","http://www.saratogacff.org","POINT (-73.799816 43.062886)"
"Salvation Army - Empire State Division (Syracuse)","677 South Salina Street","Syracuse","NY","13202","(315) 479-3636","ONONDAGA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029179","30290.00","http://www.use.salvationarmy.org/use/www_use_SyracuseNY.nsf","POINT (-76.150679 43.040632)"
"Mental Health Association of Fulton and Montgomery Counties (Hamilton Co.) Expansion","307-309 Meadow Street","Johnstown","NY","12095","(518) 736-2443","FULTON, MONTGOMERY AND HAMILTON","Multidisciplinary/Children's Advocacy Center","CJA","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028070","91607.00","http://www.mentalhealthassociation.org/","POINT (-74.377811 43.00205)"
"Lewis County Opportunities, Inc.","8265 State Route 812","Lowville","NY","13367","(315) 376-8202","LEWIS","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028825","59000.00","http://www.lewiscountyopportunities.com","POINT (-75.438379 43.836709)"
"Lifespan of Greater Rochester, Inc.","1900 South Clinton Avenue","Rochester","NY","14618","(585) 244-8400","MONROE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV45","66000.00","http://www.lifespan-roch.org","POINT (-77.594889 43.121047)"
"New Alternatives for Children, Inc.","37 W 26th Street Ste 6","New York","NY","10010","(212) 994-7938","MANHATTAN, QUEENS, BROOKLYN, BRONX, STATEN ISLAND","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/15-8/31/20","C027677","102980.00","https://www.nackidscan.org/","POINT (-73.990522 40.744429)"
"Catholic Guardian Services","1011 First Ave., 10th Floor","Bronx","NY","10022","(718) 828-0300 x. 220","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three month of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","9/1/17-8/31/22","C028017","554053.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.963651 40.757304)"
