"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"671","HOTEL CAMPESTRE LA FONTANA","KMT. 63 CHINAUTA","SECTOR SERVICIOS","2012","301","SERVICIOS"
"672","LOCAL CENTRO COMERCIALUNO A","CALLE 8 No. 9 50 L. 25","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"673","VASCO PEREZ NOYRA","K.M. 73 CHINAUTA","SECTOR SERVICIOS","2020","5590","Otros tipos de alojamiento n.c.p."
"674","BOBADILLA MARIA IRMA","VEREDA EL JORDAN","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"675","NINGUNO REPORTADO","TV 12 22 42 LC 40","SECTOR COMERCIAL","2012","206","COMERCIAL"
"676","FUSAGUA","CALLE 5 No. 1-15","SECTOR SERVICIOS","2017","3600","Captación, tratamiento y distribución de agua."
"677","TRANSPORTE","CL 20 40 45","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"678","VARIEDADES MATEO NIÑO","CL 27 1 09","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"679","ENVIOS INTERRAPIDISIMO","CR 6 7 15","SECTOR FINANCIERO","2015","64","Actividades de servicios financieros, excepto las de seguros y de pensiones"
"680","JOSE ISAIAS ROMERO ANGEL/REPARACION INMOBILIARIA","CRA 2 NO. 22-14","SECTOR SERVICIOS","2017","9529","Mantenimiento y reparación de otros efectos personales y enseres domésticos"
"681","VARIEDADES OFER","CL 8 9 22 LC 122  CENTRO COMERCIAL SAN ANDRECITO","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"682","SILVA CASTIBLANCO JOSE SALATIEL","TV 12 23B 30 CJ CERRADO LA FONTANA","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"683","FARFAN MONTENEGRO JOSE FRANCISCO","CHINAUTA K.M. 67","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"684","CAMACHO HERNANDEZ LUIS ROBERTO","KM 52 SILVANIA","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"685","REMATES LA SEXTA","CARRERA 6 N0. 4-69","SECTOR COMERCIAL","2012","201","COMERCIAL"
"686","RODRIGUEZ LUIS MARIANO","DG. 23 62 131 B. LA VENTA","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"687","CENTRO DE APOYO OFICIAL MULTICRECER OMNILIFE","CR 11 B 21 11","SECTOR SERVICIOS","2012","301","SERVICIOS"
"688","VTA AMBULANTE HOSPITAL SAN RAFAEL","FRENTE HOSPITAL","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"689","RIVERA GONZALEZ MARIA NANCY","CL 12 5 56","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"690","RODRIGUEZ GARZON FLOR ANGELA","CL 16 A 12 03","SECTOR COMERCIAL","2019","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"691","MARIA DE JESUS GUEVARA DE PELAEZ","CL 7 7 46 LC 12","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"692","MARTINEZ DE NIETO MARIA ARGENIS","PLAZA DE MERCADO LC 9","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"693","TIENDA  EL ALTICO DE PEKIN","CL 5 5 E 32  PEKIN","SECTOR COMERCIAL","2017","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"694","ARIAS DE ALARCON MARIA DEISI","CL 9 8 25","SECTOR SERVICIOS","2020","6910","Actividades jurídicas."
"695","LOPEZ DE PULIDO RUBY","CR 12 125 A 41 APTO  211  INT. 1","SECTOR SERVICIOS","2016","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"696","DEPOSITOS CUBILLOS Y JIMENEZ","CL 7 12 25","SECTOR COMERCIAL","2020","4665","Comercio al por mayor de desperdicios, desechos y chatarra."
"697","MADERAS Y MACHIMBRES EL PINO","CALLE 8 No. 11-27","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"698","GARAVITO DE RUIZ CONCEPCION","CL 22 37 25","SECTOR INDUSTRIAL","2019","1610","Aserrado, acepillado e impregnación de la madera."
"699","SON SABOR  RESTAURANTE","CL 10 7 74","SECTOR SERVICIOS","2019","5611","Expendio a la mesa de comidas preparadas."
"700","CASELEY AMAYA JOSEPH ELLIS","KILOMETRO 66 5 CHINAUTA","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"701","OCAMPO MORA NUBIA YAZMIN","CR 12 22 B 14  B. MANILA","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"702","FUENTE DE SODA Y FRUTERIA NATURAL PEOPLE","CR 8 6 40 LC 103","SECTOR SERVICIOS","2013","55","HOTELES, RESTAURANTES, BARES Y SIMILARES"
"703","ORGULLO AREPAISA","CR 6 16 89","SECTOR SERVICIOS","2013","55","HOTELES, RESTAURANTES, BARES Y SIMILARES"
"704","ESTADERO BAHIAO","CL 5 6 14","SECTOR SERVICIOS","2012","305","SERVICIOS"
"705","COMERCIALIZADORA NUTRI VIDA","TV 12 CL 22C.C.MANILA   LC  1","SECTOR COMERCIAL","2017","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"706","NINGUNO REPORTADO","CR 6 18 A 52","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"707","TRANSPORTADOR","CR 39 BIS 23 28 BRR COOVIPROF","SECTOR SERVICIOS","2012","301","SERVICIOS"
"708","SERVICES PLUS","CR 6 8 49 OFICINA 105","SECTOR SERVICIOS","2012","306","SERVICIOS"
"709","vivero a.j.","vereda la palmas finca limonar","SECTOR INDUSTRIAL","2016","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"710","LLAMA ROJA","TV 12 23 A 08","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"711","DOMINGUEZ VALENCIA LUZ DARY","CL 19 2 E 08","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"712","SANTO SORBO BAR","CL 22 36 70","SECTOR SERVICIOS","2015","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"713","NATIVIDAD DE JESUS CHIQUILLO","VEREDA USATAMA BAJA","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"714","Q.S.H.P.","CR 8 4 64","SECTOR COMERCIAL","2016","4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados."
"715","PANADERIA LA 25","CL 25 2 D 33","SECTOR INDUSTRIAL","2015","10","Elaboración de productos alimenticios"
"716","VARGAS ROSANA","PLAZA DE MERCADO PT No. 6","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"717","MODA EXTREMA SPORT´S","CL 7 7 08","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"718","CAMPOS MARTINEZ DIANA CONSTANZA","C.C. SUTAGAO LC 105","SECTOR SERVICIOS","2017","8230","Organización de convenciones y eventos comerciales."
"719","MORALES SOGAMOSO SOFIA","FINCA SAN JORGE  VEREDA  JORDAN ALTO","SECTOR SERVICIOS","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"720","PLASTICOS Y DESECHABLES PPC","PLAZA DEMERCADO    LC  181","SECTOR COMERCIAL","2016","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"721","VILLALOBOS MUÑOZ MARTIN","CL 10 A 9 42","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"722","TRANSPORTE","CL 16 B 7 66","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"723","MORENO CUPERTINO","CALLE 1A No. 6-03","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"724","SEGURA PEREZ SAMUEL","CALLE 20 No. 3-32","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"725","TALLER DE ORNAMENTACION metalicas elbert","CARRERA 1 # 25 22 LAS DELICIAS","SECTOR INDUSTRIAL","2017","2511","Fabricación de productos metálicos para uso estructural."
"726","HAMBURGUESAS INGRID COMIDAS RAPIDAS","CL 19 0 13 ESTE","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"727","ROMERO ROJAS ERLY","CR 10 6 14 PISO 1","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"728","MARTHA Y ANGELA PELUQUERIA","CR 8 6 40 /46","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"729","FUSAPINTURAS","CARRERA 5 No. 4-44","SECTOR COMERCIAL","2012","201","COMERCIAL"
"730","SALA DE BELLEZA VALE","CL 25 3-41","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"731","ALISS DISTRIBUCIONES","CL 25 66 A 60","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"732","ERTLUZ PELUQUERIA","CL 10 8 37","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"733","MARTINEZ BLANCA NELLY","PARUQE PRINCIPAL","SECTOR COMERCIAL","2017","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"734","BELTRAN SOTO BEATRIZ","CL 8 PLAZOLETA  EMILIO SIERRA  LC  14","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"735","ZONA 55","CR 8  6 35 LC 133","SECTOR COMERCIAL","2018","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"736","TIENDA NATURISTA CONFREY","CR 7 9 14","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"737","HORTUA CAMARGO OLGA MARINA","CL 5 23 44","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"738","CACHARRERIA Y PAPELERIA INDEPENDENCIA","CARRERA 3 No. 8 21 NORTE","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"739","MI LABERINTO","CR 10 4 44","SECTOR COMERCIAL","2015","4724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados"
"740","TIENDA EL CACIQUE UNO","CL 7 A 12 40","SECTOR SERVICIOS","2017","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"741","CHIQUIZA BALLESTEROS LUZ MARGARITA","CR 10 4 30 /36","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"742","TIENDA BLANCA LEIDY","KM 50 VIA SILVANIA","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"743","TIENDA JAIME","CALLE 24B No. 3ESTE-14","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"744","BUITRAGO SALCEDO LUZ MIREYA","CHINAUTA KM 67 VIA MELGAR","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"745","NO REPORTO","CL 9 7 21","SECTOR SERVICIOS","2020","6910","Actividades jurídicas."
"746","CENTRO BOTANICO ASTRAL DE LA SALUD","CALLE 8A NO. 1-08","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"747","COLEGIO MILITAR PANTANO DE VARGAS","DG6 3 E 10B FINCA LOS PINOS","SECTOR SERVICIOS","2020","8522","Educación media académica."
"748","ROMERO DE CORTES GLORIA IRMA","CR 16 3 N 07 BRR SANTA LIBRADA","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"749","SANCHEZ MARTINEZ PABLO HERNANDO","CL  22  64  22","SECTOR COMERCIAL","2020","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"750","LAVADERO  LA ONCE","CL 11 7-28","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"751","CASTILLO LEON LUIS FELIPE","CR  4  3  43","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"752","PAEZ DIAZ LIVANIS DEL CARMEN","CL  11  8  91","SECTOR SERVICIOS","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"753","ZAP MAGU SAS","CR  9  9  21","SECTOR COMERCIAL","2015","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"754","AUTO SPA M Y M","CR  8  10  20","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"755","FUSAHOGAR","CL  22  9  20","SECTOR SERVICIOS","2017","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"756","LAS DELICIAS DE LAIX AVELLANEDA","CRA 5 3-11","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"757","LASANYO COMUNICACIONES.COM .CO","CR 10 6 54","SECTOR SERVICIOS","2013","93","OTRAS ACTIVIDADES DE SERVICIOS"
"758","LASANYO 2 COMUNICACIONES.COM","CR 10 3 05","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"759","PIQUETEADERO LUZ MAR","AV LAS PALMAS PLAZA DE MERCADO LC 5","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"760","CABRA GUZMAN ALIDA","CASA 2 LOTE D VEREDA MOSQUERAL","SECTOR SERVICIOS","2017","8511","Educación de la primera infancia."
"761","VIVERO LA ROSA DE JUAN Y LUCIA","K.M 74 VDA BOSACHOQUE","SECTOR INDUSTRIAL","2016","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"762","RESTAURANTE NANIS","CL 19 1 54 ESTE","SECTOR SERVICIOS","2015","56","Actividades de servicios de comidas y bebidas"
"763","CASTILLO PRIETO MANUEL ALFREDO","KILOMETRO 51 5 VIA SILVANIA","SECTOR INDUSTRIAL","2020","1081","Elaboración de productos de panadería."
"764","FRUTERIA EL PARAISO","TERMINAL DE TRANSPORTES","SECTOR SERVICIOS","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"765","CAMPO DE TEJO SAN JUAN","VEREDA EL PLACER","SECTOR SERVICIOS","2020","9311","Gestión de instalaciones deportivas."
"766","MARTINEZ LUIS ANTONIO","CR 15 16 B 16","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"767","TRANSPORTE","CRT 6 8 49 LC 111","SECTOR SERVICIOS","2015","49","Transporte terrestre pasajeros"
"768","TPTE XYD607-THV623 COOOTRANSFUSA BUSTEAS URBANAS","DG 4 1 09 PASCA  BARRIO FLANDES","SECTOR SERVICIOS","2016","4923","Transporte de carga por carretera."
"769","TIEND A ESCOLAR COLEGIO EBEN EZER","COLEGIO EBEN EZER","SECTOR SERVICIOS","2012","305","SERVICIOS"
"770","FLOREZ AYALA FLORIBERTO","CL. 4 21 ESTE PASCA","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"771","NO REPORTADO","TV 12 22 42 ZONA  COMUN C.C..MANILA","SECTOR SERVICIOS","2012","301","SERVICIOS"
"772","ARTESANIAS BAR TIERRADENTRO","CL 10 6 46","SECTOR COMERCIAL","2012","206","COMERCIAL"
"773","MORENO ESPITIA ADRIANA MERCEDES","CR 24 8 48 MZ D CASA 1 A","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"774","VARGAS GARAVITO ANA DELINA","CL 22 1 E 25  COMUNEROS","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"775","FLORISTERIA BELLA FLOR","CARRERA 7 No. 5-04","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"776","TRANSPORTE","DG 7 7 E 60 SANTA MARIA  D ELOS ANGELES","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"777","CASTRO VIUDA DE PANCHE ESTEFANIA","CARRERA 3 No. 11B 03","SECTOR COMERCIAL","2020","4631","Comercio al por mayor de productos alimenticios."
"778","GALEANO MAYORGA CARMEN ROSA","CARRERA 2 No. 8 12","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"779","GONZALEZ DE CASTILLO ANA SOFIA","VEREDA PALACIOS VIA GUAVIO","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"780","LA RED. COM","CL 17 11 04","SECTOR COMERCIAL","2017","6190","Otras actividades de telecomunicaciones."
"781","PRIETO CHICUASACUA NARCIZA","TV 16 11 48","SECTOR SERVICIOS","2020","9312","Actividades de clubes deportivos."
"782","PAPELES Y DETALLES BALMORAL","CARRERA 7 No. 17 64","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"783","CACHARRERIA HERICK","CALLE 8 No. 7 23","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"784","RESTAURANTE ORQUIDEA FUSA","CL 7 A 9 34","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"785","ABC DIDACTICOS FUSAGASUGA/ ENGLIHS SHOOL LOOKING FORWARD","CL 16A 12-50/TV 12 17-81","SECTOR INDUSTRIAL","2020","8523","Educación media técnica y de formación laboral."
"786","XXXX","CR 1 18 A 10","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"787",,,"SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"788","PRODUCTOS TATIANA","CARRERA 4B NO. 24 17","SECTOR INDUSTRIAL","2020","1081","Elaboración de productos de panadería."
"789","PARQUEADERO EL ZAGUAN","CALLE 6 No. 7-59","SECTOR SERVICIOS","2012","301","SERVICIOS"
"790","FABRICA DE PINTURAS DEL SUMAPAZ","CL 22 10 22 / CL 11 8 80","SECTOR INDUSTRIAL","2017","2022","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
"791","RESTAURANTE LA CASA DE EDGAR","FCA SAN MIGUEL 50 MTS ANTES DEL PEAJE","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"792","ROYO GOMEZ JOSE VICENTE","CR. 9  5 4 3","SECTOR COMERCIAL","2016","4520","Mantenimiento y reparación de vehículos automotores."
"793","RODRIGUEZ GARZON MARCOS DANIEL","CR 9 8 23","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"794","CASTRO COLMENARES NESTOR","CL 4 12 03","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"795","LUBRICENTRO PORRAS","CL 7 2 49","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"796","LEGUIZAMON SEPULVEDA PEDRO AURELIO","CR 10 10 A 67","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"797","LEON GARZON JOSE BAYARDO","CARRERA 3 No. 4 17","SECTOR INDUSTRIAL","2017","1081","Elaboración de productos de panadería."
"798","FERRETERIA OMEGA S","CR 27 4 08","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"799","NUEVA COMPUFUSA","CL 9 7 14","SECTOR SERVICIOS","2017","8219","Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina."
"800","AVISOS J NEON","TRANSV. 4 # 1A 15 NORTE","SECTOR SERVICIOS","2017","7310","Publicidad."
"801","AK MOTOS","CALLE 11 N0. 6-27","SECTOR COMERCIAL","2020","4541","Comercio de motocicletas y de sus partes, piezas y accesorios."
"802","NOVOA LOZANO HECTOR JULIO","CL 22 2 A 11","SECTOR SERVICIOS","2017","4322","Instalaciones de fontanería, calefacción y aire acondicionado."
"803","HERRERA MORENO OMAR ORLANDO","CL 11 5 26","SECTOR COMERCIAL","2020","4541","Comercio de motocicletas y de sus partes, piezas y accesorios."
"804","LOZADA TORRES RODRIGO","CR 11 A 21 53","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"805","AGROZONO AGRO 3","CL 7 4 46","SECTOR COMERCIAL","2015","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"806","LA GOTA FRIA","CR 2 B 25 B 47","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"807","TEJIDOS CARMITA","CR 9 7 40","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"808","MORALES JESUS HERNANDO","CL 21 8 10","SECTOR COMERCIAL","2017","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"809","GIL PABLO ANTONIO","PARQUE PRINCIPAL","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"810","PELUQUE ARTE","CL 7 5 48","SECTOR COMERCIAL","2017","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"811","EL SABOR DE LA SEXTA","CR 6 4 61","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"812","RODRIGUEZ LOPEZ OSCAR MAURICIO","CL 7 A 9 71","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"813","REMONTADORA DE CALZADO CAMIR´S","CR 10 10 14","SECTOR COMERCIAL","2012","206","COMERCIAL"
"814","CEPEDA MENDEZ DAIRO ESNEIDER","AV LAS PALMAS 5 02","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"815","TEJIDOS ANITEX","CL 8 7 48 CENTRO","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"816","TRANSPORTE","CL 21 46 32","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"817","FLOWER COMUNICACIONES.COM","CL 7 7 73","SECTOR SERVICIOS","2015","6120","Actividades de telecomunicaciones inalámbricas."
"818","ESCOBAR FANDIÑO JULY ALEJANDRA","CR 1 6 NORTE 10","SECTOR SERVICIOS","2017","9329","Otras actividades recreativas y de esparcimiento n.c.p."
"819","REMATES ELPARQUE FUSAGASUGA","CL 7 6 19 /23","SECTOR COMERCIAL","2012","201","COMERCIAL"
"820","VIVERO TOLIMA","CHINAUTA K.M. 66","SECTOR INDUSTRIAL","2019","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"821","PELUQUERIA JOSE A CAÑON","CL 4 2 E 56 BRR pekin","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"822","FERRETERIA MI LLANERITA","CL 22 66 A 17","SECTOR COMERCIAL","2012","201","COMERCIAL"
"823","HERRERA DIAZ CARMENZA IVANOVA","CR 8 1 04 NORTE","SECTOR COMERCIAL","2017","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"824","PRIETO RINCON LUZ ANGELA","LA AGUADITA","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"825","CIGARRERIA  Y VIVERES CHALAN","K.M. 67 CHINAUTA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"826","LOS PALMARES DE  VIVI","PLAZA  DE MERCADO LC  18","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"827","MORENO BERMUDEZ ESPERANZA","PLAZA  DE MERCADO  LC  6","SECTOR SERVICIOS","2017","4631","Comercio al por mayor de productos alimenticios."
"828","TIENDA EL ENCANTO","CR 11 1 A 08  NUEVA ESPERANZA","SECTOR COMERCIAL","2012","204","COMERCIAL"
"829","LA BASILICA TIENDA RELIGIOSA","CL 6 5 08","SECTOR COMERCIAL","2015","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"830","DROGUERIA EL TEJAR","CR 2 11 B 03","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"831","PANADERIA FUSAPAN","CALLE 9 NO. 7-71","SECTOR COMERCIAL","2012","201","COMERCIAL"
"832","ORTIZ MANCHOLA GLORIA CRISTINA","CALLE 5 No. 8-02","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"833",,,"SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"834","transporte","CL 6 A NORTE 1 08 B. SAN ANTONIO","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"835","TIENDA Y PIQUETEADERO EL LUCERO","CL 22 67 28","SECTOR COMERCIAL","2016","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"836","AVILA DE SUAREZ PRISCILA","CR 7 18 01","SECTOR COMERCIAL","2020","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"837","QUIROGA QUIROGA LUZ DARY","CL 4  8 18","SECTOR COMERCIAL","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"838","MISCELANEA YIRETH PAPELERIA","CR 7 1 48","SECTOR COMERCIAL","2016","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"839","PAPELERIA MISCELANEA PIÑATERIA COBURGO PRODUCCIONES GLOBEYA","CR 6 15 108","SECTOR COMERCIAL","2016","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"840","FRUTERIA EL MANGO","CARRERA 12 No. 7A 87","SECTOR SERVICIOS","2017","5613","Expendio de comidas preparadas en cafeterías."
"841","RIVAS CANO MARIA CRISTINA","CR 8A 11 18","SECTOR COMERCIAL","2020","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
