"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"BANYAK ASEO","CALLE 19 # 103 B - 14","52105703-0","3107626001   3123608000","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2021-02-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LIQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTES, LIMPIADORES DE SUPERFICIES."
"BARRAGAN HERRERA YAMILE PROPIETARIA DEL ESTABLECIMIENTO PRODUCTOS CONCENTRADOS BERAKA NY","CALLE 12 # 31-09","39671454-0","8268066","NO REGISTRA","FUNZA","CUNDINAMARCA","2018-04-10T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES QUITAMANCHAS Y LIMPIADORES DE SUPERFICE"
"BEISBOL DE COLOMBIA SAS","CL 42 NO 34B-10","891300043-7","2868757","NO REGISTRA","PALMIRA","VALLE DEL CAUCA","2017-03-14T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA DETERGENTES SUAVIZANTES PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES LIMPIADORES DE SUPERFICIES Y PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE SOLIDA JABON EN POLVO PRODUCTOS LAVAVAJILLAS Y LIMPIADORES DE SUPERFICIES Y SEMISOLIDA PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"BELLEZA EXPRESS SA","KR 36 NO 134-201 KM 6 VI CALI-JAMUNDI","800118334-5","5552255","5552265","CALI","VALLE DEL CAUCA","2018-08-24T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS DE DOTACION Y DE RECURSOS HUMANOS PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA AMBIENTADOR SIETE ESENCIAS DE LOS ANDES EL ORIGINAL"
"BERHLAN DE COLOMBIA S.A.S","KM 12 VI AL VALLE TEBAIDA - QUINDIO","900742771-9","3175006486","3175050195","LA TEBAIDA","QUINDIO","2017-11-08T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TÉCNICAS LOCATIVAS HIGIÉNICAS SANITARIAS DE DOTACIÓN Y RECURSOS HUMANOS PARA LA FABRICACIÓN ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISÓLIDOS PRODUCTOS PARA PRELAVADO Y PRODUCTOS LAVAVAJILLAS SOLIDOS PRODUCTOS LAVAVAJILLAS"
"BERHLAN DE COLOMBIA S.A.S","KM 14 VÍA CALI - PUERTO TEJADA PARQUE INDUSTRIAL Y COMERCIAL TROCADERO","900742771-9","3175050195","NO REGISTRA","PUERTO TEJADA","CAUCA","2018-11-27T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDO JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDA PRODUCTOS LAVAVAJILLAS (CREMA LAVALOZA) DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"BERHLAN DE COLOMBIA S.A.S","CALLE 10 # 32-137 PARQUE INDUSTRIAL INDUPARK -GALAPA","900742771-9","3175050195","NO REGISTRA","GALAPA","ATLANTICO","2019-01-29T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y SEMISOLIDOS PRODUCTOS LAVAVAJILLAS"
"BERHLAN DE COLOMBIA SAS","KM 2 VI BRIC-ZIPA PARQUE INDUSTRIAL TIBITOC BODEGAS 25B Y 26B","900742771-9","8820234","NO REGISTRA","TOCANCIPA","CUNDINAMARCA","2012-07-04T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANATARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES Y BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA SOLIDA PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA AMBIENTADORES LIMPIADORES DE SUPERFICIES"
"BIIOSMART LABORATORIO ESTABLECIMIENO DE COMERCIO PROPIEDAD DE BIIOSMART S.A.S.","CALLE 168 # 19B -72","900619237-1","5284080 - 3134219436","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-03-30T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE,"
"BIO ACTIVE SYSTEM S A S","CALLE 50A # 16-33 BARRIO SAN MIGUEL","901304630-4","3108700063","NO REGISTRA","BUCARAMANGA","SANTANDER","2020-06-05T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y SEMISÓLIDA BLANQUEADORES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"BIO FREX SAS","CL 53A SUR NO29-59","900451263 - 1","7416738","3138518983","BOGOTA DC","CUNDINAMARCA","2011-08-23T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVA VAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PRE PLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITA MANCHA Y PRODUCTO DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"BIO GRAY CLEANING S.A.S.","CARRERA 12 NO. 5 - 59","900508688-3","6488629","NO REGISTRA","FLORIDABLANCA","SANTANDER","2020-08-27T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"BIO-AMBIENTAL SUPPORT QUIMICA SAS SIGLA BIO SUPPORT SAS","CALLE 68 # 93-52","830031452-1","7425155","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2016-10-19T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: DETERGENTES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y AMBIENTADORES (INCLUYENDO EL ENVASADO EN FORMA DE AEROSOL), SE AMPLIA LA CAPACIDAD INSTALADA PARA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, BLANQUEADORES Y QUITAMANCHAS"
"BIOASEO LABORATORIOS ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE GAMBOA RUBIANO FELIX EDUARDO","CL 47 # 52-65","79648909-9","3206991104","NO REGISTRA","ITAGUI","ANTIOQUIA","2020-12-04T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE SEMISÓLIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y LIMPIADORES DE SUPERFICIES, LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES."
"BIOAVANCES S A S","KR 11 # 19 - 64 - 70","900809627-6","8854233      3174230984","NO REGISTRA","CALI","VALLE DEL CAUCA","2018-03-13T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"BIOCORP S A S","CQ 4 NO 73-09","900684159-1","4138346","42124418","MEDELLIN","ANTIOQUIA","2019-05-07T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LEQUIDOS AMBIENTADORES"
"BIOENZIMAS GROUP SOCIEDAD ANONIMA","CL 72A NO 60-66","900169440-9","3291663","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2012-11-02T00:00:00.000","FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS LIMPIADOR DE SUPERFICIES"
"BIOEXCOL SAS","CL 10 # 16A - 28","901093662-2","7602344 / 3163401179","7602344","DUITAMA","BOYACA","2018-11-20T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES"
"BIOGEL LABORATORIOS S.A.S","CALLE 12 B NO. 28 – 84","900758998-3","3103244452","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-09-06T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, SEMISÓLIDOS: SUAVIZANTES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"BIOINTEGRALES GESTION AMBIENTAL Y SEGURIDAD OCUPACIONAL SAS","CL 10 # 22-24","900705840-1","6382572","NO REGISTRA","AGUAZUL","CASANARE","2015-12-15T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"BIOLOGIC LTDA","CARRERA 60 D # 41 D SUR 92 (SAN ANTONIO DE PRADO)","900207893 - 5","3015713317 / 3046019521","NO REGISTRA","MEDELLIN","ANTIOQUIA","2020-10-14T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"BIONATURAL COSMETICOS SAS","CALLE 30A # 80-42","901222954-2","5898315-3162422629-3113090843","NO REGISTRA","MEDELLIN","ANTIOQUIA","2019-02-07T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"BIOQUIMAT LTDA","CL 35A SUR NO 72N-35 ULTIMA ACTAKM 25 VI BOGOTA SIVERIA ENTRADA TUBOIS TITAN BODEGA 75 PORTOS SABAN 80 CAMARA DE COMERCIO","830007364-9","8985173   8985172   3143945545","2737873","BOGOTA DC","CUNDINAMARCA","2011-05-12T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LA ACTIVIDAD DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA O INDUSTRIAL EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVA LOZA AMBIENTADORES Y SUAVIZANTES BLANQUEADORES Y QUITA MANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIE CERAS POLIMERICAS ILUSTRADORES PARA MUEBLES"
"BIOQUIMIC LTDA","CL 136 NO52A - 53","8301352577","6276352","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2008-11-24T00:00:00.000","FABRICACION Y ENVASE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA JABONES Y DETERGENTES NO COSMETICOS LIMPIADORES DESMANCHADORES BLANQUEADORES DESENGRASANTES DESINFECTANTES DE USO DOMESTICO AMBIENTADORES SHAMPOO PARA AUTOS SHAMPOO PARA ALFOMBRAS LIMPIAVIDRIOS PRODUCTOS PARA PRELEVADO Y PREPLANCHADO DE ROPA SUAVIZANTES JABON LAVALOZA CERAS"
"BIOSEGURIDAD COLOMBIA COMPANY SAS","KM 8 VTE NORTE LT 4 PA LA CORUÑA VDA MORINDA","901304612-1","3162693091   3106724873","NO REGISTRA","POPAYAN","CAUCA","2020-04-24T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES"
"BIOSINERGY LTDA","KILOMETRO 2 VEREDA SAN RAFAEL FINCA EL SALVADOR","900221025-7","8429595","8429595","FACATATIVA","CUNDINAMARCA","2011-07-15T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES T DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCAHS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIE"
"BIOSPEN S A S","CL 143 # 46-76","901066792-7","7035020","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2018-07-25T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENICA DOMESTICA EN FORMA DE LIQUIDOS JABONES PRODUCTOS LAVAVAJILLAS Y LIMPIADORES DE SUPERFICIES"
"BIOTECH ORIUS SAS","KR 23 # 5 - 86","900837563-2","6700494","6700494","VILLAVICENCIO","META","2015-07-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE ASEO EN FORMA DE LIQUIDOS LIMPIADORES DE SUPERFICIES"
"BLANQUEADOR EL INDIO AZUL SAS","VEREDA PRIMAVERA","900501184-1","2789665","NO REGISTRA","CALDAS","ANTIOQUIA","2016-09-20T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA BLANQUEADORES"
"BLASUS LAB","CL 84 NO 67 - 54 LO 2","901219652-2","3053921642","NO REGISTRA","BARRANQUILLA","ATLANTICO","2021-12-10T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES; EN FORMA DE SEMISÓLIDOS: BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES; EN FORMA SÓLIDA: JABONES (A BASE DE GLICERINA), AMBIENTADORES"
"BLUP PRODUCTOS DE LIMPIEZA ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE JHON JAIRO SUAREZ BAEZ","CL 20 C # 96 C - 43","1016006627-4","5477358","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2016-06-09T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"BORANI SAS","KR 65 # 16 A - 95","900458449-4","3516717","NO REGISTRA","MEDELLIN","ANTIOQUIA","2017-01-17T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES SIN HIPOCLORITO Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"BOUQUET AROMAS Y FRAGANCIAS S A S","CARRERA 51 # 6 SUR 27","900457919 - 1","4482884   3006123495
3195965275","NO REGISTRA","MEDELLIN","ANTIOQUIA","2020-05-20T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS, TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y EN FORMA SEMISOLIDA: SUAVIZANTES Y AMBIENTADORES (VELAS EN GEL)"
"BRILLADORA EL DIAMANTE SA","KR 42 # 7-79 BARRIO CAMBULOS","890300327-1","5147777","3964596","CALI","VALLE DEL CAUCA","2014-04-29T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PRE-PLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
