"institution","institution_type","county","fiscal_year","date","corrections_population","location_1"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2017-2018","2017-09-30T00:00:00.000","3244","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2015-2016","2015-10-31T00:00:00.000","1027","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2016-2017","2017-04-30T00:00:00.000","1300","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2016-2017","2017-02-28T00:00:00.000","109","N/A
N/A, N/A N/A"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2016-2017","2017-06-30T00:00:00.000","3619","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2016-07-31T00:00:00.000","2398","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2016-2017","2017-01-31T00:00:00.000","1136","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2016-10-31T00:00:00.000","2416","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2017-2018","2017-09-30T00:00:00.000","2153","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2015-2016","2015-12-31T00:00:00.000","447","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2015-2016","2016-03-31T00:00:00.000","1110","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2017-2018","2017-08-31T00:00:00.000","2512","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2017-2018","2018-01-31T00:00:00.000","2185","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-09-30T00:00:00.000","2168","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2019-01-31T00:00:00.000","1779","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2015-2016","2015-09-30T00:00:00.000","2365","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2015-2016","2015-11-30T00:00:00.000","1430","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2016-2017","2017-03-31T00:00:00.000","501","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2016-10-31T00:00:00.000","2518","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2015-2016","2016-05-31T00:00:00.000","1601","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2016-2017","2016-12-31T00:00:00.000","1396","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2016-07-31T00:00:00.000","2497","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2018-05-31T00:00:00.000","1280","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2016-2017","2017-03-31T00:00:00.000","1581","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2017-07-31T00:00:00.000","2361","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2017-2018","2017-12-31T00:00:00.000","2401","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2016-09-30T00:00:00.000","2412","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2016-01-31T00:00:00.000","2453","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2017-2018","2018-03-31T00:00:00.000","1509","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2015-2016","2015-09-30T00:00:00.000","145","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2015-2016","2015-11-30T00:00:00.000","2496","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2016-2017","2017-02-28T00:00:00.000","1153","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2016-09-30T00:00:00.000","2513","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2016-2017","2017-04-30T00:00:00.000","106","N/A
N/A, N/A N/A"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2015-2016","2015-10-31T00:00:00.000","2298","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2015-2016","2015-10-31T00:00:00.000","1429","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2016-2017","2017-05-31T00:00:00.000","1134","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2017-2018","2018-05-31T00:00:00.000","155","N/A
N/A, N/A N/A"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2015-2016","2015-08-31T00:00:00.000","234","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2016-2017","2017-02-28T00:00:00.000","429","N/A
N/A, N/A N/A"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2016-2017","2017-02-28T00:00:00.000","3417","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2018-2019","2018-09-30T00:00:00.000","1597","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2016-2017","2016-11-30T00:00:00.000","103","N/A
N/A, N/A N/A"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2017-12-31T00:00:00.000","1279","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2014-2015","2015-06-30T00:00:00.000","1383","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2017-2018","2017-09-30T00:00:00.000","2312","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2016-07-31T00:00:00.000","1400","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2015-12-31T00:00:00.000","78","N/A
N/A, N/A N/A"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2018-2019","2018-09-30T00:00:00.000","486","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2017-11-30T00:00:00.000","167","N/A
N/A, N/A N/A"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2017-08-31T00:00:00.000","197","N/A
N/A, N/A N/A"
"In County Jails","County Jails","N/A","FY 2017-2018","2018-06-30T00:00:00.000","396","N/A
N/A, N/A N/A"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2015-2016","2015-11-30T00:00:00.000","2146","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2018-03-31T00:00:00.000","1273","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2015-2016","2016-02-29T00:00:00.000","1188","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Muncy (MUN)","State Correctional Institution","Lycoming","FY 2016-2017","2016-08-31T00:00:00.000","1434","Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
"In Federal Prisons","Federal Prisons","N/A","FY 2017-2018","2017-12-31T00:00:00.000","8","N/A
N/A, N/A N/A"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-09-30T00:00:00.000","1501","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2017-2018","2018-05-31T00:00:00.000","2365","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2015-07-31T00:00:00.000","2473","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2017-2018","2018-04-30T00:00:00.000","1232","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Chester (CHS)","State Correctional Institution","Delaware","FY 2017-2018","2017-10-31T00:00:00.000","1268","500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2016-2017","2017-04-30T00:00:00.000","1155","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2016-2017","2017-05-31T00:00:00.000","2310","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2016-05-31T00:00:00.000","72","N/A
N/A, N/A N/A"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2016-2017","2017-03-31T00:00:00.000","1394","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2018-2019","2018-07-31T00:00:00.000","2173","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2015-2016","2015-09-30T00:00:00.000","2475","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"In County Jails","County Jails","N/A","FY 2015-2016","2015-10-31T00:00:00.000","987","N/A
N/A, N/A N/A"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2015-2016","2015-07-31T00:00:00.000","2128","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2015-2016","2015-08-31T00:00:00.000","3612","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2018-2019","2018-11-30T00:00:00.000","145","N/A
N/A, N/A N/A"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2017-2018","2018-01-31T00:00:00.000","1461","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2017-2018","2018-01-31T00:00:00.000","108","N/A
N/A, N/A N/A"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2015-2016","2015-08-31T00:00:00.000","488","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-07-31T00:00:00.000","2113","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2017-2018","2017-10-31T00:00:00.000","186","N/A
N/A, N/A N/A"
"Albion (ALB)","State Correctional Institution","Erie","FY 2015-2016","2015-09-30T00:00:00.000","2246","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2017-04-30T00:00:00.000","372","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2017-2018","2017-09-30T00:00:00.000","1450","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-12-31T00:00:00.000","1350","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2015-2016","2015-08-31T00:00:00.000","126","N/A
N/A, N/A N/A"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2017-2018","2017-07-31T00:00:00.000","3564","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2017-2018","2017-09-30T00:00:00.000","1352","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2015-2016","2015-08-31T00:00:00.000","1092","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2018-2019","2018-10-31T00:00:00.000","2144","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"In County Jails","County Jails","N/A","FY 2017-2018","2017-08-31T00:00:00.000","340","N/A
N/A, N/A N/A"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2017-2018","2017-07-31T00:00:00.000","245","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2017-2018","2018-03-31T00:00:00.000","1409","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"In County Jails","County Jails","N/A","FY 2016-2017","2016-11-30T00:00:00.000","489","N/A
N/A, N/A N/A"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2018-10-31T00:00:00.000","1766","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2015-2016","2016-01-31T00:00:00.000","74","N/A
N/A, N/A N/A"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2018-2019","2018-08-31T00:00:00.000","1489","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2018-2019","2019-01-31T00:00:00.000","1066","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Somerset (SMR)","State Correctional Institution","Somerset","FY 2015-2016","2015-07-31T00:00:00.000","2393","1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2018-2019","2018-12-31T00:00:00.000","125","N/A
N/A, N/A N/A"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2017-2018","2018-03-31T00:00:00.000","3606","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Community Corrections Center - Central","Community Corrections Center","N/A","FY 2017-2018","2018-01-31T00:00:00.000","234","N/A
N/A, N/A N/A"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2015-2016","2015-11-30T00:00:00.000","140","N/A
N/A, N/A N/A"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2017-07-31T00:00:00.000","180","N/A
N/A, N/A N/A"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2018-2019","2018-07-31T00:00:00.000","1490","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"In County Jails","County Jails","N/A","FY 2017-2018","2018-01-31T00:00:00.000","375","N/A
N/A, N/A N/A"
"Albion (ALB)","State Correctional Institution","Erie","FY 2015-2016","2016-03-31T00:00:00.000","2232","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2018-2019","2018-09-30T00:00:00.000","1814","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2015-2016","2016-01-31T00:00:00.000","1180","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2015-2016","2015-07-31T00:00:00.000","2377","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2015-2016","2016-05-31T00:00:00.000","2371","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2017-2018","2017-12-31T00:00:00.000","1394","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2016-09-30T00:00:00.000","2042","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Laurel Highlands (LAU)","State Correctional Institution","Somerset","FY 2017-2018","2017-09-30T00:00:00.000","1587","5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2014-2015","2015-06-30T00:00:00.000","2379","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2018-2019","2018-08-31T00:00:00.000","102","N/A
N/A, N/A N/A"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2015-11-30T00:00:00.000","2458","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Community Contract Facility - Eastern","Community Contract Facility","N/A","FY 2015-2016","2016-05-31T00:00:00.000","266","N/A
N/A, N/A N/A"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2015-2016","2015-10-31T00:00:00.000","1151","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2017-2018","2018-04-30T00:00:00.000","2318","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2015-2016","2016-03-31T00:00:00.000","2406","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Rockview (ROC)","State Correctional Institution","Centre","FY 2018-2019","2018-08-31T00:00:00.000","2386","1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2018-2019","2018-09-30T00:00:00.000","134","N/A
N/A, N/A N/A"
"Forest (FRS)","State Correctional Institution","Forest","FY 2017-2018","2017-09-30T00:00:00.000","2399","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2017-2018","2017-12-31T00:00:00.000","1772","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2017-2018","2017-08-31T00:00:00.000","2153","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2014-2015","2015-06-30T00:00:00.000","1749","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2015-2016","2015-12-31T00:00:00.000","1151","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Waymart (WAM)","State Correctional Institution","Wayne","FY 2016-2017","2017-02-28T00:00:00.000","1391","P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2017-2018","2018-05-31T00:00:00.000","68","N/A
N/A, N/A N/A"
"Smithfield (SMI)","State Correctional Institution","Huntingdon","FY 2016-2017","2016-08-31T00:00:00.000","1367","1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2017-2018","2018-02-28T00:00:00.000","121","N/A
N/A, N/A N/A"
"Cambridge Springs (CBS)","State Correctional Institution","Crawford","FY 2017-2018","2017-08-31T00:00:00.000","1192","451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2018-2019","2018-10-31T00:00:00.000","125","N/A
N/A, N/A N/A"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2016-2017","2017-01-31T00:00:00.000","2247","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Graterford (GRA)","State Correctional Institution","Montgomery","FY 2018-2019","2018-09-30T00:00:00.000","0","P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2016-2017","2017-04-30T00:00:00.000","118","N/A
N/A, N/A N/A"
"Fayette (FYT)","State Correctional Institution","Fayette","FY 2016-2017","2017-05-31T00:00:00.000","2142","50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2014-2015","2015-06-30T00:00:00.000","2439","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Dallas (DAL)","State Correctional Institution","Luzerne","FY 2018-2019","2018-12-31T00:00:00.000","2154","1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2017-06-30T00:00:00.000","0","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2016-2017","2017-04-30T00:00:00.000","2480","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2017-2018","2018-05-31T00:00:00.000","133","N/A
N/A, N/A N/A"
"Mercer (MER)","State Correctional Institution","Mercer","FY 2016-2017","2017-01-31T00:00:00.000","1376","801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
"Retreat (RET)","State Correctional Institution","Luzerne","FY 2018-2019","2018-08-31T00:00:00.000","1107","660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
"Frackville (FRA)","State Correctional Institution","Schuylkill","FY 2016-2017","2017-01-31T00:00:00.000","1177","1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
"In Federal Prisons","Federal Prisons","N/A","FY 2015-2016","2015-11-30T00:00:00.000","7","N/A
N/A, N/A N/A"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2015-2016","2016-04-30T00:00:00.000","1824","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2017-2018","2018-04-30T00:00:00.000","1845","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2018-03-31T00:00:00.000","141","N/A
N/A, N/A N/A"
"Quehanna Boot Camp (QUE)","State Correctional Institution","Clearfield","FY 2016-2017","2017-06-30T00:00:00.000","443","4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
"Greene (GRN)","State Correctional Institution","Greene","FY 2017-2018","2017-09-30T00:00:00.000","1693","169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
"Community Corrections Center - Western","Community Corrections Center","N/A","FY 2016-2017","2017-02-28T00:00:00.000","157","N/A
N/A, N/A N/A"
"Community Contract Facility - Western","Community Contract Facility","N/A","FY 2017-2018","2018-03-31T00:00:00.000","163","N/A
N/A, N/A N/A"
"Forest (FRS)","State Correctional Institution","Forest","FY 2016-2017","2016-07-31T00:00:00.000","2311","286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
"Pine Grove (PNG)","State Correctional Institution","Indiana","FY 2016-2017","2017-01-31T00:00:00.000","958","189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
"Coal Township (COA)","State Correctional Institution","Northumberland","FY 2016-2017","2017-04-30T00:00:00.000","2291","1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
"Community Corrections Center - Eastern","Community Corrections Center","N/A","FY 2017-2018","2018-04-30T00:00:00.000","66","N/A
N/A, N/A N/A"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2017-2018","2017-09-30T00:00:00.000","2050","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
"Community Contract Facility - Central","Community Contract Facility","N/A","FY 2017-2018","2018-01-31T00:00:00.000","144","N/A
N/A, N/A N/A"
"Houtzdale (HOU)","State Correctional Institution","Clearfield","FY 2018-2019","2018-08-31T00:00:00.000","2568","209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2017-2018","2017-12-31T00:00:00.000","2371","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Huntingdon (HUN)","State Correctional Institution","Huntingdon","FY 2018-2019","2018-08-31T00:00:00.000","2200","1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
"In Federal Prisons","Federal Prisons","N/A","FY 2018-2019","2018-10-31T00:00:00.000","8","N/A
N/A, N/A N/A"
"Camp Hill (CAM)","State Correctional Institution","Cumberland","FY 2015-2016","2016-02-29T00:00:00.000","3557","P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
"Pittsburgh (PIT)","State Correctional Institution","Allegheny","FY 2016-2017","2016-07-31T00:00:00.000","1844","3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
"In County Jails","County Jails","N/A","FY 2016-2017","2016-09-30T00:00:00.000","559","N/A
N/A, N/A N/A"
"Mahanoy (MAH)","State Correctional Institution","Schuylkill","FY 2018-2019","2018-10-31T00:00:00.000","2362","301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
"Albion (ALB)","State Correctional Institution","Erie","FY 2017-2018","2018-02-28T00:00:00.000","2266","10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
"Benner Township (BEN)","State Correctional Institution","Centre","FY 2018-2019","2018-11-30T00:00:00.000","2097","Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
