"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Corinne, Utah 
(41.550753, -112.109292)","Box Elder","16000US4915830",,"49408","0.30170000000000002","51","25","0","0","0","0","0","0","8","7","0","5","5","0","0","26","3","0","4","0","0","0","2","15","0","0","2","0","0","718","411","39","5","38","13","18","17","41","75","46","62","32","12","13","307","36","1","23","6","0","2","32","54","56","60","22","5","10"
"
Payson, Utah 
(40.042535, -111.733844)","Utah","16000US4958730",,"59250","0.35599999999999998","2096","932","178","38","122","107","40","27","130","121","112","15","34","8","0","1164","155","12","122","71","12","58","143","151","224","62","52","17","85","16405","8460","924","146","1324","470","124","259","927","1281","1252","744","518","330","161","7945","970","165","1170","339","128","201","662","1397","965","793","533","386","236"
"
Mendon, Utah 
(41.707939, -111.979261)","Cache","16000US4949160",,"76250","0.45839999999999997","107","54","3","0","9","0","0","2","24","3","9","0","0","0","4","53","2","2","0","7","0","8","10","2","7","15","0","0","0","1150","554","9","13","118","29","9","25","34","34","108","67","51","25","32","596","53","9","122","42","21","31","39","27","97","36","44","27","48"
"
Virgin, Utah 
(37.203699, -113.186144)","Washington","16000US4980530",,"41750","0.42159999999999997","45","17","0","2","0","4","0","0","0","0","0","3","8","0","0","28","2","0","0","1","0","3","2","3","1","11","2","2","1","341","187","10","0","11","12","7","5","8","16","37","38","20","15","8","154","7","0","6","8","6","3","2","22","26","21","24","21","8"
"
Kenilworth, Utah 
(39.687356, -110.804453)","Carbon","16000US4941020",,"14224","0.36009999999999998","32","26","0","0","0","0","0","0","0","0","0","20","6","0","0","6","0","0","0","0","0","0","0","0","0","0","6","0","0","55","17","0","0","0","0","0","0","0","0","0","10","0","0","7","38","0","0","0","0","0","0","0","0","0","0","0","29","9"
"
Woods Cross, Utah 
(40.874763, -111.901994)","Davis","16000US4985370",,"70140","0.29980000000000001","603","339","64","0","86","15","0","0","20","25","63","17","26","0","23","264","41","0","15","15","0","0","54","17","55","32","20","0","15","9455","4521","694","131","514","117","33","129","437","891","692","275","329","191","88","4934","583","217","740","151","51","149","337","1026","617","413","384","171","95"
"
Fairview, Utah 
(39.629733, -111.439223)","Sanpete","16000US4924630",,"51528","0.36070000000000002","82","54","27","0","0","0","0","8","6","0","13","0","0","0","0","28","0","0","0","0","0","0","20","0","0","5","0","0","3","1703","938","92","4","104","68","39","36","54","116","114","76","109","54","72","765","66","3","117","33","0","17","63","101","99","80","79","64","43"
"
Navajo Mountain, Utah 
(37.034078, -110.777477)","San Juan ","16000US4953890",,"23906","0.43280000000000002","219","109","15","0","26","19","0","0","15","2","20","7","0","0","5","110","23","0","24","8","5","8","13","0","14","9","4","0","2","254","124","17","0","18","6","3","7","16","18","10","11","14","4","0","130","16","2","16","11","0","5","6","14","18","12","15","5","10"
"
Draper, Utah 
(40.52505, -111.864203)","Salt Lake","16000US4920120","3.9","90583","0.39950000000000002","1984","982","66","47","55","73","68","0","442","141","27","44","19","0","0","1002","183","104","0","75","61","53","0","94","223","162","47","0","0","39366","19751","2145","447","2718","1239","245","586","1284","2757","2878","2252","1952","770","478","19615","1858","405","2385","1082","193","882","1083","2689","3474","2626","1697","865","376"
"
Spring Glen, Utah 
(39.662148, -110.853682)","Carbon","16000US4972060",,"44145","0.3931","65","9","0","0","9","0","0","0","0","0","0","0","0","0","0","56","8","0","7","0","0","0","0","14","0","0","0","27","0","927","489","14","18","34","34","5","7","36","74","22","71","63","56","55","438","10","0","34","0","0","7","20","94","29","67","124","29","24"
"
Enterprise, Utah 
(37.575276, -113.716896)","Washington","16000US4923420",,"50357","0.36599999999999999","128","62","5","7","19","0","0","0","2","16","0","6","7","0","0","66","7","12","0","6","4","10","0","11","8","0","8","0","0","1526","820","117","36","128","34","15","32","58","116","84","53","71","39","37","706","113","36","63","52","4","19","46","93","83","35","95","50","17"
"
Aneth, Utah 
(37.216159, -109.186606)","San Juan","16000US4901530",,"31125","0.50860000000000005","232","112","11","8","13","0","0","14","10","17","25","14","0","0","0","120","0","0","7","22","8","0","16","22","10","23","12","0","0","268","156","8","8","19","19","4","4","26","7","31","9","0","13","8","112","8","0","25","17","0","9","0","8","20","10","5","10","0"
"
Francis, Utah 
(40.610496, -111.280672)","Summit","16000US4926940",,"65875","0.3926","118","57","2","0","8","0","0","0","0","13","20","4","10","0","0","61","4","0","10","0","2","0","0","15","3","12","15","0","0","1100","576","31","12","56","29","14","27","45","45","89","109","61","45","13","524","38","10","52","24","0","25","34","67","67","83","61","47","16"
"
West Mountain, Utah 
(40.055566, -111.787414)","Utah","16000US4983252",,"72813","0.307","96","44","10","11","6","0","0","6","0","11","0","0","0","0","0","52","12","0","6","12","0","0","0","16","0","6","0","0","0","825","434","0","0","48","23","0","46","69","83","6","95","25","14","25","391","29","0","16","30","10","38","30","26","32","119","20","22","19"
"
Salina, Utah 
(38.957597, -111.860052)","Sevier","16000US4965880",,"48807","0.42380000000000001","373","133","45","24","15","0","0","0","0","22","9","0","18","0","0","240","26","6","22","6","9","0","19","68","0","47","20","12","5","2129","1099","49","6","87","40","28","45","58","129","161","138","153","141","64","1030","94","19","138","63","0","42","28","153","122","121","85","133","32"
"
Redmond, Utah 
(39.005976, -111.862644)","Sevier","16000US4963240",,"40938","0.33550000000000002","86","48","7","0","4","0","0","0","17","0","5","15","0","0","0","38","2","0","5","2","2","1","19","0","4","0","0","0","3","463","258","16","2","31","20","0","10","18","13","14","70","21","33","10","205","8","0","4","0","5","2","27","15","31","40","20","25","28"
"
Halls Crossing, Utah 
(37.463825, -110.714652)","San Juan","16000US4933027",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"
Fillmore, Utah 
(38.96675, -112.323686)","Millard","16000US4925510",,"52538","0.3639","329","144","12","30","39","15","0","0","8","0","11","0","9","20","0","185","33","13","48","3","0","3","2","31","26","5","10","5","6","2329","1209","91","11","124","96","42","41","67","152","131","159","143","93","59","1120","49","35","185","34","0","63","118","130","107","132","95","118","54"
"
Kanarraville, Utah 
(37.536046, -113.183393)","Iron","16000US4940030",,"58625","0.39579999999999999","29","11","0","0","0","0","0","0","0","0","0","3","4","4","0","18","0","0","0","0","0","0","0","2","6","1","9","0","0","294","136","1","4","11","7","4","0","2","6","8","23","29","39","2","158","0","1","8","7","3","17","20","6","24","18","21","27","6"
"
Bluebell, Utah 
(40.359456, -110.21838)","Duchesne","16000US4906590",,"115288","0.317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","238","119","0","0","0","14","0","0","19","0","18","24","31","4","9","119","0","0","25","0","0","9","16","0","18","32","15","4","0"
"
Orangeville, Utah 
(39.232167, -111.053204)","Emery","16000US4956860",,"65625","0.3775","102","56","0","0","12","12","0","0","0","4","22","3","0","0","3","46","0","0","0","0","0","0","14","15","0","13","0","4","0","1197","667","21","2","80","89","12","56","23","78","77","77","107","14","31","530","46","14","24","24","6","12","24","66","107","85","67","45","10"
"
West Haven, Utah 
(41.198001, -112.064313)","Weber","16000US4982930",,"70610","0.33929999999999999","709","353","45","4","67","52","7","16","6","0","107","9","24","0","16","356","0","12","83","51","9","31","13","62","53","0","32","10","0","9927","4915","496","186","524","283","130","127","477","894","532","607","343","219","97","5012","382","87","644","318","74","157","687","725","683","595","346","210","104"
"
Tremonton, Utah 
(41.711746, -112.166053)","Box Elder","16000US4977120",,"53788","0.37430000000000002","717","408","16","0","108","78","0","0","43","37","63","0","63","0","0","309","0","10","33","49","0","14","21","48","118","0","0","0","16","6968","3325","501","89","301","82","30","114","302","609","292","429","263","161","152","3643","456","36","375","214","57","195","554","477","302","434","289","183","71"
"
Bountiful, Utah 
(40.879209, -111.878388)","Davis","16000US4907690","4.2","63868","0.42209999999999998","3852","1789","228","51","74","64","13","129","262","367","102","182","194","43","80","2063","128","18","118","43","16","159","322","322","224","116","276","32","289","38542","18637","1368","264","2023","902","346","493","1724","2476","1976","2450","1761","1208","1646","19905","1461","246","1919","1038","371","645","1551","2435","2400","2395","1802","1675","1967"
"
Cleveland, Utah 
(39.348729, -110.851942)","Emery","16000US4914070",,"75114","0.30059999999999998","42","27","4","4","0","0","0","0","0","4","0","6","0","4","5","15","5","0","4","0","0","0","0","4","0","0","0","2","0","472","262","23","7","21","9","0","14","40","33","18","27","45","10","15","210","10","2","14","10","6","0","10","32","33","27","31","21","14"
"
Spanish Valley, Utah 
(38.459331, -109.420543)","San Juan","16000US4971455",,"76538","0.32540000000000002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","306","149","0","0","26","0","0","9","0","0","11","75","0","28","0","157","0","0","20","9","0","0","33","0","20","33","32","10","0"
"
Green River, Utah 
(38.995501, -110.162145)","Emery","16000US4931670",,"41600","0.3821","275","110","27","8","29","2","5","0","3","15","4","0","17","0","0","165","12","0","17","46","0","0","21","17","24","20","8","0","0","816","375","36","0","15","19","3","0","62","45","17","39","50","62","27","441","62","11","50","8","11","0","42","24","38","48","54","75","18"
"
New Harmony, Utah 
(37.478046, -113.304893)","Washington","16000US4954440",,"56250","0.33979999999999999","13","8","0","0","0","0","0","0","0","0","2","2","0","0","4","5","0","0","0","0","0","0","0","0","1","0","0","2","2","182","85","0","0","5","6","0","0","7","11","6","9","9","16","16","97","3","0","5","6","0","2","0","8","13","13","6","19","22"
"
West Bountiful, Utah 
(40.894014, -111.902031)","Davis","16000US4982840",,"81419","0.29430000000000001","223","109","11","0","10","0","0","20","18","29","10","0","0","0","11","114","20","0","20","0","0","0","41","9","0","14","10","0","0","5054","2556","137","29","208","207","55","89","254","434","265","330","320","172","56","2498","125","54","214","123","108","82","410","207","282","428","321","82","62"
"
Cove, Utah 
(41.96338, -111.807337)","Cache","16000US4916490",,"40625","0.45929999999999999","77","35","0","0","0","0","0","9","0","0","26","0","0","0","0","42","0","0","28","0","0","0","0","0","14","0","0","0","0","251","94","10","0","0","8","0","0","0","0","18","16","19","14","9","157","0","10","8","8","11","10","14","0","6","23","29","16","22"
"
Vineyard, Utah 
(40.29263, -111.744768)","Utah","16000US4980420",,"65179","0.36180000000000001","23","17","4","2","4","2","0","0","1","0","2","2","0","0","0","6","0","0","2","0","0","0","0","0","2","2","0","0","0","154","74","2","5","6","5","0","2","9","14","3","6","14","8","0","80","10","0","6","2","1","2","14","13","3","7","15","4","3"
"
Fruit Heights, Utah 
(41.031067, -111.908916)","Davis","16000US4927490",,"99545","0.3574","498","230","40","0","18","0","52","0","58","0","3","0","49","10","0","268","37","0","96","56","0","0","9","38","12","10","10","0","0","4693","2370","161","43","275","168","55","114","180","312","218","380","273","147","44","2323","155","43","175","137","70","120","227","278","233","381","319","113","72"
"
Cedar Hills, Utah 
(40.413898, -111.758417)","Utah","16000US4911440",,"95929","0.34660000000000002","527","262","18","0","51","18","17","36","7","0","25","53","0","10","27","265","30","0","36","0","49","0","0","31","90","17","12","0","0","9312","4395","342","157","770","288","114","143","375","407","756","494","283","105","161","4917","457","139","776","459","171","257","419","358","845","593","191","91","161"
