"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Morgan","49","29","1028","1","25","2.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Tooele","49","45","5619","13","208.23","48.18","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Davis","49","11","25699","13","131.30000000000001","6.60","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Sanpete","49","39","4270","1","100","2.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Kane","49","25","1766","0",,"2.20","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Wasatch","49","51","2281","11","71.099999999999994","34.30","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","STATE","--ALL--","49",,"246385","72","41.3","1.20","12.2","11.80","7","3.90","77.30","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Sevier","49","41","3664","2","142.5","7.78","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Emery","49","15","1916","2","71.5","7.50","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Davis","49","11","25699","35","61.4","8.40","35","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Sanpete","49","39","4109","12","75.8","22.20","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Utah","49","49","32112","31","454.6","43.90","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","STATE","--ALL--","49",,"250275","98","103.8","4.10","19.5","18.60","3.80","12.10","32.50","33","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Uintah","49","47","3041","2","54","3.60","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","San Juan","49","37","2015","5","18.399999999999999","4.57","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Salt Lake","49","35","83658","16","362.3","6.90","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Garfield","49","17","1082","1","68","6.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Box Elder","49","3","5279","5","78.2","7.40","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Iron","49","21","5847","6","70","7.18","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Sevier","49","41","3856","5","29.4","3.80","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Summit","49","43","3753","2","29.5","1.57","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Washington","49","53","25523","12","140.25","6.59","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Uintah","49","47","3041","2","102.5","6.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Carbon","49","7","3965","7","32.6","5.80","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Juab","49","23","1510","2","52","6.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Davis","49","11","25699","16","49.7","3.10","16","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Wasatch","49","51","2329","2","25.5","2.19","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Uintah","49","47","3041","2","50","3.30","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Box Elder","49","3","5326","4","49.5","3.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Kane","49","25","1766","1","31","1.76","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Wayne","49","55","599","1","27","4.51","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Grand","49","19","1906","0",,"1","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Emery","49","15","1936","4","26.75","5.53","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","STATE","--ALL--","49",,"254069","72","245.2","6.90","11.9","14.40","6.80","3.80","75","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Box Elder","49","3","5334","14","209.86","55.08","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Emery","49","15","1916","1","133","6.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Washington","49","53","24937","10","17.8","0.70","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Sevier","49","41","3856","4","71.3","7.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Emery","49","15","1936","11","108.73","61.78","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Summit","49","43","3760","4","63.3","6.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Garfield","49","17","1099","2","10","1.82","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Juab","49","23","1510","2","38","5","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Wasatch","49","51","2308","1","40","1.73","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Grand","49","19","1888","2","21","2.22","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Emery","49","15","1916","3","51.3","8","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Millard","49","27","2268","11","48.73","23.63","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Salt Lake","49","35","83658","38","91.1","4.10","38","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Box Elder","49","3","5334","6","33.5","3.77","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Morgan","49","29","1015","1","49","4.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Cache","49","5","7662","6","41","3.20","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Sanpete","49","39","4270","12","75.099999999999994","21.10","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Duchesne","49","13","2482","1","132","5.32","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","STATE","--ALL--","49",,"252100","74","245","7.20","12.9","13.60","7.80","3.70","42.20","32.80","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Millard","49","27","2244","12","43","23","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Juab","49","23","1537","3","31.3","6.10","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Utah","49","49","32112","27","35.89","3.02","27","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","San Juan","49","37","2015","1","62","3.08","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Iron","49","21","5729","6","72","7.50","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Wayne","49","55","593","1","23","3.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Uintah","49","47","3041","10","192.1","63.20","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Millard","49","27","2268","1","156","6.88","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Kane","49","25","1791","3","42.3","7.10","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Grand","49","19","1852","2","20","2.16","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Weber","49","57","23541","31","66","8.70","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
