"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Emergency Medical Services","https://data.austintexas.gov/d/gjtj-jt2d","EMS - Incidents by Month","dataset","2254","2019-05-01T00:00:00.000","Monthly","Public Safety","ems,incidents,atcems,demand,workload,response times,incident counts,incident priority,city,county,operations,ambulance,emergency medical services,austin,travis county,911","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Field Operations","http://www.austintexas.gov/department/ems",,"N/A","N/A","Safety","N/A","1"
"Austin Transportation","https://data.austintexas.gov/d/tyr3-rmv9","Lane and Road Closures","dataset","2250","2017-03-10T00:00:00.000","Hourly","Utilities and City Services","311,lane/road,lane,road,closure","Austin 311",,"Public Domain",,,,"N/A","N/A","Mobility",,"5"
"Austin Transportation","https://data.austintexas.gov/d/tyfh-5r8s","Austin B-Cycle Trips","dataset","2219","2018-12-09T00:00:00.000","Monthly","Transportation and Mobility","transportation,bicycles,mobility,transit,b-cycle,bcycle","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department + Austin B-Cycle",,,,,,,"6"
"Austin Police","https://data.austintexas.gov/d/gr59-ids7","RETIRED - APD Incident Extract 2011","dataset","2131","2016-08-19T00:00:00.000","Daily","Public Safety",,"opendataatx",,"Public Domain","City of Austin",,,,,,,"8"
"Financial Services","https://data.austintexas.gov/d/vsbg-t3e9","City of Austin Performance Measures","dataset","2058","2019-05-06T00:00:00.000","Weekly","Budget and Finance","performance,measures,performance measures","carawaym","coa.budget@austintexas.gov","Open Data Commons Open Database License","City of Austin","http://www.austintexas.gov/budget/eperf/index.cfm",,,,,,"5"
"Mayor & Council","https://data.austintexas.gov/d/7ti8-tuax","Council Member Tovo Resolutions","dataset","2056","2014-10-01T00:00:00.000","As Needed","City Government","resolutions,tovo,city council","AustinGo",,"Public Domain","City of Austin","http://www.austintexas.gov/government",,,,,,"6"
"Austin Public Health","https://data.austintexas.gov/d/nttt-2a35","Adult and Children Vaccinations Provided","dataset","2053","2019-02-19T00:00:00.000","Monthly","Health and Community Services","vaccination,immunization,shots,clinic","Wanda Garcia","PublicHealthOpenData@austintexas.gov","Public Domain","Austin Public Health","http://austintexas.gov/immunizations",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/fj9m-h5qy","Land Use Inventory Detailed","gis map","2020","2019-04-16T00:00:00.000","Weekly","Locations and Maps","planning,cadastre,land use,appraisal,urban,comprehensive,agoltosocrata","EGS Data Services",,"Public Domain","Planning and Zoning",,,"Land Development Regulations (CodeNEXT)","Green Infrastructure","Government that Works for All of Us","N/A","3"
"Austin Police","https://data.austintexas.gov/d/fdj4-gpfu","Crime Reports","dataset","1978","2019-05-06T00:00:00.000","Weekly","Public Safety","crime,incidents,apd,police","APD PIO","police3@austintexas.gov","Public Domain","Austin Police Department",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/i626-g7ub","Radar Traffic Counts","dataset","1906","2019-05-08T00:00:00.000","Hourly","Transportation and Mobility",,"Austin Transportation",,"Public Domain","City of Austin Transportation Department",,,"Compact & Connected","N/A","Mobility","N/A","4"
"Communication and Technology Management","https://data.austintexas.gov/d/99y8-6pgc","Hydrography Polygons 2006","gis map","1836","2019-05-01T00:00:00.000","As Needed","Locations and Maps","inland waters,lake polygons,water bodies,colorado river,lake travis,ladybird lake,decker lake","EGS Data Services","ben.vanderford@austintexas.gov","Public Domain","Communications and Technology Management",,,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/a6pm-qynf","Austin Energy System Peak Demand","dataset","1830","2018-08-02T00:00:00.000","Annually","Utilities and City Services",,"Austin Energy",,"Public Domain","City of Austin","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","N/A","N/A","3"
"Mayor & Council","https://data.austintexas.gov/d/paa2-kvza","Resolutions Summary","dataset","1819","2015-04-01T00:00:00.000","Monthly","City Government","resolution,morrison","AustinGo","austingoteam@gmail.com","Public Domain",,,,,,,,"7"
"Financial Services","https://data.austintexas.gov/d/fvjv-ehzj","Austin Capital Project Details Dataset","dataset","1813","2019-04-24T00:00:00.000","Monthly","Budget and Finance",,"Brian L. Long, P.E.","capitalprojects@austintexas.gov","Public Domain",,,,,,,,"8"
"Austin Resource Recovery","https://data.austintexas.gov/d/mbnu-4wq9","Waste Collection & Diversion Report (daily)","dataset","1788","2019-05-07T00:00:00.000","Daily","Utilities and City Services","waste,collection,arr,load,resource,recovery,recycling,disposal,diversion","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","http://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/k34s-xxms","AWU Service Area Impact Fee Boundary","gis map","1774","2017-11-28T00:00:00.000","As Needed","Locations and Maps","austin,water,utility,service,area,impact,fee,boundary","EGS Data Services","cara.cooke@austintexas.gov","Public Domain","Austin Water Utility -- IT/GIS Services (GIS group)",,,,,,,"6"
"Watershed Protection","https://data.austintexas.gov/d/g74p-cg9u","Erosion Hazard Zone Review Buffer","gis map","1753","2019-03-13T00:00:00.000","As Needed","Locations and Maps","erosion,erosion hazard zone,review,permit,development,ldc,land development code,building permit,site plan","Janna Renfro","janna.renfro@austintexas.gov","Public Domain","Watershed Protection Department, Stream Restoration Program",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/eitg-njyb","Wifi Travel Sensor - Raw [EXPERIMENTAL]","dataset","381","2017-06-04T00:00:00.000","As Needed","Transportation and Mobility","transpprtation","Austin Transportation",,"Public Domain",,,,,,,,"8"
"Economic Development","https://data.austintexas.gov/d/3237-g9rs","Economic Development Compliance: Active Chapter 380 Agreement Evaluation Criteria","dataset","1711","2018-03-08T00:00:00.000","As Needed","City Government","incentives,chapter 380,ch. 380","Julia Campbell","edd@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://austintexas.gov/department/economic-development",,"N/A",,"Economic Opportunity and Affordability","Government that Works for All of Us","2"
"Development Services","https://data.austintexas.gov/d/q3y3-ungd","Zoning Ordinance","gis map","1643","2018-02-01T00:00:00.000","As Needed","Locations and Maps","zoning ordinance,planning cadastre,ordinance","EGS Data Services","julia.robbins@austintexas.gov","Public Domain","Communications and Technology Management",,,,,,,"6"
"Austin Transportation","https://data.austintexas.gov/d/6yd9-yz29","Travel Sensors","dataset","1613","2019-04-27T00:00:00.000","Hourly","Transportation and Mobility","transportation,travel sensors,mobility,travel time,traffic","Austin Transportation","john.clary@austintexas.gov","Public Domain","City of Austin Transportation Department",,,"N/A","N/A","N/A",,"3"
"Public Information Office","https://data.austintexas.gov/d/wj2d-jcey","Spirit of East Austin Comments","dataset","1594","2016-04-12T00:00:00.000","As Needed","City Government","spirit of east austin,east austin","Marbenn Cayetano","coacommunications@austintexas.gov","Open Data Commons Public Domain Dedication and License","City of Austin Communications and Public Information Office","http://austintexas.gov/department/soea",,"Complete Communities (Imagine Austin vision)","N/A","Government that Works for All of Us","N/A","1"
"Municipal Court","https://data.austintexas.gov/d/jbxk-jjnn","Municipal Court Caseload Information FY 2015","dataset","1576","2019-04-18T00:00:00.000","Monthly","City Government","municipal,court,violation,traffic,tickets,cases,parking,criminal,ordinance","Jim Warren","jim.warren@austintexas.gov","Public Domain","City of Austin, Municipal Court","https://www.austintexas.gov/AmcPublicInquiry/pubportal.aspx?ReturnUrl=%2fAmcPublicInquiry%2fsearch%2fdocketsearch.aspx",,"N/A","N/A","Safety","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/p2uq-mkbt","Lakes","gis map","1538","2019-05-01T00:00:00.000","Monthly","Locations and Maps","lakes","EGS Data Services","geospatialdatadev@austintexas.gov","Public Domain","Watershed Protection & Development Review",,,"Sustainable Water","N/A","Government that Works for All of Us","N/A","2"
"Communication and Technology Management","https://data.austintexas.gov/d/m5w3-uea6","Street Centerline","gis map","1537","2019-04-16T00:00:00.000","Daily","Locations and Maps","segment,agoltosocrata","EGS Data Services",,"Public Domain",,,,,,,,"8"
"Austin Energy","https://data.austintexas.gov/d/a2da-hhhc","2014: ECAD Commercial Reported Data","dataset","1496","2015-10-07T00:00:00.000","As Needed","Utilities and City Services","ecad,commercial,audit,ordinance,building type,score,energy star score,eui,20110421-002,austin,climate protection","Jessica Galloway","ECADDatabaseAdmin@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Watershed Protection","https://data.austintexas.gov/d/2xn4-j3u2","Austin Fully Developed Floodplain","gis map","1496","2019-03-21T00:00:00.000","As Needed","Locations and Maps","floodplain,flood,development","Rob",,"Public Domain","City of Austin Watershed Protection","https://www.austintexas.gov/department/floodplain-management-and-regulations",,,,,,"6"
"City Clerk","https://data.austintexas.gov/d/3kfv-biw6","Campaign Finance - Contributions Dataset","dataset","1480","2019-05-02T00:00:00.000","As Needed","City Government","election,financial,campaign finance,contributions,city clerk","City of Austin - Elections","elections@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Austin Police","https://data.austintexas.gov/d/iydp-s2cf","R2R 2015","dataset","1477","2016-09-20T00:00:00.000","As Needed","Public Safety","police,r2r,response to resistance","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/k5hp-eece","Plug-In EVerywhere Charging Station Network","dataset","1473","2019-02-27T00:00:00.000","As Needed","Utilities and City Services","""electric vehicles"",ev,""charging network"",""austin energy""","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","N/A","N/A","N/A","2"
"Austin Transportation","https://data.austintexas.gov/d/5zpr-dehc","Traffic Signals on Flash","dataset","1436","2019-05-08T00:00:00.000","Hourly","Transportation and Mobility","transportation,mobility,transit,traffic signals,roadways,intersections","Austin Transportation","john.clary@austintexas.gov","Public Domain","Austin Transportation Deparment",,,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/9xdm-yhmb","Austin Energy Customer Data by Customer Class","dataset","1421","2019-03-27T00:00:00.000","As Needed","Utilities and City Services","residential,industrial,commercial,""percentage of revenue"",kwh,""cents per kwh"",""percentage of mwh"",mwh,""number of customers""","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"N/A","N/A","N/A","N/A","2"
"Austin Transportation","https://data.austintexas.gov/d/n5kp-f8k4","Transportation Data Publication Log","dataset","1401","2018-01-04T00:00:00.000","Hourly","Transportation and Mobility","transportation,transit,mobility,traffic signals,pedestrians","Austin Transportation",,"Public Domain","Austin Transportation Department",,,,,,,"7"
"Office of Sustainability","https://data.austintexas.gov/d/c7z7-zp6h","2015-08-15 Austin Sustainability Indicators","dataset","1392","2019-05-01T00:00:00.000","Annually","City Government","sustainability,indicators,climate,mobility,transportation,ecosystems,zero waste","cavan.merski@austintexas.gov",,"Public Domain","Office of Sustainability",,,,,,,"7"
"Austin Public Health","https://data.austintexas.gov/d/6v78-dj3u","Austin Public Health Locations","dataset","1385","2018-07-20T00:00:00.000","As Needed","Health and Community Services","health,services,location,hours,address,website,phone number","Austin Public Health","PublicHealthOpenData@austintexas.gov","Public Domain","Austin Public Health","http://austintexas.gov/health",,"Healthy Austin","N/A","Health","N/A","1"
