"bill_number","title","sponsor","final_status"
"HB 0463","Civil Rights - Violation of Rights - Governmental Liability","Gabriel Acevero","House - Hearing 3/09 at 1:00 p.m."
"HB 0188","Acupuncture Licensure Requirements","Bonnie Cullison","House - Returned Passed"
"SB 0178","Program Open Space - Local Projects - Federal Funds","Education, Health, and Environmental Affairs","Senate - Approved by the Governor - Chapter 87"
"SB 0839","Maryland Voluntary COVID-19 Vaccine Passport","James Rosapepe","Senate - Hearing 3/02 at 1:00 p.m."
"HB 0180","Interstate Medical Licensure Compact - Sunset Extension and Reporting","Heather Bagnall","House - Returned Passed"
"HB 1002","Sales and Use Tax - Electricity for Agricultural Purposes - Exemption","Eric Luedtke","House - Hearing 3/02 at 1:00 p.m."
"HB 0249","Attorney General - Wrongful Convictions - Investigations","David Moon","House - Hearing 2/01 at 1:00 p.m."
"SB 1009","Prior Authorizations of State Debt - Alterations","Craig Zucker","House - Second Reading Passed with Amendments"
"SB 0860","Solar Energy - School Construction and Community Solar Energy Generating Systems","Nancy King","Senate - Passed Enrolled"
"SB 0864","Public Safety - Police Officers - Emergency Termination","Cory McCray","Senate - Hearing 3/01 at 1:00 p.m."
"HB 0854","Alcoholic Beverages - Maryland Alcohol Manufacturing and Promotion","Jheanelle Wilkins","Senate - Third Reading Passed (47-0)"
"HB 1101","Community Colleges and Private Nonprofit Institutions of Higher Education - Funding","Jessica Feldmark","House - Hearing 3/15 at 1:00 p.m."
"SB 0931","Environment - Impact of Actions on Climate, Labor, and Environmental Justice","Ron Watson","Senate - First Reading Senate Rules"
"HB 0705","Land Use - Reporting - Annual Reports and Development of New Housing","Kumar Barve","House - Withdrawn by Sponsor"
"HB 0031","Maryland Energy Administration - Resiliency Hub Grant Program and Fund","Lorig Charkoudian","House - Returned Passed"
"HB 0118","Public Schools - Student Attendance - Excused Absences for Mental Health Needs","Alonzo Washington","House - Passed Enrolled"
"SB 0135","Climate Crisis and Environmental Justice Act","Benjamin Kramer","Senate - Hearing 2/15 at 1:00 p.m. (Education, Health, and Environmental Affairs)"
"HB 0174","Landlord and Tenant - Repossession for Failure to Pay Rent - Registration and License Information","Mary Lehman","House - Passed Enrolled"
"HB 0594","State Government - Maryland Reparations Commission - Establishment (Harriet Tubman Community Investment Act)","Wanika Fisher","House - Hearing 3/01 at 1:30 p.m."
"SB 0520","Motor Vehicles - Speed Limits - Establishment and Enforcement","Mary Washington","Senate - Returned Passed"
"HB 0929","Department of Housing and Community Development - Opportunity Zone Fund - Establishment","Environment and Transportation","House - Hearing 3/08 at 1:00 p.m."
"HB 0005","State Government - State and Local Government Employees and Contractors - Cybersecurity Training","Carol Krimm","House - Hearing 3/01 at 1:30 p.m."
"HB 0622","Renewable Energy Portfolio Standard and Renewable Energy Credits - Offshore Wind","Benjamin Brooks","Senate - Senate Conference Committee Appointed (Senators Feldman, Hershey and Augustine)"
"HB 0295","Commercial Law - Consumer Protection - Online Marketplace Disclosure Requirements (INFORM Consumers Act of 2022)","Lily Qi","House - Hearing 2/02 at 1:00 p.m."
"SB 0777","Task Force to Study Public Information Act Requests Made to Law Enforcement - Establishment","Jill Carter","Senate - Returned Passed"
"HB 0888","Public School Construction - State Share of Eligible Costs - Regional School","Mike Mckay","House - Hearing 3/08 at 1:00 p.m."
"HB 1034","State Board of Examiners of Nursing Home Administrators - Renaming, Licensure of Assisted Living Managers, and Penalties","Joseline Pena-Melnyk","House - Passed Enrolled"
"SB 0049","Criminal Law - Person in a Position of Authority - Sexual Offenses With a Minor","Chris West","Senate - Hearing 1/19 at 1:00 p.m."
"HB 0992","Income Tax - Earned Income Tax Credit - Alteration and Sunset Repeal","Jheanelle Wilkins","House - Hearing 3/02 at 1:00 p.m."
"SB 0203","Children in Need of Assistance - Custody and Guardianship and Review Hearings","Judicial Proceedings","Senate - Returned Passed"
"HB 1207","Public Safety - Body-Worn Cameras - Costs and Expenses","Carl Anderton","House - Hearing 3/01 at 1:00 p.m. (Judiciary)"
"HB 0240","Montgomery County - Board of Education - Membership MC 16""22","Montgomery County Delegation","House - Hearing 2/03 at 1:00 p.m."
"HB 0617","Property Tax - Credit for Surviving Spouses of Fallen Service Members","Mary Ann Lisanti","House - Passed Enrolled"
"SB 0818","Environment - Permit Applications - Environmental Justice Screening","Arthur Ellis","House - Referred Environment and Transportation"
"SB 0957","Supplemental Nutrition Assistance Program - State Supplement","Jeff Waldstreicher","Senate - First Reading Senate Rules"
"HB 0105","Motor Vehicles - Operation When Approaching Stopped, Standing, or Parked Vehicles","Anne Healey","Senate - Referred Judicial Proceedings"
"SB 0765","Probation - Probation Work Readiness Pilot Program","Charles Sydnor","Senate - Withdrawn by Sponsor"
"SB 0809","Homeowners' Property Tax Credit - Easy Application and Automatic Renewal","Antonio Hayes","Senate - Hearing 3/09 at 2:00 p.m."
"HB 0007","Reckless and Negligent Driving - Death of Another - Must?Appear Violation (Sherry's and Christopher's Law)","Kathy Szeliga","House - Hearing 1/19 at 1:00 p.m."
"SB 0275","Labor and Employment - Family and Medical Leave Insurance Program - Establishment (Time to Care Act of 2022)","Antonio Hayes","House - Gubernatorial Veto Override (Legislative date: 4/8/2022) - Chapter 48"
"HB 1239","Environment - Plastic and Glass Products - Postconsumer Recycled Content Program","Jen Terrasa","House - Hearing 3/09 at 2:15 p.m. (Environment and Transportation)"
"SB 0558","Public Safety - Law Enforcement - Body-Worn Cameras","Charles Sydnor","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0862","Election Law - Ballot Canvassing - Multiple Ballots Cast by an Individual","Jessica Feldmark","Senate - Third Reading Passed (29-13)"
"HB 0876","Maryland Forestry Education Fund - Establishment","Dana Stein","Senate - Hearing 3/30 at 1:00 p.m."
"HB 0362","Montgomery County - Voting Methods MC 13-22","Montgomery County Delegation","House - Hearing 2/08 at 1:00 p.m."
"HB 0067","Correctional Services - Restrictive Housing - Direct Release","Jazz Lewis","House - Returned Passed"
"HB 0235","Open Meetings Act - Definition - Administrative Function","Alfred Carr","House - Withdrawn by Sponsor"
"HB 1068","Local Health Departments, Environmental Health Specialists, and On-Site Sewage Disposal Systems - Systems Standards, Regulations, Applications, and Funding","Dana Stein","House - Hearing 3/02 at 1:00 p.m. (Environment and Transportation)"
"HB 0039","Report on the Public or Private Conversion of State Property to Affordable Housing","Pamela Queen","House - Hearing 1/25 at 1:00 p.m."
"SB 0838","Transportation - Elderly and Handicapped Transportation Service - County Funding","Ronald Young","Senate - Returned Passed"
"SB 0538","Land Use - Agritourism - Definition","Mary Carozza","House - Referred Environment and Transportation"
"SB 0930","Homeowners"" Property Tax Credit - Eligibility and Calculation - Alterations","Pamela Beidle","Senate - First Reading Senate Rules"
"HB 0570","Pesticides - Mosquito Control Products and PFAS Chemicals","Dana Stein","House - Hearing 3/02 at 1:30 p.m."
"SB 0563","Real Property - Actions to Repossess - Judgment for Tenants and Proof of Rental Licensure","Shelly Hettleman","Senate - Passed Enrolled"
"SB 0153","Property Tax - Homeowners' Property Tax Credit - Definition of Gross Income","Pamela Beidle","Senate - Hearing 1/18 at 1:00 p.m."
"HB 0579","Military Veterans Trust Fund - CAM for Veterans Grant Program - Established (David Perez Military Heroes Act (End 22 a Day))","Dan Cox","House - Hearing 2/22 at 1:00 p.m."
"HB 0712","Landlord and Tenant - Access to Counsel in Evictions Special Fund - Mandatory Appropriation","Samuel Rosenberg","House - Hearing 2/16 at 1:00 p.m."
"HB 0387","Pesticide Regulation - Transfer to Department of the Environment","Sheila Ruth","House - Withdrawn by Sponsor"
"HB 0219","Dental Hygienists - Consultation Requirements - Health Care Practitioners","Ariana Kelly","House - Returned Passed"
"SB 0292","Environment - Packaging Materials - Producer Responsibility","Malcolm Augustine","Senate - Hearing 2/17 at 1:00 p.m."
"HB 0668","Public Health - Removal of Health Officer","Mary Ann Lisanti","House - Hearing 3/02 at 1:30 p.m."
"HB 1231","Public Schools - Student Health Professional Retention Program - Established","Eric Ebersole","House - Hearing 3/08 at 1:00 p.m."
"HB 0169","Elections - Voter Registry - Notification and Removal of Deceased Individuals","Wayne Hartman","House - Withdrawn by Sponsor"
"HB 1001","Human Services - Office of Home Energy Programs - Power to the People Pilot Program Personnel and Uniform Redetermination Process","Ned Carey","House - Returned Passed"
"HB 0636","Maryland Health Care Commission - Assisted Living Programs - Study","Lisa Belcastro","House - Returned Passed"
"SB 0352","Election Law - Ballots - Processing and Reporting Procedures","Clarence Lam","Senate - Withdrawn by Sponsor"
"SB 0980","Property Tax - Tax Sales - Restriction of Bidders","George Edwards","Senate - First Reading Senate Rules"
"SB 0437","Agriculture - University of Maryland Extension - Urban Farmer Assistance","Cory McCray","Senate - Returned Passed"
"HB 0702","Election Judges - Training and Signs - Accommodations for Voters in Need of Assistance","Terri Hill","House - Hearing 2/15 at 1:00 p.m."
"SB 0731","Vehicle Towing or Removal - Secured Parties - Electronic Notification","Ron Watson","Senate - Passed Enrolled"
"SB 0554","Maryland New Start Act of 2022","Obie Patterson","House - Hearing 3/30 at 1:00 p.m."
"HB 0977","Prevailing Wage Rate - Public School Construction - Moratorium","Trent Kittleman","House - Unfavorable Report by Economic Matters"
"SB 0523","Health Occupations - Licenses, Certificates, and Registration - Immigrants","Cheryl Kagan","House - Hearing 4/07 at 12:00 p.m."
"SB 0767","Criminal Procedure - Human Trafficking - Vacatur and Expungement","Susan Lee","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0861","Public Safety - Firearm Crimes - Enforcement Center, Offenses, and Procedures","Pamela Beidle","House - Third Reading Passed (93-39)"
"SB 0236","Maryland Veterans Trust Fund - CAM for Veterans Grant Program - Established (David Perez Military Heroes Act (End 22 a Day))","Johnny Salling","Senate - Hearing 1/25 at 2:30 p.m."
"HB 0303","Public Safety - Maryland Swimming Pool and Spa Standards - Adoption","Dana Stein","House - Passed Enrolled"
"HB 1058","Justice and Public Health Prioritization Council","David Moon","House - Hearing 3/08 at 1:00 p.m. (Judiciary)"
"HB 0254","State Highway Administration - Pedestrian and Bicyclist Fatalities - Infrastructure Review (Vision Zero Implementation Act of 2022)","Julie Palakovich Carr","House - Returned Passed"
"HB 1005","Maryland Medical Assistance Program - Community Violence Prevention Services","Stephanie Smith","Senate - Third Reading Passed (47-0)"
"SB 0331","Program for Preventing HIV Infection for Rape Victims - Alterations and Repeal of Sunset","Nancy King","Senate - Returned Passed"
"HB 0138","Department of Human Services - Electric Universal Service Program - Eligibility","Lorig Charkoudian","House - Hearing 1/20 at 1:00 p.m."
"SB 1006","Hemp Farming Program - Use of Hemp and Hemp Products in Consumable Products","Guy Guzzone","House - Favorable with Amendments Report by Environment and Transportation"
"HB 1442","Criminal Procedure - Expungement of Records - Modifications","Curtis Anderson","House - Hearing 3/15 at 1:00 p.m."
"HB 0442","Baltimore City - Cigarettes, Other Tobacco Products, and Electronic Smoking Devices - Local Laws Authorization","Samuel Rosenberg","House - Unfavorable Report by Economic Matters"
"SB 0112","Election Law - False Ballot Drop Boxes - Criminal Penalty","Cheryl Kagan","Senate - Hearing 1/26 at 1:30 p.m."
"SB 0598","Income Tax - Work Opportunity Tax Credit","Guy Guzzone","Senate - Approved by the Governor - Chapter 5"
"SB 0313","Civil Actions - Damages - Use of Race, Ethnicity, and Gender Data","Jill Carter","House - Referred Rules and Executive Nominations"
"HB 0449","Property Tax - Renters' Property Tax Relief Program - Application Period","Stephanie Smith","House - Returned Passed"
"HB 1087","Opioid Restitution Fund - State-Subdivision Agreement and Grant Program","Samuel Rosenberg","House - Withdrawn by Sponsor"
"HB 0897","Economic Development - Sports Entertainment Facilities and Events, Prince George's County Blue Line Corridor Facilities, and Racing Facilities","Appropriations","House - Returned Passed"
"HB 0521","Landlord and Tenant - Repossession for Failure to Pay Rent - Shielding of Court Records","Joseline Pena-Melnyk","House - Returned Passed"
"HB 0384","Public and Nonpublic Schools - Bronchodilator and Epinephrine Availability and Use - Policies","Regina Boyce","Senate - Hearing 4/05 at 1:00 p.m."
"HB 0173","State Board of Social Work Examiners - Temporary License to Practice Social Work","Heather Bagnall","House - Hearing 2/03 at 2:30 p.m."
"HB 0015","Invasive and Native Plants - Classification, Listing, and Use","Eric Luedtke","House - Returned Passed"
"SB 0238","Public Schools - Crossing Guards - Hiring and Budget Allocation","Johnny Salling","Senate - Unfavorable Report by Education, Health, and Environmental Affairs"
"HB 1486","Motor Fuel Taxes - Tax""Free Period","Steve Johnson","House - Approved by the Governor - Chapter 1"
"HB 1184","Police Accountability Boards and Administrative Charging Committees - Municipal Corporations","Brenda Thiam","House - Hearing 3/01 at 1:00 p.m."
"SB 0385","Health - Disclosure of Medical Records - Penalty","Pamela Beidle","Senate - Hearing 2/09 at 1:00 p.m."
"HB 0059","Ethics - Local Governments - Registration of Lobbyists","Alfred Carr","Senate - Hearing 3/23 at 1:00 p.m."
"HB 0880","Environment - Impact of Actions on Climate, Labor, and Environmental Justice","Regina Boyce","House - Hearing 3/02 at 1:00 p.m. (Environment and Transportation)"
"SB 0300","Criminal Procedure - Victims of Sexually Assaultive Behavior","Michael Hough","Senate - Hearing 3/15 at 1:00 p.m."
"HB 0624","Electricity - Standard Offer Service - Renewable Energy","Benjamin Brooks","House - Withdrawn by Sponsor"
"SB 0091","Business Regulation - Innkeepers - Maintenance of Guest Records and Employee Human Trafficking Awareness Training and Policy","Michael Jackson","Senate - Returned Passed"
"SB 0847","Libraries - Capital Projects - State Share Adjustments","George Edwards","Senate - Passed Enrolled"
"HB 0829","Department of the Environment - Zero""Emission Medium and Heavy Duty Vehicles - Regulations (Zero""Emission Truck Act of 2022)","Sara Love","House - Hearing 2/25 at 1:00 p.m."
"HB 0855","Agriculture - Urban Agriculture Water and Power Infrastructure Grant Program and Fund - Establishment","Regina Boyce","House - Passed Enrolled"
"HB 1312","Public Safety - Resilient Maryland Revolving Loan Fund - Alterations","Courtney Watson","House - Returned Passed"
"HB 0108","Public Utilities - Energy Efficiency and Conservation Programs - Energy Performance Targets and Low-Income Housing","Lorig Charkoudian","House - Returned Passed"
"HB 0232","Montgomery County - Alcoholic Beverages - Class B Beer, Wine, and Liquor (Clubhouse/Lodge) License - Manufacturer's Licenses MC 23-22","Montgomery County Delegation","House - Returned Passed"
"SB 0749","Public Safety - 3-1-1 Systems - Nonemergency Information","Cheryl Kagan","Senate - Hearing 3/08 at 1:00 p.m."
"HB 1424","Workgroup on the Post-COVID-19 Crisis Economic Transition","Robbyn Lewis","House - Unfavorable Report by Economic Matters"
