"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20221903","2022-07-05T00:00:00.000","2022-07-06T00:00:00.000","Case Description From 311: I have noticed on multiple occasions that there is a pile of trash bags and other garbage at this location. The bags are often ripped and trash spills into the street and, no doubt, into Northwest Branch. People then drop their own trash here, assuming it is a sanctioned pickup location. 
The location, specifically, is on the West side of Carroll Ave. at the entrance to a driveway that serves a number of townhouses (8740 is the end house in that development, I believe. However, I don't have reason to believe that that house is implicated - it is just the nearest location to the open dumping site). 
Here is the Google coordinate: https://www.google.com/maps/place/38%C2%B059'55.6%22N+76%C2%B059'28.4%22W/@38.9986961,-76.9909132,19.21z/data=!4m5!3m4!1s0x0:0xf8de7ca651344359!8m2!3d38.9987838!4d-76.9912162?hl=en-US","2022","Solid Waste","Residential","8740","CARROLL","Silver Spring","20903","POINT (-76.991023 38.998955)"
"20221904","2022-07-05T00:00:00.000","2022-07-06T00:00:00.000","Case Description From 311: report trash dumping along the street and sidewalk, request for trash to be p/u","2022","Solid Waste","Public Land","11500","OLD COLUMBIA","Silver Spring","20904","POINT (-76.985568 39.046927)"
"20221882","2022-06-30T00:00:00.000","2022-07-06T00:00:00.000","Case Description From 311: SR Open date :06/30/2022 07:4: Reporting that someone has dumped a mattress at verified location, it's up against a fence.","2022","Solid Waste","Residential","8700","Barron","SILVER SPRING","20901","POINT (-76.997186 38.998078)"
"20221729","2022-06-05T00:00:00.000","2022-07-05T00:00:00.000","Case Description From 311: The neighbor behind my house, Dolores Duncan, living at 9405 Sunnyfield Ct. has been and is continuously dumping on my property.  Mounds of debris to include storm Debris from her yard, years of yard waste and grass clippings form a mountain, old fence posts and rails dumped on my property.  I include pictures of her gate that leads to my property giving her access to dump freely. Please help!!!, 1495318217 : My neighbors behind me, at 9405 Sunnyfield Ct., have been dumping yard waste, leaves, storm debris (tree limbs, branches) on my property.  They have a gate that opens into a wooded part of my property. I would like the debris cleaned up and the gate removed.","2022","Solid Waste","Public Land","9400","WOODINGTON","POTOMAC","20854","POINT (-77.193453 39.041243)"
"20221894","2022-07-05T00:00:00.000","2022-07-05T00:00:00.000","Case Description From 311: To the side of the townhouse at this location, residents from Chelaberry Ct  and Cherry Laurel Ln often dump furniture and appliances illegally on the grass or storm drain that sits between the home at 18407 Cherry Laurel Ln and the back of homes on Chelaberry Ct.","2022","Solid Waste","Residential","18407","CHERRY LAUREL","Gaithersburg","20879","POINT (-77.164764 39.159691)"
"20221893","2022-07-05T00:00:00.000","2022-07-05T00:00:00.000","Case Description From 311: Dumping has occurred multiple times near in the wooded area to the side of this home.   Dumped items have included dangerous wood debris with protruding nails.","2022","Solid Waste","Residential","8101","CRABAPPLE","Gaithersburg","20879","POINT (-77.166985 39.159381)"
"20221368","2022-03-28T00:00:00.000","2022-07-01T00:00:00.000","Case Description From 311: SR Open date :03/25/2022 12:4: There continues to be illegal dumping by the same resident (13608 Deerwater Dr.) who places items along Waters Landing Drive behind his backyard fence.  The items remain there for months until I contact 311 to report it.  There were also dumpings of tree trimmings and leaves in the same area which were recently removed.  There is a pile of leaves there as well.  There was another dumping of tree trimmings and rotted building materials that was dumped alongside the road and left for over a month.  It was removed within the last couple of days.  There needs to be signs placed alongside this street stating that illegal dumping can result in a fine of  up to $1000.  I have asked for this in the past.  The resident at the intersection of Father Hurley Drive and Wynnfield Drive needs to be warned that further dumping will result in a fine.  He has dumped his unwanted items behind his home approximately 15-20 times and I have called 311 every time to get the items removed.","2022","Solid Waste","Public Land","13608","Deerwater","GERMANTOWN","20876","POINT (-77.280919 39.191979)"
"20221875","2022-06-28T00:00:00.000","2022-06-29T00:00:00.000","Case Description From 311: Anonymous Caller stated that someone is illegally dumping in the back of house address by the retention pond in the back of Address given and the address given is the closes to where it can be seen. Mattress and other items-","2022","Solid Waste","Residential","1820","Franwall","SILVER SPRING","20902","POINT (-77.039516 39.046067)"
"20221634","2022-05-16T00:00:00.000","2022-06-29T00:00:00.000","Anonymous complaint alleging workers dumped lumber into the woods from a deck renovation at 3630 Van Horn Way, Burtonsville.","2022","Solid Waste","Residential","3630","VAN HORN","BURTONSVILLE","20866","POINT (-76.934839 39.086409)"
"20221642","2022-05-18T00:00:00.000","2022-06-28T00:00:00.000","Case Description From 311: SR Open date :05/17/2022 12:4: There is constant littering and dumping on Gold Mine Road.  Every Tuesday I go down the street and have to pick up trash.  There also has been a start of excessive plastic bags with poop dumping in the storm drain area.  Can we please get some littering signs that indicate fines?  What can be done?","2022","Solid Waste","No Dumping Signage","2211","GOLD MINE","BROOKEVILLE","20833","POINT (-77.04789 39.176457)"
"20221718","2022-06-02T00:00:00.000","2022-06-27T00:00:00.000","Case Description From 311: Caller reports the given address is being used as trash dumper, caller saw many trucks with construction materials dumping off trash in the field of the given address which is a nursing home.","2022","Solid Waste","Commercial","17500","SKYLINE","Ashton","20861","POINT (-76.981327 39.142755)"
"20221850","2022-06-23T00:00:00.000","2022-06-27T00:00:00.000","Case Description From 311: SR Open date :06/22/2022 16:0: Lots of trash dumped there for more than one week including bedframe box spring various pieces of wood and a lot of other trash","2022","Solid Waste","Residential","1701","FEATHERWOOD","SILVER SPRING","20904","POINT (-76.974282 39.059358)"
"20221851","2022-06-23T00:00:00.000","2022-06-23T00:00:00.000","Case Description From 311: Pile of block/general trash along Scenery dr behind 19704 maycrest way area.","2022","Solid Waste","Public Land","19704","MAYCREST","Germantown","20876","POINT (-77.229871 39.178522)"
"20221795","2022-06-13T00:00:00.000","2022-06-22T00:00:00.000","Case Description From 311: caller is reporting someone illegal dumping of 2 mattress and a large trash bag
the caller is calling from the apartment complex management (she is the property manger). She recorded them through there surveillance cameras they have install by the dumpster, she also has the tag number 3EP3431 Subaru Forster and 3EA5706 Honda CRV. These were the cars that came and illegal dump this stuff. she requesting help from the county about this matter .
The apartment complex name is Carroll apartments","2022","Solid Waste","Residential","8739","CARROLL","Silver Spring","20903","POINT (-76.990643 38.99955)"
"20221813","2022-06-15T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: Across from 12409 Pueblo road people are dumping yard waste and trees in the ditch.  The other day the owners of 12401 Pueblo Road cut down a complete tree that was on the front corner of their house and put it in the ditch.","2022","Solid Waste","Public Land","12401","Pueblo","GAITHERSBURG","20878","POINT (-77.256505 39.12677)"
"20221803","2022-06-14T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: SR Open date :06/14/2022 09:5: Resident reports that SR address is dumping their household trash bags and yard trim onto the ROW of 18714 Severn Rd.  Most recently, they did this 6/9/22 but say it is happening weekly. Caller demands this be investigated as illegal dumping and the owner's of SR address be addressed by county for the dumping. Trash and Yard Trim crews have taken the items-no debris pick up entered.  Caller insists on filing this as illegal dumping still as it happens weekly","2022","Solid Waste","Residential","18712","Severn","Gaithersburg","20879","POINT (-77.193834 39.16356)"
"20221529","2022-04-26T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: SR Open date :04/21/2022 15:5: Neighbors are dumping leaves and branches in county storm drain causing drain to overflow into my yard. Please clean it up.","2022","Solid Waste","Public Land","4111","BEL PRE","Rockville","20853","POINT (-77.081768 39.092587)"
"20221522","2022-04-25T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: SR Open date :04/25/2022 04:0: Neighbor has been illegally dumping the same yard waste on or in front of my property for 3 weeks.","2022","Solid Waste","Residential","11605","Gowrie","POTOMAC","20854","POINT (-77.179827 39.046331)"
"20221766","2022-06-09T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: Residents keep dumping their furniture and sometimes people that don't even live in the neighborhood come and dump things at the end of the road.
The is trash everywhere as well because no one picks up their own trash which also bring unwanted rodents to the area and potentially get attacked by them trying to redirect them away from our homes in the area.","2022","Solid Waste","No Dumping Signage",,"Shaftsbury","KENSINGTON","20895",
"20221587","2022-05-04T00:00:00.000","2022-06-21T00:00:00.000","Case Description From 311: There is piles of debris outside the required construction fencing behind an ongoing new home construction site.","2022","Solid Waste","Residential","11213","MIDVALE","Kensington","20895","POINT (-77.061782 39.039614)"
"20221823","2022-06-16T00:00:00.000","2022-06-16T00:00:00.000","Case Description From 311: SR Open date :06/15/2022 16:5: Behind my home is a path.  Someone dumped a garbage bag full of trash.  This was done on 6/14/22.  I waited until now to report hoping the person who dumped it would return if it was an accident.  It is still there.","2022","Solid Waste","Residential","111","KESTREL","Gaithersburg","20879","POINT (-77.209822 39.163347)"
"20221712","2022-06-01T00:00:00.000","2022-06-16T00:00:00.000","Case Description From 311: SR Open date :06/01/2022 09:5: Caller would iike to report someone dumping waste in her yard","2022","Solid Waste","Residential","1006","QUEBEC","SILVER SPRING","20903","POINT (-76.989453 38.999793)"
"20221480","2022-04-14T00:00:00.000","2022-06-16T00:00:00.000","Request from Eric Hunt for a no dumping sign along Grandview Ave, Wheaton.","2022","Solid Waste","No Dumping Signage","11301","Grandview","SILVER SPRING","20902","POINT (-77.052876 39.0407)"
"20221637","2022-05-17T00:00:00.000","2022-06-13T00:00:00.000","Case Description From 311: Pile of trash dumped in our neighborhood.

Suspect's name and address were on boxes. (pics available)

Seeking trash removal and prosecution of the dumper.

Jasmine Jones
17705 Georgia Ave.
Olney, MD 20832
202-460-7685","2022","Solid Waste","Residential",,"King William","OLNEY","20832",
"20221767","2022-06-09T00:00:00.000","2022-06-13T00:00:00.000","Case Description From 311: Customer (owner of 12201 Connecticut Ave) file a complaint against his neighbor (12100 Edgemont St) for littering/illegal dumping trash onto his property. He requests to speak with supervisor/specialist about this situation. He informed CSR that he had generated a SR from MC 311, 1493106272-CSR is unable to pull it out from the system; DHCA complaint filed, case 172653, handled by inspector 	Heather A. Detrick.","2022","Solid Waste","Residential","12100","EDGEMONT","SILVER SPRING","20902","POINT (-77.073231 39.054665)"
