"title","date","month","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"Family Evening Storytime -- BUILD IT!!","2016-07-20T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","ACE - All Children Excel","Storytime",,"Preschool and Kindergarten","Elementary School Age",,"Come join us for fun as we read stories about building structures, sing songs, and enjoy fingerplays. Then we'll do some creative building of our own! This storytime is geared toward preschool, kindergarten and early elementary aged children. No registration necessary.",,"Yes","42"
"Tutoring and Homework Help","2016-07-18T00:00:00.000","Jul","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Pajama Storytime!","2016-07-18T00:00:00.000","Jul","FY 17","Maggie Nightingale (Poolesville)","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"Stories, rhymes, songs and more for ages three to six with an adult. Pajamas not required but encouraged!",,"Yes","31"
"Baby Storytime","2016-07-19T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","53"
"Blocks: Play and Exploration","2016-07-19T00:00:00.000","Jul","FY 17","Wheaton","Science & Math (STEM)","ACE - All Children Excel",,"Babies and Toddlers","Preschool and Kindergarten",,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,"Yes","8"
"Baby Storytime","2016-07-19T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","28"
"Baby Storytime","2016-07-19T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"No",
"Rhyme Time Storytime","2016-07-27T00:00:00.000","Jul","FY 17","Long Branch","Science & Math (STEM)","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,"Yes","45"
"Mommy & Me (& Daddy Too!)","2016-07-19T00:00:00.000","Jul","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. A summertime program for children and families. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","100"
"Mommy & Me (& Daddy Too!)","2016-07-19T00:00:00.000","Jul","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten","Babies and Toddlers",,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. A summertime program for children and families. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,"Yes","70"
"Tutoring and Homework Help","2016-07-19T00:00:00.000","Jul","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-07-19T00:00:00.000","Jul","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Family Storytime","2016-07-20T00:00:00.000","Jul","FY 17","Silver Spring","ACE - All Children Excel","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,"Yes","80"
"Summer Family Storytime","2016-07-20T00:00:00.000","Jul","FY 17","Silver Spring","ACE - All Children Excel","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"5th floor. Come join our children's staff for songs and stories. Ages 0-5. Please choose one time- we expect large crowds.",,"No",
"Rhyme Time Storytime","2016-07-20T00:00:00.000","Jul","FY 17","Long Branch","Science & Math (STEM)","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,"Yes","17"
"Toddler & Preschool Storytime","2016-07-21T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,"Yes","54"
"Toddler & Preschool Storytime","2016-07-21T00:00:00.000","Jul","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Preschool and Kindergarten",,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,"Yes","64"
"Construction Crew: DUPLO","2016-07-21T00:00:00.000","Jul","FY 17","Damascus","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Preschool and Kindergarten","Babies and Toddlers",,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,"Yes","13"
"Tutoring and Homework Help","2016-07-21T00:00:00.000","Jul","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-07-21T00:00:00.000","Jul","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Sciencetellers present Race Against Time (Power and Energy)","2016-07-22T00:00:00.000","Jul","FY 17","Twinbrook","Science & Math (STEM)","ACE - All Children Excel","Special Event","Elementary School Age","Preschool and Kindergarten",,"Join us on a fast-paced summer adventure as we make things fly, bounce, transform and soar while telling a series of stories bound to energize and engage! Throw on your lab coat and buckle in -- you are about to experience the science of power and energy through several exciting, hands-on experiments that will have the audience laughing, learning and having fund! for children of all ages. Sponsored by the Friends of the Library Montgomery County, Inc. STEM program. A summertime program for children and families. Space is limited. Only the first 110 people will be admitted to the program.",,"Yes","79"
