"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.130126792597 30.45040517693)","480","EBR Council on Aging","MUNICIPAL OFFICES","COUNCIL ON AGING","CITY/PARISH","5790 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"97359"
"POINT (-91.026959944967 30.366116913993)","323","St George FD Station 60","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","14100 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809",,,"26272"
"POINT (-91.194405450798 30.524498943269)","467","Southern University","UNIVERSITY","STATE OF LOUISIANA","STATE","803 HARDING BLVD","BATON ROUGE","LOUISIANA","70813",,,"130280"
"POINT (-91.116022389251 30.39812542716)","458","Perkins Rd Park Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","7122 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,"http://www.ebrcoa.org/","108627"
"POINT (-91.189004184622 30.462779652993)","491","Capitol Complex Central Plant North","STATE OFFICES","STATE OF LOUISIANA","STATE","1835 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"142436"
"POINT (-91.159758566487 30.527570926913)","479","EBR Sheriff's Office Special Ops & Fleet Services","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","8686 GENERAL CHENNAULT DR","BATON ROUGE","LOUISIANA","70807","225-907-0963",,"144601"
"POINT (-91.098900103779 30.446928170522)","465","Children's Behavioral Health","HEALTH CARE","CAPITAL AREA HUMAN SERVICES DISTRICT","STATE","422 COLONIAL DR","BATON ROUGE","LOUISIANA","70806","225-922-0445","http://www.cahsd.org","81295"
"POINT (-91.187825015892 30.470695102194)","476","Traffic Engineering Division","PUBLIC WORKS","DEPARTMENT OF TRANSPORTATION AND DRAINAGE","CITY/PARISH","329 CHIPPEWA ST","BATON ROUGE","LOUISIANA","70805",,,"138978"
"POINT (-91.172598444372 30.451389198536)","488","Federal Emergency Management Agency","PUBLIC SAFETY","US FEDERAL GOVERNMENT","FEDERAL","1500 MAIN ST","BATON ROUGE","LOUISIANA","70802",,,"30387"
"POINT (-91.017856591325 30.705828198418)","499","Pride VFD Station 13","FIRE PROTECTION","PRIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","13467 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770",,,"162528"
"POINT (-91.137366368568 30.450014041658)","520","LADOTD Materials and Testing Lab","STATE OFFICES","STATE OF LOUISIANA","STATE","5080 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"136907"
"POINT (-91.156678793861 30.498165082636)","503","US Post Office - Istrouma","POSTAL","US POSTAL SERVICE","FEDERAL","5200 LONGFELLOW DR","BATON ROUGE","LOUISIANA","70805",,,"90701"
"POINT (-91.103986435702 30.448175890048)","496","LSP Crime/Photo Lab","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","376 E AIRPORT AVE","BATON ROUGE","LOUISIANA","70806",,,"133316"
"POINT (-91.124964948254 30.346888453924)","461","Ben Burge Park Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","9350 ANTIGUA DR","BATON ROUGE","LOUISIANA","70810",,"http://www.ebrcoa.org/","124680"
"POINT (-91.108788653716 30.449662138369)","497","Gov. Office of Homeland Security and Emer. Prep.","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","7667 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133309"
"POINT (-91.11705427222 30.474075518634)","489","BR Behavioral Health Addiction Recovery Services","HEALTH CARE","CAPITAL AREA HUMAN SERVICES DISTRICT","STATE","2751 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70805","225-925-1906","http://www.cahsd.org","63939"
"POINT (-91.123139793929 30.401049333088)","498","Pennington Biomedical Research Center","UNIVERSITY","STATE OF LOUISIANA","STATE","6400 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,,"103451"
"POINT (-91.138202981687 30.446642503819)","521","LA Community & Technical College System","UNIVERSITY","STATE OF LOUISIANA","STATE","265 S FOSTER DR","BATON ROUGE","LOUISIANA","70806",,,"133020"
"POINT (-91.100599001538 30.403903419647)","485","Department of Veterans Affairs Outpatient Clinic","HEALTH CARE","US FEDERAL GOVERNMENT","FEDERAL","7968 ESSEN PARK AVE","BATON ROUGE","LOUISIANA","70809",,,"114632"
"POINT (-91.144651221835 30.521170461173)","505","US Post Office - Scotlandville","POSTAL","US POSTAL SERVICE","FEDERAL","7980 PLANK RD","BATON ROUGE","LOUISIANA","70811",,,"114689"
"POINT (-91.113875937933 30.454238240875)","464","Capital Area Human Services District","HEALTH CARE","CAPITAL AREA HUMAN SERVICES DISTRICT","STATE","7389 FLORIDA BLVD, STE 100","BATON ROUGE","LOUISIANA","70806","225-922-2700","http://www.cahsd.org","218845"
"POINT (-91.038839828009 30.554232770489)","511","US Post Office - Central","POSTAL","US POSTAL SERVICE","FEDERAL","13579 HOOPER RD","CENTRAL","LOUISIANA","70818",,,"201931"
"POINT (-91.226584142238 30.662739647199)","462","Flonacher Rd Park Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","864 FLONACHER RD","ZACHARY","LOUISIANA","70791",,"http://www.ebrcoa.org/","153295"
"POINT (-91.143222680436 30.530616695254)","493","Civil Air Patrol","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","9163 BLANCHE NOYES AVE","BATON ROUGE","LOUISIANA","70807",,,"159438"
"POINT (-91.032992979057 30.408021311347)","509","US Post Office - Woodlawn","POSTAL","US POSTAL SERVICE","FEDERAL","4700 MILLWOOD DR","BATON ROUGE","LOUISIANA","70817",,,"85942"
"POINT (-91.106214246691 30.450442422664)","516","DPS Support, Warehouse, Supply","STATE OFFICES","STATE OF LOUISIANA","STATE","290 E AIRPORT AVE","BATON ROUGE","LOUISIANA","70806",,,"133311"
"POINT (-91.118228244217 30.431887888123)","519","Center for Advanced Microstructures and Devices","UNIVERSITY","STATE OF LOUISIANA","STATE","6980 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"107656"
"POINT (-91.090874445517 30.444302580944)","472","19th Judicial District Court Branch Office","STATE OFFICES","STATE OF LOUISIANA","STATE","9050 AIRLINE HWY, STE 100","BATON ROUGE","LOUISIANA","70815",,,"229201"
"POINT (-91.182341152844 30.447596637978)","478","EBR Redevelopment Authority","MUNICIPAL OFFICES","COMMUNITY DEVELOPMENT","CITY/PARISH","801 NORTH BLVD","BATON ROUGE","LOUISIANA","70802",,,"114780"
"POINT (-91.076089532457 30.347569257747)","459","Highland Rd Park Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","14024 HIGHLAND RD","BATON ROUGE","LOUISIANA","70810",,"http://www.ebrcoa.org/","25999"
"POINT (-91.172319366768 30.535902009209)","463","Jewel J. Newman Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","2013 CENTRAL RD","BATON ROUGE","LOUISIANA","70807",,"http://www.ebrcoa.org/","51324"
