"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2020-00020000","2020-06-06T20:00:00.000","2020-06-06T20:00:00.000","2020-06-06T20:33:21.000","Unfounded","2020-06-06T20:33:21.000","Crimes Against Persons","18-3-405.3(2)(a) F3 (3)","Sexual Assault on a Child-Position of Trust Victim under 15","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Falcon"
"2019-00081493","2019-04-22T15:00:00.000","2019-04-22T16:55:00.000","2019-04-22T17:07:50.000","Open","2019-04-22T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,,"Colorado Springs",,,
"2019-00042557","2019-11-14T05:09:00.000","2019-11-14T05:09:00.000","2019-11-14T05:09:00.000","Cleared by Arrest","2019-11-14T05:09:00.000","Crimes Against Society","16-19-103#A","FUGITIVE FROM JUSTICE WARRANT","90Z","All Other Offenses","4902","Flight to Avoid-(Prosecution, confinement, etc.)","No",,"COLORADO SPRINGS",,,
"2017-00009922","2016-12-01T00:01:00.000","2016-12-01T00:01:00.000","2017-03-13T10:04:00.000","Open","2017-03-13T10:04:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","Yes",,,,,"Sand Creek"
"2021-00001172","2021-01-02T10:00:00.000","2021-01-02T10:30:00.000","2021-01-02T13:20:41.000","Open","2021-01-02T13:20:41.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Sand Creek"
"2020-00038240","2020-11-03T19:30:00.000","2020-11-03T19:30:00.000","2020-11-03T19:47:53.000","Cleared by Arrest","2020-11-03T19:47:53.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","No",,,,,"Stetson Hills"
"2020-00022412","2020-06-27T22:00:00.000","2020-06-27T22:50:00.000","2020-06-27T22:58:54.000","Cleared by Arrest","2020-06-28T00:00:00.000","Crimes Against Society","18-4-506 M2 (1)","2nd Degree Criminal Tampering","90Z","All Other Offenses","7199","Property Crimes","Yes",,,,,"Falcon"
"2022-00016331","2022-04-29T06:45:00.000","2022-04-29T06:56:00.000","2022-04-29T06:56:50.000","Cleared by Arrest","2022-06-19T00:00:00.000","Crimes Against Persons","18-3-302(5) F4 (1)","2nd Degree Kidnapping - Seizes/Carries Adult","100","Kidnapping/Abduction","1006","Kidnap Adult","Yes",,,,,
"2020-00014048","2020-04-06T04:00:00.000","2020-04-15T04:00:00.000","2020-04-15T16:33:55.000","Open","2020-04-16T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Gold Hill"
"2020-00011501","2020-03-23T08:40:00.000","2020-03-23T08:49:00.000","2020-03-23T08:49:32.000","Open","2020-03-23T08:49:32.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,"COLORADO SPRINGS",,,
"2017-00005990","2017-02-07T21:00:00.000","2017-02-10T04:40:00.000","2017-02-10T04:47:20.000","Open","2017-02-10T04:47:20.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
"2020-00006095","2020-01-10T12:00:00.000","2020-01-11T12:00:00.000","2020-02-08T13:25:34.000","Open","2020-02-08T13:25:34.000","Crimes Against Persons","18-3-303(1) M2","False Imprisonment","100","Kidnapping/Abduction","1008","Abduct-No Ransom or Assault","No",,,,,"Stetson Hills"
"2017-00005039","2017-02-02T03:00:00.000","2017-02-02T04:00:00.000","2017-02-02T05:29:48.000","Open","2017-02-02T05:29:48.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,"COLORADO SPRINGS",,,
"2016-00008359","2016-02-08T15:45:00.000","2016-02-23T16:30:00.000","2016-02-24T11:42:22.000","Person Returned","2016-03-02T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1600 CHAPEL HILLS DR","COLORADO SPRINGS","80920",,
"2017-00034973","2017-09-26T01:00:00.000","2017-09-26T01:55:00.000","2017-09-26T01:56:05.000","Cleared by Arrest","2017-09-26T01:56:05.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Stetson Hills"
"2017-00009665","2017-03-10T22:30:00.000","2017-03-10T22:37:00.000","2017-03-10T22:32:00.000","Unfounded","2017-03-10T22:32:00.000","Crimes Against Society","42-4-1101 TIA","Speed Limits Exceeded","99","Not Reportable",,,"No",,"COLORADO SPRINGS",,,
"2021-00021271","2021-06-03T19:00:00.000","2021-06-04T06:00:00.000","2021-06-07T16:50:54.000","Open","2022-02-14T00:00:00.000","Crimes Against Persons","18-3-402(1)(b) F4 (03)","Sexual Assault Victim Incapable - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Sand Creek"
"2021-00025623","2021-07-11T14:50:00.000","2021-07-11T14:50:00.000","2021-07-11T14:57:07.000","Cleared by Arrest","2021-07-21T00:00:00.000","Crimes Against Society","18-2-101 (1) F","Criminal Attempt - Felony","90Z","All Other Offenses","7399","Public Order Crimes","Yes",,,,,"Falcon"
"2021-00009714","2021-03-07T03:00:00.000","2021-03-07T03:00:00.000","2021-03-07T13:42:46.000","Person Returned","2021-03-12T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,
"2017-00035154","2017-09-27T00:00:00.000","2017-09-27T01:00:00.000","2017-09-27T09:20:38.000","Cleared by Arrest","2017-10-19T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Sand Creek"
"2020-00003390","2020-01-19T07:50:00.000","2020-01-19T08:15:00.000","2020-01-19T09:24:35.000","Cleared by Arrest","2020-01-19T09:24:35.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","No",,,,,
"2021-00045544","2021-12-05T10:00:00.000","2021-12-05T11:00:00.000","2021-12-05T11:00:28.000","Cleared by Arrest","2021-12-05T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","No",,,,,"Stetson Hills"
"2019-00011822","2019-03-23T00:00:00.000","2019-03-31T00:00:00.000","2019-04-03T13:53:00.000","Open","2019-04-04T00:00:00.000","Crimes Against Persons","18-3-402(5)(a)(II) F2 (03)","Sexual Assault SBI - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2021-00015607","2021-04-23T03:20:00.000","2021-04-23T03:33:00.000","2021-04-23T05:14:46.000","Open","2021-04-23T05:14:46.000","Crimes Against Property","18-4-401(2)(d) M2 (05)","Theft - $300 to $749, Shoplifting","23C","Shoplifting","2303","Shoplifting","No",,,,,"Sand Creek"
"2018-00017327","2018-05-10T00:39:00.000","2018-05-10T00:39:00.000","2018-05-10T00:39:10.000","Cleared by Arrest","2018-05-10T00:39:10.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","No",,,,,"Falcon"
"2022-00006855","2022-02-14T15:38:00.000","2022-02-15T09:00:00.000","2022-02-15T09:50:45.000","Person Returned","2022-02-18T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","2000 SOUTHGATE RD","COLORADO SPRINGS","80905","POINT (-104.819134 38.804471)","Gold Hill"
"2021-00047360","2021-12-16T22:30:00.000","2021-12-17T00:30:00.000","2021-12-18T14:16:18.000","Open","2021-12-18T00:00:00.000","Crimes Against Persons","18-3-303(1) M2","False Imprisonment","100","Kidnapping/Abduction","1008","Abduct-No Ransom or Assault","No",,,,,"Stetson Hills"
"2018-00014340","2018-04-17T12:25:00.000","2018-04-17T12:34:00.000","2018-04-17T12:34:49.000","Open","2018-04-17T12:34:49.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Gold Hill"
"2018-00082476","2018-05-09T17:50:00.000","2018-05-14T12:50:00.000","2018-05-14T13:05:07.000","Open","2018-05-14T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"1800 E PLATTE AVE","COLORADO SPRINGS","80909","POINT (-104.794449 38.83725)","Sand Creek"
"2020-00011438","2018-12-01T05:00:00.000","2018-12-01T06:00:00.000","2020-03-22T12:22:00.000","Open","2020-03-22T12:22:00.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","Yes",,,,,"Sand Creek"
"2022-00024903","2022-07-04T03:50:00.000","2022-07-04T04:02:00.000","2022-07-04T04:02:40.000","Cleared by Arrest","2022-07-04T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M1","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Sand Creek"
"2016-00006009","2016-01-31T07:00:00.000","2016-02-08T07:00:00.000","2016-02-08T07:15:38.000","Person Returned","2016-05-16T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Gold Hill"
"2019-00031021","2019-08-22T19:00:00.000","2019-08-23T03:00:00.000","2019-08-23T07:33:02.000","Open","2019-08-23T07:33:02.000","Crimes Against Property","18-4-409(4) F6 REP","Aggravated MVT - 2nd Degree - $1000 - $19,999","240","Motor Vehicle Theft","2404","Vehicle Theft","No","1100 MAGNOLIA ST","COLORADO SPRINGS","80907","POINT (-104.80712 38.887291)","Falcon"
"2020-00020861","2020-06-13T22:30:00.000","2020-06-13T23:00:00.000","2020-06-14T13:46:30.000","Open","2020-06-15T00:00:00.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm",,,,,,"Gold Hill"
"2016-00021578","2016-05-31T15:00:00.000","2016-05-31T15:10:00.000","2016-05-31T15:13:15.000","Open","2016-05-31T15:13:15.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No","1700 BRIARGATE BLVD","COLORADO SPRINGS","80920","POINT (-104.795771 38.945242)","Falcon"
"2022-00006833","2022-02-15T07:17:00.000","2022-02-15T07:17:00.000","2022-02-15T07:19:20.000","Open","2022-02-15T00:00:00.000","Crimes Against Society","42-4-1401(1) MT2","Reckless driving","99","Not Reportable",,,"No",,,,,"Sand Creek"
"2018-00003068","2018-01-17T06:30:00.000","2018-01-17T06:30:00.000","2018-01-17T06:36:52.000","Cleared by Arrest","2018-01-17T06:36:52.000","Crimes Against Society","18-3-205(1)(b)(I) F4","Vehicular Assault DUI and/or DUID Proximate Cause SBI","90Z","All Other Offenses",,,"No",,,,,"Gold Hill"
"2019-00021718","2019-06-15T22:48:00.000","2019-06-15T22:48:00.000","2019-06-15T22:48:01.000","Cleared by Arrest","2019-06-15T00:00:00.000","Crimes Against Property","9.6.404","THEFT","23D","Theft From Building","2308","Larceny-From Building",,"0 N TEJON ST","COLORADO SPRINGS","80903",,
"2016-00017722","2016-05-04T14:38:00.000","2016-05-04T14:38:00.000","2016-05-04T14:38:14.000","Cleared by Arrest","2016-05-04T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting",,"0 N TEJON ST","COLORADO SPRINGS","80903",,
"2018-00003034","2018-01-11T20:00:00.000","2018-01-11T20:00:00.000","2018-01-16T19:53:04.000","Person Returned","2018-01-19T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Gold Hill"
"2021-00034733","2021-09-14T17:43:00.000","2021-09-14T19:00:00.000","2021-09-15T11:19:07.000","Open","2021-09-16T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No","3100 W COLORADO AVE","COLORADO SPRINGS","80904","POINT (-104.872389 38.853312)",
"2021-00001480","2021-01-04T18:40:00.000","2021-01-04T18:50:00.000","2021-01-04T18:52:11.000","Cleared by Arrest","2021-01-04T18:52:11.000","Crimes Against Property","18-4-401(2)(c) M3(05)","Theft - $50 to $299, Shoplifting","23C","Shoplifting","2303","Shoplifting","No",,,,,"Sand Creek"
"2019-00009774","2019-03-08T19:00:00.000","2019-03-18T09:00:00.000","2019-03-18T10:35:20.000","Open","2019-03-18T10:35:20.000","Crimes Against Property","18-4-401(2)(c) M3(02)","Theft -$50 to $299, From Building","23D","Theft From Building","2308","Larceny-From Building","No",,,,,"Gold Hill"
"2020-00009421","2020-03-05T10:16:00.000","2020-03-05T10:16:00.000","2020-03-05T10:16:00.000","Cleared by Arrest","2021-02-17T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting",,,,,,"Falcon"
"2017-00037386","2017-10-15T00:22:00.000","2017-10-15T00:22:00.000","2017-10-15T00:22:17.000","Unfounded","2017-12-08T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,"Sand Creek"
"2021-00043492","2021-11-18T06:30:00.000","2021-11-18T06:30:00.000","2021-11-18T20:10:17.000","Open","2021-11-18T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","100 UNIVERSITY DR","COLORADO SPRINGS","80910","POINT (-104.762654 38.829888)","Sand Creek"
"2017-00033792","2017-09-15T16:30:00.000","2017-09-15T17:00:00.000","2017-09-16T13:21:54.000","Cleared by Arrest","2017-09-16T13:21:54.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Sand Creek"
"2019-00081627","2019-05-01T00:00:00.000","2019-05-01T00:10:00.000","2019-05-01T10:03:45.000","Open","2019-05-01T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"900 ZAMORA CIR","COLORADO SPRINGS","80910","POINT (-104.762217 38.816235)","Sand Creek"
"2018-00003222","2018-01-10T17:30:00.000","2018-01-10T18:05:00.000","2018-01-18T08:26:09.000","Open","2018-01-18T08:26:09.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,
"2016-00024151","2016-06-01T00:00:00.000","2016-06-19T00:00:00.000","2016-06-19T16:29:33.000","Unfounded","2016-08-30T00:00:00.000","Crimes Against Society","Susp Circumstance","Suspicious Circumstances","99","Not Reportable",,,,,,,,"Sand Creek"
"2020-00043679","2020-12-16T17:35:00.000","2020-12-16T17:50:00.000","2020-12-16T17:35:22.000","Warrant","2020-12-16T17:35:22.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Sand Creek"
"2017-00046378","2017-12-27T02:00:00.000","2017-12-27T02:00:00.000","2017-12-27T22:54:02.000","Open","2017-12-28T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,"Sand Creek"
"2018-00018752","2018-05-20T15:02:00.000","2018-05-20T15:14:00.000","2018-05-21T08:03:50.000","Cleared by Arrest","2018-07-26T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting",,,,,,"Stetson Hills"
"2017-00083438","2017-10-03T13:01:00.000","2017-10-03T13:19:00.000","2017-10-03T15:49:50.000","Open","2017-10-03T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting",,,,"3600 AUSTIN BLUFFS PKWY","COLORADO SPRINGS","80918","POINT (-104.759858 38.890825)","Stetson Hills"
"2016-00050419","2016-12-23T11:37:00.000","2016-12-23T11:49:00.000","2016-12-23T11:49:04.000","Cleared by Arrest","2016-12-23T11:49:04.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting",,,,,,,,"Stetson Hills"
"2017-00042464","2017-11-23T22:30:00.000","2017-11-24T01:42:00.000","2017-11-24T18:07:09.000","Cleared by Arrest","2017-12-07T00:00:00.000","Crimes Against Society","18-18-428(1) DPO","Possession of Drug Paraphernalia","35B","Drug Equipment Violations","3550","Narcotic Equipment - Possess","No",,,,,"Falcon"
"2022-00018542","2022-05-16T10:30:00.000","2022-05-16T11:30:00.000","2022-05-16T13:58:51.000","Open","2022-05-16T00:00:00.000","Crimes Against Persons","18-3-404(1)(d) M1","Unlawful Sexual Contact Drugged Victim","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,
"2022-00006924","2022-02-15T16:00:00.000","2022-02-15T16:00:00.000","2022-02-15T16:18:36.000","Open","2022-02-15T00:00:00.000","Crimes Against Persons","9.2.109","Assault","13B","Simple Assault","1313","Simple Assault","No",,,,,"Sand Creek"
"2020-00002554","2020-01-12T20:02:00.000","2020-01-12T20:03:00.000","2020-01-12T20:04:13.000","Cleared by Arrest","2020-01-13T00:00:00.000","Crimes Against Property","18-4-301(1) F4 (01)","Robbery - Business - Gun","120","Robbery","1201","Robbery-Business-Gun","No",,,,,"Sand Creek"
"2021-00014574","2021-04-15T04:43:00.000","2021-04-15T04:46:00.000","2021-04-15T04:46:22.000","Cleared by Arrest","2021-05-05T00:00:00.000","Crimes Against Persons","18-3-102","Attempted Murder","13A","Aggravated Assault","1304","Aggravated Assault-Nonfamily-Gun","No",,,,,"Falcon"
"2020-00028515","2020-08-17T06:45:00.000","2020-08-17T06:45:00.000","2020-08-17T20:16:45.000","Person Returned","2020-09-30T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","2500 S ACADEMY BLVD","COLORADO SPRINGS","80916","POINT (-104.75766 38.796402)","Sand Creek"
"2019-00029054","2019-07-26T00:00:00.000","2019-08-07T03:00:00.000","2019-08-09T17:27:00.000","Open","2019-08-09T17:27:00.000","Crimes Against Society","18-9-111(1)(b) M3","Harassment - Obscene Words or Gesture","90Z","All Other Offenses","5309","Harassing Communication","No",,,,,"Gold Hill"
"2022-00008399","2022-02-26T23:55:00.000","2022-02-27T06:50:00.000","2022-02-27T07:03:51.000","Open","2022-02-27T00:00:00.000","Crimes Against Property","18-4-409(4) F6 REP","Aggravated MVT - 2nd Degree - $1000 - $19,999","240","Motor Vehicle Theft",,,"No","3900 E BIJOU ST","COLORADO SPRINGS","80909",,
"2016-00023149","2014-11-01T00:00:00.000","2016-06-12T23:41:00.000","2016-06-11T23:42:57.000","Unfounded","2016-07-26T00:00:00.000","Crimes Against Society","Susp Circumstance","Suspicious Circumstances","99","Not Reportable",,,"No",,,,,"Gold Hill"
"2019-00010239","2019-02-22T19:30:00.000","2019-02-22T21:00:00.000","2019-03-21T19:56:23.000","Open","2019-03-21T19:56:23.000","Crimes Against Society","18-9-306.5 M1","Obstruction of Telephone Service - Misdemeanor","90Z","All Other Offenses","7399","Public Order Crimes","No",,,,,"Stetson Hills"
