"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"RAMON E. BETANCES EARLY READING LAB (PK 3-4)","42 CHARTER OAK AV",,"Hartford","6106","(860) 695-2840","welcomecenter@hartfordschools.org CLARC003@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Employs outstanding practices in early literacy instruction while also serving as a professional development center for elementary school teachers who want to further develop their skills in early literacy instruction.","42 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.759238, -72.672398)","SHELDON-CHARTER OAK"
"READY TO GO - PARENT SUPPORT GROUP","44 NILES ST",,"Hartford","6105","(860) 502-5493","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Offers a support group for parents of any age child that meets on Thursdays at 6pm, in the fall/winter and the spring, at the Boys and Girls Club, 170 Sigourney Street in Hartford.","44 NILES ST
HARTFORD, Connecticut 06105
(41.769666, -72.696476)","ASYLUM HILL"
"REAL ART WAYS, INC","56 ARBOR ST",,"Hartford","6106","(860) 232-1006","info@realartways.org","http://www.realartways.org","Youth and Family Enrichment",,,,,,,,"An alternative multidisciplinary arts organization that presents and supports contemporary artists and their work, facilitates the creation of new work, and creatively engages, builds, and informs audiences and communities.","56 ARBOR ST
HARTFORD, Connecticut 06106
(41.759575, -72.703467)","PARKVILLE"
"RIVERFRONT RECAPTURE","50 COLUMBUS BLVD","1st Floor","Hartford","6106","(860) 713-3131","infodesk@riverfront.org","http://www.riverfront.org","Youth and Family Enrichment",,,,,,,,"Improving the quality of life and urban vitality through beautiful, safe waterfront parks, recreation and activities, youth programs, and cultural events and festivals.","50 COLUMBUS BLVD
HARTFORD, Connecticut 06106
(41.760384, -72.670246)","SHELDON-CHARTER OAK"
"R.J. KINSELLA MAGNET SCHOOL OF PERFORMING ARTS (PK 4-12)","65 VAN BLOCK AV",,"Hartford","6106","(860) 695-4140","welcomecenter@hartfordschools.org","http://www.kinsellamagnet.org/",,,,,,"Schools",,,"Provides comprehensive training, cultural exposure, and arts integration as a means to develop a child socially, linguistically, and cognitively through a broad variety of hands-on experiences.","65 VAN BLOCK AV
HARTFORD, Connecticut 06106
(41.755048, -72.664934)","SHELDON-CHARTER OAK"
"SACRED HEART FOOD BANK - HARTFORD","49 WINTHROP ST",,"Hartford","6103","(860) 527-6459","Unlisted/Unavailable","#http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SACREDHEARTFOODBANKHARTFORDVolunteerServices_2_556_1#",,"Support Services",,,,,,,"Church food pantry offers emergency food to women and families in Hartford's Northend. Food pantry is open on last Thursday of the month, 9:30-10:30am.","49 WINTHROP ST
HARTFORD, Connecticut 06103
(41.772656, -72.674332)","DOWNTOWN"
"SAFE KIDS CONNECTICUT","282 WASHINGTON ST",,"Hartford","6106","(860) 837-5319","lrivera03@connecticutchildrens.org","http://www.ctsafekids.org",,,"Civic Engagement",,,,,,"Reduces the incidence of unintentional childhood injuries among children ages 0 through 14 through statewide safety laws, advocacy, public awareness campaigns, and by providing information on automobile, bicycle, home and toy safety.","282 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.753482, -72.682812)","SOUTH GREEN"
"SAINT ANN'S IMMACULATE CONCEPTION CHURCH FOOD PANTRY","784 PARK ST",,"Hartford","6106","(860) 522-7128","Unlisted/Unavailable",,,"Support Services",,,,,,,"Operates food pantry T: 1:30-3pm for residents of Frog Hollow. Also operates daily masses in Spanish or English.","784 PARK ST
HARTFORD, Connecticut 06106
(41.758113, -72.689615)","FROG HOLLOW"
"SAINT AUGUSTINE'S CHURCH FOOD PANTRY","10 CAMPFIELD AV",,"Hartford","6114","(860) 522-7128","Unlisted/Unavailable","#http://www.staugustinehtfd.org/#",,"Support Services",,,,,,,"Provides emergency food to families and to disabled or elderly individuals who are residents of the South End of Hartford (06114 zip code). The food pantry is open M,W,F: 2-3pm.","10 CAMPFIELD AV
HARTFORD, Connecticut 06114
(41.74266, -72.682567)","BARRY SQUARE"
"SAINT FRANCIS HOSPITAL AND MEDICAL CENTER","114 WOODLAND ST",,"Hartford","6105","(860) 714-4000","Unlisted/Unavailable","http://www.saintfranciscare.org",,"Support Services",,,,,,,"Provides inpatient and outpatient medical, psychiatric and substance abuse services and community clinics.","114 WOODLAND ST
HARTFORD, Connecticut 06105
(41.77508, -72.699468)","ASYLUM HILL"
"SAINT LAWRENCE O'TOOLE CHURCH FOOD PANTRY","494 NEW BRITAIN AV",,"Hartford","6106","(860) 522-1129","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Emergency food pantry for Hartford residents in need. Food pantry is located at church rectory, 494 New Britain Avenue, Hartford.","494 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.737978, -72.698942)","SOUTH WEST"
"SAINT MICHAEL'S CHURCH FOOD PANTRY - HARTFORD","7 CLARK ST",,"Hartford","6120","(860) 522-6184","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Church food pantry for Northend Hartford residents is open Sat: 9-10am","7 CLARK ST
HARTFORD, Connecticut 06120
(41.78511, -72.677914)","NORTH END"
"SAINT MONICA'S EPISCOPAL CHURCH FOOD PANTRY AND SOUP KITCHEN","3575 MAIN ST",,"Hartford","6120","(860) 522-7761","Unlisted/Unavailable","http://www.rector1904.wix.com/monica",,"Support Services",,,,,,,"Serves lunch to Hartford residents in need 12noon-2pm on third and fourth Saturdays of every month. The food pantry serves Hartford residents in need and is open W,F: 10am-12noon.","3575 MAIN ST
HARTFORD, Connecticut 06120
(41.80076, -72.66114)","NORTH EAST"
"SALVATION ARMY ADULT REHABILITATION CENTER HARTFORD","333 HOMESTEAD AV",,"Hartford","6112","(860) 527-8106","Unlisted/Unavailable","http://ctri.salvationarmy.org/SNE/ARC",,"Support Services",,,,,,,"Provides 6-9 month residential substance abuse treatment program for men and women ages 22 through 70.","333 HOMESTEAD AV
HARTFORD, Connecticut 06112
(41.780158, -72.700475)","UPPER ALBANY"
"SALVATION ARMY - FAMILY THRIFT STORES","217 WASHINGTON ST",,"Hartford","6106","(860) 543 -84132","Unlisted/Unavailable","http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Sells used clothing, furniture, and household items. Thrift store proceeds benefit the Salvation Army Adult Rehabilitation Centers.","217 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.755752, -72.682551)","FROG HOLLOW"
"SALVATION ARMY - GREATER HARTFORD SOUTH END COMPLEX","217 WASHINGTON ST",,"Hartford","6106","(860) 543-8413","Unlisted/Unavailable","http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Houses the Human Services Bureau, the Hartford Citadel Corps Community Center, the Hartford New Hope Recovery Corps, the Hartford Temple Corps Community Center, and the New Life Center.","217 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.755752, -72.682551)","FROG HOLLOW"
"SALVATION ARMY - HARTFORD NORTH END LOCATION","100 NELSON ST",,"Hartford","6120","(860) 543-8419","Barbara.Mason@use.salvationarmy.org P
aul.Mason@use.salvationarmy.org","http://www.ctri.salvationarmy.org/SNE/NorthEnd","Youth and Family Enrichment",,,,,,,,"The After School Enrichment Project, which takes place during the school year, is an afterschool homework club. Each day after school, participants are picked up from Clark Elementary School and walked across the street to The Salvation Army.","100 NELSON ST
HARTFORD, Connecticut 06120
(41.787909, -72.678309)","NORTH EAST"
"SALVATION ARMY - SERVICE UNITS","855 ASYLUM AV",,"Hartford","6105","(860) 543-8400","Unlisted/Unavailable","http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Provides emergency assistance to people in areas of Connecticut that are not covered by a Salvation Army Corps Community Center","855 ASYLUM AV
HARTFORD, Connecticut 06105
(41.770068, -72.693258)","ASYLUM HILL"
"SALVATION ARMY - SOUTHERN NEW ENGLAND DIVISION","855 ASYLUM AV",,"Hartford","6105","(860) 347-7493","Unlisted/Unavailable","http://ctri.salvationarmy.org/",,"Support Services",,,,,,,"Provides assistance and disaster services to people with emergency needs, school readiness programs, summer camp, after school homework centers, youth groups, senior programming, and homeless assistance services.","855 ASYLUM AV
HARTFORD, Connecticut 06105
(41.770068, -72.693258)","ASYLUM HILL"
"SALVATION ARMY “ THE RIGHT PLACE","121 SIGOURNEY ST",,"Hartford","6105","(860) 543-8488","Heather.LaCasse@usesalvationarmy.org","http://www.ctri.salvationarmy.org/SNETRPHartford",,,,"Early Childhood Education",,,,,"Offers Nationally Accredited Early Childhood Education to children, ages three to five, at two Centers in Hartford, and helps children to acquire the skills they need to be successful learners when they enter kindergarten.","121 SIGOURNEY ST
HARTFORD, Connecticut 06105
(41.768951, -72.693844)","ASYLUM HILL"
"SAMUEL V. ARROYO RECREATION CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","30 POPE PARK  DR",,"Hartford","6106","(860) 757-0530","tstewart@hartford.gov","http://dfcyr.hartford.gov","Youth and Family Enrichment",,,,,,,,"Provides life-long recreational opportunities that promote healthy and active living.","30 POPE PARK DR
HARTFORD, Connecticut 06106
(41.754495, -72.697542)","CLAY-ARSENAL"
"S.A.N.D. SCHOOL (K-8)","1750 MAIN ST",,"Hartford","6120","(860) 695-5040","welcomecenter@hartfordschools.org","http://sand.hartfordschools.org",,,,,,"Schools",,,"Collaborates with parents and community organizations to develop and implement educational programs ensuring academic and social excellence for all.","1750 MAIN ST
HARTFORD, Connecticut 06120
(41.778567, -72.676209)","CLAY-ARSENAL"
"SAN JUAN CENTER","1283 MAIN ST",,"Hartford","6103","(860) 522-2205","miriam@sanjuancenter.org","http://www.sanjuancenter.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides counseling to families, housing to the poor and activities for youth.","1283 MAIN ST
HARTFORD, Connecticut 06103
(41.772164, -72.675905)","DOWNTOWN"
"SARAH J. RAWSON ELEMENTARY SCHOOL (PK 4-8)","260 HOLCOMB ST",,"Hartford","6112","(860) 695-4840","welcomecenter@hartfordschools.org stont001@hartfordschools.org","http://hpsschools.org/rawson",,,,,,"Schools",,,"Ensures that all students achieve personal excellence, that they develop the skills and interests that result in a passion for life-long learning, and that they gain the ability to participate as responsible citizens in school and in the world.","260 HOLCOMB ST
HARTFORD, Connecticut 06112
(41.795753, -72.700253)","BLUE HILLS"
"SCIENCE, TECHNOLOGY, ENGINEERING AND MATH (STEM) MAGNET SCHOOL AT ANNIE FISHER (K-8)","280 PLAINFIELD ST",,"Hartford","6112","(860) 695-3511","welcomecenter@hartfordschools.org  
tanns001@hartfordschools.org","https://anniefisherstem.hartfordschools.org",,,,,,"Schools",,,"Provides an advanced academic program focused on Science, Technology, Engineering, and Mathematics (STEM). Students participate in an academically challenging curriculum with rigorous science and math instruction.","280 PLAINFIELD ST
HARTFORD, Connecticut 06112
(41.791455, -72.70817)","BLUE HILLS"
"SHILOH BAPTIST CHURCH SOUP KITCHEN AND FOOD PANTRY - HARTFORD","350 ALBANY AV",,"Hartford","6120","(860) 247-3767","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Offers an emergency food pantry on third and fourth Tuesdays of the month, 10-11am for anyone in need. The soup kitchen serves lunch to anyone in need T,Th: 12noon-1:30pm. The church also gives away used clothing after lunch.","350 ALBANY AV
HARTFORD, Connecticut 06120
(41.77691, -72.682417)","CLAY-ARSENAL"
"SOROMUNDI COMMONS SHELTER","135 BROAD ST",,"Hartford","6105","(860) 727-8094","RNoble@chrysalisct.org","http://www.ywcahartford.org/what_we_do/housing.html",,"Support Services",,,,,,,"Provides temporary shelter for women experiencing homelessness. An array of services is available onsite and case managers collaborate with clients to address health issues, job readiness and daily living skills.","135 BROAD ST
HARTFORD, Connecticut 06105
(41.767378, -72.686185)","ASYLUM HILL"
"SOUTH BAY MENTAL HEALTH","237 HAMILTON ST","SUITE 205","Hartford","6106","(860) 578-1300","Unlisted/Unavailable","https://www.southbaycommunityservices.com",,"Support Services",,,,,,,"Provides outpatient mental health services for children, adolescents, adults, families and groups. Services include assessments, testing, evaluations and diagnoses.","237 HAMILTON ST
HARTFORD, Connecticut 06106
(41.754228, -72.704047)","BEHIND THE ROCKS"
"SOUTH PARK INN","75 MAIN ST",,"Hartford","6106","(860) 724-0071","info@southparkinn.org","http://www.southparkinn.org",,"Support Services",,,,,,,"Helps the homeless help themselves.  The South Park Inn provides an 85 bed shelter for 45 men and 40 women and children. Other services include a wide range of clinical services for our residents and support groups.","75 MAIN ST
HARTFORD, Connecticut 06106
(41.756456, -72.675957)","SOUTH GREEN"
"SPORT & MEDICAL SCIENCES ACADEMY (6-12)","280 HUYSHOPE AV",,"Hartford","6106","(860) 695-6900","welcomecenter@hartfordschools.org","http://www.sportandmedicalsciences.org",,,,,,"Schools",,,"Utilizes a thematic approach in delivering a cross-disciplinary curriculum, integrating technology into all subject areas.","280 HUYSHOPE AV
HARTFORD, Connecticut 06106
(41.752365, -72.660526)","BEHIND THE ROCKS"
"ST. FRANCIS BEHAVIORAL HEALTH GROUP","675 TOWER AV",,"Hartford","6112","(860) 714-9333","Unlisted/Unavailable","http://www.stfranciscare.com",,"Support Services",,,,,,,"Draws out peoples strengths and competencies to assist them with coping more effectively in times of significant challenge or difficulty in their lives.","675 TOWER AV
HARTFORD, Connecticut 06112
(41.800789, -72.6935)","BLUE HILLS"
"SUPERIOR COURT CONNECTICUT - JUVENILE MATTERS: STATE OF CONNECTICUT","920 BROAD ST",,"Hartford","6106","(860) 244-7900","Unlisted/Unavailable","http://www.jud.ct.gov",,,,,"Government Agency",,,,"The initial trial level for all juvenile cases in the State of Connecticut.","920 BROAD ST
HARTFORD, Connecticut 06106
(41.75687, -72.687045)","FROG HOLLOW"
"TEACHER PREPARATORY STUDIES AT BULKELEY - LOWER -- REMOVE","300 WETHERSFIELD AV",,"Hartford","6114","(860) 695-1202","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Attracts, recruits and trains students who have an interest in the field of education.","300 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.747601, -72.673459)","BARRY SQUARE"
"THE CONNECTICUT YOUTH FORUM","750 MAIN ST",,"Hartford","6103","(860) 509-0909","info@ctforum.org","http://www.ctforum.org","Youth and Family Enrichment",,,,,,,,"Encourages the free and active exchange of ideas in forums that inform, challenge, entertain, inspire and build bridges among all people and organizations in our community.","750 MAIN ST
HARTFORD, Connecticut 06103
(41.765677, -72.673388)","DOWNTOWN"
"THE FAMILY RESOURCE CENTER AT BURNS LATINO STUDIES ACADEMY","195 PUTNAM ST","Room 115","Hartford","6106","(860) 695-2994","mabermudez@villageforchildren.org","https://www.hartfordschools.org",,"Support Services",,,,,,,"Seeks to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","195 PUTNAM ST
HARTFORD, Connecticut 06106
(41.761181, -72.690452)","FROG HOLLOW"
"THE FAMILY RESOURCE CENTER AT MARIA C. SANCHEZ SCHOOL","176 BABCOCK ST",,"Hartford","6106","(860) 695-4983","yeseniaC@hispanichealth.com","http://www.hartfordschools.org",,"Support Services",,,,,,,"Seeks to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","176 BABCOCK ST
HARTFORD, Connecticut 06106
(41.758918, -72.689238)","FROG HOLLOW"
"THE FAMILY RESOURCE CENTER AT MARTIN LUTHER KING, JR. SCHOOL","25 RIDGEFIELD ST",,"Hartford","6112","(860) 695-4013","tgreen@thevillage.org","http://www.hartfordschools.org",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","25 RIDGEFIELD ST
HARTFORD, Connecticut 06112
(41.785597, -72.696006)","UPPER ALBANY"
"THE FAMILY RESOURCE CENTER AT S.A.N.D. SCHOOL","1750 MAIN ST",,"Hartford","6120","(860) 695-5061","jnovatapia@thevillage.org","http://thevillage.org/program/family-resource-centers-at-hartford-public-schools",,"Support Services",,,,,,,"Seeks to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","1750 MAIN ST
HARTFORD, Connecticut 06120
(41.778567, -72.676209)","CLAY-ARSENAL"
"THE FAMILY RESOURCE CENTER AT WISH SCHOOL","350 BARBOUR ST",,"Hartford","6120","(860) 695-3338","agraypamphile@thevillage.org","http://www.villageforchildren.org",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.",,"BLUE HILLS"
"THE FAMILY RESOURCE VENTER AT BELLIZZI ASIAN STUDIES ACADEMY","215 SOUTH ST",,"Hartford","0","(860) 695-2400","paolaab@hispanichealth.com","http://www.hispanichealth.com",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.",,"SOUTH END"
"THELMA ELLIS DICKERSON'S JUMOKE ACADEMY ELEMENTARY SCHOOL (PK-4)","250 BLUE HILLS AV",,"Hartford","6112","(860) 527-0575","Unlisted/Unavailable","http://www.jumokeacademy.org",,,,,,"Schools",,,"Prepares children to successfully compete in the global marketplace and to overcome cultural, social, and/or economic challenges.","250 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.79164, -72.697938)","NORTH EAST"
"THE MARK TWAIN HOUSE & MUSEUM","351 FARMINGTON AV",,"Hartford","6105","(860) 247-0998","info@marktwainhouse.org","http://www.marktwainhouse.org","Youth and Family Enrichment",,,,,,,,"Throughout the year, The Mark Twain House & Museum presents special events and 
educational programs that illuminate Twain's literary legacy for fans of all ages.","351 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.767538, -72.701011)","ASYLUM HILL"
"THE MIDDLE GRADES ACADEMY AT WEST MIDDLE (5-8)","305 GREENFIELD ST",,"Hartford","6112","(860) 695-5557","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Delivers high quality instruction through the use of interdisciplinary units of study.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)","UPPER ALBANY"
"THE VILLAGE FAMILY RESOURCE AT BURNS LATINO STUDIES ACADEMY","195 PUTNAM ST",,"Hartford","6106","(860) 695-2994","mabermudez@villageforchildren.org","http://www.thevillage.org",,"Support Services",,,,,,,"To build a community of strong, healthy families who protect and nurture children.","195 PUTNAM ST
HARTFORD, Connecticut 06106
(41.761181, -72.690452)","FROG HOLLOW"
"THE VILLAGE FOR CHILDREN & FAMILIES - MARTIN LUTHER KING, JR. SCHOOL","25 RIDGEFIELD ST",,"Hartford","6112","(860) 695-3980","tgreen@thevillage.org","http://www.villageforchildren.org",,"Support Services",,,,,,,"Builds a community of strong healthy families who protect and nurture children.","25 RIDGEFIELD ST
HARTFORD, Connecticut 06112
(41.785597, -72.696006)","UPPER ALBANY"
"THE VILLAGE FOR FAMILIES & CHILDREN - NORTH","1680 ALBANY AV",,"Hartford","6105","(860) 236-4511","Unlisted/Unavailable","http://www.villageforchildren.org",,"Support Services",,,,,,,"To build a community of strong healthy families who protect and nurture children.","1680 ALBANY AV
HARTFORD, Connecticut 06105
(41.78585, -72.710828)","BLUE HILLS"
"THE VILLAGE FOR FAMILIES & CHILDREN - SOUTH","331 WETHERSFIELD AV",,"Hartford","6114","(860) 236-4511","Unlisted/Unavailable","http://www.villageforchildren.org",,"Support Services",,,,,,,"To build a community of strong healthy families who protect and nurture children.","331 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.746874, -72.673342)","BARRY SQUARE"
"THIRD TABERNACLE REPAST FOOD PANTRY","829 ALBANY AV",,"Hartford","6112","(860) 522-9639","Unlisted/Unavailable","http://www.cogasoc.org",,"Support Services",,,,,,,"Distributes food to Hartford, Bloomfield, East Hartford and West Hartford residents in need on the second and fourth Thursdays of the month, 2-3pm. Walk-in.","829 ALBANY AV
HARTFORD, Connecticut 06112
(41.779957, -72.690352)","UPPER ALBANY"
"THIRMAN MILNER SCHOOL (PK 4-8)","104 VINE ST",,"Hartford","6112","(860) 695-4380","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Prepares children to successfully compete in the global marketplace and to overcome cultural, social, and/or economic challenges.","104 VINE ST
HARTFORD, Connecticut 06112
(41.782572, -72.688205)","UPPER ALBANY"
"THREE ANGELS ADVENTIST COMMUNITY SERVICE FOOD PANTRY AND SOUP KITCHEN","500 WOODLAND ST",,"Hartford","6112","(860) 524-5176","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Serves anyone in need. Soup kitchen serves lunch on Sun: 12:30-1:30pm. Food pantry is open T: 11am-1pm. Clothing is also distributed, as available, to people in need.","500 WOODLAND ST
HARTFORD, Connecticut 06112
(41.784283, -72.695252)","UPPER ALBANY"
"TRAVELERS EARLY CHILDHOOD LEARNING CENTER - THE VILLAGE FOR FAMILIES & CHILDREN","105 SPRING ST",,"Hartford","6105","(860) 236-4511, x3655","cvalenzuela@thevillage.org","http://www.thevillage.org",,,,"Early Childhood Education",,,,,"Provides a nurturing, open and safe educational environment that helps to promote learning, intellectual curiosity, creativity, independence, social skills, & physical development.","105 SPRING ST
HARTFORD, Connecticut 06105
(41.771015, -72.683516)","ASYLUM HILL"
"TRINITY COLLEGE COMMUNITY CHILD CENTER (PREK)","300 SUMMIT ST",,"Hartford","6106","(860) 297-5374","Christina.gademsky@tc4.org","http://www.tc4.org",,,,"Early Childhood Education",,,,,"Provides readiness skills  that help children succeed in kindergarten including language acquisition, vocabulary building, scientific inquiry, and literacy skills.","300 SUMMIT ST
HARTFORD, Connecticut 06106
(41.745838, -72.692773)","BARRY SQUARE"
"TRINITY COLLEGE VISION ACADEMIC MENTORING PROGRAM","300 SUMMIT ST",,"Hartford","6106","(860) 297-2000","Unlisted/Unavailable","http://www.trincoll.edu","Youth and Family Enrichment",,,,,,,,"Provides weekly homework help, mentoring, enrichment activities and field trips to middle school  students.","300 SUMMIT ST
HARTFORD, Connecticut 06106
(41.745838, -72.692773)","BARRY SQUARE"
"TRINITY HILL CARE CENTER","151 HILLSIDE AV",,"Hartford","6106","(860) 951-1060","davids@icaremanagement.com","http://www.trinity-hill.com",,"Support Services",,,,,,,"Offers intensive, inpatient nursing care, rehabilitative therapies, respite care, hospice services, and a special care unit for people with AIDS, Alzheimer's disease, or other forms of dementia.","151 HILLSIDE AV
HARTFORD, Connecticut 06106
(41.748736, -72.698044)","BEHIND THE ROCKS"
"TRUE COLORS INC","30 ARBOR ST",,"Hartford","6106","(860) 232-0050","director@ourtruecolors.org","http://www.ourtruecolors.org",,"Support Services",,,,,,,"Works with other social service agencies, schools, organizations, and within communities to ensure that the needs of sexual and gender minority youth are both recognized and competently met.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)","PARKVILLE"
"UNION BAPTIST CHURCH BREAKFAST PROGRAM AND FOOD PANTRY","1921 MAIN ST",,"Hartford","6120","(860) 247-0648","Unlisted/Unavailable","http://www.unionbaptisthartford.org",,"Support Services",,,,,,,"Church serves breakfast Sat, Sun: 8-9am to anyone in need. Program is closed in August.Provides information about cerebral palsy and offers services to people with cerebral palsy and other disabilities.","1921 MAIN ST
HARTFORD, Connecticut 06120
(41.780935, -72.676154)","CLAY-ARSENAL"
"UNITED CEREBRAL PALSY ASSOCIATION OF GREATER HARTFORD","80 WHITNEY ST",,"Hartford","6105","(860) 236-6201 ext. 324","Unlisted/Unavailable","http://www.ucphartford.org",,"Support Services","Civic Engagement",,,,,,"Provides information about cerebral palsy and offers services to people with cerebral palsy and other disabilities. Services include in-home and companion supports, information and referral to community resources, and overnight summer camping programs.","80 WHITNEY ST
HARTFORD, Connecticut 06105
(41.769288, -72.711817)","WEST END"
"UNITED METHODIST CHURCH OF HARTFORD FOOD PANTRY","571 FARMINGTON AV",,"Hartford","6105","(860) 523-5132","Unlisted/Unavailable","http://www.umcofhartford.org/",,"Support Services",,,,,,,"Church food pantry located in the West End of Hartford is for anyone in need. Food distribution is last Tuesday of the month from 5-6pm.","571 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.766196, -72.711172)","WEST END"
"UNITED WAY OF CENTRAL AND NORTHEASTERN CONNECTICUT","30 LAUREL ST",,"Hartford","6106","1 (800) 203-1234","info@unitedwayinc.org","http://www.unitedwayinc.org",,"Support Services",,,,,,,"Serves 40 towns in Central and Northeastern Connecticut to create positive change and achieve long-lasting results. Community priorities to advance the common good are education, income, health and a safety net of basic needs services.","30 LAUREL ST
HARTFORD, Connecticut 06106
(41.759879, -72.696833)","FROG HOLLOW"
"UNIVERSITY HIGH SCHOOL OF SCIENCE AND ENGINEERING (9-12)","351 MARK TWAIN DR",,"Hartford","6112","(860) 695-9020","Folam001@hartfordschools.org","http://www.uhsse.org",,,,,,"Schools",,,"Prepares students for college by earning college credits while in high school and spending time on the college campus.","351 MARK TWAIN DR
HARTFORD, Connecticut 06112
(41.797834, -72.709685)","BLUE HILLS"
"UPPER ALBANY NEIGHBORHOOD COLLABORATIVE","1229 ALBANY AV",,"Hartford","6112","(860) 724-6703","Unlisted/Unavailable","http://www.uanchartford.org/",,,"Civic Engagement",,,,,,"Improves their area's economic stability and quality of life and work with agencies and businesses that are planning project development in the Upper Albany neighborhood to ensure that project employment plans are responsive to the needs of the community.","1229 ALBANY AV
HARTFORD, Connecticut 06112
(41.782485, -72.697041)","UPPER ALBANY"
"URBAN ALLIANCE","750 MAIN ST",,"Hartford","6103","(860) 986-7724","althea@urbanalliance.com","http://www.urbanalliance.com",,,"Civic Engagement",,,,,,"Creates opportunities for people to achieve lasting change in their lives through the collaborative work of churches and organizations in our local community.","750 MAIN ST
HARTFORD, Connecticut 06103
(41.765677, -72.673388)","DOWNTOWN"
"URBAN LEAGUE OF GREATER HARTFORD","140 WOODLAND ST",,"Hartford","6105","(860) 527-0147","Unlisted/Unavailable","http://www.ulgh.org","Youth and Family Enrichment","Support Services",,,,,,"Workforce Development","Promotes the self-empowerment of individuals in the Connecticut Capital Region to achieve educational, occupational and economic equality for themselves and their families.","140 WOODLAND ST
HARTFORD, Connecticut 06105
(41.776682, -72.69871)","ASYLUM HILL"
"WADSWORTH ATHENEUM MUSEUM OF ART","600 MAIN ST",,"Hartford","6103","(860) 278-2670","info@wadsworthatheneum.org.","http://www.thewadsworth.org","Youth and Family Enrichment",,,,,,,,"The oldest continuously-operating public art museum in the United States, founded in 1842 by arts patron Daniel Wadsworth.","600 MAIN ST
HARTFORD, Connecticut 06103
(41.763864, -72.673964)","DOWNTOWN"
"WARBURTON COMMUNITY CHURCH FOOD PANTRY","420 BROOKFIELD ST",,"Hartford","6106","(860) 951-0058","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Food pantry located in Hartford open Sat: 10am-2pm. Also open other days for emergencies only.","420 BROOKFIELD ST
HARTFORD, Connecticut 06106
(41.742372, -72.708456)","BEHIND THE ROCKS"
"WEST MIDDLE ELEMENTARY SCHOOL (PK 4-5)","44 NILES ST",,"Hartford","6112","(860) 695-5484","welcomecenter@hartfordschools.org ESTEL001@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Dynamically educates students by fostering high expectations through a joint collaboration of school, home, and a supportive community.","44 NILES ST
HARTFORD, Connecticut 06112
(41.769666, -72.696476)","ASYLUM HILL"
