"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"adenauer2011_CAPS_A_Baseline_Comp","Psychotherapy","PTSD","34","A","PTSD",,"11",,"NET","Narrative Exposure Therapy (NET)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16","Structured Clinical Interview","CAPS","CAPS","Completer",,"Repeated-measures ANOVA with Greenhouse-Geisser's correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes","Baseline",,,"88","12.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"adenauer2011_CAPS_B_16_Comp","Psychotherapy","PTSD","34","B","Control",,"8",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"18","Structured Clinical Interview","CAPS","CAPS","Completer",,"Repeated-measures ANOVA with Greenhouse-Geisser's correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes","Assessment at 3 to <6 Months","16",,"87.9","18.5",,,,,"15.9",,,,,"Cohen's d","-0.97",,,,"p=0.11",,,,,,,,"Not meeting criteria for PTSD according to CAPS","0",,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"adenauer2011_CAPS_B_Baseline_Comp","Psychotherapy","PTSD","34","B","Control",,"8",,"Waitlist","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"18","Structured Clinical Interview","CAPS","CAPS","Completer",,"Repeated-measures ANOVA with Greenhouse-Geisser's correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes","Baseline",,,"72","13.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"ahmadi2015_M-PTSD_A_0_Comp","Mixed: Psychotherapy & CIH","PTSD","48","A","PTSD",,"11",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","End of Treatment","0",,,,,,,,"-19.4","10.3",,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_M-PTSD_A_Baseline_Comp","Mixed: Psychotherapy & CIH","PTSD","48","A","PTSD",,"11",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_M-PTSD_B_0_Comp","Mixed: Psychotherapy & CIH","PTSD","48","B","PTSD",,"10",,"REM Desensitization","Rapid Eye Movement (REM) Desentization","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","End of Treatment","0",,,,,,,,"-20","9.5",,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_M-PTSD_B_Baseline_Comp","Mixed: Psychotherapy & CIH","PTSD","48","B","PTSD",,"10",,"REM Desensitization","Rapid Eye Movement (REM) Desentization","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_M-PTSD_C_0_Comp","Mixed: Psychotherapy & CIH","PTSD","48","C","Control",,"12",,"Control","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","End of Treatment","0",,,,,,,,"0.6","5.9",,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_M-PTSD_C_Baseline_Comp","Mixed: Psychotherapy & CIH","PTSD","48","C","Control",,"12",,"Control","Waitlist","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,"16","Self report","M-PTSD","M-PTSD (Persian version)","Completer",,"ANOVA for continuous variables; Tukey's test for multiple comparisons","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Active Duty Military","1","0","0","0",,"1","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadizadeh2018_PCL_A_0_ITT","Nonpharmacologic biological","PTSD","65","A","PTSD",,"16",,"Bilateral rTMS","Transcranial magnetic stimualtion (TMS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","22","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","End of Treatment","0",,"45.81","4.67",,,,"SE 2.31","-26.25",,,,,,,,,,"p=0.0001",,,,,,,,,,,"Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score","0.625",,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_PCL_A_Baseline_ITT","Nonpharmacologic biological","PTSD","65","A","PTSD",,"22",,"Bilateral rTMS","Transcranial magnetic stimualtion (TMS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","22","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","Baseline",,,"71.26","7.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_PCL_B_0_ITT","Nonpharmacologic biological","PTSD","65","B","PTSD",,"17",,"Unilateral rTMS","Transcranial magnetic stimualtion (TMS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","21","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","End of Treatment","0",,"49.41","6.53",,,,"SE 2.55","-21.12",,,,,,,,,,"p=0.0001",,,,,,,,,,,"Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score","0.4118",,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_PCL_B_Baseline_ITT","Nonpharmacologic biological","PTSD","65","B","PTSD",,"21",,"Unilateral rTMS","Transcranial magnetic stimualtion (TMS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person","21","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","Baseline",,,"70.57","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_PCL_C_0_ITT","Nonpharmacologic biological","PTSD","65","C","Control",,"16",,"Sham rTMS","Sham","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","22","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","End of Treatment","0",,"66.93","10.34",,,,,"-3.62",,,,,,,,,,,,,,,,,,,,,"Change in PCL-M ≥2 standard deviation relative to sample's baseline PCL-M score","0",,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_PCL_C_Baseline_ITT","Nonpharmacologic biological","PTSD","65","C","Control",,"22",,"Sham rTMS","Sham","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","22","Self report","PCL","PCL-M","ITT","LOCF","Repeated measures ANOVA; mixed model analysis; Bonferroni correction for pairwise comparisons; chi-squared for clinically meaningful change","Baseline",,,"70.55","9.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2019_PCL_A_0_Comp","Nonpharmacologic biological","PTSD","40","A","PTSD",,"18",,"Transcranial direct current stimulation (tDCS)","Transcranial direct current stimulation (tDCS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","End of Treatment","0",,"37.44","10.77",,,,,"-16.95",,,,,,,,,,,,,,,,,,"PCL-5 < 33","0.444",,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96","0.278",,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_PCL_A_4_Comp","Nonpharmacologic biological","PTSD","40","A","PTSD",,"16",,"Transcranial direct current stimulation (tDCS)","Transcranial direct current stimulation (tDCS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","Assessment at <3 Months","4",,"41.28","8.86",,,,,"-13.11",,,,,,,,,,,,,,,,,,"PCL-5 < 33",,,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_PCL_A_Baseline_Comp","Nonpharmacologic biological","PTSD","40","A","PTSD",,"20",,"Transcranial direct current stimulation (tDCS)","Transcranial direct current stimulation (tDCS)","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","Baseline",,,"54.39","2.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_PCL_B_0_Comp","Nonpharmacologic biological","PTSD","40","B","Control",,"16",,"Sham transcranial direct current stimulation","Sham","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","End of Treatment","0",,"52.00","11.19",,,,,"-2.81",,,,,,,,,,,,,,,,,,"PCL-5 < 33","0.125",,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96","0.062",,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_PCL_B_4_Comp","Nonpharmacologic biological","PTSD","40","B","Control",,"16",,"Sham transcranial direct current stimulation","Sham","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","Assessment at <3 Months","4",,"52.81","5.07",,,,,"-2.00",,,,,,,,,,,,,,,,,,"PCL-5 < 33",,,"PCL-5 ≤ 24 on the PCL-5, if reliable change index also exceeds 1.96",,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_PCL_B_Baseline_Comp","Nonpharmacologic biological","PTSD","40","B","Control",,"20",,"Sham transcranial direct current stimulation","Sham","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In person","20","Self report","PCL","PCL-5","Completer",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","Baseline",,,"54.81","2.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadpanah2014_MINI_A_0_ITT","Pharmacotherapy","PTSD","100","A","PTSD",,"33",,"Prazosin","Prazosin","No","Not Applicable","Yes","Antiadrenergic","No","Not Applicable","No","No","No","No","No","Individual","In Person","33","Structured Clinical Interview","MINI","MINI","ITT",,"Group x time (2×3) mixed model analysis
Multiple ANOVA for pre-treatment group differences","End of Treatment","0",,"3.36","0.78",,,,,"-3.64",,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.28",,"0.72","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Medium","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.","43996","2019"
